compound_code	compound_name	cd630_clindamycin_score	escherichia_630_score	ratio	magnitude	interaction_score	percentile
C00041	L-Alanine	6.271	-9.644	0.097	877.305	-6.404	90.0
C00040	Acyl-CoA	4.441	8.763	0.507	456.157	7.853	80.0
C00047	L-Lysine	4.524	8.57	0.528	403.045	7.733	80.0
C00046	RNA	-4.907	11.244	0.012	2455.391	-4.925	80.0
C00044	GTP	-5.928	8.987	0.12	568.292	-6.091	90.0
C00049	L-Aspartate	-3.759	-11.605	0.004	3128.503	-3.765	60.0
C00048	Glyoxylate	-4.505	-9.379	0.034	688.531	-4.553	70.0
C02642	3-Ureidopropionate	-3.322	-9.568	0.013	769.024	-3.341	50.0
C06481	L-Seryl-tRNA(Sec)	-5.459	8.669	0.108	451.019	-5.607	80.0
C20440	alpha-D-Ribose_1,2-cyclic_phosphate_5-phosphate	3.17	2.322	0.732	14.001	3.358	70.0
C01101	L-Ribulose_5-phosphate	2.322	-9.109	0.009	557.182	-2.335	50.0
C01100	L-Histidinol_phosphate	2.807	5.728	0.49	60.001	4.878	70.0
C01103	Orotidine_5'-phosphate	-2.807	7.319	0.044	166.674	-2.869	50.0
C04462	N-Succinyl-2-L-amino-6-oxoheptanedioate	-4.374	-6.647	0.207	120.953	-4.645	70.0
C06002	(S)-Methylmalonate_semialdehyde	1.0	-8.169	0.007	289.815	-1.01	60.0
C06007	(R)-2,3-Dihydroxy-3-methylpentanoate	1.524	8.224	0.185	301.876	5.806	70.0
C16565	Aminopropylcadaverine	-1.0	-8.504	0.006	365.044	-1.008	60.0
C05345	beta-D-Fructose_6-phosphate	5.494	-7.072	0.335	179.617	-5.911	90.0
C00424	(S)-Lactaldehyde	-1.0	-9.242	0.003	607.507	-1.005	60.0
C00429	5,6-Dihydrouracil	3.322	9.568	0.347	769.024	8.061	80.0
C03451	(R)-S-Lactoylglutathione	3.807	7.877	0.483	249.075	6.911	80.0
C03232	3-Phosphonooxypyruvate	-1.585	-9.844	0.003	922.05	-1.59	50.0
C00387	Guanosine	4.682	-8.399	0.076	363.23	-4.788	80.0
C05841	Nicotinate_D-ribonucleoside	5.0	-8.454	0.091	382.677	-5.126	80.0
C00253	Nicotinate	-5.087	2.663	0.186	40.323	-2.91	50.0
C00250	Pyridoxal	2.807	-6.349	0.086	88.514	-2.926	50.0
C00251	Chorismate	1.773	-6.722	0.032	108.984	-1.819	50.0
C00256	(R)-Lactate	6.229	7.943	0.784	321.092	7.976	80.0
C00255	Riboflavin	4.17	8.7	0.479	433.874	7.7	80.0
C00392	Mannitol	1.585	7.585	0.209	195.005	5.349	70.0
C00258	D-Glycerate	-0.585	-7.349	0.009	164.531	-0.598	60.0
C05335	L-Selenomethionine	-1.0	-8.079	0.007	272.409	-1.011	60.0
C16596	5-Phenyl-1,3-oxazinane-2,4-dione	-3.7	-7.435	0.075	186.041	-3.804	60.0
C16595	4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one	3.7	7.435	0.498	186.041	6.533	70.0
C01081	Thiamin_monophosphate	-1.0	-7.14	0.014	143.044	-1.02	60.0
C01083	alpha,alpha-Trehalose	4.087	7.418	0.551	188.012	6.695	80.0
C00559	Deoxyadenosine	-4.248	2.874	0.386	26.332	-3.345	50.0
C00555	4-Aminobutyraldehyde	1.0	4.322	0.231	22.001	2.348	70.0
C00886	L-Alanyl-tRNA	-4.7	-9.812	0.029	924.882	-4.741	70.0
C00498	ADP-glucose	-3.222	-5.86	0.161	67.412	-3.437	50.0
C00882	Dephospho-CoA	2.322	8.006	0.29	262.067	6.248	70.0
C00881	Deoxycytidine	4.755	-8.454	0.077	377.679	-4.862	80.0
C00078	L-Tryptophan	5.087	8.847	0.575	494.471	8.151	90.0
C00079	L-Phenylalanine	1.249	-4.711	0.091	28.568	-1.374	60.0
C00072	Ascorbate	5.426	9.5	0.571	767.069	8.775	90.0
C00073	L-Methionine	3.406	-8.079	0.039	281.009	-3.461	50.0
C00071	Aldehyde	-4.82	-11.009	0.014	2089.063	-4.84	80.0
C00077	L-Ornithine	3.081	-7.468	0.048	185.51	-3.148	50.0
C00074	Phosphoenolpyruvate	-5.997	-9.972	0.064	1068.185	-6.086	90.0
C00075	UTP	6.954	8.484	0.82	482.029	8.626	90.0
C16186	L-Ascorbate_6-phosphate	-5.426	-8.165	0.15	330.011	-5.627	80.0
C00085	D-Fructose_6-phosphate	6.695	8.16	0.82	389.634	8.32	90.0
C00084	Acetaldehyde	3.844	11.921	0.322	3892.099	10.294	90.0
C00082	L-Tyrosine	-3.209	5.688	0.179	60.801	-3.447	50.0
C04640	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine	-3.585	-8.539	0.032	383.959	-3.631	60.0
C00089	Sucrose	1.0	-12.392	0.0	5376.817	-1.001	60.0
C04646	6-Thioinosine-5'-monophosphate	4.807	-8.622	0.071	421.979	-4.906	80.0
C02218	Dehydroalanine	-4.322	-7.331	0.124	181.01	-4.491	70.0
C00671	(S)-3-Methyl-2-oxopentanoic_acid	-3.17	7.552	0.048	196.663	-3.238	50.0
C00672	2-Deoxy-D-ribose_1-phosphate	4.585	10.197	0.45	1197.824	9.073	90.0
C00673	2-Deoxy-D-ribose_5-phosphate	-3.322	-9.674	0.012	826.892	-3.34	50.0
C00106	Uracil	1.322	-10.042	0.002	1056.749	-1.325	60.0
C00105	UMP	2.037	-5.973	0.065	66.917	-2.128	50.0
C00103	D-Glucose_1-phosphate	-1.384	-9.038	0.005	528.275	-1.391	60.0
C00100	Propanoyl-CoA	-5.358	-12.1	0.009	4430.997	-5.371	80.0
C00101	Tetrahydrofolate	3.784	-8.761	0.032	447.609	-3.829	60.0
C00109	2-Oxobutanoate	-4.748	10.96	0.013	2018.869	-4.767	70.0
C04702	UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)	3.0	7.484	0.401	187.023	6.228	70.0
C05764	Hexadecanoyl-[acp]	4.459	10.17	0.438	1174.053	9.008	90.0
C06899	Chloral_hydrate	3.7	7.435	0.498	186.041	6.533	70.0
C05761	Tetradecanoyl-[acp]	4.459	10.17	0.438	1174.053	9.008	90.0
C05760	trans-Tetradec-2-enoyl-[acp]	3.459	-9.594	0.014	783.823	-3.479	50.0
C05763	trans-Hexadec-2-enoyl-[acp]	3.459	-9.594	0.014	783.823	-3.479	50.0
C05762	3-Oxohexadecanoyl-[acp]	-4.129	10.206	0.015	1198.666	-4.15	70.0
C00361	dGDP	4.481	-7.112	0.161	160.664	-4.697	70.0
C05807	2-Polyprenylphenol	2.0	8.555	0.234	380.107	6.473	70.0
C02992	L-Threonyl-tRNA(Thr)	-5.615	-11.493	0.017	2931.3	-5.639	80.0
C02995	Maltose_6'-phosphate	-3.459	-5.954	0.177	72.988	-3.695	60.0
C03090	5-Phosphoribosylamine	2.0	8.807	0.227	451.89	6.681	80.0
C07086	Phenylacetic_acid	-5.17	-6.066	0.537	102.998	-5.79	90.0
C01079	Protoporphyrinogen_IX	-4.459	-7.615	0.112	218.033	-4.612	70.0
C11437	1-Deoxy-D-xylulose_5-phosphate	0.485	4.044	0.12	17.895	1.102	60.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	-5.0	-9.167	0.056	606.833	-5.078	80.0
C01172	beta-D-Glucose_6-phosphate	1.907	6.369	0.299	86.404	4.693	70.0
C00473	Retinol	3.7	7.435	0.498	186.041	6.533	70.0
C03892	Phosphatidylglycerophosphate	-3.807	-9.322	0.022	654.028	-3.838	60.0
C00681	1-Acyl-sn-glycerol_3-phosphate	-3.259	-8.44	0.028	356.864	-3.298	50.0
C00680	meso-2,6-Diaminoheptanedioate	2.632	-7.087	0.046	142.155	-2.696	50.0
C00689	alpha,alpha'-Trehalose_6-phosphate	7.611	6.459	0.849	283.47	7.91	80.0
C05378	beta-D-Fructose_1,6-bisphosphate	7.693	7.745	0.993	421.455	8.71	90.0
C00831	Pantetheine	4.644	7.629	0.609	222.954	7.084	80.0
C16551	Alcophosphamide	-3.7	-7.435	0.075	186.041	-3.804	60.0
C16220	3-Hydroxyoctadecanoyl-[acp]	-3.322	-10.932	0.005	1963.71	-3.329	50.0
C01672	Cadaverine	1.0	7.399	0.135	170.78	4.529	70.0
C04294	5-(2-Hydroxyethyl)-4-methylthiazole	1.0	6.966	0.144	127.019	4.189	70.0
C00458	dCTP	-5.478	-9.343	0.069	693.986	-5.574	80.0
C04895	7,8-Dihydroneopterin_3'-triphosphate	-4.392	-8.707	0.05	438.891	-4.463	70.0
C04896	5-(5-Phospho-D-ribosylaminoformimino)-1-(5-phosphoribosyl)-imidazole-4-carboxamide	-1.0	-7.983	0.008	255.001	-1.011	60.0
C00455	Nicotinamide_D-ribonucleotide	3.907	8.454	0.462	365.678	7.401	80.0
C15973	Enzyme_N6-(dihydrolipoyl)lysine	5.081	9.852	0.516	958.009	8.949	90.0
C00354	D-Fructose_1,6-bisphosphate	-5.672	-6.03	0.78	116.33	-6.504	90.0
C00330	Deoxyguanosine	5.0	5.497	0.91	77.161	6.133	70.0
C00332	Acetoacetyl-CoA	-5.924	1.115	0.036	62.882	-1.166	60.0
C00334	4-Aminobutanoate	4.19	-5.807	0.326	74.238	-4.597	70.0
C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier_protein]	-3.322	-10.932	0.005	1963.71	-3.329	50.0
C16221	(2E)-Octadecenoyl-[acp]	3.459	-9.594	0.014	783.823	-3.479	50.0
C00208	Maltose	3.524	-7.618	0.059	207.951	-3.606	60.0
C00204	2-Dehydro-3-deoxy-D-gluconate	-4.248	3.773	0.719	32.672	-4.555	70.0
C01212	UDP-N-acetylmuramoyl-L-alanine	-4.304	7.685	0.096	225.539	-4.436	70.0
C07490	Trichloroethanol	-3.7	-7.435	0.075	186.041	-3.804	60.0
C00025	L-Glutamate	-0.125	-4.442	0.05	22.826	-0.196	60.0
C00024	Acetyl-CoA	-4.766	-10.163	0.024	1173.692	-4.8	80.0
C00148	L-Proline	8.176	4.524	0.553	312.222	7.433	80.0
C00026	2-Oxoglutarate	-5.819	9.139	0.1	620.238	-5.957	90.0
C00020	AMP	4.771	4.205	0.881	45.746	5.333	70.0
C00022	Pyruvate	-5.305	9.626	0.05	829.693	-5.375	80.0
C00140	N-Acetyl-D-glucosamine	9.545	8.219	0.861	1044.984	9.813	90.0
C00141	3-Methyl-2-oxobutanoic_acid	-2.459	6.744	0.051	112.686	-2.531	50.0
C00029	UDP-glucose	-2.369	4.895	0.174	34.92	-2.6	50.0
C00147	Adenine	0.363	-5.375	0.031	42.785	-0.407	60.0
C00144	GMP	-3.406	5.863	0.182	68.802	-3.647	60.0
C05729	R-S-Cysteinylglycine	6.622	9.22	0.718	694.84	8.963	90.0
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	-4.373	-5.99	0.326	84.279	-4.78	70.0
C04633	(3R)-3-Hydroxypalmitoyl-[acyl-carrier_protein]	-2.954	-10.517	0.005	1473.069	-2.962	50.0
C00644	D-Mannitol_1-phosphate	2.0	-7.585	0.021	196.005	-2.03	50.0
C02739	1-(5-Phospho-D-ribosyl)-ATP	1.17	7.983	0.147	255.251	5.225	70.0
C05726	S-Substituted_L-cysteine	-6.693	-9.22	0.173	699.809	-6.924	90.0
C00705	dCDP	2.433	-5.011	0.167	37.645	-2.656	50.0
C02320	R-S-Glutathione	2.585	-10.165	0.005	1154.074	-2.593	50.0
C00314	Pyridoxine	2.807	-6.759	0.065	115.307	-2.897	50.0
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	5.459	9.167	0.596	618.82	8.526	90.0
C01134	Pantetheine_4'-phosphate	-4.087	-7.629	0.086	214.946	-4.206	70.0
C03512	L-Tryptophanyl-tRNA(Trp)	-5.087	-8.972	0.068	536.148	-5.181	80.0
C03127	L-Isoleucyl-tRNA(Ile)	-6.109	-9.098	0.126	617.011	-6.28	90.0
C20373	3-Hydroxyglutaryl-[acp]_methyl_ester	-3.322	-10.932	0.005	1963.71	-3.329	50.0
C20372	3-Ketoglutaryl-[acp]_methyl_ester	-4.524	10.621	0.015	1597.858	-4.545	70.0
C20377	3-Hydroxypimeloyl-[acp]_methyl_ester	-3.322	-10.932	0.005	1963.71	-3.329	50.0
C20376	3-Ketopimeloyl-[acp]_methyl_ester	-4.524	10.621	0.015	1597.858	-4.545	70.0
C20375	Glutaryl-[acp]_methyl_ester	5.858	10.17	0.576	1210.061	9.445	90.0
C20374	Enoylglutaryl-[acp]_methyl_ester	-4.755	-9.594	0.035	799.828	-4.805	80.0
C20378	Enoylpimeloyl-[acp]_methyl_ester	-4.755	-9.594	0.035	799.828	-4.805	80.0
C00966	2-Dehydropantoate	0.678	-8.155	0.006	286.636	-0.686	60.0
C04916	N-(5'-Phospho-D-1'-ribulosylformimino)-5-amino-1-(5''-phospho-D-ribosyl)-4-imidazolecarboxamide	-0.585	7.658	0.007	203.47	-0.596	60.0
C00415	Dihydrofolate	-3.585	-7.5	0.066	193.02	-3.678	60.0
C00416	Phosphatidate	-0.737	7.286	0.011	157.731	-0.752	60.0
C03460	2-Methylprop-2-enoyl-CoA	-8.775	8.364	0.752	767.534	-9.173	90.0
C04851	MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho-undecaprenol	5.087	-9.349	0.052	686.112	-5.16	80.0
C01279	4-Amino-5-hydroxymethyl-2-methylpyrimidine	-1.0	-7.313	0.013	161.013	-1.018	60.0
C00620	alpha-D-Ribose_1-phosphate	5.109	9.98	0.512	1044.414	9.062	90.0
C11355	4-Amino-4-deoxychorismate	-1.585	-7.577	0.016	193.943	-1.607	50.0
C00242	Guanine	-3.63	-9.253	0.02	622.522	-3.659	60.0
C16587	3-Carbamoyl-2-phenylpropionaldehyde	-3.7	-7.435	0.075	186.041	-3.804	60.0
C16586	2-Phenyl-1,3-propanediol_monocarbamate	3.7	7.435	0.498	186.041	6.533	70.0
C00568	4-Aminobenzoate	3.807	7.748	0.491	228.968	6.814	80.0
C01099	L-Fuculose_1-phosphate	1.0	-5.7	0.038	53.984	-1.054	60.0
C01097	D-Tagatose_6-phosphate	3.963	-6.989	0.123	142.623	-4.13	70.0
C01094	D-Fructose_1-phosphate	7.508	-9.265	0.296	797.264	-7.882	90.0
C00342	Thioredoxin	-8.24	9.824	0.334	1208.732	-8.655	90.0
C00343	Thioredoxin_disulfide	8.264	-9.679	0.375	1127.133	-8.723	90.0
C00344	Phosphatidylglycerol	4.644	7.248	0.641	177.01	6.825	80.0
C00063	CTP	6.787	6.459	0.952	198.405	7.561	80.0
C00062	L-Arginine	3.369	7.075	0.476	145.162	6.111	70.0
C00065	L-Serine	3.441	-1.208	0.213	13.171	-1.486	60.0
C00064	L-Glutamine	3.633	-8.694	0.03	426.554	-3.676	60.0
C11811	1-Hydroxy-2-methyl-2-butenyl_4-diphosphate	2.807	7.644	0.367	207.018	6.248	70.0
C16633	5-Fluorouridine	4.954	-11.195	0.013	2375.391	-4.973	80.0
C16631	alpha-Fluoro-beta-ureidopropionic_acid	-3.322	-9.568	0.013	769.024	-3.341	50.0
C16630	5,6-Dihydro-5-fluorouracil	3.322	9.568	0.347	769.024	8.061	80.0
C19673	Malonyl-[acp]_methyl_ester	5.858	10.17	0.576	1210.061	9.445	90.0
C04079	N-((R)-Pantothenoyl)-L-cysteine	4.644	7.629	0.609	222.954	7.084	80.0
C01267	3-(Imidazol-4-yl)-2-oxopropyl_phosphate	-0.341	-4.446	0.058	23.063	-0.422	60.0
C00666	LL-2,6-Diaminoheptanedioate	-4.018	8.4	0.048	353.995	-4.086	60.0
C00663	beta-D-Glucose_1-phosphate	-1.0	6.524	0.022	94.028	-1.031	60.0
C02163	L-Arginyl-tRNA(Arg)	-4.644	-7.794	0.113	246.939	-4.798	80.0
C00988	2-Phosphoglycolate	2.322	8.061	0.288	272.057	6.292	70.0
C00117	D-Ribose_5-phosphate	-5.24	-8.754	0.088	469.526	-5.361	80.0
C00111	Glycerone_phosphate	-5.895	7.443	0.342	233.514	-6.319	90.0
C02380	6-Mercaptopurine	4.322	8.622	0.501	413.987	7.697	80.0
C00112	CDP	-5.062	-9.388	0.05	703.397	-5.132	80.0
C00118	D-Glyceraldehyde_3-phosphate	-6.484	6.16	0.799	161.018	-7.007	90.0
C03492	D-4'-Phosphopantothenate	2.0	-7.629	0.02	201.951	-2.029	50.0
C01346	dUDP	1.0	-6.7	0.019	105.968	-1.027	60.0
C05750	3-Oxooctanoyl-[acp]	-4.129	10.206	0.015	1198.666	-4.15	70.0
C05751	trans-Oct-2-enoyl-[acp]	3.459	-9.594	0.014	783.823	-3.479	50.0
C14145	(3S)-3-Hydroxyadipyl-CoA	8.082	-6.119	0.256	340.475	-6.448	90.0
C05753	3-Oxodecanoyl-[acp]	-4.129	10.206	0.015	1198.666	-4.15	70.0
C05754	trans-Dec-2-enoyl-[acp]	3.459	-9.594	0.014	783.823	-3.479	50.0
C05755	Decanoyl-[acp]	4.459	10.17	0.438	1174.053	9.008	90.0
C05756	3-Oxododecanoyl-[acp]	-4.524	10.621	0.015	1597.858	-4.545	70.0
C05757	(R)-3-Hydroxydodecanoyl-[acp]	-3.322	-10.932	0.005	1963.71	-3.329	50.0
C05758	trans-Dodec-2-enoyl-[acp]	3.459	-9.594	0.014	783.823	-3.479	50.0
C05759	3-Oxotetradecanoyl-[acp]	-4.524	10.621	0.015	1597.858	-4.545	70.0
C05811	2-Octaprenyl-6-hydroxyphenol	-2.0	-8.555	0.011	380.107	-2.015	50.0
C05810	2-Octaprenylphenol	2.0	8.555	0.234	380.107	6.473	70.0
C00188	L-Threonine	5.585	9.434	0.592	739.7	8.774	90.0
C02702	L-Prolyl-tRNA(Pro)	-6.954	-8.574	0.325	505.076	-7.36	90.0
C00183	L-Valine	5.644	-7.761	0.231	266.922	-5.943	90.0
C00180	Benzoate	-5.17	-8.044	0.136	299.93	-5.354	80.0
C00181	D-Xylose	3.322	8.581	0.387	392.947	7.249	80.0
C00010	CoA	-6.555	-8.155	0.33	379.063	-6.966	90.0
C00011	CO2	7.949	-2.358	0.021	252.235	-2.388	50.0
C04352	(R)-4'-Phosphopantothenoyl-L-cysteine	0.678	-7.629	0.008	199.551	-0.69	60.0
C00015	UDP	-4.615	-8.996	0.048	535.087	-4.683	70.0
