compound_code	compound_name	escherichia_630_score	cd630_clindamycin_score	ratio	magnitude	interaction_score	percentile
C04051	5-Amino-4-imidazolecarboxyamide	-8.488	-4.087	0.047	376.034	-4.154	70.0
C01209	Malonyl-[acyl-carrier_protein]	10.17	4.226	0.416	1170.773	8.926	90.0
C00217	D-Glutamate	7.262	3.824	0.527	167.652	6.464	70.0
C00212	Adenosine	2.874	4.059	0.708	23.999	4.087	70.0
C05840	Iminoaspartate	-5.392	-1.0	0.048	43.991	-1.067	60.0
C00037	Glycine	7.97	-2.818	0.028	257.783	-2.858	50.0
C00035	GDP	-9.649	-4.591	0.03	826.958	-4.634	70.0
C00033	Acetate	8.313	6.337	0.762	398.866	8.248	90.0
C00031	D-Glucose	-9.88	4.278	0.021	961.672	-4.307	70.0
C00136	Butanoyl-CoA	-11.435	6.418	0.031	2854.222	-6.462	90.0
C00135	L-Histidine	9.185	4.248	0.462	601.051	8.119	80.0
C00134	Putrescine	-4.122	2.874	0.421	24.743	-3.381	50.0
C00133	D-Alanine	10.091	-7.068	0.123	1224.848	-7.235	90.0
C00131	dATP	-7.986	-2.558	0.023	259.417	-2.591	50.0
C00130	IMP	-5.529	-0.7	0.035	47.798	-0.75	60.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	-8.84	-3.443	0.024	469.128	-3.477	50.0
C00041	L-Alanine	-9.644	6.271	0.097	877.305	-6.404	90.0
C00040	Acyl-CoA	8.763	4.441	0.507	456.157	7.853	80.0
C00047	L-Lysine	8.57	4.524	0.528	403.045	7.733	80.0
C00046	RNA	11.244	-4.907	0.012	2455.391	-4.925	80.0
C00044	GTP	8.987	-5.928	0.12	568.292	-6.091	90.0
C00049	L-Aspartate	-11.605	-3.759	0.004	3128.503	-3.765	60.0
C00048	Glyoxylate	-9.379	-4.505	0.034	688.531	-4.553	70.0
C02642	3-Ureidopropionate	-9.568	-3.322	0.013	769.024	-3.341	50.0
C06481	L-Seryl-tRNA(Sec)	8.669	-5.459	0.108	451.019	-5.607	80.0
C20440	alpha-D-Ribose_1,2-cyclic_phosphate_5-phosphate	2.322	3.17	0.732	14.001	3.358	70.0
C01101	L-Ribulose_5-phosphate	-9.109	2.322	0.009	557.182	-2.335	50.0
C01100	L-Histidinol_phosphate	5.728	2.807	0.49	60.001	4.878	70.0
C01103	Orotidine_5'-phosphate	7.319	-2.807	0.044	166.674	-2.869	50.0
C04462	N-Succinyl-2-L-amino-6-oxoheptanedioate	-6.647	-4.374	0.207	120.953	-4.645	70.0
C06002	(S)-Methylmalonate_semialdehyde	-8.169	1.0	0.007	289.815	-1.01	60.0
C06007	(R)-2,3-Dihydroxy-3-methylpentanoate	8.224	1.524	0.185	301.876	5.806	70.0
C16565	Aminopropylcadaverine	-8.504	-1.0	0.006	365.044	-1.008	60.0
C05345	beta-D-Fructose_6-phosphate	-7.072	5.494	0.335	179.617	-5.911	90.0
C00424	(S)-Lactaldehyde	-9.242	-1.0	0.003	607.507	-1.005	60.0
C00429	5,6-Dihydrouracil	9.568	3.322	0.347	769.024	8.061	80.0
C03451	(R)-S-Lactoylglutathione	7.877	3.807	0.483	249.075	6.911	80.0
C03232	3-Phosphonooxypyruvate	-9.844	-1.585	0.003	922.05	-1.59	50.0
C05223	Dodecanoyl-[acyl-carrier_protein]	10.17	4.459	0.438	1174.053	9.008	90.0
C05841	Nicotinate_D-ribonucleoside	-8.454	5.0	0.091	382.677	-5.126	80.0
C00253	Nicotinate	2.663	-5.087	0.186	40.323	-2.91	50.0
C00250	Pyridoxal	-6.349	2.807	0.086	88.514	-2.926	50.0
C00251	Chorismate	-6.722	1.773	0.032	108.984	-1.819	50.0
C00256	(R)-Lactate	7.943	6.229	0.784	321.092	7.976	80.0
C00255	Riboflavin	8.7	4.17	0.479	433.874	7.7	80.0
C00392	Mannitol	7.585	1.585	0.209	195.005	5.349	70.0
C00258	D-Glycerate	-7.349	-0.585	0.009	164.531	-0.598	60.0
C05335	L-Selenomethionine	-8.079	-1.0	0.007	272.409	-1.011	60.0
C16596	5-Phenyl-1,3-oxazinane-2,4-dione	-7.435	-3.7	0.075	186.041	-3.804	60.0
C16595	4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one	7.435	3.7	0.498	186.041	6.533	70.0
C01081	Thiamin_monophosphate	-7.14	-1.0	0.014	143.044	-1.02	60.0
C01083	alpha,alpha-Trehalose	7.418	4.087	0.551	188.012	6.695	80.0
C00559	Deoxyadenosine	2.874	-4.248	0.386	26.332	-3.345	50.0
C00555	4-Aminobutyraldehyde	4.322	1.0	0.231	22.001	2.348	70.0
C00886	L-Alanyl-tRNA	-9.812	-4.7	0.029	924.882	-4.741	70.0
C00498	ADP-glucose	-5.86	-3.222	0.161	67.412	-3.437	50.0
C00499	Allantoate	-6.943	3.907	0.122	138.043	-4.073	60.0
C00881	Deoxycytidine	-8.454	4.755	0.077	377.679	-4.862	80.0
C00078	L-Tryptophan	8.847	5.087	0.575	494.471	8.151	90.0
C00079	L-Phenylalanine	-4.711	1.249	0.091	28.568	-1.374	60.0
C00072	Ascorbate	9.5	5.426	0.571	767.069	8.775	90.0
C00073	L-Methionine	-8.079	3.406	0.039	281.009	-3.461	50.0
C00071	Aldehyde	-11.009	-4.82	0.014	2089.063	-4.84	80.0
C00077	L-Ornithine	-7.468	3.081	0.048	185.51	-3.148	50.0
C00074	Phosphoenolpyruvate	-9.972	-5.997	0.064	1068.185	-6.086	90.0
C00075	UTP	8.484	6.954	0.82	482.029	8.626	90.0
C16186	L-Ascorbate_6-phosphate	-8.165	-5.426	0.15	330.011	-5.627	80.0
C00085	D-Fructose_6-phosphate	8.16	6.695	0.82	389.634	8.32	90.0
C00084	Acetaldehyde	11.921	3.844	0.322	3892.099	10.294	90.0
C00082	L-Tyrosine	5.688	-3.209	0.179	60.801	-3.447	50.0
C04640	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine	-8.539	-3.585	0.032	383.959	-3.631	60.0
C00089	Sucrose	-12.392	1.0	0.0	5376.817	-1.001	60.0
C04646	6-Thioinosine-5'-monophosphate	-8.622	4.807	0.071	421.979	-4.906	80.0
C02218	Dehydroalanine	-7.331	-4.322	0.124	181.01	-4.491	70.0
C00671	(S)-3-Methyl-2-oxopentanoic_acid	7.552	-3.17	0.048	196.663	-3.238	50.0
C00672	2-Deoxy-D-ribose_1-phosphate	10.197	4.585	0.45	1197.824	9.073	90.0
C00673	2-Deoxy-D-ribose_5-phosphate	-9.674	-3.322	0.012	826.892	-3.34	50.0
C00106	Uracil	-10.042	1.322	0.002	1056.749	-1.325	60.0
C00105	UMP	-5.973	2.037	0.065	66.917	-2.128	50.0
C00103	D-Glucose_1-phosphate	-9.038	-1.384	0.005	528.275	-1.391	60.0
C00100	Propanoyl-CoA	-12.1	-5.358	0.009	4430.997	-5.371	80.0
C00101	Tetrahydrofolate	-8.761	3.784	0.032	447.609	-3.829	60.0
C00109	2-Oxobutanoate	10.96	-4.748	0.013	2018.869	-4.767	70.0
C04702	UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)	7.484	3.0	0.401	187.023	6.228	70.0
C05764	Hexadecanoyl-[acp]	10.17	4.459	0.438	1174.053	9.008	90.0
C06899	Chloral_hydrate	7.435	3.7	0.498	186.041	6.533	70.0
C05761	Tetradecanoyl-[acp]	10.17	4.459	0.438	1174.053	9.008	90.0
C05760	trans-Tetradec-2-enoyl-[acp]	-9.594	3.459	0.014	783.823	-3.479	50.0
C05763	trans-Hexadec-2-enoyl-[acp]	-9.594	3.459	0.014	783.823	-3.479	50.0
C05762	3-Oxohexadecanoyl-[acp]	10.206	-4.129	0.015	1198.666	-4.15	70.0
C00361	dGDP	-7.112	4.481	0.161	160.664	-4.697	70.0
C05807	2-Polyprenylphenol	8.555	2.0	0.234	380.107	6.473	70.0
C02992	L-Threonyl-tRNA(Thr)	-11.493	-5.615	0.017	2931.3	-5.639	80.0
C02995	Maltose_6'-phosphate	-5.954	-3.459	0.177	72.988	-3.695	60.0
C03090	5-Phosphoribosylamine	8.807	2.0	0.227	451.89	6.681	80.0
C07086	Phenylacetic_acid	-6.066	-5.17	0.537	102.998	-5.79	90.0
C01079	Protoporphyrinogen_IX	-7.615	-4.459	0.112	218.033	-4.612	70.0
C11437	1-Deoxy-D-xylulose_5-phosphate	4.044	0.485	0.12	17.895	1.102	60.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	-9.167	-5.0	0.056	606.833	-5.078	80.0
C01172	beta-D-Glucose_6-phosphate	6.369	1.907	0.299	86.404	4.693	70.0
C00473	Retinol	7.435	3.7	0.498	186.041	6.533	70.0
C03892	Phosphatidylglycerophosphate	-9.322	-3.807	0.022	654.028	-3.838	60.0
C00681	1-Acyl-sn-glycerol_3-phosphate	-8.44	-3.259	0.028	356.864	-3.298	50.0
C00680	meso-2,6-Diaminoheptanedioate	-7.087	2.632	0.046	142.155	-2.696	50.0
C00689	alpha,alpha'-Trehalose_6-phosphate	6.459	7.611	0.849	283.47	7.91	80.0
C05378	beta-D-Fructose_1,6-bisphosphate	7.745	7.693	0.993	421.455	8.71	90.0
C00831	Pantetheine	7.629	4.644	0.609	222.954	7.084	80.0
C16551	Alcophosphamide	-7.435	-3.7	0.075	186.041	-3.804	60.0
C01267	3-(Imidazol-4-yl)-2-oxopropyl_phosphate	-4.446	-0.341	0.058	23.063	-0.422	60.0
C16220	3-Hydroxyoctadecanoyl-[acp]	-10.932	-3.322	0.005	1963.71	-3.329	50.0
C00921	Dihydropteroate	-5.129	-3.459	0.314	45.99	-3.853	60.0
C04294	5-(2-Hydroxyethyl)-4-methylthiazole	6.966	1.0	0.144	127.019	4.189	70.0
C00458	dCTP	-9.343	-5.478	0.069	693.986	-5.574	80.0
C04895	7,8-Dihydroneopterin_3'-triphosphate	-8.707	-4.392	0.05	438.891	-4.463	70.0
C04896	5-(5-Phospho-D-ribosylaminoformimino)-1-(5-phosphoribosyl)-imidazole-4-carboxamide	-7.983	-1.0	0.008	255.001	-1.011	60.0
C00455	Nicotinamide_D-ribonucleotide	8.454	3.907	0.462	365.678	7.401	80.0
C15973	Enzyme_N6-(dihydrolipoyl)lysine	9.852	5.081	0.516	958.009	8.949	90.0
C00330	Deoxyguanosine	5.497	5.0	0.91	77.161	6.133	70.0
C00332	Acetoacetyl-CoA	1.115	-5.924	0.036	62.882	-1.166	60.0
C00334	4-Aminobutanoate	-5.807	4.19	0.326	74.238	-4.597	70.0
C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier_protein]	-10.932	-3.322	0.005	1963.71	-3.329	50.0
C16221	(2E)-Octadecenoyl-[acp]	-9.594	3.459	0.014	783.823	-3.479	50.0
C00208	Maltose	-7.618	3.524	0.059	207.951	-3.606	60.0
C00204	2-Dehydro-3-deoxy-D-gluconate	3.773	-4.248	0.719	32.672	-4.555	70.0
C00206	dADP	-7.112	7.284	0.888	294.181	-8.029	90.0
C07490	Trichloroethanol	-7.435	-3.7	0.075	186.041	-3.804	60.0
C00025	L-Glutamate	-4.442	-0.125	0.05	22.826	-0.196	60.0
C00024	Acetyl-CoA	-10.163	-4.766	0.024	1173.692	-4.8	80.0
C00148	L-Proline	4.524	8.176	0.553	312.222	7.433	80.0
C00149	(S)-Malate	2.104	0.737	0.35	5.966	1.063	60.0
C00020	AMP	4.205	4.771	0.881	45.746	5.333	70.0
C00022	Pyruvate	9.626	-5.305	0.05	829.693	-5.375	80.0
C00140	N-Acetyl-D-glucosamine	8.219	9.545	0.861	1044.984	9.813	90.0
C00141	3-Methyl-2-oxobutanoic_acid	6.744	-2.459	0.051	112.686	-2.531	50.0
C00029	UDP-glucose	4.895	-2.369	0.174	34.92	-2.6	50.0
C00147	Adenine	-5.375	0.363	0.031	42.785	-0.407	60.0
C00144	GMP	5.863	-3.406	0.182	68.802	-3.647	60.0
C05729	R-S-Cysteinylglycine	9.22	6.622	0.718	694.84	8.963	90.0
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	-5.99	-4.373	0.326	84.279	-4.78	70.0
C04633	(3R)-3-Hydroxypalmitoyl-[acyl-carrier_protein]	-10.517	-2.954	0.005	1473.069	-2.962	50.0
C00644	D-Mannitol_1-phosphate	-7.585	2.0	0.021	196.005	-2.03	50.0
C02739	1-(5-Phospho-D-ribosyl)-ATP	7.983	1.17	0.147	255.251	5.225	70.0
C05726	S-Substituted_L-cysteine	-9.22	-6.693	0.173	699.809	-6.924	90.0
C00705	dCDP	-5.011	2.433	0.167	37.645	-2.656	50.0
C02320	R-S-Glutathione	-10.165	2.585	0.005	1154.074	-2.593	50.0
C01528	Hydrogen_selenide	8.919	-8.358	0.678	812.148	-9.105	90.0
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	9.167	5.459	0.596	618.82	8.526	90.0
C01134	Pantetheine_4'-phosphate	-7.629	-4.087	0.086	214.946	-4.206	70.0
C03512	L-Tryptophanyl-tRNA(Trp)	-8.972	-5.087	0.068	536.148	-5.181	80.0
C03127	L-Isoleucyl-tRNA(Ile)	-9.098	-6.109	0.126	617.011	-6.28	90.0
C20373	3-Hydroxyglutaryl-[acp]_methyl_ester	-10.932	-3.322	0.005	1963.71	-3.329	50.0
C20372	3-Ketoglutaryl-[acp]_methyl_ester	10.621	-4.524	0.015	1597.858	-4.545	70.0
C20377	3-Hydroxypimeloyl-[acp]_methyl_ester	-10.932	-3.322	0.005	1963.71	-3.329	50.0
C20376	3-Ketopimeloyl-[acp]_methyl_ester	10.621	-4.524	0.015	1597.858	-4.545	70.0
C20375	Glutaryl-[acp]_methyl_ester	10.17	5.858	0.576	1210.061	9.445	90.0
C20374	Enoylglutaryl-[acp]_methyl_ester	-9.594	-4.755	0.035	799.828	-4.805	80.0
C20378	Enoylpimeloyl-[acp]_methyl_ester	-9.594	-4.755	0.035	799.828	-4.805	80.0
C00036	Oxaloacetate	8.5	4.311	0.507	381.888	7.598	80.0
C00966	2-Dehydropantoate	-8.155	0.678	0.006	286.636	-0.686	60.0
C04916	N-(5'-Phospho-D-1'-ribulosylformimino)-5-amino-1-(5''-phospho-D-ribosyl)-4-imidazolecarboxamide	7.658	-0.585	0.007	203.47	-0.596	60.0
C00415	Dihydrofolate	-7.5	-3.585	0.066	193.02	-3.678	60.0
C00416	Phosphatidate	7.286	-0.737	0.011	157.731	-0.752	60.0
C03460	2-Methylprop-2-enoyl-CoA	8.364	-8.775	0.752	767.534	-9.173	90.0
C04851	MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho-undecaprenol	-9.349	5.087	0.052	686.112	-5.16	80.0
C01279	4-Amino-5-hydroxymethyl-2-methylpyrimidine	-7.313	-1.0	0.013	161.013	-1.018	60.0
C00620	alpha-D-Ribose_1-phosphate	9.98	5.109	0.512	1044.414	9.062	90.0
C11355	4-Amino-4-deoxychorismate	-7.577	-1.585	0.016	193.943	-1.607	50.0
C00242	Guanine	-9.253	-3.63	0.02	622.522	-3.659	60.0
C16587	3-Carbamoyl-2-phenylpropionaldehyde	-7.435	-3.7	0.075	186.041	-3.804	60.0
C16586	2-Phenyl-1,3-propanediol_monocarbamate	7.435	3.7	0.498	186.041	6.533	70.0
C00568	4-Aminobenzoate	7.748	3.807	0.491	228.968	6.814	80.0
C01099	L-Fuculose_1-phosphate	-5.7	1.0	0.038	53.984	-1.054	60.0
C01097	D-Tagatose_6-phosphate	-6.989	3.963	0.123	142.623	-4.13	70.0
C01094	D-Fructose_1-phosphate	-9.265	7.508	0.296	797.264	-7.882	90.0
C00342	Thioredoxin	9.824	-8.24	0.334	1208.732	-8.655	90.0
C00343	Thioredoxin_disulfide	-9.679	8.264	0.375	1127.133	-8.723	90.0
C00344	Phosphatidylglycerol	7.248	4.644	0.641	177.01	6.825	80.0
C00063	CTP	6.459	6.787	0.952	198.405	7.561	80.0
C00062	L-Arginine	7.075	3.369	0.476	145.162	6.111	70.0
C00065	L-Serine	-1.208	3.441	0.213	13.171	-1.486	60.0
C00064	L-Glutamine	-8.694	3.633	0.03	426.554	-3.676	60.0
C11811	1-Hydroxy-2-methyl-2-butenyl_4-diphosphate	7.644	2.807	0.367	207.018	6.248	70.0
C16633	5-Fluorouridine	-11.195	4.954	0.013	2375.391	-4.973	80.0
C16631	alpha-Fluoro-beta-ureidopropionic_acid	-9.568	-3.322	0.013	769.024	-3.341	50.0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	7.304	5.062	0.693	191.429	7.052	80.0
C19673	Malonyl-[acp]_methyl_ester	10.17	5.858	0.576	1210.061	9.445	90.0
C04079	N-((R)-Pantothenoyl)-L-cysteine	7.629	4.644	0.609	222.954	7.084	80.0
C00668	alpha-D-Glucose_6-phosphate	-9.56	3.856	0.019	769.306	-3.883	60.0
C00666	LL-2,6-Diaminoheptanedioate	8.4	-4.018	0.048	353.995	-4.086	60.0
C00663	beta-D-Glucose_1-phosphate	6.524	-1.0	0.022	94.028	-1.031	60.0
C02163	L-Arginyl-tRNA(Arg)	-7.794	-4.644	0.113	246.939	-4.798	80.0
C00988	2-Phosphoglycolate	8.061	2.322	0.288	272.057	6.292	70.0
C00117	D-Ribose_5-phosphate	-8.754	-5.24	0.088	469.526	-5.361	80.0
C00111	Glycerone_phosphate	7.443	-5.895	0.342	233.514	-6.319	90.0
C02380	6-Mercaptopurine	8.622	4.322	0.501	413.987	7.697	80.0
C00112	CDP	-9.388	-5.062	0.05	703.397	-5.132	80.0
C00118	D-Glyceraldehyde_3-phosphate	6.16	-6.484	0.799	161.018	-7.007	90.0
C03492	D-4'-Phosphopantothenate	-7.629	2.0	0.02	201.951	-2.029	50.0
C01346	dUDP	-6.7	1.0	0.019	105.968	-1.027	60.0
C05750	3-Oxooctanoyl-[acp]	10.206	-4.129	0.015	1198.666	-4.15	70.0
C05751	trans-Oct-2-enoyl-[acp]	-9.594	3.459	0.014	783.823	-3.479	50.0
C14145	(3S)-3-Hydroxyadipyl-CoA	-6.119	8.082	0.256	340.475	-6.448	90.0
C05753	3-Oxodecanoyl-[acp]	10.206	-4.129	0.015	1198.666	-4.15	70.0
C05754	trans-Dec-2-enoyl-[acp]	-9.594	3.459	0.014	783.823	-3.479	50.0
C05755	Decanoyl-[acp]	10.17	4.459	0.438	1174.053	9.008	90.0
C05756	3-Oxododecanoyl-[acp]	10.621	-4.524	0.015	1597.858	-4.545	70.0
C05757	(R)-3-Hydroxydodecanoyl-[acp]	-10.932	-3.322	0.005	1963.71	-3.329	50.0
C05758	trans-Dodec-2-enoyl-[acp]	-9.594	3.459	0.014	783.823	-3.479	50.0
C05759	3-Oxotetradecanoyl-[acp]	10.621	-4.524	0.015	1597.858	-4.545	70.0
C05811	2-Octaprenyl-6-hydroxyphenol	-8.555	-2.0	0.011	380.107	-2.015	50.0
C05810	2-Octaprenylphenol	8.555	2.0	0.234	380.107	6.473	70.0
C00188	L-Threonine	9.434	5.585	0.592	739.7	8.774	90.0
C02702	L-Prolyl-tRNA(Pro)	-8.574	-6.954	0.325	505.076	-7.36	90.0
C00183	L-Valine	-7.761	5.644	0.231	266.922	-5.943	90.0
C00180	Benzoate	-8.044	-5.17	0.136	299.93	-5.354	80.0
C00181	D-Xylose	8.581	3.322	0.387	392.947	7.249	80.0
C00010	CoA	-8.155	-6.555	0.33	379.063	-6.966	90.0
C02839	L-Tyrosyl-tRNA(Tyr)	-9.342	-5.0	0.049	680.966	-5.069	80.0
C04352	(R)-4'-Phosphopantothenoyl-L-cysteine	-7.629	0.678	0.008	199.551	-0.69	60.0
