compound_code	compound_name	cd630_cefoperazone_score	bacteroides_630_score	ratio	magnitude	interaction_score	percentile
C00048	Glyoxylate	-5.539	0.585	0.032	47.995	-0.631	60.0
C06481	L-Seryl-tRNA(Sec)	-7.087	-4.0	0.0	0.0	0.0	50.0
C20440	alpha-D-Ribose_1,2-cyclic_phosphate_5-phosphate	4.248	5.129	0.828	53.994	5.483	80.0
C01100	L-Histidinol_phosphate	4.196	-4.667	0.721	43.733	-4.98	90.0
C06007	(R)-2,3-Dihydroxy-3-methylpentanoate	-0.7	-3.615	0.0	0.0	0.0	50.0
C06006	(S)-2-Aceto-2-hydroxybutanoate	1.0	4.358	0.229	22.506	2.369	70.0
C01233	sn-Glycero-3-phosphoethanolamine	2.322	2.322	1.0	10.0	3.322	70.0
C05345	beta-D-Fructose_6-phosphate	6.792	4.314	0.635	130.705	6.375	90.0
C03451	(R)-S-Lactoylglutathione	5.392	3.7	0.686	54.987	5.238	80.0
C05840	Iminoaspartate	1.0	2.585	0.387	8.0	1.63	70.0
C00387	Guanosine	7.15	2.0	0.28	146.025	5.352	80.0
C05841	Nicotinate_D-ribonucleoside	6.358	2.585	0.407	88.026	5.161	80.0
C00253	Nicotinate	-6.503	-2.115	0.0	0.0	0.0	50.0
C00251	Chorismate	2.755	-3.494	0.599	18.017	-3.432	90.0
C00256	(R)-Lactate	8.87	1.0	0.113	469.882	5.727	80.0
C00255	Riboflavin	-4.907	-2.585	0.0	0.0	0.0	50.0
C05336	Selenomethionyl-tRNA(Met)	-6.34	-4.585	0.0	0.0	0.0	50.0
C05335	L-Selenomethionine	3.524	-1.585	0.261	14.504	-1.919	70.0
C01081	Thiamin_monophosphate	-1.585	2.585	0.5	9.0	-2.17	70.0
C00559	Deoxyadenosine	-5.634	2.322	0.101	54.66	-2.46	80.0
C00491	L-Cystine	4.322	2.807	0.649	26.999	4.132	70.0
C00492	Raffinose	1.0	-0.585	0.75	3.5	-1.392	70.0
C00493	Shikimate	0.341	-0.341	1.0	2.533	-1.341	70.0
C00886	L-Alanyl-tRNA	-6.209	-5.426	0.0	0.0	0.0	50.0
C00498	ADP-glucose	-3.841	4.109	0.83	31.586	-4.713	90.0
C00882	Dephospho-CoA	-4.392	-2.0	0.0	0.0	0.0	50.0
C00881	Deoxycytidine	5.672	2.322	0.409	55.985	4.518	80.0
C00078	L-Tryptophan	6.508	-2.115	0.048	95.345	-2.182	70.0
C00079	L-Phenylalanine	2.907	1.049	0.361	9.57	1.788	70.0
C00073	L-Methionine	5.036	-1.888	0.113	36.51	-2.042	70.0
C00077	L-Ornithine	4.229	-1.688	0.172	21.974	-1.917	70.0
C00074	Phosphoenolpyruvate	-7.701	-6.42	0.0	0.0	0.0	50.0
C00075	UTP	8.593	7.54	0.877	572.254	8.972	90.0
C00085	D-Fructose_6-phosphate	7.976	4.689	0.588	277.571	7.35	90.0
C00083	Malonyl-CoA	-5.753	3.871	0.271	68.561	-4.217	90.0
C00082	L-Tyrosine	-3.0	-2.229	0.0	0.0	0.0	50.0
C04640	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine	-5.459	-5.524	0.0	0.0	0.0	50.0
C05762	3-Oxohexadecanoyl-[acp]	-6.472	-5.537	0.0	0.0	0.0	50.0
C00089	Sucrose	1.0	-1.0	1.0	4.0	-2.0	70.0
C04646	6-Thioinosine-5'-monophosphate	6.755	-2.0	0.037	112.008	-2.052	70.0
C00670	sn-Glycero-3-phosphocholine	2.322	2.322	1.0	10.0	3.322	70.0
C00671	(S)-3-Methyl-2-oxopentanoic_acid	-1.585	-1.907	0.0	0.0	0.0	50.0
C00673	2-Deoxy-D-ribose_5-phosphate	-4.209	2.807	0.378	25.492	-3.27	90.0
C00106	Uracil	4.637	1.0	0.216	26.881	2.535	70.0
C00105	UMP	0.643	-2.419	0.292	6.91	-1.013	70.0
C00103	D-Glucose_1-phosphate	4.892	1.322	0.27	32.192	3.121	70.0
C00100	Propanoyl-CoA	-7.704	-4.281	0.0	0.0	0.0	50.0
C00101	Tetrahydrofolate	3.711	-1.322	0.191	15.596	-1.574	70.0
C15556	L-3,4-Dihydroxybutan-2-one_4-phosphate	4.858	-1.585	0.103	32.0	-1.727	70.0
C00109	2-Oxobutanoate	-2.031	2.755	0.605	10.837	-2.714	80.0
C04702	UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)	4.392	3.0	0.683	28.995	4.308	70.0
C05764	Hexadecanoyl-[acp]	6.755	6.17	0.913	180.012	7.361	90.0
C05761	Tetradecanoyl-[acp]	6.755	6.17	0.913	180.012	7.361	90.0
C05760	trans-Tetradec-2-enoyl-[acp]	6.87	-3.087	0.073	125.468	-3.188	80.0
C05763	trans-Hexadec-2-enoyl-[acp]	6.87	-3.087	0.073	125.468	-3.188	80.0
C03175	Shikimate_3-phosphate	0.585	2.0	0.292	5.5	0.686	60.0
C00361	dGDP	7.656	2.36	0.308	206.824	5.994	80.0
C02992	L-Threonyl-tRNA(Thr)	-6.87	-6.19	0.0	0.0	0.0	50.0
C00179	Agmatine	1.585	-4.322	0.15	23.001	-1.787	70.0
C03090	5-Phosphoribosylamine	3.485	-2.0	0.357	15.197	-2.441	80.0
C07086	Phenylacetic_acid	-5.492	3.907	0.333	60.006	-4.322	90.0
C01077	O-Acetyl-L-homoserine	3.807	2.807	0.737	20.995	3.952	70.0
C02972	Dihydrolipoylprotein	5.883	1.0	0.17	61.015	3.375	70.0
C01079	Protoporphyrinogen_IX	-6.022	-2.322	0.0	0.0	0.0	50.0
C11435	4-(Cytidine_5'-diphospho)-2-C-methyl-D-erythritol	3.503	-1.415	0.235	14.004	-1.72	70.0
C11436	2-Phospho-4-(cytidine_5'-diphospho)-2-C-methyl-D-erythritol	-3.17	0.415	0.148	10.334	-0.614	60.0
C00857	Deamino-NAD+	4.907	3.059	0.623	38.336	4.579	80.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	-6.687	3.0	0.078	111.036	-3.108	80.0
C01172	beta-D-Glucose_6-phosphate	6.512	-3.836	0.156	105.546	-4.046	90.0
C00169	Carbamoyl_phosphate	-5.544	-4.387	0.0	0.0	0.0	50.0
C02412	Glycyl-tRNA(Gly)	-6.931	-5.0	0.0	0.0	0.0	50.0
C00680	meso-2,6-Diaminoheptanedioate	2.379	1.026	0.431	7.238	1.642	70.0
C02553	L-Seryl-tRNA(Ser)	-7.14	-4.0	0.0	0.0	0.0	50.0
C05378	beta-D-Fructose_1,6-bisphosphate	8.483	5.825	0.687	414.487	8.153	90.0
C00448	trans,trans-Farnesyl_diphosphate	4.728	-2.138	0.166	30.903	-2.36	80.0
C02554	L-Valyl-tRNA(Val)	-7.15	-4.0	0.0	0.0	0.0	50.0
C16220	3-Hydroxyoctadecanoyl-[acp]	-6.741	-5.459	0.0	0.0	0.0	50.0
C00921	Dihydropteroate	-4.644	-3.459	0.0	0.0	0.0	50.0
C00458	dCTP	-7.068	1.708	0.024	137.445	-1.743	70.0
C00459	dTTP	4.851	-3.974	0.544	44.574	-4.601	90.0
C04896	5-(5-Phospho-D-ribosylaminoformimino)-1-(5-phosphoribosyl)-imidazole-4-carboxamide	-3.0	-2.807	0.0	0.0	0.0	50.0
C00455	Nicotinamide_D-ribonucleotide	4.392	-2.663	0.302	27.329	-3.043	80.0
C01697	Galactitol	5.503	4.807	0.874	73.342	6.001	80.0
C15972	Enzyme_N6-(lipoyl)lysine	-5.794	-2.807	0.0	0.0	0.0	50.0
C00330	Deoxyguanosine	6.358	0.874	0.137	83.858	3.527	70.0
C00337	(S)-Dihydroorotate	5.044	-4.087	0.515	49.986	-4.686	90.0
C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier_protein]	-6.741	-3.524	0.0	0.0	0.0	50.0
C00631	2-Phospho-D-glycerate	-4.343	-0.603	0.0	0.0	0.0	50.0
C16221	(2E)-Octadecenoyl-[acp]	6.87	4.7	0.684	142.963	6.612	90.0
C00208	Maltose	3.392	-3.7	0.808	23.494	-4.246	90.0
C00204	2-Dehydro-3-deoxy-D-gluconate	-5.079	3.585	0.355	45.801	-4.023	90.0
C01212	UDP-N-acetylmuramoyl-L-alanine	-5.547	1.7	0.069	50.002	-1.797	70.0
C00025	L-Glutamate	-4.376	2.02	0.195	24.82	-2.277	80.0
C00024	Acetyl-CoA	-7.807	1.987	0.018	227.909	-2.012	70.0
C00148	L-Proline	9.076	1.0	0.11	541.695	5.899	80.0
C00026	2-Oxoglutarate	-4.713	-2.228	0.0	0.0	0.0	50.0
C00021	S-Adenosyl-L-homocysteine	5.087	-2.678	0.188	40.389	-2.927	80.0
C00020	AMP	6.642	-3.585	0.12	111.872	-3.749	90.0
C00022	Pyruvate	-6.921	-3.756	0.0	0.0	0.0	50.0
C00143	5,10-Methylenetetrahydrofolate	-4.686	1.834	0.139	29.306	-2.021	70.0
C00141	3-Methyl-2-oxobutanoic_acid	2.807	-2.006	0.574	11.015	-2.66	80.0
C00029	UDP-glucose	-3.744	-5.152	0.0	0.0	0.0	50.0
C00147	Adenine	-5.833	2.746	0.118	63.713	-2.907	80.0
C00144	GMP	-5.433	-4.232	0.0	0.0	0.0	50.0
C05729	R-S-Cysteinylglycine	7.397	5.087	0.688	202.535	7.122	90.0
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	-3.496	-2.619	0.0	0.0	0.0	50.0
C03232	3-Phosphonooxypyruvate	-3.322	3.138	0.88	18.804	-4.049	90.0
C02739	1-(5-Phospho-D-ribosyl)-ATP	2.322	2.663	0.872	11.334	3.305	70.0
C05726	S-Substituted_L-cysteine	-7.488	-5.087	0.0	0.0	0.0	50.0
C00705	dCDP	3.036	-2.7	0.792	14.7	-3.542	90.0
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	6.977	4.0	0.573	141.976	6.347	90.0
C01134	Pantetheine_4'-phosphate	-5.47	-2.415	0.0	0.0	0.0	50.0
C00760	Cellulose	-1.222	6.687	0.023	105.368	-1.254	70.0
C03511	L-Phenylalanyl-tRNA(Phe)	-6.728	-4.781	0.0	0.0	0.0	50.0
C03512	L-Tryptophanyl-tRNA(Trp)	-6.508	-3.17	0.0	0.0	0.0	50.0
C03127	L-Isoleucyl-tRNA(Ile)	-7.426	-5.492	0.0	0.0	0.0	50.0
C20373	3-Hydroxyglutaryl-[acp]_methyl_ester	-6.741	-5.459	0.0	0.0	0.0	50.0
C20372	3-Ketoglutaryl-[acp]_methyl_ester	-6.883	-5.755	0.0	0.0	0.0	50.0
C20377	3-Hydroxypimeloyl-[acp]_methyl_ester	-6.741	-5.459	0.0	0.0	0.0	50.0
C20376	3-Ketopimeloyl-[acp]_methyl_ester	-6.883	-5.755	0.0	0.0	0.0	50.0
C20375	Glutaryl-[acp]_methyl_ester	8.18	5.728	0.7	343.021	7.908	90.0
C20374	Enoylglutaryl-[acp]_methyl_ester	-6.066	5.492	0.672	112.0	-6.233	90.0
C20378	Enoylpimeloyl-[acp]_methyl_ester	-6.066	5.492	0.672	112.0	-6.233	90.0
C00966	2-Dehydropantoate	-2.379	1.766	0.654	8.603	-2.492	80.0
C00415	Dihydrofolate	-5.555	-0.152	0.0	0.0	0.0	50.0
C00416	Phosphatidate	5.07	4.768	0.94	60.837	5.838	80.0
C04851	MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho-undecaprenol	4.7	-2.322	0.192	30.992	-2.576	80.0
C00620	alpha-D-Ribose_1-phosphate	6.366	5.755	0.904	136.486	6.947	90.0
C00242	Guanine	-5.425	3.442	0.253	53.83	-3.767	90.0
C00245	Taurine	3.585	-2.322	0.417	17.001	-2.825	80.0
C00568	4-Aminobenzoate	5.644	3.459	0.613	61.002	5.224	80.0
C04732	5-Amino-6-(1-D-ribitylamino)uracil	7.011	3.322	0.474	138.98	6.041	80.0
C01097	D-Tagatose_6-phosphate	6.897	4.524	0.656	142.187	6.543	90.0
C01094	D-Fructose_1-phosphate	8.764	6.57	0.75	529.747	8.633	90.0
C00068	Thiamin_diphosphate	2.217	1.487	0.671	7.452	2.321	70.0
C00342	Thioredoxin	-9.23	1.848	0.006	604.092	-1.857	70.0
C00343	Thioredoxin_disulfide	9.262	-2.459	0.009	619.458	-2.472	80.0
C00344	Phosphatidylglycerol	5.7	1.585	0.278	54.984	3.934	70.0
C05684	Selenite	9.412	3.907	0.415	696.232	8.175	90.0
C00063	CTP	8.415	7.875	0.936	576.077	9.074	90.0
C00062	L-Arginine	4.939	-4.147	0.578	48.391	-4.805	90.0
C00065	L-Serine	5.374	-2.862	0.175	48.74	-3.095	80.0
C00064	L-Glutamine	4.454	2.538	0.57	27.725	3.982	70.0
C11811	1-Hydroxy-2-methyl-2-butenyl_4-diphosphate	5.087	-2.0	0.118	37.989	-2.161	70.0
C16633	5-Fluorouridine	4.087	2.322	0.568	21.995	3.643	70.0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	5.751	-0.263	0.022	55.055	-0.295	60.0
C16635	5'-Deoxy-5-fluorocytidine	5.672	2.585	0.456	56.985	4.699	80.0
C16634	5-Fluorouridine_monophosphate	-4.087	-3.0	0.0	0.0	0.0	50.0
C19673	Malonyl-[acp]_methyl_ester	8.18	6.539	0.799	383.008	8.258	90.0
C04079	N-((R)-Pantothenoyl)-L-cysteine	6.476	3.322	0.513	99.017	5.667	80.0
C01267	3-(Imidazol-4-yl)-2-oxopropyl_phosphate	0.341	3.17	0.108	10.267	0.143	60.0
C01269	5-O-(1-Carboxyvinyl)-3-phosphoshikimate	-2.17	2.322	0.9	9.5	-3.096	80.0
C02163	L-Arginyl-tRNA(Arg)	-6.248	-2.807	0.0	0.0	0.0	50.0
C00114	Choline	-2.322	-2.322	0.0	0.0	0.0	50.0
C00117	D-Ribose_5-phosphate	-6.344	-3.798	0.0	0.0	0.0	50.0
C00111	Glycerone_phosphate	-6.964	-3.637	0.0	0.0	0.0	50.0
C02380	6-Mercaptopurine	6.229	5.129	0.823	110.003	6.501	90.0
C00112	CDP	-6.204	-4.334	0.0	0.0	0.0	50.0
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	-6.094	-1.828	0.0	0.0	0.0	50.0
C00118	D-Glyceraldehyde_3-phosphate	-5.357	4.742	0.653	67.744	-5.467	90.0
C03492	D-4'-Phosphopantothenate	-3.807	-1.0	0.0	0.0	0.0	50.0
C01346	dUDP	-2.115	1.807	0.808	7.831	-2.661	80.0
C05750	3-Oxooctanoyl-[acp]	-6.472	-5.537	0.0	0.0	0.0	50.0
C05751	trans-Oct-2-enoyl-[acp]	6.87	-3.087	0.073	125.468	-3.188	80.0
C05752	Octanoyl-[acp]	6.755	5.762	0.853	162.275	7.113	90.0
C05753	3-Oxodecanoyl-[acp]	-6.472	-5.537	0.0	0.0	0.0	50.0
C05754	trans-Dec-2-enoyl-[acp]	6.87	-3.087	0.073	125.468	-3.188	80.0
C05755	Decanoyl-[acp]	6.755	6.17	0.913	180.012	7.361	90.0
C05756	3-Oxododecanoyl-[acp]	-6.883	-5.755	0.0	0.0	0.0	50.0
C05757	(R)-3-Hydroxydodecanoyl-[acp]	-6.741	-3.524	0.0	0.0	0.0	50.0
C05758	trans-Dodec-2-enoyl-[acp]	6.87	-3.087	0.073	125.468	-3.188	80.0
C05759	3-Oxotetradecanoyl-[acp]	-6.883	-5.755	0.0	0.0	0.0	50.0
C00188	L-Threonine	6.435	3.565	0.554	98.357	5.768	80.0
C00189	Ethanolamine	5.044	-2.322	0.152	37.991	-2.526	80.0
C02702	L-Prolyl-tRNA(Pro)	-8.798	-3.585	0.0	0.0	0.0	50.0
C00185	Cellobiose	-3.459	7.679	0.054	215.929	-3.534	90.0
C00183	L-Valine	7.15	0.737	0.103	143.692	3.889	70.0
C03794	N6-(1,2-Dicarboxyethyl)-AMP	-3.273	1.737	0.345	13.0	-2.164	70.0
C00181	D-Xylose	5.209	3.322	0.638	46.989	4.905	80.0
C00010	CoA	-7.622	-1.0	0.0	0.0	0.0	50.0
C00011	CO2	8.055	6.083	0.755	333.738	7.977	90.0
C04352	(R)-4'-Phosphopantothenoyl-L-cysteine	-1.848	-0.263	0.0	0.0	0.0	50.0
C00327	L-Citrulline	4.787	1.585	0.331	30.608	3.341	70.0
C00015	UDP	-5.812	-4.066	0.0	0.0	0.0	50.0
C02291	L-Cystathionine	4.322	2.807	0.649	26.999	4.132	70.0
C11437	1-Deoxy-D-xylulose_5-phosphate	-0.585	-1.181	0.0	0.0	0.0	50.0
C16237	Protein_N6-(lipoyl)lysine	-5.17	2.632	0.172	42.201	-2.861	80.0
C00445	5,10-Methenyltetrahydrofolate	4.719	1.265	0.268	28.74	2.946	70.0
C01762	Xanthosine	6.989	2.17	0.31	131.528	5.352	80.0
C00441	L-Aspartate_4-semialdehyde	7.377	1.415	0.192	168.892	5.018	80.0
C00440	5-Methyltetrahydrofolate	-2.73	1.865	0.549	10.277	-2.496	80.0
C00526	Deoxyuridine	-2.0	-1.848	0.0	0.0	0.0	50.0
C11453	2-C-Methyl-D-erythritol_2,4-cyclodiphosphate	-2.0	2.644	0.64	10.251	-2.714	80.0
C00522	(R)-Pantoate	2.807	-1.485	0.4	9.797	-1.97	70.0
C00831	Pantetheine	6.476	3.322	0.513	99.017	5.667	80.0
C04882	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine	4.392	3.0	0.683	28.995	4.308	70.0
C01024	Hydroxymethylbilane	-5.285	3.585	0.308	50.989	-3.972	90.0
C12739	5'-Deoxy-5-fluorouridine	-5.672	-2.585	0.0	0.0	0.0	50.0
C03838	5'-Phosphoribosylglycinamide	-4.248	-2.807	0.0	0.0	0.0	50.0
C03722	Quinolinate	-1.0	3.807	0.143	15.997	-1.193	70.0
C05402	Melibiose	-1.0	0.585	0.75	3.5	-1.392	70.0
C05404	D-Gal_alpha_1->6D-Gal_alpha_1->6D-Glucose	-1.0	1.0	1.0	4.0	-2.0	70.0
C03939	Acetyl-[acyl-carrier_protein]	5.9	-1.766	0.057	63.115	-1.846	70.0
C04039	2,3-Dihydroxy-3-methylbutanoate	-1.0	-4.248	0.0	0.0	0.0	50.0
C00627	Pyridoxine_phosphate	-4.755	-1.322	0.0	0.0	0.0	50.0
C04895	7,8-Dihydroneopterin_3'-triphosphate	-6.087	-2.737	0.0	0.0	0.0	50.0
C00231	D-Xylulose_5-phosphate	-5.843	-3.731	0.0	0.0	0.0	50.0
C00234	10-Formyltetrahydrofolate	-4.776	-0.82	0.0	0.0	0.0	50.0
C00235	Dimethylallyl_diphosphate	-3.7	2.322	0.385	17.996	-2.792	80.0
C01613	Stachyose	1.0	0.585	0.585	3.5	1.034	60.0
C00159	D-Mannose	6.814	-0.585	0.013	114.017	-0.604	60.0
C02839	L-Tyrosyl-tRNA(Tyr)	-6.644	-3.807	0.0	0.0	0.0	50.0
C00014	Ammonia	-6.987	-2.098	0.0	0.0	0.0	50.0
C05980	Cardiolipin	-5.7	-1.585	0.0	0.0	0.0	50.0
C00019	S-Adenosyl-L-methionine	-5.78	-1.807	0.0	0.0	0.0	50.0
