compound_code	compound_name	clostridium_630_score	cd630_cefoperazone_score	ratio	magnitude	interaction_score	percentile
C00954	Indole-3-acetate	-3.17	-4.346	0.0	0.0	0.0	50.0
C00794	D-Sorbitol	4.954	5.385	0.92	72.783	6.065	90.0
C04752	2-Methyl-4-amino-5-hydroxymethylpyrimidine_diphosphate	2.585	1.0	0.387	8.0	1.63	60.0
C00957	Mercaptopyruvate	-2.298	-5.041	0.0	0.0	0.0	50.0
C00886	L-Alanyl-tRNA	-6.392	-6.209	0.0	0.0	0.0	50.0
C04454	5-Amino-6-(5'-phospho-D-ribitylamino)uracil	-7.098	-6.895	0.0	0.0	0.0	50.0
C11811	1-Hydroxy-2-methyl-2-butenyl_4-diphosphate	6.022	5.087	0.845	98.973	6.386	90.0
C00760	Cellulose	-2.807	-1.222	0.0	0.0	0.0	50.0
C05345	beta-D-Fructose_6-phosphate	-5.626	6.792	0.446	160.199	-6.158	90.0
C01233	sn-Glycero-3-phosphoethanolamine	2.322	2.322	1.0	10.0	3.322	70.0
C00226	Primary_alcohol	3.209	9.569	0.335	768.796	8.01	90.0
C05382	Sedoheptulose_7-phosphate	6.005	-7.256	0.42	217.075	-6.511	90.0
C00385	Xanthine	3.024	-5.245	0.214	46.057	-3.304	80.0
C12147	L-Threonine_O-3-phosphate	3.907	3.907	1.0	30.002	4.907	80.0
C00229	Acyl-carrier_protein	-4.459	6.943	0.179	145.035	-4.696	90.0
C00095	D-Fructose	-1.515	-4.858	0.0	0.0	0.0	50.0
C00655	Xanthosine_5'-phosphate	-2.737	-3.837	0.0	0.0	0.0	50.0
C03451	(R)-S-Lactoylglutathione	5.7	5.392	0.946	93.975	6.474	90.0
C00718	Amylose	4.129	-3.858	0.829	31.997	-4.729	90.0
C00546	Methylglyoxal	-4.728	-6.087	0.0	0.0	0.0	50.0
C03127	L-Isoleucyl-tRNA(Ile)	-7.531	-7.426	0.0	0.0	0.0	50.0
C00036	Oxaloacetate	-3.493	4.102	0.656	28.431	-4.22	80.0
C00152	L-Asparagine	-3.147	6.141	0.126	79.429	-3.318	80.0
C00365	dUMP	-3.802	4.242	0.737	32.87	-4.599	90.0
C16273	3-Hydroxy-5-oxohexanoyl-CoA	4.17	3.322	0.797	28.001	4.479	70.0
C04778	N1-(5-Phospho-alpha-D-ribosyl)-5,6-dimethylbenzimidazole	5.691	-3.7	0.252	64.657	-4.024	80.0
C00008	ADP	3.404	-7.557	0.056	198.9	-3.483	80.0
C05596	p-Hydroxyphenylacetylglycine	-4.17	-3.322	0.0	0.0	0.0	50.0
C00058	Formate	-4.409	7.615	0.108	217.284	-4.557	90.0
C00003	NAD+	-1.874	-0.415	0.0	0.0	0.0	50.0
C00002	ATP	1.126	-2.639	0.35	8.412	-1.559	70.0
C00369	Starch	-4.872	4.409	0.725	50.527	-5.196	90.0
C05703	Methaneselenol	-7.989	-8.416	0.0	0.0	0.0	50.0
C00079	L-Phenylalanine	-2.416	2.907	0.712	12.837	-3.191	70.0
C00969	3-Hydroxypropanal	4.524	4.248	0.939	42.008	5.302	80.0
C03722	Quinolinate	3.0	-1.0	0.25	10.0	-1.322	70.0
C04257	N-Acetyl-D-mannosamine_6-phosphate	5.492	5.392	0.982	86.995	6.416	90.0
C00681	1-Acyl-sn-glycerol_3-phosphate	5.483	-5.51	0.981	90.294	-6.47	90.0
C05985	2-Propynal	3.17	3.0	0.946	17.0	4.008	70.0
C06056	4-Hydroxy-L-threonine	-4.322	-3.322	0.0	0.0	0.0	50.0
C06188	Salicin_6-phosphate	1.0	6.524	0.153	94.028	3.849	70.0
C05665	3-Aminopropanal	3.17	3.0	0.946	17.0	4.008	70.0
C00254	Prephenate	2.433	0.574	0.236	6.889	0.701	60.0
C00255	Riboflavin	6.209	-4.907	0.406	103.979	-5.398	90.0
C00392	Mannitol	8.707	8.384	0.963	751.964	9.5	90.0
C00258	D-Glycerate	-0.918	-2.17	0.0	0.0	0.0	50.0
C16596	5-Phenyl-1,3-oxazinane-2,4-dione	-4.044	-5.129	0.0	0.0	0.0	50.0
C16595	4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one	4.044	5.129	0.788	51.489	5.343	80.0
C00099	beta-Alanine	1.322	2.807	0.471	9.498	2.161	60.0
C00559	Deoxyadenosine	2.322	-5.634	0.101	54.66	-2.46	70.0
C00491	L-Cystine	3.0	4.322	0.694	28.001	4.281	70.0
C00492	Raffinose	0.737	1.0	0.737	3.667	1.434	60.0
C01528	Hydrogen_selenide	-7.407	-9.412	0.0	0.0	0.0	50.0
C00555	4-Aminobutyraldehyde	3.17	3.0	0.946	17.0	4.008	70.0
C00091	Succinyl-CoA	-0.263	5.625	0.024	50.551	-0.298	70.0
C00092	D-Glucose_6-phosphate	-3.636	-7.534	0.0	0.0	0.0	50.0
C00093	sn-Glycerol_3-phosphate	-1.085	6.131	0.03	72.205	-1.128	70.0
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	5.459	6.977	0.782	169.962	7.055	90.0
C00882	Dephospho-CoA	-5.392	-4.392	0.0	0.0	0.0	50.0
C00097	L-Cysteine	-3.669	5.269	0.33	51.279	-4.08	80.0
C14099	2-Naphthaldehyde	-3.209	-9.569	0.0	0.0	0.0	50.0
C06311	Galactitol_1-phosphate	-4.565	-5.503	0.0	0.0	0.0	50.0
C00376	Retinal	-4.044	-5.129	0.0	0.0	0.0	50.0
C00993	D-Alanyl-D-alanine	5.129	3.907	0.762	49.994	5.251	80.0
C14090	1-Naphthaldehyde	-3.209	-9.569	0.0	0.0	0.0	50.0
C00071	Aldehyde	-3.196	-8.584	0.0	0.0	0.0	50.0
C00074	Phosphoenolpyruvate	-7.778	-7.701	0.0	0.0	0.0	50.0
C00075	UTP	1.1	8.593	0.128	388.289	5.635	80.0
C05130	Imidazole-4-acetaldehyde	3.17	3.0	0.946	17.0	4.008	70.0
C00620	alpha-D-Ribose_1-phosphate	4.392	6.366	0.69	103.477	6.158	90.0
C00194	Cobamide_coenzyme	-5.807	-5.575	0.0	0.0	0.0	50.0
C11948	2,6-Dimethyl-5-methylene-3-oxo-heptanoyl-CoA	4.17	3.322	0.797	28.001	4.479	70.0
C11949	3-Isopropylbut-3-enoyl-CoA	-4.17	-3.322	0.0	0.0	0.0	50.0
C00208	Maltose	4.209	3.392	0.806	28.992	4.546	80.0
C00123	L-Leucine	3.939	6.476	0.608	104.354	5.988	90.0
C05936	N4-Acetylaminobutanal	3.17	3.0	0.946	17.0	4.008	70.0
C05775	alpha-Ribazole	-3.907	-2.503	0.0	0.0	0.0	50.0
C07118	Benzoyl_acetyl-CoA	4.17	3.322	0.797	28.001	4.479	70.0
C00082	L-Tyrosine	0.081	-3.0	0.132	9.058	-0.26	60.0
C00242	Guanine	4.353	-5.425	0.476	63.398	-4.914	90.0
C03785	D-Tagatose_1,6-bisphosphate	-2.0	-2.07	0.0	0.0	0.0	50.0
C00294	Inosine	-3.17	7.066	0.067	142.992	-3.264	80.0
C01304	2,5-Diamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one	7.098	-6.34	0.591	218.005	-7.01	90.0
C00407	L-Isoleucine	5.24	7.426	0.706	209.76	7.21	90.0
C00089	Sucrose	0.585	1.0	0.585	3.5	1.034	60.0
C02170	Methylmalonate	-3.17	-3.0	0.0	0.0	0.0	50.0
C00670	sn-Glycero-3-phosphocholine	2.322	2.322	1.0	10.0	3.322	70.0
C00166	Phenylpyruvate	3.653	4.807	0.76	40.573	4.946	80.0
C06055	O-Phospho-4-hydroxy-L-threonine	2.874	3.322	0.865	17.331	3.906	70.0
C02988	L-Histidyl-tRNA(His)	-6.375	-6.17	0.0	0.0	0.0	50.0
C04122	D-1-Aminopropan-2-ol_O-phosphate	-5.285	-4.17	0.0	0.0	0.0	50.0
C00162	Fatty_acid	3.17	3.0	0.946	17.0	4.008	70.0
C01144	(S)-3-Hydroxybutanoyl-CoA	-3.624	6.957	0.099	136.57	-3.761	80.0
C02984	L-Aspartyl-tRNA(Asp)	-5.82	-6.87	0.0	0.0	0.0	50.0
C01094	D-Fructose_1-phosphate	1.807	8.764	0.206	438.236	6.498	90.0
C03263	Coproporphyrinogen_III	2.322	6.022	0.386	69.984	4.754	80.0
C02047	L-Leucyl-tRNA	-6.443	-6.476	0.0	0.0	0.0	50.0
C06613	trans-3-Chloroallyl_aldehyde	-0.078	-7.823	0.0	0.0	0.0	50.0
C00106	Uracil	-3.17	4.637	0.362	33.882	-3.615	80.0
C00068	Thiamin_diphosphate	-0.222	2.217	0.251	5.816	-0.545	70.0
C00342	Thioredoxin	-8.962	-9.23	0.0	0.0	0.0	50.0
C00343	Thioredoxin_disulfide	8.956	9.262	0.967	1110.58	10.069	90.0
C03082	4-Phospho-L-aspartate	-4.018	4.548	0.693	39.594	-4.777	90.0
C00103	D-Glucose_1-phosphate	3.676	4.892	0.751	42.474	4.996	80.0
C04377	5,10-Methylenetetrahydromethanopterin	-5.807	-5.322	0.0	0.0	0.0	50.0
C00101	Tetrahydrofolate	-2.75	3.711	0.514	19.823	-3.348	80.0
C00063	CTP	0.918	8.415	0.109	343.214	5.227	80.0
C20396	Methylphosphonate	0.585	0.585	1.0	3.0	1.585	60.0
C00065	L-Serine	-4.972	5.374	0.757	72.855	-5.785	90.0
C00064	L-Glutamine	-5.921	4.454	0.362	82.507	-4.899	90.0
C00109	2-Oxobutanoate	-1.722	-2.031	0.0	0.0	0.0	50.0
C00860	L-Histidinol	-2.322	-4.755	0.0	0.0	0.0	50.0
C00286	dGTP	3.737	-7.725	0.063	224.905	-3.825	80.0
C02576	Perillyl_aldehyde	3.17	3.0	0.946	17.0	4.008	70.0
C04702	UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)	-5.129	4.392	0.6	55.989	-5.07	90.0
C00577	D-Glyceraldehyde	1.379	-9.401	0.004	678.657	-1.385	70.0
C01419	Cys-Gly	4.248	7.397	0.574	187.547	6.751	90.0
C06899	Chloral_hydrate	4.044	5.129	0.788	51.489	5.343	80.0
C01149	4-Trimethylammoniobutanal	3.17	3.0	0.946	17.0	4.008	70.0
C00279	D-Erythrose_4-phosphate	-5.346	-5.84	0.0	0.0	0.0	50.0
C01134	Pantetheine_4'-phosphate	5.392	-5.47	0.947	86.314	-6.354	90.0
C03175	Shikimate_3-phosphate	1.322	0.585	0.443	4.0	0.824	60.0
C01412	Butanal	1.585	10.535	0.15	1486.717	7.805	90.0
C00361	dGDP	-4.459	7.656	0.109	223.684	-4.608	90.0
C05984	2-Hydroxybutanoic_acid	4.585	4.248	0.926	43.002	5.316	80.0
C06510	Adenosine-GDP-cobinamide	5.807	-3.17	0.161	64.987	-3.385	80.0
C06715	3-Oxopimeloyl-CoA	4.17	3.322	0.797	28.001	4.479	70.0
C02670	D-Glucuronolactone	3.17	3.0	0.946	17.0	4.008	70.0
C00668	alpha-D-Glucose_6-phosphate	-4.137	7.226	0.118	167.301	-4.297	80.0
C00666	LL-2,6-Diaminoheptanedioate	3.576	-4.217	0.641	30.523	-4.291	80.0
C00179	Agmatine	3.0	1.585	0.528	11.0	2.539	70.0
C00475	Cytidine	-0.379	2.748	0.194	8.018	-0.634	70.0
C00663	beta-D-Glucose_1-phosphate	-4.0	-2.0	0.0	0.0	0.0	50.0
C02163	L-Arginyl-tRNA(Arg)	-6.426	-6.248	0.0	0.0	0.0	50.0
C02995	Maltose_6'-phosphate	-3.907	3.585	0.8	27.001	-4.433	80.0
C00989	4-Hydroxybutanoic_acid	7.087	7.238	0.979	286.914	8.134	90.0
C05512	Deoxyinosine	-2.322	5.634	0.101	54.66	-2.46	70.0
C00114	Choline	-2.322	-2.322	0.0	0.0	0.0	50.0
C00117	D-Ribose_5-phosphate	-2.747	-6.344	0.0	0.0	0.0	50.0
C00111	Glycerone_phosphate	0.14	-6.964	0.009	125.947	-0.153	60.0
C07645	Aldophosphamide	4.044	5.129	0.788	51.489	5.343	80.0
C04260	O-D-Alanyl-poly(ribitol_phosphate)	-5.672	-5.409	0.0	0.0	0.0	50.0
C00357	N-Acetyl-D-glucosamine_6-phosphate	-4.524	-8.037	0.0	0.0	0.0	50.0
C05698	Selenohomocysteine	-3.0	3.585	0.667	20.0	-3.737	80.0
C00479	Propanal	3.059	4.248	0.72	27.335	4.299	70.0
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	1.652	-6.094	0.046	71.452	-1.717	70.0
C00118	D-Glyceraldehyde_3-phosphate	4.181	-5.357	0.443	59.123	-4.71	90.0
C00288	HCO3-	7.271	7.984	0.911	407.627	8.536	90.0
C03688	Apo-[acyl-carrier-protein]	4.459	4.954	0.9	52.989	5.576	80.0
C00011	CO2	-1.7	8.055	0.012	269.197	-1.718	70.0
C00084	Acetaldehyde	-2.522	7.975	0.023	257.346	-2.555	70.0
C01346	dUDP	-4.459	-2.115	0.0	0.0	0.0	50.0
C01079	Protoporphyrinogen_IX	-2.322	-6.022	0.0	0.0	0.0	50.0
C00083	Malonyl-CoA	-7.202	-5.753	0.0	0.0	0.0	50.0
C00857	Deamino-NAD+	2.322	4.907	0.473	35.003	4.05	70.0
C11924	Perillic_acid	-3.17	-3.0	0.0	0.0	0.0	50.0
C00631	2-Phospho-D-glycerate	-4.99	-4.343	0.0	0.0	0.0	50.0
C01179	3-(4-Hydroxyphenyl)pyruvate	0.52	1.571	0.331	4.405	0.544	60.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	-5.459	-6.687	0.0	0.0	0.0	50.0
C00506	L-Cysteate	5.883	7.581	0.776	250.488	7.603	90.0
C00263	L-Homoserine	-0.415	-0.415	0.0	0.0	0.0	50.0
C05892	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine	5.129	5.0	0.975	66.993	6.029	90.0
C01172	beta-D-Glucose_6-phosphate	-1.184	6.512	0.025	93.538	-1.219	70.0
C00267	alpha-D-Glucose	-0.447	4.365	0.066	21.969	-0.539	70.0
C00473	Retinol	4.044	5.129	0.788	51.489	5.343	80.0
C00804	Propynoate	-3.17	-3.0	0.0	0.0	0.0	50.0
C00469	Ethanol	3.209	9.569	0.335	768.796	8.01	90.0
C00188	L-Threonine	-3.503	6.435	0.131	97.86	-3.681	80.0
C06250	Holo-[carboxylase]	7.853	6.897	0.878	350.381	8.266	90.0
C01151	D-Ribose_1,5-bisphosphate	-4.585	-4.322	0.0	0.0	0.0	50.0
C00185	Cellobiose	-3.17	-3.459	0.0	0.0	0.0	50.0
C00460	dUTP	4.129	4.858	0.85	46.497	5.304	80.0
C02909	(2-Naphthyl)methanol	3.209	9.569	0.335	768.796	8.01	90.0
C00499	Allantoate	5.459	4.322	0.792	63.988	5.663	80.0
C00329	D-Glucosamine	1.585	2.0	0.792	7.0	2.472	60.0
C02839	L-Tyrosyl-tRNA(Tyr)	-6.409	-6.644	0.0	0.0	0.0	50.0
C00129	Isopentenyl_diphosphate	-5.615	-3.615	0.0	0.0	0.0	50.0
C00120	Biotin	-1.222	1.585	0.778	5.333	-2.052	70.0
C01962	Thiocysteine	-3.0	-4.322	0.0	0.0	0.0	50.0
C05338	4-Hydroxyphenylacetyl-CoA	4.17	3.322	0.797	28.001	4.479	70.0
C02412	Glycyl-tRNA(Gly)	-7.095	-6.931	0.0	0.0	0.0	50.0
C00680	meso-2,6-Diaminoheptanedioate	0.851	2.379	0.358	7.006	1.325	60.0
C16348	cis-3-Chloroallyl_aldehyde	-0.078	-7.823	0.0	0.0	0.0	50.0
C16587	3-Carbamoyl-2-phenylpropionaldehyde	-4.044	-5.129	0.0	0.0	0.0	50.0
C02946	4-Acetamidobutanoate	-3.17	-3.0	0.0	0.0	0.0	50.0
C02553	L-Seryl-tRNA(Ser)	-4.0	-7.14	0.0	0.0	0.0	50.0
C05378	beta-D-Fructose_1,6-bisphosphate	-3.273	8.483	0.027	367.464	-3.311	80.0
C16586	2-Phenyl-1,3-propanediol_monocarbamate	4.044	5.129	0.788	51.489	5.343	80.0
C04691	2-Dehydro-3-deoxy-D-arabino-heptonate_7-phosphate	-2.0	-1.0	0.0	0.0	0.0	50.0
C00568	4-Aminobenzoate	-4.644	5.644	0.5	75.007	-5.229	90.0
C00512	S-Benzoate_coenzyme_A	-4.17	-3.322	0.0	0.0	0.0	50.0
C20422	alpha-D-Ribose_1-methylphosphonate_5-triphosphate	-0.585	-0.585	0.0	0.0	0.0	50.0
C02291	L-Cystathionine	3.0	4.322	0.694	28.001	4.281	70.0
C00112	CDP	3.248	-6.204	0.129	83.221	-3.423	80.0
C00672	2-Deoxy-D-ribose_1-phosphate	-4.248	6.066	0.284	85.997	-4.608	90.0
C04294	5-(2-Hydroxyethyl)-4-methylthiazole	2.0	1.585	0.792	7.0	2.472	60.0
C02091	(S)-Ureidoglycine	-5.459	-4.322	0.0	0.0	0.0	50.0
C00458	dCTP	3.737	-7.068	0.099	147.511	-3.874	80.0
C00459	dTTP	3.895	4.851	0.803	43.737	5.134	80.0
C04896	5-(5-Phospho-D-ribosylaminoformimino)-1-(5-phosphoribosyl)-imidazole-4-carboxamide	-3.248	-3.0	0.0	0.0	0.0	50.0
C00725	Lipoate	4.858	5.17	0.94	65.002	5.933	90.0
C00052	UDP-alpha-D-galactose	-4.7	4.74	0.973	52.715	-5.68	90.0
C00217	D-Glutamate	-5.044	4.346	0.616	53.327	-5.039	90.0
C00197	3-Phospho-D-glycerate	-2.055	-4.398	0.0	0.0	0.0	50.0
C16551	Alcophosphamide	-4.044	-5.129	0.0	0.0	0.0	50.0
C00212	Adenosine	1.585	6.879	0.23	120.702	4.798	80.0
C15972	Enzyme_N6-(lipoyl)lysine	1.0	-5.794	0.036	57.484	-1.051	70.0
C00606	3-Sulfino-L-alanine	-3.059	-5.658	0.0	0.0	0.0	50.0
C05840	Iminoaspartate	-3.0	1.0	0.25	10.0	-1.322	70.0
C00037	Glycine	4.951	-5.082	0.913	64.803	-5.887	90.0
C01697	Galactitol	4.565	5.503	0.83	69.019	5.839	90.0
C00035	GDP	3.907	-5.984	0.237	78.295	-4.214	80.0
C00033	Acetate	-2.747	7.99	0.026	260.945	-2.785	70.0
C00031	D-Glucose	-3.369	2.433	0.523	15.732	-3.04	70.0
C00136	Butanoyl-CoA	-1.585	-5.247	0.0	0.0	0.0	50.0
C00135	L-Histidine	4.196	5.977	0.702	81.316	5.835	80.0
C00134	Putrescine	-3.369	3.298	0.952	20.167	-4.263	80.0
C00133	D-Alanine	3.222	-5.399	0.221	51.526	-3.51	80.0
C00334	4-Aminobutanoate	1.888	2.807	0.673	10.699	2.847	70.0
C03974	2-Acyl-sn-glycerol_3-phosphate	-4.17	-3.322	0.0	0.0	0.0	50.0
C02835	Imidazole-4-acetate	-3.17	-3.0	0.0	0.0	0.0	50.0
C16237	Protein_N6-(lipoyl)lysine	-4.858	-5.17	0.0	0.0	0.0	50.0
C01097	D-Tagatose_6-phosphate	2.0	6.897	0.29	123.18	5.159	80.0
C05699	L-Selenocystathionine	3.0	4.322	0.694	28.001	4.281	70.0
C05635	5-Hydroxyindoleacetate	-3.17	-3.0	0.0	0.0	0.0	50.0
C05634	5-Hydroxyindoleacetaldehyde	3.17	3.0	0.946	17.0	4.008	70.0
C04327	4-Methyl-5-(2-phosphoethyl)-thiazole	2.0	0.737	0.368	5.667	1.062	60.0
C00299	Uridine	2.095	-2.95	0.553	12.0	-2.73	70.0
C01267	3-(Imidazol-4-yl)-2-oxopropyl_phosphate	1.648	0.341	0.207	4.401	-0.135	60.0
C18239	Precursor_Z	-4.755	-4.672	0.0	0.0	0.0	50.0
C00446	alpha-D-Galactose_1-phosphate	4.154	4.524	0.918	40.809	5.228	80.0
C00637	Indole-3-acetaldehyde	3.17	3.0	0.946	17.0	4.008	70.0
C05979	Propane-1-ol	-3.585	-4.248	0.0	0.0	0.0	50.0
C00441	L-Aspartate_4-semialdehyde	-2.663	7.377	0.038	172.559	-2.717	70.0
C02457	Propane-1,3-diol	-4.524	-4.248	0.0	0.0	0.0	50.0
C00526	Deoxyuridine	2.807	-2.0	0.572	10.998	-2.652	70.0
C00527	Glutaryl-CoA	-3.663	-3.322	0.0	0.0	0.0	50.0
C04882	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine	-5.129	4.392	0.6	55.989	-5.07	90.0
C00041	L-Alanine	3.194	4.443	0.719	30.902	4.473	70.0
C00040	Acyl-CoA	4.17	6.259	0.666	94.586	5.978	90.0
C00047	L-Lysine	-4.248	5.663	0.375	69.669	-4.707	90.0
C00046	RNA	-0.817	-6.828	0.0	0.0	0.0	50.0
C00044	GTP	2.107	-7.605	0.022	198.993	-2.139	70.0
C00644	D-Mannitol_1-phosphate	7.331	7.845	0.934	390.931	8.513	90.0
C00049	L-Aspartate	-0.562	-4.675	0.0	0.0	0.0	50.0
C00206	dADP	-3.104	9.022	0.017	528.465	-3.128	70.0
C09306	Sulfur_dioxide	-5.209	-5.426	0.0	0.0	0.0	50.0
C07490	Trichloroethanol	-4.044	-5.129	0.0	0.0	0.0	50.0
C00189	Ethanolamine	4.7	5.044	0.932	58.983	5.78	80.0
