compound_code	compound_name	lactobacillus_mock_score	escherichia_mock_score	ratio	magnitude	interaction_score	percentile
C02988	L-Histidyl-tRNA(His)	-7.693	-2.0	0.0	0.0	0.0	50.0
C02336	beta-D-Fructose	9.6	1.0	0.104	778.047	6.341	80.0
C00065	L-Serine	-8.966	0.1	0.002	501.147	-0.103	60.0
C05796	Galactan	10.016	1.0	0.1	1037.42	6.695	80.0
C03546	myo-Inositol_4-phosphate	9.957	1.585	0.159	996.93	7.31	90.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	7.5	-2.0	0.022	185.019	-2.032	90.0
C05746	3-Oxohexanoyl-[acp]	9.702	2.0	0.206	836.9	7.431	90.0
C00794	D-Sorbitol	10.812	-1.0	0.001	1799.779	-1.002	70.0
C02876	Propanoyl_phosphate	7.335	2.0	0.273	165.456	5.496	70.0
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	-6.943	2.0	0.033	127.041	-2.046	90.0
C00886	L-Alanyl-tRNA	-8.185	-2.322	0.0	0.0	0.0	50.0
C01134	Pantetheine_4'-phosphate	9.127	-1.585	0.005	562.115	-1.593	80.0
C05754	trans-Dec-2-enoyl-[acp]	-7.788	-2.322	0.0	0.0	0.0	50.0
C00231	D-Xylulose_5-phosphate	7.802	-0.415	0.006	224.503	-0.424	60.0
C05898	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	-8.96	1.0	0.004	499.999	-1.006	70.0
C00197	3-Phospho-D-glycerate	-10.387	-2.445	0.0	0.0	0.0	50.0
C05345	beta-D-Fructose_6-phosphate	10.439	-0.918	0.001	1390.09	-0.92	70.0
C00227	Acetyl_phosphate	-9.455	-2.292	0.0	0.0	0.0	50.0
C00226	Primary_alcohol	12.204	1.874	0.154	4721.797	9.502	90.0
C06037	Digalactosyl-diacylglycerol	9.755	1.585	0.162	867.067	7.138	80.0
C01236	D-Glucono-1,5-lactone_6-phosphate	8.683	-1.0	0.005	413.002	-1.007	70.0
C00221	beta-D-Glucose	-11.216	-1.0	0.0	0.0	0.0	50.0
C00058	Formate	14.227	4.755	0.334	19202.813	12.648	90.0
C03492	D-4'-Phosphopantothenate	7.119	-1.585	0.022	142.006	-1.616	80.0
C00387	Guanosine	9.013	-1.28	0.005	519.063	-1.287	80.0
C00121	D-Ribose	11.244	1.585	0.141	2428.388	8.419	90.0
C04620	(3R)-3-Hydroxyoctanoyl-[acyl-carrier_protein]	-8.444	-1.322	0.0	0.0	0.0	50.0
C03539	S-Ribosyl-L-homocysteine	9.617	1.0	0.104	787.246	6.355	80.0
C05841	Nicotinate_D-ribonucleoside	9.213	-1.222	0.004	595.79	-1.228	80.0
C00655	Xanthosine_5'-phosphate	7.38	-0.967	0.012	168.527	-0.984	70.0
C00301	ADP-ribose	9.426	1.585	0.168	690.874	6.86	80.0
C00118	D-Glyceraldehyde_3-phosphate	-12.982	0.1	0.0	8091.498	-0.1	60.0
C05759	3-Oxotetradecanoyl-[acp]	9.702	2.0	0.206	836.9	7.431	90.0
C04146	all-trans-Octaprenyl_diphosphate	8.88	-1.585	0.006	474.136	-1.594	80.0
C03127	L-Isoleucyl-tRNA(Ile)	-8.129	-1.585	0.0	0.0	0.0	50.0
C01172	beta-D-Glucose_6-phosphate	-9.585	0.415	0.002	769.353	-0.418	60.0
C20373	3-Hydroxyglutaryl-[acp]_methyl_ester	-8.858	-1.585	0.0	0.0	0.0	50.0
C01801	Deoxyribose	11.244	1.585	0.141	2428.388	8.419	90.0
C00364	dTMP	-5.687	1.222	0.045	53.851	-1.286	80.0
C05223	Dodecanoyl-[acyl-carrier_protein]	-7.229	2.0	0.027	154.019	-2.038	90.0
C20377	3-Hydroxypimeloyl-[acp]_methyl_ester	-8.858	-1.585	0.0	0.0	0.0	50.0
C00363	dTDP	10.311	1.0	0.097	1272.341	6.947	80.0
C00009	Orthophosphate	-7.516	-1.0	0.0	0.0	0.0	50.0
C00008	ADP	-10.123	-1.0	0.0	0.0	0.0	50.0
C00006	NADP+	10.32	-0.585	0.001	1279.791	-0.587	70.0
C20378	Enoylpimeloyl-[acp]_methyl_ester	-7.788	-2.322	0.0	0.0	0.0	50.0
C00003	NAD+	6.206	1.0	0.161	75.823	3.611	60.0
C00002	ATP	-9.826	1.28	0.003	910.083	-1.284	80.0
C05980	Cardiolipin	-8.165	-1.0	0.0	0.0	0.0	50.0
C00369	Starch	9.495	-0.415	0.002	722.906	-0.418	60.0
C17551	2-Polyprenyl-6-hydroxyphenol	-9.175	-1.0	0.0	0.0	0.0	50.0
C00183	L-Valine	-5.549	-0.441	0.0	0.0	0.0	50.0
C01144	(S)-3-Hydroxybutanoyl-CoA	-7.282	-0.106	0.0	0.0	0.0	50.0
C16619	6-Thioguanosine_monophosphate	-9.401	-2.0	0.0	0.0	0.0	50.0
C05401	3-beta-D-Galactosyl-sn-glycerol	9.755	1.585	0.162	867.067	7.138	80.0
C00255	Riboflavin	7.57	1.585	0.209	193.019	5.337	70.0
C00392	Mannitol	8.055	1.0	0.124	267.948	5.056	70.0
C00258	D-Glycerate	7.05	-0.585	0.011	134.014	-0.601	70.0
C00259	L-Arabinose	8.492	1.585	0.187	363.037	6.082	80.0
C16615	6-Methylthiopurine_5'-monophosphate_ribonucleotide	-8.963	-2.0	0.0	0.0	0.0	50.0
C16614	6-Methylmercaptopurine	8.963	2.0	0.223	503.036	6.811	80.0
C06186	Arbutin	11.567	1.322	0.114	3036.489	8.439	90.0
C06187	Arbutin_6-phosphate	-11.567	-0.585	0.0	0.0	0.0	50.0
C00645	N-Acetyl-D-mannosamine	-9.283	-2.0	0.0	0.0	0.0	50.0
C00099	beta-Alanine	7.422	-1.585	0.017	174.492	-1.61	80.0
C00330	Deoxyguanosine	9.213	0.115	0.012	594.54	2.892	60.0
C01083	alpha,alpha-Trehalose	10.656	1.0	0.094	1615.525	7.244	90.0
C00641	1,2-Diacyl-sn-glycerol	7.965	1.0	0.126	251.864	4.983	70.0
C01931	L-Lysyl-tRNA	-9.217	-2.322	0.0	0.0	0.0	50.0
C00073	L-Methionine	-6.288	-1.0	0.0	0.0	0.0	50.0
C00469	Ethanol	12.204	1.874	0.154	4721.797	9.502	90.0
C00092	D-Glucose_6-phosphate	-11.109	-0.652	0.0	0.0	0.0	50.0
C00093	sn-Glycerol_3-phosphate	6.316	0.926	0.147	81.572	3.58	60.0
C00498	ADP-glucose	-10.269	-0.503	0.0	0.0	0.0	50.0
C00095	D-Fructose	9.37	0.322	0.034	662.935	4.51	70.0
C00097	L-Cysteine	-9.925	0.238	0.001	973.306	-0.24	60.0
C14099	2-Naphthaldehyde	-12.204	-1.874	0.0	0.0	0.0	50.0
C05892	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine	8.14	6.409	0.787	367.065	8.175	90.0
C00078	L-Tryptophan	7.807	1.322	0.169	226.445	5.261	70.0
C00079	L-Phenylalanine	6.283	-0.263	0.015	79.07	-0.285	60.0
C00993	D-Alanyl-D-alanine	-12.239	6.358	0.017	4916.02	-6.382	90.0
C00072	Ascorbate	9.038	1.585	0.175	528.665	6.535	80.0
C14090	1-Naphthaldehyde	-12.204	-1.874	0.0	0.0	0.0	50.0
C00071	Aldehyde	-11.467	-1.874	0.0	0.0	0.0	50.0
C01345	dITP	5.209	-1.0	0.054	38.988	-1.076	80.0
C00077	L-Ornithine	-9.634	-1.0	0.0	0.0	0.0	50.0
C15667	5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole	-9.29	-1.0	0.0	0.0	0.0	50.0
C00075	UTP	8.925	1.415	0.159	488.73	6.276	80.0
C00979	O-Acetyl-L-serine	11.001	-0.918	0.001	2051.31	-0.919	70.0
C03232	3-Phosphonooxypyruvate	8.184	-1.0	0.007	292.823	-1.01	70.0
C00074	Phosphoenolpyruvate	-10.996	-0.333	0.0	0.0	0.0	50.0
C16186	L-Ascorbate_6-phosphate	7.587	-1.0	0.01	194.271	-1.015	80.0
C00123	L-Leucine	-5.61	2.624	0.126	55.005	-2.795	90.0
C03512	L-Tryptophanyl-tRNA(Trp)	-7.807	-1.0	0.0	0.0	0.0	50.0
C00279	D-Erythrose_4-phosphate	14.682	1.207	0.082	26288.181	11.078	90.0
C00085	D-Fructose_6-phosphate	8.087	0.363	0.045	273.199	3.616	60.0
C00084	Acetaldehyde	-11.194	2.663	0.003	2349.104	-2.667	90.0
C00082	L-Tyrosine	5.411	0.29	0.054	43.77	1.23	60.0
C00081	ITP	5.209	-1.0	0.054	38.988	-1.076	80.0
C01290	beta-D-Galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide	9.375	1.0	0.107	665.982	6.151	80.0
C04640	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine	-7.304	-1.0	0.0	0.0	0.0	50.0
C00407	L-Isoleucine	-6.304	0.263	0.015	80.212	-0.285	60.0
C00870	4-Nitrophenol	-9.165	-1.0	0.0	0.0	0.0	50.0
C00089	Sucrose	-6.581	-1.585	0.0	0.0	0.0	50.0
C04646	6-Thioinosine-5'-monophosphate	-6.755	-2.0	0.0	0.0	0.0	50.0
C02218	Dehydroalanine	-9.283	-2.0	0.0	0.0	0.0	50.0
C00672	2-Deoxy-D-ribose_1-phosphate	-7.989	1.585	0.012	257.056	-1.602	80.0
C00673	2-Deoxy-D-ribose_5-phosphate	-8.786	-1.585	0.0	0.0	0.0	50.0
C00160	Glycolate	-10.354	-0.807	0.0	0.0	0.0	50.0
C00559	Deoxyadenosine	-7.726	-0.415	0.0	0.0	0.0	50.0
C00163	Propanoate	9.897	2.807	0.284	960.439	8.09	90.0
C02984	L-Aspartyl-tRNA(Asp)	-9.317	-2.0	0.0	0.0	0.0	50.0
C01096	Sorbitol_6-phosphate	-10.917	1.585	0.002	1936.501	-1.587	80.0
C02987	L-Glutamyl-tRNA(Glu)	-9.416	1.0	0.003	685.122	-1.004	70.0
C02047	L-Leucyl-tRNA	-8.581	-5.044	0.0	0.0	0.0	50.0
C04006	1D-myo-Inositol_3-phosphate	9.957	1.585	0.159	996.93	7.31	90.0
C00106	Uracil	6.963	-1.273	0.019	127.176	-1.301	80.0
C00120	Biotin	7.7	-1.585	0.014	210.937	-1.606	80.0
C00104	IDP	10.561	1.0	0.095	1512.698	7.162	90.0
C00105	UMP	3.986	-0.045	0.065	16.877	-0.136	60.0
C03082	4-Phospho-L-aspartate	6.057	-1.0	0.03	68.579	-1.043	80.0
C00103	D-Glucose_1-phosphate	8.237	0.177	0.021	302.837	2.702	60.0
C00100	Propanoyl-CoA	-14.573	-3.923	0.0	0.0	0.0	50.0
C00101	Tetrahydrofolate	6.329	-1.093	0.027	82.526	-1.131	80.0
C00270	N-Acetylneuraminate	8.738	2.807	0.321	433.971	7.123	80.0
C00063	CTP	10.118	1.104	0.109	1113.424	6.925	80.0
C00062	L-Arginine	8.806	0.263	0.03	448.779	3.745	60.0
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	6.563	-1.585	0.032	97.55	-1.63	90.0
C00064	L-Glutamine	2.198	-1.869	0.796	8.241	-2.714	90.0
C00109	2-Oxobutanoate	12.558	2.585	0.206	6036.241	10.279	90.0
C16633	5-Fluorouridine	7.651	-2.322	0.025	205.993	-2.357	90.0
C02686	Galactosylceramide	-9.607	-1.585	0.0	0.0	0.0	50.0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	8.348	1.585	0.19	328.836	5.964	70.0
C00864	Pantothenate	8.349	1.585	0.19	329.062	5.965	70.0
C04079	N-((R)-Pantothenoyl)-L-cysteine	8.349	1.585	0.19	329.062	5.965	70.0
C19673	Malonyl-[acp]_methyl_ester	8.114	2.0	0.246	281.05	6.114	80.0
C04702	UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)	6.209	-6.375	0.891	156.974	-7.128	90.0
C20376	3-Ketopimeloyl-[acp]_methyl_ester	9.702	2.0	0.206	836.9	7.431	90.0
C00577	D-Glyceraldehyde	-14.769	-1.0	0.0	0.0	0.0	50.0
C05764	Hexadecanoyl-[acp]	-7.229	2.0	0.027	154.019	-2.038	90.0
C01419	Cys-Gly	7.16	1.222	0.171	145.345	4.633	70.0
C03360	4-Nitrophenyl_phosphate	9.165	1.0	0.109	576.037	5.974	80.0
C05761	Tetradecanoyl-[acp]	-7.229	2.0	0.027	154.019	-2.038	90.0
C05760	trans-Tetradec-2-enoyl-[acp]	-7.788	-2.322	0.0	0.0	0.0	50.0
C05763	trans-Hexadec-2-enoyl-[acp]	-7.788	-2.322	0.0	0.0	0.0	50.0
C05762	3-Oxohexadecanoyl-[acp]	9.288	1.7	0.183	628.374	6.846	80.0
C01412	Butanal	10.92	3.17	0.29	1946.527	9.142	90.0
C00342	Thioredoxin	-11.014	2.485	0.003	2073.569	-2.489	90.0
C20374	Enoylglutaryl-[acp]_methyl_ester	-7.788	-2.322	0.0	0.0	0.0	50.0
C04421	N-Succinyl-LL-2,6-diaminoheptanedioate	7.687	-0.737	0.008	207.738	-0.749	70.0
C00900	2-Acetolactate	8.437	-1.585	0.009	349.569	-1.597	80.0
C00332	Acetoacetyl-CoA	6.274	-0.403	0.017	78.708	-0.427	60.0
C00666	LL-2,6-Diaminoheptanedioate	-7.741	1.379	0.012	216.532	-1.396	80.0
C05807	2-Polyprenylphenol	9.175	1.0	0.109	580.03	5.982	80.0
C00669	gamma-L-Glutamyl-L-cysteine	-9.562	-1.585	0.0	0.0	0.0	50.0
C00668	alpha-D-Glucose_6-phosphate	7.579	-0.83	0.009	192.986	-0.843	70.0
C00159	D-Mannose	13.702	-0.415	0.0	13327.738	-0.415	60.0
C02992	L-Threonyl-tRNA(Thr)	-8.629	-2.807	0.0	0.0	0.0	50.0
C00178	Thymine	9.106	-1.0	0.004	553.035	-1.005	70.0
C00234	10-Formyltetrahydrofolate	-7.435	1.222	0.013	175.377	-1.241	80.0
C05512	Deoxyinosine	7.726	-1.0	0.009	213.718	-1.014	80.0
C00294	Inosine	8.433	0.807	0.096	347.359	5.055	70.0
C00116	Glycerol	-1.874	-0.585	0.0	0.0	0.0	50.0
C00111	Glycerone_phosphate	11.31	0.617	0.055	2540.455	7.115	80.0
C03090	5-Phosphoribosylamine	6.919	1.0	0.145	123.011	4.152	70.0
C02380	6-Mercaptopurine	8.963	2.0	0.223	503.036	6.811	80.0
C00112	CDP	5.513	-1.907	0.082	49.415	-2.021	90.0
C07648	Thioguanine	8.963	2.0	0.223	503.036	6.811	80.0
C05698	Selenohomocysteine	-8.713	1.0	0.005	421.638	-1.007	70.0
C14089	1-Hydroxymethylnaphthalene	12.204	1.874	0.154	4721.797	9.502	90.0
C00243	Lactose	9.129	1.0	0.11	561.89	5.944	70.0
C02909	(2-Naphthyl)methanol	12.204	1.874	0.154	4721.797	9.502	90.0
C00692	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	8.651	-1.0	0.005	403.986	-1.007	70.0
C00242	Guanine	7.61	-0.652	0.008	196.933	-0.664	70.0
C05399	Melibiitol	9.755	1.585	0.162	867.067	7.138	80.0
C00232	Succinate_semialdehyde	-5.854	0.341	0.022	59.107	-0.372	60.0
C05750	3-Oxooctanoyl-[acp]	9.288	1.7	0.183	628.374	6.846	80.0
C05751	trans-Oct-2-enoyl-[acp]	-7.788	-2.322	0.0	0.0	0.0	50.0
C00269	CDP-diacylglycerol	-7.707	-1.0	0.0	0.0	0.0	50.0
C05753	3-Oxodecanoyl-[acp]	9.288	1.7	0.183	628.374	6.846	80.0
C16219	3-Oxostearoyl-[acp]	9.702	2.0	0.206	836.9	7.431	90.0
C05755	Decanoyl-[acp]	-7.229	2.0	0.027	154.019	-2.038	90.0
C05756	3-Oxododecanoyl-[acp]	9.702	2.0	0.206	836.9	7.431	90.0
C05757	(R)-3-Hydroxydodecanoyl-[acp]	-8.858	-1.585	0.0	0.0	0.0	50.0
C05758	trans-Dodec-2-enoyl-[acp]	-7.788	-2.322	0.0	0.0	0.0	50.0
C00262	Hypoxanthine	-8.376	-1.585	0.0	0.0	0.0	50.0
C16217	3-Hydroxyoctadecanoyl-CoA	-10.115	-2.807	0.0	0.0	0.0	50.0
C16216	3-Oxostearoyl-CoA	10.115	2.807	0.278	1115.965	8.275	90.0
C00267	alpha-D-Glucose	9.594	0.737	0.077	774.493	5.895	70.0
C03294	N-Formylmethionyl-tRNA	-9.017	-2.0	0.0	0.0	0.0	50.0
C01177	Inositol_1-phosphate	9.957	1.585	0.159	996.93	7.31	90.0
C05811	2-Octaprenyl-6-hydroxyphenol	-9.175	-1.0	0.0	0.0	0.0	50.0
C05810	2-Octaprenylphenol	9.175	1.0	0.109	580.03	5.982	80.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	-6.516	2.322	0.055	96.519	-2.399	90.0
C00188	L-Threonine	-8.281	1.441	0.009	313.765	-1.454	80.0
C02702	L-Prolyl-tRNA(Pro)	-10.12	-1.585	0.0	0.0	0.0	50.0
C00184	Glycerone	9.638	0.585	0.061	798.259	5.598	70.0
C05818	2-Demethylmenaquinone	-8.88	2.322	0.011	476.136	-2.337	90.0
C01235	alpha-D-Galactosyl-(1->3)-1D-myo-inositol	9.755	1.585	0.162	867.067	7.138	80.0
C00180	Benzoate	-7.543	-1.0	0.0	0.0	0.0	50.0
C00343	Thioredoxin_disulfide	11.123	-2.322	0.002	2235.266	-2.325	90.0
C00010	CoA	8.97	-0.415	0.003	502.796	-0.419	60.0
C00122	Fumarate	-7.223	2.956	0.052	157.156	-3.029	90.0
C00286	dGTP	-11.582	-1.788	0.0	0.0	0.0	50.0
C00124	D-Galactose	8.184	-1.3	0.008	293.286	-1.312	80.0
C00620	alpha-D-Ribose_1-phosphate	11.235	1.322	0.118	2412.805	8.149	90.0
C00283	Hydrogen_sulfide	11.364	0.354	0.031	2637.032	6.36	80.0
C00011	CO2	-8.147	7.978	0.889	535.586	-8.896	90.0
C04352	(R)-4'-Phosphopantothenoyl-L-cysteine	5.555	-1.585	0.064	50.013	-1.674	90.0
C05897	Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	7.17	-1.585	0.021	147.008	-1.615	80.0
C17556	di-trans,poly-cis-Undecaprenyl_phosphate	7.435	1.0	0.134	175.045	4.557	70.0
C00288	HCO3-	9.054	-1.585	0.006	534.527	-1.593	80.0
C03892	Phosphatidylglycerophosphate	-8.219	-1.0	0.0	0.0	0.0	50.0
C00681	1-Acyl-sn-glycerol_3-phosphate	-7.408	-1.193	0.0	0.0	0.0	50.0
C00680	meso-2,6-Diaminoheptanedioate	7.53	-0.585	0.008	186.323	-0.597	70.0
C00689	alpha,alpha'-Trehalose_6-phosphate	8.822	0.585	0.066	454.071	4.912	70.0
C00842	dTDP-glucose	-5.0	-1.585	0.0	0.0	0.0	50.0
C05378	beta-D-Fructose_1,6-bisphosphate	13.848	0.322	0.023	14746.882	8.422	90.0
C00448	trans,trans-Farnesyl_diphosphate	6.75	0.848	0.126	109.435	3.781	60.0
C01168	Pseudouridine_5'-phosphate	-8.989	-0.585	0.0	0.0	0.0	50.0
C04051	5-Amino-4-imidazolecarboxyamide	-10.7	-1.585	0.0	0.0	0.0	50.0
C04246	But-2-enoyl-[acyl-carrier_protein]	-7.788	-2.322	0.0	0.0	0.0	50.0
C04882	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine	6.209	-6.375	0.891	156.974	-7.128	90.0
C16220	3-Hydroxyoctadecanoyl-[acp]	-8.858	-1.585	0.0	0.0	0.0	50.0
C00921	Dihydropteroate	8.017	-1.0	0.008	261.034	-1.011	70.0
C05745	Butyryl-[acp]	-7.229	2.0	0.027	154.019	-2.038	90.0
C05744	Acetoacetyl-[acp]	8.999	1.485	0.165	514.444	6.408	80.0
C03150	Nicotinamide-beta-riboside	8.862	-1.222	0.005	467.627	-1.229	80.0
C04618	(3R)-3-Hydroxybutanoyl-[acyl-carrier_protein]	-8.123	-1.138	0.0	0.0	0.0	50.0
C04619	(3R)-3-Hydroxydecanoyl-[acyl-carrier_protein]	-8.444	-1.322	0.0	0.0	0.0	50.0
C00458	dCTP	-10.452	-2.155	0.0	0.0	0.0	50.0
C00459	dTTP	-9.854	0.678	0.002	927.043	-0.68	70.0
C06188	Salicin_6-phosphate	12.676	2.0	0.158	6548.195	10.013	90.0
C01209	Malonyl-[acyl-carrier_protein]	6.437	2.0	0.311	90.642	4.816	70.0
C00199	D-Ribulose_5-phosphate	-8.768	0.907	0.004	437.819	-0.913	70.0
C00052	UDP-alpha-D-galactose	-6.33	0.652	0.02	82.02	-0.68	70.0
C03373	Aminoimidazole_ribotide	9.399	1.0	0.106	677.12	6.171	80.0
C00117	D-Ribose_5-phosphate	10.159	0.145	0.014	1144.415	4.03	70.0
C00217	D-Glutamate	-7.279	0.415	0.009	156.643	-0.427	60.0
C00214	Thymidine	-9.757	-1.222	0.0	0.0	0.0	50.0
C02554	L-Valyl-tRNA(Val)	-8.626	-1.585	0.0	0.0	0.0	50.0
C00212	Adenosine	8.615	-0.415	0.003	393.412	-0.42	60.0
C00455	Nicotinamide_D-ribonucleotide	8.693	1.222	0.141	416.193	5.87	70.0
C00208	Maltose	11.518	-1.585	0.001	2935.672	-1.586	80.0
C00036	Oxaloacetate	1.937	0.787	0.406	5.555	1.174	60.0
C00037	Glycine	9.439	0.737	0.078	695.767	5.764	70.0
C15973	Enzyme_N6-(dihydrolipoyl)lysine	11.341	1.0	0.088	2596.067	7.839	90.0
C00035	GDP	-9.553	-2.17	0.0	0.0	0.0	50.0
C00032	Heme	-8.253	1.0	0.007	307.071	-1.009	70.0
C00033	Acetate	9.986	2.139	0.214	1018.516	7.769	90.0
C00031	D-Glucose	-8.807	-0.263	0.0	0.0	0.0	50.0
C00137	myo-Inositol	-9.94	-1.585	0.0	0.0	0.0	50.0
C00136	Butanoyl-CoA	-12.089	-2.17	0.0	0.0	0.0	50.0
C00135	L-Histidine	6.7	2.0	0.299	107.968	5.01	70.0
C00134	Putrescine	-8.592	-0.585	0.0	0.0	0.0	50.0
C00133	D-Alanine	11.633	1.585	0.136	3179.011	8.759	90.0
C00334	4-Aminobutanoate	8.004	-0.485	0.005	258.11	-0.493	60.0
C00131	dATP	9.858	-1.248	0.003	930.387	-1.252	80.0
C00130	IMP	-8.371	0.503	0.004	332.489	-0.509	70.0
C01097	D-Tagatose_6-phosphate	12.152	-1.0	0.0	4553.101	-1.001	70.0
C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier_protein]	-8.858	-1.585	0.0	0.0	0.0	50.0
C03939	Acetyl-[acyl-carrier_protein]	-7.027	2.0	0.031	134.418	-2.044	90.0
C04851	MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho-undecaprenol	7.17	-1.585	0.021	147.008	-1.615	80.0
C00299	Uridine	7.848	1.874	0.239	234.066	5.805	70.0
C01190	beta-D-Glucosyl-(1<->1)-ceramide	-9.375	-1.0	0.0	0.0	0.0	50.0
C20375	Glutaryl-[acp]_methyl_ester	-7.229	2.0	0.027	154.019	-2.038	90.0
C04574	di-trans,poly-cis-Undecaprenyl_diphosphate	-5.629	-0.585	0.0	0.0	0.0	50.0
C01094	D-Fructose_1-phosphate	14.183	-1.222	0.0	18602.139	-1.222	80.0
