compound_code	compound_name	cd630_streptomycin_score	lactobacillus_630_score	ratio	magnitude	interaction_score	percentile
C02047	L-Leucyl-tRNA	-6.615	-9.881	0.0	0.0	0.0	50.0
C03082	4-Phospho-L-aspartate	-4.858	-4.278	0.0	0.0	0.0	50.0
C04377	5,10-Methylenetetrahydromethanopterin	-7.087	-10.673	0.0	0.0	0.0	50.0
C04376	5'-Phosphoribosyl-N-formylglycinamide	6.087	5.459	0.897	111.965	6.65	70.0
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	-6.84	-4.441	0.0	0.0	0.0	50.0
C00860	L-Histidinol	-3.585	-3.0	0.0	0.0	0.0	50.0
C02962	D-Allose_6-phosphate	7.17	3.907	0.545	159.009	6.437	70.0
C00864	Pantothenate	4.322	7.547	0.573	207.015	6.889	70.0
C04272	(R)-2,3-Dihydroxy-3-methylbutanoate	1.17	3.322	0.352	12.251	2.109	60.0
C01419	Cys-Gly	8.276	6.129	0.741	379.96	8.136	80.0
C01149	4-Trimethylammoniobutanal	2.807	3.0	0.936	14.998	3.811	60.0
C01144	(S)-3-Hydroxybutanoyl-CoA	8.666	-6.705	0.257	510.516	-7.035	90.0
C03402	L-Asparaginyl-tRNA(Asn)	-5.672	-9.575	0.0	0.0	0.0	50.0
C03406	N-(L-Arginino)succinate	-5.129	6.807	0.313	146.966	-5.521	80.0
C05512	Deoxyinosine	5.816	7.394	0.787	224.533	7.464	80.0
C07645	Aldophosphamide	5.285	11.379	0.464	2702.291	10.294	90.0
C07648	Thioguanine	4.644	8.738	0.531	451.975	7.908	80.0
C00327	L-Citrulline	4.818	8.639	0.558	426.863	7.895	80.0
C00692	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	-5.728	8.817	0.118	504.008	-5.888	80.0
C05269	3-Oxohexanoyl-CoA	-11.029	-3.0	0.0	0.0	0.0	50.0
C18096	D-Allulose_6-phosphate	-7.17	-3.907	0.0	0.0	0.0	50.0
C00269	CDP-diacylglycerol	-2.585	-3.858	0.0	0.0	0.0	50.0
C00506	L-Cysteate	9.347	3.322	0.355	661.22	7.877	80.0
C00263	L-Homoserine	-0.322	-2.902	0.0	0.0	0.0	50.0
C00262	Hypoxanthine	5.285	-7.746	0.182	253.663	-5.526	80.0
C16217	3-Hydroxyoctadecanoyl-CoA	-5.392	-9.687	0.0	0.0	0.0	50.0
C16216	3-Oxostearoyl-CoA	5.392	9.687	0.557	866.276	8.913	90.0
C00267	alpha-D-Glucose	4.036	7.542	0.535	202.771	6.762	70.0
C00266	Glycolaldehyde	-5.555	-5.392	0.0	0.0	0.0	50.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	-4.087	-7.039	0.0	0.0	0.0	50.0
C00460	dUTP	4.459	8.028	0.555	283.01	7.296	80.0
C00286	dGTP	-6.519	-11.027	0.0	0.0	0.0	50.0
C00283	Hydrogen_sulfide	2.075	9.504	0.218	730.301	7.317	80.0
C01962	Thiocysteine	-5.392	-7.748	0.0	0.0	0.0	50.0
C04691	2-Dehydro-3-deoxy-D-arabino-heptonate_7-phosphate	-2.0	3.17	0.444	13.0	-2.53	70.0
C00670	sn-Glycero-3-phosphocholine	3.907	7.762	0.503	232.069	6.868	70.0
C01209	Malonyl-[acyl-carrier_protein]	5.422	5.066	0.934	76.371	6.157	70.0
C00217	D-Glutamate	5.19	6.552	0.792	130.336	6.69	70.0
C00212	Adenosine	5.369	7.743	0.693	255.554	7.469	80.0
C00036	Oxaloacetate	6.576	6.372	0.969	178.231	7.432	80.0
C00037	Glycine	2.201	9.857	0.223	931.967	7.701	80.0
C00035	GDP	-5.832	-9.944	0.0	0.0	0.0	50.0
C00033	Acetate	7.698	9.891	0.778	1157.133	9.815	90.0
C00031	D-Glucose	3.07	6.687	0.459	111.433	5.677	70.0
C00136	Butanoyl-CoA	8.289	-12.211	0.066	5053.859	-8.381	90.0
C00135	L-Histidine	5.392	7.371	0.732	207.527	7.246	80.0
C00134	Putrescine	4.392	-8.109	0.076	297.086	-4.498	80.0
C00133	D-Alanine	-8.237	11.283	0.121	2793.553	-8.402	90.0
C00131	dATP	-3.885	9.941	0.015	997.742	-3.907	70.0
C00130	IMP	-4.392	-7.201	0.0	0.0	0.0	50.0
C05635	5-Hydroxyindoleacetate	-2.807	-3.0	0.0	0.0	0.0	50.0
C05634	5-Hydroxyindoleacetaldehyde	2.807	3.0	0.936	14.998	3.811	60.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	-4.011	-6.187	0.0	0.0	0.0	50.0
C00041	L-Alanine	5.755	-6.71	0.516	158.696	-6.355	90.0
C00040	Acyl-CoA	5.91	8.363	0.707	389.37	8.104	80.0
C00047	L-Lysine	5.437	8.375	0.649	375.312	7.929	80.0
C00046	RNA	-5.371	-9.383	0.0	0.0	0.0	50.0
C00044	GTP	-6.728	-9.874	0.0	0.0	0.0	50.0
C00049	L-Aspartate	-6.891	5.445	0.367	162.248	-5.896	90.0
C02642	3-Ureidopropionate	-4.087	-3.17	0.0	0.0	0.0	50.0
C06481	L-Seryl-tRNA(Sec)	-7.119	-9.658	0.0	0.0	0.0	50.0
C01101	L-Ribulose_5-phosphate	2.585	2.865	0.902	13.286	3.583	60.0
C01100	L-Histidinol_phosphate	3.17	3.369	0.941	19.332	4.185	70.0
C01103	Orotidine_5'-phosphate	-4.03	2.322	0.306	21.336	-2.707	70.0
C05125	2-(alpha-Hydroxyethyl)thiamine_diphosphate	-1.1	7.961	0.009	251.316	-1.112	70.0
C03688	Apo-[acyl-carrier-protein]	5.285	8.418	0.628	381.024	7.902	80.0
C06002	(S)-Methylmalonate_semialdehyde	2.807	-1.0	0.286	8.998	-1.363	70.0
C06007	(R)-2,3-Dihydroxy-3-methylpentanoate	1.17	3.322	0.352	12.251	2.109	60.0
C06006	(S)-2-Aceto-2-hydroxybutanoate	1.0	-8.466	0.006	355.606	-1.008	70.0
C01233	sn-Glycero-3-phosphoethanolamine	3.907	7.762	0.503	232.069	6.868	70.0
C16255	[Dihydrolipoyllysine-residue_acetyltransferase]_S-acetyldihydrolipoyllysine	-3.624	-10.42	0.0	0.0	0.0	50.0
C00954	Indole-3-acetate	-6.17	-5.891	0.0	0.0	0.0	50.0
C00957	Mercaptopyruvate	-6.484	11.845	0.024	3768.262	-6.519	90.0
C05345	beta-D-Fructose_6-phosphate	8.032	10.036	0.8	1311.615	10.036	90.0
C00818	D-Glucarate	-2.807	-3.0	0.0	0.0	0.0	50.0
C00424	(S)-Lactaldehyde	-2.0	-5.392	0.0	0.0	0.0	50.0
C00429	5,6-Dihydrouracil	4.087	3.17	0.776	25.995	4.334	70.0
C05840	Iminoaspartate	-1.0	3.585	0.167	14.0	-1.222	70.0
C00387	Guanosine	6.109	8.296	0.736	383.323	8.141	80.0
C05841	Nicotinate_D-ribonucleoside	6.6	8.572	0.77	477.571	8.522	90.0
C16698	N-Acetylmuramic_acid_6-phosphate	-3.392	-3.322	0.0	0.0	0.0	50.0
C00253	Nicotinate	-6.668	-8.706	0.0	0.0	0.0	50.0
C00250	Pyridoxal	4.585	11.604	0.395	3136.807	10.275	90.0
C00251	Chorismate	2.874	1.322	0.46	9.831	2.177	60.0
C00256	(R)-Lactate	9.872	8.301	0.841	1252.453	10.04	90.0
C05338	4-Hydroxyphenylacetyl-CoA	2.807	7.451	0.377	181.973	6.099	70.0
C00255	Riboflavin	5.0	6.426	0.778	117.984	6.52	70.0
C05336	Selenomethionyl-tRNA(Met)	-5.907	-9.209	0.0	0.0	0.0	50.0
C00392	Mannitol	7.209	4.524	0.628	170.96	6.745	70.0
C00258	D-Glycerate	2.0	5.82	0.344	60.493	4.378	70.0
C05335	L-Selenomethionine	2.322	9.18	0.253	585.037	7.209	80.0
C16596	5-Phenyl-1,3-oxazinane-2,4-dione	-5.285	-11.379	0.0	0.0	0.0	50.0
C04390	N6-Acetyl-LL-2,6-diaminoheptanedioate	7.257	-7.004	0.839	281.314	-7.883	90.0
C01083	alpha,alpha-Trehalose	4.248	8.418	0.505	361.036	7.509	80.0
C00559	Deoxyadenosine	-5.816	-7.394	0.0	0.0	0.0	50.0
C00491	L-Cystine	5.392	7.748	0.696	256.962	7.482	80.0
C00492	Raffinose	1.585	-8.794	0.007	446.872	-1.595	70.0
C00555	4-Aminobutyraldehyde	2.807	3.0	0.936	14.998	3.811	60.0
C00886	L-Alanyl-tRNA	-6.044	-9.063	0.0	0.0	0.0	50.0
C00498	ADP-glucose	-7.23	-8.806	0.0	0.0	0.0	50.0
C00882	Dephospho-CoA	3.459	-7.814	0.049	236.031	-3.528	70.0
C00078	L-Tryptophan	5.044	8.405	0.6	371.958	7.802	80.0
C00079	L-Phenylalanine	-1.972	6.767	0.036	112.834	-2.023	70.0
C00072	Ascorbate	6.322	6.845	0.924	194.965	7.492	80.0
C00073	L-Methionine	4.916	3.931	0.8	45.443	5.183	70.0
C00071	Aldehyde	-9.231	-10.979	0.0	0.0	0.0	50.0
C00077	L-Ornithine	3.978	-3.644	0.793	28.259	-4.487	80.0
C00074	Phosphoenolpyruvate	-7.079	-7.954	0.0	0.0	0.0	50.0
C00075	UTP	7.863	9.51	0.827	961.922	9.635	90.0
C16186	L-Ascorbate_6-phosphate	-6.322	-3.17	0.0	0.0	0.0	50.0
C00085	D-Fructose_6-phosphate	9.159	8.942	0.976	1063.479	10.02	90.0
C00084	Acetaldehyde	8.677	-9.581	0.534	1175.189	-9.295	90.0
C00083	Malonyl-CoA	-5.976	-7.794	0.0	0.0	0.0	50.0
C00082	L-Tyrosine	-5.147	5.063	0.943	68.861	-6.022	90.0
C04640	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine	-6.0	-5.807	0.0	0.0	0.0	50.0
C05762	3-Oxohexadecanoyl-[acp]	-5.295	9.103	0.071	589.151	-5.394	80.0
C00089	Sucrose	1.737	-9.371	0.005	665.477	-1.744	70.0
C04646	6-Thioinosine-5'-monophosphate	6.728	-5.248	0.358	144.008	-5.69	80.0
C02218	Dehydroalanine	-5.044	-9.109	0.0	0.0	0.0	50.0
C00671	(S)-3-Methyl-2-oxopentanoic_acid	-4.322	9.554	0.027	771.694	-4.36	80.0
C00672	2-Deoxy-D-ribose_1-phosphate	6.19	-4.0	0.219	89.009	-4.286	70.0
C00673	2-Deoxy-D-ribose_5-phosphate	-5.34	-6.755	0.0	0.0	0.0	50.0
C05936	N4-Acetylaminobutanal	2.807	3.0	0.936	14.998	3.811	60.0
C00106	Uracil	-2.755	8.64	0.017	405.683	-2.779	70.0
C00105	UMP	2.75	5.848	0.47	64.327	4.919	70.0
C00103	D-Glucose_1-phosphate	-4.556	8.525	0.064	391.89	-4.645	80.0
C00100	Propanoyl-CoA	4.129	-11.843	0.005	3691.15	-4.136	70.0
C00101	Tetrahydrofolate	6.822	-5.948	0.546	174.877	-6.576	90.0
C00109	2-Oxobutanoate	-7.092	8.041	0.518	399.808	-7.694	90.0
C04702	UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)	3.807	-5.585	0.292	61.998	-4.176	70.0
C05764	Hexadecanoyl-[acp]	5.755	-7.741	0.252	267.935	-6.08	90.0
C06899	Chloral_hydrate	5.285	11.379	0.464	2702.291	10.294	90.0
C05761	Tetradecanoyl-[acp]	5.755	-7.741	0.252	267.935	-6.08	90.0
C05760	trans-Tetradec-2-enoyl-[acp]	-5.322	-6.615	0.0	0.0	0.0	50.0
C05763	trans-Hexadec-2-enoyl-[acp]	-5.322	-6.615	0.0	0.0	0.0	50.0
C03175	Shikimate_3-phosphate	2.0	-0.585	0.375	5.5	-1.044	70.0
C00361	dGDP	5.896	11.327	0.521	2628.564	10.418	90.0
C05807	2-Polyprenylphenol	3.17	7.418	0.427	180.018	6.265	70.0
C02670	D-Glucuronolactone	2.807	3.0	0.936	14.998	3.811	60.0
C02992	L-Threonyl-tRNA(Thr)	-7.322	-9.472	0.0	0.0	0.0	50.0
C02995	Maltose_6'-phosphate	3.7	7.033	0.526	143.958	6.243	70.0
C03090	5-Phosphoribosylamine	3.945	5.406	0.73	57.802	5.399	70.0
C04260	O-D-Alanyl-poly(ribitol_phosphate)	-5.0	-11.273	0.0	0.0	0.0	50.0
C07086	Phenylacetic_acid	-7.658	-7.34	0.0	0.0	0.0	50.0
C01077	O-Acetyl-L-homoserine	4.0	3.459	0.865	26.997	4.545	70.0
C02972	Dihydrolipoylprotein	8.195	10.237	0.801	1499.874	10.23	90.0
C01079	Protoporphyrinogen_IX	-5.728	-2.0	0.0	0.0	0.0	50.0
C11435	4-(Cytidine_5'-diphospho)-2-C-methyl-D-erythritol	2.939	6.539	0.449	100.659	5.5	70.0
C11436	2-Phospho-4-(cytidine_5'-diphospho)-2-C-methyl-D-erythritol	-2.663	-6.524	0.0	0.0	0.0	50.0
C00857	Deamino-NAD+	2.322	-6.748	0.047	112.486	-2.388	70.0
C02412	Glycyl-tRNA(Gly)	-6.994	-8.911	0.0	0.0	0.0	50.0
C04419	Carboxybiotin-carboxyl-carrier_protein	-4.044	8.31	0.052	333.861	-4.117	70.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	-4.954	8.543	0.083	403.988	-5.069	80.0
C01172	beta-D-Glucose_6-phosphate	6.492	-8.11	0.326	366.292	-6.899	90.0
C00473	Retinol	5.285	11.379	0.464	2702.291	10.294	90.0
C00169	Carbamoyl_phosphate	-5.087	-7.453	0.0	0.0	0.0	50.0
C03892	Phosphatidylglycerophosphate	-4.585	-9.05	0.0	0.0	0.0	50.0
C00681	1-Acyl-sn-glycerol_3-phosphate	-2.619	-6.264	0.0	0.0	0.0	50.0
C00680	meso-2,6-Diaminoheptanedioate	1.601	7.801	0.205	226.049	5.536	70.0
C00689	alpha,alpha'-Trehalose_6-phosphate	9.013	-6.937	0.237	639.165	-7.244	90.0
C05378	beta-D-Fructose_1,6-bisphosphate	9.051	12.624	0.717	6842.942	12.26	90.0
C00448	trans,trans-Farnesyl_diphosphate	4.508	6.429	0.701	108.916	6.255	70.0
C02554	L-Valyl-tRNA(Val)	-6.6	-9.326	0.0	0.0	0.0	50.0
C00512	S-Benzoate_coenzyme_A	-2.807	-7.451	0.0	0.0	0.0	50.0
C16220	3-Hydroxyoctadecanoyl-[acp]	5.248	-8.725	0.09	461.144	-5.372	80.0
C00921	Dihydropteroate	-4.524	7.665	0.113	225.96	-4.679	80.0
C00458	dCTP	-6.939	-8.236	0.0	0.0	0.0	50.0
C04895	7,8-Dihydroneopterin_3'-triphosphate	-5.555	6.381	0.564	130.357	-6.2	90.0
C04896	5-(5-Phospho-D-ribosylaminoformimino)-1-(5-phosphoribosyl)-imidazole-4-carboxamide	-3.322	-2.585	0.0	0.0	0.0	50.0
C00455	Nicotinamide_D-ribonucleotide	5.977	8.304	0.72	379.036	8.092	80.0
C01697	Galactitol	8.745	5.334	0.61	469.386	8.161	80.0
C15972	Enzyme_N6-(lipoyl)lysine	-8.145	7.134	0.496	423.526	-7.715	90.0
C00330	Deoxyguanosine	6.6	8.502	0.776	459.547	8.479	90.0
C00332	Acetoacetyl-CoA	-8.761	6.154	0.164	505.044	-6.373	90.0
C00334	4-Aminobutanoate	6.422	6.082	0.947	153.489	7.184	80.0
C00337	(S)-Dihydroorotate	5.672	-3.841	0.281	65.315	-4.198	70.0
C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier_protein]	5.248	-8.725	0.09	461.144	-5.372	80.0
C00637	Indole-3-acetaldehyde	2.807	3.0	0.936	14.998	3.811	60.0
C00631	2-Phospho-D-glycerate	-3.632	-7.459	0.0	0.0	0.0	50.0
C00208	Maltose	4.285	10.898	0.393	1927.699	9.566	90.0
C00204	2-Dehydro-3-deoxy-D-gluconate	-4.437	-2.322	0.0	0.0	0.0	50.0
C01212	UDP-N-acetylmuramoyl-L-alanine	-4.883	6.234	0.392	104.777	-5.36	80.0
C07490	Trichloroethanol	-5.285	-11.379	0.0	0.0	0.0	50.0
C00025	L-Glutamate	-5.822	8.048	0.214	321.232	-6.101	90.0
C00024	Acetyl-CoA	-8.987	-10.705	0.0	0.0	0.0	50.0
C00148	L-Proline	8.987	7.289	0.811	663.797	9.072	90.0
C00026	2-Oxoglutarate	-6.91	6.449	0.726	207.625	-7.237	90.0
C00021	S-Adenosyl-L-homocysteine	-3.322	8.266	0.032	317.833	-3.368	70.0
C00020	AMP	5.513	8.394	0.657	382.057	7.971	80.0
C00022	Pyruvate	-7.411	-9.441	0.0	0.0	0.0	50.0
C00143	5,10-Methylenetetrahydrofolate	-7.49	-3.81	0.0	0.0	0.0	50.0
C00141	3-Methyl-2-oxobutanoic_acid	-1.585	7.29	0.019	159.498	-1.612	70.0
C00029	UDP-glucose	-5.508	-10.913	0.0	0.0	0.0	50.0
C00147	Adenine	0.466	7.535	0.062	186.846	3.53	60.0
C00144	GMP	-4.982	8.609	0.081	422.055	-5.094	80.0
C06311	Galactitol_1-phosphate	-8.745	-5.334	0.0	0.0	0.0	50.0
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	-4.954	-9.217	0.0	0.0	0.0	50.0
C03232	3-Phosphonooxypyruvate	-4.392	5.916	0.348	81.375	-4.823	80.0
C00644	D-Mannitol_1-phosphate	7.109	-4.524	0.167	161.052	-4.746	80.0
C02739	1-(5-Phospho-D-ribosyl)-ATP	2.755	-0.737	0.247	8.417	-1.055	70.0
C05726	S-Substituted_L-cysteine	-8.418	-6.129	0.0	0.0	0.0	50.0
C00705	dCDP	4.524	7.732	0.585	235.607	7.107	80.0
C06250	Holo-[carboxylase]	5.644	-7.86	0.215	282.33	-5.925	90.0
C00314	Pyridoxine	4.585	11.604	0.395	3136.807	10.275	90.0
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	6.644	-7.585	0.521	292.015	-7.249	90.0
C01134	Pantetheine_4'-phosphate	-5.755	8.276	0.174	363.977	-5.987	90.0
C03511	L-Phenylalanyl-tRNA(Phe)	-6.267	-8.786	0.0	0.0	0.0	50.0
C03512	L-Tryptophanyl-tRNA(Trp)	-5.044	-8.405	0.0	0.0	0.0	50.0
C02170	Methylmalonate	-2.807	-3.0	0.0	0.0	0.0	50.0
C03127	L-Isoleucyl-tRNA(Ile)	-7.384	-9.628	0.0	0.0	0.0	50.0
C20373	3-Hydroxyglutaryl-[acp]_methyl_ester	5.248	-8.725	0.09	461.144	-5.372	80.0
C20372	3-Ketoglutaryl-[acp]_methyl_ester	-5.7	9.518	0.071	785.152	-5.799	80.0
C20377	3-Hydroxypimeloyl-[acp]_methyl_ester	5.248	-8.725	0.09	461.144	-5.372	80.0
C20376	3-Ketopimeloyl-[acp]_methyl_ester	-5.7	9.518	0.071	785.152	-5.799	80.0
C20375	Glutaryl-[acp]_methyl_ester	6.539	-7.741	0.435	306.921	-7.06	90.0
C20374	Enoylglutaryl-[acp]_methyl_ester	-6.304	-6.615	0.0	0.0	0.0	50.0
C05596	p-Hydroxyphenylacetylglycine	-2.807	-7.451	0.0	0.0	0.0	50.0
C20378	Enoylpimeloyl-[acp]_methyl_ester	-6.304	-6.615	0.0	0.0	0.0	50.0
C00804	Propynoate	-2.807	-3.0	0.0	0.0	0.0	50.0
C04257	N-Acetyl-D-mannosamine_6-phosphate	6.229	9.074	0.686	613.957	8.719	90.0
C04916	N-(5'-Phospho-D-1'-ribulosylformimino)-5-amino-1-(5''-phospho-D-ribosyl)-4-imidazolecarboxamide	1.0	3.459	0.289	12.997	1.91	60.0
C00415	Dihydrofolate	-5.248	4.143	0.465	55.669	-4.694	80.0
C00416	Phosphatidate	2.663	-8.123	0.023	285.117	-2.695	70.0
C04851	MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho-undecaprenol	7.15	6.781	0.948	251.997	7.901	80.0
C00620	alpha-D-Ribose_1-phosphate	6.907	10.598	0.652	1669.953	10.088	90.0
C00242	Guanine	-5.518	7.737	0.215	259.161	-5.799	80.0
C00245	Taurine	5.044	-7.392	0.196	200.954	-5.303	80.0
C16587	3-Carbamoyl-2-phenylpropionaldehyde	-5.285	-11.379	0.0	0.0	0.0	50.0
C16586	2-Phenyl-1,3-propanediol_monocarbamate	5.285	11.379	0.464	2702.291	10.294	90.0
C01097	D-Tagatose_6-phosphate	5.53	11.954	0.463	4013.666	10.859	90.0
C01096	Sorbitol_6-phosphate	3.939	7.721	0.51	226.323	6.851	70.0
C01094	D-Fructose_1-phosphate	8.517	13.228	0.644	9960.884	12.647	90.0
C00068	Thiamin_diphosphate	1.644	-7.917	0.013	244.813	-1.663	70.0
C00342	Thioredoxin	-9.947	-10.456	0.0	0.0	0.0	50.0
C00343	Thioredoxin_disulfide	9.967	10.496	0.95	2444.988	11.181	90.0
C00344	Phosphatidylglycerol	6.0	7.516	0.798	247.038	7.624	80.0
C05684	Selenite	10.043	10.79	0.931	2825.552	11.361	90.0
C00063	CTP	7.758	8.839	0.878	674.402	9.209	90.0
C00062	L-Arginine	4.17	-8.523	0.049	385.858	-4.239	70.0
C00065	L-Serine	4.44	-9.469	0.031	730.39	-4.484	80.0
C00064	L-Glutamine	5.421	-7.287	0.274	199.016	-5.771	80.0
