compound_code	compound_name	lactobacillus_630_score	olsenella_630_score	ratio	magnitude	interaction_score	percentile
C16619	6-Thioguanosine_monophosphate	-9.289	-3.585	0.0	0.0	0.0	50.0
C16618	6-Thioxanthine_5'-monophosphate	8.765	-1.0	0.005	437.039	-1.007	80.0
C02612	(R)-2-Methylmalate	3.392	3.392	1.0	20.995	4.392	70.0
C00099	beta-Alanine	5.508	-3.0	0.176	53.506	-3.234	90.0
C00311	Isocitrate	1.772	1.772	1.0	6.831	2.772	60.0
C00310	D-Xylulose	-3.7	-3.7	0.0	0.0	0.0	50.0
C00641	1,2-Diacyl-sn-glycerol	8.071	3.17	0.393	277.914	6.77	80.0
C01931	L-Lysyl-tRNA	-9.776	-3.585	0.0	0.0	0.0	50.0
C01528	Hydrogen_selenide	-9.874	-2.322	0.0	0.0	0.0	50.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	-7.039	-3.585	0.0	0.0	0.0	50.0
C00092	D-Glucose_6-phosphate	-9.688	-4.285	0.0	0.0	0.0	50.0
C00093	sn-Glycerol_3-phosphate	8.003	3.919	0.49	271.659	7.056	80.0
C00095	D-Fructose	9.073	-1.222	0.004	540.906	-1.228	80.0
C00097	L-Cysteine	-7.238	-2.263	0.0	0.0	0.0	50.0
C14099	2-Naphthaldehyde	-11.713	-4.807	0.0	0.0	0.0	50.0
C00433	2,5-Dioxopentanoate	3.0	3.0	1.0	16.0	4.0	60.0
C14090	1-Naphthaldehyde	-11.713	-4.807	0.0	0.0	0.0	50.0
C02282	Glutaminyl-tRNA	9.282	3.663	0.395	635.197	7.97	90.0
C06196	2'-Deoxyinosine_5'-phosphate	-9.428	-3.17	0.0	0.0	0.0	50.0
C05172	Selenophosphoric_acid	-3.17	-3.17	0.0	0.0	0.0	50.0
C06199	Hordenine	-4.524	-4.524	0.0	0.0	0.0	50.0
C00166	Phenylpyruvate	-0.195	-0.195	0.0	0.0	0.0	50.0
C00167	UDP-glucuronate	-3.907	-3.907	0.0	0.0	0.0	50.0
C00160	Glycolate	-7.507	-4.248	0.0	0.0	0.0	50.0
C00180	Benzoate	-6.418	-3.17	0.0	0.0	0.0	50.0
C00162	Fatty_acid	3.0	3.0	1.0	16.0	4.0	60.0
C00163	Propanoate	9.333	3.954	0.424	660.428	8.128	90.0
C02984	L-Aspartyl-tRNA(Asp)	-9.847	-3.322	0.0	0.0	0.0	50.0
C02987	L-Glutamyl-tRNA(Glu)	-9.267	-4.392	0.0	0.0	0.0	50.0
C03263	Coproporphyrinogen_III	2.0	2.0	1.0	8.0	3.0	60.0
C02047	L-Leucyl-tRNA	-9.881	-4.087	0.0	0.0	0.0	50.0
C03082	4-Phospho-L-aspartate	-4.278	3.293	0.505	29.202	-3.883	90.0
C04376	5'-Phosphoribosyl-N-formylglycinamide	5.459	-3.459	0.25	54.984	-3.781	90.0
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	-4.441	-5.426	0.0	0.0	0.0	50.0
C00860	L-Histidinol	-3.0	-3.0	0.0	0.0	0.0	50.0
C02962	D-Allose_6-phosphate	3.907	3.907	1.0	30.002	4.907	70.0
C00864	Pantothenate	7.547	3.322	0.44	197.014	6.438	80.0
C04272	(R)-2,3-Dihydroxy-3-methylbutanoate	3.322	3.322	1.0	20.001	4.322	70.0
C01380	Ethylene_glycol	5.392	5.392	1.0	83.982	6.392	80.0
C00906	5,6-Dihydrothymine	3.17	3.17	1.0	18.001	4.17	60.0
C01149	4-Trimethylammoniobutanal	3.0	3.0	1.0	16.0	4.0	60.0
C01412	Butanal	11.441	4.807	0.42	2808.245	10.204	90.0
C04421	N-Succinyl-LL-2,6-diaminoheptanedioate	6.615	5.0	0.756	130.02	6.619	80.0
C03402	L-Asparaginyl-tRNA(Asn)	-9.575	-1.222	0.0	0.0	0.0	50.0
C17962	Demethylphosphinothricin	7.375	3.7	0.502	178.992	6.489	80.0
C03406	N-(L-Arginino)succinate	6.807	-3.807	0.125	125.969	-3.977	90.0
C01962	Thiocysteine	-7.748	-3.17	0.0	0.0	0.0	50.0
C00692	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	8.817	2.585	0.293	457.005	7.066	80.0
C05269	3-Oxohexanoyl-CoA	-3.0	-3.0	0.0	0.0	0.0	50.0
C00695	Cholic_acid	-7.392	-3.322	0.0	0.0	0.0	50.0
C18096	D-Allulose_6-phosphate	-3.907	-3.907	0.0	0.0	0.0	50.0
C00269	CDP-diacylglycerol	-3.858	2.585	0.414	20.5	-3.085	90.0
C16219	3-Oxostearoyl-[acp]	9.518	6.209	0.652	807.145	9.04	90.0
C18259	1-Methoxypyrene	-4.524	-4.524	0.0	0.0	0.0	50.0
C00263	L-Homoserine	-2.902	0.195	0.153	8.619	-0.401	80.0
C00262	Hypoxanthine	-7.746	2.585	0.028	220.674	-2.625	90.0
C16217	3-Hydroxyoctadecanoyl-CoA	-9.687	-6.209	0.0	0.0	0.0	50.0
C16216	3-Oxostearoyl-CoA	9.687	6.209	0.641	898.262	9.169	90.0
C00267	alpha-D-Glucose	7.542	2.933	0.389	194.004	6.237	70.0
C00266	Glycolaldehyde	-5.392	-5.392	0.0	0.0	0.0	50.0
C00469	Ethanol	11.713	4.807	0.41	3385.094	10.44	90.0
C00460	dUTP	8.028	0.585	0.073	262.517	4.258	60.0
C00286	dGTP	-11.027	-1.807	0.0	0.0	0.0	50.0
C00283	Hydrogen_sulfide	9.504	3.807	0.401	740.084	8.212	90.0
C04432	tRNA_containing_6-isopentenyladenosine	-7.435	-3.459	0.0	0.0	0.0	50.0
C00327	L-Citrulline	8.639	-5.488	0.113	443.536	-5.642	90.0
C04691	2-Dehydro-3-deoxy-D-arabino-heptonate_7-phosphate	3.17	3.17	1.0	18.001	4.17	60.0
C01563	Carbamate	-4.087	-4.087	0.0	0.0	0.0	50.0
C04051	5-Amino-4-imidazolecarboxyamide	-10.133	-3.585	0.0	0.0	0.0	50.0
C00407	L-Isoleucine	-6.845	-0.263	0.0	0.0	0.0	50.0
C00672	2-Deoxy-D-ribose_1-phosphate	-4.0	-1.0	0.0	0.0	0.0	50.0
C00217	D-Glutamate	6.552	-0.585	0.016	95.332	-0.608	80.0
C00212	Adenosine	7.743	3.7	0.478	227.224	6.763	80.0
C00036	Oxaloacetate	6.372	-0.694	0.02	84.443	-0.722	80.0
C05841	Nicotinate_D-ribonucleoside	8.572	3.7	0.432	393.561	7.408	90.0
C00035	GDP	-9.944	2.087	0.004	989.262	-2.093	80.0
C00033	Acetate	9.891	-1.628	0.003	952.575	-1.633	80.0
C00031	D-Glucose	6.687	4.503	0.673	125.71	6.403	80.0
C00136	Butanoyl-CoA	-12.211	-4.392	0.0	0.0	0.0	50.0
C00135	L-Histidine	7.371	0.585	0.079	167.036	3.729	60.0
C00133	D-Alanine	11.283	4.585	0.406	2515.848	9.998	90.0
C00131	dATP	9.941	0.807	0.081	984.717	6.321	80.0
C00130	IMP	-7.201	0.737	0.011	148.802	-0.753	80.0
C05635	5-Hydroxyindoleacetate	-3.0	-3.0	0.0	0.0	0.0	50.0
C05634	5-Hydroxyindoleacetaldehyde	3.0	3.0	1.0	16.0	4.0	60.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	-6.187	-1.17	0.0	0.0	0.0	50.0
C00042	Succinate	7.17	2.807	0.391	151.006	5.886	70.0
C00041	L-Alanine	-6.71	2.322	0.048	109.692	-2.389	90.0
C00040	Acyl-CoA	8.363	4.044	0.484	345.736	7.385	90.0
C00047	L-Lysine	8.375	3.585	0.428	343.991	7.202	80.0
C00046	RNA	-9.383	-2.954	0.0	0.0	0.0	50.0
C00044	GTP	-9.874	-2.976	0.0	0.0	0.0	50.0
C00049	L-Aspartate	5.445	1.113	0.204	45.725	3.224	60.0
C02642	3-Ureidopropionate	-3.17	-3.17	0.0	0.0	0.0	50.0
C06481	L-Seryl-tRNA(Sec)	-9.658	-3.807	0.0	0.0	0.0	50.0
C01100	L-Histidinol_phosphate	3.369	3.369	1.0	20.663	4.369	70.0
C01103	Orotidine_5'-phosphate	2.322	1.874	0.807	8.666	2.806	60.0
C02470	Xanthurenic_acid	4.524	4.524	1.0	46.014	5.524	70.0
C04742	(15S)-15-Hydroxy-5,8,11-cis-13-trans-eicosatetraenoate	-4.0	-4.0	0.0	0.0	0.0	50.0
C05122	Taurocholate	7.392	3.322	0.449	177.964	6.322	80.0
C03684	6-Pyruvoyltetrahydropterin	-3.807	-3.807	0.0	0.0	0.0	50.0
C06001	(S)-3-Hydroxyisobutyrate	3.17	3.17	1.0	18.001	4.17	60.0
C06002	(S)-Methylmalonate_semialdehyde	-1.0	-1.0	0.0	0.0	0.0	50.0
C06007	(R)-2,3-Dihydroxy-3-methylpentanoate	3.322	3.322	1.0	20.001	4.322	70.0
C06006	(S)-2-Aceto-2-hydroxybutanoate	-8.466	-3.585	0.0	0.0	0.0	50.0
C00954	Indole-3-acetate	-5.891	-3.0	0.0	0.0	0.0	50.0
C05345	beta-D-Fructose_6-phosphate	10.036	3.936	0.392	1065.179	8.706	90.0
C00818	D-Glucarate	-3.0	-3.0	0.0	0.0	0.0	50.0
C00424	(S)-Lactaldehyde	-5.392	-5.392	0.0	0.0	0.0	50.0
C00429	5,6-Dihydrouracil	3.17	3.17	1.0	18.001	4.17	60.0
C05840	Iminoaspartate	3.585	3.585	1.0	24.001	4.585	70.0
C05466	Glycochenodeoxycholate	7.392	3.322	0.449	177.964	6.322	80.0
C00037	Glycine	9.857	-0.619	0.002	928.905	-0.621	80.0
C16698	N-Acetylmuramic_acid_6-phosphate	-3.322	-3.322	0.0	0.0	0.0	50.0
C11907	4,6-Dideoxy-4-oxo-dTDP-D-glucose	-6.833	2.322	0.044	119.009	-2.384	90.0
C00253	Nicotinate	-8.706	-3.392	0.0	0.0	0.0	50.0
C00250	Pyridoxal	11.604	3.807	0.328	3126.803	10.003	90.0
C00251	Chorismate	1.322	1.322	1.0	5.0	2.322	60.0
C00256	(R)-Lactate	8.301	3.807	0.459	329.388	7.239	80.0
C18260	1,6-Dimethoxypyrene	-4.524	-4.524	0.0	0.0	0.0	50.0
C18261	1-Hydroxy-6-methoxypyrene	4.524	4.524	1.0	46.014	5.524	70.0
C05336	Selenomethionyl-tRNA(Met)	-9.209	-4.807	0.0	0.0	0.0	50.0
C00258	D-Glycerate	5.82	-0.585	0.027	57.993	-0.623	80.0
C05335	L-Selenomethionine	9.18	4.0	0.436	596.037	8.021	90.0
C00491	L-Cystine	7.748	3.17	0.409	223.972	6.518	80.0
C00492	Raffinose	-8.794	2.807	0.016	450.87	-2.83	90.0
C00555	4-Aminobutyraldehyde	3.0	3.0	1.0	16.0	4.0	60.0
C00886	L-Alanyl-tRNA	-9.063	-4.087	0.0	0.0	0.0	50.0
C00498	ADP-glucose	-8.806	-3.799	0.0	0.0	0.0	50.0
C00882	Dephospho-CoA	-7.814	-1.585	0.0	0.0	0.0	50.0
C00880	D-Galactonate	3.907	3.907	1.0	30.002	4.907	70.0
C00078	L-Tryptophan	8.405	3.907	0.465	353.968	7.362	90.0
C00079	L-Phenylalanine	6.767	0.097	0.014	109.98	0.657	60.0
C00072	Ascorbate	6.845	5.087	0.743	148.95	6.79	80.0
C00073	L-Methionine	3.931	2.248	0.572	20.003	3.516	60.0
C00071	Aldehyde	-10.979	-3.874	0.0	0.0	0.0	50.0
C00077	L-Ornithine	-3.644	6.109	0.181	81.524	-3.884	90.0
C00074	Phosphoenolpyruvate	-7.954	-3.165	0.0	0.0	0.0	50.0
C00075	UTP	9.51	3.479	0.366	740.264	8.081	90.0
C16186	L-Ascorbate_6-phosphate	-3.17	-5.087	0.0	0.0	0.0	50.0
C00085	D-Fructose_6-phosphate	8.942	4.41	0.493	513.084	7.983	90.0
C00084	Acetaldehyde	-9.581	-3.335	0.0	0.0	0.0	50.0
C00082	L-Tyrosine	5.063	0.047	0.009	34.461	-1.644	80.0
C00081	ITP	-6.741	3.17	0.084	115.966	-3.287	90.0
C00089	Sucrose	-9.371	3.0	0.012	670.143	-3.017	90.0
C04646	6-Thioinosine-5'-monophosphate	-5.248	3.7	0.342	50.998	-4.124	90.0
C02218	Dehydroalanine	-9.109	-3.459	0.0	0.0	0.0	50.0
C00671	(S)-3-Methyl-2-oxopentanoic_acid	9.554	0.637	0.067	753.248	5.65	70.0
C01921	Glycocholate	7.392	3.322	0.449	177.964	6.322	80.0
C00673	2-Deoxy-D-ribose_5-phosphate	-6.755	4.358	0.19	128.515	-4.609	90.0
C05936	N4-Acetylaminobutanal	3.0	3.0	1.0	16.0	4.0	60.0
C00106	Uracil	8.64	-2.433	0.014	404.332	-2.452	90.0
C00105	UMP	5.848	0.807	0.138	59.35	3.034	60.0
C00103	D-Glucose_1-phosphate	8.525	1.959	0.23	372.255	6.419	80.0
C00100	Propanoyl-CoA	-11.843	-4.03	0.0	0.0	0.0	50.0
C00101	Tetrahydrofolate	-5.948	0.344	0.021	63.004	-0.373	80.0
C00109	2-Oxobutanoate	8.041	2.607	0.324	269.472	6.449	80.0
C03175	Shikimate_3-phosphate	-0.585	-0.585	0.0	0.0	0.0	50.0
C00361	dGDP	11.327	1.585	0.14	2572.016	8.491	90.0
C05807	2-Polyprenylphenol	7.418	3.807	0.513	185.014	6.569	80.0
C02670	D-Glucuronolactone	3.0	3.0	1.0	16.0	4.0	60.0
C05830	8-Methoxykynurenate	-4.524	-4.524	0.0	0.0	0.0	50.0
C02992	L-Threonyl-tRNA(Thr)	-9.472	-3.585	0.0	0.0	0.0	50.0
C00179	Agmatine	3.459	3.459	1.0	21.993	4.459	70.0
C02995	Maltose_6'-phosphate	7.033	4.087	0.581	147.956	6.426	80.0
C03090	5-Phosphoribosylamine	5.406	2.379	0.44	47.602	4.389	70.0
C01077	O-Acetyl-L-homoserine	3.459	3.459	1.0	21.993	4.459	70.0
C01079	Protoporphyrinogen_IX	-2.0	-2.0	0.0	0.0	0.0	50.0
C11436	2-Phospho-4-(cytidine_5'-diphospho)-2-C-methyl-D-erythritol	-6.524	1.0	0.022	94.028	-1.031	80.0
C11437	1-Deoxy-D-xylulose_5-phosphate	-1.202	-1.202	0.0	0.0	0.0	50.0
C11432	1-Phenanthrol	4.524	4.524	1.0	46.014	5.524	70.0
C11433	1-Methoxyphenanthrene	-4.524	-4.524	0.0	0.0	0.0	50.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	8.543	-2.0	0.011	376.992	-2.015	80.0
C01172	beta-D-Glucose_6-phosphate	-8.11	-2.268	0.0	0.0	0.0	50.0
C00169	Carbamoyl_phosphate	-7.453	4.829	0.162	203.64	-5.046	90.0
C03892	Phosphatidylglycerophosphate	-9.05	-3.807	0.0	0.0	0.0	50.0
C02412	Glycyl-tRNA(Gly)	-8.911	-3.087	0.0	0.0	0.0	50.0
C00680	meso-2,6-Diaminoheptanedioate	7.801	3.585	0.46	235.016	6.755	80.0
C04257	N-Acetyl-D-mannosamine_6-phosphate	9.074	4.585	0.505	562.948	8.152	90.0
C02553	L-Seryl-tRNA(Ser)	-9.658	-3.807	0.0	0.0	0.0	50.0
C00688	dTDP-4-dehydro-6-deoxy-beta-L-mannose	-7.67	-2.503	0.0	0.0	0.0	50.0
C05378	beta-D-Fructose_1,6-bisphosphate	12.624	3.682	0.292	6325.353	10.849	90.0
C00448	trans,trans-Farnesyl_diphosphate	6.429	0.415	0.065	87.497	2.498	60.0
C04349	(4S)-4,6-Dihydroxy-2,5-dioxohexanoate	-4.087	-4.087	0.0	0.0	0.0	50.0
C16220	3-Hydroxyoctadecanoyl-[acp]	-8.725	-6.209	0.0	0.0	0.0	50.0
C00921	Dihydropteroate	7.665	2.807	0.366	209.951	6.265	70.0
C00458	dCTP	-8.236	-1.441	0.0	0.0	0.0	50.0
C04895	7,8-Dihydroneopterin_3'-triphosphate	6.381	1.0	0.157	85.344	3.741	60.0
C04896	5-(5-Phospho-D-ribosylaminoformimino)-1-(5-phosphoribosyl)-imidazole-4-carboxamide	-2.585	-2.585	0.0	0.0	0.0	50.0
C00455	Nicotinamide_D-ribonucleotide	8.304	3.0	0.361	324.048	6.871	80.0
C01697	Galactitol	5.334	5.334	1.0	80.672	6.334	80.0
C00330	Deoxyguanosine	8.502	-2.807	0.019	369.539	-2.835	90.0
C00332	Acetoacetyl-CoA	6.154	-0.893	0.026	73.067	-0.93	80.0
C00334	4-Aminobutanoate	6.082	-3.0	0.118	75.743	-3.161	90.0
C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier_protein]	-8.725	-6.209	0.0	0.0	0.0	50.0
C00637	Indole-3-acetaldehyde	3.0	3.0	1.0	16.0	4.0	60.0
C00631	2-Phospho-D-glycerate	-7.459	0.047	0.006	176.98	-0.055	70.0
C02528	Chenodeoxycholate	-7.392	-3.322	0.0	0.0	0.0	50.0
C00208	Maltose	10.898	-4.954	0.016	1939.2	-4.977	90.0
C00204	2-Dehydro-3-deoxy-D-gluconate	-2.322	-2.322	0.0	0.0	0.0	50.0
C00206	dADP	-7.71	-1.585	0.0	0.0	0.0	50.0
C01216	2-Dehydro-3-deoxy-D-galactonate	-3.907	-3.907	0.0	0.0	0.0	50.0
C00025	L-Glutamate	8.048	0.585	0.073	266.161	4.274	70.0
C00024	Acetyl-CoA	-10.705	-2.581	0.0	0.0	0.0	50.0
C00148	L-Proline	7.289	1.585	0.217	159.39	5.115	70.0
C00026	2-Oxoglutarate	6.449	-0.915	0.022	89.252	-0.946	80.0
C00021	S-Adenosyl-L-homocysteine	8.266	-2.248	0.015	312.582	-2.27	80.0
C00020	AMP	8.394	0.322	0.038	337.642	3.695	60.0
C00022	Pyruvate	-9.441	-2.336	0.0	0.0	0.0	50.0
C00143	5,10-Methylenetetrahydrofolate	-3.81	0.652	0.112	15.597	-0.805	80.0
C00141	3-Methyl-2-oxobutanoic_acid	7.29	-0.3	0.008	157.729	-0.311	70.0
C00029	UDP-glucose	-10.913	1.737	0.002	1931.481	-1.739	80.0
C00147	Adenine	7.535	-0.252	0.006	186.655	-0.261	70.0
C00144	GMP	8.609	0.637	0.074	392.007	4.858	70.0
C06311	Galactitol_1-phosphate	-5.334	-5.334	0.0	0.0	0.0	50.0
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	-9.217	-3.879	0.0	0.0	0.0	50.0
C03232	3-Phosphonooxypyruvate	5.916	-4.379	0.345	81.187	-4.806	90.0
C02739	1-(5-Phospho-D-ribosyl)-ATP	-0.737	-0.737	0.0	0.0	0.0	50.0
C00700	XTP	9.428	3.17	0.336	697.828	7.874	90.0
C06250	Holo-[carboxylase]	-7.86	-3.907	0.0	0.0	0.0	50.0
C02637	3-Dehydroshikimate	-3.459	-3.459	0.0	0.0	0.0	50.0
C00314	Pyridoxine	11.604	3.807	0.328	3126.803	10.003	90.0
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	-7.585	4.0	0.083	208.005	-4.115	90.0
C01134	Pantetheine_4'-phosphate	8.276	1.415	0.171	312.64	5.74	70.0
C03511	L-Phenylalanyl-tRNA(Phe)	-8.786	-3.322	0.0	0.0	0.0	50.0
C03512	L-Tryptophanyl-tRNA(Trp)	-8.405	-3.907	0.0	0.0	0.0	50.0
C02170	Methylmalonate	-3.0	-3.0	0.0	0.0	0.0	50.0
C05659	5-Methoxytryptamine	-4.524	-4.524	0.0	0.0	0.0	50.0
C03287	L-Glutamyl_5-phosphate	6.358	-1.322	0.03	84.526	-1.365	80.0
C03125	L-Cysteinyl-tRNA(Cys)	-7.768	-3.0	0.0	0.0	0.0	50.0
C03127	L-Isoleucyl-tRNA(Ile)	-9.628	-3.322	0.0	0.0	0.0	50.0
C20373	3-Hydroxyglutaryl-[acp]_methyl_ester	-8.725	-6.209	0.0	0.0	0.0	50.0
C20372	3-Ketoglutaryl-[acp]_methyl_ester	9.518	6.209	0.652	807.145	9.04	90.0
C20377	3-Hydroxypimeloyl-[acp]_methyl_ester	-8.725	-6.209	0.0	0.0	0.0	50.0
C20376	3-Ketopimeloyl-[acp]_methyl_ester	9.518	6.209	0.652	807.145	9.04	90.0
C00804	Propynoate	-3.0	-3.0	0.0	0.0	0.0	50.0
C00965	1,3-beta-D-Glucan	4.17	4.17	1.0	36.002	5.17	70.0
C04916	N-(5'-Phospho-D-1'-ribulosylformimino)-5-amino-1-(5''-phospho-D-ribosyl)-4-imidazolecarboxamide	3.459	3.459	1.0	21.993	4.459	70.0
C00415	Dihydrofolate	4.143	0.737	0.178	19.334	1.782	60.0
C17949	N-Acetyldemethylphosphinothricin	-7.375	-3.7	0.0	0.0	0.0	50.0
C04851	MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho-undecaprenol	6.781	-1.585	0.027	112.973	-1.624	80.0
C00620	alpha-D-Ribose_1-phosphate	10.598	4.392	0.414	1570.939	9.347	90.0
C00242	Guanine	7.737	1.803	0.233	216.828	5.659	70.0
C00245	Taurine	-7.392	-3.322	0.0	0.0	0.0	50.0
C02442	N-Methyltyramine	4.524	4.524	1.0	46.014	5.524	70.0
C01097	D-Tagatose_6-phosphate	11.954	1.379	0.115	3970.061	8.839	90.0
C01094	D-Fructose_1-phosphate	13.228	5.007	0.379	9626.709	11.831	90.0
C00068	Thiamin_diphosphate	-7.917	0.241	0.005	242.869	-0.248	70.0
C00342	Thioredoxin	-10.456	3.807	0.01	1418.651	-3.821	90.0
C00343	Thioredoxin_disulfide	10.496	-3.807	0.01	1458.142	-3.821	90.0
C05688	L-Selenocysteine	9.061	3.7	0.408	547.109	7.804	90.0
C05689	Se-Methyl-L-selenocysteine	9.061	3.7	0.408	547.109	7.804	90.0
C00065	L-Serine	-9.469	0.585	0.002	710.185	-0.588	80.0
C00064	L-Glutamine	-7.287	-3.763	0.0	0.0	0.0	50.0
C11811	1-Hydroxy-2-methyl-2-butenyl_4-diphosphate	-3.585	-3.585	0.0	0.0	0.0	50.0
C16631	alpha-Fluoro-beta-ureidopropionic_acid	-3.17	-3.17	0.0	0.0	0.0	50.0
C16630	5,6-Dihydro-5-fluorouracil	3.17	3.17	1.0	18.001	4.17	60.0
C04079	N-((R)-Pantothenoyl)-L-cysteine	7.547	3.322	0.44	197.014	6.438	80.0
C00669	gamma-L-Glutamyl-L-cysteine	-8.775	-3.17	0.0	0.0	0.0	50.0
C00668	alpha-D-Glucose_6-phosphate	9.736	-2.056	0.005	856.921	-2.063	80.0
C00666	LL-2,6-Diaminoheptanedioate	-7.107	-4.446	0.0	0.0	0.0	50.0
C02163	L-Arginyl-tRNA(Arg)	-8.804	-3.807	0.0	0.0	0.0	50.0
C00988	2-Phosphoglycolate	4.248	4.248	1.0	38.002	5.248	70.0
C00117	D-Ribose_5-phosphate	9.76	-3.858	0.017	881.567	-3.882	90.0
C00111	Glycerone_phosphate	10.742	-1.58	0.002	1715.622	-1.583	80.0
C00112	CDP	-5.555	-3.322	0.0	0.0	0.0	50.0
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	-10.369	-1.418	0.0	0.0	0.0	50.0
C00118	D-Glyceraldehyde_3-phosphate	-11.805	-0.726	0.0	0.0	0.0	50.0
C03688	Apo-[acyl-carrier-protein]	8.418	3.0	0.356	350.035	6.963	80.0
C03492	D-4'-Phosphopantothenate	-4.392	-1.0	0.0	0.0	0.0	50.0
C11924	Perillic_acid	-3.0	-3.0	0.0	0.0	0.0	50.0
C00681	1-Acyl-sn-glycerol_3-phosphate	-6.264	-4.044	0.0	0.0	0.0	50.0
C14145	(3S)-3-Hydroxyadipyl-CoA	4.322	4.322	1.0	40.002	5.322	70.0
C05756	3-Oxododecanoyl-[acp]	9.518	6.209	0.652	807.145	9.04	90.0
C05757	(R)-3-Hydroxydodecanoyl-[acp]	-8.725	-6.209	0.0	0.0	0.0	50.0
C05759	3-Oxotetradecanoyl-[acp]	9.518	6.209	0.652	807.145	9.04	90.0
C00235	Dimethylallyl_diphosphate	3.681	-0.678	0.125	14.426	-0.848	80.0
C05811	2-Octaprenyl-6-hydroxyphenol	-7.418	-3.807	0.0	0.0	0.0	50.0
C05810	2-Octaprenylphenol	7.418	3.807	0.513	185.014	6.569	80.0
C00188	L-Threonine	-7.226	0.788	0.012	151.434	-0.805	80.0
C02702	L-Prolyl-tRNA(Pro)	-9.948	-4.459	0.0	0.0	0.0	50.0
C00183	L-Valine	-6.917	0.222	0.01	122.01	-0.236	70.0
C03794	N6-(1,2-Dicarboxyethyl)-AMP	-6.352	-1.222	0.0	0.0	0.0	50.0
C00181	D-Xylose	3.7	3.7	1.0	25.992	4.7	70.0
C05985	2-Propynal	3.0	3.0	1.0	16.0	4.0	60.0
C00011	CO2	4.24	4.674	0.907	44.424	5.333	70.0
C04352	(R)-4'-Phosphopantothenoyl-L-cysteine	-2.939	-0.263	0.0	0.0	0.0	50.0
