compound_code	compound_name	olsenella_630_score	clostridium_630_score	ratio	magnitude	interaction_score	percentile
C05665	3-Aminopropanal	3.0	3.0	1.0	16.0	4.0	80.0
C05336	Selenomethionyl-tRNA(Met)	-4.807	-2.807	0.0	0.0	0.0	50.0
C05404	D-Gal_alpha_1->6D-Gal_alpha_1->6D-Glucose	-2.807	-1.585	0.0	0.0	0.0	50.0
C00258	D-Glycerate	-0.585	-0.83	0.0	0.0	0.0	50.0
C05335	L-Selenomethionine	4.0	2.807	0.702	22.998	4.012	80.0
C00099	beta-Alanine	-3.0	4.261	0.417	27.173	-3.503	80.0
C01931	L-Lysyl-tRNA	-3.585	-1.0	0.0	0.0	0.0	50.0
C00492	Raffinose	2.807	0.737	0.263	8.665	1.186	70.0
C00073	L-Methionine	2.248	2.807	0.801	11.749	3.234	80.0
C00555	4-Aminobutyraldehyde	3.0	3.0	1.0	16.0	4.0	80.0
C00886	L-Alanyl-tRNA	-4.087	-6.285	0.0	0.0	0.0	50.0
C00092	D-Glucose_6-phosphate	-4.285	-5.141	0.0	0.0	0.0	50.0
C00093	sn-Glycerol_3-phosphate	3.919	-3.17	0.595	24.127	-3.844	90.0
C00498	ADP-glucose	-3.799	-3.459	0.0	0.0	0.0	50.0
C00095	D-Fructose	-1.222	7.013	0.018	131.491	-1.248	70.0
C00097	L-Cysteine	-2.263	-3.694	0.0	0.0	0.0	50.0
C14099	2-Naphthaldehyde	-4.807	-4.977	0.0	0.0	0.0	50.0
C00079	L-Phenylalanine	0.097	-1.283	0.44	3.503	-0.623	60.0
C00993	D-Alanyl-D-alanine	-3.907	5.248	0.395	53.003	-4.387	90.0
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	-3.879	-0.893	0.0	0.0	0.0	50.0
C14090	1-Naphthaldehyde	-4.807	-4.977	0.0	0.0	0.0	50.0
C00071	Aldehyde	-3.874	-4.565	0.0	0.0	0.0	50.0
C00077	L-Ornithine	6.109	1.0	0.164	71.023	3.539	80.0
C00074	Phosphoenolpyruvate	-3.165	-6.828	0.0	0.0	0.0	50.0
C02282	Glutaminyl-tRNA	3.663	-6.005	0.197	76.889	-3.923	90.0
C00979	O-Acetyl-L-serine	2.354	-2.322	0.978	10.113	-3.306	80.0
C04039	2,3-Dihydroxy-3-methylbutanoate	3.322	-2.807	0.7	16.999	-3.572	80.0
C00075	UTP	3.479	4.135	0.841	28.72	4.595	90.0
C00123	L-Leucine	1.0	4.143	0.241	19.667	2.247	70.0
C05936	N4-Acetylaminobutanal	3.0	3.0	1.0	16.0	4.0	80.0
C00084	Acetaldehyde	-3.335	4.552	0.43	33.549	-3.851	90.0
C06613	trans-3-Chloroallyl_aldehyde	-2.939	-2.637	0.0	0.0	0.0	50.0
C00082	L-Tyrosine	0.047	1.284	0.037	3.468	-2.978	80.0
C03785	D-Tagatose_1,6-bisphosphate	-3.536	-2.807	0.0	0.0	0.0	50.0
C00294	Inosine	3.7	-3.907	0.866	27.997	-4.6	90.0
C00407	L-Isoleucine	-0.263	5.3	0.03	40.597	-0.306	60.0
C00089	Sucrose	3.0	-0.322	0.156	9.25	-0.531	60.0
C04646	6-Thioinosine-5'-monophosphate	3.7	1.585	0.428	15.996	2.777	70.0
C06056	4-Hydroxy-L-threonine	-3.17	-5.285	0.0	0.0	0.0	50.0
C00671	(S)-3-Methyl-2-oxopentanoic_acid	0.637	-0.637	1.0	3.11	-1.637	70.0
C00672	2-Deoxy-D-ribose_1-phosphate	-1.0	-4.524	0.0	0.0	0.0	50.0
C00673	2-Deoxy-D-ribose_5-phosphate	4.358	-1.322	0.122	23.006	-1.488	70.0
C02988	L-Histidyl-tRNA(His)	-3.322	-6.17	0.0	0.0	0.0	50.0
C00162	Fatty_acid	3.0	3.0	1.0	16.0	4.0	80.0
C00275	D-Mannose_6-phosphate	-5.966	3.907	0.24	77.51	-4.217	90.0
C02984	L-Aspartyl-tRNA(Asp)	-3.322	-5.285	0.0	0.0	0.0	50.0
C01094	D-Fructose_1-phosphate	5.007	-8.23	0.107	332.401	-5.154	90.0
C03263	Coproporphyrinogen_III	2.0	2.585	0.774	10.0	2.952	70.0
C02047	L-Leucyl-tRNA	-4.087	-6.658	0.0	0.0	0.0	50.0
C00106	Uracil	-2.433	-3.598	0.0	0.0	0.0	50.0
C00068	Thiamin_diphosphate	0.241	-0.415	0.886	2.515	-1.157	70.0
C00342	Thioredoxin	3.807	-9.75	0.016	875.074	-3.83	80.0
C00343	Thioredoxin_disulfide	-3.807	9.747	0.016	873.286	-3.83	90.0
C03082	4-Phospho-L-aspartate	3.293	-3.17	0.918	18.802	-4.11	90.0
C00103	D-Glucose_1-phosphate	1.959	5.771	0.339	58.494	4.312	90.0
C00101	Tetrahydrofolate	0.344	-4.265	0.066	20.495	-0.436	60.0
C00063	CTP	3.08	3.863	0.797	23.007	4.197	90.0
C00062	L-Arginine	-4.248	5.672	0.373	69.986	-4.705	90.0
C00065	L-Serine	0.585	-6.479	0.017	90.702	-0.609	60.0
C00064	L-Glutamine	-3.763	-6.228	0.0	0.0	0.0	50.0
C00109	2-Oxobutanoate	2.607	-3.755	0.451	19.593	-3.144	80.0
C00860	L-Histidinol	-3.0	1.585	0.375	11.0	-2.044	70.0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	1.459	0.322	0.221	3.999	-0.18	60.0
C02576	Perillyl_aldehyde	3.0	3.0	1.0	16.0	4.0	80.0
C04272	(R)-2,3-Dihydroxy-3-methylbutanoate	3.322	-2.248	0.475	14.751	-2.809	80.0
C00577	D-Glyceraldehyde	-5.358	1.263	0.059	43.413	-1.345	70.0
C02170	Methylmalonate	-3.0	-3.0	0.0	0.0	0.0	50.0
C00054	Adenosine_3',5'-bisphosphate	-3.0	-4.728	0.0	0.0	0.0	50.0
C01149	4-Trimethylammoniobutanal	3.0	3.0	1.0	16.0	4.0	80.0
C00279	D-Erythrose_4-phosphate	4.077	-4.881	0.573	46.344	-4.73	90.0
C03175	Shikimate_3-phosphate	-0.585	2.0	0.375	5.5	-1.044	70.0
C01412	Butanal	4.807	6.524	0.737	120.021	6.467	90.0
C00361	dGDP	1.585	-4.248	0.158	22.001	-1.796	70.0
C04421	N-Succinyl-LL-2,6-diaminoheptanedioate	5.0	-0.737	0.052	33.667	-0.81	60.0
C00900	2-Acetolactate	-3.585	3.0	0.667	20.0	-3.737	80.0
C02670	D-Glucuronolactone	3.0	3.0	1.0	16.0	4.0	80.0
C00668	alpha-D-Glucose_6-phosphate	-2.056	-5.449	0.0	0.0	0.0	50.0
C03402	L-Asparaginyl-tRNA(Asn)	-1.222	-1.0	0.0	0.0	0.0	50.0
C00666	LL-2,6-Diaminoheptanedioate	-4.446	3.716	0.603	34.937	-4.397	90.0
C00179	Agmatine	3.459	1.807	0.522	14.496	2.921	70.0
C03406	N-(L-Arginino)succinate	-3.807	-4.392	0.0	0.0	0.0	50.0
C02163	L-Arginyl-tRNA(Arg)	-3.807	-5.672	0.0	0.0	0.0	50.0
C02995	Maltose_6'-phosphate	4.087	-4.644	0.68	41.997	-4.835	90.0
C05130	Imidazole-4-acetaldehyde	3.0	3.0	1.0	16.0	4.0	80.0
C00117	D-Ribose_5-phosphate	-3.858	-4.158	0.0	0.0	0.0	50.0
C00111	Glycerone_phosphate	-1.58	0.902	0.625	4.858	-1.602	70.0
C03090	5-Phosphoribosylamine	2.379	-4.379	0.25	26.009	-2.701	80.0
C00112	CDP	-3.322	2.624	0.616	16.165	-3.317	80.0
C05699	L-Selenocystathionine	3.17	3.585	0.884	21.001	4.215	90.0
C05698	Selenohomocysteine	2.322	-3.585	0.417	17.001	-2.825	80.0
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	-1.418	1.402	0.989	5.315	-2.394	80.0
C00118	D-Glyceraldehyde_3-phosphate	-0.726	4.762	0.061	28.787	-0.811	60.0
C01962	Thiocysteine	-3.17	-3.585	0.0	0.0	0.0	50.0
C06250	Holo-[carboxylase]	-3.907	6.611	0.153	112.749	-4.113	90.0
C00242	Guanine	1.803	1.837	0.981	7.062	2.793	70.0
C00158	Citrate	1.341	1.519	0.883	5.399	2.253	70.0
C01079	Protoporphyrinogen_IX	-2.0	-2.585	0.0	0.0	0.0	50.0
C11437	1-Deoxy-D-xylulose_5-phosphate	-1.202	2.632	0.371	8.499	-1.657	70.0
C11924	Perillic_acid	-3.0	-3.0	0.0	0.0	0.0	50.0
C00681	1-Acyl-sn-glycerol_3-phosphate	-4.044	5.664	0.325	67.199	-4.45	90.0
C00269	CDP-diacylglycerol	2.585	1.138	0.44	8.201	1.852	70.0
C00669	gamma-L-Glutamyl-L-cysteine	-3.17	-4.0	0.0	0.0	0.0	50.0
C00506	L-Cysteate	3.322	4.644	0.715	35.003	4.646	90.0
C00263	L-Homoserine	0.195	-0.222	0.981	2.311	-1.182	70.0
C05892	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine	3.322	5.248	0.633	48.002	4.925	90.0
C01172	beta-D-Glucose_6-phosphate	-2.268	-2.126	0.0	0.0	0.0	50.0
C00267	alpha-D-Glucose	2.933	-0.628	0.202	9.182	-0.894	60.0
C00235	Dimethylallyl_diphosphate	-0.678	-5.853	0.0	0.0	0.0	50.0
C00357	N-Acetyl-D-glucosamine_6-phosphate	-3.0	-5.476	0.0	0.0	0.0	50.0
C00469	Ethanol	4.807	4.977	0.966	59.487	5.844	90.0
C01613	Stachyose	2.807	1.415	0.504	9.665	2.285	70.0
C00188	L-Threonine	0.788	-4.636	0.069	26.591	-0.885	60.0
C02702	L-Prolyl-tRNA(Pro)	-4.459	-1.0	0.0	0.0	0.0	50.0
C00460	dUTP	0.585	5.044	0.116	34.491	2.0	70.0
C02909	(2-Naphthyl)methanol	4.807	4.977	0.966	59.487	5.844	90.0
C05985	2-Propynal	3.0	3.0	1.0	16.0	4.0	80.0
C00286	dGTP	-1.807	3.755	0.259	17.0	-2.139	80.0
C00620	alpha-D-Ribose_1-phosphate	4.392	5.966	0.736	83.505	5.942	90.0
C02839	L-Tyrosyl-tRNA(Tyr)	-3.322	-6.129	0.0	0.0	0.0	50.0
C17556	di-trans,poly-cis-Undecaprenyl_phosphate	1.0	-2.0	0.5	6.0	-1.585	70.0
C00327	L-Citrulline	-5.488	4.336	0.45	65.076	-4.872	90.0
C02412	Glycyl-tRNA(Gly)	-3.087	-7.119	0.0	0.0	0.0	50.0
C00680	meso-2,6-Diaminoheptanedioate	3.585	0.921	0.257	13.894	1.836	70.0
C16348	cis-3-Chloroallyl_aldehyde	-2.939	-2.637	0.0	0.0	0.0	50.0
C02946	4-Acetamidobutanoate	-3.0	-3.0	0.0	0.0	0.0	50.0
C02553	L-Seryl-tRNA(Ser)	-3.807	-4.858	0.0	0.0	0.0	50.0
C05378	beta-D-Fructose_1,6-bisphosphate	3.682	-5.392	0.306	54.826	-4.067	90.0
C04691	2-Dehydro-3-deoxy-D-arabino-heptonate_7-phosphate	3.17	-2.322	0.556	14.001	-2.959	80.0
C04051	5-Amino-4-imidazolecarboxyamide	-3.585	-1.0	0.0	0.0	0.0	50.0
C00152	L-Asparagine	3.807	-4.732	0.527	40.572	-4.417	90.0
C00166	Phenylpyruvate	-0.195	2.595	0.189	7.187	-0.445	60.0
C00458	dCTP	-1.441	3.585	0.226	14.715	-1.735	70.0
C00459	dTTP	3.682	4.066	0.906	29.584	4.744	90.0
C04896	5-(5-Phospho-D-ribosylaminoformimino)-1-(5-phosphoribosyl)-imidazole-4-carboxamide	-2.585	-3.524	0.0	0.0	0.0	50.0
C06055	O-Phospho-4-hydroxy-L-threonine	-0.585	3.737	0.113	14.834	-0.739	60.0
C00052	UDP-alpha-D-galactose	0.652	-5.129	0.045	36.564	-0.715	60.0
C00010	CoA	-0.737	4.728	0.063	28.168	-0.825	60.0
C00217	D-Glutamate	-0.585	-4.322	0.0	0.0	0.0	50.0
C00197	3-Phospho-D-glycerate	3.51	2.631	0.75	17.587	3.721	80.0
C00212	Adenosine	3.7	2.17	0.586	17.496	3.359	80.0
C00208	Maltose	-4.954	4.672	0.822	56.488	-5.538	90.0
C00036	Oxaloacetate	-0.694	0.461	0.851	2.994	-1.349	70.0
C00037	Glycine	-0.619	5.772	0.028	56.18	-0.659	60.0
C01697	Galactitol	5.334	7.17	0.744	184.344	7.099	90.0
C00035	GDP	2.087	3.7	0.564	17.245	3.282	80.0
C00033	Acetate	-1.628	-2.585	0.0	0.0	0.0	50.0
C00031	D-Glucose	4.503	-3.773	0.603	36.345	-4.454	90.0
C00136	Butanoyl-CoA	-4.392	-6.524	0.0	0.0	0.0	50.0
C00135	L-Histidine	0.585	3.97	0.147	17.171	1.339	70.0
C00133	D-Alanine	4.585	3.03	0.661	32.169	4.41	90.0
C00334	4-Aminobutanoate	-3.0	5.075	0.237	41.708	-3.307	80.0
C00131	dATP	0.807	-0.678	0.914	3.349	-1.615	70.0
C00130	IMP	0.737	0.807	0.913	3.416	1.642	70.0
C01097	D-Tagatose_6-phosphate	1.379	2.807	0.491	9.599	2.238	70.0
C05635	5-Hydroxyindoleacetate	-3.0	-3.0	0.0	0.0	0.0	50.0
C05634	5-Hydroxyindoleacetaldehyde	3.0	3.0	1.0	16.0	4.0	80.0
C00299	Uridine	4.954	2.471	0.499	36.54	4.188	80.0
C04574	di-trans,poly-cis-Undecaprenyl_diphosphate	-2.524	2.0	0.695	9.752	-2.762	80.0
C18239	Precursor_Z	-3.459	-4.858	0.0	0.0	0.0	50.0
C00446	alpha-D-Galactose_1-phosphate	-0.848	3.868	0.123	16.401	-1.016	60.0
C00637	Indole-3-acetaldehyde	3.0	3.0	1.0	16.0	4.0	80.0
C00631	2-Phospho-D-glycerate	0.047	-4.05	0.062	17.597	-0.134	60.0
C00441	L-Aspartate_4-semialdehyde	4.143	-3.239	0.534	27.109	-3.857	90.0
C03688	Apo-[acyl-carrier-protein]	3.0	4.728	0.635	34.501	4.452	90.0
C00526	Deoxyuridine	4.248	3.222	0.758	28.332	4.426	90.0
C00169	Carbamoyl_phosphate	4.829	-0.308	0.044	29.661	-0.37	60.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	-1.17	-0.415	0.0	0.0	0.0	50.0
C00041	L-Alanine	2.322	-5.17	0.139	41.002	-2.51	80.0
C00040	Acyl-CoA	4.044	4.248	0.952	35.496	5.079	90.0
C00047	L-Lysine	3.585	-4.358	0.585	32.507	-4.25	90.0
C00046	RNA	-2.954	-3.591	0.0	0.0	0.0	50.0
C02835	Imidazole-4-acetate	-3.0	-3.0	0.0	0.0	0.0	50.0
C00044	GTP	-2.976	-2.648	0.0	0.0	0.0	50.0
C00204	2-Dehydro-3-deoxy-D-gluconate	-2.322	0.222	0.233	6.167	-0.524	60.0
C00049	L-Aspartate	1.113	1.394	0.798	4.791	1.936	70.0
C00206	dADP	-1.585	-3.036	0.0	0.0	0.0	50.0
