compound_code	compound_name	lactobacillus_mock_score	alistipes_mock_score	ratio	magnitude	interaction_score	percentile
C04146	all-trans-Octaprenyl_diphosphate	4.392	3.907	0.89	35.997	5.001	70.0
C02051	Lipoylprotein	-7.6	-4.585	0.124	218.012	-4.753	80.0
C00424	(S)-Lactaldehyde	-1.0	-7.728	0.009	214.012	-1.014	60.0
C00221	beta-D-Glucose	-7.943	3.215	0.038	255.368	-3.268	50.0
C00385	Xanthine	-4.313	-4.19	0.918	38.129	-5.13	80.0
C00387	Guanosine	5.3	7.304	0.726	197.421	7.162	90.0
C00229	Acyl-carrier_protein	-4.392	7.257	0.137	173.954	-4.578	70.0
C00882	Dephospho-CoA	-5.044	-2.807	0.212	39.989	-3.085	50.0
C05893	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine	-3.807	-6.426	0.163	99.981	-4.025	70.0
C05841	Nicotinate_D-ribonucleoside	5.585	7.304	0.765	206.025	7.3	90.0
C00655	Xanthosine_5'-phosphate	3.298	-2.773	0.695	16.671	-3.534	60.0
C00118	D-Glyceraldehyde_3-phosphate	-9.982	4.754	0.027	1038.287	-4.792	80.0
C05759	3-Oxotetradecanoyl-[acp]	4.585	6.34	0.723	105.009	6.247	80.0
C03125	L-Cysteinyl-tRNA(Cys)	-3.459	-6.845	0.096	125.958	-3.591	60.0
C03127	L-Isoleucyl-tRNA(Ile)	-4.087	-6.57	0.179	112.004	-4.324	70.0
C00508	L-Ribulose	-4.392	-7.112	0.152	159.328	-4.596	70.0
C20373	3-Hydroxyglutaryl-[acp]_methyl_ester	-3.322	-8.358	0.03	338.102	-3.365	50.0
C20372	3-Ketoglutaryl-[acp]_methyl_ester	4.585	6.34	0.723	105.009	6.247	80.0
C00120	Biotin	3.17	6.267	0.506	86.012	5.443	70.0
C00365	dUMP	-4.692	-5.221	0.693	63.146	-5.452	80.0
C00362	dGMP	-3.459	-5.755	0.204	65.001	-3.726	60.0
C00363	dTDP	5.17	-6.672	0.353	137.972	-5.606	80.0
C00009	Orthophosphate	-2.807	-6.229	0.093	82.008	-2.936	50.0
C00008	ADP	-6.646	-2.336	0.05	105.198	-2.407	50.0
C00006	NADP+	6.011	-6.322	0.806	144.494	-6.864	90.0
C20378	Enoylpimeloyl-[acp]_methyl_ester	-3.459	6.629	0.111	109.972	-3.611	60.0
C00003	NAD+	-1.138	-7.5	0.012	183.22	-1.155	60.0
C00002	ATP	-6.267	6.959	0.619	201.425	-6.962	90.0
C05980	Cardiolipin	-2.807	-6.426	0.081	92.982	-2.92	50.0
C00369	Starch	4.807	2.644	0.55	34.244	4.235	70.0
C05703	Methaneselenol	-6.16	-6.845	0.622	186.467	-6.858	90.0
C00035	GDP	-6.066	3.624	0.184	79.325	-3.868	60.0
C00183	L-Valine	-1.585	-3.437	0.277	13.83	-1.938	50.0
C04620	(3R)-3-Hydroxyoctanoyl-[acyl-carrier_protein]	-2.954	-7.071	0.058	142.206	-3.035	50.0
C16619	6-Thioguanosine_monophosphate	-4.524	-7.129	0.164	162.98	-4.744	70.0
C16618	6-Thioxanthine_5'-monophosphate	4.585	-2.0	0.167	28.001	-2.222	50.0
C05684	Selenite	6.966	6.943	0.997	248.06	7.95	90.0
C00256	(R)-Lactate	4.426	5.858	0.756	79.497	5.908	80.0
C01346	dUDP	3.087	-3.459	0.773	19.494	-3.913	70.0
C00255	Riboflavin	2.322	-4.807	0.179	32.993	-2.559	50.0
C05336	Selenomethionyl-tRNA(Met)	-3.459	-6.741	0.103	117.962	-3.6	60.0
C00415	Dihydrofolate	-1.078	-0.637	0.737	3.666	-1.433	60.0
C00416	Phosphatidate	-4.163	4.19	0.981	36.166	-5.15	80.0
C00259	L-Arabinose	4.392	8.262	0.532	327.975	7.446	90.0
C16615	6-Methylthiopurine_5'-monophosphate_ribonucleotide	-3.17	-7.077	0.067	144.018	-3.263	50.0
C16614	6-Methylmercaptopurine	3.17	7.077	0.448	144.018	6.011	80.0
C00099	beta-Alanine	2.459	5.615	0.438	54.508	4.577	70.0
C01931	L-Lysyl-tRNA	-4.322	-6.931	0.164	142.023	-4.541	70.0
C01528	Hydrogen_selenide	-5.746	-6.812	0.478	166.03	-6.309	90.0
C00091	Succinyl-CoA	-7.6	-6.522	0.474	285.912	-7.081	90.0
C00092	D-Glucose_6-phosphate	-6.582	-7.589	0.498	288.341	-7.165	90.0
C00093	sn-Glycerol_3-phosphate	-1.463	7.347	0.017	165.562	-1.487	60.0
C00095	D-Fructose	4.824	-7.827	0.125	255.396	-4.994	80.0
C00097	L-Cysteine	-5.926	-7.224	0.407	210.3	-6.418	90.0
C01190	beta-D-Glucosyl-(1<->1)-ceramide	-7.055	-6.248	0.572	208.978	-6.9	90.0
C00078	L-Tryptophan	3.459	6.409	0.54	95.974	5.695	80.0
C00079	L-Phenylalanine	2.883	-1.138	0.298	9.578	-1.515	60.0
C00993	D-Alanyl-D-alanine	-8.214	-3.0	0.027	304.934	-3.038	50.0
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	-5.141	-3.382	0.295	45.711	-3.755	60.0
C00073	L-Methionine	-2.087	5.298	0.108	43.591	-2.235	50.0
C00231	D-Xylulose_5-phosphate	2.907	-5.576	0.157	55.203	-3.118	50.0
C15667	5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole	-5.524	5.883	0.78	105.029	-6.356	90.0
C00075	UTP	3.126	5.652	0.553	59.013	5.029	70.0
C06196	2'-Deoxyinosine_5'-phosphate	-6.209	-7.484	0.413	253.0	-6.708	90.0
C03232	3-Phosphonooxypyruvate	2.678	3.766	0.711	20.004	3.83	70.0
C00074	Phosphoenolpyruvate	-8.696	-6.979	0.304	540.872	-7.362	90.0
C00718	Amylose	-4.248	-2.55	0.308	24.857	-2.938	50.0
C00441	L-Aspartate_4-semialdehyde	3.611	-4.815	0.434	40.367	-4.131	70.0
C00123	L-Leucine	-1.222	-3.322	0.233	12.333	-1.524	60.0
C03512	L-Tryptophanyl-tRNA(Trp)	-3.459	-6.409	0.129	95.974	-3.635	60.0
C04242	5-Fluorodeoxyuridine_monophosphate	-3.17	-6.615	0.092	107.02	-3.297	50.0
C00086	Urea	4.79	7.102	0.674	165.043	6.798	90.0
C00085	D-Fructose_6-phosphate	-3.471	4.926	0.365	41.489	-3.92	70.0
C00242	Guanine	-4.353	-4.585	0.851	44.436	-5.242	80.0
C00245	Taurine	-6.907	-6.17	0.6	192.013	-6.848	90.0
C00082	L-Tyrosine	1.766	1.248	0.707	5.776	2.029	60.0
C00081	ITP	5.0	7.484	0.668	211.023	7.139	90.0
C01290	beta-D-Galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide	7.055	6.248	0.886	208.978	7.532	90.0
C04640	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine	-2.322	4.585	0.208	29.001	-2.595	50.0
C00294	Inosine	5.146	7.304	0.705	193.432	7.09	90.0
C00407	L-Isoleucine	-2.202	-3.485	0.411	15.798	-2.699	50.0
C04646	6-Thioinosine-5'-monophosphate	2.585	3.807	0.679	19.997	3.763	70.0
C02218	Dehydroalanine	-3.907	-7.562	0.079	203.969	-4.017	70.0
C00337	(S)-Dihydroorotate	-1.874	-6.57	0.039	98.675	-1.929	50.0
C01921	Glycocholate	6.907	6.17	0.893	192.013	7.422	90.0
C00673	2-Deoxy-D-ribose_5-phosphate	4.426	6.858	0.645	137.498	6.471	80.0
C00160	Glycolate	-4.74	-6.229	0.356	101.732	-5.18	80.0
C03479	Folinic_acid	5.0	-6.57	0.337	127.01	-5.419	80.0
C00163	Propanoate	6.615	7.238	0.914	248.977	7.83	90.0
C02984	L-Aspartyl-tRNA(Asp)	-4.459	-6.285	0.282	99.972	-4.817	80.0
C02987	L-Glutamyl-tRNA(Glu)	-4.322	-6.426	0.233	105.985	-4.624	70.0
C00169	Carbamoyl_phosphate	-3.49	4.147	0.634	28.952	-4.199	70.0
C02047	L-Leucyl-tRNA	-4.755	-6.524	0.293	119.03	-5.126	80.0
C00106	Uracil	-4.878	-2.202	0.156	34.006	-2.412	50.0
C00068	Thiamin_diphosphate	-5.203	-7.349	0.226	199.866	-5.497	80.0
C00342	Thioredoxin	-5.532	-4.916	0.652	76.46	-5.641	80.0
C00105	UMP	0.593	5.356	0.111	42.464	2.233	60.0
C03082	4-Phospho-L-aspartate	5.44	1.379	0.253	46.012	3.544	70.0
C00103	D-Glucose_1-phosphate	6.54	5.218	0.798	130.274	6.7	80.0
C04377	5,10-Methylenetetrahydromethanopterin	-5.087	-7.15	0.239	176.014	-5.397	80.0
C04376	5'-Phosphoribosyl-N-formylglycinamide	2.0	-3.459	0.364	14.997	-2.448	50.0
C00583	Propane-1,2-diol	1.0	7.728	0.129	214.012	4.791	70.0
C00063	CTP	5.654	6.823	0.829	163.574	7.083	90.0
C05689	Se-Methyl-L-selenocysteine	4.17	6.741	0.619	124.966	6.272	80.0
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	3.147	4.441	0.709	30.579	4.438	70.0
C00064	L-Glutamine	-2.58	-5.595	0.124	54.315	-2.748	50.0
C00066	tRNA	2.585	6.19	0.418	79.009	5.044	70.0
C16633	5-Fluorouridine	2.585	7.748	0.334	220.971	6.204	80.0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	3.781	3.7	0.979	26.743	4.71	70.0
C00864	Pantothenate	4.087	-6.524	0.185	109.022	-4.331	70.0
C16634	5-Fluorouridine_monophosphate	-2.585	-8.362	0.018	335.013	-2.611	50.0
C03972	2,3,4,5-Tetrahydrodipicolinate	-3.27	-1.976	0.408	13.58	-2.469	50.0
C05466	Glycochenodeoxycholate	6.907	6.17	0.893	192.013	7.422	90.0
C01380	Ethylene_glycol	1.0	7.728	0.129	214.012	4.791	70.0
C19673	Malonyl-[acp]_methyl_ester	3.17	7.954	0.399	256.967	6.678	80.0
C20376	3-Ketopimeloyl-[acp]_methyl_ester	4.585	6.34	0.723	105.009	6.247	80.0
C00577	D-Glyceraldehyde	-11.618	-7.366	0.052	3308.123	-7.44	90.0
C05764	Hexadecanoyl-[acp]	-2.322	7.229	0.033	155.019	-2.369	50.0
C01419	Cys-Gly	2.322	8.618	0.269	397.895	6.744	90.0
C04246	But-2-enoyl-[acyl-carrier_protein]	-3.459	-5.7	0.212	62.981	-3.736	60.0
C05761	Tetradecanoyl-[acp]	-2.322	7.229	0.033	155.019	-2.369	50.0
C05760	trans-Tetradec-2-enoyl-[acp]	-3.459	-5.7	0.212	62.981	-3.736	60.0
C05763	trans-Hexadec-2-enoyl-[acp]	-3.459	-5.7	0.212	62.981	-3.736	60.0
C05762	3-Oxohexadecanoyl-[acp]	4.19	5.931	0.706	79.263	5.807	80.0
C00275	D-Mannose_6-phosphate	-9.446	6.714	0.151	802.458	-6.916	90.0
C00361	dGDP	7.793	-4.481	0.101	244.114	-4.619	70.0
C04079	N-((R)-Pantothenoyl)-L-cysteine	4.087	5.615	0.728	66.004	5.586	70.0
C18902	Methylselenic_acid	6.966	6.943	0.997	248.06	7.95	90.0
C00668	alpha-D-Glucose_6-phosphate	-6.343	-3.912	0.185	96.23	-4.157	70.0
C03402	L-Asparaginyl-tRNA(Asn)	-4.222	-7.0	0.146	146.662	-4.418	70.0
C00253	Nicotinate	-4.931	-7.304	0.193	188.53	-5.186	80.0
C03294	N-Formylmethionyl-tRNA	-4.459	-6.229	0.293	97.003	-4.83	80.0
C00663	beta-D-Glucose_1-phosphate	-3.7	-6.109	0.188	82.019	-3.949	70.0
C02163	L-Arginyl-tRNA(Arg)	-2.585	-6.109	0.087	75.023	-2.705	50.0
C00234	10-Formyltetrahydrofolate	-1.565	-3.229	0.316	12.335	-1.961	50.0
C00117	D-Ribose_5-phosphate	5.661	-6.12	0.727	120.149	-6.45	90.0
C00111	Glycerone_phosphate	7.797	-3.388	0.047	232.867	-3.454	60.0
C03090	5-Phosphoribosylamine	2.678	5.385	0.497	48.187	4.583	70.0
C02380	6-Mercaptopurine	3.17	7.077	0.448	144.018	6.011	80.0
C00112	CDP	-1.503	-4.346	0.139	23.171	-1.691	60.0
C07648	Thioguanine	3.17	7.077	0.448	144.018	6.011	80.0
C05698	Selenohomocysteine	-3.755	-1.585	0.222	16.501	-1.874	60.0
C00354	D-Fructose_1,6-bisphosphate	-9.036	-2.459	0.01	530.435	-2.474	50.0
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	-6.983	2.531	0.046	132.28	-2.595	50.0
C00243	Lactose	5.799	6.248	0.928	131.68	6.933	90.0
C00149	(S)-Malate	2.322	-5.856	0.086	62.921	-2.441	50.0
C00299	Uridine	4.315	-1.399	0.132	22.541	-1.579	60.0
C00692	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	4.322	-4.392	0.953	40.996	-5.287	80.0
C03492	D-4'-Phosphopantothenate	-2.0	5.17	0.111	40.002	-2.152	50.0
C00695	Cholic_acid	-6.907	-6.17	0.6	192.013	-6.848	90.0
C11435	4-(Cytidine_5'-diphospho)-2-C-methyl-D-erythritol	2.0	-3.585	0.333	16.0	-2.415	50.0
C11436	2-Phospho-4-(cytidine_5'-diphospho)-2-C-methyl-D-erythritol	-2.0	3.459	0.364	14.997	-2.448	50.0
C00857	Deamino-NAD+	-1.0	8.022	0.008	261.934	-1.011	60.0
C01345	dITP	5.0	7.484	0.668	211.023	7.139	90.0
C05750	3-Oxooctanoyl-[acp]	4.19	5.931	0.706	79.263	5.807	80.0
C05751	trans-Oct-2-enoyl-[acp]	-3.459	-5.7	0.212	62.981	-3.736	60.0
C00269	CDP-diacylglycerol	-2.459	-1.773	0.622	8.916	-2.47	50.0
C05753	3-Oxodecanoyl-[acp]	4.19	5.931	0.706	79.263	5.807	80.0
C16219	3-Oxostearoyl-[acp]	4.585	6.34	0.723	105.009	6.247	80.0
C05755	Decanoyl-[acp]	-2.322	7.229	0.033	155.019	-2.369	50.0
C05756	3-Oxododecanoyl-[acp]	4.585	6.34	0.723	105.009	6.247	80.0
C05757	(R)-3-Hydroxydodecanoyl-[acp]	-3.322	-7.484	0.056	189.023	-3.4	60.0
C05758	trans-Dodec-2-enoyl-[acp]	-3.459	-5.7	0.212	62.981	-3.736	60.0
C00262	Hypoxanthine	-4.239	3.35	0.54	29.079	-3.973	70.0
C16217	3-Hydroxyoctadecanoyl-CoA	-5.0	-8.358	0.098	360.102	-5.134	80.0
C16216	3-Oxostearoyl-CoA	5.0	8.358	0.598	360.102	7.751	90.0
C00267	alpha-D-Glucose	4.556	6.297	0.724	102.153	6.208	80.0
C00266	Glycolaldehyde	-1.0	-7.478	0.011	180.28	-1.016	60.0
C00235	Dimethylallyl_diphosphate	-1.571	-3.138	0.338	11.774	-1.991	50.0
C04432	tRNA_containing_6-isopentenyladenosine	-2.585	-6.19	0.082	79.009	-2.699	50.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	4.0	-7.267	0.104	170.023	-4.143	70.0
C00188	L-Threonine	-3.361	7.721	0.049	221.26	-3.43	60.0
C02702	L-Prolyl-tRNA(Pro)	-5.0	-7.18	0.221	177.009	-5.288	80.0
C05818	2-Demethylmenaquinone	-4.392	-6.209	0.284	94.972	-4.752	80.0
C00460	dUTP	5.113	7.484	0.683	213.63	7.189	90.0
C03794	N6-(1,2-Dicarboxyethyl)-AMP	-1.0	-2.115	0.462	6.332	-1.548	60.0
C00343	Thioredoxin_disulfide	5.946	4.672	0.786	87.141	6.097	80.0
C00122	Fumarate	-2.852	4.809	0.258	35.252	-3.183	50.0
C00286	dGTP	-7.812	5.554	0.209	271.703	-5.828	90.0
C00124	D-Galactose	-6.262	6.098	0.893	145.243	-7.018	90.0
C00620	alpha-D-Ribose_1-phosphate	7.788	7.492	0.962	401.033	8.592	90.0
C16221	(2E)-Octadecenoyl-[acp]	-3.459	6.629	0.111	109.972	-3.611	60.0
C00011	CO2	3.392	7.581	0.447	201.971	6.498	80.0
C04352	(R)-4'-Phosphopantothenoyl-L-cysteine	-1.0	3.0	0.25	10.0	-1.322	60.0
C05897	Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	1.585	-4.954	0.097	33.996	-1.718	60.0
C17556	di-trans,poly-cis-Undecaprenyl_phosphate	2.585	5.392	0.479	47.991	4.524	70.0
C01962	Thiocysteine	-3.755	-6.129	0.193	83.487	-4.009	70.0
C00279	D-Erythrose_4-phosphate	11.531	-3.68	0.004	2972.035	-3.686	60.0
C01762	Xanthosine	5.387	7.304	0.738	199.869	7.204	90.0
C02412	Glycyl-tRNA(Gly)	-3.17	-6.714	0.086	113.983	-3.289	50.0
C00680	meso-2,6-Diaminoheptanedioate	1.485	-3.322	0.28	12.8	-1.841	60.0
C00206	dADP	-6.353	4.018	0.198	97.943	-4.279	70.0
C00842	dTDP-glucose	-1.585	-5.087	0.088	36.989	-1.707	60.0
C02553	L-Seryl-tRNA(Ser)	-6.615	-6.768	0.899	207.006	-7.541	90.0
C05427	Phytyl_diphosphate	4.392	7.044	0.624	152.959	6.575	80.0
C05378	beta-D-Fructose_1,6-bisphosphate	10.843	-6.164	0.039	1908.532	-6.219	90.0
C00448	trans,trans-Farnesyl_diphosphate	2.807	4.285	0.655	26.493	4.117	70.0
C02554	L-Valyl-tRNA(Val)	-4.524	-6.443	0.264	110.01	-4.862	80.0
C20377	3-Hydroxypimeloyl-[acp]_methyl_ester	-3.322	-8.358	0.03	338.102	-3.365	50.0
C03785	D-Tagatose_1,6-bisphosphate	-7.706	-8.022	0.803	468.737	-8.557	90.0
C05749	Hexanoyl-[acp]	-2.322	7.229	0.033	155.019	-2.369	50.0
C05748	trans-Hex-2-enoyl-[acp]	-3.459	-5.7	0.212	62.981	-3.736	60.0
C16220	3-Hydroxyoctadecanoyl-[acp]	-3.322	-8.358	0.03	338.102	-3.365	50.0
C00921	Dihydropteroate	3.17	2.322	0.732	14.001	3.358	70.0
C05745	Butyryl-[acp]	-2.322	7.229	0.033	155.019	-2.369	50.0
C05744	Acetoacetyl-[acp]	3.82	6.074	0.629	81.492	5.68	80.0
C05465	Taurochenodeoxycholate	6.907	6.17	0.893	192.013	7.422	90.0
C04618	(3R)-3-Hydroxybutanoyl-[acyl-carrier_protein]	-2.678	-6.752	0.059	114.184	-2.761	50.0
C04619	(3R)-3-Hydroxydecanoyl-[acyl-carrier_protein]	-2.954	-7.071	0.058	142.206	-3.035	50.0
C00458	dCTP	-6.758	5.668	0.47	159.077	-6.224	90.0
C04895	7,8-Dihydroneopterin_3'-triphosphate	1.874	-3.459	0.333	14.662	-2.289	50.0
C01209	Malonyl-[acyl-carrier_protein]	2.392	6.902	0.347	124.843	5.435	70.0
C00199	D-Ribulose_5-phosphate	-5.339	-4.418	0.528	61.853	-5.03	80.0
C00019	S-Adenosyl-L-methionine	-1.0	-4.022	0.123	18.246	-1.167	60.0
C00062	L-Arginine	-3.386	5.883	0.177	69.469	-3.621	60.0
C00217	D-Glutamate	-0.737	3.907	0.111	16.668	-0.889	60.0
C00214	Thymidine	-6.267	6.615	0.786	175.031	-7.103	90.0
C00212	Adenosine	4.728	7.304	0.647	184.525	6.9	90.0
C00153	Nicotinamide	-5.073	-7.304	0.213	191.685	-5.352	80.0
C15972	Enzyme_N6-(lipoyl)lysine	-5.066	-6.907	0.279	153.507	-5.421	80.0
C00208	Maltose	6.022	6.109	0.986	134.006	7.045	90.0
C00036	Oxaloacetate	3.326	-4.434	0.464	31.644	-3.876	60.0
C00037	Glycine	-2.095	-6.054	0.064	70.713	-2.185	50.0
C15973	Enzyme_N6-(dihydrolipoyl)lysine	7.577	6.907	0.912	310.952	8.147	90.0
C11907	4,6-Dideoxy-4-oxo-dTDP-D-glucose	-1.0	-6.807	0.018	113.972	-1.026	60.0
C03373	Aminoimidazole_ribotide	5.459	-5.7	0.846	95.971	-6.344	90.0
C00031	D-Glucose	4.102	7.055	0.581	150.146	6.448	80.0
C00330	Deoxyguanosine	5.585	7.304	0.765	206.025	7.3	90.0
C00135	L-Histidine	2.17	6.508	0.333	95.513	4.993	70.0
C00134	Putrescine	-3.17	-3.459	0.818	19.997	-4.033	70.0
C00133	D-Alanine	7.647	3.322	0.434	210.437	6.514	80.0
C00131	dATP	6.046	2.115	0.35	70.405	4.622	70.0
C00130	IMP	-4.15	-0.059	0.059	18.795	-0.141	60.0
C16237	Protein_N6-(lipoyl)lysine	-7.977	6.022	0.258	316.935	-6.353	90.0
C01097	D-Tagatose_6-phosphate	8.275	8.022	0.969	569.692	9.109	90.0
C05699	L-Selenocystathionine	3.755	6.129	0.613	83.487	5.677	70.0
C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier_protein]	-3.322	-7.484	0.056	189.023	-3.4	60.0
C04088	Octadecanoyl-[acyl-carrier_protein]	-3.7	-6.629	0.131	111.972	-3.878	70.0
C04851	MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho-undecaprenol	1.585	-4.954	0.097	33.996	-1.718	60.0
C01050	UDP-N-acetylmuramate	-4.692	5.64	0.518	75.715	-5.295	80.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	3.17	-6.15	0.127	80.013	-3.342	50.0
C20375	Glutaryl-[acp]_methyl_ester	-2.322	7.229	0.033	155.019	-2.369	50.0
C04574	di-trans,poly-cis-Undecaprenyl_diphosphate	0.585	-6.0	0.023	65.5	-0.618	60.0
C01172	beta-D-Glucose_6-phosphate	-4.737	-3.322	0.375	36.668	-3.781	60.0
C05892	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine	3.585	6.022	0.595	76.984	5.518	70.0
C00445	5,10-Methenyltetrahydrofolate	-2.644	3.781	0.455	19.997	-3.185	50.0
C01094	D-Fructose_1-phosphate	11.034	7.366	0.668	2261.802	10.56	90.0
C00631	2-Phospho-D-glycerate	-5.885	-2.621	0.104	65.248	-2.764	50.0
C02528	Chenodeoxycholate	-6.907	-6.17	0.6	192.013	-6.848	90.0
