compound_code	compound_name	alistipes_mock_score	eubacterium_mock_score	ratio	magnitude	interaction_score	percentile
C00493	Shikimate	2.988	2.243	0.751	12.668	3.249	60.0
C00886	L-Alanyl-tRNA	-6.7	-5.755	0.519	157.973	-6.359	90.0
C00882	Dephospho-CoA	-2.807	-4.524	0.304	30.005	-3.19	50.0
C00881	Deoxycytidine	6.954	4.322	0.622	143.984	6.484	80.0
C00078	L-Tryptophan	6.409	4.437	0.692	106.638	6.206	80.0
C00079	L-Phenylalanine	-1.138	3.017	0.272	10.296	-1.485	50.0
C00073	L-Methionine	5.298	3.661	0.691	51.991	5.167	70.0
C00074	Phosphoenolpyruvate	-6.979	-6.981	0.999	252.476	-7.978	90.0
C00075	UTP	5.652	6.969	0.811	175.562	7.154	90.0
C00085	D-Fructose_6-phosphate	4.926	7.107	0.693	168.254	6.866	80.0
C00082	L-Tyrosine	1.248	-0.553	0.618	3.842	-1.247	50.0
C00081	ITP	7.484	4.17	0.557	197.024	6.778	80.0
C04640	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine	4.585	-6.129	0.343	93.987	-5.01	80.0
C03175	Shikimate_3-phosphate	-2.7	-2.7	1.0	12.996	-3.7	60.0
C04646	6-Thioinosine-5'-monophosphate	3.807	5.426	0.702	56.989	5.321	70.0
C02218	Dehydroalanine	-7.562	-1.585	0.016	191.968	-1.608	50.0
C01921	Glycocholate	6.17	3.17	0.514	81.004	5.379	70.0
C00673	2-Deoxy-D-ribose_5-phosphate	6.858	-1.585	0.026	119.002	-1.622	50.0
C00106	Uracil	-2.202	2.888	0.622	12.004	-2.899	50.0
C00105	UMP	5.356	-0.065	0.026	42.002	-0.101	60.0
C00103	D-Glucose_1-phosphate	5.218	2.481	0.475	42.803	4.347	60.0
C00101	Tetrahydrofolate	4.512	-2.655	0.276	29.115	-3.007	50.0
C04702	UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)	5.7	2.0	0.351	55.984	4.296	60.0
C05764	Hexadecanoyl-[acp]	7.229	1.0	0.138	152.019	4.394	60.0
C05761	Tetradecanoyl-[acp]	7.229	1.0	0.138	152.019	4.394	60.0
C05760	trans-Tetradec-2-enoyl-[acp]	-5.7	1.585	0.058	54.984	-1.666	50.0
C05763	trans-Hexadec-2-enoyl-[acp]	-5.7	1.585	0.058	54.984	-1.666	50.0
C05762	3-Oxohexadecanoyl-[acp]	5.931	3.931	0.663	76.264	5.66	70.0
C00361	dGDP	-4.481	3.17	0.403	31.332	-3.659	60.0
C02992	L-Threonyl-tRNA(Thr)	-7.721	-6.209	0.351	284.962	-6.643	90.0
C00179	Agmatine	5.781	2.322	0.402	59.987	4.591	60.0
C03090	5-Phosphoribosylamine	5.385	-2.678	0.153	48.187	-2.884	50.0
C01079	Protoporphyrinogen_IX	-6.109	-4.644	0.362	94.025	-5.09	80.0
C11435	4-(Cytidine_5'-diphospho)-2-C-methyl-D-erythritol	-3.585	0.678	0.133	13.6	-0.859	60.0
C11436	2-Phospho-4-(cytidine_5'-diphospho)-2-C-methyl-D-erythritol	3.459	-2.053	0.377	15.146	-2.515	50.0
C00857	Deamino-NAD+	8.022	2.807	0.35	266.932	6.545	80.0
C02412	Glycyl-tRNA(Gly)	-6.714	-6.392	0.8	188.964	-7.24	90.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	-6.15	1.0	0.028	73.012	-1.04	50.0
C01172	beta-D-Glucose_6-phosphate	-3.322	4.644	0.4	35.003	-3.807	60.0
C00169	Carbamoyl_phosphate	4.147	-4.678	0.692	43.315	-4.906	70.0
C18796	(2R)-2-Hydroxy-2-methylbutanenitrile	-7.435	-5.524	0.266	219.059	-5.864	80.0
C08334	Lotaustralin	7.435	5.524	0.743	219.059	7.347	90.0
C00681	1-Acyl-sn-glycerol_3-phosphate	-6.561	2.28	0.051	99.275	-2.352	50.0
C00680	meso-2,6-Diaminoheptanedioate	-3.322	4.918	0.331	40.232	-3.734	60.0
C02553	L-Seryl-tRNA(Ser)	-6.768	-5.807	0.514	164.972	-6.405	90.0
C05378	beta-D-Fructose_1,6-bisphosphate	-6.164	3.672	0.178	84.451	-3.908	60.0
C00448	trans,trans-Farnesyl_diphosphate	4.285	3.644	0.85	31.996	4.766	60.0
C02554	L-Valyl-tRNA(Val)	-6.443	-5.524	0.529	133.017	-6.136	90.0
C16220	3-Hydroxyoctadecanoyl-[acp]	-8.358	-4.524	0.07	351.109	-4.622	70.0
C16221	(2E)-Octadecenoyl-[acp]	6.629	1.585	0.239	101.976	4.608	60.0
C00458	dCTP	5.668	-5.327	0.789	90.985	-6.167	90.0
C00459	dTTP	6.964	4.312	0.619	144.708	6.485	80.0
C00330	Deoxyguanosine	7.304	2.104	0.288	162.323	5.547	70.0
C00333	D-Galacturonate	7.687	6.17	0.803	278.075	7.802	90.0
C00337	(S)-Dihydroorotate	-6.57	1.874	0.039	98.675	-1.929	50.0
C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier_protein]	-7.484	-4.524	0.129	202.03	-4.698	70.0
C00631	2-Phospho-D-glycerate	-2.621	0.249	0.193	7.34	-0.504	60.0
C02528	Chenodeoxycholate	-6.17	-3.17	0.125	81.004	-3.34	50.0
C01594	Linamarin	7.435	5.524	0.743	219.059	7.347	90.0
C00208	Maltose	6.109	-3.0	0.116	77.023	-3.158	50.0
C00204	2-Dehydro-3-deoxy-D-gluconate	5.919	4.322	0.73	80.507	5.877	70.0
C01212	UDP-N-acetylmuramoyl-L-alanine	-5.119	-2.0	0.115	38.751	-2.157	50.0
C00025	L-Glutamate	5.618	-4.875	0.597	78.456	-5.551	80.0
C00148	L-Proline	7.18	3.379	0.471	155.413	6.193	80.0
C00026	2-Oxoglutarate	-6.017	-4.807	0.432	92.752	-5.325	80.0
C00020	AMP	1.585	-3.565	0.253	14.835	-1.911	50.0
C00022	Pyruvate	6.239	3.299	0.529	85.373	5.496	70.0
C00143	5,10-Methylenetetrahydrofolate	-5.215	-1.312	0.067	39.625	-1.405	50.0
C00141	3-Methyl-2-oxobutanoic_acid	-4.392	-3.904	0.713	35.965	-4.681	70.0
C00029	UDP-glucose	4.17	-1.131	0.122	20.191	-1.297	50.0
C00147	Adenine	-2.755	2.644	0.926	13.001	-3.59	60.0
C00144	GMP	-6.229	-2.725	0.088	81.621	-2.847	50.0
C05729	R-S-Cysteinylglycine	8.618	3.907	0.453	407.896	7.531	90.0
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	-3.382	-4.038	0.635	26.852	-4.091	60.0
C03232	3-Phosphonooxypyruvate	3.766	4.711	0.799	39.795	4.992	70.0
C05726	S-Substituted_L-cysteine	-8.618	-3.907	0.038	407.896	-3.961	60.0
C00700	XTP	7.484	4.17	0.557	197.024	6.778	80.0
C06250	Holo-[carboxylase]	-6.267	1.415	0.035	79.678	-1.464	50.0
C02637	3-Dehydroshikimate	-4.985	-1.585	0.095	34.669	-1.716	50.0
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	4.907	4.17	0.85	48.003	5.35	70.0
C01134	Pantetheine_4'-phosphate	5.415	4.79	0.885	70.331	5.959	70.0
C00092	D-Glucose_6-phosphate	-7.589	-6.194	0.38	265.75	-6.659	90.0
C03511	L-Phenylalanyl-tRNA(Phe)	-6.615	-5.6	0.495	146.523	-6.18	90.0
C03512	L-Tryptophanyl-tRNA(Trp)	-6.409	-5.7	0.612	136.961	-6.389	90.0
C03125	L-Cysteinyl-tRNA(Cys)	-6.845	-3.807	0.122	128.957	-3.973	60.0
C03127	L-Isoleucyl-tRNA(Ile)	-6.57	-6.15	0.747	166.022	-6.955	90.0
C20373	3-Hydroxyglutaryl-[acp]_methyl_ester	-8.358	-4.524	0.07	351.109	-4.622	70.0
C20372	3-Ketoglutaryl-[acp]_methyl_ester	6.34	4.322	0.682	101.009	6.106	70.0
C20377	3-Hydroxypimeloyl-[acp]_methyl_ester	-8.358	-4.524	0.07	351.109	-4.622	70.0
C20376	3-Ketopimeloyl-[acp]_methyl_ester	6.34	4.322	0.682	101.009	6.106	70.0
C20375	Glutaryl-[acp]_methyl_ester	7.229	4.858	0.672	179.019	6.911	90.0
C20374	Enoylglutaryl-[acp]_methyl_ester	6.629	-4.7	0.263	124.968	-5.036	80.0
C20378	Enoylpimeloyl-[acp]_methyl_ester	6.629	-4.7	0.263	124.968	-5.036	80.0
C00415	Dihydrofolate	-0.637	-3.17	0.173	10.556	-0.867	60.0
C00416	Phosphatidate	4.19	5.363	0.781	59.407	5.536	70.0
C00037	Glycine	-6.054	4.775	0.412	93.82	-5.273	80.0
C04851	MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho-undecaprenol	-4.954	4.0	0.516	46.996	-4.6	70.0
C01798	D-Glucoside	7.435	5.524	0.743	219.059	7.347	90.0
C00243	Lactose	6.248	5.129	0.821	110.997	6.51	80.0
C00242	Guanine	-4.585	-2.907	0.313	31.501	-3.299	50.0
C00245	Taurine	-6.17	-3.17	0.125	81.004	-3.34	50.0
C00249	Hexadecanoic_acid	8.651	3.7	0.428	414.982	7.472	90.0
C18174	Carboxynorspermidine	6.15	4.7	0.764	97.005	6.212	80.0
C01097	D-Tagatose_6-phosphate	8.022	6.943	0.865	382.975	8.373	90.0
C00561	Mandelonitrile	-7.435	-5.524	0.266	219.059	-5.864	80.0
C01094	D-Fructose_1-phosphate	7.366	6.629	0.9	263.939	7.892	90.0
C00068	Thiamin_diphosphate	-7.349	0.479	0.009	164.424	-0.491	60.0
C00342	Thioredoxin	-4.916	3.807	0.464	44.187	-4.357	70.0
C00343	Thioredoxin_disulfide	4.672	-3.807	0.549	39.489	-4.438	70.0
C00344	Phosphatidylglycerol	6.426	3.807	0.592	99.981	5.888	70.0
C05684	Selenite	6.943	5.524	0.796	169.055	7.072	90.0
C00063	CTP	6.823	7.129	0.957	253.194	7.921	90.0
C00062	L-Arginine	5.883	-1.585	0.051	62.015	-1.657	50.0
C00065	L-Serine	5.185	-3.92	0.416	51.515	-4.422	70.0
C00064	L-Glutamine	-5.595	-3.033	0.169	56.52	-3.259	50.0
C11811	1-Hydroxy-2-methyl-2-butenyl_4-diphosphate	-6.17	6.658	0.713	172.989	-6.947	90.0
C16633	5-Fluorouridine	7.748	5.044	0.651	247.962	7.335	90.0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	3.7	-1.263	0.185	15.396	-1.507	50.0
C16635	5'-Deoxy-5-fluorocytidine	6.954	4.644	0.668	148.986	6.637	80.0
C16634	5-Fluorouridine_monophosphate	-8.362	-5.044	0.1	362.004	-5.182	80.0
C19673	Malonyl-[acp]_methyl_ester	7.954	4.858	0.611	276.967	7.402	90.0
C04079	N-((R)-Pantothenoyl)-L-cysteine	5.615	3.907	0.696	64.011	5.477	70.0
C00668	alpha-D-Glucose_6-phosphate	-3.912	5.783	0.273	70.116	-4.261	60.0
C01269	5-O-(1-Carboxyvinyl)-3-phosphoshikimate	-2.322	-2.7	0.77	11.498	-3.145	50.0
C02163	L-Arginyl-tRNA(Arg)	-6.109	-4.248	0.275	88.024	-4.599	70.0
C00117	D-Ribose_5-phosphate	-6.12	-6.497	0.77	159.873	-6.944	90.0
C00111	Glycerone_phosphate	-3.388	-4.496	0.464	33.033	-3.938	60.0
C02380	6-Mercaptopurine	7.077	4.858	0.686	164.018	6.815	80.0
C00112	CDP	-4.346	-5.57	0.428	67.841	-4.86	70.0
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	2.531	-3.234	0.614	15.188	-3.222	50.0
C00118	D-Glyceraldehyde_3-phosphate	4.754	7.282	0.653	182.616	6.897	90.0
C03492	D-4'-Phosphopantothenate	5.17	-2.322	0.139	41.002	-2.51	50.0
C05750	3-Oxooctanoyl-[acp]	5.931	3.931	0.663	76.264	5.66	70.0
C05751	trans-Oct-2-enoyl-[acp]	-5.7	1.585	0.058	54.984	-1.666	50.0
C05752	Octanoyl-[acp]	6.498	1.0	0.154	92.384	3.83	60.0
C05753	3-Oxodecanoyl-[acp]	5.931	3.931	0.663	76.264	5.66	70.0
C05754	trans-Dec-2-enoyl-[acp]	-5.7	1.585	0.058	54.984	-1.666	50.0
C05755	Decanoyl-[acp]	7.229	1.0	0.138	152.019	4.394	60.0
C05756	3-Oxododecanoyl-[acp]	6.34	4.322	0.682	101.009	6.106	70.0
C05757	(R)-3-Hydroxydodecanoyl-[acp]	-7.484	-4.524	0.129	202.03	-4.698	70.0
C05758	trans-Dodec-2-enoyl-[acp]	-5.7	1.585	0.058	54.984	-1.666	50.0
C05759	3-Oxotetradecanoyl-[acp]	6.34	4.322	0.682	101.009	6.106	70.0
C00235	Dimethylallyl_diphosphate	-3.138	-6.423	0.103	94.609	-3.279	50.0
C18172	Carboxyspermidine	6.15	4.7	0.764	97.005	6.212	80.0
C00188	L-Threonine	7.721	-3.7	0.062	223.982	-3.786	60.0
C02702	L-Prolyl-tRNA(Pro)	-7.18	-5.358	0.283	186.022	-5.717	80.0
C00185	Cellobiose	7.435	-6.768	0.63	282.031	-7.473	90.0
C00183	L-Valine	-3.437	-0.737	0.154	12.497	-0.944	60.0
C03794	N6-(1,2-Dicarboxyethyl)-AMP	-2.115	-2.0	0.923	8.332	-2.944	50.0
C00181	D-Xylose	7.827	5.858	0.748	285.072	7.737	90.0
C02839	L-Tyrosyl-tRNA(Tyr)	-6.807	-3.322	0.089	121.973	-3.445	60.0
C04352	(R)-4'-Phosphopantothenoyl-L-cysteine	3.0	-0.848	0.225	9.8	-1.141	50.0
C00842	dTDP-glucose	-5.087	2.585	0.177	39.989	-2.82	50.0
C00015	UDP	-3.907	-5.037	0.457	47.832	-4.45	70.0
C02291	L-Cystathionine	6.129	7.807	0.785	293.931	7.85	90.0
C11437	1-Deoxy-D-xylulose_5-phosphate	2.415	0.263	0.109	6.533	-0.491	60.0
C01290	beta-D-Galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide	6.248	5.129	0.821	110.997	6.51	80.0
C00445	5,10-Methenyltetrahydrofolate	3.781	0.874	0.231	15.579	1.848	60.0
C01762	Xanthosine	7.304	4.087	0.56	175.019	6.614	80.0
C00441	L-Aspartate_4-semialdehyde	-4.815	3.852	0.513	42.589	-4.449	70.0
C00440	5-Methyltetrahydrofolate	-2.939	3.624	0.622	19.998	-3.637	60.0
C00526	Deoxyuridine	3.907	-2.874	0.489	22.332	-3.448	60.0
C11453	2-C-Methyl-D-erythritol_2,4-cyclodiphosphate	-3.7	2.982	0.608	20.897	-3.667	60.0
C00522	(R)-Pantoate	7.129	-1.138	0.016	142.173	-1.161	50.0
C00831	Pantetheine	5.615	3.907	0.696	64.011	5.477	70.0
C04882	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine	5.7	2.0	0.351	55.984	4.296	60.0
C12739	5'-Deoxy-5-fluorouridine	-6.954	-4.644	0.202	148.986	-4.909	70.0
C01190	beta-D-Glucosyl-(1<->1)-ceramide	-6.248	-5.129	0.46	110.997	-5.675	80.0
C03838	5'-Phosphoribosylglycinamide	-6.741	-4.755	0.252	133.967	-5.08	80.0
C03722	Quinolinate	-6.109	-3.7	0.188	82.019	-3.949	60.0
C03939	Acetyl-[acyl-carrier_protein]	3.051	0.515	0.169	9.717	0.714	60.0
C00620	alpha-D-Ribose_1-phosphate	7.492	6.492	0.867	270.027	7.87	90.0
C00627	Pyridoxine_phosphate	-6.629	-4.17	0.182	116.976	-4.411	70.0
C00231	D-Xylulose_5-phosphate	-5.576	-5.718	0.906	100.34	-6.507	90.0
C01345	dITP	7.484	4.17	0.557	197.024	6.778	80.0
C00234	10-Formyltetrahydrofolate	-3.229	-1.338	0.27	11.904	-1.682	50.0
C05688	L-Selenocysteine	6.741	2.0	0.297	110.965	5.041	70.0
C00010	CoA	-6.755	-4.087	0.157	125.003	-4.298	70.0
C00011	CO2	7.581	7.565	0.998	380.835	8.57	90.0
C05689	Se-Methyl-L-selenocysteine	6.741	2.0	0.297	110.965	5.041	70.0
C00014	Ammonia	-4.031	-3.378	0.636	26.744	-4.088	60.0
C05980	Cardiolipin	-6.426	-3.807	0.163	99.981	-4.025	60.0
C00019	S-Adenosyl-L-methionine	-4.022	-4.982	0.514	47.849	-4.62	70.0
C00153	Nicotinamide	-7.304	-4.459	0.139	180.017	-4.647	70.0
C00152	L-Asparagine	6.7	1.737	0.259	107.302	4.798	70.0
C00155	L-Homocysteine	-1.379	-6.156	0.036	73.909	-1.431	50.0
C00154	Palmitoyl-CoA	-8.651	-3.7	0.032	414.982	-3.746	60.0
C00066	tRNA	6.19	3.807	0.615	87.005	5.742	70.0
C02876	Propanoyl_phosphate	-7.238	-5.6	0.321	199.461	-6.002	90.0
C00259	L-Arabinose	8.262	-5.781	0.179	361.966	-6.019	90.0
C04620	(3R)-3-Hydroxyoctanoyl-[acyl-carrier_protein]	-7.071	-4.129	0.13	151.953	-4.305	70.0
C00655	Xanthosine_5'-phosphate	-2.773	-4.167	0.381	24.799	-3.238	50.0
C00718	Amylose	-2.55	-4.285	0.3	25.351	-2.929	50.0
C17556	di-trans,poly-cis-Undecaprenyl_phosphate	5.392	2.0	0.371	45.991	4.092	60.0
C04442	2-Dehydro-3-deoxy-6-phospho-D-gluconate	-4.977	-6.547	0.337	125.001	-5.396	80.0
C01127	4-Hydroxy-2-oxoglutarate	7.827	5.0	0.639	259.071	7.371	90.0
C05143	Dhurrin	7.435	5.524	0.743	219.059	7.347	90.0
C18902	Methylselenic_acid	6.943	5.524	0.796	169.055	7.072	90.0
