compound_code	compound_name	butyrivibrio_mock_score	parabacteroides_mock_score	ratio	magnitude	interaction_score	percentile
C00096	GDP-mannose	6.599	5.936	0.9	158.162	7.152	70.0
C00097	L-Cysteine	6.061	8.036	0.754	329.232	7.956	70.0
C04633	(3R)-3-Hydroxypalmitoyl-[acyl-carrier_protein]	-6.566	-9.981	0.0	0.0	0.0	50.0
C15667	5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole	7.994	8.873	0.901	723.793	9.349	80.0
C00378	Thiamine	-6.313	5.833	0.717	136.511	-6.613	90.0
C06196	2'-Deoxyinosine_5'-phosphate	-6.022	-9.543	0.0	0.0	0.0	50.0
C04732	5-Amino-6-(1-D-ribitylamino)uracil	4.322	-7.562	0.106	208.969	-4.467	80.0
C11948	2,6-Dimethyl-5-methylene-3-oxo-heptanoyl-CoA	4.7	2.0	0.426	29.992	3.674	60.0
C11949	3-Isopropylbut-3-enoyl-CoA	-4.7	-2.0	0.0	0.0	0.0	50.0
C06199	Hordenine	-6.476	-6.845	0.0	0.0	0.0	50.0
C07118	Benzoyl_acetyl-CoA	4.7	2.0	0.426	29.992	3.674	60.0
C05773	Cobyrinate	5.358	3.0	0.56	49.013	4.778	60.0
C14762	13(S)-HODE	4.858	8.651	0.562	430.986	7.919	70.0
C05778	Sirohydrochlorin	1.0	3.17	0.315	11.0	1.795	60.0
C00166	Phenylpyruvate	-1.29	7.979	0.01	254.746	-1.304	70.0
C00167	UDP-glucuronate	-7.877	-9.282	0.0	0.0	0.0	50.0
C00160	Glycolate	-7.955	7.315	0.642	407.372	-8.03	90.0
C00162	Fatty_acid	-3.322	-2.322	0.0	0.0	0.0	50.0
C00163	Propanoate	9.101	10.501	0.867	1998.287	10.758	90.0
C02984	L-Aspartyl-tRNA(Asp)	-7.852	-9.85	0.0	0.0	0.0	50.0
C02987	L-Glutamyl-tRNA(Glu)	-8.103	-9.581	0.0	0.0	0.0	50.0
C19878	D-glycero-alpha-D-manno-Heptose_7-phosphate	-5.129	-1.0	0.0	0.0	0.0	50.0
C00438	N-Carbamoyl-L-aspartate	-3.03	-5.732	0.0	0.0	0.0	50.0
C02047	L-Leucyl-tRNA	-9.0	-10.661	0.0	0.0	0.0	50.0
C03082	4-Phospho-L-aspartate	6.8	-7.397	0.661	279.977	-7.532	90.0
C04377	5,10-Methylenetetrahydromethanopterin	-8.852	-10.448	0.0	0.0	0.0	50.0
C04376	5'-Phosphoribosyl-N-formylglycinamide	6.34	8.649	0.733	482.437	8.466	80.0
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	-5.964	-8.358	0.0	0.0	0.0	50.0
C00861	L-Rhamnulose	-6.066	-10.92	0.0	0.0	0.0	50.0
C00860	L-Histidinol	6.17	5.129	0.831	106.997	6.475	60.0
C02962	D-Allose_6-phosphate	8.331	8.945	0.931	814.867	9.568	90.0
C00864	Pantothenate	6.852	4.248	0.62	134.521	6.382	60.0
C04272	(R)-2,3-Dihydroxy-3-methylbutanoate	-9.471	-8.552	0.0	0.0	0.0	50.0
C01380	Ethylene_glycol	8.114	9.649	0.841	1079.907	9.827	90.0
C01419	Cys-Gly	6.384	10.589	0.603	1623.822	9.935	90.0
C01144	(S)-3-Hydroxybutanoyl-CoA	8.924	-2.0	0.008	489.726	-2.012	70.0
C06040	Diglucosyl-diacylglycerol	6.229	-4.322	0.267	95.01	-4.663	80.0
C08325	Amygdalin	9.95	10.551	0.943	2489.382	11.197	90.0
C03402	L-Asparaginyl-tRNA(Asn)	-8.084	-9.781	0.0	0.0	0.0	50.0
C17962	Demethylphosphinothricin	5.392	3.7	0.686	54.987	5.238	60.0
C03406	N-(L-Arginino)succinate	-8.618	-8.455	0.0	0.0	0.0	50.0
C07648	Thioguanine	7.864	9.241	0.851	838.057	9.478	80.0
C07649	5-FU	7.349	8.823	0.833	615.915	9.003	80.0
C01962	Thiocysteine	-7.459	-9.486	0.0	0.0	0.0	50.0
C00692	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	-6.022	7.044	0.492	196.947	-6.6	90.0
C00695	Cholic_acid	-7.418	-7.762	0.0	0.0	0.0	50.0
C18096	D-Allulose_6-phosphate	-8.195	-8.945	0.0	0.0	0.0	50.0
C00269	CDP-diacylglycerol	4.902	-7.116	0.216	168.615	-5.184	80.0
C16219	3-Oxostearoyl-[acp]	-2.322	9.263	0.008	619.386	-2.334	70.0
C00507	L-Rhamnose	7.87	11.081	0.71	2400.215	10.735	90.0
C18259	1-Methoxypyrene	-6.476	-6.845	0.0	0.0	0.0	50.0
C00263	L-Homoserine	-3.033	5.802	0.147	63.978	-3.23	80.0
C00262	Hypoxanthine	-1.954	7.192	0.026	150.095	-1.992	70.0
C00508	L-Ribulose	-8.512	-9.623	0.0	0.0	0.0	50.0
C16216	3-Oxostearoyl-CoA	8.679	10.617	0.817	1980.355	10.661	90.0
C00267	alpha-D-Glucose	7.457	8.316	0.897	494.391	8.792	80.0
C00266	Glycolaldehyde	-7.733	-9.327	0.0	0.0	0.0	50.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	-7.6	-10.328	0.0	0.0	0.0	50.0
C00464	Mannan	-1.0	-4.322	0.0	0.0	0.0	50.0
C00460	dUTP	7.555	-8.414	0.551	529.142	-8.189	90.0
C00286	dGTP	-8.041	-6.216	0.0	0.0	0.0	50.0
C00283	Hydrogen_sulfide	6.807	6.781	0.996	221.945	7.789	70.0
C01152	N(pi)-Methyl-L-histidine	-6.476	-6.845	0.0	0.0	0.0	50.0
C00327	L-Citrulline	8.238	9.312	0.885	937.526	9.696	90.0
C05688	L-Selenocysteine	1.0	8.547	0.117	376.027	5.459	60.0
C04691	2-Dehydro-3-deoxy-D-arabino-heptonate_7-phosphate	6.15	8.175	0.752	360.027	8.081	70.0
C04051	5-Amino-4-imidazolecarboxyamide	-8.488	-9.246	0.0	0.0	0.0	50.0
C04053	5-Dehydro-4-deoxy-D-glucuronate	9.267	10.043	0.923	1671.071	10.591	90.0
C03785	D-Tagatose_1,6-bisphosphate	-11.489	-9.329	0.0	0.0	0.0	50.0
C00407	L-Isoleucine	-6.282	-6.117	0.0	0.0	0.0	50.0
C18026	(2S)-Ethylmalonyl-CoA	9.494	10.397	0.913	2069.442	10.884	90.0
C01209	Malonyl-[acyl-carrier_protein]	6.672	8.467	0.788	455.821	8.489	80.0
C02492	1,4-beta-D-Mannan	7.022	8.791	0.799	572.917	8.838	80.0
C00217	D-Glutamate	5.615	7.198	0.78	195.84	7.255	70.0
C00214	Thymidine	5.102	6.989	0.73	161.372	6.88	70.0
C00212	Adenosine	6.819	9.618	0.709	898.698	9.316	80.0
C05840	Iminoaspartate	3.459	4.459	0.776	32.99	4.678	60.0
C05841	Nicotinate_D-ribonucleoside	7.676	9.618	0.798	990.296	9.626	90.0
C11907	4,6-Dideoxy-4-oxo-dTDP-D-glucose	-8.214	-7.907	0.0	0.0	0.0	50.0
C00033	Acetate	8.404	8.614	0.976	730.539	9.477	80.0
C00031	D-Glucose	7.856	9.843	0.798	1150.095	9.842	90.0
C00137	myo-Inositol	-7.335	-7.745	0.0	0.0	0.0	50.0
C00135	L-Histidine	-6.2	7.324	0.459	233.747	-6.745	90.0
C00134	Putrescine	6.009	-7.562	0.341	253.369	-6.432	90.0
C00133	D-Alanine	5.833	8.322	0.701	377.02	8.046	70.0
C00131	dATP	-6.479	-4.807	0.0	0.0	0.0	50.0
C00130	IMP	-2.346	-8.226	0.0	0.0	0.0	50.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	-4.585	8.821	0.053	476.258	-4.66	80.0
C00042	Succinate	4.7	10.491	0.448	1465.141	9.358	80.0
C00041	L-Alanine	6.79	7.966	0.852	360.698	8.264	70.0
C00040	Acyl-CoA	7.654	7.375	0.964	367.407	8.468	80.0
C00047	L-Lysine	-5.951	7.111	0.448	200.1	-6.485	90.0
C00046	RNA	-7.76	-8.982	0.0	0.0	0.0	50.0
C00044	GTP	-8.947	-9.432	0.0	0.0	0.0	50.0
C00049	L-Aspartate	5.666	5.764	0.983	105.116	6.691	60.0
C00048	Glyoxylate	6.975	-0.874	0.015	127.634	-0.895	70.0
C06481	L-Seryl-tRNA(Sec)	-8.426	-9.987	0.0	0.0	0.0	50.0
C20440	alpha-D-Ribose_1,2-cyclic_phosphate_5-phosphate	4.248	6.508	0.653	110.014	6.166	60.0
C04236	(2S)-2-Isopropyl-3-oxosuccinate	-8.098	-8.718	0.0	0.0	0.0	50.0
C01101	L-Ribulose_5-phosphate	9.382	9.168	0.977	1242.443	10.246	90.0
C04454	5-Amino-6-(5'-phospho-D-ribitylamino)uracil	-7.15	-7.418	0.0	0.0	0.0	50.0
C01103	Orotidine_5'-phosphate	-6.59	5.866	0.605	154.659	-6.549	90.0
C01102	O-Phospho-L-homoserine	-5.17	8.253	0.118	341.073	-5.331	80.0
C02888	Sorbose_1-phosphate	-4.858	-8.651	0.0	0.0	0.0	50.0
C03033	beta-D-Glucuronoside	4.392	3.7	0.842	33.991	4.84	60.0
C00101	Tetrahydrofolate	-5.719	2.23	0.089	57.365	-2.353	70.0
C05122	Taurocholate	7.418	7.762	0.956	388.085	8.535	80.0
C03684	6-Pyruvoyltetrahydropterin	-3.0	-8.401	0.0	0.0	0.0	50.0
C03688	Apo-[acyl-carrier-protein]	8.155	2.585	0.317	291.036	6.528	60.0
C06007	(R)-2,3-Dihydroxy-3-methylpentanoate	-9.471	-8.552	0.0	0.0	0.0	50.0
C06006	(S)-2-Aceto-2-hydroxybutanoate	9.809	9.054	0.923	1428.55	10.365	90.0
C00227	Acetyl_phosphate	-6.781	3.081	0.077	118.435	-3.188	80.0
C04302	N-(5-Phospho-D-ribosyl)anthranilate	-4.087	-4.03	0.0	0.0	0.0	50.0
C05345	beta-D-Fructose_6-phosphate	10.671	6.678	0.626	1732.783	10.083	90.0
C04900	Luteolin_7-O-[beta-D-glucuronosyl-(1->2)-beta-D-glucuronide]-4'-O-beta-D-glucuronide	4.392	3.7	0.842	33.991	4.84	60.0
C00221	beta-D-Glucose	-8.89	7.62	0.415	671.133	-8.12	90.0
C01037	7,8-Diaminononanoate	-2.115	-7.897	0.0	0.0	0.0	50.0
C00817	D-Altronate	-5.85	-7.612	0.0	0.0	0.0	50.0
C03451	(R)-S-Lactoylglutathione	6.392	6.508	0.982	174.994	7.425	70.0
C00036	Oxaloacetate	10.089	5.972	0.592	1151.93	9.413	80.0
C05223	Dodecanoyl-[acyl-carrier_protein]	5.907	8.264	0.715	367.41	8.037	70.0
C05466	Glycochenodeoxycholate	7.418	7.762	0.956	388.085	8.535	80.0
C05465	Taurochenodeoxycholate	7.418	7.762	0.956	388.085	8.535	80.0
C15809	Iminoglycine	4.459	7.788	0.573	243.008	7.12	70.0
C05787	Bilirubin_beta-diglucuronide	4.392	3.7	0.842	33.991	4.84	60.0
C00035	GDP	1.7	-6.889	0.027	121.77	-1.739	70.0
C00253	Nicotinate	-7.583	-8.162	0.0	0.0	0.0	50.0
C00250	Pyridoxal	6.17	1.0	0.162	74.004	3.584	60.0
C00251	Chorismate	-6.188	-7.372	0.0	0.0	0.0	50.0
C00254	Prephenate	-3.883	-6.372	0.0	0.0	0.0	50.0
C00255	Riboflavin	6.248	-7.57	0.4	266.023	-6.733	90.0
C05336	Selenomethionyl-tRNA(Met)	-8.155	-9.109	0.0	0.0	0.0	50.0
C00258	D-Glycerate	4.256	-5.409	0.45	61.595	-4.792	80.0
C00259	L-Arabinose	-8.098	-7.741	0.0	0.0	0.0	50.0
C11376	SN38_glucuronide	4.392	3.7	0.842	33.991	4.84	60.0
C01081	Thiamin_monophosphate	-5.585	5.322	0.833	88.003	-6.196	90.0
C01083	alpha,alpha-Trehalose	-8.873	-1.0	0.0	0.0	0.0	50.0
C00559	Deoxyadenosine	4.723	9.396	0.503	700.127	8.459	80.0
C00558	D-Tagaturonate	-8.061	7.562	0.708	456.025	-8.334	90.0
C00493	Shikimate	4.355	3.544	0.814	32.128	4.708	60.0
C00886	L-Alanyl-tRNA	-8.551	-10.025	0.0	0.0	0.0	50.0
C00498	ADP-glucose	-11.558	8.323	0.106	3335.358	-8.469	90.0
C00882	Dephospho-CoA	-7.109	1.585	0.022	141.046	-1.616	70.0
C00881	Deoxycytidine	7.547	7.524	0.997	371.07	8.531	80.0
C00078	L-Tryptophan	5.624	7.31	0.769	207.999	7.322	70.0
C00079	L-Phenylalanine	3.469	6.981	0.497	137.399	6.093	60.0
C00073	L-Methionine	8.214	7.384	0.899	463.969	8.704	80.0
C00077	L-Ornithine	7.366	-6.61	0.592	262.644	-7.281	90.0
C00074	Phosphoenolpyruvate	-10.818	-10.671	0.0	0.0	0.0	50.0
C00075	UTP	9.406	9.82	0.958	1582.291	10.566	90.0
C00085	D-Fructose_6-phosphate	10.541	9.791	0.929	2375.8	11.108	90.0
C00082	L-Tyrosine	-2.919	-5.466	0.0	0.0	0.0	50.0
C00081	ITP	6.022	-7.977	0.258	316.935	-6.353	90.0
C04640	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine	-4.585	-6.833	0.0	0.0	0.0	50.0
C05762	3-Oxohexadecanoyl-[acp]	-2.0	9.041	0.008	530.759	-2.011	70.0
C00089	Sucrose	-7.443	-7.562	0.0	0.0	0.0	50.0
C04646	6-Thioinosine-5'-monophosphate	8.185	8.077	0.987	561.06	9.113	80.0
C00670	sn-Glycero-3-phosphocholine	8.281	7.0	0.845	439.049	8.536	80.0
C00671	(S)-3-Methyl-2-oxopentanoic_acid	7.446	8.111	0.918	450.843	8.693	80.0
C01921	Glycocholate	7.418	7.762	0.956	388.085	8.535	80.0
C00673	2-Deoxy-D-ribose_5-phosphate	-3.807	10.115	0.013	1122.963	-3.825	80.0
C01250	N-Acetyl-L-glutamate_5-semialdehyde	-3.7	-8.193	0.0	0.0	0.0	50.0
C06055	O-Phospho-4-hydroxy-L-threonine	-1.663	-7.815	0.0	0.0	0.0	50.0
C01885	1-Acylglycerol	-3.322	-2.322	0.0	0.0	0.0	50.0
C00106	Uracil	6.373	-7.541	0.445	269.12	-6.904	90.0
C00105	UMP	-4.71	-6.14	0.0	0.0	0.0	50.0
C00103	D-Glucose_1-phosphate	5.816	9.864	0.59	988.216	9.187	80.0
C00100	Propanoyl-CoA	-11.255	-9.295	0.0	0.0	0.0	50.0
C05838	cis-2-Hydroxycinnamate	-9.95	-10.551	0.0	0.0	0.0	50.0
C15556	L-3,4-Dihydroxybutan-2-one_4-phosphate	2.807	-8.205	0.024	302.086	-2.841	80.0
C00108	Anthranilate	4.746	-4.767	0.986	54.062	-5.736	80.0
C00109	2-Oxobutanoate	10.04	-6.205	0.07	1126.56	-6.303	90.0
C04702	UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)	-4.322	7.531	0.108	204.952	-4.47	80.0
C05764	Hexadecanoyl-[acp]	5.907	8.667	0.682	466.473	8.313	70.0
C05766	Uroporphyrinogen_I	3.907	7.577	0.516	205.944	6.731	60.0
C05761	Tetradecanoyl-[acp]	5.907	8.667	0.682	466.473	8.313	70.0
C05760	trans-Tetradec-2-enoyl-[acp]	6.15	7.317	0.841	230.467	7.598	70.0
C05763	trans-Hexadec-2-enoyl-[acp]	6.15	7.317	0.841	230.467	7.598	70.0
C03175	Shikimate_3-phosphate	-4.492	5.0	0.703	54.502	-5.26	80.0
C00361	dGDP	6.786	6.185	0.911	183.111	7.383	70.0
C05768	Coproporphyrinogen_I	-3.907	-7.577	0.0	0.0	0.0	50.0
C00006	NADP+	-6.672	-8.297	0.0	0.0	0.0	50.0
C02992	L-Threonyl-tRNA(Thr)	-8.714	-9.617	0.0	0.0	0.0	50.0
C00179	Agmatine	5.19	-9.512	0.05	766.63	-5.26	80.0
C03090	5-Phosphoribosylamine	-7.997	-6.926	0.0	0.0	0.0	50.0
C07086	Phenylacetic_acid	9.246	3.585	0.388	619.189	7.907	70.0
C01077	O-Acetyl-L-homoserine	7.243	8.553	0.847	527.068	8.802	80.0
C20082	Pseudaminic_acid	-4.644	-1.585	0.0	0.0	0.0	50.0
C01079	Protoporphyrinogen_IX	-8.574	-7.82	0.0	0.0	0.0	50.0
C11435	4-(Cytidine_5'-diphospho)-2-C-methyl-D-erythritol	-2.585	3.485	0.536	17.197	-3.204	80.0
C11436	2-Phospho-4-(cytidine_5'-diphospho)-2-C-methyl-D-erythritol	-2.322	-4.752	0.0	0.0	0.0	50.0
C00857	Deamino-NAD+	-6.56	4.773	0.29	121.694	-5.14	80.0
C11432	1-Phenanthrol	6.476	6.845	0.946	203.977	7.592	70.0
C11433	1-Methoxyphenanthrene	-6.476	-6.845	0.0	0.0	0.0	50.0
C01179	3-(4-Hydroxyphenyl)pyruvate	1.508	4.254	0.354	21.924	2.958	60.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	4.0	-7.781	0.073	235.945	-4.101	80.0
C04411	(2R,3S)-3-Isopropylmalate	2.293	-5.186	0.135	41.304	-2.475	80.0
C01172	beta-D-Glucose_6-phosphate	9.166	-4.585	0.042	598.436	-4.644	80.0
C01177	Inositol_1-phosphate	7.285	7.476	0.974	333.989	8.346	70.0
C00169	Carbamoyl_phosphate	-6.626	-8.773	0.0	0.0	0.0	50.0
C18796	(2R)-2-Hydroxy-2-methylbutanenitrile	-9.95	-10.551	0.0	0.0	0.0	50.0
C08334	Lotaustralin	9.95	10.551	0.943	2489.382	11.197	90.0
C03410	N-Glycoloyl-neuraminate	7.814	8.91	0.877	706.07	9.274	80.0
C03892	Phosphatidylglycerophosphate	-7.637	-4.459	0.0	0.0	0.0	50.0
C00681	1-Acyl-sn-glycerol_3-phosphate	4.459	8.273	0.539	331.323	7.48	70.0
C00680	meso-2,6-Diaminoheptanedioate	-1.312	4.545	0.106	25.827	-1.458	70.0
C02553	L-Seryl-tRNA(Ser)	-8.426	-9.989	0.0	0.0	0.0	50.0
C00688	dTDP-4-dehydro-6-deoxy-beta-L-mannose	6.903	4.565	0.661	143.347	6.567	60.0
C05378	beta-D-Fructose_1,6-bisphosphate	-9.348	10.035	0.621	1700.817	-10.045	90.0
C00448	trans,trans-Farnesyl_diphosphate	-2.7	-6.129	0.0	0.0	0.0	50.0
C20238	(2R)-Ethylmalonyl-CoA	-9.494	-10.397	0.0	0.0	0.0	50.0
C04349	(4S)-4,6-Dihydroxy-2,5-dioxohexanoate	-8.642	-10.043	0.0	0.0	0.0	50.0
C01267	3-(Imidazol-4-yl)-2-oxopropyl_phosphate	2.601	5.794	0.449	61.551	4.788	60.0
C00512	S-Benzoate_coenzyme_A	-4.7	-2.0	0.0	0.0	0.0	50.0
C00514	D-Mannonate	4.858	9.953	0.488	1020.178	8.96	80.0
C16220	3-Hydroxyoctadecanoyl-[acp]	-6.977	-10.617	0.0	0.0	0.0	50.0
C00921	Dihydropteroate	7.109	-5.931	0.442	199.057	-6.459	90.0
C04294	5-(2-Hydroxyethyl)-4-methylthiazole	4.585	-5.833	0.421	81.005	-5.092	80.0
C00458	dCTP	-8.959	-6.427	0.0	0.0	0.0	50.0
C04895	7,8-Dihydroneopterin_3'-triphosphate	-4.954	-5.157	0.0	0.0	0.0	50.0
C04896	5-(5-Phospho-D-ribosylaminoformimino)-1-(5-phosphoribosyl)-imidazole-4-carboxamide	7.683	6.229	0.811	280.51	7.829	70.0
C13638	1-(4'-Hydroxyphenyl)ethanol	4.858	8.651	0.562	430.986	7.919	70.0
C00455	Nicotinamide_D-ribonucleotide	-4.719	5.728	0.497	79.34	-5.301	80.0
C19725	UDP-2,3-diacetamido-2,3-dideoxy-alpha-D-glucuronate	3.459	-2.585	0.546	16.997	-3.213	80.0
C00333	D-Galacturonate	9.638	9.931	0.97	1772.937	10.749	90.0
C12739	5'-Deoxy-5-fluorouridine	-7.672	-8.516	0.0	0.0	0.0	50.0
C00337	(S)-Dihydroorotate	-5.209	3.7	0.351	49.984	-4.134	80.0
C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier_protein]	-6.977	-10.203	0.0	0.0	0.0	50.0
C04122	D-1-Aminopropan-2-ol_O-phosphate	4.459	-4.7	0.846	47.985	-5.344	80.0
C00631	2-Phospho-D-glycerate	2.926	-6.391	0.091	91.523	-3.051	80.0
C02528	Chenodeoxycholate	-7.418	-7.762	0.0	0.0	0.0	50.0
C04046	3-D-Glucosyl-1,2-diacylglycerol	1.0	4.322	0.231	22.001	2.348	60.0
C01594	Linamarin	9.95	10.551	0.943	2489.382	11.197	90.0
C00208	Maltose	-8.472	-9.655	0.0	0.0	0.0	50.0
C00204	2-Dehydro-3-deoxy-D-gluconate	8.024	9.289	0.864	885.852	9.58	90.0
C01212	UDP-N-acetylmuramoyl-L-alanine	3.781	7.726	0.489	225.465	6.786	60.0
C00203	UDP-N-acetyl-D-galactosamine	3.858	6.476	0.596	103.517	5.946	60.0
C00025	L-Glutamate	5.922	3.367	0.569	70.949	5.334	60.0
C00024	Acetyl-CoA	-8.417	10.672	0.209	1973.317	-8.691	90.0
C00148	L-Proline	-4.322	7.538	0.108	205.852	-4.469	80.0
C00026	2-Oxoglutarate	-4.412	5.085	0.627	55.23	-5.114	80.0
C00021	S-Adenosyl-L-homocysteine	5.597	-5.828	0.852	105.209	-6.486	90.0
C00020	AMP	-6.484	-7.908	0.0	0.0	0.0	50.0
C00022	Pyruvate	8.769	-7.12	0.319	575.349	-7.519	90.0
C00143	5,10-Methylenetetrahydrofolate	-7.131	-8.635	0.0	0.0	0.0	50.0
C00140	N-Acetyl-D-glucosamine	-6.87	6.82	0.966	229.956	-7.795	90.0
C00141	3-Methyl-2-oxobutanoic_acid	-7.449	-6.226	0.0	0.0	0.0	50.0
C00029	UDP-glucose	-7.345	8.82	0.36	614.523	-7.788	90.0
