compound_code	compound_name	alistipes_mock_score	bacteroides_mock_score	ratio	magnitude	interaction_score	percentile
C02047	L-Leucyl-tRNA	-6.524	-5.426	0.467	135.02	-5.979	90.0
C06567	Penicilloic_acid	-5.931	-4.0	0.262	77.011	-4.336	70.0
C03082	4-Phospho-L-aspartate	1.379	0.531	0.385	4.046	0.64	60.0
C04377	5,10-Methylenetetrahydromethanopterin	-7.15	-5.248	0.268	180.027	-5.59	90.0
C04376	5'-Phosphoribosyl-N-formylglycinamide	-3.459	5.508	0.242	56.503	-3.771	70.0
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	4.441	1.28	0.288	24.149	2.799	60.0
C00861	L-Rhamnulose	-6.883	6.248	0.644	194.033	-6.965	90.0
C02962	D-Allose_6-phosphate	6.508	6.807	0.956	202.985	7.6	90.0
C00864	Pantothenate	-6.524	-2.585	0.065	98.028	-2.676	50.0
C01380	Ethylene_glycol	7.728	3.585	0.464	224.012	6.699	80.0
C01419	Cys-Gly	8.618	5.931	0.688	453.906	8.287	90.0
C04932	Lipid_A_disaccharide	5.285	1.585	0.3	41.989	3.655	60.0
C08325	Amygdalin	7.435	7.14	0.96	314.088	8.237	90.0
C03402	L-Asparaginyl-tRNA(Asn)	-7.0	-6.845	0.898	242.961	-7.77	90.0
C07648	Thioguanine	7.077	5.044	0.713	168.008	6.904	80.0
C07649	5-FU	6.845	2.322	0.339	119.961	5.347	70.0
C00692	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	-4.392	-3.0	0.381	28.995	-3.466	60.0
C00695	Cholic_acid	-6.17	-1.0	0.028	74.004	-1.04	60.0
C18096	D-Allulose_6-phosphate	-6.508	-6.807	0.813	202.985	-7.366	90.0
C00269	CDP-diacylglycerol	-1.773	-3.892	0.23	18.264	-2.072	50.0
C16219	3-Oxostearoyl-[acp]	6.34	-4.585	0.296	105.009	-4.959	80.0
C00507	L-Rhamnose	7.966	4.954	0.622	281.033	7.449	90.0
C00262	Hypoxanthine	3.35	-3.196	0.899	19.361	-4.121	70.0
C00508	L-Ribulose	-7.112	-5.248	0.275	176.335	-5.598	90.0
C16216	3-Oxostearoyl-CoA	8.358	5.781	0.692	383.088	8.05	90.0
C00267	alpha-D-Glucose	6.297	-7.723	0.372	289.908	-6.753	90.0
C00266	Glycolaldehyde	-7.478	-5.066	0.188	211.778	-5.314	80.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	-7.267	-3.322	0.065	164.023	-3.413	60.0
C00460	dUTP	7.484	-3.7	0.073	192.019	-3.801	70.0
C00286	dGTP	5.554	1.923	0.346	50.773	4.136	60.0
C00280	Androstenedione	6.15	2.585	0.42	77.013	5.017	70.0
C00407	L-Isoleucine	-3.485	2.263	0.429	15.997	-2.778	50.0
C01962	Thiocysteine	-6.129	-3.585	0.171	81.987	-3.813	70.0
C05427	Phytyl_diphosphate	7.044	1.0	0.142	133.964	4.249	60.0
C04691	2-Dehydro-3-deoxy-D-arabino-heptonate_7-phosphate	5.807	3.7	0.637	68.982	5.458	70.0
C18026	(2S)-Ethylmalonyl-CoA	7.96	5.644	0.709	299.005	7.728	90.0
C01209	Malonyl-[acyl-carrier_protein]	6.902	6.312	0.915	199.045	7.508	90.0
C00217	D-Glutamate	3.907	-1.663	0.211	18.168	-1.939	50.0
C00214	Thymidine	6.615	-1.585	0.031	101.02	-1.628	50.0
C00212	Adenosine	7.304	3.087	0.423	166.521	6.137	80.0
C13309	2-Phytyl-1,4-naphthoquinone	-5.892	3.406	0.179	69.984	-3.643	60.0
C05840	Iminoaspartate	5.992	2.503	0.418	69.315	4.856	70.0
C00037	Glycine	-6.054	4.735	0.401	93.071	-5.221	80.0
C00035	GDP	3.624	3.162	0.873	21.28	4.215	60.0
C00031	D-Glucose	7.055	5.44	0.771	176.385	7.088	90.0
C00135	L-Histidine	6.508	-1.459	0.03	93.762	-1.502	50.0
C00134	Putrescine	-3.459	3.585	0.916	22.997	-4.397	70.0
C00133	D-Alanine	3.322	-3.807	0.714	23.997	-4.1	70.0
C00131	dATP	2.115	2.07	0.979	8.531	3.062	60.0
C00130	IMP	-0.059	-2.724	0.158	7.649	-0.27	60.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	3.536	3.954	0.894	27.097	4.599	70.0
C00042	Succinate	6.989	5.865	0.839	185.311	7.281	90.0
C00041	L-Alanine	-4.97	3.773	0.436	45.012	-4.295	70.0
C00040	Acyl-CoA	7.136	2.0	0.28	144.653	5.341	70.0
C00047	L-Lysine	6.931	4.044	0.583	138.518	6.337	80.0
C00046	RNA	-6.306	-7.208	0.535	226.973	-6.924	90.0
C00044	GTP	-6.623	-6.398	0.856	182.896	-7.29	90.0
C00049	L-Aspartate	-3.779	1.818	0.257	17.253	-2.148	50.0
C00048	Glyoxylate	-1.322	2.115	0.577	6.832	-1.979	50.0
C06481	L-Seryl-tRNA(Sec)	-6.768	-4.585	0.22	132.987	-4.872	80.0
C20440	alpha-D-Ribose_1,2-cyclic_phosphate_5-phosphate	6.409	5.755	0.898	138.981	6.963	80.0
C01101	L-Ribulose_5-phosphate	5.661	6.807	0.832	162.57	7.079	90.0
C01103	Orotidine_5'-phosphate	-3.7	-3.7	1.0	25.992	-4.7	70.0
C05122	Taurocholate	6.17	1.0	0.162	74.004	3.584	60.0
C03681	5alpha-Pregnane-3,20-dione	-6.15	-2.585	0.084	77.013	-2.702	50.0
C03684	6-Pyruvoyltetrahydropterin	-6.476	-3.0	0.09	97.016	-3.124	50.0
C00857	Deamino-NAD+	8.022	3.544	0.442	271.598	6.907	80.0
C05345	beta-D-Fructose_6-phosphate	5.811	5.433	0.935	99.343	6.537	80.0
C00424	(S)-Lactaldehyde	-7.728	-2.7	0.031	218.51	-2.744	50.0
C00817	D-Altronate	-6.705	-4.03	0.157	120.665	-4.24	70.0
C00036	Oxaloacetate	-4.434	5.9	0.362	81.33	-4.88	80.0
C05223	Dodecanoyl-[acyl-carrier_protein]	6.752	5.448	0.807	151.437	6.933	80.0
C05466	Glycochenodeoxycholate	6.17	1.0	0.162	74.004	3.584	60.0
C05465	Taurochenodeoxycholate	6.17	1.0	0.162	74.004	3.584	60.0
C11907	4,6-Dideoxy-4-oxo-dTDP-D-glucose	-6.807	-2.322	0.045	116.973	-2.385	50.0
C03917	Dihydrotestosterone	-6.15	-2.585	0.084	77.013	-2.702	50.0
C00253	Nicotinate	-7.304	-2.0	0.025	162.024	-2.036	50.0
C00251	Chorismate	3.0	-3.635	0.644	20.424	-3.717	60.0
C00255	Riboflavin	-4.807	-3.322	0.357	37.994	-3.763	60.0
C05336	Selenomethionyl-tRNA(Met)	-6.741	-5.322	0.374	146.967	-5.78	90.0
C05335	L-Selenomethionine	5.322	4.459	0.838	61.995	5.699	70.0
C00395	Penicillin	5.931	4.0	0.674	77.011	5.699	70.0
C01081	Thiamin_monophosphate	7.349	2.807	0.382	170.029	6.021	80.0
C00491	L-Cystine	6.129	3.585	0.585	81.987	5.584	70.0
C00886	L-Alanyl-tRNA	-6.7	-5.358	0.394	144.981	-5.838	90.0
C00882	Dephospho-CoA	-2.807	-2.322	0.714	11.999	-3.1	50.0
C00881	Deoxycytidine	6.954	2.807	0.404	130.981	5.724	70.0
C00078	L-Tryptophan	6.409	-3.298	0.116	94.812	-3.456	60.0
C00079	L-Phenylalanine	-1.138	-1.068	0.953	4.297	-2.033	50.0
C00073	L-Methionine	5.298	3.079	0.581	47.792	4.796	70.0
C00074	Phosphoenolpyruvate	-6.979	-6.07	0.533	193.332	-6.686	90.0
C00075	UTP	5.652	7.252	0.779	202.713	7.304	90.0
C00085	D-Fructose_6-phosphate	4.926	3.228	0.655	39.77	4.704	70.0
C00082	L-Tyrosine	1.248	-2.248	0.5	7.125	-1.833	50.0
C00081	ITP	7.484	-3.322	0.056	189.023	-3.4	60.0
C04640	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine	4.585	-4.858	0.828	53.001	-5.455	80.0
C03175	Shikimate_3-phosphate	-2.7	2.0	0.616	10.498	-2.692	50.0
C02218	Dehydroalanine	-7.562	-2.807	0.037	195.967	-2.859	50.0
C01921	Glycocholate	6.17	1.0	0.162	74.004	3.584	60.0
C00673	2-Deoxy-D-ribose_5-phosphate	6.858	3.807	0.555	129.998	6.173	80.0
C00674	5alpha-Androstane-3,17-dione	-6.15	-2.585	0.084	77.013	-2.702	50.0
C00106	Uracil	-2.202	2.379	0.885	9.803	-3.116	50.0
C00105	UMP	5.356	-1.787	0.084	44.407	-1.904	50.0
C00103	D-Glucose_1-phosphate	5.218	3.935	0.754	52.515	5.308	70.0
C00101	Tetrahydrofolate	4.512	-1.026	0.089	24.853	-1.149	60.0
C15556	L-3,4-Dihydroxybutan-2-one_4-phosphate	6.066	2.807	0.463	73.994	5.098	70.0
C04702	UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)	5.7	2.807	0.492	58.982	4.86	70.0
C05764	Hexadecanoyl-[acp]	7.229	5.768	0.798	204.512	7.35	90.0
C05761	Tetradecanoyl-[acp]	7.229	5.768	0.798	204.512	7.35	90.0
C05760	trans-Tetradec-2-enoyl-[acp]	-5.7	-3.0	0.154	59.984	-3.207	50.0
C05763	trans-Hexadec-2-enoyl-[acp]	-5.7	-3.0	0.154	59.984	-3.207	50.0
C05762	3-Oxohexadecanoyl-[acp]	5.931	-4.373	0.34	81.732	-4.795	80.0
C00361	dGDP	-4.481	-2.397	0.236	27.598	-2.703	50.0
C02992	L-Threonyl-tRNA(Thr)	-7.721	-6.066	0.318	277.981	-6.464	90.0
C00179	Agmatine	5.781	-4.322	0.364	74.987	-4.77	80.0
C03090	5-Phosphoribosylamine	5.385	1.138	0.211	43.988	3.217	60.0
C02972	Dihydrolipoylprotein	-6.15	7.375	0.428	237.008	-6.664	90.0
C01079	Protoporphyrinogen_IX	-6.109	-2.0	0.058	73.023	-2.081	50.0
C11435	4-(Cytidine_5'-diphospho)-2-C-methyl-D-erythritol	-3.585	-1.222	0.194	14.333	-1.478	50.0
C11436	2-Phospho-4-(cytidine_5'-diphospho)-2-C-methyl-D-erythritol	3.459	0.415	0.12	12.33	0.565	60.0
C11437	1-Deoxy-D-xylulose_5-phosphate	2.415	-1.553	0.55	8.267	-2.185	50.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	-6.15	1.0	0.028	73.012	-1.04	60.0
C04824	Lipid_X	-5.672	1.585	0.059	53.985	-1.667	50.0
C01172	beta-D-Glucose_6-phosphate	-3.322	-4.928	0.329	40.443	-3.732	60.0
C00169	Carbamoyl_phosphate	4.147	-1.841	0.202	21.299	-2.107	50.0
C18796	(2R)-2-Hydroxy-2-methylbutanenitrile	-7.435	-7.14	0.815	314.088	-8.0	90.0
C08334	Lotaustralin	7.435	7.14	0.96	314.088	8.237	90.0
C02412	Glycyl-tRNA(Gly)	-6.714	-8.895	0.221	581.042	-7.001	90.0
C00680	meso-2,6-Diaminoheptanedioate	-3.322	-0.237	0.118	11.179	-0.398	60.0
C02553	L-Seryl-tRNA(Ser)	-6.768	-4.585	0.22	132.987	-4.872	80.0
C05378	beta-D-Fructose_1,6-bisphosphate	-6.164	5.304	0.551	111.211	-5.937	90.0
C00448	trans,trans-Farnesyl_diphosphate	4.285	-3.406	0.544	30.095	-4.032	70.0
C20238	(2R)-Ethylmalonyl-CoA	-7.96	-5.644	0.201	299.005	-5.908	90.0
C20239	6-Carboxy-5,6,7,8-tetrahydropterin	-6.476	-3.0	0.09	97.016	-3.124	50.0
C00514	D-Mannonate	7.401	2.322	0.314	174.014	5.771	70.0
C16220	3-Hydroxyoctadecanoyl-[acp]	-8.358	-5.781	0.168	383.088	-6.005	90.0
C16221	(2E)-Octadecenoyl-[acp]	6.629	4.615	0.696	123.48	6.426	80.0
C00458	dCTP	5.668	3.35	0.591	61.04	5.173	70.0
C00459	dTTP	6.964	-3.051	0.066	133.133	-3.144	50.0
C15973	Enzyme_N6-(dihydrolipoyl)lysine	6.907	7.484	0.923	299.032	8.108	90.0
C15972	Enzyme_N6-(lipoyl)lysine	-6.907	-7.484	0.67	299.032	-7.647	90.0
C00333	D-Galacturonate	7.687	5.0	0.65	238.071	7.275	90.0
C00337	(S)-Dihydroorotate	-6.57	-3.907	0.158	110.011	-4.118	70.0
C04121	CMP-3-deoxy-D-manno-octulosonate	3.787	4.278	0.885	33.204	4.877	70.0
C00631	2-Phospho-D-glycerate	-2.621	0.128	0.178	7.245	-0.364	60.0
C02528	Chenodeoxycholate	-6.17	-1.0	0.028	74.004	-1.04	60.0
C01594	Linamarin	7.435	7.14	0.96	314.088	8.237	90.0
C00208	Maltose	6.109	-4.755	0.391	96.025	-5.231	80.0
C00204	2-Dehydro-3-deoxy-D-gluconate	5.919	4.248	0.718	79.507	5.834	80.0
C01213	(R)-Methylmalonyl-CoA	7.057	5.484	0.777	177.914	7.111	90.0
C01212	UDP-N-acetylmuramoyl-L-alanine	-5.119	0.807	0.05	36.501	-0.878	60.0
C00025	L-Glutamate	5.618	-2.32	0.102	54.105	-2.46	50.0
C00148	L-Proline	7.18	1.152	0.16	147.231	4.562	60.0
C00026	2-Oxoglutarate	-6.017	3.322	0.154	74.759	-3.529	60.0
C00020	AMP	1.585	-3.459	0.273	13.997	-1.933	50.0
C00022	Pyruvate	6.239	-3.676	0.169	88.313	-3.902	70.0
C00143	5,10-Methylenetetrahydrofolate	-5.215	-1.008	0.054	39.154	-1.084	60.0
C00141	3-Methyl-2-oxobutanoic_acid	-4.392	-3.491	0.536	32.239	-4.11	70.0
C00029	UDP-glucose	4.17	-5.351	0.441	58.815	-4.697	70.0
C00147	Adenine	-2.755	1.644	0.463	9.876	-2.193	50.0
C00144	GMP	-6.229	-4.087	0.227	92.004	-4.382	70.0
C05729	R-S-Cysteinylglycine	8.618	5.931	0.688	453.906	8.287	90.0
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	-3.382	-3.259	0.918	19.998	-4.199	70.0
C03232	3-Phosphonooxypyruvate	3.766	4.293	0.877	33.207	4.864	70.0
C02737	Phosphatidylserine	2.624	1.939	0.739	9.999	2.885	60.0
C00099	beta-Alanine	5.615	-1.0	0.041	51.01	-1.058	60.0
C05726	S-Substituted_L-cysteine	-8.618	-5.931	0.155	453.906	-6.139	90.0
C00700	XTP	7.484	4.248	0.568	198.024	6.813	80.0
C00705	dCDP	-2.939	-3.426	0.714	18.417	-3.716	60.0
C06250	Holo-[carboxylase]	-6.267	7.004	0.6	205.367	-6.945	90.0
C02637	3-Dehydroshikimate	-4.985	-3.059	0.263	40.003	-3.396	60.0
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	4.907	3.0	0.611	38.002	4.538	60.0
C01134	Pantetheine_4'-phosphate	5.415	-1.874	0.086	46.331	-1.993	50.0
C01131	L-Rhamnulose_1-phosphate	5.833	-2.0	0.07	61.004	-2.098	50.0
C03511	L-Phenylalanyl-tRNA(Phe)	-6.615	-4.755	0.275	125.022	-5.106	80.0
C03512	L-Tryptophanyl-tRNA(Trp)	-6.409	-3.322	0.118	94.977	-3.483	60.0
C03125	L-Cysteinyl-tRNA(Cys)	-6.845	-3.585	0.104	126.961	-3.728	60.0
C03127	L-Isoleucyl-tRNA(Ile)	-6.57	-5.492	0.474	140.014	-6.051	90.0
C20373	3-Hydroxyglutaryl-[acp]_methyl_ester	-8.358	-5.781	0.168	383.088	-6.005	90.0
C20372	3-Ketoglutaryl-[acp]_methyl_ester	6.34	-4.585	0.296	105.009	-4.959	80.0
C20377	3-Hydroxypimeloyl-[acp]_methyl_ester	-8.358	-5.781	0.168	383.088	-6.005	90.0
C20376	3-Ketopimeloyl-[acp]_methyl_ester	6.34	-4.585	0.296	105.009	-4.959	80.0
C20375	Glutaryl-[acp]_methyl_ester	7.229	5.17	0.715	186.021	7.056	80.0
C20374	Enoylglutaryl-[acp]_methyl_ester	6.629	5.426	0.819	141.968	6.861	80.0
C20378	Enoylpimeloyl-[acp]_methyl_ester	6.629	5.426	0.819	141.968	6.861	80.0
C00966	2-Dehydropantoate	-6.728	0.678	0.015	107.606	-0.7	60.0
C04919	2,3,2'3'-Tetrakis(3-hydroxytetradecanoyl)-D-glucosaminyl-1,6-beta-D-glucosamine_1,4'-bisphosphate	-2.0	4.524	0.174	27.007	-2.231	50.0
C00415	Dihydrofolate	-0.637	0.737	0.933	3.222	-1.588	50.0
C00416	Phosphatidate	4.19	3.858	0.921	32.752	4.914	70.0
C00410	Progesterone	6.15	2.585	0.42	77.013	5.017	70.0
C01005	O-Phospho-L-serine	-6.582	-5.087	0.355	129.792	-5.525	80.0
C04851	MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho-undecaprenol	-4.954	-2.322	0.161	35.996	-2.538	50.0
C01798	D-Glucoside	7.435	7.14	0.96	314.088	8.237	90.0
C00243	Lactose	6.248	10.522	0.594	1546.411	9.843	90.0
C00242	Guanine	-4.585	2.243	0.197	28.734	-2.503	50.0
C00245	Taurine	-6.17	1.585	0.042	75.004	-1.644	50.0
C00249	Hexadecanoic_acid	8.651	5.129	0.593	436.979	8.017	90.0
C00568	4-Aminobenzoate	6.358	3.17	0.499	91.026	5.504	70.0
C04732	5-Amino-6-(1-D-ribitylamino)uracil	4.807	3.585	0.746	39.993	4.899	70.0
C01097	D-Tagatose_6-phosphate	8.022	4.807	0.599	287.927	7.431	90.0
C00561	Mandelonitrile	-7.435	-7.14	0.815	314.088	-8.0	90.0
C01094	D-Fructose_1-phosphate	7.366	6.672	0.906	266.933	7.918	90.0
C00068	Thiamin_diphosphate	-7.349	2.528	0.035	168.798	-2.578	50.0
C00342	Thioredoxin	-4.916	2.138	0.146	34.592	-2.334	50.0
C00343	Thioredoxin_disulfide	4.672	-2.907	0.294	32.993	-3.279	60.0
C00344	Phosphatidylglycerol	6.426	2.585	0.402	91.984	5.21	70.0
C05684	Selenite	6.943	3.7	0.533	136.037	6.18	80.0
C00063	CTP	6.823	7.542	0.905	299.588	8.082	90.0
C05689	Se-Methyl-L-selenocysteine	6.741	2.585	0.383	112.966	5.437	70.0
C00065	L-Serine	5.185	-2.452	0.15	41.85	-2.654	50.0
C00064	L-Glutamine	-5.595	2.563	0.122	54.244	-2.729	50.0
C11811	1-Hydroxy-2-methyl-2-butenyl_4-diphosphate	-6.17	-2.807	0.097	79.002	-2.941	50.0
C16633	5-Fluorouridine	7.748	3.907	0.504	229.972	6.858	80.0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	3.7	2.338	0.632	18.052	3.512	60.0
C16635	5'-Deoxy-5-fluorocytidine	6.954	3.322	0.478	133.984	6.0	80.0
C16634	5-Fluorouridine_monophosphate	-8.362	-4.248	0.058	348.014	-4.329	70.0
C19673	Malonyl-[acp]_methyl_ester	7.954	6.19	0.778	320.975	7.965	90.0
C04079	N-((R)-Pantothenoyl)-L-cysteine	5.615	3.0	0.534	57.01	4.929	70.0
C00668	alpha-D-Glucose_6-phosphate	-3.912	-5.066	0.449	48.551	-4.447	70.0
C01269	5-O-(1-Carboxyvinyl)-3-phosphoshikimate	-2.322	2.322	1.0	10.0	-3.322	60.0
C02163	L-Arginyl-tRNA(Arg)	-6.109	-2.807	0.101	76.021	-2.946	50.0
C00117	D-Ribose_5-phosphate	-6.12	-4.759	0.389	96.628	-5.233	80.0
C00111	Glycerone_phosphate	-3.388	-3.899	0.702	25.387	-4.155	70.0
C02380	6-Mercaptopurine	7.077	5.044	0.713	168.008	6.904	80.0
C00112	CDP	-4.346	-2.824	0.348	27.418	-3.255	60.0
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	2.531	-2.678	0.903	12.179	-3.459	60.0
C00118	D-Glyceraldehyde_3-phosphate	4.754	5.338	0.891	67.431	5.908	80.0
C03492	D-4'-Phosphopantothenate	5.17	1.0	0.193	38.002	2.878	60.0
C01346	dUDP	-3.459	-2.17	0.409	15.497	-2.665	50.0
C05750	3-Oxooctanoyl-[acp]	5.931	-4.373	0.34	81.732	-4.795	80.0
C05751	trans-Oct-2-enoyl-[acp]	-5.7	-3.0	0.154	59.984	-3.207	50.0
C05752	Octanoyl-[acp]	6.498	5.362	0.825	131.511	6.762	80.0
C05753	3-Oxodecanoyl-[acp]	5.931	-4.373	0.34	81.732	-4.795	80.0
C05754	trans-Dec-2-enoyl-[acp]	-5.7	-3.0	0.154	59.984	-3.207	50.0
C05755	Decanoyl-[acp]	7.229	5.768	0.798	204.512	7.35	90.0
C05756	3-Oxododecanoyl-[acp]	6.34	-4.585	0.296	105.009	-4.959	80.0
C05757	(R)-3-Hydroxydodecanoyl-[acp]	-7.484	-4.615	0.137	203.528	-4.8	80.0
C05758	trans-Dodec-2-enoyl-[acp]	-5.7	-3.0	0.154	59.984	-3.207	50.0
C05759	3-Oxotetradecanoyl-[acp]	6.34	-4.585	0.296	105.009	-4.959	80.0
C00235	Dimethylallyl_diphosphate	-3.138	2.202	0.523	13.404	-2.809	50.0
C05813	2-Octaprenyl-6-methoxy-1,4-benzoquinone	5.883	3.807	0.647	73.011	5.562	70.0
C00188	L-Threonine	7.721	3.437	0.445	221.816	6.626	80.0
C05814	2-Octaprenyl-3-methyl-6-methoxy-1,4-benzoquinone	-5.883	-3.807	0.237	73.011	-4.114	70.0
C02702	L-Prolyl-tRNA(Pro)	-7.18	-4.0	0.11	161.009	-4.151	70.0
C05818	2-Demethylmenaquinone	-6.209	3.7	0.176	86.973	-3.933	70.0
C00183	L-Valine	-3.437	-1.222	0.215	13.163	-1.503	50.0
C03794	N6-(1,2-Dicarboxyethyl)-AMP	-2.115	-1.415	0.616	6.998	-2.107	50.0
