compound_code	compound_name	parabacteroides_mock_score	lactobacillus_mock_score	ratio	magnitude	interaction_score	percentile
C00258	D-Glycerate	-5.409	2.17	0.106	46.989	-2.315	70.0
C00259	L-Arabinose	-7.741	4.392	0.098	234.926	-4.527	80.0
C01083	alpha,alpha-Trehalose	-1.0	6.508	0.022	93.013	-1.031	70.0
C00559	Deoxyadenosine	9.396	-4.492	0.033	696.22	-4.539	90.0
C00491	L-Cystine	9.486	3.755	0.396	730.586	8.176	80.0
C00886	L-Alanyl-tRNA	-10.025	-3.907	0.0	0.0	0.0	50.0
C00498	ADP-glucose	8.323	-5.219	0.116	357.483	-5.378	90.0
C00882	Dephospho-CoA	1.585	-5.044	0.091	35.991	-1.711	70.0
C00078	L-Tryptophan	7.31	3.459	0.473	169.679	6.327	70.0
C00079	L-Phenylalanine	6.981	2.883	0.413	133.702	5.787	70.0
C00073	L-Methionine	7.384	-2.087	0.025	171.283	-2.123	70.0
C00077	L-Ornithine	-6.61	1.0	0.02	99.681	-1.029	70.0
C00074	Phosphoenolpyruvate	-10.671	-8.696	0.0	0.0	0.0	50.0
C00075	UTP	9.82	3.126	0.318	912.618	8.182	80.0
C00086	Urea	5.891	4.79	0.813	87.008	6.145	70.0
C00085	D-Fructose_6-phosphate	9.791	-3.471	0.013	896.989	-3.489	80.0
C00082	L-Tyrosine	-5.466	1.766	0.077	47.602	-1.873	70.0
C00081	ITP	-7.977	5.0	0.127	283.951	-5.172	90.0
C04640	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine	-6.833	-2.322	0.0	0.0	0.0	50.0
C00089	Sucrose	-7.562	-6.683	0.0	0.0	0.0	50.0
C04646	6-Thioinosine-5'-monophosphate	8.077	2.585	0.32	276.035	6.465	70.0
C00670	sn-Glycero-3-phosphocholine	7.0	4.0	0.571	144.0	6.363	70.0
C00671	(S)-3-Methyl-2-oxopentanoic_acid	8.111	4.314	0.532	296.364	7.3	80.0
C01921	Glycocholate	7.762	6.907	0.89	337.077	8.229	80.0
C00673	2-Deoxy-D-ribose_5-phosphate	10.115	4.426	0.438	1130.463	8.95	90.0
C00106	Uracil	-7.541	-4.878	0.0	0.0	0.0	50.0
C00104	IDP	9.961	5.426	0.545	1039.681	9.146	90.0
C00105	UMP	-6.14	0.593	0.021	72.03	-0.624	70.0
C00103	D-Glucose_1-phosphate	9.864	6.54	0.663	1024.934	9.408	90.0
C00100	Propanoyl-CoA	-9.295	-10.569	0.0	0.0	0.0	50.0
C00101	Tetrahydrofolate	2.23	1.485	0.666	7.491	2.318	60.0
C00270	N-Acetylneuraminate	8.326	4.907	0.589	350.907	7.692	80.0
C00109	2-Oxobutanoate	-6.205	8.294	0.235	387.637	-6.51	90.0
C05764	Hexadecanoyl-[acp]	8.667	-2.322	0.012	411.469	-2.34	70.0
C05761	Tetradecanoyl-[acp]	8.667	-2.322	0.012	411.469	-2.34	70.0
C05760	trans-Tetradec-2-enoyl-[acp]	7.317	-3.459	0.069	170.451	-3.555	80.0
C05763	trans-Hexadec-2-enoyl-[acp]	7.317	-3.459	0.069	170.451	-3.555	80.0
C05762	3-Oxohexadecanoyl-[acp]	9.041	4.19	0.463	545.011	7.981	80.0
C00361	dGDP	6.185	7.793	0.794	294.539	7.869	80.0
C02992	L-Threonyl-tRNA(Thr)	-9.617	-3.907	0.0	0.0	0.0	50.0
C03090	5-Phosphoribosylamine	-6.926	2.678	0.053	128.0	-2.752	70.0
C07086	Phenylacetic_acid	3.585	-4.807	0.429	39.993	-4.1	80.0
C02972	Dihydrolipoylprotein	-7.539	7.6	0.959	379.991	-8.509	90.0
C11435	4-(Cytidine_5'-diphospho)-2-C-methyl-D-erythritol	3.485	2.0	0.574	15.197	3.125	60.0
C11436	2-Phospho-4-(cytidine_5'-diphospho)-2-C-methyl-D-erythritol	-4.752	-2.0	0.0	0.0	0.0	50.0
C00857	Deamino-NAD+	4.773	-1.0	0.073	29.341	-1.102	70.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	-7.781	3.17	0.041	228.946	-3.228	80.0
C01172	beta-D-Glucose_6-phosphate	-4.585	-4.737	0.0	0.0	0.0	50.0
C01177	Inositol_1-phosphate	7.476	4.17	0.558	196.034	6.773	70.0
C03892	Phosphatidylglycerophosphate	-4.459	-3.585	0.0	0.0	0.0	50.0
C02412	Glycyl-tRNA(Gly)	-8.743	-3.17	0.0	0.0	0.0	50.0
C00680	meso-2,6-Diaminoheptanedioate	4.545	1.485	0.327	26.143	3.095	60.0
C02553	L-Seryl-tRNA(Ser)	-9.989	-6.615	0.0	0.0	0.0	50.0
C00688	dTDP-4-dehydro-6-deoxy-beta-L-mannose	4.565	-1.222	0.099	26.003	-1.358	70.0
C05378	beta-D-Fructose_1,6-bisphosphate	10.035	10.843	0.925	2885.973	11.383	90.0
C00831	Pantetheine	8.725	4.087	0.468	440.137	7.688	80.0
C02554	L-Valyl-tRNA(Val)	-9.397	-4.524	0.0	0.0	0.0	50.0
C00512	S-Benzoate_coenzyme_A	-2.0	-2.585	0.0	0.0	0.0	50.0
C16220	3-Hydroxyoctadecanoyl-[acp]	-10.617	-3.322	0.0	0.0	0.0	50.0
C00921	Dihydropteroate	-5.931	3.17	0.148	70.012	-3.369	80.0
C00458	dCTP	-6.427	-6.758	0.0	0.0	0.0	50.0
C00459	dTTP	-8.832	-4.392	0.0	0.0	0.0	50.0
C00455	Nicotinamide_D-ribonucleotide	5.728	3.322	0.58	63.003	5.191	70.0
C15973	Enzyme_N6-(dihydrolipoyl)lysine	10.05	7.577	0.754	1251.055	9.881	90.0
C15972	Enzyme_N6-(lipoyl)lysine	-10.05	-5.066	0.0	0.0	0.0	50.0
C00330	Deoxyguanosine	8.17	5.585	0.684	336.016	7.844	80.0
C00334	4-Aminobutanoate	-6.392	2.954	0.092	91.73	-3.081	80.0
C00337	(S)-Dihydroorotate	3.7	-1.874	0.282	16.662	-2.232	70.0
C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier_protein]	-10.203	-3.322	0.0	0.0	0.0	50.0
C00631	2-Phospho-D-glycerate	-6.391	-5.885	0.0	0.0	0.0	50.0
C02528	Chenodeoxycholate	-7.762	-6.907	0.0	0.0	0.0	50.0
C04046	3-D-Glucosyl-1,2-diacylglycerol	4.322	4.196	0.971	38.329	5.218	70.0
C00208	Maltose	-9.655	6.022	0.081	871.187	-6.134	90.0
C01212	UDP-N-acetylmuramoyl-L-alanine	7.726	3.524	0.456	223.221	6.67	70.0
C00025	L-Glutamate	3.367	3.851	0.874	24.747	4.435	60.0
C00024	Acetyl-CoA	10.672	-8.24	0.185	1933.853	-8.485	90.0
C00148	L-Proline	7.538	2.536	0.336	191.65	6.011	70.0
C00026	2-Oxoglutarate	5.085	3.981	0.783	49.733	5.283	70.0
C00021	S-Adenosyl-L-homocysteine	-5.828	4.19	0.321	75.059	-4.592	90.0
C00020	AMP	-7.908	3.771	0.057	253.836	-3.851	80.0
C00022	Pyruvate	-7.12	-5.362	0.0	0.0	0.0	50.0
C00143	5,10-Methylenetetrahydrofolate	-8.635	-1.356	0.0	0.0	0.0	50.0
C00141	3-Methyl-2-oxobutanoic_acid	-6.226	2.3	0.066	79.778	-2.392	70.0
C00029	UDP-glucose	8.82	-6.268	0.171	529.009	-6.495	90.0
C00147	Adenine	-6.608	2.121	0.045	101.895	-2.184	70.0
C00144	GMP	-8.565	3.241	0.025	388.178	-3.277	80.0
C05729	R-S-Cysteinylglycine	10.589	2.322	0.219	1545.305	8.405	90.0
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	-5.931	-5.141	0.0	0.0	0.0	50.0
C04633	(3R)-3-Hydroxypalmitoyl-[acyl-carrier_protein]	-9.981	-2.954	0.0	0.0	0.0	50.0
C05726	S-Substituted_L-cysteine	-10.589	-2.322	0.0	0.0	0.0	50.0
C00700	XTP	9.543	6.209	0.651	819.96	9.059	90.0
C00705	dCDP	5.392	3.369	0.625	52.322	5.031	70.0
C06250	Holo-[carboxylase]	-8.214	-3.868	0.0	0.0	0.0	50.0
C00314	Pyridoxine	1.0	8.055	0.124	267.948	5.056	70.0
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	8.604	-2.0	0.01	393.101	-2.015	70.0
C01134	Pantetheine_4'-phosphate	-7.18	5.15	0.245	180.515	-5.466	90.0
C06037	Digalactosyl-diacylglycerol	9.18	6.954	0.758	704.02	9.059	90.0
C03511	L-Phenylalanyl-tRNA(Phe)	-9.641	-4.728	0.0	0.0	0.0	50.0
C03512	L-Tryptophanyl-tRNA(Trp)	-8.945	-3.459	0.0	0.0	0.0	50.0
C03287	L-Glutamyl_5-phosphate	-3.931	2.644	0.41	21.503	-3.139	80.0
C03125	L-Cysteinyl-tRNA(Cys)	-9.814	-3.459	0.0	0.0	0.0	50.0
C03127	L-Isoleucyl-tRNA(Ile)	-9.426	-4.087	0.0	0.0	0.0	50.0
C03692	1,2-Diacyl-3-beta-D-galactosyl-sn-glycerol	-9.18	-6.954	0.0	0.0	0.0	50.0
C20373	3-Hydroxyglutaryl-[acp]_methyl_ester	-10.617	-3.322	0.0	0.0	0.0	50.0
C20372	3-Ketoglutaryl-[acp]_methyl_ester	9.263	4.585	0.495	638.386	8.304	80.0
C20377	3-Hydroxypimeloyl-[acp]_methyl_ester	-10.617	-3.322	0.0	0.0	0.0	50.0
C20376	3-Ketopimeloyl-[acp]_methyl_ester	9.263	4.585	0.495	638.386	8.304	80.0
C20375	Glutaryl-[acp]_methyl_ester	8.667	-2.322	0.012	411.469	-2.34	70.0
C20374	Enoylglutaryl-[acp]_methyl_ester	9.106	-3.459	0.02	562.032	-3.488	80.0
C05596	p-Hydroxyphenylacetylglycine	-2.0	-2.585	0.0	0.0	0.0	50.0
C20378	Enoylpimeloyl-[acp]_methyl_ester	9.106	-3.459	0.02	562.032	-3.488	80.0
C00415	Dihydrofolate	-4.605	-1.078	0.0	0.0	0.0	50.0
C00416	Phosphatidate	8.021	-4.163	0.069	277.667	-4.259	80.0
C17949	N-Acetyldemethylphosphinothricin	-3.7	-3.17	0.0	0.0	0.0	50.0
C04851	MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho-undecaprenol	-6.304	1.585	0.038	82.012	-1.639	70.0
C10700	4'-Hydroxyacetophenone	-8.651	-4.392	0.0	0.0	0.0	50.0
C04006	1D-myo-Inositol_3-phosphate	-11.604	4.17	0.006	3130.807	-4.178	80.0
C02686	Galactosylceramide	-8.333	-6.066	0.0	0.0	0.0	50.0
C00243	Lactose	11.461	5.799	0.506	2874.74	10.506	90.0
C00242	Guanine	-8.595	-4.353	0.0	0.0	0.0	50.0
C00245	Taurine	-6.486	-6.907	0.0	0.0	0.0	50.0
C01097	D-Tagatose_6-phosphate	9.329	8.275	0.887	952.903	9.723	90.0
C01096	Sorbitol_6-phosphate	8.651	-6.358	0.204	484.011	-6.626	90.0
C01094	D-Fructose_1-phosphate	10.599	11.034	0.961	3647.857	11.775	90.0
C00068	Thiamin_diphosphate	4.229	-5.203	0.509	55.587	-4.823	90.0
C00342	Thioredoxin	-7.406	-5.532	0.0	0.0	0.0	50.0
C00343	Thioredoxin_disulfide	7.322	5.946	0.812	221.657	7.492	80.0
C05684	Selenite	9.441	6.966	0.738	820.082	9.241	90.0
C00063	CTP	9.99	5.654	0.566	1067.28	9.239	90.0
C05689	Se-Methyl-L-selenocysteine	8.547	4.17	0.488	392.028	7.579	80.0
C00065	L-Serine	-7.847	-2.677	0.0	0.0	0.0	50.0
C00064	L-Glutamine	-8.294	-2.58	0.0	0.0	0.0	50.0
C00066	tRNA	8.98	2.585	0.288	510.951	7.2	80.0
C16633	5-Fluorouridine	8.725	2.585	0.296	429.143	6.99	70.0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	8.518	3.781	0.444	380.331	7.399	80.0
C16634	5-Fluorouridine_monophosphate	-9.773	-2.585	0.0	0.0	0.0	50.0
C19673	Malonyl-[acp]_methyl_ester	9.691	3.17	0.327	835.574	8.094	80.0
C04079	N-((R)-Pantothenoyl)-L-cysteine	8.725	4.087	0.468	440.137	7.688	80.0
C00668	alpha-D-Glucose_6-phosphate	-9.765	-6.343	0.0	0.0	0.0	50.0
C00666	LL-2,6-Diaminoheptanedioate	7.857	-3.928	0.066	247.063	-4.02	80.0
C02163	L-Arginyl-tRNA(Arg)	-9.36	-2.585	0.0	0.0	0.0	50.0
C00114	Choline	-7.0	-4.0	0.0	0.0	0.0	50.0
C00117	D-Ribose_5-phosphate	-9.819	5.661	0.056	953.859	-5.74	90.0
C00116	Glycerol	-8.132	-3.719	0.0	0.0	0.0	50.0
C00111	Glycerone_phosphate	-9.192	7.797	0.38	807.279	-8.262	90.0
C02380	6-Mercaptopurine	9.241	3.17	0.343	614.088	7.719	80.0
C00112	CDP	-8.65	-1.503	0.0	0.0	0.0	50.0
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	-6.682	-6.983	0.0	0.0	0.0	50.0
C00118	D-Glyceraldehyde_3-phosphate	8.074	-9.982	0.266	1280.777	-8.415	90.0
C03492	D-4'-Phosphopantothenate	5.781	-2.0	0.073	58.986	-2.101	70.0
C01346	dUDP	-4.874	3.087	0.29	37.821	-3.454	80.0
C05750	3-Oxooctanoyl-[acp]	9.041	4.19	0.463	545.011	7.981	80.0
C05751	trans-Oct-2-enoyl-[acp]	7.317	-3.459	0.069	170.451	-3.555	80.0
C05752	Octanoyl-[acp]	8.592	-2.322	0.013	390.878	-2.341	70.0
C05753	3-Oxodecanoyl-[acp]	9.041	4.19	0.463	545.011	7.981	80.0
C05754	trans-Dec-2-enoyl-[acp]	7.317	-3.459	0.069	170.451	-3.555	80.0
C05755	Decanoyl-[acp]	8.667	-2.322	0.012	411.469	-2.34	70.0
C05756	3-Oxododecanoyl-[acp]	9.263	4.585	0.495	638.386	8.304	80.0
C05757	(R)-3-Hydroxydodecanoyl-[acp]	-10.203	-3.322	0.0	0.0	0.0	50.0
C05758	trans-Dodec-2-enoyl-[acp]	7.317	-3.459	0.069	170.451	-3.555	80.0
C05759	3-Oxotetradecanoyl-[acp]	9.263	4.585	0.495	638.386	8.304	80.0
C00235	Dimethylallyl_diphosphate	7.152	-1.571	0.021	145.193	-1.601	70.0
C01613	Stachyose	9.18	6.19	0.674	653.045	8.782	90.0
C00188	L-Threonine	5.923	-3.361	0.169	70.948	-3.587	80.0
C00189	Ethanolamine	-7.0	-4.0	0.0	0.0	0.0	50.0
C02702	L-Prolyl-tRNA(Pro)	-9.34	-5.0	0.0	0.0	0.0	50.0
C05818	2-Demethylmenaquinone	6.508	-4.392	0.231	112.008	-4.691	90.0
C00183	L-Valine	-5.915	-1.585	0.0	0.0	0.0	50.0
C03794	N6-(1,2-Dicarboxyethyl)-AMP	-6.369	-1.0	0.0	0.0	0.0	50.0
C00159	D-Mannose	-9.025	9.289	0.833	1146.508	-9.899	90.0
C02839	L-Tyrosyl-tRNA(Tyr)	-9.579	-5.209	0.0	0.0	0.0	50.0
C06548	Ethylene_oxide	8.651	4.392	0.508	422.981	7.746	80.0
