compound_code	compound_name	alistipes_mock_score	mollicute_mock_score	ratio	magnitude	interaction_score	percentile
C11811	1-Hydroxy-2-methyl-2-butenyl_4-diphosphate	-6.17	1.585	0.042	75.004	-1.644	50.0
C02876	Propanoyl_phosphate	-7.238	-3.7	0.086	163.954	-3.819	80.0
C05345	beta-D-Fructose_6-phosphate	5.811	1.412	0.243	58.803	3.837	70.0
C11736	5-Fluorodeoxyuridine	6.615	2.0	0.302	102.02	4.947	70.0
C02554	L-Valyl-tRNA(Val)	-6.443	-2.807	0.08	94.002	-2.919	60.0
C03511	L-Phenylalanyl-tRNA(Phe)	-6.615	-3.755	0.138	111.521	-3.941	80.0
C00221	beta-D-Glucose	3.215	3.459	0.929	20.282	4.237	70.0
C00385	Xanthine	-4.19	2.459	0.301	23.751	-2.839	60.0
C00387	Guanosine	7.304	4.807	0.658	186.017	6.936	90.0
C00229	Acyl-carrier_protein	7.257	-3.0	0.052	160.959	-3.074	60.0
C00882	Dephospho-CoA	-2.807	-3.807	0.5	20.995	-3.392	70.0
C05841	Nicotinate_D-ribonucleoside	7.304	4.807	0.658	186.017	6.936	90.0
C00655	Xanthosine_5'-phosphate	-2.773	3.115	0.789	15.499	-3.612	70.0
C00718	Amylose	-2.55	-3.209	0.633	15.103	-3.258	60.0
C03125	L-Cysteinyl-tRNA(Cys)	-6.845	-4.087	0.148	131.955	-4.286	90.0
C03127	L-Isoleucyl-tRNA(Ile)	-6.57	-3.322	0.105	105.01	-3.466	70.0
C00714	Pectin	6.919	4.907	0.709	151.014	6.743	90.0
C00364	dTMP	3.087	1.807	0.585	11.996	2.812	60.0
C00365	dUMP	-5.221	0.807	0.047	39.047	-0.873	60.0
C00362	dGMP	-5.755	1.585	0.056	57.004	-1.663	50.0
C00363	dTDP	-6.672	-3.322	0.098	111.97	-3.457	70.0
C00009	Orthophosphate	-6.229	-3.322	0.133	85.01	-3.503	70.0
C00008	ADP	-2.336	3.97	0.322	20.72	-2.739	60.0
C00006	NADP+	-6.322	-2.0	0.05	84.004	-2.07	50.0
C00003	NAD+	-7.5	0.737	0.009	182.686	-0.75	60.0
C00002	ATP	6.959	-4.36	0.165	144.948	-4.58	90.0
C00369	Starch	2.644	0.874	0.331	8.083	1.418	60.0
C05703	Methaneselenol	-6.845	-3.585	0.104	126.961	-3.728	70.0
C00035	GDP	3.624	4.919	0.737	42.582	4.971	70.0
C17556	di-trans,poly-cis-Undecaprenyl_phosphate	5.392	-3.17	0.214	50.991	-3.45	70.0
C04442	2-Dehydro-3-deoxy-6-phospho-D-gluconate	-4.977	-4.492	0.714	53.996	-5.27	90.0
C00361	dGDP	-4.481	4.891	0.753	52.003	-5.291	90.0
C00253	Nicotinate	-7.304	-4.807	0.177	186.017	-5.042	90.0
C00251	Chorismate	3.0	0.585	0.195	9.5	0.889	60.0
C00255	Riboflavin	-4.807	3.0	0.286	35.993	-3.363	70.0
C05336	Selenomethionyl-tRNA(Met)	-6.741	-3.585	0.112	118.966	-3.738	80.0
C00415	Dihydrofolate	-0.637	1.152	0.7	3.777	-1.402	50.0
C00416	Phosphatidate	4.19	0.807	0.193	20.002	1.946	60.0
C05335	L-Selenomethionine	5.322	3.585	0.674	52.002	5.131	80.0
C00310	D-Xylulose	-6.443	-3.0	0.092	95.003	-3.127	60.0
C00558	D-Tagaturonate	6.19	-2.807	0.096	80.007	-2.939	60.0
C01528	Hydrogen_selenide	-6.812	-3.544	0.104	124.025	-3.686	70.0
C00886	L-Alanyl-tRNA	-6.7	-3.459	0.106	114.965	-3.604	70.0
C00092	D-Glucose_6-phosphate	-7.589	-3.655	0.065	205.135	-3.746	80.0
C00093	sn-Glycerol_3-phosphate	7.347	3.256	0.443	172.358	6.255	80.0
C00095	D-Fructose	-7.827	-1.0	0.009	229.071	-1.013	50.0
C00881	Deoxycytidine	6.954	4.0	0.575	139.983	6.331	80.0
C00097	L-Cysteine	-7.224	3.907	0.1	164.501	-4.045	80.0
C05892	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine	6.022	1.585	0.263	67.984	4.161	70.0
C00078	L-Tryptophan	6.409	2.585	0.403	90.977	5.197	80.0
C00079	L-Phenylalanine	-1.138	2.807	0.314	9.199	-1.532	50.0
C00993	D-Alanyl-D-alanine	-3.0	-1.0	0.25	10.0	-1.322	50.0
C00073	L-Methionine	5.298	-0.322	0.032	40.592	-0.367	60.0
C00074	Phosphoenolpyruvate	-6.979	-3.874	0.116	140.812	-4.033	80.0
C00075	UTP	5.652	4.061	0.719	66.974	5.589	80.0
C00333	D-Galacturonate	7.687	5.044	0.656	239.062	7.293	90.0
C06196	2'-Deoxyinosine_5'-phosphate	-7.484	-3.459	0.061	190.02	-3.545	70.0
C00620	alpha-D-Ribose_1-phosphate	7.492	3.858	0.515	194.519	6.646	90.0
C00627	Pyridoxine_phosphate	-6.629	-3.807	0.141	112.972	-3.998	80.0
C00123	L-Leucine	-3.322	3.585	0.833	22.001	-4.196	90.0
C03512	L-Tryptophanyl-tRNA(Trp)	-6.409	-2.585	0.071	90.977	-2.683	60.0
C04242	5-Fluorodeoxyuridine_monophosphate	-6.615	-2.0	0.041	102.02	-2.058	50.0
C00085	D-Fructose_6-phosphate	4.926	3.773	0.766	44.071	5.077	80.0
C00242	Guanine	-4.585	-2.322	0.208	29.001	-2.595	50.0
C00245	Taurine	-6.17	-1.0	0.028	74.004	-1.04	50.0
C00082	L-Tyrosine	1.248	3.585	0.348	14.375	2.323	60.0
C00081	ITP	7.484	3.459	0.462	190.02	6.457	90.0
C00160	Glycolate	-6.229	-2.0	0.053	79.009	-2.075	50.0
C03785	D-Tagatose_1,6-bisphosphate	-8.022	-4.807	0.108	287.927	-4.955	90.0
C04432	tRNA_containing_6-isopentenyladenosine	-6.19	-3.459	0.151	84.006	-3.661	70.0
C00183	L-Valine	-3.437	2.807	0.646	17.829	-3.526	70.0
C02218	Dehydroalanine	-7.562	-3.0	0.042	196.968	-3.06	60.0
C01921	Glycocholate	6.17	1.0	0.162	74.004	3.584	70.0
C00673	2-Deoxy-D-ribose_5-phosphate	6.858	4.248	0.619	135.002	6.386	90.0
C02988	L-Histidyl-tRNA(His)	-6.508	-3.322	0.11	101.013	-3.472	70.0
C00163	Propanoate	7.238	3.7	0.511	163.954	6.389	90.0
C02984	L-Aspartyl-tRNA(Asp)	-6.285	-3.807	0.179	91.975	-4.045	80.0
C02987	L-Glutamyl-tRNA(Glu)	-6.426	-3.322	0.116	95.985	-3.481	70.0
C03263	Coproporphyrinogen_III	6.109	3.17	0.519	78.023	5.339	80.0
C02047	L-Leucyl-tRNA	-6.524	-3.585	0.13	104.028	-3.762	80.0
C00106	Uracil	-2.202	0.363	0.28	5.887	-0.719	60.0
C00342	Thioredoxin	-4.916	4.585	0.795	54.191	-5.429	90.0
C00105	UMP	5.356	2.405	0.449	46.252	4.376	70.0
C03082	4-Phospho-L-aspartate	1.379	2.536	0.544	8.401	2.192	60.0
C00103	D-Glucose_1-phosphate	5.218	-3.636	0.334	49.652	-4.052	80.0
C04377	5,10-Methylenetetrahydromethanopterin	-7.15	-3.807	0.099	156.021	-3.943	80.0
C00101	Tetrahydrofolate	4.512	-1.215	0.102	25.138	-1.355	50.0
C00407	L-Isoleucine	-3.485	3.322	0.893	21.197	-4.243	90.0
C00063	CTP	6.823	4.935	0.723	143.811	6.701	90.0
C05689	Se-Methyl-L-selenocysteine	6.741	3.459	0.513	117.962	5.92	80.0
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	4.441	4.342	0.978	42.001	5.36	80.0
C00064	L-Glutamine	-5.595	-1.939	0.079	52.17	-2.049	50.0
C00066	tRNA	6.19	3.459	0.559	84.006	5.553	80.0
C16633	5-Fluorouridine	7.748	5.248	0.677	252.973	7.421	90.0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	3.7	2.0	0.541	16.996	3.2	70.0
C02962	D-Allose_6-phosphate	6.508	4.644	0.714	116.015	6.371	90.0
C00864	Pantothenate	-6.524	2.585	0.065	98.028	-2.676	60.0
C16635	5'-Deoxy-5-fluorocytidine	6.954	4.0	0.575	139.983	6.331	80.0
C16634	5-Fluorouridine_monophosphate	-8.362	-5.248	0.116	367.015	-5.406	90.0
C05466	Glycochenodeoxycholate	6.17	1.0	0.162	74.004	3.584	70.0
C04702	UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)	5.7	-1.0	0.038	53.984	-1.054	50.0
C00279	D-Erythrose_4-phosphate	-3.68	-3.907	0.854	27.818	-4.571	90.0
C03175	Shikimate_3-phosphate	-2.7	-1.0	0.308	8.498	-1.387	50.0
C05465	Taurochenodeoxycholate	6.17	1.0	0.162	74.004	3.584	70.0
C04079	N-((R)-Pantothenoyl)-L-cysteine	5.615	2.585	0.46	55.01	4.663	70.0
C18902	Methylselenic_acid	6.943	3.7	0.533	136.037	6.18	80.0
C00668	alpha-D-Glucose_6-phosphate	-3.912	3.491	0.747	26.297	-4.296	90.0
C03402	L-Asparaginyl-tRNA(Asn)	-7.0	-2.322	0.039	133.0	-2.377	50.0
C02992	L-Threonyl-tRNA(Thr)	-7.721	-2.585	0.028	216.986	-2.625	60.0
C00179	Agmatine	5.781	2.807	0.486	61.985	4.912	70.0
C00475	Cytidine	-5.258	-2.11	0.113	42.583	-2.264	50.0
C12215	Iminoerythrose_4-phosphate	-7.476	-4.585	0.135	202.034	-4.767	90.0
C12214	Aminofructose_6-phosphate	7.476	4.585	0.613	202.034	6.953	90.0
C00988	2-Phosphoglycolate	6.229	2.0	0.321	79.009	4.665	70.0
C00234	10-Formyltetrahydrofolate	-3.229	-0.757	0.18	11.066	-0.996	50.0
C00117	D-Ribose_5-phosphate	-6.12	-0.158	0.016	70.667	-0.181	60.0
C00111	Glycerone_phosphate	-3.388	-2.784	0.658	17.356	-3.513	70.0
C00112	CDP	-4.346	-4.755	0.753	47.339	-5.156	90.0
C00118	D-Glyceraldehyde_3-phosphate	4.754	2.4	0.505	32.261	4.026	70.0
C00299	Uridine	-1.399	0.241	0.448	3.819	-0.775	60.0
C00692	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	-4.392	1.0	0.095	22.995	-1.131	50.0
C03492	D-4'-Phosphopantothenate	5.17	-2.585	0.167	42.002	-2.807	60.0
C04895	7,8-Dihydroneopterin_3'-triphosphate	-3.459	-1.585	0.273	13.997	-1.933	50.0
C05688	L-Selenocysteine	6.741	3.459	0.513	117.962	5.92	80.0
C00695	Cholic_acid	-6.17	-1.0	0.028	74.004	-1.04	50.0
C01079	Protoporphyrinogen_IX	-6.109	-3.17	0.13	78.023	-3.347	60.0
C11435	4-(Cytidine_5'-diphospho)-2-C-methyl-D-erythritol	-3.585	-1.0	0.167	14.0	-1.222	50.0
C18096	D-Allulose_6-phosphate	-6.508	-4.644	0.275	116.015	-4.994	90.0
C00681	1-Acyl-sn-glycerol_3-phosphate	-6.561	-0.515	0.015	95.848	-0.537	60.0
C00269	CDP-diacylglycerol	-1.773	2.293	0.697	8.318	-2.536	50.0
C05898	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	6.19	-1.585	0.041	76.009	-1.643	50.0
C00441	L-Aspartate_4-semialdehyde	-4.815	-3.55	0.416	39.861	-4.052	80.0
C05893	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine	-6.426	-1.585	0.035	88.984	-1.634	50.0
C00262	Hypoxanthine	3.35	-1.766	0.334	13.598	-2.181	50.0
C01172	beta-D-Glucose_6-phosphate	-3.322	2.663	0.633	16.334	-3.371	70.0
C00267	alpha-D-Glucose	6.297	-4.406	0.27	99.83	-4.75	90.0
C03294	N-Formylmethionyl-tRNA	-6.229	-2.0	0.053	79.009	-2.075	50.0
C00235	Dimethylallyl_diphosphate	-3.138	2.585	0.682	14.803	-3.335	60.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	-7.267	-3.807	0.091	168.019	-3.932	80.0
C00470	Pectate	-6.919	-4.907	0.248	151.014	-5.227	90.0
C00188	L-Threonine	7.721	2.585	0.335	216.986	6.183	80.0
C02702	L-Prolyl-tRNA(Pro)	-7.18	-3.17	0.062	154.01	-3.257	60.0
C01151	D-Ribose_1,5-bisphosphate	-6.409	-1.585	0.035	87.977	-1.635	50.0
C00460	dUTP	7.484	3.585	0.479	191.023	6.516	90.0
C03794	N6-(1,2-Dicarboxyethyl)-AMP	-2.115	1.222	0.538	6.665	-1.844	50.0
C00181	D-Xylose	7.827	4.087	0.522	244.066	6.994	90.0
C00122	Fumarate	4.809	-3.459	0.392	39.029	-3.936	80.0
C00286	dGTP	5.554	-5.227	0.797	84.434	-6.073	90.0
C00124	D-Galactose	6.098	-3.585	0.175	80.499	-3.818	80.0
C02839	L-Tyrosyl-tRNA(Tyr)	-6.807	-3.585	0.107	123.973	-3.732	80.0
C04352	(R)-4'-Phosphopantothenoyl-L-cysteine	3.0	-2.585	0.75	14.0	-3.392	70.0
C05897	Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	-4.954	1.0	0.065	32.996	-1.09	50.0
C00294	Inosine	7.304	4.807	0.658	186.017	6.936	90.0
C02412	Glycyl-tRNA(Gly)	-6.714	-3.585	0.114	116.982	-3.741	80.0
C00680	meso-2,6-Diaminoheptanedioate	-3.322	-1.051	0.207	12.072	-1.323	50.0
C02553	L-Seryl-tRNA(Ser)	-6.768	-3.907	0.138	123.987	-4.093	80.0
C00842	dTDP-glucose	-5.087	3.0	0.235	41.989	-3.305	60.0
C05378	beta-D-Fructose_1,6-bisphosphate	-6.164	-4.807	0.39	99.698	-5.282	90.0
C00831	Pantetheine	5.615	2.585	0.46	55.01	4.663	70.0
C04691	2-Dehydro-3-deoxy-D-arabino-heptonate_7-phosphate	5.807	-2.322	0.089	60.986	-2.445	50.0
C00514	D-Mannonate	7.401	1.585	0.214	172.014	5.203	80.0
C00152	L-Asparagine	6.7	-0.415	0.013	105.302	-0.433	60.0
C00921	Dihydropteroate	2.322	2.807	0.827	11.999	3.311	70.0
C03150	Nicotinamide-beta-riboside	7.304	4.807	0.658	186.017	6.936	90.0
C00458	dCTP	5.668	-4.728	0.521	77.345	-5.333	90.0
C00459	dTTP	6.964	3.392	0.487	135.343	6.043	80.0
C00199	D-Ribulose_5-phosphate	-4.418	-3.83	0.665	35.599	-4.566	90.0
C00019	S-Adenosyl-L-methionine	-4.022	-0.807	0.108	17.995	-0.955	50.0
C00217	D-Glutamate	3.907	1.0	0.256	17.001	2.121	60.0
C00214	Thymidine	6.615	-3.273	0.099	107.686	-3.409	70.0
C20239	6-Carboxy-5,6,7,8-tetrahydropterin	-6.476	1.0	0.022	91.016	-1.032	50.0
C00212	Adenosine	7.304	4.807	0.658	186.017	6.936	90.0
C00208	Maltose	6.109	-5.755	0.782	123.027	-6.589	90.0
C05840	Iminoaspartate	5.992	1.585	0.265	66.646	4.14	70.0
C00037	Glycine	-6.054	3.129	0.132	75.189	-3.307	60.0
C11907	4,6-Dideoxy-4-oxo-dTDP-D-glucose	-6.807	-3.0	0.071	119.972	-3.1	60.0
C00031	D-Glucose	7.055	3.644	0.517	145.475	6.232	80.0
C00330	Deoxyguanosine	7.304	4.807	0.658	186.017	6.936	90.0
C00135	L-Histidine	6.508	2.807	0.431	98.011	5.402	80.0
C00134	Putrescine	-3.459	-2.807	0.636	17.995	-3.518	70.0
C00133	D-Alanine	3.322	1.585	0.477	13.001	2.633	60.0
C00131	dATP	2.115	2.7	0.783	10.83	3.085	60.0
C00130	IMP	-0.059	4.087	0.061	18.036	-0.145	60.0
C01097	D-Tagatose_6-phosphate	8.022	4.807	0.599	287.927	7.431	90.0
C01269	5-O-(1-Carboxyvinyl)-3-phosphoshikimate	-2.322	-1.0	0.4	7.0	-1.485	50.0
C04574	di-trans,poly-cis-Undecaprenyl_diphosphate	-6.0	2.322	0.078	69.0	-2.431	50.0
C01762	Xanthosine	7.304	4.807	0.658	186.017	6.936	90.0
C02528	Chenodeoxycholate	-6.17	-1.0	0.028	74.004	-1.04	50.0
C00526	Deoxyuridine	3.907	1.926	0.493	18.801	3.212	70.0
C11453	2-C-Methyl-D-erythritol_2,4-cyclodiphosphate	-3.7	-1.7	0.25	16.245	-2.022	50.0
C00448	trans,trans-Farnesyl_diphosphate	4.285	2.585	0.603	25.495	3.943	70.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	3.536	-0.415	0.115	12.933	-0.572	60.0
C04882	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine	5.7	-1.0	0.038	53.984	-1.054	50.0
C00041	L-Alanine	-4.97	-2.807	0.223	38.34	-3.098	60.0
C00040	Acyl-CoA	7.136	3.503	0.491	151.991	6.221	80.0
C00047	L-Lysine	6.931	2.807	0.405	129.02	5.707	80.0
C00046	RNA	-6.306	-2.7	0.082	85.62	-2.814	60.0
C00044	GTP	-6.623	-3.826	0.144	112.747	-4.02	80.0
C00204	2-Dehydro-3-deoxy-D-gluconate	5.919	5.304	0.896	100.012	6.486	90.0
C00049	L-Aspartate	-3.779	2.907	0.546	21.228	-3.536	70.0
C00206	dADP	4.018	2.503	0.623	21.87	3.768	70.0
C01127	4-Hydroxy-2-oxoglutarate	7.827	5.209	0.666	264.059	7.457	90.0
