compound_code	compound_name	turicibacter_mock_score	bacteroides_mock_score	ratio	magnitude	interaction_score	percentile
C02047	L-Leucyl-tRNA	-4.0	-5.426	0.372	58.992	-4.456	90.0
C03082	4-Phospho-L-aspartate	3.406	0.531	0.156	12.045	0.909	70.0
C04377	5,10-Methylenetetrahydromethanopterin	-1.585	-5.248	0.079	41.002	-1.695	50.0
C04376	5'-Phosphoribosyl-N-formylglycinamide	1.0	5.508	0.182	47.506	3.109	70.0
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	-4.063	1.28	0.145	19.143	-1.476	50.0
C00860	L-Histidinol	-3.7	1.0	0.154	14.996	-1.207	50.0
C04272	(R)-2,3-Dihydroxy-3-methylbutanoate	-2.248	-4.833	0.167	33.252	-2.47	50.0
C01419	Cys-Gly	3.807	5.931	0.642	75.008	5.589	90.0
C08325	Amygdalin	4.672	7.14	0.654	166.536	6.768	90.0
C03402	L-Asparaginyl-tRNA(Asn)	-1.585	-6.845	0.026	117.961	-1.622	50.0
C00692	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	4.954	-3.0	0.258	38.996	-3.331	70.0
C00695	Cholic_acid	-1.0	-1.0	1.0	4.0	-2.0	50.0
C00269	CDP-diacylglycerol	1.0	-3.892	0.135	16.846	-1.182	50.0
C16219	3-Oxostearoyl-[acp]	-3.459	-4.585	0.458	34.997	-4.003	80.0
C00263	L-Homoserine	1.291	0.222	0.172	3.613	-0.687	60.0
C16217	3-Hydroxyoctadecanoyl-CoA	-3.0	-5.781	0.145	62.986	-3.196	70.0
C16216	3-Oxostearoyl-CoA	3.0	5.781	0.519	62.986	5.031	80.0
C00267	alpha-D-Glucose	-3.798	-7.723	0.066	225.188	-3.89	80.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	-2.322	-3.322	0.5	15.001	-2.907	60.0
C00286	dGTP	3.047	1.923	0.631	12.057	2.928	70.0
C00283	Hydrogen_sulfide	3.17	3.807	0.833	22.997	4.259	80.0
C00288	HCO3-	4.087	-3.248	0.559	26.495	-3.889	80.0
C04691	2-Dehydro-3-deoxy-D-arabino-heptonate_7-phosphate	-2.322	3.7	0.385	17.996	-2.792	60.0
C04053	5-Dehydro-4-deoxy-D-glucuronate	4.524	6.768	0.668	131.993	6.463	90.0
C01209	Malonyl-[acyl-carrier_protein]	4.17	6.312	0.661	97.452	6.009	90.0
C00217	D-Glutamate	-3.585	-1.663	0.264	15.167	-2.001	50.0
C00212	Adenosine	1.0	3.087	0.324	10.497	1.766	70.0
C00036	Oxaloacetate	3.289	5.9	0.557	69.488	5.276	90.0
C05841	Nicotinate_D-ribonucleoside	1.0	2.807	0.356	8.998	1.681	70.0
C00035	GDP	-3.626	3.162	0.725	21.297	-3.949	80.0
C00033	Acetate	-2.263	2.28	0.988	9.657	-3.255	70.0
C00031	D-Glucose	-2.858	5.44	0.167	50.661	-3.081	60.0
C00137	myo-Inositol	-3.7	-6.727	0.123	118.928	-3.867	80.0
C00134	Putrescine	1.585	3.585	0.442	15.0	2.729	70.0
C00133	D-Alanine	3.907	-3.807	0.933	28.998	-4.758	90.0
C00131	dATP	-0.531	2.07	0.344	5.644	-0.958	60.0
C00130	IMP	0.716	-2.724	0.249	8.25	-1.036	60.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	3.022	3.954	0.764	23.621	4.174	80.0
C00041	L-Alanine	3.907	3.773	0.966	28.672	4.791	80.0
C00040	Acyl-CoA	2.7	2.0	0.741	10.498	2.959	70.0
C00046	RNA	4.077	-7.208	0.114	164.728	-4.233	90.0
C00044	GTP	-2.605	-6.398	0.072	90.415	-2.705	60.0
C00049	L-Aspartate	2.714	1.818	0.67	10.087	2.756	70.0
C00048	Glyoxylate	3.322	2.115	0.637	14.332	3.19	70.0
C06481	L-Seryl-tRNA(Sec)	-3.907	-4.585	0.625	39.002	-4.607	90.0
C04236	(2S)-2-Isopropyl-3-oxosuccinate	-1.0	-4.392	0.095	22.995	-1.131	50.0
C01100	L-Histidinol_phosphate	3.17	-4.935	0.294	39.591	-3.542	70.0
C01103	Orotidine_5'-phosphate	3.17	-3.7	0.693	21.997	-3.929	80.0
C05122	Taurocholate	1.0	1.0	1.0	4.0	2.0	70.0
C06007	(R)-2,3-Dihydroxy-3-methylpentanoate	-2.248	-4.833	0.167	33.252	-2.47	50.0
C06006	(S)-2-Aceto-2-hydroxybutanoate	-2.585	5.687	0.116	57.518	-2.744	60.0
C05345	beta-D-Fructose_6-phosphate	4.279	5.433	0.788	62.615	5.624	90.0
C01235	alpha-D-Galactosyl-(1->3)-1D-myo-inositol	3.7	2.322	0.628	17.996	3.497	80.0
C05223	Dodecanoyl-[acyl-carrier_protein]	4.17	5.448	0.765	61.654	5.56	90.0
C05466	Glycochenodeoxycholate	1.0	1.0	1.0	4.0	2.0	70.0
C05465	Taurochenodeoxycholate	1.0	1.0	1.0	4.0	2.0	70.0
C11907	4,6-Dideoxy-4-oxo-dTDP-D-glucose	-3.807	-2.322	0.357	18.997	-2.763	60.0
C00253	Nicotinate	-0.415	-2.0	0.333	5.333	-0.83	60.0
C00254	Prephenate	0.783	1.406	0.557	4.371	1.283	70.0
C05336	Selenomethionyl-tRNA(Met)	-1.0	-5.322	0.05	42.002	-1.07	60.0
C00259	L-Arabinose	-6.248	3.585	0.158	88.004	-3.796	80.0
C01081	Thiamin_monophosphate	-3.585	2.807	0.583	18.999	-3.47	70.0
C00492	Raffinose	3.0	-1.585	0.375	11.0	-2.044	50.0
C00886	L-Alanyl-tRNA	-3.907	-5.358	0.366	56.014	-4.357	90.0
C00498	ADP-glucose	-7.096	-2.858	0.053	144.057	-2.932	60.0
C00078	L-Tryptophan	1.0	-3.298	0.203	11.836	-1.267	50.0
C00079	L-Phenylalanine	1.99	-1.068	0.528	6.069	-1.679	50.0
C00073	L-Methionine	2.668	3.079	0.867	14.806	3.681	80.0
C00077	L-Ornithine	-1.585	-1.918	0.794	6.779	-2.428	50.0
C00074	Phosphoenolpyruvate	-6.807	-6.07	0.6	179.154	-6.748	90.0
C00075	UTP	3.194	7.252	0.44	161.581	6.153	90.0
C06032	D-erythro-3-Methylmalate	-2.517	2.115	0.757	10.056	-2.928	60.0
C00085	D-Fructose_6-phosphate	-3.322	3.228	0.937	19.37	-4.182	90.0
C00083	Malonyl-CoA	-4.087	3.574	0.701	28.904	-4.34	90.0
C00082	L-Tyrosine	0.022	-2.248	0.214	5.766	-0.301	60.0
C04640	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine	-1.0	-4.858	0.069	31.0	-1.096	50.0
C00089	Sucrose	2.663	-2.322	0.789	11.334	-3.162	70.0
C00671	(S)-3-Methyl-2-oxopentanoic_acid	-0.637	-2.965	0.199	9.363	-0.899	60.0
C01921	Glycocholate	1.0	1.0	1.0	4.0	2.0	70.0
C00673	2-Deoxy-D-ribose_5-phosphate	-0.585	3.807	0.107	15.497	-0.732	60.0
C01250	N-Acetyl-L-glutamate_5-semialdehyde	-1.138	-2.202	0.478	6.802	-1.702	50.0
C00106	Uracil	4.524	2.379	0.526	28.209	3.891	80.0
C00105	UMP	1.322	-1.787	0.724	5.951	-2.108	50.0
C00103	D-Glucose_1-phosphate	-1.536	3.935	0.19	18.195	-1.786	50.0
C00100	Propanoyl-CoA	-0.415	-3.585	0.111	13.334	-0.567	60.0
C00101	Tetrahydrofolate	0.515	-1.026	0.702	3.465	-1.282	50.0
C00109	2-Oxobutanoate	3.395	-0.663	0.151	12.103	-0.865	60.0
C04702	UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)	1.0	2.807	0.356	8.998	1.681	70.0
C05764	Hexadecanoyl-[acp]	4.17	5.768	0.723	72.494	5.712	90.0
C05761	Tetradecanoyl-[acp]	4.17	5.768	0.723	72.494	5.712	90.0
C05760	trans-Tetradec-2-enoyl-[acp]	-4.087	-3.0	0.471	24.995	-3.557	70.0
C05763	trans-Hexadec-2-enoyl-[acp]	-4.087	-3.0	0.471	24.995	-3.557	70.0
C05762	3-Oxohexadecanoyl-[acp]	-3.087	-4.373	0.41	29.218	-3.583	80.0
C00361	dGDP	1.222	-2.397	0.443	7.6	-1.751	50.0
C02992	L-Threonyl-tRNA(Thr)	-5.585	-6.066	0.716	114.997	-6.364	90.0
C00179	Agmatine	3.0	-4.322	0.4	28.001	-3.485	70.0
C03090	5-Phosphoribosylamine	4.868	1.138	0.234	31.403	2.876	70.0
C01077	O-Acetyl-L-homoserine	4.0	3.807	0.952	29.997	4.835	80.0
C11435	4-(Cytidine_5'-diphospho)-2-C-methyl-D-erythritol	1.585	-1.222	0.778	5.333	-2.052	50.0
C11436	2-Phospho-4-(cytidine_5'-diphospho)-2-C-methyl-D-erythritol	-1.585	0.415	0.444	4.333	-0.945	60.0
C00857	Deamino-NAD+	-3.459	3.544	0.943	22.661	-4.417	90.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	1.0	1.0	1.0	4.0	2.0	70.0
C04411	(2R,3S)-3-Isopropylmalate	-2.609	2.202	0.754	10.702	-3.013	60.0
C01172	beta-D-Glucose_6-phosphate	-1.71	-4.928	0.107	33.714	-1.857	50.0
C18796	(2R)-2-Hydroxy-2-methylbutanenitrile	-4.672	-7.14	0.181	166.536	-4.912	90.0
C08334	Lotaustralin	4.672	7.14	0.654	166.536	6.768	90.0
C02412	Glycyl-tRNA(Gly)	-4.807	-8.895	0.059	504.053	-4.889	90.0
C00680	meso-2,6-Diaminoheptanedioate	2.342	-0.237	0.232	6.249	-0.539	60.0
C02553	L-Seryl-tRNA(Ser)	-3.907	-4.585	0.625	39.002	-4.607	90.0
C00688	dTDP-4-dehydro-6-deoxy-beta-L-mannose	3.17	-2.503	0.63	14.669	-3.208	70.0
C05378	beta-D-Fructose_1,6-bisphosphate	-4.832	5.304	0.721	67.988	-5.615	90.0
C04349	(4S)-4,6-Dihydroxy-2,5-dioxohexanoate	-3.644	-6.768	0.115	121.487	-3.801	80.0
C16220	3-Hydroxyoctadecanoyl-[acp]	3.322	-5.781	0.182	64.987	-3.563	80.0
C16221	(2E)-Octadecenoyl-[acp]	-4.087	4.615	0.694	41.499	-4.847	90.0
C00458	dCTP	3.0	3.35	0.896	18.196	4.026	80.0
C00459	dTTP	3.585	-3.051	0.691	20.288	-3.809	80.0
C04896	5-(5-Phospho-D-ribosylaminoformimino)-1-(5-phosphoribosyl)-imidazole-4-carboxamide	2.585	-2.322	0.833	11.0	-3.196	70.0
C00455	Nicotinamide_D-ribonucleotide	3.585	-2.322	0.417	17.001	-2.825	60.0
C00354	D-Fructose_1,6-bisphosphate	2.273	-2.939	0.63	12.502	-2.978	60.0
C00332	Acetoacetyl-CoA	-0.363	0.485	0.919	2.686	-1.303	50.0
C00337	(S)-Dihydroorotate	-2.503	-3.907	0.378	20.67	-2.965	60.0
C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier_protein]	3.322	-4.615	0.408	34.505	-3.816	80.0
C01269	5-O-(1-Carboxyvinyl)-3-phosphoshikimate	-2.585	2.322	0.833	11.0	-3.196	70.0
C00631	2-Phospho-D-glycerate	-0.594	0.128	0.724	2.602	-0.914	60.0
C02528	Chenodeoxycholate	-1.0	-1.0	1.0	4.0	-2.0	50.0
C01594	Linamarin	4.672	7.14	0.654	166.536	6.768	90.0
C00208	Maltose	-1.585	-4.755	0.111	30.002	-1.737	50.0
C00204	2-Dehydro-3-deoxy-D-gluconate	0.322	4.248	0.076	20.251	0.618	60.0
C01212	UDP-N-acetylmuramoyl-L-alanine	-3.322	0.807	0.175	11.75	-1.04	60.0
C00025	L-Glutamate	-1.263	-2.32	0.481	7.393	-1.829	50.0
C00024	Acetyl-CoA	2.299	2.917	0.788	12.474	3.297	80.0
C00148	L-Proline	2.07	1.152	0.557	6.421	1.837	70.0
C00026	2-Oxoglutarate	-2.585	3.322	0.6	16.001	-3.263	70.0
C00021	S-Adenosyl-L-homocysteine	2.954	-5.959	0.125	69.956	-3.123	70.0
C00020	AMP	0.678	-3.459	0.145	12.597	-0.874	60.0
C00022	Pyruvate	5.066	-3.676	0.382	46.28	-4.142	90.0
C00143	5,10-Methylenetetrahydrofolate	0.425	-1.008	0.668	3.354	-1.163	50.0
C00140	N-Acetyl-D-glucosamine	-3.737	4.248	0.702	32.335	-4.504	90.0
C00141	3-Methyl-2-oxobutanoic_acid	-0.854	-3.491	0.161	13.051	-1.069	60.0
C00029	UDP-glucose	-2.962	-5.351	0.191	48.606	-3.214	70.0
C00147	Adenine	-0.322	1.644	0.4	4.375	-0.807	60.0
C00144	GMP	-0.788	-4.087	0.102	18.721	-0.928	60.0
C05729	R-S-Cysteinylglycine	3.807	5.931	0.642	75.008	5.589	90.0
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	-4.181	-3.259	0.528	27.712	-3.87	80.0
C03232	3-Phosphonooxypyruvate	1.766	4.293	0.411	23.004	3.242	70.0
C02739	1-(5-Phospho-D-ribosyl)-ATP	2.222	2.115	0.952	8.997	3.098	70.0
C05726	S-Substituted_L-cysteine	-3.807	-5.931	0.229	75.008	-4.105	80.0
C06250	Holo-[carboxylase]	-1.585	7.004	0.023	131.355	-1.618	50.0
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	1.585	3.0	0.528	11.0	2.539	70.0
C00092	D-Glucose_6-phosphate	-2.678	-6.047	0.097	72.519	-2.811	60.0
C06037	Digalactosyl-diacylglycerol	3.7	2.322	0.628	17.996	3.497	80.0
C03511	L-Phenylalanyl-tRNA(Phe)	-4.585	-4.755	0.889	51.003	-5.503	90.0
C03512	L-Tryptophanyl-tRNA(Trp)	-1.0	-3.322	0.2	12.0	-1.263	50.0
C03287	L-Glutamyl_5-phosphate	-2.248	-1.7	0.684	7.999	-2.452	50.0
C03125	L-Cysteinyl-tRNA(Cys)	-3.0	-3.585	0.667	20.0	-3.737	80.0
C03127	L-Isoleucyl-tRNA(Ile)	-1.0	-5.492	0.044	47.005	-1.063	60.0
C03692	1,2-Diacyl-3-beta-D-galactosyl-sn-glycerol	-3.7	-2.322	0.385	17.996	-2.792	60.0
C20373	3-Hydroxyglutaryl-[acp]_methyl_ester	3.322	-5.781	0.182	64.987	-3.563	80.0
C20372	3-Ketoglutaryl-[acp]_methyl_ester	-3.459	-4.585	0.458	34.997	-4.003	80.0
C20377	3-Hydroxypimeloyl-[acp]_methyl_ester	3.322	-5.781	0.182	64.987	-3.563	80.0
C20376	3-Ketopimeloyl-[acp]_methyl_ester	-3.459	-4.585	0.458	34.997	-4.003	80.0
C20375	Glutaryl-[acp]_methyl_ester	4.17	5.17	0.807	54.003	5.445	90.0
C20374	Enoylglutaryl-[acp]_methyl_ester	-4.087	5.426	0.395	59.987	-4.568	90.0
C20378	Enoylpimeloyl-[acp]_methyl_ester	-4.087	5.426	0.395	59.987	-4.568	90.0
C04916	N-(5'-Phospho-D-1'-ribulosylformimino)-5-amino-1-(5''-phospho-D-ribosyl)-4-imidazolecarboxamide	-3.459	0.585	0.136	12.497	-0.769	60.0
C00416	Phosphatidate	2.939	3.858	0.762	22.169	4.078	80.0
C00037	Glycine	-0.089	4.735	0.04	27.694	-0.146	60.0
C04851	MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho-undecaprenol	3.907	-2.322	0.333	20.001	-2.737	60.0
C00993	D-Alanyl-D-alanine	-3.907	-2.807	0.467	21.999	-3.359	70.0
C01798	D-Glucoside	4.672	7.14	0.654	166.536	6.768	90.0
C00620	alpha-D-Ribose_1-phosphate	1.807	6.57	0.275	98.509	4.76	80.0
C02686	Galactosylceramide	-3.7	-1.415	0.205	15.663	-1.684	50.0
C00243	Lactose	2.115	10.522	0.201	1474.739	8.212	90.0
C00242	Guanine	-1.0	2.243	0.422	6.734	-1.508	50.0
C00245	Taurine	-1.0	1.585	0.667	5.0	-1.737	50.0
C01097	D-Tagatose_6-phosphate	5.555	4.807	0.865	75.007	6.02	90.0
C00561	Mandelonitrile	-4.672	-7.14	0.181	166.536	-4.912	90.0
C01094	D-Fructose_1-phosphate	3.322	6.672	0.498	111.97	5.801	90.0
C00068	Thiamin_diphosphate	0.838	2.528	0.331	7.555	1.325	70.0
C00342	Thioredoxin	-3.496	2.138	0.39	15.684	-2.613	60.0
C00343	Thioredoxin_disulfide	3.544	-2.907	0.643	19.165	-3.623	80.0
C05684	Selenite	3.7	3.7	1.0	25.992	4.7	80.0
C00063	CTP	3.632	7.542	0.482	198.764	6.581	90.0
C00062	L-Arginine	-1.0	-3.879	0.136	16.713	-1.184	50.0
C00065	L-Serine	0.981	-2.452	0.361	7.446	-1.425	50.0
C00064	L-Glutamine	-3.478	2.563	0.53	17.052	-3.177	70.0
C11811	1-Hydroxy-2-methyl-2-butenyl_4-diphosphate	-3.585	-2.807	0.583	18.999	-3.47	70.0
C16633	5-Fluorouridine	3.907	3.907	1.0	30.002	4.907	80.0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	-1.293	2.338	0.485	7.506	-1.863	50.0
C16634	5-Fluorouridine_monophosphate	-3.907	-4.248	0.789	34.002	-4.747	90.0
C19673	Malonyl-[acp]_methyl_ester	4.17	6.19	0.674	91.01	5.938	90.0
C00668	alpha-D-Glucose_6-phosphate	-2.705	-5.066	0.195	40.019	-2.962	60.0
C00666	LL-2,6-Diaminoheptanedioate	-0.737	1.817	0.473	5.19	-1.296	50.0
C00117	D-Ribose_5-phosphate	3.568	-4.759	0.438	38.937	-4.092	80.0
C00116	Glycerol	-1.0	-2.322	0.4	7.0	-1.485	50.0
C00111	Glycerone_phosphate	0.93	-3.899	0.128	16.823	-1.103	50.0
C00112	CDP	-5.524	-2.824	0.154	53.095	-3.031	60.0
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	-3.487	-2.678	0.571	17.612	-3.329	70.0
C00118	D-Glyceraldehyde_3-phosphate	4.617	5.338	0.865	64.987	5.813	90.0
C05750	3-Oxooctanoyl-[acp]	-3.087	-4.373	0.41	29.218	-3.583	80.0
C05751	trans-Oct-2-enoyl-[acp]	-4.087	-3.0	0.471	24.995	-3.557	70.0
C05752	Octanoyl-[acp]	4.17	5.362	0.778	59.128	5.523	90.0
C05753	3-Oxodecanoyl-[acp]	-3.087	-4.373	0.41	29.218	-3.583	80.0
C05754	trans-Dec-2-enoyl-[acp]	-4.087	-3.0	0.471	24.995	-3.557	70.0
C05755	Decanoyl-[acp]	4.17	5.768	0.723	72.494	5.712	90.0
C05756	3-Oxododecanoyl-[acp]	-3.459	-4.585	0.458	34.997	-4.003	80.0
C05757	(R)-3-Hydroxydodecanoyl-[acp]	3.322	-4.615	0.408	34.505	-3.816	80.0
C05758	trans-Dodec-2-enoyl-[acp]	-4.087	-3.0	0.471	24.995	-3.557	70.0
C05759	3-Oxotetradecanoyl-[acp]	-3.459	-4.585	0.458	34.997	-4.003	80.0
C00188	L-Threonine	2.546	3.437	0.741	16.67	3.626	80.0
C02702	L-Prolyl-tRNA(Pro)	-4.087	-4.0	0.941	32.995	-4.957	90.0
C00185	Cellobiose	2.907	7.14	0.407	148.544	5.918	90.0
C00181	D-Xylose	-3.322	5.672	0.196	60.985	-3.58	80.0
C00010	CoA	-3.0	-1.0	0.25	10.0	-1.322	50.0
C00158	Citrate	-1.83	0.026	0.286	4.574	-0.389	60.0
C00842	dTDP-glucose	-2.585	-2.0	0.667	10.0	-2.737	60.0
C02554	L-Valyl-tRNA(Val)	-1.0	-4.17	0.111	20.001	-1.152	50.0
C01290	beta-D-Galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide	3.322	10.522	0.316	1480.408	8.868	90.0
C00445	5,10-Methenyltetrahydrofolate	0.059	2.165	0.027	5.526	-2.731	60.0
C01762	Xanthosine	1.0	2.954	0.339	9.749	1.723	70.0
C00441	L-Aspartate_4-semialdehyde	2.585	1.959	0.758	9.888	2.906	70.0
C00440	5-Methyltetrahydrofolate	2.807	2.291	0.816	11.892	3.279	80.0
C00526	Deoxyuridine	1.0	-2.678	0.313	8.4	-1.392	50.0
C11453	2-C-Methyl-D-erythritol_2,4-cyclodiphosphate	3.209	3.426	0.937	19.995	4.227	80.0
C00448	trans,trans-Farnesyl_diphosphate	1.0	-3.406	0.189	12.6	-1.249	50.0
C04882	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine	1.0	2.807	0.356	8.998	1.681	70.0
C01190	beta-D-Glucosyl-(1<->1)-ceramide	-3.322	-9.937	0.01	990.246	-3.337	70.0
C04133	N-Acetyl-L-glutamate_5-phosphate	1.415	-0.874	0.687	4.499	-1.629	50.0
C03838	5'-Phosphoribosylglycinamide	-5.644	-1.322	0.05	52.505	-1.392	50.0
C05400	Epimelibiose	3.7	2.322	0.628	17.996	3.497	80.0
C05401	3-beta-D-Galactosyl-sn-glycerol	3.7	2.322	0.628	17.996	3.497	80.0
C05402	Melibiose	-3.0	1.585	0.375	11.0	-2.044	50.0
C05404	D-Gal_alpha_1->6D-Gal_alpha_1->6D-Glucose	-3.907	2.322	0.333	20.001	-2.737	60.0
C03939	Acetyl-[acyl-carrier_protein]	4.17	-7.528	0.098	202.568	-4.304	90.0
C04039	2,3-Dihydroxy-3-methylbutanoate	-2.807	-5.492	0.156	52.003	-3.016	60.0
C05335	L-Selenomethionine	-2.585	4.459	0.273	27.994	-2.933	60.0
C01222	GDP-4-dehydro-6-deoxy-D-mannose	-2.585	-3.322	0.6	16.001	-3.263	70.0
C00624	N-Acetyl-L-glutamate	-1.585	3.0	0.375	11.0	-2.044	50.0
C00231	D-Xylulose_5-phosphate	1.802	-5.032	0.107	36.205	-1.948	50.0
C00234	10-Formyltetrahydrofolate	-1.04	-0.339	0.615	3.321	-1.031	60.0
C01613	Stachyose	4.322	1.585	0.367	23.001	3.076	70.0
C00159	D-Mannose	2.97	-1.585	0.383	10.835	-2.053	50.0
C02839	L-Tyrosyl-tRNA(Tyr)	-2.807	-3.585	0.583	18.999	-3.47	70.0
C00014	Ammonia	3.191	-4.471	0.412	31.31	-3.689	80.0
C00015	UDP	-4.575	-3.0	0.336	31.835	-3.418	70.0
C00019	S-Adenosyl-L-methionine	-1.585	5.5	0.066	48.255	-1.678	50.0
C00153	Nicotinamide	-1.0	-3.524	0.174	13.503	-1.231	50.0
C00152	L-Asparagine	-3.434	3.218	0.861	20.113	-4.114	80.0
C00155	L-Homocysteine	-0.402	2.592	0.219	7.351	-0.688	60.0
C02336	beta-D-Fructose	-4.17	2.17	0.25	22.501	-2.492	60.0
C03785	D-Tagatose_1,6-bisphosphate	-5.555	-4.807	0.595	75.007	-5.481	90.0
C04620	(3R)-3-Hydroxyoctanoyl-[acyl-carrier_protein]	2.954	-4.402	0.367	28.89	-3.405	70.0
C00655	Xanthosine_5'-phosphate	0.663	-3.575	0.133	13.501	-0.843	60.0
C00718	Amylose	-4.0	-3.524	0.719	27.503	-4.306	90.0
C17556	di-trans,poly-cis-Undecaprenyl_phosphate	1.0	3.459	0.289	12.997	1.91	70.0
C04442	2-Dehydro-3-deoxy-6-phospho-D-gluconate	2.585	-1.322	0.417	8.5	-1.825	50.0
C01127	4-Hydroxy-2-oxoglutarate	3.459	5.248	0.659	48.999	5.013	80.0
C05143	Dhurrin	4.672	7.14	0.654	166.536	6.768	90.0
C18902	Methylselenic_acid	3.7	3.7	1.0	25.992	4.7	80.0
C00979	O-Acetyl-L-serine	1.415	1.474	0.96	5.445	2.386	70.0
C04246	But-2-enoyl-[acyl-carrier_protein]	-4.087	-3.0	0.471	24.995	-3.557	70.0
C03373	Aminoimidazole_ribotide	3.907	-4.982	0.475	46.604	-4.467	90.0
C06055	O-Phospho-4-hydroxy-L-threonine	-2.17	-3.985	0.284	20.335	-2.531	60.0
C03972	2,3,4,5-Tetrahydrodipicolinate	-0.415	-0.737	0.8	3.0	-1.263	50.0
C00577	D-Glyceraldehyde	-1.0	-6.672	0.02	103.97	-1.028	60.0
C00279	D-Erythrose_4-phosphate	-0.628	5.33	0.038	41.77	-0.682	60.0
