compound_code	compound_name	butyrivibrio_mock_score	bacteroides_mock_score	ratio	magnitude	interaction_score	percentile
C00385	Xanthine	-5.867	2.907	0.129	65.864	-3.081	60.0
C00387	Guanosine	7.676	3.0	0.391	212.506	6.376	80.0
C02504	alpha-Isopropylmalate	5.881	2.585	0.44	64.933	4.835	70.0
C00229	Acyl-carrier_protein	6.781	8.583	0.79	493.451	8.607	90.0
C05841	Nicotinate_D-ribonucleoside	7.676	2.807	0.366	211.504	6.273	80.0
C00288	HCO3-	7.371	-3.248	0.057	175.036	-3.329	60.0
C00546	Methylglyoxal	-8.202	-4.524	0.078	317.482	-4.633	80.0
C16217	3-Hydroxyoctadecanoyl-CoA	-8.679	-5.781	0.134	464.85	-5.963	90.0
C05839	cis-beta-D-Glucosyl-2-hydroxycinnamate	9.95	7.14	0.718	1130.163	9.664	90.0
C05838	cis-2-Hydroxycinnamate	-9.95	-7.14	0.143	1130.163	-7.332	90.0
C00364	dTMP	-4.787	-1.0	0.072	29.608	-1.101	50.0
C00365	dUMP	-6.949	-1.737	0.027	126.888	-1.775	50.0
C00362	dGMP	-2.7	-2.322	0.77	11.498	-3.145	60.0
C00360	dAMP	-9.581	-5.113	0.045	800.501	-5.177	80.0
C00008	ADP	7.258	-2.624	0.04	159.23	-2.681	50.0
C00006	NADP+	-6.672	-3.17	0.088	110.97	-3.292	60.0
C00005	NADPH	-5.459	-1.0	0.045	45.987	-1.064	50.0
C00003	NAD+	-6.163	-0.737	0.023	73.322	-0.77	60.0
C00002	ATP	8.749	7.296	0.834	587.391	8.936	90.0
C00369	Starch	4.763	5.989	0.795	90.666	6.172	70.0
C05703	Methaneselenol	-7.547	-3.248	0.051	196.514	-3.319	60.0
C16619	6-Thioguanosine_monophosphate	-8.028	-4.883	0.113	290.524	-5.038	80.0
C16618	6-Thioxanthine_5'-monophosphate	-7.877	-3.0	0.034	243.079	-3.048	60.0
C02612	(R)-2-Methylmalate	8.063	2.585	0.321	273.427	6.454	80.0
C16615	6-Methylthiopurine_5'-monophosphate_ribonucleotide	-7.864	-5.044	0.142	265.961	-5.235	80.0
C16614	6-Methylmercaptopurine	7.864	5.044	0.641	265.961	7.414	80.0
C03742	(S)-4-Hydroxymandelonitrile	-9.95	-7.14	0.143	1130.163	-7.332	90.0
C00645	N-Acetyl-D-mannosamine	-5.895	-2.202	0.077	64.109	-2.309	50.0
C00312	L-Xylulose	7.392	6.728	0.91	273.969	7.962	90.0
C00310	D-Xylulose	9.028	-5.358	0.079	563.047	-5.467	90.0
C01931	L-Lysyl-tRNA	-7.697	-5.129	0.169	242.498	-5.354	90.0
C01528	Hydrogen_selenide	-7.547	-3.059	0.045	195.348	-3.122	60.0
C00092	D-Glucose_6-phosphate	-9.622	-6.047	0.084	854.091	-6.163	90.0
C00093	sn-Glycerol_3-phosphate	-7.965	3.0	0.032	257.864	-3.045	60.0
C00095	D-Fructose	7.353	-4.492	0.138	185.986	-4.678	80.0
C00096	GDP-mannose	6.599	3.818	0.579	111.042	6.006	70.0
C00097	L-Cysteine	6.061	-3.534	0.173	78.348	-3.765	70.0
C04633	(3R)-3-Hydroxypalmitoyl-[acyl-carrier_protein]	-6.566	-4.402	0.223	115.888	-4.693	80.0
C15667	5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole	7.994	4.755	0.595	281.94	7.39	80.0
C06196	2'-Deoxyinosine_5'-phosphate	-6.022	-4.248	0.292	83.984	-4.618	80.0
C04732	5-Amino-6-(1-D-ribitylamino)uracil	4.322	3.585	0.829	32.001	4.73	70.0
C00438	N-Carbamoyl-L-aspartate	-3.03	2.459	0.673	13.666	-3.202	60.0
C05686	Adenylylselenate	-5.17	-3.585	0.333	48.002	-4.0	70.0
C00166	Phenylpyruvate	-1.29	2.112	0.566	6.768	-1.937	50.0
C00167	UDP-glucuronate	-7.877	-2.0	0.017	239.079	-2.024	50.0
C02988	L-Histidyl-tRNA(His)	-7.615	-2.585	0.031	202.04	-2.628	50.0
C00163	Propanoate	9.101	4.087	0.449	566.123	7.99	90.0
C02984	L-Aspartyl-tRNA(Asp)	-7.852	-5.492	0.195	276.045	-5.749	90.0
C02987	L-Glutamyl-tRNA(Glu)	-8.103	-3.644	0.045	287.446	-3.708	70.0
C03263	Coproporphyrinogen_III	8.52	2.0	0.235	371.093	6.445	80.0
C02047	L-Leucyl-tRNA	-9.0	-5.426	0.084	554.992	-5.542	90.0
C03082	4-Phospho-L-aspartate	6.8	0.531	0.078	112.875	3.14	60.0
C04377	5,10-Methylenetetrahydromethanopterin	-8.852	-5.248	0.082	500.082	-5.362	90.0
C04376	5'-Phosphoribosyl-N-formylglycinamide	6.34	5.508	0.869	126.515	6.78	80.0
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	-5.964	1.28	0.039	64.851	-1.335	50.0
C00861	L-Rhamnulose	-6.066	6.248	0.881	143.0	-6.978	90.0
C00860	L-Histidinol	6.17	1.0	0.162	74.004	3.584	60.0
C02962	D-Allose_6-phosphate	8.331	6.807	0.817	433.991	8.47	90.0
C00864	Pantothenate	6.852	-2.585	0.052	121.52	-2.658	50.0
C04272	(R)-2,3-Dihydroxy-3-methylbutanoate	-9.471	-4.833	0.04	738.17	-4.89	80.0
C01380	Ethylene_glycol	8.114	3.585	0.442	289.05	6.997	80.0
C01419	Cys-Gly	6.384	5.931	0.929	144.528	7.069	80.0
C08325	Amygdalin	9.95	7.14	0.718	1130.163	9.664	90.0
C03402	L-Asparaginyl-tRNA(Asn)	-8.084	-6.845	0.424	386.309	-7.355	90.0
C03406	N-(L-Arginino)succinate	-8.618	3.585	0.031	404.895	-3.628	70.0
C07648	Thioguanine	7.864	5.044	0.641	265.961	7.414	80.0
C07649	5-FU	7.349	2.322	0.316	168.031	5.73	70.0
C01962	Thiocysteine	-7.459	-3.585	0.068	187.948	-3.68	70.0
C00692	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	-6.022	-3.0	0.123	72.983	-3.167	60.0
C00695	Cholic_acid	-7.418	-1.0	0.012	173.017	-1.017	60.0
C18096	D-Allulose_6-phosphate	-8.195	-6.807	0.382	405.022	-7.274	90.0
C00269	CDP-diacylglycerol	4.902	-3.892	0.497	44.744	-4.474	80.0
C16219	3-Oxostearoyl-[acp]	-2.322	-4.585	0.208	29.001	-2.595	50.0
C00507	L-Rhamnose	7.87	4.954	0.629	264.937	7.382	80.0
C00263	L-Homoserine	-3.033	0.222	0.142	9.351	-0.414	60.0
C00262	Hypoxanthine	-1.954	-3.196	0.423	13.039	-2.463	50.0
C00508	L-Ribulose	-8.512	-5.248	0.104	403.064	-5.391	90.0
C16216	3-Oxostearoyl-CoA	8.679	5.781	0.666	464.85	8.274	90.0
C00267	alpha-D-Glucose	7.457	-7.723	0.832	386.982	-8.33	90.0
C00266	Glycolaldehyde	-7.733	-5.066	0.157	246.246	-5.277	80.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	-7.6	-3.322	0.052	204.012	-3.395	70.0
C00460	dUTP	7.555	-3.7	0.069	201.05	-3.796	70.0
C00286	dGTP	-8.041	1.923	0.014	267.172	-1.944	50.0
C00283	Hydrogen_sulfide	6.807	3.807	0.559	125.969	6.139	70.0
C00407	L-Isoleucine	-6.282	2.263	0.062	82.616	-2.349	50.0
C00327	L-Citrulline	8.238	2.322	0.282	306.916	6.435	80.0
C05688	L-Selenocysteine	1.0	2.585	0.387	8.0	1.63	60.0
C04691	2-Dehydro-3-deoxy-D-arabino-heptonate_7-phosphate	6.15	3.7	0.602	84.008	5.659	70.0
C04051	5-Amino-4-imidazolecarboxyamide	-8.488	-1.0	0.006	361.04	-1.008	60.0
C04053	5-Dehydro-4-deoxy-D-glucuronate	9.267	6.768	0.73	725.077	9.049	90.0
C03785	D-Tagatose_1,6-bisphosphate	-11.489	-4.807	0.01	2902.303	-4.821	80.0
C18026	(2S)-Ethylmalonyl-CoA	9.494	5.644	0.594	771.077	8.84	90.0
C01209	Malonyl-[acyl-carrier_protein]	6.672	6.312	0.946	181.421	7.423	90.0
C00217	D-Glutamate	5.615	-1.663	0.065	52.177	-1.753	50.0
C00214	Thymidine	5.102	-1.585	0.087	37.344	-1.706	50.0
C00212	Adenosine	6.819	3.087	0.453	121.405	5.78	70.0
C05840	Iminoaspartate	3.459	2.503	0.724	16.665	3.592	60.0
C00037	Glycine	8.083	4.735	0.586	297.79	7.447	90.0
C11907	4,6-Dideoxy-4-oxo-dTDP-D-glucose	-8.214	-2.322	0.017	301.935	-2.346	50.0
C00033	Acetate	8.404	2.28	0.271	343.589	6.542	80.0
C00031	D-Glucose	7.856	5.44	0.692	275.093	7.574	90.0
C00137	myo-Inositol	-7.335	-6.727	0.656	267.389	-7.455	90.0
C00135	L-Histidine	-6.2	-1.459	0.037	76.266	-1.512	50.0
C00134	Putrescine	6.009	3.585	0.597	76.401	5.51	70.0
C00133	D-Alanine	5.833	-3.807	0.246	71.001	-4.124	70.0
C00131	dATP	-6.479	2.07	0.047	93.401	-2.136	50.0
C00130	IMP	-2.346	-2.724	0.77	11.691	-3.169	60.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	-4.585	3.954	0.646	39.499	-4.673	80.0
C00042	Succinate	4.7	5.865	0.801	84.275	6.078	70.0
C00041	L-Alanine	6.79	3.773	0.556	124.331	6.11	70.0
C00040	Acyl-CoA	7.654	2.0	0.261	205.411	5.746	70.0
C00047	L-Lysine	-5.951	4.044	0.267	78.358	-4.385	80.0
C00046	RNA	-7.76	-7.208	0.682	364.618	-7.958	90.0
C00044	GTP	-8.947	-6.398	0.171	577.864	-6.626	90.0
C00049	L-Aspartate	5.666	1.818	0.321	54.299	4.123	70.0
C00048	Glyoxylate	6.975	2.115	0.303	130.133	5.302	70.0
C06481	L-Seryl-tRNA(Sec)	-8.426	-4.585	0.07	367.938	-4.682	80.0
C20440	alpha-D-Ribose_1,2-cyclic_phosphate_5-phosphate	4.248	5.755	0.738	73.005	5.752	70.0
C04236	(2S)-2-Isopropyl-3-oxosuccinate	-8.098	-4.392	0.077	294.989	-4.499	80.0
C01101	L-Ribulose_5-phosphate	9.382	6.807	0.726	779.184	9.143	90.0
C01100	L-Histidinol_phosphate	-4.524	-4.935	0.752	53.597	-5.333	80.0
C01103	Orotidine_5'-phosphate	-6.59	-3.7	0.135	109.332	-3.883	70.0
C12739	5'-Deoxy-5-fluorouridine	-7.672	-3.322	0.049	213.94	-3.391	70.0
C05122	Taurocholate	7.418	1.0	0.135	173.017	4.544	70.0
C03684	6-Pyruvoyltetrahydropterin	-3.0	-3.0	1.0	16.0	-4.0	70.0
C06007	(R)-2,3-Dihydroxy-3-methylpentanoate	-9.471	-4.833	0.04	738.17	-4.89	80.0
C06006	(S)-2-Aceto-2-hydroxybutanoate	9.809	5.687	0.58	948.54	9.103	90.0
C00227	Acetyl_phosphate	-6.781	-0.547	0.013	111.434	-0.566	60.0
C04302	N-(5-Phospho-D-ribosyl)anthranilate	-4.087	0.737	0.098	18.661	-0.872	60.0
C05345	beta-D-Fructose_6-phosphate	10.671	5.433	0.509	1673.59	9.735	90.0
C01235	alpha-D-Galactosyl-(1->3)-1D-myo-inositol	8.028	2.322	0.289	266.017	6.266	70.0
C01037	7,8-Diaminononanoate	-2.115	-2.939	0.565	12.001	-2.761	50.0
C00817	D-Altronate	-5.85	-4.03	0.283	74.016	-4.39	80.0
C03451	(R)-S-Lactoylglutathione	6.392	4.322	0.676	103.983	6.136	70.0
C00036	Oxaloacetate	10.089	5.9	0.585	1148.874	9.392	90.0
C05223	Dodecanoyl-[acyl-carrier_protein]	5.907	5.448	0.922	103.657	6.579	80.0
C05466	Glycochenodeoxycholate	7.418	1.0	0.135	173.017	4.544	70.0
C05465	Taurochenodeoxycholate	7.418	1.0	0.135	173.017	4.544	70.0
C00035	GDP	1.7	3.162	0.538	12.2	2.713	60.0
C00253	Nicotinate	-7.583	-2.0	0.021	195.739	-2.03	50.0
C00250	Pyridoxal	6.17	0.585	0.095	73.504	2.801	60.0
C00251	Chorismate	-6.188	-3.635	0.17	85.331	-3.862	70.0
C00254	Prephenate	-3.883	1.406	0.18	17.404	-1.644	50.0
C00255	Riboflavin	6.248	-3.322	0.132	86.004	-3.5	70.0
C05336	Selenomethionyl-tRNA(Met)	-8.155	-5.322	0.14	325.038	-5.511	90.0
C00259	L-Arabinose	-8.098	3.585	0.044	285.994	-3.647	70.0
C01081	Thiamin_monophosphate	-5.585	2.807	0.146	55.0	-3.003	60.0
C00559	Deoxyadenosine	4.723	2.536	0.537	32.21	4.112	70.0
C00558	D-Tagaturonate	-8.061	2.0	0.015	271.056	-2.021	50.0
C00492	Raffinose	-4.907	-1.585	0.1	33.002	-1.722	50.0
C00886	L-Alanyl-tRNA	-8.551	-5.358	0.109	416.079	-5.508	90.0
C00498	ADP-glucose	-11.558	-2.858	0.002	3022.371	-2.861	60.0
C00882	Dephospho-CoA	-7.109	-2.322	0.036	143.046	-2.373	50.0
C00881	Deoxycytidine	7.547	2.807	0.372	194.012	6.173	70.0
C00078	L-Tryptophan	5.624	-3.298	0.199	59.152	-3.56	70.0
C00079	L-Phenylalanine	3.469	-1.068	0.189	13.17	-1.318	50.0
C00073	L-Methionine	8.214	3.079	0.375	305.385	6.839	80.0
C00077	L-Ornithine	7.366	-1.918	0.023	168.742	-1.951	50.0
C00074	Phosphoenolpyruvate	-10.818	-6.07	0.037	1872.453	-6.123	90.0
C00075	UTP	9.406	7.252	0.771	830.833	9.323	90.0
C00085	D-Fructose_6-phosphate	10.541	3.228	0.306	1499.27	8.843	90.0
C00083	Malonyl-CoA	5.723	3.574	0.624	64.729	5.337	70.0
C00082	L-Tyrosine	-2.919	-2.248	0.628	12.313	-2.951	60.0
C00081	ITP	6.022	-3.322	0.154	74.984	-3.529	70.0
C04640	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine	-4.585	-4.858	0.828	53.001	-5.455	90.0
C05762	3-Oxohexadecanoyl-[acp]	-2.0	-4.373	0.193	24.721	-2.255	50.0
C00089	Sucrose	-7.443	-2.322	0.029	179.007	-2.363	50.0
C00670	sn-Glycero-3-phosphocholine	8.281	3.7	0.447	324.045	7.178	80.0
C00671	(S)-3-Methyl-2-oxopentanoic_acid	7.446	-2.965	0.045	182.177	-3.028	60.0
C01921	Glycocholate	7.418	1.0	0.135	173.017	4.544	70.0
C00673	2-Deoxy-D-ribose_5-phosphate	-3.807	3.807	1.0	27.993	-4.807	80.0
C01250	N-Acetyl-L-glutamate_5-semialdehyde	-3.7	-2.202	0.354	17.597	-2.639	50.0
C00106	Uracil	6.373	2.379	0.373	88.085	5.039	70.0
C00105	UMP	-4.71	-1.787	0.132	29.624	-1.966	50.0
C00103	D-Glucose_1-phosphate	5.816	3.935	0.677	71.632	5.599	70.0
C00100	Propanoyl-CoA	-11.255	-3.585	0.005	2455.952	-3.592	70.0
C00101	Tetrahydrofolate	-5.719	-1.026	0.039	54.71	-1.081	50.0
C15556	L-3,4-Dihydroxybutan-2-one_4-phosphate	2.807	2.807	1.0	13.997	3.807	60.0
C00108	Anthranilate	4.746	-0.848	0.067	28.634	-0.942	60.0
C00109	2-Oxobutanoate	10.04	-0.663	0.002	1054.372	-0.665	60.0
C04702	UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)	-4.322	2.807	0.35	26.999	-3.24	60.0
C05764	Hexadecanoyl-[acp]	5.907	5.768	0.976	114.498	6.805	80.0
C05761	Tetradecanoyl-[acp]	5.907	5.768	0.976	114.498	6.805	80.0
C05760	trans-Tetradec-2-enoyl-[acp]	6.15	-3.0	0.113	79.012	-3.154	60.0
C05763	trans-Hexadec-2-enoyl-[acp]	6.15	-3.0	0.113	79.012	-3.154	60.0
C03175	Shikimate_3-phosphate	-4.492	2.0	0.178	26.502	-2.236	50.0
C00361	dGDP	6.786	-2.397	0.048	115.621	-2.464	50.0
C02992	L-Threonyl-tRNA(Thr)	-8.714	-6.066	0.16	486.924	-6.28	90.0
C00179	Agmatine	5.19	-4.322	0.548	56.505	-4.952	80.0
C03090	5-Phosphoribosylamine	-7.997	1.138	0.009	257.669	-1.15	50.0
C07086	Phenylacetic_acid	9.246	4.392	0.475	628.184	8.221	90.0
C01077	O-Acetyl-L-homoserine	7.243	3.807	0.526	165.478	6.443	80.0
C01079	Protoporphyrinogen_IX	-8.574	-2.0	0.01	385.093	-2.015	50.0
C11435	4-(Cytidine_5'-diphospho)-2-C-methyl-D-erythritol	-2.585	-1.222	0.389	8.333	-1.696	50.0
C11436	2-Phospho-4-(cytidine_5'-diphospho)-2-C-methyl-D-erythritol	-2.322	0.415	0.267	6.334	-0.756	60.0
C00857	Deamino-NAD+	-6.56	3.544	0.124	106.017	-3.712	70.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	4.0	1.0	0.25	18.0	2.17	60.0
C04411	(2R,3S)-3-Isopropylmalate	2.293	2.202	0.96	9.502	3.19	60.0
C01172	beta-D-Glucose_6-phosphate	9.166	-4.928	0.053	604.877	-5.002	80.0
C01177	Inositol_1-phosphate	7.285	6.858	0.941	271.958	8.0	90.0
C00169	Carbamoyl_phosphate	-6.626	-1.841	0.036	102.353	-1.892	50.0
C18796	(2R)-2-Hydroxy-2-methylbutanenitrile	-9.95	-7.14	0.143	1130.163	-7.332	90.0
C08334	Lotaustralin	9.95	7.14	0.718	1130.163	9.664	90.0
C02412	Glycyl-tRNA(Gly)	-8.804	-8.895	0.939	923.02	-9.759	90.0
C00680	meso-2,6-Diaminoheptanedioate	-1.312	-0.237	0.475	3.661	-0.797	60.0
C00683	(S)-Methylmalonyl-CoA	9.13	5.366	0.588	601.519	8.466	90.0
C02553	L-Seryl-tRNA(Ser)	-8.426	-4.585	0.07	367.938	-4.682	80.0
C00688	dTDP-4-dehydro-6-deoxy-beta-L-mannose	6.903	-2.503	0.047	125.345	-2.57	50.0
C05378	beta-D-Fructose_1,6-bisphosphate	-9.348	5.304	0.061	691.177	-5.389	90.0
C00831	Pantetheine	6.925	3.0	0.433	129.516	5.81	70.0
C20238	(2R)-Ethylmalonyl-CoA	-9.494	-5.644	0.069	771.077	-5.741	90.0
C04349	(4S)-4,6-Dihydroxy-2,5-dioxohexanoate	-8.642	-6.768	0.273	508.472	-7.116	90.0
C01267	3-(Imidazol-4-yl)-2-oxopropyl_phosphate	2.601	3.369	0.772	16.399	3.662	60.0
C00514	D-Mannonate	4.858	2.322	0.478	34.001	4.022	70.0
C16220	3-Hydroxyoctadecanoyl-[acp]	-6.977	-5.781	0.436	180.962	-6.304	90.0
C00921	Dihydropteroate	7.109	-3.0	0.058	146.045	-3.081	60.0
C00458	dCTP	-8.959	3.35	0.02	507.851	-3.379	60.0
C04895	7,8-Dihydroneopterin_3'-triphosphate	-4.954	2.663	0.204	37.329	-2.931	60.0
C04896	5-(5-Phospho-D-ribosylaminoformimino)-1-(5-phosphoribosyl)-imidazole-4-carboxamide	7.683	-2.322	0.024	210.501	-2.357	50.0
C00455	Nicotinamide_D-ribonucleotide	-4.719	-2.322	0.19	31.337	-2.573	50.0
C00333	D-Galacturonate	9.638	5.0	0.519	828.759	8.748	90.0
C00332	Acetoacetyl-CoA	-4.469	0.485	0.063	23.546	-0.573	60.0
C00337	(S)-Dihydroorotate	-5.209	-3.907	0.406	51.99	-4.398	80.0
C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier_protein]	-6.977	-4.615	0.195	150.48	-4.871	80.0
C00631	2-Phospho-D-glycerate	2.926	0.128	0.044	8.693	-1.395	50.0
C02528	Chenodeoxycholate	-7.418	-1.0	0.012	173.017	-1.017	60.0
C01594	Linamarin	9.95	7.14	0.718	1130.163	9.664	90.0
C00208	Maltose	-8.472	-4.755	0.076	382.082	-4.861	80.0
C00204	2-Dehydro-3-deoxy-D-gluconate	8.024	4.248	0.529	279.295	7.208	80.0
C01212	UDP-N-acetylmuramoyl-L-alanine	3.781	0.807	0.213	15.496	1.726	60.0
C00025	L-Glutamate	5.922	-2.32	0.082	65.625	-2.434	50.0
C00024	Acetyl-CoA	-8.417	2.917	0.022	349.351	-2.949	60.0
C00148	L-Proline	-4.322	1.152	0.111	22.223	-1.304	50.0
C00026	2-Oxoglutarate	-4.412	3.322	0.47	31.289	-3.878	70.0
C00021	S-Adenosyl-L-homocysteine	5.597	-5.959	0.778	110.609	-6.427	90.0
C00020	AMP	-6.484	-3.459	0.123	100.508	-3.626	70.0
C00022	Pyruvate	8.769	-3.676	0.029	449.028	-3.718	70.0
C00143	5,10-Methylenetetrahydrofolate	-7.131	-1.008	0.014	142.178	-1.029	50.0
C00140	N-Acetyl-D-glucosamine	-6.87	4.248	0.162	135.971	-4.465	80.0
C00141	3-Methyl-2-oxobutanoic_acid	-7.449	-3.491	0.064	185.975	-3.581	70.0
C00029	UDP-glucose	-7.345	-5.351	0.251	203.394	-5.674	90.0
C00147	Adenine	4.295	1.644	0.383	22.755	3.123	60.0
C00144	GMP	-7.547	-4.087	0.091	204.008	-4.212	70.0
C05729	R-S-Cysteinylglycine	6.384	5.931	0.929	144.528	7.069	80.0
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	-8.282	-3.259	0.031	320.838	-3.303	60.0
C03232	3-Phosphonooxypyruvate	-0.678	4.293	0.082	21.203	-0.791	60.0
C02737	Phosphatidylserine	-0.222	1.939	0.304	5.001	-0.605	60.0
C00099	beta-Alanine	-2.0	-1.0	0.5	6.0	-1.585	50.0
C02739	1-(5-Phospho-D-ribosyl)-ATP	-6.19	2.115	0.059	77.341	-2.198	50.0
C05726	S-Substituted_L-cysteine	-6.384	-5.931	0.731	144.528	-6.722	90.0
C00700	XTP	6.022	4.248	0.705	83.984	5.889	70.0
C06250	Holo-[carboxylase]	-7.998	7.004	0.502	384.001	-7.591	90.0
C02637	3-Dehydroshikimate	2.722	-3.059	0.792	14.932	-3.563	70.0
C00314	Pyridoxine	6.17	0.737	0.119	73.67	3.137	60.0
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	6.426	3.0	0.467	93.984	5.455	70.0
C01134	Pantetheine_4'-phosphate	7.767	-1.874	0.017	221.487	-1.898	50.0
C01131	L-Rhamnulose_1-phosphate	6.524	-2.0	0.043	96.028	-2.061	50.0
C06037	Digalactosyl-diacylglycerol	8.028	2.322	0.289	266.017	6.266	70.0
C03511	L-Phenylalanyl-tRNA(Phe)	-7.873	-4.755	0.115	261.43	-4.912	80.0
C06032	D-erythro-3-Methylmalate	2.205	2.115	0.959	8.943	3.101	60.0
C03287	L-Glutamyl_5-phosphate	6.892	-1.7	0.027	122.017	-1.739	50.0
C03125	L-Cysteinyl-tRNA(Cys)	-8.114	-3.585	0.043	289.05	-3.646	70.0
C03127	L-Isoleucyl-tRNA(Ile)	-8.17	-5.492	0.156	333.02	-5.701	90.0
C03692	1,2-Diacyl-3-beta-D-galactosyl-sn-glycerol	-8.028	-2.322	0.019	266.017	-2.349	50.0
C20373	3-Hydroxyglutaryl-[acp]_methyl_ester	-6.977	-5.781	0.436	180.962	-6.304	90.0
C20372	3-Ketoglutaryl-[acp]_methyl_ester	-2.322	-4.585	0.208	29.001	-2.595	50.0
C20377	3-Hydroxypimeloyl-[acp]_methyl_ester	-6.977	-5.781	0.436	180.962	-6.304	90.0
C20376	3-Ketopimeloyl-[acp]_methyl_ester	-2.322	-4.585	0.208	29.001	-2.595	50.0
C20375	Glutaryl-[acp]_methyl_ester	8.693	5.17	0.595	449.862	8.064	90.0
C20374	Enoylglutaryl-[acp]_methyl_ester	-8.155	5.426	0.151	328.028	-5.629	90.0
C20378	Enoylpimeloyl-[acp]_methyl_ester	-8.155	5.426	0.151	328.028	-5.629	90.0
C05401	3-beta-D-Galactosyl-sn-glycerol	8.028	2.322	0.289	266.017	6.266	70.0
C00966	2-Dehydropantoate	-5.358	0.678	0.039	42.613	-0.733	60.0
C04916	N-(5'-Phospho-D-1'-ribulosylformimino)-5-amino-1-(5''-phospho-D-ribosyl)-4-imidazolecarboxamide	6.384	0.585	0.092	85.017	2.962	60.0
C00415	Dihydrofolate	6.33	0.737	0.116	82.116	3.257	60.0
C00416	Phosphatidate	-5.426	3.858	0.337	57.492	-4.277	70.0
C01005	O-Phospho-L-serine	-6.947	-5.087	0.275	157.372	-5.438	90.0
C04851	MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho-undecaprenol	7.735	-2.322	0.023	218.043	-2.355	50.0
C01279	4-Amino-5-hydroxymethyl-2-methylpyrimidine	3.17	-1.0	0.222	11.0	-1.289	50.0
C01798	D-Glucoside	9.95	7.14	0.718	1130.163	9.664	90.0
C00620	alpha-D-Ribose_1-phosphate	9.72	6.57	0.676	938.367	9.309	90.0
C04006	1D-myo-Inositol_3-phosphate	7.285	6.82	0.936	268.942	7.976	90.0
C02686	Galactosylceramide	-7.468	-1.415	0.015	179.715	-1.437	50.0
C00243	Lactose	6.516	10.522	0.619	1561.926	9.918	90.0
C00242	Guanine	-2.624	2.243	0.768	10.898	-3.065	60.0
C00245	Taurine	-7.418	1.585	0.018	174.018	-1.61	50.0
C00249	Hexadecanoic_acid	9.257	5.129	0.554	646.829	8.485	90.0
C00568	4-Aminobenzoate	5.0	3.17	0.634	41.0	4.7	70.0
C01097	D-Tagatose_6-phosphate	11.526	4.807	0.417	2976.972	10.278	90.0
C00561	Mandelonitrile	-9.95	-7.14	0.143	1130.163	-7.332	90.0
