compound_code	compound_name	butyrivibrio_mock_score	lactobacillus_mock_score	ratio	magnitude	interaction_score	percentile
C02612	(R)-2-Methylmalate	8.063	0.585	0.073	268.927	4.286	70.0
C16615	6-Methylthiopurine_5'-monophosphate_ribonucleotide	-7.864	-3.17	0.039	241.97	-3.225	50.0
C16614	6-Methylmercaptopurine	7.864	3.17	0.403	241.97	6.608	80.0
C00645	N-Acetyl-D-mannosamine	-5.895	-4.629	0.416	84.251	-5.131	80.0
C00099	beta-Alanine	-2.0	2.459	0.727	9.498	-2.789	50.0
C01931	L-Lysyl-tRNA	-7.697	-4.322	0.096	227.506	-4.455	70.0
C01528	Hydrogen_selenide	-7.547	-5.746	0.287	240.682	-6.11	80.0
C00092	D-Glucose_6-phosphate	-9.622	-6.582	0.122	883.775	-6.748	90.0
C00093	sn-Glycerol_3-phosphate	-7.965	-1.463	0.011	252.621	-1.479	60.0
C00095	D-Fructose	7.353	4.824	0.656	191.808	6.975	80.0
C00096	GDP-mannose	6.599	5.755	0.872	150.943	7.04	80.0
C00097	L-Cysteine	6.061	-5.926	0.911	127.564	-6.86	90.0
C15667	5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole	7.994	-5.524	0.18	300.952	-5.763	80.0
C00077	L-Ornithine	7.366	1.0	0.136	166.963	4.503	70.0
C06196	2'-Deoxyinosine_5'-phosphate	-6.022	-6.209	0.878	138.96	-6.932	90.0
C04633	(3R)-3-Hydroxypalmitoyl-[acyl-carrier_protein]	-6.566	-2.954	0.082	102.495	-3.067	50.0
C11948	2,6-Dimethyl-5-methylene-3-oxo-heptanoyl-CoA	4.7	2.585	0.55	31.992	4.137	60.0
C11949	3-Isopropylbut-3-enoyl-CoA	-4.7	-2.585	0.231	31.992	-2.885	50.0
C07118	Benzoyl_acetyl-CoA	4.7	2.585	0.55	31.992	4.137	60.0
C14762	13(S)-HODE	4.858	4.392	0.904	49.996	5.498	70.0
C14765	13-OxoODE	-4.858	-4.392	0.724	49.996	-5.178	80.0
C02988	L-Histidyl-tRNA(His)	-7.615	-3.0	0.041	204.039	-3.058	50.0
C03794	N6-(1,2-Dicarboxyethyl)-AMP	-3.322	-1.0	0.2	12.0	-1.263	60.0
C00163	Propanoate	9.101	6.615	0.727	647.148	8.878	90.0
C02984	L-Aspartyl-tRNA(Asp)	-7.852	-4.459	0.095	253.034	-4.59	70.0
C02987	L-Glutamyl-tRNA(Glu)	-8.103	-4.322	0.073	294.946	-4.423	70.0
C00169	Carbamoyl_phosphate	-6.626	-3.49	0.114	110.005	-3.645	60.0
C02047	L-Leucyl-tRNA	-9.0	-4.755	0.053	539.002	-4.829	70.0
C03082	4-Phospho-L-aspartate	6.8	5.44	0.8	154.842	6.953	80.0
C04377	5,10-Methylenetetrahydromethanopterin	-8.852	-5.087	0.074	496.069	-5.189	80.0
C04376	5'-Phosphoribosyl-N-formylglycinamide	6.34	2.0	0.315	85.008	4.745	70.0
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	-5.964	3.147	0.142	71.281	-3.338	50.0
C00864	Pantothenate	6.852	4.087	0.596	132.515	6.305	70.0
C01380	Ethylene_glycol	8.114	1.0	0.123	279.05	5.104	70.0
C01419	Cys-Gly	6.384	2.322	0.364	88.517	5.009	70.0
C01144	(S)-3-Hydroxybutanoyl-CoA	8.924	-2.115	0.009	490.058	-2.128	50.0
C04421	N-Succinyl-LL-2,6-diaminoheptanedioate	-6.629	2.322	0.051	103.976	-2.393	50.0
C06040	Diglucosyl-diacylglycerol	6.229	-5.755	0.72	129.014	-6.537	90.0
C03402	L-Asparaginyl-tRNA(Asn)	-8.084	-4.222	0.069	290.01	-4.318	70.0
C17962	Demethylphosphinothricin	5.392	3.17	0.588	50.991	4.906	70.0
C03406	N-(L-Arginino)succinate	-8.618	2.585	0.015	398.895	-2.607	50.0
C05512	Deoxyinosine	6.798	4.492	0.661	133.778	6.466	80.0
C07648	Thioguanine	7.864	3.17	0.403	241.97	6.608	80.0
C01962	Thiocysteine	-7.459	-3.755	0.077	189.448	-3.862	60.0
C00692	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	-6.022	4.322	0.308	84.984	-4.709	70.0
C00695	Cholic_acid	-7.418	-6.907	0.702	291.027	-7.674	90.0
C00269	CDP-diacylglycerol	4.902	-2.459	0.184	35.397	-2.703	50.0
C16219	3-Oxostearoyl-[acp]	-2.322	4.585	0.208	29.001	-2.595	50.0
C00263	L-Homoserine	-3.033	-2.738	0.815	14.857	-3.598	60.0
C00262	Hypoxanthine	-1.954	-4.239	0.205	22.757	-2.223	50.0
C00508	L-Ribulose	-8.512	-4.392	0.058	386.058	-4.473	70.0
C16216	3-Oxostearoyl-CoA	8.679	5.0	0.576	441.864	7.992	90.0
C00267	alpha-D-Glucose	7.457	4.556	0.611	199.227	6.927	80.0
C00266	Glycolaldehyde	-7.733	-1.0	0.009	214.748	-1.013	60.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	-7.6	4.0	0.082	210.012	-4.114	70.0
C00464	Mannan	-1.0	-5.755	0.037	56.004	-1.052	60.0
C00460	dUTP	7.555	5.113	0.677	222.661	7.235	80.0
C00286	dGTP	-8.041	-7.812	0.853	488.102	-8.702	90.0
C00283	Hydrogen_sulfide	6.807	7.14	0.953	253.016	7.914	90.0
C00407	L-Isoleucine	-6.282	-2.202	0.059	82.417	-2.285	50.0
C00327	L-Citrulline	8.238	2.722	0.33	308.513	6.672	80.0
C05688	L-Selenocysteine	1.0	4.17	0.24	20.001	2.262	60.0
C04051	5-Amino-4-imidazolecarboxyamide	-8.488	-5.7	0.145	411.024	-5.895	80.0
C01921	Glycocholate	7.418	6.907	0.931	291.027	8.082	90.0
C01209	Malonyl-[acyl-carrier_protein]	6.672	2.392	0.359	107.219	5.265	70.0
C02492	1,4-beta-D-Mannan	7.022	-5.755	0.416	183.971	-6.256	80.0
C00217	D-Glutamate	5.615	-0.737	0.034	50.677	-0.785	60.0
C00214	Thymidine	5.102	-6.267	0.446	111.356	-5.634	80.0
C00212	Adenosine	6.819	4.728	0.693	139.409	6.595	80.0
C16688	Sucrose_6-phosphate	7.322	-4.459	0.137	182.001	-4.645	70.0
C00036	Oxaloacetate	10.089	3.326	0.33	1099.188	8.501	90.0
C00037	Glycine	8.083	-2.095	0.016	275.432	-2.118	50.0
C11907	4,6-Dideoxy-4-oxo-dTDP-D-glucose	-8.214	-1.0	0.007	298.934	-1.01	60.0
C00033	Acetate	8.404	7.121	0.847	477.93	8.662	90.0
C00031	D-Glucose	7.856	4.102	0.522	248.854	7.022	80.0
C00137	myo-Inositol	-7.335	-4.788	0.171	189.083	-5.016	70.0
C00136	Butanoyl-CoA	9.309	-7.5	0.285	815.31	-7.862	90.0
C00135	L-Histidine	-6.2	2.17	0.061	78.017	-2.256	50.0
C00134	Putrescine	6.009	-3.17	0.14	73.401	-3.359	50.0
C00133	D-Alanine	5.833	7.647	0.763	257.441	7.617	90.0
C00131	dATP	-6.479	6.046	0.741	155.275	-6.846	90.0
C00130	IMP	-2.346	-4.15	0.286	22.837	-2.709	50.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	-4.585	1.087	0.089	26.125	-1.209	60.0
C00042	Succinate	4.7	2.322	0.494	30.992	3.937	60.0
C00041	L-Alanine	6.79	4.17	0.614	128.662	6.304	70.0
C00040	Acyl-CoA	7.654	3.478	0.454	212.554	6.594	80.0
C00047	L-Lysine	-5.951	-3.392	0.17	72.36	-3.618	60.0
C00046	RNA	-7.76	-4.694	0.119	242.651	-4.857	70.0
C00044	GTP	-8.947	-5.31	0.08	533.203	-5.422	80.0
C00049	L-Aspartate	5.666	1.69	0.298	54.0	4.01	60.0
C06481	L-Seryl-tRNA(Sec)	-8.426	-6.615	0.285	441.957	-6.977	90.0
C01101	L-Ribulose_5-phosphate	9.382	2.865	0.305	674.497	7.686	90.0
C01103	Orotidine_5'-phosphate	-6.59	1.222	0.024	98.668	-1.257	60.0
C01102	O-Phospho-L-homoserine	-5.17	-1.322	0.069	38.502	-1.419	60.0
C02888	Sorbose_1-phosphate	-4.858	-4.392	0.724	49.996	-5.178	80.0
C05122	Taurocholate	7.418	6.907	0.931	291.027	8.082	90.0
C03688	Apo-[acyl-carrier-protein]	8.155	5.322	0.653	325.038	7.729	90.0
C06006	(S)-2-Aceto-2-hydroxybutanoate	9.809	-3.459	0.012	908.019	-3.477	60.0
C00227	Acetyl_phosphate	-6.781	-6.014	0.588	174.597	-6.681	90.0
C00957	Mercaptopyruvate	3.907	8.765	0.446	450.04	7.648	90.0
C04302	N-(5-Phospho-D-ribosyl)anthranilate	-4.087	3.17	0.53	25.995	-3.783	60.0
C05345	beta-D-Fructose_6-phosphate	10.671	6.908	0.647	1750.481	10.146	90.0
C00160	Glycolate	-7.955	-4.74	0.108	274.861	-4.888	70.0
C05223	Dodecanoyl-[acyl-carrier_protein]	5.907	-2.322	0.083	65.005	-2.437	50.0
C05466	Glycochenodeoxycholate	7.418	6.907	0.931	291.027	8.082	90.0
C05465	Taurochenodeoxycholate	7.418	6.907	0.931	291.027	8.082	90.0
C00035	GDP	1.7	-6.066	0.048	70.245	-1.768	50.0
C00253	Nicotinate	-7.583	-4.931	0.159	222.245	-5.144	80.0
C00250	Pyridoxal	6.17	8.055	0.766	337.952	8.016	90.0
C00256	(R)-Lactate	7.392	4.426	0.599	189.459	6.826	80.0
C05338	4-Hydroxyphenylacetyl-CoA	4.7	2.585	0.55	31.992	4.137	60.0
C00255	Riboflavin	6.248	2.322	0.372	81.004	4.912	70.0
C05336	Selenomethionyl-tRNA(Met)	-8.155	-3.459	0.039	296.033	-3.514	60.0
C00258	D-Glycerate	4.256	2.17	0.51	23.607	3.589	60.0
C00259	L-Arabinose	-8.098	4.392	0.077	294.989	-4.499	70.0
C01083	alpha,alpha-Trehalose	-8.873	6.508	0.194	559.869	-6.764	90.0
C00559	Deoxyadenosine	4.723	-4.492	0.852	48.912	-5.381	80.0
C00491	L-Cystine	7.459	3.755	0.503	189.448	6.575	80.0
C00492	Raffinose	-4.907	-5.7	0.577	81.986	-5.564	80.0
C00886	L-Alanyl-tRNA	-8.551	-3.907	0.04	390.067	-3.964	60.0
C00498	ADP-glucose	-11.558	-5.219	0.012	3052.366	-5.237	80.0
C00882	Dephospho-CoA	-7.109	-5.044	0.239	171.036	-5.353	80.0
C00078	L-Tryptophan	5.624	3.459	0.615	60.313	5.213	70.0
C00079	L-Phenylalanine	3.469	2.883	0.831	18.45	3.939	60.0
C00072	Ascorbate	4.524	5.0	0.905	55.007	5.637	70.0
C00073	L-Methionine	8.214	-2.087	0.014	301.183	-2.107	50.0
C02282	Glutaminyl-tRNA	-8.521	4.03	0.044	383.683	-4.093	70.0
C00074	Phosphoenolpyruvate	-10.818	-8.696	0.23	2219.993	-8.994	90.0
C00075	UTP	9.406	3.126	0.332	687.134	7.835	90.0
C16186	L-Ascorbate_6-phosphate	-4.524	3.17	0.391	32.007	-3.646	60.0
C00085	D-Fructose_6-phosphate	10.541	-3.471	0.007	1500.989	-3.482	60.0
C00083	Malonyl-CoA	5.723	-3.693	0.245	65.753	-4.009	60.0
C00082	L-Tyrosine	-2.919	1.766	0.45	10.964	-2.302	50.0
C00081	ITP	6.022	5.0	0.83	96.983	6.331	70.0
C04640	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine	-4.585	-2.322	0.208	29.001	-2.595	50.0
C00089	Sucrose	-7.443	-6.683	0.59	276.757	-7.352	90.0
C04646	6-Thioinosine-5'-monophosphate	8.185	2.585	0.316	297.025	6.552	80.0
C00670	sn-Glycero-3-phosphocholine	8.281	4.0	0.483	327.049	7.304	80.0
C00671	(S)-3-Methyl-2-oxopentanoic_acid	7.446	4.314	0.579	194.259	6.814	80.0
C00672	2-Deoxy-D-ribose_1-phosphate	8.195	-4.17	0.061	311.05	-4.256	70.0
C00673	2-Deoxy-D-ribose_5-phosphate	-3.807	4.426	0.651	35.493	-4.53	70.0
C00106	Uracil	6.373	-4.878	0.355	112.288	-5.316	80.0
C00105	UMP	-4.71	0.593	0.058	27.681	-0.674	60.0
C00103	D-Glucose_1-phosphate	5.816	6.54	0.889	149.391	7.054	80.0
C00100	Propanoyl-CoA	-11.255	-10.569	0.622	3963.05	-11.266	90.0
C00101	Tetrahydrofolate	-5.719	1.485	0.053	55.472	-1.56	60.0
C13638	1-(4'-Hydroxyphenyl)ethanol	4.858	4.392	0.904	49.996	5.498	70.0
C00109	2-Oxobutanoate	10.04	8.294	0.826	1366.653	10.141	90.0
C05764	Hexadecanoyl-[acp]	5.907	-2.322	0.083	65.005	-2.437	50.0
C05761	Tetradecanoyl-[acp]	5.907	-2.322	0.083	65.005	-2.437	50.0
C05760	trans-Tetradec-2-enoyl-[acp]	6.15	-3.459	0.155	82.009	-3.667	60.0
C05763	trans-Hexadec-2-enoyl-[acp]	6.15	-3.459	0.155	82.009	-3.667	60.0
C05762	3-Oxohexadecanoyl-[acp]	-2.0	4.19	0.219	22.252	-2.286	50.0
C00361	dGDP	6.786	7.793	0.871	332.137	8.176	90.0
C02992	L-Threonyl-tRNA(Thr)	-8.714	-3.907	0.036	434.93	-3.958	60.0
C03090	5-Phosphoribosylamine	-7.997	2.678	0.025	261.868	-2.714	50.0
C07086	Phenylacetic_acid	9.246	-4.807	0.046	635.181	-4.872	70.0
C11435	4-(Cytidine_5'-diphospho)-2-C-methyl-D-erythritol	-2.585	2.0	0.667	10.0	-2.737	50.0
C11436	2-Phospho-4-(cytidine_5'-diphospho)-2-C-methyl-D-erythritol	-2.322	-2.0	0.8	9.0	-2.848	50.0
C00857	Deamino-NAD+	-6.56	-1.0	0.021	96.353	-1.03	60.0
C04419	Carboxybiotin-carboxyl-carrier_protein	7.96	4.196	0.527	267.328	7.139	80.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	4.0	3.17	0.792	25.0	4.308	70.0
C01172	beta-D-Glucose_6-phosphate	9.166	-4.737	0.046	601.102	-4.802	70.0
C01177	Inositol_1-phosphate	7.285	4.17	0.572	173.957	6.638	80.0
C03892	Phosphatidylglycerophosphate	-7.637	-3.585	0.06	211.052	-3.669	60.0
C02412	Glycyl-tRNA(Gly)	-8.804	-3.17	0.02	455.96	-3.199	50.0
C00680	meso-2,6-Diaminoheptanedioate	-1.312	1.485	0.887	5.282	-2.228	50.0
C02553	L-Seryl-tRNA(Ser)	-8.426	-6.615	0.285	441.957	-6.977	90.0
C00688	dTDP-4-dehydro-6-deoxy-beta-L-mannose	6.903	-1.222	0.019	122.01	-1.25	60.0
C05378	beta-D-Fructose_1,6-bisphosphate	-9.348	10.843	0.355	2488.498	-9.786	90.0
C00831	Pantetheine	6.925	4.087	0.59	138.51	6.353	70.0
C02554	L-Valyl-tRNA(Val)	-8.443	-4.524	0.066	371.021	-4.616	70.0
C00512	S-Benzoate_coenzyme_A	-4.7	-2.585	0.231	31.992	-2.885	50.0
C16220	3-Hydroxyoctadecanoyl-[acp]	-6.977	-3.322	0.079	135.976	-3.432	50.0
C00921	Dihydropteroate	7.109	3.17	0.446	147.046	6.035	70.0
C00458	dCTP	-8.959	-6.758	0.217	605.888	-7.042	90.0
C04895	7,8-Dihydroneopterin_3'-triphosphate	-4.954	1.874	0.118	34.661	-2.035	50.0
C00455	Nicotinamide_D-ribonucleotide	-4.719	3.322	0.38	36.337	-3.786	60.0
C00330	Deoxyguanosine	5.923	5.585	0.943	108.675	6.679	80.0
C00332	Acetoacetyl-CoA	-4.469	1.417	0.121	24.817	-1.581	60.0
C00337	(S)-Dihydroorotate	-5.209	-1.874	0.099	40.654	-2.01	50.0
C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier_protein]	-6.977	-3.322	0.079	135.976	-3.432	50.0
C00631	2-Phospho-D-glycerate	2.926	-5.885	0.129	66.696	-3.101	50.0
C02528	Chenodeoxycholate	-7.418	-6.907	0.702	291.027	-7.674	90.0
C04046	3-D-Glucosyl-1,2-diacylglycerol	1.0	4.196	0.238	20.328	2.276	60.0
C00208	Maltose	-8.472	6.022	0.183	420.063	-6.264	80.0
C01212	UDP-N-acetylmuramoyl-L-alanine	3.781	3.524	0.932	25.25	4.557	70.0
C00025	L-Glutamate	5.922	3.851	0.65	75.062	5.609	70.0
C00024	Acetyl-CoA	-8.417	-8.24	0.885	644.132	-9.154	90.0
C00148	L-Proline	-4.322	2.536	0.29	25.801	-2.903	50.0
C00026	2-Oxoglutarate	-4.412	3.981	0.742	37.079	-4.782	70.0
C00021	S-Adenosyl-L-homocysteine	5.597	4.19	0.749	66.654	5.641	70.0
C00020	AMP	-6.484	3.771	0.153	103.163	-3.976	60.0
C00022	Pyruvate	8.769	-5.362	0.094	477.373	-5.492	80.0
C00143	5,10-Methylenetetrahydrofolate	-7.131	-1.356	0.018	142.726	-1.382	60.0
C00141	3-Methyl-2-oxobutanoic_acid	-7.449	2.3	0.028	179.657	-2.34	50.0
C00029	UDP-glucose	-7.345	-6.268	0.474	239.644	-6.828	90.0
C00147	Adenine	4.295	2.121	0.494	23.98	3.566	60.0
C00144	GMP	-7.547	3.241	0.051	196.468	-3.312	50.0
C05729	R-S-Cysteinylglycine	6.384	2.322	0.364	88.517	5.009	70.0
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	-8.282	-5.141	0.113	346.551	-5.296	80.0
C03232	3-Phosphonooxypyruvate	-0.678	2.678	0.25	8.0	-1.0	60.0
C05726	S-Substituted_L-cysteine	-6.384	-2.322	0.06	88.517	-2.406	50.0
C00700	XTP	6.022	6.209	0.97	138.96	7.074	80.0
C06250	Holo-[carboxylase]	-7.998	-3.868	0.057	270.246	-3.948	60.0
C00314	Pyridoxine	6.17	8.055	0.766	337.952	8.016	90.0
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	6.426	-2.0	0.047	89.984	-2.066	50.0
C01134	Pantetheine_4'-phosphate	7.767	5.15	0.663	253.327	7.392	80.0
C06037	Digalactosyl-diacylglycerol	8.028	6.954	0.866	385.0	8.382	90.0
C03511	L-Phenylalanyl-tRNA(Phe)	-7.873	-4.728	0.113	260.929	-4.883	70.0
C03512	L-Tryptophanyl-tRNA(Trp)	-8.2	-3.459	0.037	305.063	-3.512	60.0
C03287	L-Glutamyl_5-phosphate	6.892	2.644	0.384	125.018	5.584	70.0
C03125	L-Cysteinyl-tRNA(Cys)	-8.114	-3.459	0.04	288.046	-3.515	60.0
C03127	L-Isoleucyl-tRNA(Ile)	-8.17	-4.087	0.059	305.01	-4.17	70.0
C03692	1,2-Diacyl-3-beta-D-galactosyl-sn-glycerol	-8.028	-6.954	0.475	385.0	-7.515	90.0
C20373	3-Hydroxyglutaryl-[acp]_methyl_ester	-6.977	-3.322	0.079	135.976	-3.432	50.0
C20372	3-Ketoglutaryl-[acp]_methyl_ester	-2.322	4.585	0.208	29.001	-2.595	50.0
C20377	3-Hydroxypimeloyl-[acp]_methyl_ester	-6.977	-3.322	0.079	135.976	-3.432	50.0
C20376	3-Ketopimeloyl-[acp]_methyl_ester	-2.322	4.585	0.208	29.001	-2.595	50.0
C20375	Glutaryl-[acp]_methyl_ester	8.693	-2.322	0.012	418.861	-2.339	50.0
C20374	Enoylglutaryl-[acp]_methyl_ester	-8.155	-3.459	0.039	296.033	-3.514	60.0
C05596	p-Hydroxyphenylacetylglycine	-4.7	-2.585	0.231	31.992	-2.885	50.0
C20378	Enoylpimeloyl-[acp]_methyl_ester	-8.155	-3.459	0.039	296.033	-3.514	60.0
C05980	Cardiolipin	-7.87	-2.807	0.03	240.939	-2.85	50.0
C04257	N-Acetyl-D-mannosamine_6-phosphate	7.861	6.304	0.802	311.498	7.965	90.0
C00415	Dihydrofolate	6.33	-1.078	0.026	82.56	-1.115	60.0
C00416	Phosphatidate	-5.426	-4.163	0.417	60.906	-4.666	70.0
C17949	N-Acetyldemethylphosphinothricin	-5.392	-3.17	0.214	50.991	-3.45	60.0
C04851	MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho-undecaprenol	7.735	1.585	0.205	216.043	5.468	70.0
C10700	4'-Hydroxyacetophenone	-4.858	-4.392	0.724	49.996	-5.178	80.0
C04006	1D-myo-Inositol_3-phosphate	7.285	4.17	0.572	173.957	6.638	80.0
C02686	Galactosylceramide	-7.468	-6.066	0.378	244.044	-6.529	90.0
C00243	Lactose	6.516	5.799	0.89	147.196	7.033	80.0
C00242	Guanine	-2.624	-4.353	0.302	26.6	-3.004	50.0
C00245	Taurine	-7.418	-6.907	0.702	291.027	-7.674	90.0
C01097	D-Tagatose_6-phosphate	11.526	8.275	0.718	3258.738	11.192	90.0
C01096	Sorbitol_6-phosphate	4.858	-6.358	0.354	111.026	-5.295	80.0
C01094	D-Fructose_1-phosphate	10.353	11.034	0.938	3404.705	11.641	90.0
C00068	Thiamin_diphosphate	4.777	-5.203	0.744	64.252	-5.58	80.0
C00342	Thioredoxin	9.0	-5.532	0.09	558.27	-5.657	80.0
C00343	Thioredoxin_disulfide	-9.0	5.946	0.12	573.649	-6.11	80.0
C00345	6-Phospho-D-gluconate	-8.145	-6.17	0.254	355.071	-6.497	80.0
C05684	Selenite	7.547	6.966	0.923	312.032	8.17	90.0
C00063	CTP	9.067	5.654	0.624	586.691	8.515	90.0
C00062	L-Arginine	-5.044	-3.386	0.317	43.445	-3.783	60.0
C00065	L-Serine	-7.009	-2.677	0.05	135.196	-2.747	50.0
C00064	L-Glutamine	-7.294	-2.58	0.038	162.912	-2.634	50.0
C00066	tRNA	6.943	2.585	0.372	129.042	5.586	70.0
C16633	5-Fluorouridine	7.577	2.585	0.341	196.943	6.07	70.0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	3.963	3.781	0.954	29.341	4.807	70.0
C16634	5-Fluorouridine_monophosphate	-8.464	-2.585	0.017	359.117	-2.609	50.0
C19673	Malonyl-[acp]_methyl_ester	8.693	3.17	0.365	422.861	7.269	80.0
C04079	N-((R)-Pantothenoyl)-L-cysteine	6.925	4.087	0.59	138.51	6.353	70.0
C00668	alpha-D-Glucose_6-phosphate	8.772	-6.343	0.186	518.332	-6.589	90.0
C00666	LL-2,6-Diaminoheptanedioate	7.073	-3.928	0.113	149.865	-4.083	70.0
C00663	beta-D-Glucose_1-phosphate	4.322	-3.7	0.65	32.997	-4.422	70.0
C02163	L-Arginyl-tRNA(Arg)	-7.435	-2.585	0.035	179.045	-2.634	50.0
C00114	Choline	-8.281	-4.0	0.051	327.049	-4.072	60.0
C00117	D-Ribose_5-phosphate	-10.034	5.661	0.048	1099.017	-5.729	80.0
C00116	Glycerol	7.061	-3.719	0.099	146.696	-3.855	60.0
C00111	Glycerone_phosphate	-6.386	7.797	0.376	306.031	-6.847	90.0
C02380	6-Mercaptopurine	7.864	3.17	0.403	241.97	6.608	80.0
C00112	CDP	-7.547	-1.503	0.015	189.848	-1.525	60.0
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	-7.049	-6.983	0.955	258.923	-7.95	90.0
C00118	D-Glyceraldehyde_3-phosphate	5.968	-9.982	0.062	1073.899	-6.055	80.0
C03492	D-4'-Phosphopantothenate	-6.721	-2.0	0.038	109.493	-2.054	50.0
C05750	3-Oxooctanoyl-[acp]	-2.0	4.19	0.219	22.252	-2.286	50.0
C05751	trans-Oct-2-enoyl-[acp]	6.15	-3.459	0.155	82.009	-3.667	60.0
C05752	Octanoyl-[acp]	5.907	-2.322	0.083	65.005	-2.437	50.0
C05753	3-Oxodecanoyl-[acp]	-2.0	4.19	0.219	22.252	-2.286	50.0
C02067	Pseudouridine	7.435	5.0	0.672	205.045	7.107	80.0
C05755	Decanoyl-[acp]	5.907	-2.322	0.083	65.005	-2.437	50.0
C05756	3-Oxododecanoyl-[acp]	-2.322	4.585	0.208	29.001	-2.595	50.0
C05757	(R)-3-Hydroxydodecanoyl-[acp]	-6.977	-3.322	0.079	135.976	-3.432	50.0
C05758	trans-Dodec-2-enoyl-[acp]	6.15	-3.459	0.155	82.009	-3.667	60.0
C05759	3-Oxotetradecanoyl-[acp]	-2.322	4.585	0.208	29.001	-2.595	50.0
C01613	Stachyose	7.858	6.19	0.788	305.012	7.908	90.0
C00188	L-Threonine	-3.577	-3.361	0.861	22.208	-4.257	70.0
C00189	Ethanolamine	-8.281	-4.0	0.051	327.049	-4.072	60.0
