compound_code	compound_name	parabacteroides_mock_score	eubacterium_mock_score	ratio	magnitude	interaction_score	percentile
C00033	Acetate	8.614	4.598	0.534	416.025	7.795	80.0
C00031	D-Glucose	9.843	-3.672	0.014	931.16	-3.692	60.0
C00137	myo-Inositol	-7.745	-3.644	0.058	227.026	-3.726	60.0
C00135	L-Histidine	7.324	1.222	0.167	162.563	4.761	60.0
C00134	Putrescine	-7.562	1.585	0.016	191.968	-1.608	50.0
C00133	D-Alanine	8.322	4.524	0.544	343.023	7.543	70.0
C00131	dATP	-4.807	-2.322	0.179	32.993	-2.559	50.0
C00130	IMP	-8.226	1.951	0.013	303.281	-1.97	50.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	8.821	-1.524	0.006	455.133	-1.533	50.0
C00042	Succinate	10.491	4.17	0.397	1457.15	9.178	90.0
C00041	L-Alanine	7.966	4.392	0.551	271.033	7.223	70.0
C00040	Acyl-CoA	7.375	4.907	0.665	195.998	7.027	70.0
C00047	L-Lysine	7.111	3.807	0.535	152.234	6.349	70.0
C00046	RNA	-8.982	-5.087	0.067	539.641	-5.181	80.0
C00044	GTP	-9.432	-5.884	0.085	749.796	-6.002	90.0
C00049	L-Aspartate	5.764	3.232	0.561	63.738	5.159	60.0
C00048	Glyoxylate	-0.874	3.954	0.118	17.331	-1.035	50.0
C06481	L-Seryl-tRNA(Sec)	-9.987	-5.807	0.055	1070.8	-5.884	90.0
C04236	(2S)-2-Isopropyl-3-oxosuccinate	-8.718	-5.129	0.083	456.088	-5.244	80.0
C01101	L-Ribulose_5-phosphate	9.168	4.0	0.436	591.232	8.011	80.0
C01100	L-Histidinol_phosphate	-4.776	-3.459	0.401	38.395	-3.946	60.0
C01103	Orotidine_5'-phosphate	5.866	-6.052	0.879	124.672	-6.776	90.0
C05122	Taurocholate	7.762	3.17	0.408	226.068	6.529	70.0
C06007	(R)-2,3-Dihydroxy-3-methylpentanoate	-8.552	2.585	0.016	381.326	-2.608	50.0
C06006	(S)-2-Aceto-2-hydroxybutanoate	9.054	4.129	0.456	549.024	7.968	80.0
C04302	N-(5-Phospho-D-ribosyl)anthranilate	-4.03	1.0	0.122	18.336	-1.167	50.0
C05345	beta-D-Fructose_6-phosphate	6.678	6.025	0.902	167.514	7.24	70.0
C03512	L-Tryptophanyl-tRNA(Trp)	-8.945	-5.7	0.105	544.833	-5.845	90.0
C00817	D-Altronate	-7.612	2.115	0.022	199.964	-2.147	50.0
C05840	Iminoaspartate	4.459	3.907	0.876	36.995	5.019	60.0
C00387	Guanosine	9.618	4.087	0.425	802.785	8.414	80.0
C05466	Glycochenodeoxycholate	7.762	3.17	0.408	226.068	6.529	70.0
C05841	Nicotinate_D-ribonucleoside	9.618	4.087	0.425	802.785	8.414	80.0
C11907	4,6-Dideoxy-4-oxo-dTDP-D-glucose	-7.907	4.807	0.117	268.011	-4.966	80.0
C00253	Nicotinate	-8.162	-4.459	0.077	308.416	-4.566	70.0
C00250	Pyridoxal	1.0	4.17	0.24	20.001	2.262	50.0
C00251	Chorismate	-7.372	3.087	0.051	174.148	-3.159	60.0
C00254	Prephenate	-6.372	-1.678	0.039	86.025	-1.733	50.0
C00255	Riboflavin	-7.57	5.392	0.221	232.01	-5.68	80.0
C05336	Selenomethionyl-tRNA(Met)	-9.109	-5.7	0.094	604.166	-5.83	80.0
C00259	L-Arabinose	-7.741	-5.781	0.257	268.917	-6.111	90.0
C01081	Thiamin_monophosphate	5.322	-2.585	0.15	46.002	-2.787	50.0
C01083	alpha,alpha-Trehalose	-1.0	-3.202	0.217	11.202	-1.284	50.0
C00559	Deoxyadenosine	9.396	3.17	0.337	682.718	7.848	80.0
C00491	L-Cystine	9.486	7.807	0.823	941.03	9.597	90.0
C00493	Shikimate	3.544	2.243	0.633	16.398	3.375	60.0
C00886	L-Alanyl-tRNA	-10.025	-5.755	0.052	1095.903	-5.828	80.0
C00498	ADP-glucose	8.323	-7.105	0.43	457.901	-7.621	90.0
C00882	Dephospho-CoA	1.585	-4.524	0.13	26.007	-1.762	50.0
C00881	Deoxycytidine	7.524	4.322	0.574	204.057	6.873	70.0
C00078	L-Tryptophan	7.31	4.437	0.607	180.343	6.774	70.0
C00079	L-Phenylalanine	6.981	3.017	0.432	134.42	5.86	70.0
C00073	L-Methionine	7.384	3.661	0.496	179.684	6.477	70.0
C00077	L-Ornithine	-6.61	-1.585	0.031	100.681	-1.629	50.0
C00074	Phosphoenolpyruvate	-10.671	-6.981	0.077	1756.714	-7.089	90.0
C00075	UTP	9.82	6.969	0.71	1029.167	9.512	90.0
C00085	D-Fructose_6-phosphate	9.791	7.107	0.726	1023.754	9.537	90.0
C00082	L-Tyrosine	-5.466	-0.553	0.033	45.668	-0.6	50.0
C00081	ITP	-7.977	4.17	0.071	269.952	-4.27	70.0
C04640	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine	-6.833	-6.129	0.614	183.995	-6.82	90.0
C03175	Shikimate_3-phosphate	5.0	-2.7	0.203	38.498	-2.967	50.0
C00089	Sucrose	-7.562	-5.931	0.323	249.979	-6.335	90.0
C04646	6-Thioinosine-5'-monophosphate	8.077	5.426	0.672	313.027	7.716	80.0
C02218	Dehydroalanine	-8.718	-1.585	0.007	424.095	-1.595	50.0
C00671	(S)-3-Methyl-2-oxopentanoic_acid	8.111	2.29	0.282	281.365	6.312	70.0
C01921	Glycocholate	7.762	3.17	0.408	226.068	6.529	70.0
C00673	2-Deoxy-D-ribose_5-phosphate	10.115	-1.585	0.003	1111.967	-1.589	50.0
C01250	N-Acetyl-L-glutamate_5-semialdehyde	-8.193	2.678	0.022	299.043	-2.709	50.0
C00106	Uracil	-7.541	2.888	0.04	193.64	-2.944	50.0
C00105	UMP	-6.14	-0.065	0.015	71.568	-0.086	50.0
C00103	D-Glucose_1-phosphate	9.864	2.481	0.252	937.463	7.881	80.0
C00100	Propanoyl-CoA	-9.295	-3.565	0.019	640.0	-3.592	60.0
C00101	Tetrahydrofolate	2.23	-2.655	0.745	10.99	-3.033	60.0
C00270	N-Acetylneuraminate	8.326	1.585	0.19	323.905	5.946	70.0
C00109	2-Oxobutanoate	-6.205	3.158	0.121	82.698	-3.323	60.0
C04702	UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)	7.531	2.0	0.266	188.951	5.649	60.0
C05764	Hexadecanoyl-[acp]	8.667	1.0	0.115	408.469	5.559	60.0
C05761	Tetradecanoyl-[acp]	8.667	1.0	0.115	408.469	5.559	60.0
C05760	trans-Tetradec-2-enoyl-[acp]	7.317	1.585	0.217	162.454	5.137	60.0
C05763	trans-Hexadec-2-enoyl-[acp]	7.317	1.585	0.217	162.454	5.137	60.0
C05762	3-Oxohexadecanoyl-[acp]	9.041	3.931	0.435	542.012	7.881	80.0
C00361	dGDP	6.185	3.17	0.513	81.757	5.389	60.0
C02992	L-Threonyl-tRNA(Thr)	-9.617	-6.209	0.094	859.222	-6.339	90.0
C00179	Agmatine	-9.512	2.322	0.007	735.125	-2.332	50.0
C03090	5-Phosphoribosylamine	-6.926	-2.678	0.053	128.0	-2.752	50.0
C07086	Phenylacetic_acid	3.585	5.524	0.649	58.014	5.235	60.0
C01077	O-Acetyl-L-homoserine	8.553	4.954	0.579	406.582	7.88	80.0
C01079	Protoporphyrinogen_IX	-7.82	-4.644	0.111	250.974	-4.795	80.0
C11435	4-(Cytidine_5'-diphospho)-2-C-methyl-D-erythritol	3.485	0.678	0.195	12.797	1.316	50.0
C11436	2-Phospho-4-(cytidine_5'-diphospho)-2-C-methyl-D-erythritol	-4.752	-2.053	0.154	31.096	-2.26	50.0
C11437	1-Deoxy-D-xylulose_5-phosphate	-5.946	0.263	0.019	62.849	-0.291	50.0
C01179	3-(4-Hydroxyphenyl)pyruvate	4.254	0.063	0.015	20.125	-1.746	50.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	-7.781	1.0	0.009	221.945	-1.013	50.0
C04411	(2R,3S)-3-Isopropylmalate	-5.186	2.678	0.176	42.803	-2.912	50.0
C01172	beta-D-Glucose_6-phosphate	-4.585	4.644	0.96	49.003	-5.556	80.0
C01177	Inositol_1-phosphate	7.476	1.0	0.134	180.033	4.59	60.0
C00169	Carbamoyl_phosphate	-8.773	-4.678	0.059	463.057	-4.76	70.0
C18796	(2R)-2-Hydroxy-2-methylbutanenitrile	-10.551	-5.524	0.031	1546.277	-5.568	80.0
C08334	Lotaustralin	10.551	5.524	0.524	1546.277	9.661	90.0
C03410	N-Glycoloyl-neuraminate	8.91	1.585	0.178	484.036	6.428	70.0
C03892	Phosphatidylglycerophosphate	-4.459	-4.17	0.818	39.994	-5.033	80.0
C02412	Glycyl-tRNA(Gly)	-8.743	-6.392	0.196	512.437	-6.65	90.0
C00680	meso-2,6-Diaminoheptanedioate	4.545	4.918	0.924	53.576	5.63	60.0
C02553	L-Seryl-tRNA(Ser)	-9.989	-5.807	0.055	1072.208	-5.884	90.0
C00688	dTDP-4-dehydro-6-deoxy-beta-L-mannose	4.565	-4.524	0.972	46.677	-5.504	80.0
C05378	beta-D-Fructose_1,6-bisphosphate	10.035	3.672	0.366	1061.892	8.602	90.0
C00831	Pantetheine	8.725	3.907	0.448	438.144	7.616	70.0
C04349	(4S)-4,6-Dihydroxy-2,5-dioxohexanoate	-10.043	-2.7	0.006	1061.478	-2.709	50.0
C16220	3-Hydroxyoctadecanoyl-[acp]	-10.617	-4.524	0.015	1593.498	-4.545	70.0
C00921	Dihydropteroate	-5.931	3.17	0.148	70.012	-3.369	60.0
C00458	dCTP	-6.427	-5.327	0.467	126.185	-5.879	90.0
C00459	dTTP	-8.832	4.312	0.044	475.582	-4.374	70.0
C04896	5-(5-Phospho-D-ribosylaminoformimino)-1-(5-phosphoribosyl)-imidazole-4-carboxamide	6.229	2.322	0.373	80.01	4.898	60.0
C00455	Nicotinamide_D-ribonucleotide	5.728	3.755	0.656	66.504	5.446	60.0
C00354	D-Fructose_1,6-bisphosphate	-8.416	-4.605	0.071	365.897	-4.704	70.0
C00330	Deoxyguanosine	8.17	2.104	0.258	292.314	6.234	70.0
C00333	D-Galacturonate	9.931	6.17	0.621	1048.181	9.347	90.0
C00337	(S)-Dihydroorotate	3.7	1.874	0.506	16.662	3.077	60.0
C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier_protein]	-10.203	-4.524	0.02	1201.723	-4.552	70.0
C01269	5-O-(1-Carboxyvinyl)-3-phosphoshikimate	-5.392	-2.7	0.155	48.489	-2.908	50.0
C00636	D-Mannose_1-phosphate	-8.1	3.095	0.031	282.919	-3.139	60.0
C00631	2-Phospho-D-glycerate	-6.391	0.249	0.014	85.112	-0.269	50.0
C02528	Chenodeoxycholate	-7.762	-3.17	0.041	226.068	-3.229	60.0
C01594	Linamarin	10.551	5.524	0.524	1546.277	9.661	90.0
C16221	(2E)-Octadecenoyl-[acp]	9.106	1.585	0.174	554.035	6.591	70.0
C00208	Maltose	-9.655	-3.0	0.01	814.203	-3.014	50.0
C00204	2-Dehydro-3-deoxy-D-gluconate	9.289	4.322	0.465	645.559	8.231	80.0
C01212	UDP-N-acetylmuramoyl-L-alanine	7.726	-2.0	0.019	215.718	-2.027	50.0
C00025	L-Glutamate	3.367	-4.875	0.352	39.661	-3.802	60.0
C00024	Acetyl-CoA	10.672	-4.381	0.013	1652.355	-4.399	70.0
C00148	L-Proline	7.538	3.379	0.448	196.254	6.459	70.0
C00026	2-Oxoglutarate	5.085	-4.807	0.825	61.935	-5.675	80.0
C00021	S-Adenosyl-L-homocysteine	-5.828	-4.555	0.414	80.314	-5.055	80.0
C00020	AMP	-7.908	-3.565	0.049	252.02	-3.634	60.0
C00022	Pyruvate	-7.12	3.299	0.071	148.944	-3.398	60.0
C00143	5,10-Methylenetetrahydrofolate	-8.635	-1.312	0.006	400.035	-1.321	50.0
C00140	N-Acetyl-D-glucosamine	6.82	-1.585	0.027	115.986	-1.623	50.0
C00141	3-Methyl-2-oxobutanoic_acid	-6.226	-3.904	0.2	89.824	-4.167	70.0
C00029	UDP-glucose	8.82	-1.131	0.005	454.134	-1.138	50.0
C00147	Adenine	-6.608	2.644	0.064	103.796	-2.734	50.0
C00144	GMP	-8.565	-2.725	0.017	385.335	-2.75	50.0
C05729	R-S-Cysteinylglycine	10.589	3.907	0.369	1555.306	9.165	90.0
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	-5.931	-4.038	0.269	77.438	-4.382	70.0
C04633	(3R)-3-Hydroxypalmitoyl-[acyl-carrier_protein]	-9.981	-4.129	0.017	1028.099	-4.154	70.0
C02739	1-(5-Phospho-D-ribosyl)-ATP	-4.943	-3.624	0.401	43.089	-4.11	60.0
C05726	S-Substituted_L-cysteine	-10.589	-3.907	0.01	1555.306	-3.921	60.0
C00700	XTP	9.543	4.17	0.437	763.984	8.383	80.0
C06250	Holo-[carboxylase]	-8.214	1.415	0.009	299.601	-1.428	50.0
C02637	3-Dehydroshikimate	6.639	-1.585	0.03	102.664	-1.628	50.0
C01528	Hydrogen_selenide	-8.907	-4.17	0.037	498.037	-4.223	70.0
C04752	2-Methyl-4-amino-5-hydroxymethylpyrimidine_diphosphate	8.165	2.0	0.245	291.019	6.156	70.0
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	8.604	4.17	0.485	407.102	7.624	80.0
C01134	Pantetheine_4'-phosphate	-7.18	4.79	0.191	172.674	-5.042	80.0
C00092	D-Glucose_6-phosphate	9.952	-6.194	0.074	1063.703	-6.297	90.0
C06037	Digalactosyl-diacylglycerol	9.18	6.022	0.656	645.02	8.725	90.0
C03511	L-Phenylalanyl-tRNA(Phe)	-9.641	-5.6	0.061	846.921	-5.685	80.0
C06032	D-erythro-3-Methylmalate	-5.078	2.585	0.178	39.778	-2.821	50.0
C03287	L-Glutamyl_5-phosphate	-3.931	-3.781	0.901	28.999	-4.708	70.0
C03125	L-Cysteinyl-tRNA(Cys)	-9.814	-3.807	0.016	914.133	-3.829	60.0
C03127	L-Isoleucyl-tRNA(Ile)	-9.426	-6.15	0.103	758.886	-6.292	90.0
C03692	1,2-Diacyl-3-beta-D-galactosyl-sn-glycerol	-9.18	-6.022	0.112	645.02	-6.175	90.0
C03691	CMP-N-glycoloylneuraminate	-8.91	-1.585	0.006	484.036	-1.594	50.0
C20373	3-Hydroxyglutaryl-[acp]_methyl_ester	-10.617	-4.524	0.015	1593.498	-4.545	70.0
C20372	3-Ketoglutaryl-[acp]_methyl_ester	9.263	4.322	0.467	634.386	8.209	80.0
C20377	3-Hydroxypimeloyl-[acp]_methyl_ester	-10.617	-4.524	0.015	1593.498	-4.545	70.0
C20376	3-Ketopimeloyl-[acp]_methyl_ester	9.263	4.322	0.467	634.386	8.209	80.0
C20375	Glutaryl-[acp]_methyl_ester	8.667	4.858	0.561	435.469	7.931	80.0
C20374	Enoylglutaryl-[acp]_methyl_ester	9.106	-4.7	0.047	577.027	-4.766	70.0
C20378	Enoylpimeloyl-[acp]_methyl_ester	9.106	-4.7	0.047	577.027	-4.766	70.0
C05401	3-beta-D-Galactosyl-sn-glycerol	9.18	6.022	0.656	645.02	8.725	90.0
C04916	N-(5'-Phospho-D-1'-ribulosylformimino)-5-amino-1-(5''-phospho-D-ribosyl)-4-imidazolecarboxamide	-6.011	4.833	0.442	92.992	-5.361	80.0
C00415	Dihydrofolate	-4.605	-3.17	0.37	33.336	-3.624	60.0
C00416	Phosphatidate	8.021	5.363	0.669	300.909	7.652	80.0
C17949	N-Acetyldemethylphosphinothricin	-3.7	-3.907	0.866	27.997	-4.6	70.0
C04851	MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho-undecaprenol	-6.304	4.0	0.203	95.012	-4.266	70.0
C01279	4-Amino-5-hydroxymethyl-2-methylpyrimidine	6.575	1.585	0.241	98.339	4.567	60.0
C01798	D-Glucoside	10.551	5.524	0.524	1546.277	9.661	90.0
C00620	alpha-D-Ribose_1-phosphate	11.736	6.492	0.553	3501.059	10.919	90.0
C04006	1D-myo-Inositol_3-phosphate	-11.604	1.0	0.001	3114.806	-1.001	50.0
C02686	Galactosylceramide	-8.333	-6.022	0.202	387.449	-6.287	90.0
C00243	Lactose	11.461	5.129	0.448	2854.056	10.319	90.0
C00242	Guanine	-8.595	-2.907	0.019	394.182	-2.935	50.0
C00245	Taurine	-6.486	-3.17	0.1	98.636	-3.308	60.0
C18172	Carboxyspermidine	8.566	4.7	0.549	404.978	7.796	80.0
C18174	Carboxynorspermidine	8.566	4.7	0.549	404.978	7.796	80.0
C01099	L-Fuculose_1-phosphate	-4.248	3.322	0.526	29.001	-3.932	60.0
C01097	D-Tagatose_6-phosphate	9.329	6.943	0.744	766.186	9.155	90.0
C00561	Mandelonitrile	-10.551	-5.524	0.031	1546.277	-5.568	80.0
C01094	D-Fructose_1-phosphate	10.599	6.629	0.625	1649.994	10.011	90.0
C01721	L-Fuculose	-9.651	-3.0	0.01	811.971	-3.014	50.0
C00068	Thiamin_diphosphate	4.229	0.479	0.113	20.146	1.19	50.0
C00342	Thioredoxin	-7.406	3.807	0.083	183.597	-3.921	60.0
C00343	Thioredoxin_disulfide	7.322	-3.807	0.087	174.005	-3.928	60.0
C00344	Phosphatidylglycerol	7.087	3.807	0.537	149.953	6.332	70.0
C05684	Selenite	9.441	5.524	0.585	741.077	8.76	90.0
C05688	L-Selenocysteine	8.547	2.0	0.234	378.027	6.467	70.0
C05689	Se-Methyl-L-selenocysteine	8.547	2.0	0.234	378.027	6.467	70.0
C00065	L-Serine	-7.847	-3.92	0.066	245.378	-4.012	60.0
C00064	L-Glutamine	-8.294	-3.033	0.026	322.05	-3.07	60.0
C00066	tRNA	8.98	3.807	0.424	518.948	7.781	80.0
C16633	5-Fluorouridine	8.725	5.044	0.578	456.134	8.043	80.0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	8.518	-1.263	0.007	368.984	-1.272	50.0
C16635	5'-Deoxy-5-fluorocytidine	8.516	4.644	0.545	391.079	7.737	80.0
C16634	5-Fluorouridine_monophosphate	-9.773	-5.044	0.038	907.907	-5.097	80.0
C19673	Malonyl-[acp]_methyl_ester	9.691	4.858	0.501	855.574	8.744	90.0
