compound_code	compound_name	clostridium_mock_score	lachnospiraceae_mock_score	ratio	magnitude	interaction_score	percentile
C11376	SN38_glucuronide	1.0	2.0	0.5	6.0	1.585	70.0
C01083	alpha,alpha-Trehalose	-1.585	-2.0	0.75	7.0	-2.392	80.0
C01931	L-Lysyl-tRNA	-2.807	-1.0	0.286	8.998	-1.363	50.0
C12215	Iminoerythrose_4-phosphate	-1.0	-4.7	0.077	27.992	-1.107	50.0
C00886	L-Alanyl-tRNA	-3.585	-1.585	0.25	15.0	-1.907	70.0
C00092	D-Glucose_6-phosphate	-3.075	-3.459	0.766	19.424	-3.896	90.0
C00093	sn-Glycerol_3-phosphate	-1.525	-1.893	0.775	6.592	-2.353	80.0
C00498	ADP-glucose	-3.157	-0.503	0.159	10.337	-0.716	60.0
C00095	D-Fructose	-0.193	-2.0	0.286	5.143	-0.556	60.0
C11173	SN-38	-1.0	-2.0	0.5	6.0	-1.585	60.0
C00097	L-Cysteine	1.474	0.415	0.282	4.111	0.211	70.0
C00078	L-Tryptophan	1.0	0.585	0.585	3.5	1.034	70.0
C00079	L-Phenylalanine	0.348	-0.097	0.84	2.342	-0.977	50.0
C00073	L-Methionine	2.322	3.585	0.648	17.001	3.461	90.0
C02282	Glutaminyl-tRNA	-2.632	-0.737	0.269	7.866	-1.081	50.0
C00074	Phosphoenolpyruvate	-4.699	-0.848	0.069	27.774	-0.945	50.0
C00075	UTP	5.006	2.619	0.523	38.277	4.324	90.0
C00123	L-Leucine	1.222	0.222	0.182	3.499	-0.654	60.0
C00085	D-Fructose_6-phosphate	-0.363	3.961	0.083	16.859	-0.477	60.0
C00242	Guanine	-0.485	1.0	0.7	3.4	-1.25	50.0
C04640	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine	2.0	-3.0	0.5	12.0	-2.585	90.0
C00089	Sucrose	-0.459	2.0	0.344	5.375	-0.885	60.0
C04646	6-Thioinosine-5'-monophosphate	2.585	-1.0	0.333	8.0	-1.415	50.0
C00671	(S)-3-Methyl-2-oxopentanoic_acid	-2.83	-1.415	0.375	9.777	-1.874	70.0
C00673	2-Deoxy-D-ribose_5-phosphate	-1.322	-1.0	0.8	4.5	-1.848	70.0
C00163	Propanoate	1.0	1.0	1.0	4.0	2.0	80.0
C02984	L-Aspartyl-tRNA(Asp)	-1.585	-2.0	0.75	7.0	-2.392	80.0
C02987	L-Glutamyl-tRNA(Glu)	-2.0	-2.0	1.0	8.0	-3.0	90.0
C00169	Carbamoyl_phosphate	-1.354	-2.0	0.639	6.556	-2.067	80.0
C02047	L-Leucyl-tRNA	-3.17	-1.0	0.222	11.0	-1.289	50.0
C00342	Thioredoxin	3.406	1.0	0.294	12.6	1.887	80.0
C00343	Thioredoxin_disulfide	-3.17	-1.0	0.222	11.0	-1.289	50.0
C00103	D-Glucose_1-phosphate	3.36	2.807	0.835	17.266	3.85	90.0
C04377	5,10-Methylenetetrahydromethanopterin	-2.0	-1.585	0.75	7.0	-2.392	80.0
C04376	5'-Phosphoribosyl-N-formylglycinamide	2.0	3.0	0.667	12.0	3.0	90.0
C00063	CTP	4.847	2.524	0.521	34.532	4.168	90.0
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	-2.585	-1.28	0.405	8.429	-1.77	70.0
C00064	L-Glutamine	-0.17	-1.078	0.533	3.236	-0.786	60.0
C00109	2-Oxobutanoate	0.963	2.322	0.415	6.95	1.527	70.0
C00861	L-Rhamnulose	-1.585	2.0	0.75	7.0	-2.392	80.0
C00860	L-Histidinol	1.0	1.0	1.0	4.0	2.0	80.0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	1.322	0.585	0.443	4.0	0.824	70.0
C16634	5-Fluorouridine_monophosphate	-2.0	-1.585	0.75	7.0	-2.392	80.0
C01050	UDP-N-acetylmuramate	0.893	0.893	1.0	3.714	1.893	80.0
C00279	D-Erythrose_4-phosphate	-0.637	-4.512	0.068	24.372	-0.732	60.0
C00900	2-Acetolactate	3.459	-2.322	0.455	15.997	-2.863	90.0
C00668	alpha-D-Glucose_6-phosphate	4.02	-3.14	0.543	25.039	-3.766	90.0
C00475	Cytidine	-0.536	0.263	0.828	2.65	-1.133	50.0
C03406	N-(L-Arginino)succinate	-4.392	-1.585	0.143	23.995	-1.778	70.0
C12214	Aminofructose_6-phosphate	1.0	4.7	0.213	27.992	2.574	90.0
C00117	D-Ribose_5-phosphate	-2.051	-3.467	0.375	15.202	-2.51	80.0
C00111	Glycerone_phosphate	2.357	-0.466	0.27	6.504	-0.81	60.0
C00112	CDP	-2.322	-4.087	0.294	21.995	-2.694	90.0
C00354	D-Fructose_1,6-bisphosphate	0.181	-0.222	0.972	2.3	-1.161	50.0
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	-1.237	-1.811	0.672	5.866	-1.978	70.0
C00118	D-Glyceraldehyde_3-phosphate	6.589	6.136	0.931	166.596	7.277	90.0
C00288	HCO3-	0.585	1.0	0.585	3.5	1.034	70.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	-1.0	-1.585	0.667	5.0	-1.737	60.0
C16219	3-Oxostearoyl-[acp]	1.0	2.0	0.5	6.0	1.585	70.0
C05756	3-Oxododecanoyl-[acp]	1.0	2.0	0.5	6.0	1.585	70.0
C05757	(R)-3-Hydroxydodecanoyl-[acp]	-1.0	-1.585	0.667	5.0	-1.737	60.0
C00262	Hypoxanthine	0.174	-1.0	0.564	3.128	-0.819	60.0
C16217	3-Hydroxyoctadecanoyl-CoA	-1.0	-2.0	0.5	6.0	-1.585	60.0
C16216	3-Oxostearoyl-CoA	1.0	2.0	0.5	6.0	1.585	70.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	-1.322	1.0	0.8	4.5	-1.848	70.0
C00286	dGTP	-3.115	1.087	0.245	10.788	-1.403	50.0
C00124	D-Galactose	3.195	-2.807	0.764	16.156	-3.626	90.0
C00327	L-Citrulline	4.392	2.0	0.455	24.995	3.509	90.0
C02553	L-Seryl-tRNA(Ser)	-3.7	-2.0	0.308	16.996	-2.387	80.0
C05378	beta-D-Fructose_1,6-bisphosphate	-2.515	-0.115	0.189	6.799	-0.365	70.0
C16220	3-Hydroxyoctadecanoyl-[acp]	-1.0	-1.585	0.667	5.0	-1.737	60.0
C05746	3-Oxohexanoyl-[acp]	1.0	2.0	0.5	6.0	1.585	70.0
C00458	dCTP	-3.97	1.415	0.17	18.337	-1.642	60.0
C00459	dTTP	1.322	1.874	0.705	6.166	2.121	80.0
C06055	O-Phospho-4-hydroxy-L-threonine	-0.737	-1.322	0.667	4.167	-1.474	50.0
C00199	D-Ribulose_5-phosphate	0.617	-1.354	0.6	4.09	-1.295	50.0
C00217	D-Glutamate	1.0	-1.0	1.0	4.0	-2.0	70.0
C00197	3-Phospho-D-glycerate	4.491	4.593	0.978	46.621	5.511	90.0
C00191	D-Glucuronate	7.103	-2.0	0.029	141.473	-2.041	80.0
C00036	Oxaloacetate	3.341	1.751	0.524	13.499	2.823	90.0
C00037	Glycine	0.817	-0.17	0.639	2.887	-0.882	60.0
C00035	GDP	-2.415	-4.087	0.314	22.328	-2.809	90.0
C00031	D-Glucose	-0.222	2.459	0.212	6.665	-0.5	60.0
C00330	Deoxyguanosine	0.585	-0.585	1.0	3.0	-1.585	60.0
C00135	L-Histidine	1.0	-1.0	1.0	4.0	-2.0	70.0
C00131	dATP	-1.926	0.737	0.439	5.467	-1.262	50.0
C00130	IMP	1.437	-0.222	0.431	3.874	-0.739	60.0
C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier_protein]	-1.0	-1.585	0.667	5.0	-1.737	60.0
C00299	Uridine	-0.628	0.263	0.776	2.745	-1.092	50.0
C12632	Luteolin_7-O-[beta-D-glucuronosyl-(1->2)-beta-D-glucuronide]	-1.0	-2.0	0.5	6.0	-1.585	60.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	-1.0	0.415	0.667	3.333	-1.152	50.0
C05747	(R)-3-Hydroxyhexanoyl-[acp]	-1.0	-1.585	0.667	5.0	-1.737	60.0
C00041	L-Alanine	1.907	0.585	0.307	5.25	0.688	70.0
C00047	L-Lysine	1.807	0.585	0.324	4.999	0.695	70.0
C00046	RNA	-4.104	2.747	0.39	23.909	-3.222	90.0
C00044	GTP	-4.131	-2.051	0.237	21.665	-2.357	80.0
C00049	L-Aspartate	1.871	0.057	0.03	4.698	-2.805	90.0
