compound_code	compound_name	clostridium_mock_score	eubacterium_mock_score	ratio	magnitude	interaction_score	percentile
C00155	L-Homocysteine	-0.322	-6.156	0.018	72.558	-0.347	50.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	-1.0	1.0	1.0	4.0	-2.0	70.0
C00794	D-Sorbitol	-0.585	-6.022	0.023	66.483	-0.618	50.0
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	1.0	4.17	0.24	20.001	2.262	70.0
C00886	L-Alanyl-tRNA	-3.585	-5.755	0.222	66.005	-3.874	90.0
C00294	Inosine	0.485	4.087	0.119	18.394	1.126	60.0
C04302	N-(5-Phospho-D-ribosyl)anthranilate	-1.874	1.0	0.546	5.665	-1.628	60.0
C11811	1-Hydroxy-2-methyl-2-butenyl_4-diphosphate	3.907	6.658	0.587	115.986	6.089	90.0
C00197	3-Phospho-D-glycerate	4.491	6.311	0.712	101.883	6.18	90.0
C05345	beta-D-Fructose_6-phosphate	-2.4	6.025	0.081	70.397	-2.512	70.0
C03511	L-Phenylalanyl-tRNA(Phe)	-1.322	-5.6	0.052	51.003	-1.395	60.0
C00227	Acetyl_phosphate	0.107	2.218	0.048	5.729	-1.855	70.0
C00226	Primary_alcohol	2.954	6.687	0.442	110.785	5.613	90.0
C06037	Digalactosyl-diacylglycerol	0.585	6.022	0.097	66.483	2.691	70.0
C00259	L-Arabinose	3.17	-5.781	0.164	63.987	-3.389	90.0
C01235	alpha-D-Galactosyl-(1->3)-1D-myo-inositol	0.585	6.022	0.097	66.483	2.691	70.0
C05382	Sedoheptulose_7-phosphate	-0.547	-5.655	0.029	51.849	-0.588	50.0
C00385	Xanthine	-0.153	-2.555	0.189	6.989	-0.403	50.0
C00387	Guanosine	0.485	4.087	0.119	18.394	1.126	60.0
C00817	D-Altronate	1.807	2.115	0.854	7.831	2.742	80.0
C03539	S-Ribosyl-L-homocysteine	1.0	1.585	0.631	5.0	1.657	60.0
C05841	Nicotinate_D-ribonucleoside	0.585	4.087	0.143	18.495	1.404	60.0
C00655	Xanthosine_5'-phosphate	-1.524	-4.167	0.16	20.839	-1.738	60.0
C16396	2,4-Diamino-6-nitrotoluene	4.644	1.807	0.389	28.502	3.471	80.0
C05759	3-Oxotetradecanoyl-[acp]	1.0	4.322	0.231	22.001	2.348	70.0
C16399	2,4-Diamino-6-hydroxylaminotoluene	-4.644	-1.807	0.14	28.502	-1.996	70.0
C03127	L-Isoleucyl-tRNA(Ile)	-3.322	-6.15	0.141	81.013	-3.512	90.0
C01172	beta-D-Glucose_6-phosphate	-2.612	4.644	0.245	31.116	-2.928	80.0
C20373	3-Hydroxyglutaryl-[acp]_methyl_ester	-1.0	-4.524	0.087	25.007	-1.12	50.0
C20372	3-Ketoglutaryl-[acp]_methyl_ester	1.0	4.322	0.231	22.001	2.348	70.0
C00364	dTMP	-2.874	-1.415	0.364	9.998	-1.863	70.0
C00365	dUMP	-3.567	1.0	0.169	13.852	-1.225	60.0
C20377	3-Hydroxypimeloyl-[acp]_methyl_ester	-1.0	-4.524	0.087	25.007	-1.12	50.0
C20376	3-Ketopimeloyl-[acp]_methyl_ester	1.0	4.322	0.231	22.001	2.348	70.0
C00008	ADP	-1.415	4.47	0.12	24.828	-1.579	60.0
C00003	NAD+	-2.663	-3.807	0.453	20.33	-3.202	80.0
C00002	ATP	4.465	6.714	0.665	127.067	6.401	90.0
C00369	Starch	2.402	-4.078	0.313	22.174	-2.795	80.0
C01127	4-Hydroxy-2-oxoglutarate	3.907	5.0	0.781	47.001	5.199	90.0
C00253	Nicotinate	-1.17	-4.459	0.102	24.244	-1.311	60.0
C05336	Selenomethionyl-tRNA(Met)	-2.322	-5.7	0.096	56.984	-2.454	70.0
C05404	D-Gal_alpha_1->6D-Gal_alpha_1->6D-Glucose	0.585	5.931	0.099	62.511	2.624	70.0
C00031	D-Glucose	-0.222	-3.672	0.092	13.913	-0.348	50.0
C00645	N-Acetyl-D-mannosamine	-1.0	-1.585	0.667	5.0	-1.737	60.0
C00330	Deoxyguanosine	0.585	2.104	0.278	5.799	0.689	60.0
C01083	alpha,alpha-Trehalose	-1.585	-3.202	0.326	12.202	-1.992	70.0
C00559	Deoxyadenosine	-0.322	3.17	0.139	10.251	-0.51	50.0
C01931	L-Lysyl-tRNA	-2.807	-6.555	0.074	101.025	-2.911	80.0
C00492	Raffinose	-0.222	-4.392	0.056	22.162	-0.3	60.0
C00073	L-Methionine	2.322	3.661	0.634	17.65	3.485	80.0
C00469	Ethanol	2.954	6.687	0.442	110.785	5.613	90.0
C00092	D-Glucose_6-phosphate	-3.075	-6.194	0.115	81.638	-3.232	90.0
C00093	sn-Glycerol_3-phosphate	-1.525	5.061	0.086	36.26	-1.644	60.0
C00498	ADP-glucose	-3.157	-7.105	0.065	146.583	-3.248	90.0
C00095	D-Fructose	-0.193	-5.755	0.021	55.147	-0.223	60.0
C00097	L-Cysteine	1.474	4.279	0.344	22.192	2.934	80.0
C14099	2-Naphthaldehyde	-2.954	-6.687	0.075	110.785	-3.059	80.0
C00078	L-Tryptophan	1.0	4.437	0.225	23.661	2.415	70.0
C00079	L-Phenylalanine	0.348	3.017	0.115	9.368	0.112	60.0
C14090	1-Naphthaldehyde	-2.954	-6.687	0.075	110.785	-3.059	80.0
C00071	Aldehyde	-2.459	-6.687	0.053	108.534	-2.534	80.0
C02282	Glutaminyl-tRNA	-2.632	-3.636	0.499	18.631	-3.216	90.0
C00074	Phosphoenolpyruvate	-4.699	-6.981	0.206	152.299	-4.969	90.0
C00075	UTP	5.006	6.969	0.718	157.412	6.821	90.0
C00333	D-Galacturonate	7.524	6.17	0.82	256.06	7.714	90.0
C00620	alpha-D-Ribose_1-phosphate	3.954	6.492	0.609	105.507	6.006	90.0
C00718	Amylose	-2.585	-4.285	0.308	25.495	-2.972	80.0
C00123	L-Leucine	1.222	-0.737	0.714	3.999	-1.515	60.0
C03512	L-Tryptophanyl-tRNA(Trp)	-1.0	-5.7	0.038	53.984	-1.054	50.0
C01019	6-Deoxy-L-galactose	2.322	4.7	0.494	30.992	3.937	80.0
C00085	D-Fructose_6-phosphate	-0.363	7.107	0.009	139.14	-0.376	50.0
C00084	Acetaldehyde	3.229	3.663	0.882	22.043	4.28	80.0
C00083	Malonyl-CoA	-0.562	-3.491	0.131	12.72	-0.74	50.0
C03373	Aminoimidazole_ribotide	-2.807	-4.954	0.226	37.994	-3.101	80.0
C04640	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine	2.0	-6.129	0.057	73.986	-2.08	70.0
C00407	L-Isoleucine	1.485	2.379	0.624	8.001	2.32	70.0
C00089	Sucrose	-0.459	-5.931	0.023	62.386	-0.491	50.0
C04646	6-Thioinosine-5'-monophosphate	2.585	5.426	0.476	48.992	4.545	90.0
C00671	(S)-3-Methyl-2-oxopentanoic_acid	-2.83	2.29	0.688	12.001	-3.045	80.0
C00672	2-Deoxy-D-ribose_1-phosphate	2.0	-3.585	0.333	16.0	-2.415	70.0
C00673	2-Deoxy-D-ribose_5-phosphate	-1.322	-1.585	0.833	5.5	-2.196	70.0
C02988	L-Histidyl-tRNA(His)	-2.807	-6.285	0.09	84.977	-2.931	80.0
C00163	Propanoate	1.0	6.476	0.154	91.016	3.813	80.0
C02984	L-Aspartyl-tRNA(Asp)	-1.585	-5.672	0.059	53.985	-1.667	60.0
C02987	L-Glutamyl-tRNA(Glu)	-2.0	-5.044	0.121	36.991	-2.165	70.0
C01721	L-Fuculose	-2.322	-3.0	0.625	13.0	-3.022	80.0
C06112	L-Glutamyl-tRNA(Gln)	-1.322	-5.157	0.07	38.179	-1.42	60.0
C02047	L-Leucyl-tRNA	-3.17	-5.524	0.196	55.014	-3.428	90.0
C00106	Uracil	-0.29	2.888	0.165	8.625	-0.511	50.0
C00068	Thiamin_diphosphate	-0.222	0.479	0.837	2.56	-1.099	50.0
C00342	Thioredoxin	3.406	3.807	0.895	24.597	4.46	80.0
C00343	Thioredoxin_disulfide	-3.17	-3.807	0.643	22.997	-3.886	90.0
C00103	D-Glucose_1-phosphate	3.36	2.481	0.738	15.85	3.549	80.0
C04377	5,10-Methylenetetrahydromethanopterin	-2.0	-5.615	0.082	53.01	-2.113	70.0
C04376	5'-Phosphoribosyl-N-formylglycinamide	2.0	6.304	0.317	83.012	4.719	90.0
C00063	CTP	4.847	7.129	0.68	168.753	6.842	90.0
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	-2.585	-4.619	0.244	30.573	-2.9	80.0
C00064	L-Glutamine	-0.17	-3.033	0.137	9.31	-0.356	50.0
C00109	2-Oxobutanoate	0.963	3.158	0.305	10.875	1.73	60.0
C16633	5-Fluorouridine	2.0	5.044	0.397	36.991	3.875	80.0
C00860	L-Histidinol	1.0	4.17	0.24	20.001	2.262	70.0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	1.322	-1.263	0.96	4.9	-2.234	70.0
C16634	5-Fluorouridine_monophosphate	-2.0	-5.044	0.121	36.991	-2.165	70.0
C03972	2,3,4,5-Tetrahydrodipicolinate	-0.628	1.105	0.718	3.696	-1.409	60.0
C01050	UDP-N-acetylmuramate	0.893	-3.793	0.134	15.718	-1.074	50.0
C00279	D-Erythrose_4-phosphate	-0.637	-6.779	0.014	111.375	-0.657	50.0
C01412	Butanal	4.807	6.687	0.719	131.029	6.558	90.0
C00361	dGDP	1.585	3.17	0.5	12.001	2.585	70.0
C00270	N-Acetylneuraminate	1.0	1.585	0.631	5.0	1.657	60.0
C00900	2-Acetolactate	3.459	4.129	0.838	28.493	4.577	90.0
C02686	Galactosylceramide	-0.585	-6.022	0.023	66.483	-0.618	50.0
C00668	alpha-D-Glucose_6-phosphate	4.02	5.783	0.695	71.286	5.631	90.0
C03402	L-Asparaginyl-tRNA(Asn)	-2.17	-3.939	0.293	19.838	-2.541	80.0
C05399	Melibiitol	0.585	6.022	0.097	66.483	2.691	70.0
C00475	Cytidine	-0.536	1.189	0.636	3.73	-1.246	60.0
C03406	N-(L-Arginino)succinate	-4.392	-5.322	0.525	60.997	-5.001	90.0
C12214	Aminofructose_6-phosphate	1.0	7.852	0.127	233.04	4.891	90.0
C00234	10-Formyltetrahydrofolate	-4.492	-1.338	0.112	25.03	-1.492	60.0
C00117	D-Ribose_5-phosphate	-2.051	-6.497	0.046	94.466	-2.116	70.0
C00116	Glycerol	1.7	-6.022	0.05	68.232	-1.77	60.0
C00111	Glycerone_phosphate	2.357	-4.496	0.227	27.688	-2.652	80.0
C04349	(4S)-4,6-Dihydroxy-2,5-dioxohexanoate	-1.0	-2.7	0.308	8.498	-1.387	60.0
C00112	CDP	-2.322	-5.57	0.105	52.505	-2.466	70.0
C00354	D-Fructose_1,6-bisphosphate	0.181	-4.605	0.047	25.469	-0.247	60.0
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	-1.237	-3.234	0.251	11.766	-1.56	60.0
C00118	D-Glyceraldehyde_3-phosphate	6.589	7.282	0.905	251.902	7.832	90.0
C00288	HCO3-	0.585	-5.443	0.034	45.002	-0.634	50.0
C00242	Guanine	-0.485	-2.907	0.187	8.9	-0.732	50.0
C00231	D-Xylulose_5-phosphate	0.3	-5.718	0.023	53.868	-0.333	50.0
C00857	Deamino-NAD+	3.17	2.807	0.885	15.999	3.824	80.0
C04419	Carboxybiotin-carboxyl-carrier_protein	0.585	2.459	0.238	6.998	0.735	60.0
C00269	CDP-diacylglycerol	0.485	-5.7	0.027	53.384	-0.523	50.0
C16219	3-Oxostearoyl-[acp]	1.0	4.322	0.231	22.001	2.348	70.0
C05756	3-Oxododecanoyl-[acp]	1.0	4.322	0.231	22.001	2.348	70.0
C05757	(R)-3-Hydroxydodecanoyl-[acp]	-1.0	-4.524	0.087	25.007	-1.12	50.0
C00262	Hypoxanthine	0.174	2.852	0.061	8.348	-0.973	50.0
C16217	3-Hydroxyoctadecanoyl-CoA	-1.0	-5.585	0.042	50.001	-1.059	50.0
C16216	3-Oxostearoyl-CoA	1.0	5.585	0.179	50.001	3.162	80.0
C00169	Carbamoyl_phosphate	-1.354	-4.678	0.1	28.155	-1.491	60.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	-1.322	-5.426	0.058	45.492	-1.404	60.0
C00460	dUTP	4.358	4.209	0.966	39.001	5.235	90.0
C02909	(2-Naphthyl)methanol	2.954	6.687	0.442	110.785	5.613	90.0
C00159	D-Mannose	-0.585	-5.874	0.026	60.148	-0.621	50.0
C00286	dGTP	-3.115	-4.951	0.28	39.595	-3.471	90.0
C00124	D-Galactose	3.195	-4.363	0.445	29.735	-3.726	90.0
C00158	Citrate	0.895	-3.912	0.124	16.913	-1.063	50.0
C00129	Isopentenyl_diphosphate	-3.524	-6.331	0.143	92.008	-3.717	90.0
C00327	L-Citrulline	4.392	5.248	0.837	58.997	5.626	90.0
C03892	Phosphatidylglycerophosphate	-1.0	-4.17	0.111	20.001	-1.152	60.0
C00681	1-Acyl-sn-glycerol_3-phosphate	-0.515	2.28	0.294	6.286	-0.887	50.0
C00680	meso-2,6-Diaminoheptanedioate	0.568	4.918	0.115	31.714	1.873	70.0
C12215	Iminoerythrose_4-phosphate	-1.0	-7.852	0.009	233.04	-1.012	50.0
C02553	L-Seryl-tRNA(Ser)	-3.7	-5.807	0.232	68.982	-4.001	90.0
C05378	beta-D-Fructose_1,6-bisphosphate	-2.515	3.672	0.448	18.462	-3.05	80.0
C01563	Carbamate	-1.585	-3.322	0.3	13.001	-1.964	70.0
C04053	5-Dehydro-4-deoxy-D-glucuronate	1.585	2.807	0.565	9.998	2.497	70.0
C03785	D-Tagatose_1,6-bisphosphate	-3.0	-6.943	0.065	131.041	-3.091	80.0
C16220	3-Hydroxyoctadecanoyl-[acp]	-1.0	-4.524	0.087	25.007	-1.12	50.0
C05746	3-Oxohexanoyl-[acp]	1.0	4.322	0.231	22.001	2.348	70.0
C05744	Acetoacetyl-[acp]	0.678	3.966	0.171	17.227	1.558	60.0
C03150	Nicotinamide-beta-riboside	0.585	4.087	0.143	18.495	1.404	60.0
C00458	dCTP	-3.97	-5.327	0.39	55.812	-4.445	90.0
C00459	dTTP	1.322	4.312	0.307	22.363	2.777	80.0
C06055	O-Phospho-4-hydroxy-L-threonine	-0.737	-5.943	0.027	63.187	-0.776	50.0
C00199	D-Ribulose_5-phosphate	0.617	-4.049	0.093	18.086	-0.745	50.0
C00052	UDP-alpha-D-galactose	-2.322	2.147	0.886	9.429	-3.062	80.0
C00217	D-Glutamate	1.0	4.392	0.228	22.995	2.388	70.0
C02876	Propanoyl_phosphate	-1.0	-5.6	0.041	50.503	-1.058	50.0
C00212	Adenosine	0.322	4.087	0.079	18.245	0.523	60.0
C00036	Oxaloacetate	3.341	6.503	0.514	100.831	5.695	90.0
C00037	Glycine	0.817	4.775	0.171	29.141	2.318	70.0
C00035	GDP	-2.415	-4.358	0.26	25.84	-2.749	80.0
C00033	Acetate	1.441	4.598	0.313	26.933	3.077	80.0
C16618	6-Thioxanthine_5'-monophosphate	-2.585	-5.322	0.15	46.002	-2.787	80.0
C00137	myo-Inositol	-0.585	-3.644	0.12	14.001	-0.748	50.0
C00136	Butanoyl-CoA	-4.807	-3.807	0.5	41.99	-4.392	90.0
C00135	L-Histidine	1.0	1.222	0.818	4.333	1.826	60.0
C00131	dATP	-1.926	-2.322	0.76	8.8	-2.742	80.0
C00130	IMP	1.437	1.951	0.737	6.574	2.276	70.0
C01097	D-Tagatose_6-phosphate	3.0	6.943	0.432	131.041	5.823	90.0
C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier_protein]	-1.0	-4.524	0.087	25.007	-1.12	50.0
C00299	Uridine	-0.628	-0.304	0.799	2.78	-1.151	50.0
C06010	(S)-2-Acetolactate	2.585	3.209	0.806	15.247	3.619	80.0
C04574	di-trans,poly-cis-Undecaprenyl_diphosphate	-1.0	-4.585	0.083	26.001	-1.115	50.0
C00446	alpha-D-Galactose_1-phosphate	-2.322	-3.036	0.61	13.202	-3.009	80.0
C00206	dADP	0.848	7.077	0.12	136.817	4.035	80.0
C00631	2-Phospho-D-glycerate	0.202	0.249	0.811	2.339	0.924	60.0
C00441	L-Aspartate_4-semialdehyde	3.222	3.852	0.836	23.771	4.313	80.0
C06113	L-Aspartyl-tRNA(Asn)	-1.0	-4.768	0.073	29.247	-1.102	50.0
C00526	Deoxyuridine	0.415	-2.874	0.182	8.664	-0.656	50.0
C00448	trans,trans-Farnesyl_diphosphate	0.415	3.644	0.114	13.835	0.656	60.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	-1.0	-1.524	0.695	4.876	-1.762	60.0
C05747	(R)-3-Hydroxyhexanoyl-[acp]	-1.0	-4.524	0.087	25.007	-1.12	50.0
C00041	L-Alanine	1.907	4.392	0.434	24.746	3.426	80.0
C00040	Acyl-CoA	0.363	4.907	0.074	31.288	1.211	60.0
C00047	L-Lysine	1.807	3.807	0.475	17.496	3.054	80.0
C00046	RNA	-4.104	-5.087	0.506	51.185	-4.695	90.0
C00044	GTP	-4.131	-5.884	0.297	76.576	-4.506	90.0
C05335	L-Selenomethionine	2.322	3.0	0.774	13.0	3.331	80.0
C00204	2-Dehydro-3-deoxy-D-gluconate	-4.059	4.322	0.833	36.669	-4.933	90.0
C00049	L-Aspartate	1.871	3.232	0.579	13.054	2.918	80.0
C00048	Glyoxylate	1.773	3.954	0.448	18.916	3.084	80.0
