compound_code	compound_name	mollicute_mock_score	turicibacter_mock_score	ratio	magnitude	interaction_score	percentile
C01235	alpha-D-Galactosyl-(1->3)-1D-myo-inositol	3.585	3.7	0.969	24.996	4.598	90.0
C00385	Xanthine	2.459	-0.678	0.291	7.098	-1.046	50.0
C00387	Guanosine	4.807	1.0	0.208	29.993	2.641	70.0
C05841	Nicotinate_D-ribonucleoside	4.807	1.0	0.208	29.993	2.641	70.0
C00655	Xanthosine_5'-phosphate	3.115	0.663	0.213	10.247	1.125	60.0
C00301	ADP-ribose	2.585	1.0	0.387	8.0	1.63	60.0
C00718	Amylose	-3.209	-4.0	0.578	25.247	-3.867	80.0
C03125	L-Cysteinyl-tRNA(Cys)	-4.087	-3.0	0.471	24.995	-3.557	80.0
C03127	L-Isoleucyl-tRNA(Ile)	-3.322	-1.0	0.2	12.0	-1.263	50.0
C03692	1,2-Diacyl-3-beta-D-galactosyl-sn-glycerol	-3.585	-3.7	0.923	24.996	-4.529	90.0
C00152	L-Asparagine	-0.415	-3.434	0.123	12.141	-0.583	60.0
C00365	dUMP	0.807	0.874	0.923	3.582	1.726	70.0
C05466	Glycochenodeoxycholate	1.0	1.0	1.0	4.0	2.0	70.0
C00008	ADP	3.97	-3.298	0.628	25.506	-4.001	80.0
C05897	Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	1.0	3.907	0.256	17.001	2.121	70.0
C00058	Formate	-1.17	-0.807	0.778	4.0	-1.637	50.0
C00003	NAD+	0.737	-2.415	0.313	7.0	-1.129	50.0
C00002	ATP	-4.36	3.027	0.397	28.686	-3.509	80.0
C00369	Starch	0.874	2.874	0.304	9.164	1.479	60.0
C05703	Methaneselenol	-3.585	-2.807	0.583	18.999	-3.47	70.0
C11907	4,6-Dideoxy-4-oxo-dTDP-D-glucose	-3.0	-3.807	0.572	21.997	-3.652	80.0
C05401	3-beta-D-Galactosyl-sn-glycerol	3.585	3.7	0.969	24.996	4.598	90.0
C04442	2-Dehydro-3-deoxy-6-phospho-D-gluconate	-4.492	2.585	0.267	28.502	-2.926	70.0
C00361	dGDP	4.891	1.222	0.25	32.004	2.999	80.0
C00253	Nicotinate	-4.807	-0.415	0.048	29.326	-0.482	60.0
C00254	Prephenate	0.19	0.783	0.243	2.861	-0.526	60.0
C05336	Selenomethionyl-tRNA(Met)	-3.585	-1.0	0.167	14.0	-1.222	50.0
C05404	D-Gal_alpha_1->6D-Gal_alpha_1->6D-Glucose	-5.044	-3.907	0.455	47.992	-4.448	90.0
C00416	Phosphatidate	0.807	2.939	0.275	9.418	1.371	60.0
C05335	L-Selenomethionine	3.585	-2.585	0.5	18.0	-3.17	70.0
C00310	D-Xylulose	-3.0	5.907	0.133	68.005	-3.181	70.0
C01931	L-Lysyl-tRNA	-3.907	-1.0	0.133	17.001	-1.181	50.0
C00492	Raffinose	4.087	3.0	0.734	24.995	4.197	90.0
C00330	Deoxyguanosine	4.807	1.0	0.208	29.993	2.641	70.0
C00886	L-Alanyl-tRNA	-3.459	-3.907	0.733	25.998	-4.252	90.0
C00092	D-Glucose_6-phosphate	-3.655	-2.678	0.508	18.997	-3.271	70.0
C00093	sn-Glycerol_3-phosphate	3.256	2.102	0.646	13.846	3.16	80.0
C00095	D-Fructose	-1.0	1.459	0.727	4.749	-1.789	50.0
C00097	L-Cysteine	3.907	-2.858	0.483	22.251	-3.427	70.0
C00078	L-Tryptophan	2.585	1.0	0.387	8.0	1.63	60.0
C00079	L-Phenylalanine	2.807	1.99	0.709	10.971	2.959	80.0
C00993	D-Alanyl-D-alanine	-1.0	-3.907	0.133	17.001	-1.181	50.0
C00073	L-Methionine	-0.322	2.668	0.197	7.606	-0.581	60.0
C00074	Phosphoenolpyruvate	-3.874	-6.807	0.131	126.634	-4.052	80.0
C00075	UTP	4.061	3.194	0.787	25.842	4.345	90.0
C00979	O-Acetyl-L-serine	-3.15	1.415	0.3	11.543	-1.794	50.0
C00123	L-Leucine	3.585	1.737	0.485	15.334	2.893	80.0
C03512	L-Tryptophanyl-tRNA(Trp)	-2.585	-1.0	0.333	8.0	-1.415	50.0
C00085	D-Fructose_6-phosphate	3.773	-3.322	0.732	23.671	-4.114	90.0
C02352	1,4-beta-D-Xylan	2.0	3.322	0.602	14.0	3.075	80.0
C00245	Taurine	-1.0	-1.0	1.0	4.0	-2.0	60.0
C00082	L-Tyrosine	3.585	0.022	0.006	13.016	-3.646	80.0
C03785	D-Tagatose_1,6-bisphosphate	-4.807	-5.555	0.595	75.007	-5.481	90.0
C00089	Sucrose	5.044	2.663	0.528	39.324	4.376	90.0
C00672	2-Deoxy-D-ribose_1-phosphate	-2.0	1.585	0.75	7.0	-2.392	60.0
C00673	2-Deoxy-D-ribose_5-phosphate	4.248	-0.585	0.079	20.501	-0.695	60.0
C00160	Glycolate	-2.0	-3.123	0.459	12.712	-2.545	60.0
C00163	Propanoate	3.7	2.585	0.699	18.996	3.73	80.0
C02984	L-Aspartyl-tRNA(Asp)	-3.807	-5.833	0.246	71.001	-4.124	90.0
C02987	L-Glutamyl-tRNA(Glu)	-3.322	-5.459	0.227	53.987	-3.618	80.0
C19878	D-glycero-alpha-D-manno-Heptose_7-phosphate	-2.585	2.322	0.833	11.0	-3.196	70.0
C19879	D-glycero-alpha-D-manno-Heptose_1,7-bisphosphate	-3.907	-2.322	0.333	20.001	-2.737	60.0
C02047	L-Leucyl-tRNA	-3.585	-4.0	0.75	28.0	-4.392	90.0
C00106	Uracil	0.363	4.524	0.08	24.293	0.963	60.0
C00342	Thioredoxin	4.585	-3.496	0.47	35.283	-4.052	80.0
C00105	UMP	2.405	1.322	0.55	7.796	2.1	70.0
C03082	4-Phospho-L-aspartate	2.536	3.406	0.745	16.4	3.61	80.0
C00103	D-Glucose_1-phosphate	-3.636	-1.536	0.233	15.332	-1.838	50.0
C04377	5,10-Methylenetetrahydromethanopterin	-3.807	-1.585	0.214	16.997	-1.865	50.0
C00101	Tetrahydrofolate	-1.215	0.515	0.616	3.75	-1.207	50.0
C00063	CTP	4.935	3.632	0.736	42.988	4.984	90.0
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	4.342	-4.063	0.824	36.994	-4.93	90.0
C00064	L-Glutamine	-1.939	-3.478	0.344	14.977	-2.366	60.0
C00109	2-Oxobutanoate	1.585	3.395	0.467	13.52	2.658	70.0
C16633	5-Fluorouridine	5.248	3.907	0.744	53.003	5.302	90.0
C00860	L-Histidinol	-2.0	-3.7	0.308	16.996	-2.387	60.0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	2.0	-1.293	0.613	6.45	-1.982	50.0
C16634	5-Fluorouridine_monophosphate	-5.248	-3.907	0.395	53.003	-4.387	90.0
C04702	UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)	-1.0	1.0	1.0	4.0	-2.0	60.0
C05684	Selenite	3.7	3.7	1.0	25.992	4.7	90.0
C00279	D-Erythrose_4-phosphate	-3.907	-0.628	0.103	16.547	-0.769	50.0
C05465	Taurochenodeoxycholate	1.0	1.0	1.0	4.0	2.0	70.0
C02686	Galactosylceramide	-3.585	-3.7	0.923	24.996	-4.529	90.0
C00668	alpha-D-Glucose_6-phosphate	3.491	-2.705	0.58	17.764	-3.365	70.0
C03402	L-Asparaginyl-tRNA(Asn)	-2.322	-1.585	0.6	8.0	-2.263	60.0
C02992	L-Threonyl-tRNA(Thr)	-2.585	-5.585	0.125	54.001	-2.755	60.0
C00179	Agmatine	2.807	3.0	0.936	14.998	3.811	80.0
C00475	Cytidine	-2.11	-1.826	0.821	7.862	-2.691	60.0
C12215	Iminoerythrose_4-phosphate	-4.585	-2.322	0.208	29.001	-2.595	60.0
C12214	Aminofructose_6-phosphate	4.585	2.322	0.506	29.001	3.876	80.0
C00988	2-Phosphoglycolate	2.0	4.248	0.471	23.001	3.437	80.0
C00117	D-Ribose_5-phosphate	-0.158	3.568	0.094	12.975	-0.288	60.0
C00116	Glycerol	-2.459	-1.0	0.364	7.498	-1.448	50.0
C00111	Glycerone_phosphate	-2.784	0.93	0.277	8.793	-1.282	50.0
C04349	(4S)-4,6-Dihydroxy-2,5-dioxohexanoate	-5.285	-3.644	0.321	51.49	-4.045	80.0
C00112	CDP	-4.755	-5.524	0.587	73.016	-5.421	90.0
C00118	D-Glyceraldehyde_3-phosphate	2.4	4.617	0.52	29.817	3.954	90.0
C00692	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	1.0	4.954	0.202	32.996	2.736	80.0
C00242	Guanine	-2.322	-1.0	0.4	7.0	-1.485	50.0
C00695	Cholic_acid	-1.0	-1.0	1.0	4.0	-2.0	60.0
C11435	4-(Cytidine_5'-diphospho)-2-C-methyl-D-erythritol	-1.0	1.585	0.667	5.0	-1.737	50.0
C02412	Glycyl-tRNA(Gly)	-3.585	-4.807	0.429	39.993	-4.1	80.0
C00269	CDP-diacylglycerol	2.293	1.0	0.436	6.901	1.59	60.0
C05898	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	-1.585	-4.0	0.188	19.0	-1.833	50.0
C00441	L-Aspartate_4-semialdehyde	-3.55	2.585	0.512	17.713	-3.182	70.0
C05893	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine	-1.585	-4.0	0.188	19.0	-1.833	50.0
C00234	10-Formyltetrahydrofolate	-0.757	-1.04	0.822	3.746	-1.622	50.0
C01172	beta-D-Glucose_6-phosphate	2.663	-1.71	0.517	9.605	-2.311	60.0
C00267	alpha-D-Glucose	-4.406	-3.798	0.656	35.11	-4.526	90.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	-3.807	-2.322	0.357	18.997	-2.763	60.0
C00188	L-Threonine	2.585	2.546	0.985	11.84	3.544	80.0
C02702	L-Prolyl-tRNA(Pro)	-3.17	-4.087	0.53	25.995	-3.783	80.0
C00181	D-Xylose	4.087	-3.322	0.588	26.995	-3.99	80.0
C00159	D-Mannose	-3.585	2.97	0.653	19.836	-3.695	80.0
C00122	Fumarate	-3.459	-0.766	0.155	12.697	-0.973	50.0
C00286	dGTP	-5.227	3.047	0.221	45.718	-3.335	70.0
C00124	D-Galactose	-3.585	2.907	0.625	19.501	-3.607	80.0
C00283	Hydrogen_sulfide	1.585	3.17	0.5	12.001	2.585	70.0
C02839	L-Tyrosyl-tRNA(Tyr)	-3.585	-2.807	0.583	18.999	-3.47	70.0
C17556	di-trans,poly-cis-Undecaprenyl_phosphate	-3.17	1.0	0.222	11.0	-1.289	50.0
C00294	Inosine	4.807	1.0	0.208	29.993	2.641	70.0
C03892	Phosphatidylglycerophosphate	-4.392	-1.585	0.143	23.995	-1.778	50.0
C00681	1-Acyl-sn-glycerol_3-phosphate	-0.515	2.954	0.184	9.178	-0.759	60.0
C00680	meso-2,6-Diaminoheptanedioate	-1.051	2.342	0.409	7.142	-1.545	50.0
C02553	L-Seryl-tRNA(Ser)	-3.907	-3.907	1.0	30.002	-4.907	90.0
C00842	dTDP-glucose	3.0	-2.585	0.75	14.0	-3.392	70.0
C05378	beta-D-Fructose_1,6-bisphosphate	-4.807	-4.832	0.983	56.476	-5.795	90.0
C04691	2-Dehydro-3-deoxy-D-arabino-heptonate_7-phosphate	-2.322	-2.322	1.0	10.0	-3.322	70.0
C04053	5-Dehydro-4-deoxy-D-glucuronate	5.285	4.524	0.856	61.996	5.73	90.0
C01127	4-Hydroxy-2-oxoglutarate	5.209	3.459	0.664	47.985	4.994	90.0
C03150	Nicotinamide-beta-riboside	4.807	1.0	0.208	29.993	2.641	70.0
C01921	Glycocholate	1.0	1.0	1.0	4.0	2.0	70.0
C00458	dCTP	-4.728	3.0	0.302	34.501	-3.381	70.0
C00459	dTTP	3.392	3.585	0.946	22.498	4.412	90.0
C03539	S-Ribosyl-L-homocysteine	-2.0	-4.17	0.222	22.001	-2.289	60.0
C00199	D-Ribulose_5-phosphate	-3.83	1.659	0.222	17.379	-1.948	50.0
C00019	S-Adenosyl-L-methionine	-0.807	-1.585	0.583	4.75	-1.47	50.0
C00217	D-Glutamate	1.0	-3.585	0.167	14.0	-1.222	50.0
C02554	L-Valyl-tRNA(Val)	-2.807	-1.0	0.286	8.998	-1.363	50.0
C00212	Adenosine	4.807	1.0	0.208	29.993	2.641	70.0
C00153	Nicotinamide	-4.807	-1.0	0.071	29.993	-1.1	50.0
C00208	Maltose	-5.755	-1.585	0.056	57.004	-1.663	50.0
C00037	Glycine	3.129	-0.089	0.122	9.812	-0.255	60.0
C00035	GDP	4.919	-3.626	0.408	42.599	-4.12	90.0
C00033	Acetate	3.087	-2.263	0.565	13.297	-2.909	70.0
C00031	D-Glucose	3.644	-2.858	0.58	19.751	-3.518	80.0
C00137	myo-Inositol	-3.585	-3.7	0.923	24.996	-4.529	90.0
C00136	Butanoyl-CoA	-5.17	3.0	0.222	44.002	-3.289	70.0
C00134	Putrescine	-2.807	1.585	0.429	9.998	-2.1	60.0
C00133	D-Alanine	1.585	3.907	0.406	18.001	2.868	80.0
C00131	dATP	2.7	-0.531	0.222	7.943	-0.821	50.0
C00130	IMP	4.087	0.716	0.175	18.637	1.707	70.0
C01097	D-Tagatose_6-phosphate	4.807	5.555	0.865	75.007	6.02	90.0
C01269	5-O-(1-Carboxyvinyl)-3-phosphoshikimate	-1.0	-2.585	0.333	8.0	-1.415	50.0
C04574	di-trans,poly-cis-Undecaprenyl_diphosphate	2.322	-1.0	0.4	7.0	-1.485	50.0
C01762	Xanthosine	4.807	1.0	0.208	29.993	2.641	70.0
C02528	Chenodeoxycholate	-1.0	-1.0	1.0	4.0	-2.0	60.0
C00526	Deoxyuridine	1.926	1.0	0.519	5.8	1.59	60.0
C11453	2-C-Methyl-D-erythritol_2,4-cyclodiphosphate	-1.7	3.209	0.351	12.496	-2.134	60.0
C00448	trans,trans-Farnesyl_diphosphate	2.585	1.0	0.387	8.0	1.63	60.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	-0.415	3.022	0.164	9.456	-0.634	60.0
C04882	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine	-1.0	1.0	1.0	4.0	-2.0	60.0
C00041	L-Alanine	-2.807	3.907	0.467	21.999	-3.359	70.0
C00040	Acyl-CoA	3.503	2.7	0.771	17.835	3.781	80.0
C00046	RNA	-2.7	4.077	0.385	23.375	-3.17	70.0
C00044	GTP	-3.826	-2.605	0.429	20.266	-3.12	70.0
C00204	2-Dehydro-3-deoxy-D-gluconate	5.304	0.322	0.061	40.756	1.307	60.0
C00049	L-Aspartate	2.907	2.714	0.934	14.062	3.715	80.0
C00206	dADP	2.503	2.237	0.894	10.383	3.214	80.0
