compound_code	compound_name	alistipes_mock_score	butyrivibrio_mock_score	ratio	magnitude	interaction_score	percentile
C00044	GTP	-6.623	-8.947	0.0	0.0	0.0	50.0
C00049	L-Aspartate	-3.779	5.666	0.27	64.501	-4.124	80.0
C00048	Glyoxylate	-1.322	6.975	0.02	128.301	-1.35	70.0
C06481	L-Seryl-tRNA(Sec)	-6.768	-8.426	0.0	0.0	0.0	50.0
C20440	alpha-D-Ribose_1,2-cyclic_phosphate_5-phosphate	6.409	4.248	0.663	103.978	6.107	70.0
C01101	L-Ribulose_5-phosphate	5.661	9.382	0.603	717.809	8.759	90.0
C01103	Orotidine_5'-phosphate	-3.7	-6.59	0.0	0.0	0.0	50.0
C05122	Taurocholate	6.17	7.418	0.832	243.021	7.659	80.0
C03684	6-Pyruvoyltetrahydropterin	-6.476	-3.0	0.0	0.0	0.0	50.0
C05345	beta-D-Fructose_6-phosphate	5.811	10.671	0.545	1686.53	9.843	90.0
C00424	(S)-Lactaldehyde	-7.728	-8.195	0.0	0.0	0.0	50.0
C00817	D-Altronate	-6.705	-5.85	0.0	0.0	0.0	50.0
C06399	Hydrogenobyrinate	5.755	5.358	0.931	95.017	6.467	70.0
C05223	Dodecanoyl-[acyl-carrier_protein]	6.752	5.907	0.875	167.789	7.198	70.0
C05466	Glycochenodeoxycholate	6.17	7.418	0.832	243.021	7.659	80.0
C05465	Taurochenodeoxycholate	6.17	7.418	0.832	243.021	7.659	80.0
C11907	4,6-Dideoxy-4-oxo-dTDP-D-glucose	-6.807	-8.214	0.0	0.0	0.0	50.0
C00092	D-Glucose_6-phosphate	-7.589	-9.622	0.0	0.0	0.0	50.0
C00253	Nicotinate	-7.304	-7.583	0.0	0.0	0.0	50.0
C00251	Chorismate	3.0	-6.188	0.11	80.908	-3.15	70.0
C00256	(R)-Lactate	5.858	7.392	0.792	225.964	7.484	80.0
C00255	Riboflavin	-4.807	6.248	0.368	103.997	-5.259	80.0
C05336	Selenomethionyl-tRNA(Met)	-6.741	-8.155	0.0	0.0	0.0	50.0
C05335	L-Selenomethionine	5.322	6.409	0.83	124.979	6.697	70.0
C01081	Thiamin_monophosphate	7.349	-5.585	0.294	211.032	-5.957	90.0
C00491	L-Cystine	6.129	7.459	0.822	245.934	7.659	80.0
C00493	Shikimate	2.988	4.355	0.686	28.398	4.284	60.0
C00886	L-Alanyl-tRNA	-6.7	-8.551	0.0	0.0	0.0	50.0
C00882	Dephospho-CoA	-2.807	-7.109	0.0	0.0	0.0	50.0
C00881	Deoxycytidine	6.954	7.547	0.921	310.997	8.163	80.0
C00078	L-Tryptophan	6.409	5.624	0.878	134.294	6.881	70.0
C00079	L-Phenylalanine	-1.138	3.469	0.199	13.274	-1.4	70.0
C00073	L-Methionine	5.298	8.214	0.645	336.276	7.761	80.0
C00074	Phosphoenolpyruvate	-6.979	-10.818	0.0	0.0	0.0	50.0
C00075	UTP	5.652	9.406	0.601	728.687	8.774	90.0
C00085	D-Fructose_6-phosphate	4.926	10.541	0.467	1520.3	9.473	90.0
C00082	L-Tyrosine	1.248	-2.919	0.314	9.938	-1.642	70.0
C00081	ITP	7.484	6.022	0.805	244.006	7.617	80.0
C04640	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine	4.585	-4.585	1.0	48.001	-5.585	90.0
C03175	Shikimate_3-phosphate	-2.7	-4.492	0.0	0.0	0.0	50.0
C04646	6-Thioinosine-5'-monophosphate	3.807	8.185	0.465	305.022	7.148	70.0
C02218	Dehydroalanine	-7.562	-5.087	0.0	0.0	0.0	50.0
C01921	Glycocholate	6.17	7.418	0.832	243.021	7.659	80.0
C00673	2-Deoxy-D-ribose_5-phosphate	6.858	-3.807	0.121	129.998	-3.971	80.0
C00106	Uracil	-2.202	6.373	0.056	87.484	-2.28	70.0
C00105	UMP	5.356	-4.71	0.639	67.129	-5.423	80.0
C00103	D-Glucose_1-phosphate	5.218	5.816	0.897	93.556	6.391	70.0
C00101	Tetrahydrofolate	4.512	-5.719	0.433	75.49	-5.031	80.0
C15556	L-3,4-Dihydroxybutan-2-one_4-phosphate	6.066	2.807	0.463	73.994	5.098	60.0
C04702	UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)	5.7	-4.322	0.385	71.985	-4.792	80.0
C05764	Hexadecanoyl-[acp]	7.229	5.907	0.817	210.023	7.423	70.0
C05761	Tetradecanoyl-[acp]	7.229	5.907	0.817	210.023	7.423	70.0
C05760	trans-Tetradec-2-enoyl-[acp]	-5.7	6.15	0.732	122.997	-6.492	90.0
C05763	trans-Hexadec-2-enoyl-[acp]	-5.7	6.15	0.732	122.997	-6.492	90.0
C05762	3-Oxohexadecanoyl-[acp]	5.931	-2.0	0.066	65.011	-2.092	70.0
C00361	dGDP	-4.481	6.786	0.202	132.686	-4.747	80.0
C02992	L-Threonyl-tRNA(Thr)	-7.721	-8.714	0.0	0.0	0.0	50.0
C00179	Agmatine	5.781	5.19	0.898	91.491	6.36	70.0
C03090	5-Phosphoribosylamine	5.385	-7.997	0.164	297.256	-5.604	90.0
C01079	Protoporphyrinogen_IX	-6.109	-8.574	0.0	0.0	0.0	50.0
C11435	4-(Cytidine_5'-diphospho)-2-C-methyl-D-erythritol	-3.585	-2.585	0.0	0.0	0.0	50.0
C11436	2-Phospho-4-(cytidine_5'-diphospho)-2-C-methyl-D-erythritol	3.459	-2.322	0.455	15.997	-2.863	70.0
C00857	Deamino-NAD+	8.022	-6.56	0.363	354.287	-7.007	90.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	-6.15	4.0	0.225	87.012	-4.293	80.0
C01172	beta-D-Glucose_6-phosphate	-3.322	9.166	0.017	584.436	-3.347	70.0
C00169	Carbamoyl_phosphate	4.147	-6.626	0.179	116.486	-4.385	80.0
C18796	(2R)-2-Hydroxy-2-methylbutanenitrile	-7.435	-9.95	0.0	0.0	0.0	50.0
C08334	Lotaustralin	7.435	9.95	0.747	1162.163	9.762	90.0
C02412	Glycyl-tRNA(Gly)	-6.714	-8.804	0.0	0.0	0.0	50.0
C00680	meso-2,6-Diaminoheptanedioate	-3.322	-1.312	0.0	0.0	0.0	50.0
C02553	L-Seryl-tRNA(Ser)	-6.768	-8.426	0.0	0.0	0.0	50.0
C05378	beta-D-Fructose_1,6-bisphosphate	-6.164	-9.348	0.0	0.0	0.0	50.0
C00448	trans,trans-Farnesyl_diphosphate	4.285	-2.7	0.333	25.993	-3.115	70.0
C20238	(2R)-Ethylmalonyl-CoA	-7.96	-9.494	0.0	0.0	0.0	50.0
C20239	6-Carboxy-5,6,7,8-tetrahydropterin	-6.476	-3.0	0.0	0.0	0.0	50.0
C00514	D-Mannonate	7.401	4.858	0.656	198.015	7.022	70.0
C16220	3-Hydroxyoctadecanoyl-[acp]	-8.358	-6.977	0.0	0.0	0.0	50.0
C16221	(2E)-Octadecenoyl-[acp]	6.629	6.15	0.928	169.988	7.301	70.0
C00458	dCTP	5.668	-8.959	0.102	548.498	-5.808	90.0
C04895	7,8-Dihydroneopterin_3'-triphosphate	-3.459	-4.954	0.0	0.0	0.0	50.0
C00330	Deoxyguanosine	7.304	5.923	0.811	218.698	7.47	80.0
C00333	D-Galacturonate	7.687	9.638	0.798	1002.831	9.644	90.0
C12739	5'-Deoxy-5-fluorouridine	-6.954	-7.672	0.0	0.0	0.0	50.0
C00337	(S)-Dihydroorotate	-6.57	-5.209	0.0	0.0	0.0	50.0
C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier_protein]	-7.484	-6.977	0.0	0.0	0.0	50.0
C04122	D-1-Aminopropan-2-ol_O-phosphate	3.17	4.459	0.711	30.994	4.462	60.0
C00631	2-Phospho-D-glycerate	-2.621	2.926	0.809	13.752	-3.477	80.0
C02528	Chenodeoxycholate	-6.17	-7.418	0.0	0.0	0.0	50.0
C01594	Linamarin	7.435	9.95	0.747	1162.163	9.762	90.0
C00208	Maltose	6.109	-8.472	0.194	424.103	-6.365	90.0
C00204	2-Dehydro-3-deoxy-D-gluconate	5.919	8.024	0.738	320.8	7.887	80.0
C01212	UDP-N-acetylmuramoyl-L-alanine	-5.119	3.781	0.396	48.498	-4.262	80.0
C00025	L-Glutamate	5.618	5.922	0.949	109.744	6.702	70.0
C00148	L-Proline	7.18	-4.322	0.138	165.01	-4.508	80.0
C00026	2-Oxoglutarate	-6.017	-4.412	0.0	0.0	0.0	50.0
C00020	AMP	1.585	-6.484	0.034	92.512	-1.633	70.0
C00022	Pyruvate	6.239	8.769	0.711	511.778	8.508	90.0
C00143	5,10-Methylenetetrahydrofolate	-5.215	-7.131	0.0	0.0	0.0	50.0
C00141	3-Methyl-2-oxobutanoic_acid	-4.392	-7.449	0.0	0.0	0.0	50.0
C00029	UDP-glucose	4.17	-7.345	0.111	180.58	-4.321	80.0
C00147	Adenine	-2.755	4.295	0.344	26.381	-3.181	70.0
C00144	GMP	-6.229	-7.547	0.0	0.0	0.0	50.0
C05729	R-S-Cysteinylglycine	8.618	6.384	0.741	476.412	8.463	90.0
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	-3.382	-8.282	0.0	0.0	0.0	50.0
C03232	3-Phosphonooxypyruvate	3.766	-0.678	0.118	15.204	-0.838	70.0
C02737	Phosphatidylserine	2.624	-0.222	0.189	7.331	-0.472	70.0
C00099	beta-Alanine	5.615	-2.0	0.082	53.01	-2.113	70.0
C05726	S-Substituted_L-cysteine	-8.618	-6.384	0.0	0.0	0.0	50.0
C00700	XTP	7.484	6.022	0.805	244.006	7.617	80.0
C06250	Holo-[carboxylase]	-6.267	-7.998	0.0	0.0	0.0	50.0
C02637	3-Dehydroshikimate	-4.985	2.722	0.208	38.267	-2.995	70.0
C03194	(R)-1-Aminopropan-2-ol	6.248	4.459	0.714	97.997	6.128	70.0
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	4.907	6.426	0.764	115.986	6.469	70.0
C01134	Pantetheine_4'-phosphate	5.415	7.767	0.697	260.487	7.505	80.0
C01131	L-Rhamnulose_1-phosphate	5.833	6.524	0.894	149.032	7.058	70.0
C03511	L-Phenylalanyl-tRNA(Phe)	-6.615	-7.873	0.0	0.0	0.0	50.0
C03512	L-Tryptophanyl-tRNA(Trp)	-6.409	-8.2	0.0	0.0	0.0	50.0
C03125	L-Cysteinyl-tRNA(Cys)	-6.845	-8.114	0.0	0.0	0.0	50.0
C03127	L-Isoleucyl-tRNA(Ile)	-6.57	-8.17	0.0	0.0	0.0	50.0
C20373	3-Hydroxyglutaryl-[acp]_methyl_ester	-8.358	-6.977	0.0	0.0	0.0	50.0
C20372	3-Ketoglutaryl-[acp]_methyl_ester	6.34	-2.322	0.062	86.009	-2.408	70.0
C20377	3-Hydroxypimeloyl-[acp]_methyl_ester	-8.358	-6.977	0.0	0.0	0.0	50.0
C20376	3-Ketopimeloyl-[acp]_methyl_ester	6.34	-2.322	0.062	86.009	-2.408	70.0
C20375	Glutaryl-[acp]_methyl_ester	7.229	8.693	0.832	563.879	8.873	90.0
C20374	Enoylglutaryl-[acp]_methyl_ester	6.629	-8.155	0.347	384.011	-7.059	90.0
C20378	Enoylpimeloyl-[acp]_methyl_ester	6.629	-8.155	0.347	384.011	-7.059	90.0
C00036	Oxaloacetate	-4.434	10.089	0.02	1110.775	-4.462	80.0
C00966	2-Dehydropantoate	-6.728	-5.358	0.0	0.0	0.0	50.0
C00415	Dihydrofolate	-0.637	6.33	0.019	82.004	-0.665	70.0
C00416	Phosphatidate	4.19	-5.426	0.425	61.244	-4.701	80.0
C01005	O-Phospho-L-serine	-6.582	-6.947	0.0	0.0	0.0	50.0
C04851	MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho-undecaprenol	-4.954	7.735	0.145	244.039	-5.15	80.0
C01798	D-Glucoside	7.435	9.95	0.747	1162.163	9.762	90.0
C00243	Lactose	6.248	6.516	0.959	167.523	7.328	70.0
C00242	Guanine	-4.585	-2.624	0.0	0.0	0.0	50.0
C00245	Taurine	-6.17	-7.418	0.0	0.0	0.0	50.0
C00249	Hexadecanoic_acid	8.651	9.257	0.935	1013.821	9.888	90.0
C18174	Carboxynorspermidine	6.15	6.322	0.973	151.016	7.199	70.0
C00568	4-Aminobenzoate	6.358	5.0	0.786	114.025	6.487	70.0
C04732	5-Amino-6-(1-D-ribitylamino)uracil	4.807	4.322	0.899	47.994	5.431	60.0
C01097	D-Tagatose_6-phosphate	8.022	11.526	0.696	3208.913	11.125	90.0
C00561	Mandelonitrile	-7.435	-9.95	0.0	0.0	0.0	50.0
C01094	D-Fructose_1-phosphate	7.366	10.353	0.711	1472.83	10.033	90.0
C00068	Thiamin_diphosphate	-7.349	4.777	0.168	190.448	-5.001	80.0
C00342	Thioredoxin	-4.916	9.0	0.059	542.19	-4.999	80.0
C00343	Thioredoxin_disulfide	4.672	-9.0	0.05	537.492	-4.742	80.0
C00344	Phosphatidylglycerol	6.426	7.87	0.817	319.925	8.029	80.0
C05684	Selenite	6.943	7.547	0.92	310.055	8.156	80.0
C00063	CTP	6.823	9.067	0.753	649.56	8.933	90.0
C00062	L-Arginine	5.883	-5.044	0.559	92.006	-5.685	90.0
C00065	L-Serine	5.185	-7.009	0.282	165.179	-5.544	80.0
C00064	L-Glutamine	-5.595	-7.294	0.0	0.0	0.0	50.0
C11811	1-Hydroxy-2-methyl-2-butenyl_4-diphosphate	-6.17	9.192	0.123	656.885	-6.337	90.0
C16633	5-Fluorouridine	7.748	7.577	0.978	405.914	8.633	90.0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	3.7	3.963	0.934	28.591	4.738	60.0
C16635	5'-Deoxy-5-fluorocytidine	6.954	7.672	0.906	327.923	8.215	80.0
C16634	5-Fluorouridine_monophosphate	-8.362	-8.464	0.0	0.0	0.0	50.0
C19673	Malonyl-[acp]_methyl_ester	7.954	8.693	0.915	661.827	9.242	90.0
C04079	N-((R)-Pantothenoyl)-L-cysteine	5.615	6.925	0.811	170.526	7.111	70.0
C00668	alpha-D-Glucose_6-phosphate	-3.912	8.772	0.034	452.208	-3.961	80.0
C00663	beta-D-Glucose_1-phosphate	-6.109	4.322	0.29	89.024	-4.689	80.0
C02163	L-Arginyl-tRNA(Arg)	-6.109	-7.435	0.0	0.0	0.0	50.0
C00988	2-Phosphoglycolate	6.229	9.079	0.686	615.828	8.723	90.0
C00117	D-Ribose_5-phosphate	-6.12	-10.034	0.0	0.0	0.0	50.0
C00111	Glycerone_phosphate	-3.388	-6.386	0.0	0.0	0.0	50.0
C02380	6-Mercaptopurine	7.077	7.864	0.9	367.987	8.371	80.0
C00112	CDP	-4.346	-7.547	0.0	0.0	0.0	50.0
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	2.531	-7.049	0.044	138.202	-2.593	70.0
C00118	D-Glyceraldehyde_3-phosphate	4.754	5.968	0.797	89.579	6.157	70.0
C03492	D-4'-Phosphopantothenate	5.17	-6.721	0.341	141.495	-5.594	90.0
C05750	3-Oxooctanoyl-[acp]	5.931	-2.0	0.066	65.011	-2.092	70.0
C05751	trans-Oct-2-enoyl-[acp]	-5.7	6.15	0.732	122.997	-6.492	90.0
C05752	Octanoyl-[acp]	6.498	5.907	0.909	150.389	7.095	70.0
C05753	3-Oxodecanoyl-[acp]	5.931	-2.0	0.066	65.011	-2.092	70.0
C05754	trans-Dec-2-enoyl-[acp]	-5.7	6.15	0.732	122.997	-6.492	90.0
C05755	Decanoyl-[acp]	7.229	5.907	0.817	210.023	7.423	70.0
C05756	3-Oxododecanoyl-[acp]	6.34	-2.322	0.062	86.009	-2.408	70.0
C05757	(R)-3-Hydroxydodecanoyl-[acp]	-7.484	-6.977	0.0	0.0	0.0	50.0
C05758	trans-Dodec-2-enoyl-[acp]	-5.7	6.15	0.732	122.997	-6.492	90.0
C05759	3-Oxotetradecanoyl-[acp]	6.34	-2.322	0.062	86.009	-2.408	70.0
C18172	Carboxyspermidine	6.15	6.322	0.973	151.016	7.199	70.0
C00188	L-Threonine	7.721	-3.577	0.057	222.919	-3.656	80.0
C02702	L-Prolyl-tRNA(Pro)	-7.18	-8.371	0.0	0.0	0.0	50.0
C00185	Cellobiose	7.435	9.931	0.749	1149.222	9.749	90.0
C00183	L-Valine	-3.437	6.986	0.085	137.594	-3.555	80.0
C03794	N6-(1,2-Dicarboxyethyl)-AMP	-2.115	-3.322	0.0	0.0	0.0	50.0
C00181	D-Xylose	7.827	-6.883	0.52	345.1	-7.487	90.0
C02839	L-Tyrosyl-tRNA(Tyr)	-6.807	-8.006	0.0	0.0	0.0	50.0
C04352	(R)-4'-Phosphopantothenoyl-L-cysteine	3.0	-5.163	0.223	43.828	-3.291	70.0
C00842	dTDP-glucose	-5.087	7.577	0.178	224.932	-5.323	80.0
C00015	UDP	-3.907	-6.366	0.0	0.0	0.0	50.0
C02291	L-Cystathionine	6.129	7.131	0.859	210.153	7.497	80.0
C02988	L-Histidyl-tRNA(His)	-6.508	-7.615	0.0	0.0	0.0	50.0
C02554	L-Valyl-tRNA(Val)	-6.443	-8.443	0.0	0.0	0.0	50.0
C11437	1-Deoxy-D-xylulose_5-phosphate	2.415	-4.121	0.307	22.733	-2.801	70.0
C01290	beta-D-Galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide	6.248	7.055	0.886	208.978	7.532	80.0
C00445	5,10-Methenyltetrahydrofolate	3.781	6.371	0.593	96.515	5.84	70.0
C01762	Xanthosine	7.304	7.676	0.952	362.53	8.43	90.0
C00441	L-Aspartate_4-semialdehyde	-4.815	6.524	0.306	120.177	-5.2	80.0
C00440	5-Methyltetrahydrofolate	-2.939	4.755	0.284	34.671	-3.3	70.0
C00526	Deoxyuridine	3.907	-5.958	0.241	77.165	-4.219	80.0
C11453	2-C-Methyl-D-erythritol_2,4-cyclodiphosphate	-3.7	-6.331	0.0	0.0	0.0	50.0
C00522	(R)-Pantoate	7.129	2.807	0.394	146.971	5.855	70.0
C00831	Pantetheine	5.615	6.925	0.811	170.526	7.111	70.0
C04882	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine	5.7	-4.322	0.385	71.985	-4.792	80.0
