compound_code	compound_name	lachnospiraceae_mock_score	clostridium_mock_score	ratio	magnitude	interaction_score	percentile
C20373	3-Hydroxyglutaryl-[acp]_methyl_ester	-1.585	-1.0	0.0	0.0	0.0	50.0
C20372	3-Ketoglutaryl-[acp]_methyl_ester	2.0	1.0	0.5	6.0	1.585	70.0
C20377	3-Hydroxypimeloyl-[acp]_methyl_ester	-1.585	-1.0	0.0	0.0	0.0	50.0
C20376	3-Ketopimeloyl-[acp]_methyl_ester	2.0	1.0	0.5	6.0	1.585	70.0
C00008	ADP	-2.415	-1.415	0.0	0.0	0.0	50.0
C05787	Bilirubin_beta-diglucuronide	2.0	1.0	0.5	6.0	1.585	70.0
C00002	ATP	2.524	4.465	0.565	27.837	3.976	90.0
C00369	Starch	0.893	2.402	0.372	7.142	1.409	70.0
C15972	Enzyme_N6-(lipoyl)lysine	-1.585	1.585	1.0	6.0	-2.585	90.0
C16618	6-Thioxanthine_5'-monophosphate	1.0	-2.585	0.333	8.0	-1.415	80.0
C05336	Selenomethionyl-tRNA(Met)	-1.0	-2.322	0.0	0.0	0.0	50.0
C00259	L-Arabinose	-1.0	3.17	0.222	11.0	-1.289	80.0
C11376	SN38_glucuronide	2.0	1.0	0.5	6.0	1.585	70.0
C01083	alpha,alpha-Trehalose	-2.0	-1.585	0.0	0.0	0.0	50.0
C01931	L-Lysyl-tRNA	-1.0	-2.807	0.0	0.0	0.0	50.0
C12215	Iminoerythrose_4-phosphate	-4.7	-1.0	0.0	0.0	0.0	50.0
C00886	L-Alanyl-tRNA	-1.585	-3.585	0.0	0.0	0.0	50.0
C00092	D-Glucose_6-phosphate	-3.459	-3.075	0.0	0.0	0.0	50.0
C00093	sn-Glycerol_3-phosphate	-1.893	-1.525	0.0	0.0	0.0	50.0
C00498	ADP-glucose	-0.503	-3.157	0.0	0.0	0.0	50.0
C00095	D-Fructose	-2.0	-0.193	0.0	0.0	0.0	50.0
C11173	SN-38	-2.0	-1.0	0.0	0.0	0.0	50.0
C00097	L-Cysteine	0.415	1.474	0.282	4.111	0.211	70.0
C00078	L-Tryptophan	0.585	1.0	0.585	3.5	1.034	70.0
C00079	L-Phenylalanine	-0.097	0.348	0.84	2.342	-0.977	70.0
C00073	L-Methionine	3.585	2.322	0.648	17.001	3.461	90.0
C02282	Glutaminyl-tRNA	-0.737	-2.632	0.0	0.0	0.0	50.0
C00074	Phosphoenolpyruvate	-0.848	-4.699	0.0	0.0	0.0	50.0
C00075	UTP	2.619	5.006	0.523	38.277	4.324	90.0
C00123	L-Leucine	0.222	1.222	0.182	3.499	-0.654	60.0
C00085	D-Fructose_6-phosphate	3.961	-0.363	0.083	16.859	-0.477	60.0
C00242	Guanine	1.0	-0.485	0.7	3.4	-1.25	80.0
C04640	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine	-3.0	2.0	0.5	12.0	-2.585	90.0
C00089	Sucrose	2.0	-0.459	0.344	5.375	-0.885	70.0
C04646	6-Thioinosine-5'-monophosphate	-1.0	2.585	0.333	8.0	-1.415	80.0
C00671	(S)-3-Methyl-2-oxopentanoic_acid	-1.415	-2.83	0.0	0.0	0.0	50.0
C00673	2-Deoxy-D-ribose_5-phosphate	-1.0	-1.322	0.0	0.0	0.0	50.0
C00163	Propanoate	1.0	1.0	1.0	4.0	2.0	80.0
C02984	L-Aspartyl-tRNA(Asp)	-2.0	-1.585	0.0	0.0	0.0	50.0
C02987	L-Glutamyl-tRNA(Glu)	-2.0	-2.0	0.0	0.0	0.0	50.0
C00169	Carbamoyl_phosphate	-2.0	-1.354	0.0	0.0	0.0	50.0
C02047	L-Leucyl-tRNA	-1.0	-3.17	0.0	0.0	0.0	50.0
C00342	Thioredoxin	1.0	3.406	0.294	12.6	1.887	80.0
C00343	Thioredoxin_disulfide	-1.0	-3.17	0.0	0.0	0.0	50.0
C00103	D-Glucose_1-phosphate	2.807	3.36	0.835	17.266	3.85	90.0
C04377	5,10-Methylenetetrahydromethanopterin	-1.585	-2.0	0.0	0.0	0.0	50.0
C04376	5'-Phosphoribosyl-N-formylglycinamide	3.0	2.0	0.667	12.0	3.0	90.0
C00063	CTP	2.524	4.847	0.521	34.532	4.168	90.0
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	-1.28	-2.585	0.0	0.0	0.0	50.0
C00064	L-Glutamine	-1.078	-0.17	0.0	0.0	0.0	50.0
C00109	2-Oxobutanoate	2.322	0.963	0.415	6.95	1.527	70.0
C00861	L-Rhamnulose	2.0	-1.585	0.75	7.0	-2.392	90.0
C00860	L-Histidinol	1.0	1.0	1.0	4.0	2.0	80.0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	0.585	1.322	0.443	4.0	0.824	70.0
C16634	5-Fluorouridine_monophosphate	-1.585	-2.0	0.0	0.0	0.0	50.0
C01050	UDP-N-acetylmuramate	0.893	0.893	1.0	3.714	1.893	80.0
C00279	D-Erythrose_4-phosphate	-4.512	-0.637	0.0	0.0	0.0	50.0
C00900	2-Acetolactate	-2.322	3.459	0.455	15.997	-2.863	90.0
C00668	alpha-D-Glucose_6-phosphate	-3.14	4.02	0.543	25.039	-3.766	90.0
C00475	Cytidine	0.263	-0.536	0.828	2.65	-1.133	70.0
C03406	N-(L-Arginino)succinate	-1.585	-4.392	0.0	0.0	0.0	50.0
C12214	Aminofructose_6-phosphate	4.7	1.0	0.213	27.992	2.574	90.0
C00117	D-Ribose_5-phosphate	-3.467	-2.051	0.0	0.0	0.0	50.0
C00111	Glycerone_phosphate	-0.466	2.357	0.27	6.504	-0.81	70.0
C00112	CDP	-4.087	-2.322	0.0	0.0	0.0	50.0
C00354	D-Fructose_1,6-bisphosphate	-0.222	0.181	0.972	2.3	-1.161	70.0
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	-1.811	-1.237	0.0	0.0	0.0	50.0
C00118	D-Glyceraldehyde_3-phosphate	6.136	6.589	0.931	166.596	7.277	90.0
C00327	L-Citrulline	2.0	4.392	0.455	24.995	3.509	90.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	-1.585	-1.0	0.0	0.0	0.0	50.0
C16219	3-Oxostearoyl-[acp]	2.0	1.0	0.5	6.0	1.585	70.0
C05756	3-Oxododecanoyl-[acp]	2.0	1.0	0.5	6.0	1.585	70.0
C05757	(R)-3-Hydroxydodecanoyl-[acp]	-1.585	-1.0	0.0	0.0	0.0	50.0
C00262	Hypoxanthine	-1.0	0.174	0.564	3.128	-0.819	70.0
C16217	3-Hydroxyoctadecanoyl-CoA	-2.0	-1.0	0.0	0.0	0.0	50.0
C16216	3-Oxostearoyl-CoA	2.0	1.0	0.5	6.0	1.585	70.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	1.0	-1.322	0.8	4.5	-1.848	90.0
C00286	dGTP	1.087	-3.115	0.245	10.788	-1.403	80.0
C00124	D-Galactose	-2.807	3.195	0.764	16.156	-3.626	90.0
C00288	HCO3-	1.0	0.585	0.585	3.5	1.034	70.0
C02553	L-Seryl-tRNA(Ser)	-2.0	-3.7	0.0	0.0	0.0	50.0
C05378	beta-D-Fructose_1,6-bisphosphate	-0.115	-2.515	0.0	0.0	0.0	50.0
C16220	3-Hydroxyoctadecanoyl-[acp]	-1.585	-1.0	0.0	0.0	0.0	50.0
C05746	3-Oxohexanoyl-[acp]	2.0	1.0	0.5	6.0	1.585	70.0
C00458	dCTP	1.415	-3.97	0.17	18.337	-1.642	80.0
C00459	dTTP	1.874	1.322	0.705	6.166	2.121	80.0
C06055	O-Phospho-4-hydroxy-L-threonine	-1.322	-0.737	0.0	0.0	0.0	50.0
C00199	D-Ribulose_5-phosphate	-1.354	0.617	0.6	4.09	-1.295	80.0
C00217	D-Glutamate	-1.0	1.0	1.0	4.0	-2.0	90.0
C00197	3-Phospho-D-glycerate	4.593	4.491	0.978	46.621	5.511	90.0
C00191	D-Glucuronate	-2.0	7.103	0.029	141.473	-2.041	90.0
C00036	Oxaloacetate	1.751	3.341	0.524	13.499	2.823	90.0
C00037	Glycine	-0.17	0.817	0.639	2.887	-0.882	70.0
C00035	GDP	-4.087	-2.415	0.0	0.0	0.0	50.0
C00031	D-Glucose	2.459	-0.222	0.212	6.665	-0.5	60.0
C00330	Deoxyguanosine	-0.585	0.585	1.0	3.0	-1.585	80.0
C00135	L-Histidine	-1.0	1.0	1.0	4.0	-2.0	90.0
C00131	dATP	0.737	-1.926	0.439	5.467	-1.262	80.0
C00130	IMP	-0.222	1.437	0.431	3.874	-0.739	70.0
C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier_protein]	-1.585	-1.0	0.0	0.0	0.0	50.0
C00299	Uridine	0.263	-0.628	0.776	2.745	-1.092	70.0
C12632	Luteolin_7-O-[beta-D-glucuronosyl-(1->2)-beta-D-glucuronide]	-2.0	-1.0	0.0	0.0	0.0	50.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	0.415	-1.0	0.667	3.333	-1.152	70.0
C05747	(R)-3-Hydroxyhexanoyl-[acp]	-1.585	-1.0	0.0	0.0	0.0	50.0
C00041	L-Alanine	0.585	1.907	0.307	5.25	0.688	70.0
C00047	L-Lysine	0.585	1.807	0.324	4.999	0.695	70.0
C00046	RNA	2.747	-4.104	0.39	23.909	-3.222	90.0
C00044	GTP	-2.051	-4.131	0.0	0.0	0.0	50.0
C00049	L-Aspartate	0.057	1.871	0.03	4.698	-2.805	90.0
