compound_code	compound_name	alistipes_mock_score	parabacteroides_mock_score	ratio	magnitude	interaction_score	percentile
C00507	L-Rhamnose	7.966	11.081	0.719	2416.311	10.762	90.0
C00262	Hypoxanthine	3.35	7.192	0.466	156.417	6.187	60.0
C00508	L-Ribulose	-7.112	-9.623	0.175	926.851	-7.345	90.0
C16216	3-Oxostearoyl-CoA	8.358	10.617	0.787	1898.593	10.546	90.0
C00267	alpha-D-Glucose	6.297	8.316	0.757	397.317	8.233	70.0
C00266	Glycolaldehyde	-7.478	-9.327	0.278	820.534	-7.831	90.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	-7.267	-10.328	0.12	1439.421	-7.43	90.0
C00460	dUTP	7.484	-8.414	0.525	520.111	-8.093	90.0
C00286	dGTP	5.554	-6.216	0.632	121.317	-6.261	70.0
C00280	Androstenedione	6.15	5.322	0.865	111.014	6.586	60.0
C00407	L-Isoleucine	-3.485	-6.117	0.161	80.603	-3.701	50.0
C01962	Thiocysteine	-6.129	-9.486	0.098	787.071	-6.263	70.0
C05427	Phytyl_diphosphate	7.044	8.637	0.816	530.068	8.756	80.0
C04691	2-Dehydro-3-deoxy-D-arabino-heptonate_7-phosphate	5.807	8.175	0.71	345.001	7.937	70.0
C18026	(2S)-Ethylmalonyl-CoA	7.96	10.397	0.766	1597.369	10.256	90.0
C01209	Malonyl-[acyl-carrier_protein]	6.902	8.467	0.815	473.445	8.592	80.0
C00217	D-Glutamate	3.907	7.198	0.543	161.831	6.457	60.0
C00214	Thymidine	6.615	6.989	0.946	225.047	7.735	70.0
C00212	Adenosine	7.304	9.618	0.759	943.814	9.485	90.0
C13309	2-Phytyl-1,4-naphthoquinone	-5.892	6.19	0.813	132.393	-6.751	70.0
C05840	Iminoaspartate	5.992	4.459	0.744	85.64	5.994	60.0
C00037	Glycine	-6.054	8.499	0.184	428.229	-6.297	70.0
C00035	GDP	3.624	-6.889	0.104	130.85	-3.767	50.0
C00031	D-Glucose	7.055	9.843	0.717	1051.387	9.558	90.0
C00135	L-Histidine	6.508	7.324	0.889	251.243	7.803	70.0
C00134	Putrescine	-3.459	-7.562	0.058	199.965	-3.541	50.0
C00133	D-Alanine	3.322	8.322	0.399	330.016	7.042	60.0
C00131	dATP	2.115	-4.807	0.155	32.325	-2.323	50.0
C00130	IMP	-0.059	-8.226	0.003	300.456	-0.064	60.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	3.536	8.821	0.401	463.857	7.539	70.0
C00042	Succinate	6.989	10.491	0.666	1566.177	10.027	90.0
C00041	L-Alanine	-4.97	7.966	0.125	281.379	-5.14	60.0
C00040	Acyl-CoA	7.136	7.375	0.968	306.649	8.213	70.0
C00047	L-Lysine	6.931	7.111	0.975	260.259	7.987	70.0
C00046	RNA	-6.306	-8.982	0.156	584.773	-6.516	70.0
C00044	GTP	-6.623	-9.432	0.143	789.305	-6.815	80.0
C00049	L-Aspartate	-3.779	5.764	0.253	68.07	-4.104	50.0
C00048	Glyoxylate	-1.322	-0.874	0.733	4.333	-1.667	50.0
C06481	L-Seryl-tRNA(Sec)	-6.768	-9.987	0.107	1123.8	-6.915	80.0
C20440	alpha-D-Ribose_1,2-cyclic_phosphate_5-phosphate	6.409	6.508	0.985	175.99	7.437	70.0
C01101	L-Ribulose_5-phosphate	5.661	9.168	0.617	625.83	8.594	80.0
C01103	Orotidine_5'-phosphate	-3.7	5.866	0.223	71.319	-3.99	50.0
C05122	Taurocholate	6.17	7.762	0.795	289.071	7.844	70.0
C03681	5alpha-Pregnane-3,20-dione	-6.15	-5.322	0.563	111.014	-5.967	60.0
C03684	6-Pyruvoyltetrahydropterin	-6.476	-8.401	0.263	427.045	-6.813	80.0
C00857	Deamino-NAD+	8.022	4.773	0.595	287.275	7.417	70.0
C05345	beta-D-Fructose_6-phosphate	5.811	6.678	0.87	158.537	7.108	60.0
C00424	(S)-Lactaldehyde	-7.728	-9.649	0.264	1014.869	-8.066	90.0
C00817	D-Altronate	-6.705	-7.612	0.533	299.961	-7.322	90.0
C00036	Oxaloacetate	-4.434	5.972	0.344	84.385	-4.861	50.0
C05223	Dodecanoyl-[acyl-carrier_protein]	6.752	8.264	0.817	415.19	8.406	70.0
C05466	Glycochenodeoxycholate	6.17	7.762	0.795	289.071	7.844	70.0
C05465	Taurochenodeoxycholate	6.17	7.762	0.795	289.071	7.844	70.0
C11907	4,6-Dideoxy-4-oxo-dTDP-D-glucose	-6.807	-7.907	0.467	351.991	-7.359	90.0
C03917	Dihydrotestosterone	-6.15	-5.322	0.563	111.014	-5.967	60.0
C00253	Nicotinate	-7.304	-8.162	0.552	444.446	-7.938	90.0
C00251	Chorismate	3.0	-7.372	0.048	173.651	-3.068	50.0
C00255	Riboflavin	-4.807	-7.57	0.147	218.012	-5.005	50.0
C05336	Selenomethionyl-tRNA(Met)	-6.741	-9.109	0.194	659.147	-6.996	80.0
C05335	L-Selenomethionine	5.322	8.358	0.637	368.104	7.873	70.0
C00395	Penicillin	5.931	6.87	0.863	177.982	7.264	60.0
C01081	Thiamin_monophosphate	7.349	5.322	0.724	203.033	7.2	60.0
C00491	L-Cystine	6.129	9.486	0.646	787.071	8.99	80.0
C00493	Shikimate	2.988	3.544	0.843	19.598	4.046	60.0
C00886	L-Alanyl-tRNA	-6.7	-10.025	0.1	1145.868	-6.837	80.0
C00882	Dephospho-CoA	-2.807	1.585	0.429	9.998	-2.1	50.0
C00881	Deoxycytidine	6.954	7.524	0.924	308.039	8.153	70.0
C00078	L-Tryptophan	6.409	7.31	0.877	243.66	7.739	70.0
C00079	L-Phenylalanine	-1.138	6.981	0.017	128.526	-1.163	60.0
C00073	L-Methionine	5.298	7.384	0.717	206.376	7.21	60.0
C00074	Phosphoenolpyruvate	-6.979	-10.671	0.077	1756.539	-7.087	80.0
C00075	UTP	5.652	9.82	0.576	954.171	9.101	80.0
C00086	Urea	7.102	5.891	0.829	196.72	7.35	60.0
C00085	D-Fructose_6-phosphate	4.926	9.791	0.503	916.3	8.849	80.0
C00082	L-Tyrosine	1.248	-5.466	0.054	46.576	-1.324	60.0
C00081	ITP	7.484	-7.977	0.711	430.974	-8.258	90.0
C04640	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine	4.585	-6.833	0.211	138.009	-4.861	50.0
C03175	Shikimate_3-phosphate	-2.7	5.0	0.203	38.498	-2.967	50.0
C04646	6-Thioinosine-5'-monophosphate	3.807	8.077	0.471	284.031	7.065	60.0
C02218	Dehydroalanine	-7.562	-8.718	0.449	610.063	-8.097	90.0
C01921	Glycocholate	6.17	7.762	0.795	289.071	7.844	70.0
C00673	2-Deoxy-D-ribose_5-phosphate	6.858	10.115	0.678	1224.968	9.698	90.0
C00674	5alpha-Androstane-3,17-dione	-6.15	-5.322	0.563	111.014	-5.967	60.0
C00106	Uracil	-2.202	-7.541	0.025	190.839	-2.237	50.0
C00105	UMP	5.356	-6.14	0.581	111.478	-6.017	60.0
C00103	D-Glucose_1-phosphate	5.218	9.864	0.529	969.1	9.002	80.0
C00101	Tetrahydrofolate	4.512	2.23	0.494	27.508	3.765	60.0
C15556	L-3,4-Dihydroxybutan-2-one_4-phosphate	6.066	-8.205	0.227	362.084	-6.361	70.0
C04702	UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)	5.7	7.531	0.757	236.935	7.486	70.0
C05764	Hexadecanoyl-[acp]	7.229	8.667	0.834	556.487	8.858	80.0
C05761	Tetradecanoyl-[acp]	7.229	8.667	0.834	556.487	8.858	80.0
C05760	trans-Tetradec-2-enoyl-[acp]	-5.7	7.317	0.326	211.439	-6.107	60.0
C05763	trans-Hexadec-2-enoyl-[acp]	-5.7	7.317	0.326	211.439	-6.107	60.0
C05762	3-Oxohexadecanoyl-[acp]	5.931	9.041	0.656	587.77	8.591	80.0
C00361	dGDP	-4.481	6.185	0.307	95.088	-4.867	50.0
C02992	L-Threonyl-tRNA(Thr)	-7.721	-9.617	0.269	996.231	-8.064	90.0
C00179	Agmatine	5.781	-9.512	0.075	785.111	-5.886	60.0
C03090	5-Phosphoribosylamine	5.385	-6.926	0.344	163.388	-5.811	60.0
C02972	Dihydrolipoylprotein	-6.15	-7.539	0.382	256.992	-6.617	70.0
C01079	Protoporphyrinogen_IX	-6.109	-7.82	0.305	294.995	-6.494	70.0
C11435	4-(Cytidine_5'-diphospho)-2-C-methyl-D-erythritol	-3.585	3.485	0.933	23.197	-4.436	50.0
C11436	2-Phospho-4-(cytidine_5'-diphospho)-2-C-methyl-D-erythritol	3.459	-4.752	0.408	37.943	-3.953	50.0
C11437	1-Deoxy-D-xylulose_5-phosphate	2.415	-5.946	0.087	66.982	-2.535	50.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	-6.15	-7.781	0.323	290.958	-6.554	70.0
C04824	Lipid_X	-5.672	-3.0	0.157	58.985	-3.21	50.0
C01172	beta-D-Glucose_6-phosphate	-3.322	-4.585	0.417	34.001	-3.825	50.0
C03393	4-Phospho-D-erythronate	5.781	8.165	0.708	342.005	7.92	70.0
C00169	Carbamoyl_phosphate	4.147	-8.773	0.04	455.174	-4.204	50.0
C18796	(2R)-2-Hydroxy-2-methylbutanenitrile	-7.435	-10.551	0.115	1673.308	-7.592	90.0
C08334	Lotaustralin	7.435	10.551	0.705	1673.308	10.204	90.0
C02412	Glycyl-tRNA(Gly)	-6.714	-8.743	0.245	533.437	-7.03	80.0
C00680	meso-2,6-Diaminoheptanedioate	-3.322	4.545	0.428	33.345	-3.836	50.0
C02553	L-Seryl-tRNA(Ser)	-6.768	-9.989	0.107	1125.208	-6.915	80.0
C05378	beta-D-Fructose_1,6-bisphosphate	-6.164	10.035	0.068	1120.851	-6.259	70.0
C00831	Pantetheine	5.615	8.725	0.644	472.152	8.247	70.0
C20238	(2R)-Ethylmalonyl-CoA	-7.96	-10.397	0.185	1597.369	-8.204	90.0
C20239	6-Carboxy-5,6,7,8-tetrahydropterin	-6.476	-8.401	0.263	427.045	-6.813	80.0
C00514	D-Mannonate	7.401	9.953	0.744	1160.192	9.753	90.0
C16220	3-Hydroxyoctadecanoyl-[acp]	-8.358	-10.617	0.209	1898.593	-8.632	90.0
C16221	(2E)-Octadecenoyl-[acp]	6.629	9.106	0.728	650.01	8.886	80.0
C00458	dCTP	5.668	-6.427	0.591	136.888	-6.338	70.0
C00459	dTTP	6.964	-8.832	0.274	580.564	-7.313	90.0
C15973	Enzyme_N6-(dihydrolipoyl)lysine	6.907	10.05	0.687	1180.12	9.664	90.0
C15972	Enzyme_N6-(lipoyl)lysine	-6.907	-10.05	0.113	1180.12	-7.062	80.0
C00330	Deoxyguanosine	7.304	8.17	0.894	446.039	8.639	80.0
C00333	D-Galacturonate	7.687	9.931	0.774	1182.249	9.838	90.0
C12739	5'-Deoxy-5-fluorouridine	-6.954	-8.516	0.339	490.059	-7.375	90.0
C00337	(S)-Dihydroorotate	-6.57	3.7	0.137	108.006	-3.885	50.0
C04121	CMP-3-deoxy-D-manno-octulosonate	3.787	-5.24	0.365	51.596	-4.236	50.0
C04122	D-1-Aminopropan-2-ol_O-phosphate	3.17	-4.7	0.346	34.993	-3.599	50.0
C00631	2-Phospho-D-glycerate	-2.621	-6.391	0.073	90.075	-2.723	50.0
C02528	Chenodeoxycholate	-6.17	-7.762	0.332	289.071	-6.583	70.0
C01594	Linamarin	7.435	10.551	0.705	1673.308	10.204	90.0
C00208	Maltose	6.109	-9.655	0.086	875.226	-6.228	60.0
C00204	2-Dehydro-3-deoxy-D-gluconate	5.919	9.289	0.637	686.064	8.772	80.0
C01213	(R)-Methylmalonyl-CoA	7.057	11.778	0.599	3644.971	11.093	90.0
C01212	UDP-N-acetylmuramoyl-L-alanine	-5.119	7.726	0.164	246.469	-5.338	60.0
C00025	L-Glutamate	5.618	3.367	0.599	59.429	5.155	60.0
C00148	L-Proline	7.18	7.538	0.953	330.86	8.3	70.0
C00026	2-Oxoglutarate	-6.017	5.085	0.524	98.701	-5.693	60.0
C00020	AMP	1.585	-7.908	0.012	243.185	-1.603	50.0
C00022	Pyruvate	6.239	-7.12	0.543	214.633	-6.865	80.0
C00143	5,10-Methylenetetrahydrofolate	-5.215	-8.635	0.093	434.695	-5.344	60.0
C00141	3-Methyl-2-oxobutanoic_acid	-4.392	-6.226	0.28	95.849	-4.749	50.0
C00029	UDP-glucose	4.17	8.82	0.473	469.945	7.796	70.0
C00147	Adenine	-2.755	-6.608	0.069	104.296	-2.852	50.0
C00144	GMP	-6.229	-8.565	0.198	453.733	-6.49	70.0
C05729	R-S-Cysteinylglycine	8.618	10.589	0.814	1933.2	10.62	90.0
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	-3.382	-5.931	0.171	71.436	-3.61	50.0
C03232	3-Phosphonooxypyruvate	3.766	-1.138	0.162	15.805	-1.354	50.0
C02737	Phosphatidylserine	2.624	-5.992	0.097	69.811	-2.757	50.0
C00099	beta-Alanine	5.615	7.451	0.754	223.984	7.399	70.0
C06319	Precorrin_6Y	6.129	3.7	0.604	82.982	5.647	60.0
C05726	S-Substituted_L-cysteine	-8.618	-10.589	0.255	1933.2	-8.946	90.0
C00700	XTP	7.484	9.543	0.784	925.006	9.503	90.0
C00705	dCDP	-2.939	5.392	0.183	49.66	-3.181	50.0
C06250	Holo-[carboxylase]	-6.267	-8.214	0.259	373.946	-6.6	70.0
C02637	3-Dehydroshikimate	-4.985	6.639	0.318	131.333	-5.383	60.0
C03194	(R)-1-Aminopropan-2-ol	6.248	6.687	0.934	179.039	7.386	60.0
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	4.907	8.604	0.57	419.103	7.901	70.0
C01134	Pantetheine_4'-phosphate	5.415	-7.18	0.294	187.675	-5.787	60.0
C01131	L-Rhamnulose_1-phosphate	5.833	10.16	0.574	1201.106	9.43	80.0
C03511	L-Phenylalanyl-tRNA(Phe)	-6.615	-9.641	0.123	896.437	-6.782	80.0
C03512	L-Tryptophanyl-tRNA(Trp)	-6.409	-8.945	0.172	577.825	-6.638	70.0
C12147	L-Threonine_O-3-phosphate	6.087	7.0	0.87	195.978	7.413	70.0
C06408	Precorrin_8X	-6.129	-3.7	0.186	82.982	-3.946	50.0
C03125	L-Cysteinyl-tRNA(Cys)	-6.845	-9.814	0.128	1015.097	-7.018	80.0
C03127	L-Isoleucyl-tRNA(Ile)	-6.57	-9.426	0.138	782.883	-6.757	70.0
C20373	3-Hydroxyglutaryl-[acp]_methyl_ester	-8.358	-10.617	0.209	1898.593	-8.632	90.0
C20372	3-Ketoglutaryl-[acp]_methyl_ester	6.34	9.263	0.684	695.394	8.895	80.0
C20377	3-Hydroxypimeloyl-[acp]_methyl_ester	-8.358	-10.617	0.209	1898.593	-8.632	90.0
C20376	3-Ketopimeloyl-[acp]_methyl_ester	6.34	9.263	0.684	695.394	8.895	80.0
C20375	Glutaryl-[acp]_methyl_ester	7.229	8.667	0.834	556.487	8.858	80.0
C20374	Enoylglutaryl-[acp]_methyl_ester	6.629	9.106	0.728	650.01	8.886	80.0
C20378	Enoylpimeloyl-[acp]_methyl_ester	6.629	9.106	0.728	650.01	8.886	80.0
C00966	2-Dehydropantoate	-6.728	-7.854	0.458	337.367	-7.272	80.0
C11542	Cobalt-precorrin_6	-6.409	-3.17	0.106	93.977	-3.315	50.0
C04919	2,3,2'3'-Tetrakis(3-hydroxytetradecanoyl)-D-glucosaminyl-1,6-beta-D-glucosamine_1,4'-bisphosphate	-2.0	-7.577	0.021	194.943	-2.03	50.0
C00415	Dihydrofolate	-0.637	-4.605	0.064	25.891	-0.726	60.0
C00416	Phosphatidate	4.19	8.021	0.522	278.006	7.182	60.0
C00410	Progesterone	6.15	5.322	0.865	111.014	6.586	60.0
C01005	O-Phospho-L-serine	-6.582	-9.526	0.13	833.048	-6.758	70.0
C04851	MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho-undecaprenol	-4.954	-6.304	0.392	110.008	-5.431	60.0
C01798	D-Glucoside	7.435	10.551	0.705	1673.308	10.204	90.0
C00194	Cobamide_coenzyme	-6.585	-7.209	0.649	243.956	-7.306	90.0
C00243	Lactose	6.248	11.461	0.545	2895.067	10.624	90.0
C00242	Guanine	-4.585	-8.595	0.062	410.682	-4.672	50.0
C00245	Taurine	-6.17	-6.486	0.803	161.639	-7.021	80.0
C00249	Hexadecanoic_acid	8.651	10.087	0.858	1489.637	10.319	90.0
C18174	Carboxynorspermidine	6.15	8.566	0.718	449.998	8.336	70.0
C00568	4-Aminobenzoate	6.358	8.124	0.783	361.002	8.142	70.0
C04732	5-Amino-6-(1-D-ribitylamino)uracil	4.807	-7.562	0.148	216.961	-5.006	50.0
C01097	D-Tagatose_6-phosphate	8.022	9.329	0.86	903.079	9.601	90.0
C00561	Mandelonitrile	-7.435	-10.551	0.115	1673.308	-7.592	90.0
C01094	D-Fructose_1-phosphate	7.366	10.599	0.695	1715.981	10.22	90.0
C00068	Thiamin_diphosphate	-7.349	4.229	0.115	181.783	-4.386	50.0
C00342	Thioredoxin	-4.916	-7.406	0.178	199.791	-5.152	60.0
C00343	Thioredoxin_disulfide	4.672	7.322	0.638	185.5	6.887	60.0
C00344	Phosphatidylglycerol	6.426	7.087	0.907	221.941	7.653	70.0
C05684	Selenite	6.943	9.441	0.735	818.104	9.233	80.0
C00063	CTP	6.823	9.99	0.683	1130.148	9.592	90.0
C05689	Se-Methyl-L-selenocysteine	6.741	8.547	0.789	480.993	8.567	70.0
C00065	L-Serine	5.185	-7.847	0.158	266.619	-5.397	60.0
C00064	L-Glutamine	-5.595	-8.294	0.154	362.2	-5.802	60.0
C11811	1-Hydroxy-2-methyl-2-butenyl_4-diphosphate	-6.17	-7.629	0.364	269.955	-6.618	70.0
C16633	5-Fluorouridine	7.748	8.725	0.888	638.114	9.146	80.0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	3.7	8.518	0.434	379.58	7.365	60.0
C16635	5'-Deoxy-5-fluorocytidine	6.954	8.516	0.817	490.059	8.644	80.0
C16634	5-Fluorouridine_monophosphate	-8.362	-9.773	0.376	1203.928	-8.823	90.0
C19673	Malonyl-[acp]_methyl_ester	7.954	9.691	0.821	1074.54	9.785	90.0
C04079	N-((R)-Pantothenoyl)-L-cysteine	5.615	8.725	0.644	472.152	8.247	70.0
C00668	alpha-D-Glucose_6-phosphate	-3.912	-9.765	0.017	885.131	-3.937	50.0
C01269	5-O-(1-Carboxyvinyl)-3-phosphoshikimate	-2.322	-5.392	0.119	46.991	-2.484	50.0
C02163	L-Arginyl-tRNA(Arg)	-6.109	-9.36	0.105	726.137	-6.253	70.0
C00988	2-Phosphoglycolate	6.229	6.358	0.98	157.035	7.265	60.0
C00117	D-Ribose_5-phosphate	-6.12	-9.819	0.077	972.813	-6.227	60.0
C00111	Glycerone_phosphate	-3.388	-9.192	0.018	595.35	-3.414	50.0
C02380	6-Mercaptopurine	7.077	9.241	0.766	740.105	9.147	80.0
C00112	CDP	-4.346	-8.65	0.051	422.044	-4.417	50.0
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	2.531	-6.682	0.056	108.459	-2.61	50.0
C00118	D-Glyceraldehyde_3-phosphate	4.754	8.074	0.589	296.457	7.448	70.0
C03492	D-4'-Phosphopantothenate	5.17	5.781	0.894	90.988	6.346	60.0
C01346	dUDP	-3.459	-4.874	0.375	40.321	-3.918	50.0
