compound_code	compound_name	turicibacter_mock_score	alistipes_mock_score	ratio	magnitude	interaction_score	percentile
C00673	2-Deoxy-D-ribose_5-phosphate	-0.585	6.858	0.013	117.502	-0.604	60.0
C00160	Glycolate	-3.123	-6.229	0.116	83.721	-3.282	60.0
C00163	Propanoate	2.585	7.238	0.357	156.958	5.809	80.0
C02984	L-Aspartyl-tRNA(Asp)	-5.833	-6.285	0.731	134.983	-6.625	90.0
C00561	Mandelonitrile	-4.672	-7.435	0.147	198.537	-4.87	90.0
C02987	L-Glutamyl-tRNA(Glu)	-5.459	-6.426	0.512	129.971	-6.055	90.0
C00169	Carbamoyl_phosphate	-3.563	4.147	0.667	29.535	-4.3	80.0
C02047	L-Leucyl-tRNA	-4.0	-6.524	0.174	108.028	-4.231	80.0
C00106	Uracil	4.524	-2.202	0.2	27.608	-2.465	50.0
C20373	3-Hydroxyglutaryl-[acp]_methyl_ester	3.322	-8.358	0.03	338.102	-3.365	60.0
C00342	Thioredoxin	-3.496	-4.916	0.374	41.472	-3.954	70.0
C00105	UMP	1.322	5.356	0.247	43.456	3.423	70.0
C03082	4-Phospho-L-aspartate	3.406	1.379	0.405	13.201	2.418	70.0
C00103	D-Glucose_1-phosphate	-1.536	5.218	0.078	40.12	-1.644	50.0
C04377	5,10-Methylenetetrahydromethanopterin	-1.585	-7.15	0.021	145.025	-1.615	50.0
C04376	5'-Phosphoribosyl-N-formylglycinamide	1.0	-3.459	0.182	12.997	-1.241	50.0
C00063	CTP	3.632	6.823	0.532	125.619	6.063	80.0
C00062	L-Arginine	-1.0	5.883	0.034	61.015	-1.048	50.0
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	-4.063	4.441	0.77	38.435	-4.886	90.0
C00064	L-Glutamine	-3.478	-5.595	0.231	59.478	-3.777	70.0
C11811	1-Hydroxy-2-methyl-2-butenyl_4-diphosphate	-3.585	-6.17	0.167	84.004	-3.807	70.0
C16633	5-Fluorouridine	3.907	7.748	0.504	229.972	6.858	90.0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	-1.293	3.7	0.189	15.446	-1.542	50.0
C16634	5-Fluorouridine_monophosphate	-3.907	-8.362	0.046	344.014	-3.971	80.0
C03972	2,3,4,5-Tetrahydrodipicolinate	-0.415	-1.976	0.339	5.267	-0.836	60.0
C20377	3-Hydroxypimeloyl-[acp]_methyl_ester	3.322	-8.358	0.03	338.102	-3.365	60.0
C19673	Malonyl-[acp]_methyl_ester	4.17	7.954	0.524	265.967	7.123	90.0
C04702	UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)	1.0	5.7	0.175	53.984	3.244	70.0
C00577	D-Glyceraldehyde	-1.0	-7.366	0.012	166.963	-1.017	60.0
C05764	Hexadecanoyl-[acp]	4.17	7.229	0.577	168.02	6.599	90.0
C01419	Cys-Gly	3.807	8.618	0.442	406.892	7.49	90.0
C05761	Tetradecanoyl-[acp]	4.17	7.229	0.577	168.02	6.599	90.0
C05760	trans-Tetradec-2-enoyl-[acp]	-4.087	-5.7	0.327	68.979	-4.495	80.0
C05763	trans-Hexadec-2-enoyl-[acp]	-4.087	-5.7	0.327	68.979	-4.495	80.0
C05762	3-Oxohexadecanoyl-[acp]	-3.087	5.931	0.139	69.508	-3.275	60.0
C00275	D-Mannose_6-phosphate	-4.115	6.714	0.165	122.31	-4.335	80.0
C05465	Taurochenodeoxycholate	1.0	6.17	0.162	74.004	3.584	70.0
C08325	Amygdalin	4.672	7.435	0.628	198.537	6.963	90.0
C03402	L-Asparaginyl-tRNA(Asn)	-1.585	-7.0	0.023	131.0	-1.618	50.0
C02992	L-Threonyl-tRNA(Thr)	-5.585	-7.721	0.228	258.987	-5.881	90.0
C00179	Agmatine	3.0	5.781	0.519	62.986	5.031	80.0
C00475	Cytidine	-1.826	-5.258	0.093	41.812	-1.954	50.0
C12215	Iminoerythrose_4-phosphate	-2.322	-7.476	0.028	183.033	-2.362	50.0
C12214	Aminofructose_6-phosphate	2.322	7.476	0.311	183.033	5.829	80.0
C00988	2-Phosphoglycolate	4.248	6.229	0.682	94.01	6.003	80.0
C00234	10-Formyltetrahydrofolate	-1.04	-3.229	0.219	11.432	-1.326	50.0
C00117	D-Ribose_5-phosphate	3.568	-6.12	0.171	81.411	-3.795	70.0
C00111	Glycerone_phosphate	0.93	-3.388	0.182	12.374	-1.171	50.0
C03090	5-Phosphoribosylamine	4.868	5.385	0.904	70.99	6.004	80.0
C00112	CDP	-5.524	-4.346	0.442	66.35	-4.874	90.0
C20372	3-Ketoglutaryl-[acp]_methyl_ester	-3.459	6.34	0.136	92.005	-3.643	70.0
C05698	Selenohomocysteine	2.807	-1.585	0.429	9.998	-2.1	50.0
C00668	alpha-D-Glucose_6-phosphate	-2.705	-3.912	0.433	21.574	-3.224	60.0
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	-3.487	2.531	0.515	16.992	-3.131	60.0
C00243	Lactose	2.115	6.248	0.339	80.336	4.765	80.0
C00149	(S)-Malate	1.0	-5.856	0.035	59.92	-1.049	50.0
C00068	Thiamin_diphosphate	0.838	-7.349	0.011	164.818	-0.854	60.0
C00692	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	4.954	-4.392	0.677	51.991	-5.138	90.0
C01762	Xanthosine	1.0	7.304	0.137	160.024	4.453	70.0
C00695	Cholic_acid	-1.0	-6.17	0.028	74.004	-1.04	50.0
C11435	4-(Cytidine_5'-diphospho)-2-C-methyl-D-erythritol	1.585	-3.585	0.25	15.0	-1.907	50.0
C11436	2-Phospho-4-(cytidine_5'-diphospho)-2-C-methyl-D-erythritol	-1.585	3.459	0.273	13.997	-1.933	50.0
C00857	Deamino-NAD+	-3.459	8.022	0.042	270.93	-3.519	70.0
C05750	3-Oxooctanoyl-[acp]	-3.087	5.931	0.139	69.508	-3.275	60.0
C00681	1-Acyl-sn-glycerol_3-phosphate	2.954	-6.561	0.082	102.168	-3.068	60.0
C00269	CDP-diacylglycerol	1.0	-1.773	0.585	5.418	-1.665	50.0
C05753	3-Oxodecanoyl-[acp]	-3.087	5.931	0.139	69.508	-3.275	60.0
C00506	L-Cysteate	4.17	6.658	0.626	118.986	6.22	90.0
C05755	Decanoyl-[acp]	4.17	7.229	0.577	168.02	6.599	90.0
C05756	3-Oxododecanoyl-[acp]	-3.459	6.34	0.136	92.005	-3.643	70.0
C05757	(R)-3-Hydroxydodecanoyl-[acp]	3.322	-7.484	0.056	189.023	-3.4	70.0
C05758	trans-Dodec-2-enoyl-[acp]	-4.087	-5.7	0.327	68.979	-4.495	80.0
C05759	3-Oxotetradecanoyl-[acp]	-3.459	6.34	0.136	92.005	-3.643	70.0
C00508	L-Ribulose	-4.585	-7.112	0.173	162.333	-4.816	90.0
C16216	3-Oxostearoyl-CoA	3.0	8.358	0.359	336.102	6.915	90.0
C00267	alpha-D-Glucose	-3.798	6.297	0.177	92.539	-4.033	80.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	-2.322	-7.267	0.032	159.023	-2.368	50.0
C08334	Lotaustralin	4.672	7.435	0.628	198.537	6.963	90.0
C00993	D-Alanyl-D-alanine	-3.907	-3.0	0.533	23.001	-3.617	70.0
C02702	L-Prolyl-tRNA(Pro)	-4.087	-7.18	0.117	162.004	-4.247	80.0
C00185	Cellobiose	2.907	7.435	0.391	180.545	6.141	80.0
C00526	Deoxyuridine	1.0	3.907	0.256	17.001	2.121	60.0
C00181	D-Xylose	-3.322	7.827	0.044	237.072	-3.384	70.0
C00343	Thioredoxin_disulfide	3.544	4.672	0.759	37.157	4.817	80.0
C00122	Fumarate	-0.766	4.809	0.061	29.732	-0.851	60.0
C00286	dGTP	3.047	5.554	0.549	55.246	4.922	80.0
C00124	D-Galactose	2.907	6.098	0.477	75.999	5.179	80.0
C00011	CO2	2.322	7.581	0.306	196.474	5.911	80.0
C00294	Inosine	1.0	7.304	0.137	160.024	4.453	70.0
C00206	dADP	2.237	4.018	0.557	20.915	3.542	70.0
C02412	Glycyl-tRNA(Gly)	-4.807	-6.714	0.267	132.975	-5.148	90.0
C00680	meso-2,6-Diaminoheptanedioate	2.342	-3.322	0.507	15.071	-2.934	60.0
C02553	L-Seryl-tRNA(Ser)	-3.907	-6.768	0.138	123.987	-4.093	80.0
C00842	dTDP-glucose	-2.585	-5.087	0.177	39.989	-2.82	50.0
C05378	beta-D-Fructose_1,6-bisphosphate	-4.832	-6.164	0.397	100.187	-5.315	90.0
C20374	Enoylglutaryl-[acp]_methyl_ester	-4.087	6.629	0.172	115.97	-4.316	80.0
C04691	2-Dehydro-3-deoxy-D-arabino-heptonate_7-phosphate	-2.322	5.807	0.089	60.986	-2.445	50.0
C03785	D-Tagatose_1,6-bisphosphate	-5.555	-8.022	0.181	306.947	-5.795	90.0
C05749	Hexanoyl-[acp]	4.17	7.229	0.577	168.02	6.599	90.0
C05748	trans-Hex-2-enoyl-[acp]	-4.087	-5.7	0.327	68.979	-4.495	80.0
C16220	3-Hydroxyoctadecanoyl-[acp]	3.322	-8.358	0.03	338.102	-3.365	60.0
C16221	(2E)-Octadecenoyl-[acp]	-4.087	6.629	0.172	115.97	-4.316	80.0
C05745	Butyryl-[acp]	4.17	7.229	0.577	168.02	6.599	90.0
C05744	Acetoacetyl-[acp]	-2.807	6.074	0.104	74.367	-2.95	60.0
C03150	Nicotinamide-beta-riboside	1.0	7.304	0.137	160.024	4.453	70.0
C04618	(3R)-3-Hydroxybutanoyl-[acyl-carrier_protein]	2.678	-6.752	0.059	114.184	-2.761	50.0
C04619	(3R)-3-Hydroxydecanoyl-[acyl-carrier_protein]	2.954	-7.071	0.058	142.206	-3.035	60.0
C00458	dCTP	3.0	5.668	0.529	58.844	4.961	80.0
C00459	dTTP	3.585	6.964	0.515	136.846	6.138	80.0
C01209	Malonyl-[acyl-carrier_protein]	4.17	6.902	0.604	137.595	6.377	90.0
C00199	D-Ribulose_5-phosphate	1.659	-4.418	0.148	24.535	-1.858	50.0
C00019	S-Adenosyl-L-methionine	-1.585	-4.022	0.185	19.246	-1.829	50.0
C00217	D-Glutamate	-3.585	3.907	0.8	27.001	-4.433	80.0
C00197	3-Phospho-D-glycerate	5.743	6.427	0.894	139.601	6.963	90.0
C02554	L-Valyl-tRNA(Val)	-1.0	-6.443	0.023	89.003	-1.033	50.0
C00212	Adenosine	1.0	7.304	0.137	160.024	4.453	70.0
C01097	D-Tagatose_6-phosphate	5.555	8.022	0.692	306.947	7.732	90.0
C00208	Maltose	-1.585	6.109	0.043	72.023	-1.646	50.0
C00036	Oxaloacetate	3.289	-4.434	0.452	31.39	-3.827	70.0
C00037	Glycine	-0.089	-6.054	0.016	67.505	-0.112	60.0
C11907	4,6-Dideoxy-4-oxo-dTDP-D-glucose	-3.807	-6.807	0.125	125.969	-3.977	80.0
C03373	Aminoimidazole_ribotide	3.907	-5.7	0.289	66.985	-4.273	80.0
C00031	D-Glucose	-2.858	7.055	0.055	140.224	-2.935	60.0
C00330	Deoxyguanosine	1.0	7.304	0.137	160.024	4.453	70.0
C00354	D-Fructose_1,6-bisphosphate	2.273	-2.459	0.879	10.332	-3.183	60.0
C00134	Putrescine	1.585	-3.459	0.273	13.997	-1.933	50.0
C00133	D-Alanine	3.907	3.322	0.85	25.002	4.41	70.0
C00131	dATP	-0.531	2.115	0.334	5.777	-0.946	60.0
C00130	IMP	0.716	-0.059	0.634	2.684	-0.768	60.0
C00620	alpha-D-Ribose_1-phosphate	1.807	7.492	0.241	183.517	5.468	80.0
C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier_protein]	3.322	-7.484	0.056	189.023	-3.4	70.0
C01050	UDP-N-acetylmuramate	3.496	5.64	0.62	61.149	5.244	80.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	1.0	-6.15	0.028	73.012	-1.04	50.0
C04574	di-trans,poly-cis-Undecaprenyl_diphosphate	-1.0	-6.0	0.031	66.0	-1.044	50.0
C01172	beta-D-Glucose_6-phosphate	-1.71	-3.322	0.327	13.272	-2.118	50.0
C18796	(2R)-2-Hydroxy-2-methylbutanenitrile	-4.672	-7.435	0.147	198.537	-4.87	90.0
C01212	UDP-N-acetylmuramoyl-L-alanine	-3.322	-5.119	0.288	44.752	-3.687	70.0
C00631	2-Phospho-D-glycerate	-0.594	-2.621	0.245	7.661	-0.911	60.0
C02528	Chenodeoxycholate	-1.0	-6.17	0.028	74.004	-1.04	50.0
C00440	5-Methyltetrahydrofolate	2.807	-2.939	0.913	14.667	-3.743	70.0
C01269	5-O-(1-Carboxyvinyl)-3-phosphoshikimate	-2.585	-2.322	0.833	11.0	-3.196	60.0
C01594	Linamarin	4.672	7.435	0.628	198.537	6.963	90.0
C11453	2-C-Methyl-D-erythritol_2,4-cyclodiphosphate	3.209	-3.7	0.712	22.243	-3.984	80.0
C00448	trans,trans-Farnesyl_diphosphate	1.0	4.285	0.233	21.495	2.327	60.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	3.022	3.536	0.855	19.723	4.075	70.0
C04882	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine	1.0	5.7	0.175	53.984	3.244	70.0
C00041	L-Alanine	3.907	-4.97	0.479	46.343	-4.471	80.0
C00040	Acyl-CoA	2.7	7.136	0.378	147.151	5.799	80.0
C00046	RNA	4.077	-6.306	0.213	95.999	-4.356	80.0
C00044	GTP	-2.605	-6.623	0.062	104.649	-2.691	50.0
C05335	L-Selenomethionine	-2.585	5.322	0.15	46.002	-2.787	50.0
C00204	2-Dehydro-3-deoxy-D-gluconate	0.322	5.919	0.054	61.756	1.748	60.0
C00049	L-Aspartate	2.714	-3.779	0.478	20.289	-3.278	60.0
C00048	Glyoxylate	3.322	-1.322	0.25	12.501	-1.644	50.0
C05223	Dodecanoyl-[acyl-carrier_protein]	4.17	6.752	0.618	125.785	6.28	90.0
C05143	Dhurrin	4.672	7.435	0.628	198.537	6.963	90.0
