compound_code	compound_name	lactobacillus_mock_score	bacteroides_mock_score	ratio	magnitude	interaction_score	percentile
C00886	L-Alanyl-tRNA	-3.907	-5.358	0.366	56.014	-4.357	80.0
C00498	ADP-glucose	-5.219	-2.858	0.195	44.496	-3.115	60.0
C00882	Dephospho-CoA	-5.044	-2.322	0.152	37.991	-2.526	50.0
C00078	L-Tryptophan	3.459	-3.298	0.894	20.832	-4.22	80.0
C00079	L-Phenylalanine	2.883	-1.068	0.284	9.473	-1.429	60.0
C00073	L-Methionine	-2.087	3.079	0.503	12.699	-2.675	50.0
C00071	Aldehyde	-6.907	-0.585	0.012	121.509	-0.603	60.0
C00077	L-Ornithine	1.0	-1.918	0.529	5.779	-1.613	50.0
C00074	Phosphoenolpyruvate	-8.696	-6.07	0.162	481.904	-6.287	90.0
C00075	UTP	3.126	7.252	0.431	161.16	6.118	90.0
C00085	D-Fructose_6-phosphate	-3.471	3.228	0.845	20.458	-4.112	80.0
C00084	Acetaldehyde	-6.66	-0.485	0.014	102.525	-0.505	60.0
C00083	Malonyl-CoA	-3.693	3.574	0.921	24.842	-4.516	80.0
C00082	L-Tyrosine	1.766	-2.248	0.716	8.151	-2.545	50.0
C00081	ITP	5.0	-3.322	0.313	42.0	-3.714	70.0
C04640	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine	-2.322	-4.858	0.172	34.001	-2.551	50.0
C00089	Sucrose	-6.683	-2.322	0.049	107.751	-2.391	50.0
C00670	sn-Glycero-3-phosphocholine	4.0	3.7	0.925	28.996	4.745	80.0
C00671	(S)-3-Methyl-2-oxopentanoic_acid	4.314	-2.965	0.393	27.699	-3.443	60.0
C01921	Glycocholate	6.907	1.0	0.145	122.009	4.143	80.0
C00673	2-Deoxy-D-ribose_5-phosphate	4.426	3.807	0.86	35.493	4.932	80.0
C00106	Uracil	-4.878	2.379	0.177	34.607	-2.614	50.0
C00104	IDP	5.426	4.807	0.886	70.985	5.975	90.0
C00105	UMP	0.593	-1.787	0.437	4.959	-1.116	60.0
C00103	D-Glucose_1-phosphate	6.54	3.935	0.602	108.349	6.027	90.0
C00100	Propanoyl-CoA	-10.569	-3.585	0.008	1531.099	-3.596	70.0
C00101	Tetrahydrofolate	1.485	-1.026	0.727	4.836	-1.815	50.0
C00109	2-Oxobutanoate	8.294	-0.663	0.005	315.448	-0.67	60.0
C05764	Hexadecanoyl-[acp]	-2.322	5.768	0.092	59.493	-2.449	50.0
C06899	Chloral_hydrate	7.704	0.585	0.076	210.014	3.995	70.0
C05761	Tetradecanoyl-[acp]	-2.322	5.768	0.092	59.493	-2.449	50.0
C05760	trans-Tetradec-2-enoyl-[acp]	-3.459	-3.0	0.727	18.997	-3.789	70.0
C05763	trans-Hexadec-2-enoyl-[acp]	-3.459	-3.0	0.727	18.997	-3.789	70.0
C05762	3-Oxohexadecanoyl-[acp]	4.19	-4.373	0.881	38.973	-5.101	90.0
C00361	dGDP	7.793	-2.397	0.024	227.049	-2.431	50.0
C02992	L-Threonyl-tRNA(Thr)	-3.907	-6.066	0.224	81.997	-4.198	80.0
C03090	5-Phosphoribosylamine	2.678	1.138	0.425	8.6	1.87	70.0
C07086	Phenylacetic_acid	-4.807	4.392	0.75	48.988	-5.199	90.0
C02972	Dihydrolipoylprotein	7.6	7.375	0.97	360.007	8.449	90.0
C11435	4-(Cytidine_5'-diphospho)-2-C-methyl-D-erythritol	2.0	-1.222	0.583	6.333	-1.885	50.0
C11436	2-Phospho-4-(cytidine_5'-diphospho)-2-C-methyl-D-erythritol	-2.0	0.415	0.333	5.333	-0.83	60.0
C00857	Deamino-NAD+	-1.0	3.544	0.171	13.664	-1.228	60.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	3.17	1.0	0.315	11.0	1.795	70.0
C01172	beta-D-Glucose_6-phosphate	-4.737	-4.928	0.876	57.109	-5.645	90.0
C01177	Inositol_1-phosphate	4.17	6.858	0.608	134.002	6.348	90.0
C02412	Glycyl-tRNA(Gly)	-3.17	-8.895	0.019	485.061	-3.197	60.0
C00680	meso-2,6-Diaminoheptanedioate	1.485	-0.237	0.421	3.978	-0.744	60.0
C02553	L-Seryl-tRNA(Ser)	-6.615	-4.585	0.245	122.02	-4.901	80.0
C00688	dTDP-4-dehydro-6-deoxy-beta-L-mannose	-1.222	-2.503	0.412	8.001	-1.719	50.0
C05378	beta-D-Fructose_1,6-bisphosphate	10.843	5.304	0.489	1876.333	9.842	90.0
C00831	Pantetheine	4.087	3.0	0.734	24.995	4.197	80.0
C16551	Alcophosphamide	-7.704	-0.585	0.007	210.014	-0.595	60.0
C16220	3-Hydroxyoctadecanoyl-[acp]	-3.322	-5.781	0.182	64.987	-3.563	70.0
C00921	Dihydropteroate	3.17	-3.0	0.889	17.0	-3.918	70.0
C00458	dCTP	-6.758	3.35	0.094	118.43	-3.48	60.0
C00459	dTTP	-4.392	-3.051	0.395	29.283	-3.531	70.0
C00455	Nicotinamide_D-ribonucleotide	3.322	-2.322	0.5	15.001	-2.907	60.0
C15973	Enzyme_N6-(dihydrolipoyl)lysine	7.577	7.484	0.988	369.966	8.513	90.0
C15972	Enzyme_N6-(lipoyl)lysine	-5.066	-7.484	0.187	212.521	-5.313	90.0
C00332	Acetoacetyl-CoA	1.417	0.485	0.342	4.07	0.478	60.0
C00334	4-Aminobutanoate	2.954	-2.322	0.645	12.749	-3.04	60.0
C00337	(S)-Dihydroorotate	-1.874	-3.907	0.244	18.667	-2.189	50.0
C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier_protein]	-3.322	-4.615	0.408	34.505	-3.816	70.0
C00631	2-Phospho-D-glycerate	-5.885	0.128	0.018	60.189	-0.154	60.0
C02528	Chenodeoxycholate	-6.907	-1.0	0.017	122.009	-1.024	60.0
C00208	Maltose	6.022	-4.755	0.416	91.986	-5.256	90.0
C01212	UDP-N-acetylmuramoyl-L-alanine	3.524	0.807	0.229	13.253	1.602	70.0
C07490	Trichloroethanol	-7.704	-0.585	0.007	210.014	-0.595	60.0
C00025	L-Glutamate	3.851	-2.32	0.346	19.423	-2.749	50.0
C00024	Acetyl-CoA	-8.24	2.917	0.025	309.887	-2.953	60.0
C00148	L-Proline	2.536	1.152	0.454	8.022	1.866	70.0
C00026	2-Oxoglutarate	3.981	3.322	0.834	25.791	4.428	80.0
C00021	S-Adenosyl-L-homocysteine	4.19	-5.959	0.293	80.459	-4.561	80.0
C00020	AMP	3.771	-3.459	0.806	24.648	-4.311	80.0
C00022	Pyruvate	-5.362	-3.676	0.311	53.908	-4.066	80.0
C00143	5,10-Methylenetetrahydrofolate	-1.356	-1.008	0.786	4.571	-1.844	50.0
C00141	3-Methyl-2-oxobutanoic_acid	2.3	-3.491	0.438	16.168	-2.824	50.0
C00029	UDP-glucose	-6.268	-5.351	0.53	117.879	-5.964	90.0
C00147	Adenine	2.121	1.644	0.775	7.475	2.535	70.0
C00144	GMP	3.241	-4.087	0.556	26.449	-3.879	70.0
C05729	R-S-Cysteinylglycine	2.322	5.931	0.392	66.011	4.692	80.0
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	-5.141	-3.259	0.271	44.859	-3.605	70.0
C04633	(3R)-3-Hydroxypalmitoyl-[acyl-carrier_protein]	-2.954	-4.402	0.367	28.89	-3.405	60.0
C05726	S-Substituted_L-cysteine	-2.322	-5.931	0.082	66.011	-2.436	50.0
C00700	XTP	6.209	4.248	0.684	92.978	5.991	90.0
C00705	dCDP	3.369	-3.426	0.961	21.08	-4.341	80.0
C06250	Holo-[carboxylase]	-3.868	7.004	0.114	142.956	-4.023	80.0
C01528	Hydrogen_selenide	-5.746	-3.059	0.155	62.002	-3.267	60.0
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	-2.0	3.0	0.5	12.0	-2.585	50.0
C01134	Pantetheine_4'-phosphate	5.15	-1.874	0.103	39.172	-2.016	50.0
C06037	Digalactosyl-diacylglycerol	6.954	2.322	0.334	128.983	5.429	90.0
C03511	L-Phenylalanyl-tRNA(Phe)	-4.728	-4.755	0.981	53.504	-5.715	90.0
C03512	L-Tryptophanyl-tRNA(Trp)	-3.459	-3.322	0.909	20.997	-4.255	80.0
C03287	L-Glutamyl_5-phosphate	2.644	-1.7	0.52	9.5	-2.304	50.0
C03125	L-Cysteinyl-tRNA(Cys)	-3.459	-3.585	0.916	22.997	-4.397	80.0
C03127	L-Isoleucyl-tRNA(Ile)	-4.087	-5.492	0.378	61.999	-4.549	80.0
C03692	1,2-Diacyl-3-beta-D-galactosyl-sn-glycerol	-6.954	-2.322	0.04	128.983	-2.379	50.0
C20373	3-Hydroxyglutaryl-[acp]_methyl_ester	-3.322	-5.781	0.182	64.987	-3.563	70.0
C20372	3-Ketoglutaryl-[acp]_methyl_ester	4.585	-4.585	1.0	48.001	-5.585	90.0
C20377	3-Hydroxypimeloyl-[acp]_methyl_ester	-3.322	-5.781	0.182	64.987	-3.563	70.0
C20376	3-Ketopimeloyl-[acp]_methyl_ester	4.585	-4.585	1.0	48.001	-5.585	90.0
C20375	Glutaryl-[acp]_methyl_ester	-2.322	5.17	0.139	41.002	-2.51	50.0
C20374	Enoylglutaryl-[acp]_methyl_ester	-3.459	5.426	0.256	53.989	-3.788	70.0
C20378	Enoylpimeloyl-[acp]_methyl_ester	-3.459	5.426	0.256	53.989	-3.788	70.0
C01235	alpha-D-Galactosyl-(1->3)-1D-myo-inositol	6.954	2.322	0.334	128.983	5.429	90.0
C00473	Retinol	7.704	0.585	0.076	210.014	3.995	70.0
C00415	Dihydrofolate	-1.078	0.737	0.789	3.778	-1.577	50.0
C00416	Phosphatidate	-4.163	3.858	0.809	32.414	-4.714	80.0
C04851	MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho-undecaprenol	1.585	-2.322	0.6	8.0	-2.263	50.0
C04006	1D-myo-Inositol_3-phosphate	4.17	6.82	0.611	130.987	6.324	90.0
C02686	Galactosylceramide	-6.066	-1.415	0.04	69.662	-1.471	50.0
C00243	Lactose	5.799	10.522	0.551	1526.084	9.716	90.0
C00242	Guanine	-4.353	2.243	0.232	25.169	-2.544	50.0
C00245	Taurine	-6.907	1.585	0.025	123.009	-1.621	50.0
C16587	3-Carbamoyl-2-phenylpropionaldehyde	-7.704	-0.585	0.007	210.014	-0.595	60.0
C16586	2-Phenyl-1,3-propanediol_monocarbamate	7.704	0.585	0.076	210.014	3.995	70.0
C01097	D-Tagatose_6-phosphate	8.275	4.807	0.581	337.752	7.616	90.0
C01094	D-Fructose_1-phosphate	11.034	6.672	0.605	2198.808	10.377	90.0
C00068	Thiamin_diphosphate	-5.203	2.528	0.157	42.603	-2.738	50.0
C00342	Thioredoxin	-5.532	2.138	0.095	50.671	-2.269	50.0
C00343	Thioredoxin_disulfide	5.946	-2.907	0.122	69.149	-3.073	60.0
C05684	Selenite	6.966	3.7	0.531	138.015	6.196	90.0
C05688	L-Selenocysteine	4.17	2.585	0.62	24.001	3.895	70.0
C05689	Se-Methyl-L-selenocysteine	4.17	2.585	0.62	24.001	3.895	70.0
C00065	L-Serine	-2.677	-2.452	0.856	11.867	-3.344	60.0
C00064	L-Glutamine	-2.58	2.563	0.988	11.889	-3.555	70.0
C00066	tRNA	2.585	3.459	0.747	16.997	3.667	70.0
C16633	5-Fluorouridine	2.585	3.907	0.662	21.001	3.797	70.0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	3.781	2.338	0.618	18.803	3.539	70.0
C16634	5-Fluorouridine_monophosphate	-2.585	-4.248	0.316	25.001	-2.981	60.0
C19673	Malonyl-[acp]_methyl_ester	3.17	6.19	0.512	82.009	5.392	90.0
C04079	N-((R)-Pantothenoyl)-L-cysteine	4.087	3.0	0.734	24.995	4.197	80.0
C00668	alpha-D-Glucose_6-phosphate	-6.343	-5.066	0.413	114.675	-5.564	90.0
C05399	Melibiitol	6.954	2.322	0.334	128.983	5.429	90.0
C02163	L-Arginyl-tRNA(Arg)	-2.585	-2.807	0.857	12.998	-3.478	60.0
C00114	Choline	-4.0	-3.7	0.812	28.996	-4.558	80.0
C00117	D-Ribose_5-phosphate	5.661	-4.759	0.535	77.675	-5.377	90.0
C00116	Glycerol	-3.719	-2.322	0.38	18.169	-2.786	50.0
C00111	Glycerone_phosphate	7.797	-3.899	0.067	237.316	-3.993	70.0
C02380	6-Mercaptopurine	3.17	5.044	0.628	41.991	4.722	80.0
C00112	CDP	-1.503	-2.824	0.4	9.916	-1.989	50.0
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	-6.983	-2.678	0.051	132.9	-2.749	50.0
C00118	D-Glyceraldehyde_3-phosphate	-9.982	5.338	0.04	1051.751	-5.395	90.0
C03492	D-4'-Phosphopantothenate	-2.0	1.0	0.5	6.0	-1.585	50.0
C01346	dUDP	3.087	-2.17	0.53	12.998	-2.783	50.0
C05750	3-Oxooctanoyl-[acp]	4.19	-4.373	0.881	38.973	-5.101	90.0
C03160	2-Succinylbenzoyl-CoA	-1.0	1.585	0.667	5.0	-1.737	50.0
C05752	Octanoyl-[acp]	-2.322	5.362	0.122	46.127	-2.488	50.0
C05753	3-Oxodecanoyl-[acp]	4.19	-4.373	0.881	38.973	-5.101	90.0
C05754	trans-Dec-2-enoyl-[acp]	-3.459	-3.0	0.727	18.997	-3.789	70.0
C05755	Decanoyl-[acp]	-2.322	5.768	0.092	59.493	-2.449	50.0
C05756	3-Oxododecanoyl-[acp]	4.585	-4.585	1.0	48.001	-5.585	90.0
C05757	(R)-3-Hydroxydodecanoyl-[acp]	-3.322	-4.615	0.408	34.505	-3.816	70.0
C05758	trans-Dodec-2-enoyl-[acp]	-3.459	-3.0	0.727	18.997	-3.789	70.0
C05759	3-Oxotetradecanoyl-[acp]	4.585	-4.585	1.0	48.001	-5.585	90.0
C00235	Dimethylallyl_diphosphate	-1.571	2.202	0.646	7.572	-2.29	50.0
C00188	L-Threonine	-3.361	3.437	0.949	21.105	-4.324	80.0
C00189	Ethanolamine	-4.0	-3.7	0.812	28.996	-4.558	80.0
C02702	L-Prolyl-tRNA(Pro)	-5.0	-4.0	0.5	48.0	-4.585	80.0
C05818	2-Demethylmenaquinone	-4.392	3.7	0.619	33.991	-4.395	80.0
C00183	L-Valine	-1.585	-1.222	0.778	5.333	-2.052	50.0
C03794	N6-(1,2-Dicarboxyethyl)-AMP	-1.0	-1.415	0.75	4.667	-1.807	50.0
C00159	D-Mannose	9.289	-1.585	0.005	628.558	-1.592	50.0
C00011	CO2	3.392	6.457	0.525	98.349	5.691	90.0
C04352	(R)-4'-Phosphopantothenoyl-L-cysteine	-1.0	0.263	0.6	3.2	-0.941	60.0
C00327	L-Citrulline	2.722	2.322	0.853	11.598	3.307	70.0
C00842	dTDP-glucose	-1.585	-2.0	0.75	7.0	-2.392	50.0
C05980	Cardiolipin	-2.807	-2.585	0.857	12.998	-3.478	60.0
C03546	myo-Inositol_4-phosphate	4.17	6.858	0.608	134.002	6.348	90.0
C02554	L-Valyl-tRNA(Val)	-4.524	-4.17	0.782	41.008	-5.004	90.0
C16237	Protein_N6-(lipoyl)lysine	-7.977	2.722	0.026	258.549	-2.759	50.0
C01290	beta-D-Galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide	7.055	10.522	0.67	1603.381	10.07	90.0
C00445	5,10-Methenyltetrahydrofolate	-2.644	2.165	0.717	10.735	-2.945	60.0
C01762	Xanthosine	5.387	2.954	0.548	49.594	4.765	80.0
C00441	L-Aspartate_4-semialdehyde	3.611	1.959	0.543	16.106	3.127	70.0
C00526	Deoxyuridine	5.91	-2.678	0.106	66.529	-2.824	50.0
C00448	trans,trans-Farnesyl_diphosphate	2.807	-3.406	0.66	17.598	-3.538	70.0
