compound_code	compound_name	turicibacter_mock_score	eubacterium_mock_score	ratio	magnitude	interaction_score	percentile
C04640	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine	-1.0	-6.129	0.0	0.0	0.0	50.0
C00089	Sucrose	2.663	-5.931	0.104	67.345	-2.805	80.0
C04646	6-Thioinosine-5'-monophosphate	1.585	5.426	0.292	45.992	3.748	80.0
C00671	(S)-3-Methyl-2-oxopentanoic_acid	-0.637	2.29	0.318	6.446	-1.035	60.0
C01921	Glycocholate	1.0	3.17	0.315	11.0	1.795	60.0
C00673	2-Deoxy-D-ribose_5-phosphate	-0.585	-1.585	0.0	0.0	0.0	50.0
C01250	N-Acetyl-L-glutamate_5-semialdehyde	-1.138	2.678	0.344	8.6	-1.564	70.0
C00106	Uracil	4.524	2.888	0.638	30.409	4.279	80.0
C00105	UMP	1.322	-0.065	0.418	3.546	-0.569	60.0
C00103	D-Glucose_1-phosphate	-1.536	2.481	0.519	8.483	-2.14	70.0
C00100	Propanoyl-CoA	-0.415	-3.565	0.0	0.0	0.0	50.0
C05838	cis-2-Hydroxycinnamate	-4.672	-5.524	0.0	0.0	0.0	50.0
C00270	N-Acetylneuraminate	-2.322	1.585	0.6	8.0	-2.263	70.0
C00109	2-Oxobutanoate	3.395	3.158	0.93	19.445	4.177	80.0
C04702	UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)	1.0	2.0	0.5	6.0	1.585	60.0
C05764	Hexadecanoyl-[acp]	4.17	1.0	0.24	20.001	2.262	70.0
C05761	Tetradecanoyl-[acp]	4.17	1.0	0.24	20.001	2.262	70.0
C05760	trans-Tetradec-2-enoyl-[acp]	-4.087	1.585	0.177	19.995	-1.82	70.0
C05763	trans-Hexadec-2-enoyl-[acp]	-4.087	1.585	0.177	19.995	-1.82	70.0
C05762	3-Oxohexadecanoyl-[acp]	-3.087	3.931	0.557	23.75	-3.726	90.0
C00361	dGDP	1.222	3.17	0.385	11.333	2.127	70.0
C00170	5'-Methylthioadenosine	1.115	-1.0	0.923	4.166	-1.944	70.0
C02992	L-Threonyl-tRNA(Thr)	-5.585	-6.209	0.0	0.0	0.0	50.0
C00179	Agmatine	3.0	2.322	0.774	13.0	3.331	70.0
C03090	5-Phosphoribosylamine	4.868	-2.678	0.219	35.602	-2.964	80.0
C01077	O-Acetyl-L-homoserine	4.0	4.954	0.807	46.996	5.246	90.0
C11435	4-(Cytidine_5'-diphospho)-2-C-methyl-D-erythritol	1.585	0.678	0.428	4.6	0.977	60.0
C11436	2-Phospho-4-(cytidine_5'-diphospho)-2-C-methyl-D-erythritol	-1.585	-2.053	0.0	0.0	0.0	50.0
C00857	Deamino-NAD+	-3.459	2.807	0.636	17.995	-3.518	80.0
C02412	Glycyl-tRNA(Gly)	-4.807	-6.392	0.0	0.0	0.0	50.0
C01179	3-(4-Hydroxyphenyl)pyruvate	-0.08	0.063	0.988	2.102	-1.055	60.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	1.0	1.0	1.0	4.0	2.0	70.0
C04411	(2R,3S)-3-Isopropylmalate	-2.609	2.678	0.953	12.5	-3.575	80.0
C01172	beta-D-Glucose_6-phosphate	-1.71	4.644	0.131	28.274	-1.887	70.0
C18796	(2R)-2-Hydroxy-2-methylbutanenitrile	-4.672	-5.524	0.0	0.0	0.0	50.0
C08334	Lotaustralin	4.672	5.524	0.846	71.506	5.918	90.0
C03892	Phosphatidylglycerophosphate	-1.585	-4.17	0.0	0.0	0.0	50.0
C00681	1-Acyl-sn-glycerol_3-phosphate	2.954	2.28	0.772	12.606	3.282	70.0
C00680	meso-2,6-Diaminoheptanedioate	2.342	4.918	0.476	35.302	4.071	80.0
C02839	L-Tyrosyl-tRNA(Tyr)	-2.807	-3.322	0.0	0.0	0.0	50.0
C02553	L-Seryl-tRNA(Ser)	-3.907	-5.807	0.0	0.0	0.0	50.0
C00688	dTDP-4-dehydro-6-deoxy-beta-L-mannose	3.17	-4.524	0.391	32.007	-3.646	80.0
C05378	beta-D-Fructose_1,6-bisphosphate	-4.832	3.672	0.448	41.229	-4.206	90.0
C04349	(4S)-4,6-Dihydroxy-2,5-dioxohexanoate	-3.644	-2.7	0.0	0.0	0.0	50.0
C16220	3-Hydroxyoctadecanoyl-[acp]	3.322	-4.524	0.435	33.007	-3.843	90.0
C01672	Cadaverine	3.459	4.087	0.846	27.991	4.566	80.0
C01674	Chitobiose	3.7	1.585	0.428	15.996	2.777	70.0
C00458	dCTP	3.0	-5.327	0.199	48.141	-3.262	80.0
C00459	dTTP	3.585	4.312	0.831	31.863	4.727	80.0
C04896	5-(5-Phospho-D-ribosylaminoformimino)-1-(5-phosphoribosyl)-imidazole-4-carboxamide	2.585	2.322	0.898	11.0	3.305	70.0
C00455	Nicotinamide_D-ribonucleotide	3.585	3.755	0.955	25.501	4.606	80.0
C00354	D-Fructose_1,6-bisphosphate	2.273	-4.605	0.199	29.169	-2.534	70.0
C00330	Deoxyguanosine	1.0	2.104	0.475	6.299	1.582	60.0
C00337	(S)-Dihydroorotate	-2.503	1.874	0.647	9.334	-2.594	70.0
C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier_protein]	3.322	-4.524	0.435	33.007	-3.843	90.0
C01269	5-O-(1-Carboxyvinyl)-3-phosphoshikimate	-2.585	-2.7	0.0	0.0	0.0	50.0
C00631	2-Phospho-D-glycerate	-0.594	0.249	0.787	2.698	-1.087	60.0
C02528	Chenodeoxycholate	-1.0	-3.17	0.0	0.0	0.0	50.0
C01594	Linamarin	4.672	5.524	0.846	71.506	5.918	90.0
C00208	Maltose	-1.585	-3.0	0.0	0.0	0.0	50.0
C00204	2-Dehydro-3-deoxy-D-gluconate	0.322	4.322	0.075	21.251	0.663	60.0
C01212	UDP-N-acetylmuramoyl-L-alanine	-3.322	-2.0	0.0	0.0	0.0	50.0
C00025	L-Glutamate	-1.263	-4.875	0.0	0.0	0.0	50.0
C00024	Acetyl-CoA	2.299	-4.381	0.236	25.757	-2.605	70.0
C00148	L-Proline	2.07	3.379	0.613	14.602	3.161	70.0
C00026	2-Oxoglutarate	-2.585	-4.807	0.0	0.0	0.0	50.0
C00021	S-Adenosyl-L-homocysteine	2.954	-4.555	0.33	31.256	-3.365	80.0
C00020	AMP	0.678	-3.565	0.135	13.435	-0.861	60.0
C00022	Pyruvate	5.066	3.299	0.651	43.34	4.819	80.0
C00143	5,10-Methylenetetrahydrofolate	0.425	-1.312	0.541	3.825	-1.049	60.0
C00140	N-Acetyl-D-glucosamine	-3.737	-1.585	0.0	0.0	0.0	50.0
C00141	3-Methyl-2-oxobutanoic_acid	-0.854	-3.904	0.0	0.0	0.0	50.0
C00029	UDP-glucose	-2.962	-1.131	0.0	0.0	0.0	50.0
C00147	Adenine	-0.322	2.644	0.2	7.501	-0.585	60.0
C00144	GMP	-0.788	-2.725	0.0	0.0	0.0	50.0
C05729	R-S-Cysteinylglycine	3.807	3.907	0.974	28.998	4.82	80.0
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	-4.181	-4.038	0.0	0.0	0.0	50.0
C03232	3-Phosphonooxypyruvate	1.766	4.711	0.375	29.592	3.472	80.0
C02739	1-(5-Phospho-D-ribosyl)-ATP	2.222	-3.624	0.378	16.995	-2.685	80.0
C05726	S-Substituted_L-cysteine	-3.807	-3.907	0.0	0.0	0.0	50.0
C06250	Holo-[carboxylase]	-1.585	1.415	0.889	5.667	-2.333	70.0
C04419	Carboxybiotin-carboxyl-carrier_protein	1.585	2.459	0.645	8.498	2.454	70.0
C04752	2-Methyl-4-amino-5-hydroxymethylpyrimidine_diphosphate	-4.0	2.0	0.25	20.0	-2.322	70.0
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	1.585	4.17	0.38	21.001	2.997	70.0
C00092	D-Glucose_6-phosphate	-2.678	-6.194	0.0	0.0	0.0	50.0
C06037	Digalactosyl-diacylglycerol	3.7	6.022	0.614	77.979	5.582	90.0
C03511	L-Phenylalanyl-tRNA(Phe)	-4.585	-5.6	0.0	0.0	0.0	50.0
C03512	L-Tryptophanyl-tRNA(Trp)	-1.0	-5.7	0.0	0.0	0.0	50.0
C03287	L-Glutamyl_5-phosphate	-2.248	-3.781	0.0	0.0	0.0	50.0
C02741	Phosphoribosyl-AMP	0.585	0.585	1.0	3.0	1.585	60.0
C03125	L-Cysteinyl-tRNA(Cys)	-3.0	-3.807	0.0	0.0	0.0	50.0
C03127	L-Isoleucyl-tRNA(Ile)	-1.0	-6.15	0.0	0.0	0.0	50.0
C03692	1,2-Diacyl-3-beta-D-galactosyl-sn-glycerol	-3.7	-6.022	0.0	0.0	0.0	50.0
C20373	3-Hydroxyglutaryl-[acp]_methyl_ester	3.322	-4.524	0.435	33.007	-3.843	90.0
C20372	3-Ketoglutaryl-[acp]_methyl_ester	-3.459	4.322	0.55	30.998	-4.091	90.0
C20377	3-Hydroxypimeloyl-[acp]_methyl_ester	3.322	-4.524	0.435	33.007	-3.843	90.0
C20376	3-Ketopimeloyl-[acp]_methyl_ester	-3.459	4.322	0.55	30.998	-4.091	90.0
C20375	Glutaryl-[acp]_methyl_ester	4.17	4.858	0.858	47.001	5.334	90.0
C20374	Enoylglutaryl-[acp]_methyl_ester	-4.087	-4.7	0.0	0.0	0.0	50.0
C20378	Enoylpimeloyl-[acp]_methyl_ester	-4.087	-4.7	0.0	0.0	0.0	50.0
C04916	N-(5'-Phospho-D-1'-ribulosylformimino)-5-amino-1-(5''-phospho-D-ribosyl)-4-imidazolecarboxamide	-3.459	4.833	0.386	39.499	-3.93	90.0
C00416	Phosphatidate	2.939	5.363	0.548	48.824	4.742	80.0
C00037	Glycine	-0.089	4.775	0.039	28.443	-0.144	60.0
C04851	MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho-undecaprenol	3.907	4.0	0.977	31.001	4.92	80.0
C01279	4-Amino-5-hydroxymethyl-2-methylpyrimidine	3.585	1.585	0.442	15.0	2.729	70.0
C01798	D-Glucoside	4.672	5.524	0.846	71.506	5.918	90.0
C00620	alpha-D-Ribose_1-phosphate	1.807	6.492	0.278	93.508	4.702	80.0
C02686	Galactosylceramide	-3.7	-6.022	0.0	0.0	0.0	50.0
C00243	Lactose	2.115	5.129	0.412	39.325	4.019	80.0
C00242	Guanine	-1.0	-2.907	0.0	0.0	0.0	50.0
C00245	Taurine	-1.0	-3.17	0.0	0.0	0.0	50.0
C01097	D-Tagatose_6-phosphate	5.555	6.943	0.8	170.055	7.088	90.0
C00561	Mandelonitrile	-4.672	-5.524	0.0	0.0	0.0	50.0
C01094	D-Fructose_1-phosphate	3.322	6.629	0.501	108.976	5.771	90.0
C00068	Thiamin_diphosphate	0.838	0.479	0.572	3.181	0.863	60.0
C00342	Thioredoxin	-3.496	3.807	0.806	25.279	-4.349	90.0
C00343	Thioredoxin_disulfide	3.544	-3.807	0.833	25.661	-4.418	90.0
C05684	Selenite	3.7	5.524	0.67	59.01	5.305	90.0
C00063	CTP	3.632	7.129	0.509	152.37	6.279	90.0
C00062	L-Arginine	-1.0	-1.585	0.0	0.0	0.0	50.0
C00065	L-Serine	0.981	-3.92	0.13	17.111	-1.158	60.0
C00064	L-Glutamine	-3.478	-3.033	0.0	0.0	0.0	50.0
C11811	1-Hydroxy-2-methyl-2-butenyl_4-diphosphate	-3.585	6.658	0.119	112.986	-3.747	90.0
C16633	5-Fluorouridine	3.907	5.044	0.775	47.992	5.216	90.0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	-1.293	-1.263	0.0	0.0	0.0	50.0
C16634	5-Fluorouridine_monophosphate	-3.907	-5.044	0.0	0.0	0.0	50.0
C19673	Malonyl-[acp]_methyl_ester	4.17	4.858	0.858	47.001	5.334	90.0
C00668	alpha-D-Glucose_6-phosphate	-2.705	5.783	0.118	61.583	-2.866	80.0
C00666	LL-2,6-Diaminoheptanedioate	-0.737	-1.716	0.0	0.0	0.0	50.0
C00117	D-Ribose_5-phosphate	3.568	-6.497	0.131	102.181	-3.746	90.0
C00116	Glycerol	-1.0	-6.022	0.0	0.0	0.0	50.0
C00111	Glycerone_phosphate	0.93	-4.496	0.084	24.47	-1.047	60.0
C00112	CDP	-5.524	-5.57	0.0	0.0	0.0	50.0
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	-3.487	-3.234	0.0	0.0	0.0	50.0
C00118	D-Glyceraldehyde_3-phosphate	4.617	7.282	0.634	180.171	6.836	90.0
C05750	3-Oxooctanoyl-[acp]	-3.087	3.931	0.557	23.75	-3.726	90.0
C05751	trans-Oct-2-enoyl-[acp]	-4.087	1.585	0.177	19.995	-1.82	70.0
C05752	Octanoyl-[acp]	4.17	1.0	0.24	20.001	2.262	70.0
C05753	3-Oxodecanoyl-[acp]	-3.087	3.931	0.557	23.75	-3.726	90.0
C05754	trans-Dec-2-enoyl-[acp]	-4.087	1.585	0.177	19.995	-1.82	70.0
C05755	Decanoyl-[acp]	4.17	1.0	0.24	20.001	2.262	70.0
C05756	3-Oxododecanoyl-[acp]	-3.459	4.322	0.55	30.998	-4.091	90.0
C05757	(R)-3-Hydroxydodecanoyl-[acp]	3.322	-4.524	0.435	33.007	-3.843	90.0
C05758	trans-Dodec-2-enoyl-[acp]	-4.087	1.585	0.177	19.995	-1.82	70.0
C05759	3-Oxotetradecanoyl-[acp]	-3.459	4.322	0.55	30.998	-4.091	90.0
C00188	L-Threonine	2.546	-3.7	0.449	18.836	-3.081	80.0
C02702	L-Prolyl-tRNA(Pro)	-4.087	-5.358	0.0	0.0	0.0	50.0
C00185	Cellobiose	2.907	-6.768	0.069	116.487	-3.003	80.0
C00181	D-Xylose	-3.322	5.858	0.172	68.001	-3.551	80.0
C00010	CoA	-3.0	-4.087	0.0	0.0	0.0	50.0
C00158	Citrate	-1.83	-3.912	0.0	0.0	0.0	50.0
C00842	dTDP-glucose	-2.585	2.585	1.0	12.0	-3.585	80.0
C05823	3-Mercaptolactate	-2.585	-3.807	0.0	0.0	0.0	50.0
C02554	L-Valyl-tRNA(Val)	-1.0	-5.524	0.0	0.0	0.0	50.0
C01290	beta-D-Galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide	3.322	5.129	0.648	44.994	4.865	80.0
C00446	alpha-D-Galactose_1-phosphate	-3.945	-3.036	0.0	0.0	0.0	50.0
C00445	5,10-Methenyltetrahydrofolate	0.059	0.874	0.068	2.874	-2.366	70.0
C01762	Xanthosine	1.0	4.087	0.245	18.995	2.216	70.0
C00441	L-Aspartate_4-semialdehyde	2.585	3.852	0.671	20.44	3.778	80.0
C00440	5-Methyltetrahydrofolate	2.807	3.624	0.775	19.327	3.904	80.0
C00526	Deoxyuridine	1.0	-2.874	0.273	9.331	-1.348	70.0
C11453	2-C-Methyl-D-erythritol_2,4-cyclodiphosphate	3.209	2.982	0.929	17.148	3.994	80.0
C00448	trans,trans-Farnesyl_diphosphate	1.0	3.644	0.274	14.501	1.993	70.0
C04882	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine	1.0	2.0	0.5	6.0	1.585	60.0
C16221	(2E)-Octadecenoyl-[acp]	-4.087	1.585	0.177	19.995	-1.82	70.0
C01190	beta-D-Glucosyl-(1<->1)-ceramide	-3.322	-5.129	0.0	0.0	0.0	50.0
C04133	N-Acetyl-L-glutamate_5-phosphate	1.415	1.807	0.783	6.166	2.271	70.0
C03838	5'-Phosphoribosylglycinamide	-5.644	-4.755	0.0	0.0	0.0	50.0
C05400	Epimelibiose	3.7	6.022	0.614	77.979	5.582	90.0
C05401	3-beta-D-Galactosyl-sn-glycerol	3.7	6.022	0.614	77.979	5.582	90.0
C05402	Melibiose	-3.0	4.392	0.381	28.995	-3.466	80.0
C05404	D-Gal_alpha_1->6D-Gal_alpha_1->6D-Glucose	-3.907	5.931	0.246	76.012	-4.224	90.0
C03939	Acetyl-[acyl-carrier_protein]	4.17	0.515	0.124	19.43	1.263	60.0
C04039	2,3-Dihydroxy-3-methylbutanoate	-2.807	3.17	0.778	15.999	-3.637	80.0
C05335	L-Selenomethionine	-2.585	3.0	0.75	14.0	-3.392	80.0
C01222	GDP-4-dehydro-6-deoxy-D-mannose	-2.585	-4.459	0.0	0.0	0.0	50.0
C00624	N-Acetyl-L-glutamate	-1.585	-1.0	0.0	0.0	0.0	50.0
C00231	D-Xylulose_5-phosphate	1.802	-5.718	0.066	56.124	-1.895	70.0
C00234	10-Formyltetrahydrofolate	-1.04	-1.338	0.0	0.0	0.0	50.0
C01613	Stachyose	4.322	5.492	0.787	65.006	5.677	90.0
C00159	D-Mannose	2.97	-5.874	0.134	66.483	-3.151	80.0
C05984	2-Hydroxybutanoic_acid	2.585	3.807	0.679	19.997	3.763	80.0
C00014	Ammonia	3.191	-3.378	0.878	19.529	-4.101	90.0
C00015	UDP	-4.575	-5.037	0.0	0.0	0.0	50.0
C00019	S-Adenosyl-L-methionine	-1.585	-4.982	0.0	0.0	0.0	50.0
