compound_code	compound_name	butyrivibrio_mock_score	alistipes_mock_score	ratio	magnitude	interaction_score	percentile
C03090	5-Phosphoribosylamine	-7.997	5.385	0.164	297.256	-5.604	60.0
C01079	Protoporphyrinogen_IX	-8.574	-6.109	0.181	450.116	-6.349	70.0
C11435	4-(Cytidine_5'-diphospho)-2-C-methyl-D-erythritol	-2.585	-3.585	0.5	18.0	-3.17	50.0
C11436	2-Phospho-4-(cytidine_5'-diphospho)-2-C-methyl-D-erythritol	-2.322	3.459	0.455	15.997	-2.863	50.0
C00857	Deamino-NAD+	-6.56	8.022	0.363	354.287	-7.007	80.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	4.0	-6.15	0.225	87.012	-4.293	50.0
C01172	beta-D-Glucose_6-phosphate	9.166	-3.322	0.017	584.436	-3.347	50.0
C18796	(2R)-2-Hydroxy-2-methylbutanenitrile	-9.95	-7.435	0.175	1162.163	-7.668	90.0
C08334	Lotaustralin	9.95	7.435	0.747	1162.163	9.762	90.0
C02412	Glycyl-tRNA(Gly)	-8.804	-6.714	0.235	551.942	-7.018	80.0
C00680	meso-2,6-Diaminoheptanedioate	-1.312	-3.322	0.248	12.483	-1.632	60.0
C02553	L-Seryl-tRNA(Ser)	-8.426	-6.768	0.317	452.923	-7.165	80.0
C05378	beta-D-Fructose_1,6-bisphosphate	-9.348	-6.164	0.11	723.376	-6.315	70.0
C00448	trans,trans-Farnesyl_diphosphate	-2.7	4.285	0.333	25.993	-3.115	50.0
C20238	(2R)-Ethylmalonyl-CoA	-9.494	-7.96	0.345	970.072	-8.388	90.0
C20239	6-Carboxy-5,6,7,8-tetrahydropterin	-3.0	-6.476	0.09	97.016	-3.124	50.0
C00514	D-Mannonate	4.858	7.401	0.656	198.015	7.022	70.0
C16220	3-Hydroxyoctadecanoyl-[acp]	-6.977	-8.358	0.384	454.077	-7.446	90.0
C16221	(2E)-Octadecenoyl-[acp]	6.15	6.629	0.928	169.988	7.301	70.0
C00458	dCTP	-8.959	5.668	0.102	548.498	-5.808	60.0
C00459	dTTP	7.798	6.964	0.893	347.398	8.277	80.0
C00330	Deoxyguanosine	5.923	7.304	0.811	218.698	7.47	80.0
C00333	D-Galacturonate	9.638	7.687	0.798	1002.831	9.644	90.0
C12739	5'-Deoxy-5-fluorouridine	-7.672	-6.954	0.608	327.923	-7.639	90.0
C00337	(S)-Dihydroorotate	-5.209	-6.57	0.389	131.998	-5.683	60.0
C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier_protein]	-6.977	-7.484	0.704	304.998	-7.746	90.0
C04122	D-1-Aminopropan-2-ol_O-phosphate	4.459	3.17	0.711	30.994	4.462	60.0
C00631	2-Phospho-D-glycerate	2.926	-2.621	0.809	13.752	-3.477	50.0
C02528	Chenodeoxycholate	-7.418	-6.17	0.421	243.021	-6.677	70.0
C01594	Linamarin	9.95	7.435	0.747	1162.163	9.762	90.0
C00208	Maltose	-8.472	6.109	0.194	424.103	-6.365	70.0
C00204	2-Dehydro-3-deoxy-D-gluconate	8.024	5.919	0.738	320.8	7.887	80.0
C01212	UDP-N-acetylmuramoyl-L-alanine	3.781	-5.119	0.396	48.498	-4.262	50.0
C00025	L-Glutamate	5.922	5.618	0.949	109.744	6.702	70.0
C00148	L-Proline	-4.322	7.18	0.138	165.01	-4.508	50.0
C00026	2-Oxoglutarate	-4.412	-6.017	0.329	86.047	-4.822	60.0
C00020	AMP	-6.484	1.585	0.034	92.512	-1.633	60.0
C00022	Pyruvate	8.769	6.239	0.711	511.778	8.508	90.0
C00143	5,10-Methylenetetrahydrofolate	-7.131	-5.215	0.265	177.309	-5.554	60.0
C00141	3-Methyl-2-oxobutanoic_acid	-7.449	-4.392	0.12	195.727	-4.556	50.0
C00029	UDP-glucose	-7.345	4.17	0.111	180.58	-4.321	50.0
C00147	Adenine	4.295	-2.755	0.344	26.381	-3.181	50.0
C00144	GMP	-7.547	-6.229	0.401	262.023	-6.716	70.0
C05729	R-S-Cysteinylglycine	6.384	8.618	0.741	476.412	8.463	90.0
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	-8.282	-3.382	0.033	321.69	-3.43	50.0
C03232	3-Phosphonooxypyruvate	-0.678	3.766	0.118	15.204	-0.838	60.0
C02737	Phosphatidylserine	-0.222	2.624	0.189	7.331	-0.472	60.0
C00099	beta-Alanine	-2.0	5.615	0.082	53.01	-2.113	60.0
C05726	S-Substituted_L-cysteine	-6.384	-8.618	0.213	476.412	-6.662	70.0
C00700	XTP	6.022	7.484	0.805	244.006	7.617	80.0
C06250	Holo-[carboxylase]	-7.998	-6.267	0.301	332.657	-6.647	70.0
C02637	3-Dehydroshikimate	2.722	-4.985	0.208	38.267	-2.995	50.0
C03194	(R)-1-Aminopropan-2-ol	4.459	6.248	0.714	97.997	6.128	70.0
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	6.426	4.907	0.764	115.986	6.469	70.0
C01134	Pantetheine_4'-phosphate	7.767	5.415	0.697	260.487	7.505	80.0
C01131	L-Rhamnulose_1-phosphate	6.524	5.833	0.894	149.032	7.058	70.0
C03511	L-Phenylalanyl-tRNA(Phe)	-7.873	-6.615	0.418	332.448	-7.119	80.0
C03512	L-Tryptophanyl-tRNA(Trp)	-8.2	-6.409	0.289	379.044	-6.775	70.0
C03125	L-Cysteinyl-tRNA(Cys)	-8.114	-6.845	0.415	392.01	-7.346	80.0
C03127	L-Isoleucyl-tRNA(Ile)	-8.17	-6.57	0.33	383.024	-6.981	80.0
C20373	3-Hydroxyglutaryl-[acp]_methyl_ester	-6.977	-8.358	0.384	454.077	-7.446	90.0
C20372	3-Ketoglutaryl-[acp]_methyl_ester	-2.322	6.34	0.062	86.009	-2.408	50.0
C20377	3-Hydroxypimeloyl-[acp]_methyl_ester	-6.977	-8.358	0.384	454.077	-7.446	90.0
C20376	3-Ketopimeloyl-[acp]_methyl_ester	-2.322	6.34	0.062	86.009	-2.408	50.0
C20375	Glutaryl-[acp]_methyl_ester	8.693	7.229	0.832	563.879	8.873	90.0
C20374	Enoylglutaryl-[acp]_methyl_ester	-8.155	6.629	0.347	384.011	-7.059	80.0
C20378	Enoylpimeloyl-[acp]_methyl_ester	-8.155	6.629	0.347	384.011	-7.059	80.0
C00966	2-Dehydropantoate	-5.358	-6.728	0.387	147.019	-5.83	60.0
C00415	Dihydrofolate	6.33	-0.637	0.019	82.004	-0.665	60.0
C00416	Phosphatidate	-5.426	4.19	0.425	61.244	-4.701	50.0
C01005	O-Phospho-L-serine	-6.947	-6.582	0.776	219.186	-7.411	80.0
C04851	MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho-undecaprenol	7.735	-4.954	0.145	244.039	-5.15	60.0
C01798	D-Glucoside	9.95	7.435	0.747	1162.163	9.762	90.0
C00243	Lactose	6.516	6.248	0.959	167.523	7.328	70.0
C00242	Guanine	-2.624	-4.585	0.257	30.165	-2.954	50.0
C00245	Taurine	-7.418	-6.17	0.421	243.021	-6.677	70.0
C18172	Carboxyspermidine	6.322	6.15	0.973	151.016	7.199	70.0
C18174	Carboxynorspermidine	6.322	6.15	0.973	151.016	7.199	70.0
C00568	4-Aminobenzoate	5.0	6.358	0.786	114.025	6.487	70.0
C04732	5-Amino-6-(1-D-ribitylamino)uracil	4.322	4.807	0.899	47.994	5.431	60.0
C01097	D-Tagatose_6-phosphate	11.526	8.022	0.696	3208.913	11.125	90.0
C00561	Mandelonitrile	-9.95	-7.435	0.175	1162.163	-7.668	90.0
C01094	D-Fructose_1-phosphate	10.353	7.366	0.711	1472.83	10.033	90.0
C00068	Thiamin_diphosphate	4.777	-7.349	0.168	190.448	-5.001	60.0
C00342	Thioredoxin	9.0	-4.916	0.059	542.19	-4.999	60.0
C00343	Thioredoxin_disulfide	-9.0	4.672	0.05	537.492	-4.742	50.0
C00344	Phosphatidylglycerol	7.87	6.426	0.817	319.925	8.029	80.0
C05684	Selenite	7.547	6.943	0.92	310.055	8.156	80.0
C00063	CTP	9.067	6.823	0.753	649.56	8.933	90.0
C00062	L-Arginine	-5.044	5.883	0.559	92.006	-5.685	60.0
C00065	L-Serine	-7.009	5.185	0.282	165.179	-5.544	60.0
C00064	L-Glutamine	-7.294	-5.595	0.308	205.268	-5.982	60.0
C11811	1-Hydroxy-2-methyl-2-butenyl_4-diphosphate	9.192	-6.17	0.123	656.885	-6.337	70.0
C16633	5-Fluorouridine	7.577	7.748	0.978	405.914	8.633	90.0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	3.963	3.7	0.934	28.591	4.738	60.0
C16635	5'-Deoxy-5-fluorocytidine	7.672	6.954	0.906	327.923	8.215	80.0
C16634	5-Fluorouridine_monophosphate	-8.464	-8.362	0.932	682.129	-9.312	90.0
C19673	Malonyl-[acp]_methyl_ester	8.693	7.954	0.915	661.827	9.242	90.0
C04079	N-((R)-Pantothenoyl)-L-cysteine	6.925	5.615	0.811	170.526	7.111	70.0
C00668	alpha-D-Glucose_6-phosphate	8.772	-3.912	0.034	452.208	-3.961	50.0
C00663	beta-D-Glucose_1-phosphate	4.322	-6.109	0.29	89.024	-4.689	50.0
C02163	L-Arginyl-tRNA(Arg)	-7.435	-6.109	0.399	242.067	-6.593	70.0
C00988	2-Phosphoglycolate	9.079	6.229	0.686	615.828	8.723	90.0
C00117	D-Ribose_5-phosphate	-10.034	-6.12	0.066	1117.97	-6.213	60.0
C00111	Glycerone_phosphate	-6.386	-3.388	0.125	94.102	-3.558	50.0
C02380	6-Mercaptopurine	7.864	7.077	0.9	367.987	8.371	80.0
C00112	CDP	-7.547	-4.346	0.109	207.35	-4.495	50.0
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	-7.049	2.531	0.044	138.202	-2.593	50.0
C00118	D-Glyceraldehyde_3-phosphate	5.968	4.754	0.797	89.579	6.157	70.0
C03492	D-4'-Phosphopantothenate	-6.721	5.17	0.341	141.495	-5.594	60.0
C06441	L-Xylulose_1-phosphate	6.524	5.833	0.894	149.032	7.058	70.0
C05751	trans-Oct-2-enoyl-[acp]	6.15	-5.7	0.732	122.997	-6.492	70.0
C05752	Octanoyl-[acp]	5.907	6.498	0.909	150.389	7.095	70.0
C05753	3-Oxodecanoyl-[acp]	-2.0	5.931	0.066	65.011	-2.092	60.0
C05754	trans-Dec-2-enoyl-[acp]	6.15	-5.7	0.732	122.997	-6.492	70.0
C05755	Decanoyl-[acp]	5.907	7.229	0.817	210.023	7.423	70.0
C05756	3-Oxododecanoyl-[acp]	-2.322	6.34	0.062	86.009	-2.408	50.0
C05757	(R)-3-Hydroxydodecanoyl-[acp]	-6.977	-7.484	0.704	304.998	-7.746	90.0
C05758	trans-Dodec-2-enoyl-[acp]	6.15	-5.7	0.732	122.997	-6.492	70.0
C05759	3-Oxotetradecanoyl-[acp]	-2.322	6.34	0.062	86.009	-2.408	50.0
C00235	Dimethylallyl_diphosphate	-8.912	-3.138	0.018	490.506	-3.164	50.0
C00249	Hexadecanoic_acid	9.257	8.651	0.935	1013.821	9.888	90.0
C00188	L-Threonine	-3.577	7.721	0.057	222.919	-3.656	50.0
C02702	L-Prolyl-tRNA(Pro)	-8.371	-7.18	0.438	476.081	-7.704	90.0
C00185	Cellobiose	9.931	7.435	0.749	1149.222	9.749	90.0
C00183	L-Valine	6.986	-3.437	0.085	137.594	-3.555	50.0
C03794	N6-(1,2-Dicarboxyethyl)-AMP	-3.322	-2.115	0.433	14.332	-2.634	50.0
C00181	D-Xylose	-6.883	7.827	0.52	345.1	-7.487	90.0
C00011	CO2	5.206	7.581	0.687	228.385	7.293	70.0
C04352	(R)-4'-Phosphopantothenoyl-L-cysteine	-5.163	3.0	0.223	43.828	-3.291	50.0
C00842	dTDP-glucose	7.577	-5.087	0.178	224.932	-5.323	60.0
C05980	Cardiolipin	-7.87	-6.426	0.368	319.925	-6.878	80.0
C02291	L-Cystathionine	7.131	6.129	0.859	210.153	7.497	80.0
C00160	Glycolate	-7.955	-6.229	0.302	323.148	-6.61	70.0
C02554	L-Valyl-tRNA(Val)	-8.443	-6.443	0.25	435.017	-6.765	70.0
C11437	1-Deoxy-D-xylulose_5-phosphate	-4.121	2.415	0.307	22.733	-2.801	50.0
C01290	beta-D-Galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide	7.055	6.248	0.886	208.978	7.532	80.0
C00445	5,10-Methenyltetrahydrofolate	6.371	3.781	0.593	96.515	5.84	70.0
C01762	Xanthosine	7.676	7.304	0.952	362.53	8.43	90.0
C00441	L-Aspartate_4-semialdehyde	6.524	-4.815	0.306	120.177	-5.2	60.0
C00440	5-Methyltetrahydrofolate	4.755	-2.939	0.284	34.671	-3.3	50.0
C00526	Deoxyuridine	-5.958	3.907	0.241	77.165	-4.219	50.0
C11453	2-C-Methyl-D-erythritol_2,4-cyclodiphosphate	-6.331	-3.7	0.161	93.501	-3.916	50.0
C00522	(R)-Pantoate	2.807	7.129	0.394	146.971	5.855	70.0
C00169	Carbamoyl_phosphate	-6.626	4.147	0.179	116.486	-4.385	50.0
C04882	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine	-4.322	5.7	0.385	71.985	-4.792	50.0
