compound_code	compound_name	mollicute_mock_score	eubacterium_mock_score	ratio	magnitude	interaction_score	percentile
C00214	Thymidine	-3.273	2.0	0.414	13.667	-2.5	60.0
C02554	L-Valyl-tRNA(Val)	-2.807	-5.524	0.152	53.012	-3.011	60.0
C00212	Adenosine	4.807	4.087	0.85	44.988	5.257	80.0
C00153	Nicotinamide	-4.807	-4.459	0.786	49.987	-5.295	90.0
C00208	Maltose	-5.755	-3.0	0.148	62.004	-3.199	60.0
C05840	Iminoaspartate	1.585	3.907	0.406	18.001	2.868	60.0
C00037	Glycine	3.129	4.775	0.655	36.127	4.565	70.0
C00035	GDP	4.919	-4.358	0.678	50.759	-5.105	90.0
C00033	Acetate	3.087	4.598	0.671	32.715	4.457	70.0
C00031	D-Glucose	3.644	-3.672	0.981	25.247	-4.63	90.0
C00137	myo-Inositol	-3.585	-3.644	0.96	24.502	-4.556	80.0
C00136	Butanoyl-CoA	-5.17	-3.807	0.389	49.998	-4.281	80.0
C00135	L-Histidine	2.807	1.222	0.435	9.331	2.022	60.0
C00134	Putrescine	-2.807	1.585	0.429	9.998	-2.1	50.0
C00133	D-Alanine	1.585	4.524	0.35	26.007	3.188	70.0
C00131	dATP	2.7	-2.322	0.77	11.498	-3.145	60.0
C00130	IMP	4.087	1.951	0.477	20.861	3.316	70.0
C01097	D-Tagatose_6-phosphate	4.807	6.943	0.692	151.035	6.708	90.0
C00063	CTP	4.935	7.129	0.692	170.563	6.884	90.0
C04851	MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho-undecaprenol	1.0	4.0	0.25	18.0	2.17	60.0
C00299	Uridine	0.241	-0.304	0.957	2.416	-1.21	50.0
C01269	5-O-(1-Carboxyvinyl)-3-phosphoshikimate	-1.0	-2.7	0.308	8.498	-1.387	50.0
C04574	di-trans,poly-cis-Undecaprenyl_diphosphate	2.322	-4.585	0.208	29.001	-2.595	60.0
C01762	Xanthosine	4.807	4.087	0.85	44.988	5.257	80.0
C02528	Chenodeoxycholate	-1.0	-3.17	0.222	11.0	-1.289	50.0
C00073	L-Methionine	-0.322	3.661	0.099	13.899	-0.458	60.0
C11453	2-C-Methyl-D-erythritol_2,4-cyclodiphosphate	-1.7	2.982	0.411	11.15	-2.197	50.0
C00721	Dextrin	-3.0	-4.322	0.4	28.001	-3.485	70.0
C00448	trans,trans-Farnesyl_diphosphate	2.585	3.644	0.709	18.501	3.714	70.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	-0.415	-1.524	0.464	4.209	-0.965	50.0
C04882	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine	-1.0	2.0	0.5	6.0	-1.585	50.0
C00041	L-Alanine	-2.807	4.392	0.333	27.994	-3.222	70.0
C00040	Acyl-CoA	3.503	4.907	0.714	41.34	4.883	80.0
C00047	L-Lysine	2.807	3.807	0.737	20.995	3.952	70.0
C00046	RNA	-2.7	-5.087	0.191	40.487	-2.952	60.0
C00044	GTP	-3.826	-5.884	0.24	73.238	-4.137	80.0
C00204	2-Dehydro-3-deoxy-D-gluconate	5.304	4.322	0.815	59.507	5.6	90.0
C00049	L-Aspartate	2.907	3.232	0.899	16.896	3.926	70.0
C00206	dADP	2.503	7.077	0.354	140.686	5.637	90.0
C01127	4-Hydroxy-2-oxoglutarate	5.209	5.0	0.96	68.988	6.049	90.0
C01528	Hydrogen_selenide	-3.544	-4.17	0.648	29.665	-4.265	80.0
