compound_code	compound_name	bacteroides_mock_score	mollicute_mock_score	ratio	magnitude	interaction_score	percentile
C00188	L-Threonine	3.437	2.585	0.752	16.83	3.662	80.0
C14090	1-Naphthaldehyde	-0.585	-5.17	0.042	37.502	-0.644	60.0
C00071	Aldehyde	-0.585	-5.17	0.042	37.502	-0.644	60.0
C00074	Phosphoenolpyruvate	-6.07	-3.874	0.218	81.844	-4.159	90.0
C00075	UTP	7.252	4.061	0.56	169.121	6.565	90.0
C00333	D-Galacturonate	5.0	5.044	0.991	64.991	6.01	90.0
C06196	2'-Deoxyinosine_5'-phosphate	-4.248	-3.459	0.579	29.998	-4.118	80.0
C00979	O-Acetyl-L-serine	1.474	-3.15	0.313	11.654	-1.867	50.0
C06194	2',3'-Cyclic_GMP	6.229	2.807	0.451	82.008	5.208	90.0
C06193	Guanosine_3'-phosphate	-6.229	-2.807	0.093	82.008	-2.936	60.0
C00718	Amylose	-3.524	-3.209	0.804	20.751	-4.06	80.0
C00627	Pyridoxine_phosphate	-2.0	-3.807	0.286	17.997	-2.363	50.0
C00123	L-Leucine	1.939	3.585	0.541	15.835	3.098	70.0
C02686	Galactosylceramide	-1.415	-3.585	0.222	14.667	-1.704	50.0
C00279	D-Erythrose_4-phosphate	5.33	-3.907	0.373	55.226	-4.364	90.0
C00085	D-Fructose_6-phosphate	3.228	3.773	0.856	23.04	4.301	80.0
C00242	Guanine	2.243	-2.322	0.947	9.734	-3.204	70.0
C02355	2',3'-Cyclic_UMP	6.229	2.807	0.451	82.008	5.208	90.0
C00082	L-Tyrosine	-2.248	3.585	0.396	16.751	-2.729	60.0
C00081	ITP	-3.322	3.459	0.909	20.997	-4.255	90.0
C03785	D-Tagatose_1,6-bisphosphate	-4.807	-4.807	1.0	55.986	-5.807	90.0
C00407	L-Isoleucine	2.263	3.322	0.681	14.8	3.334	70.0
C00089	Sucrose	-2.322	5.044	0.152	37.991	-2.526	60.0
C00183	L-Valine	-1.222	2.807	0.333	9.331	-1.637	50.0
C02218	Dehydroalanine	-2.807	-3.0	0.875	14.998	-3.714	80.0
C01921	Glycocholate	1.0	1.0	1.0	4.0	2.0	70.0
C00673	2-Deoxy-D-ribose_5-phosphate	3.807	4.248	0.896	32.998	4.886	90.0
C02988	L-Histidyl-tRNA(His)	-2.585	-3.322	0.6	16.001	-3.263	70.0
C00163	Propanoate	4.087	3.7	0.905	29.991	4.763	90.0
C02984	L-Aspartyl-tRNA(Asp)	-5.492	-3.807	0.311	59.001	-4.198	90.0
C02987	L-Glutamyl-tRNA(Glu)	-3.644	-3.322	0.8	22.502	-4.17	90.0
C03263	Coproporphyrinogen_III	2.0	3.17	0.631	13.0	3.036	70.0
C02047	L-Leucyl-tRNA	-5.426	-3.585	0.279	54.992	-3.94	80.0
C00106	Uracil	2.379	0.363	0.153	6.488	-0.015	60.0
C00342	Thioredoxin	2.138	4.585	0.466	28.402	3.727	80.0
C00105	UMP	-1.787	2.405	0.652	8.747	-2.511	60.0
C03082	4-Phospho-L-aspartate	0.531	2.536	0.209	7.245	0.601	60.0
C00103	D-Glucose_1-phosphate	3.935	-3.636	0.813	27.727	-4.494	90.0
C04377	5,10-Methylenetetrahydromethanopterin	-5.248	-3.807	0.368	51.998	-4.259	90.0
C00101	Tetrahydrofolate	-1.026	-1.215	0.877	4.358	-1.935	50.0
C00063	CTP	7.542	4.935	0.654	216.957	7.149	90.0
C05689	Se-Methyl-L-selenocysteine	2.585	3.459	0.747	16.997	3.667	80.0
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	1.28	4.342	0.295	22.709	2.743	70.0
C00064	L-Glutamine	2.563	-1.939	0.649	9.744	-2.66	60.0
C00109	2-Oxobutanoate	-0.663	1.585	0.528	4.583	-1.274	60.0
C16633	5-Fluorouridine	3.907	5.248	0.744	53.003	5.302	90.0
C00860	L-Histidinol	1.0	-2.0	0.5	6.0	-1.585	50.0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	2.338	2.0	0.855	9.056	2.954	70.0
C02962	D-Allose_6-phosphate	6.807	4.644	0.682	136.975	6.546	90.0
C00864	Pantothenate	-2.585	2.585	1.0	12.0	-3.585	70.0
C16635	5'-Deoxy-5-fluorocytidine	3.322	4.0	0.831	26.0	4.433	80.0
C16634	5-Fluorouridine_monophosphate	-4.248	-5.248	0.5	57.003	-4.833	90.0
C05466	Glycochenodeoxycholate	1.0	1.0	1.0	4.0	2.0	70.0
C04702	UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)	2.807	-1.0	0.286	8.998	-1.363	50.0
C00700	XTP	4.248	3.459	0.814	29.998	4.61	90.0
C05684	Selenite	3.7	3.7	1.0	25.992	4.7	90.0
C00245	Taurine	1.585	-1.0	0.667	5.0	-1.737	50.0
C03175	Shikimate_3-phosphate	2.0	-1.0	0.5	6.0	-1.585	50.0
C00469	Ethanol	0.585	5.17	0.113	37.502	2.085	70.0
C05465	Taurochenodeoxycholate	1.0	1.0	1.0	4.0	2.0	70.0
C04079	N-((R)-Pantothenoyl)-L-cysteine	3.0	2.585	0.862	14.0	3.593	80.0
C18902	Methylselenic_acid	3.7	3.7	1.0	25.992	4.7	90.0
C00668	alpha-D-Glucose_6-phosphate	-5.066	3.491	0.336	44.741	-3.909	80.0
C03402	L-Asparaginyl-tRNA(Asn)	-6.845	-2.322	0.043	119.961	-2.383	50.0
C02992	L-Threonyl-tRNA(Thr)	-6.066	-2.585	0.09	72.996	-2.709	60.0
C00179	Agmatine	-4.322	2.807	0.35	26.999	-3.24	70.0
C00475	Cytidine	1.0	-2.11	0.463	6.317	-1.549	50.0
C12215	Iminoerythrose_4-phosphate	-6.524	-4.585	0.261	116.029	-4.919	90.0
C12214	Aminofructose_6-phosphate	6.524	4.585	0.703	116.029	6.35	90.0
C00470	Pectate	-3.459	-4.907	0.367	40.999	-3.91	80.0
C00234	10-Formyltetrahydrofolate	-0.339	-0.757	0.748	2.955	-1.145	60.0
C00117	D-Ribose_5-phosphate	-4.759	-0.158	0.041	28.193	-0.216	60.0
C00116	Glycerol	-2.322	-2.459	0.909	10.499	-3.255	70.0
C00111	Glycerone_phosphate	-3.899	-2.784	0.462	21.806	-3.332	70.0
C04349	(4S)-4,6-Dihydroxy-2,5-dioxohexanoate	-6.768	-5.285	0.358	147.975	-5.726	90.0
C00112	CDP	-2.824	-4.755	0.262	34.083	-3.16	70.0
C14089	1-Hydroxymethylnaphthalene	0.585	5.17	0.113	37.502	2.085	70.0
C20248	7-Carboxy-7-carbaguanine	2.322	1.0	0.431	7.0	1.592	60.0
C02353	2',3'-Cyclic_AMP	6.229	2.807	0.451	82.008	5.208	90.0
C02909	(2-Naphthyl)methanol	0.585	5.17	0.113	37.502	2.085	70.0
C00692	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	-3.0	1.0	0.25	10.0	-1.322	50.0
C03492	D-4'-Phosphopantothenate	1.0	-2.585	0.333	8.0	-1.415	50.0
C05688	L-Selenocysteine	2.585	3.459	0.747	16.997	3.667	80.0
C00695	Cholic_acid	-1.0	-1.0	1.0	4.0	-2.0	50.0
C01079	Protoporphyrinogen_IX	-2.0	-3.17	0.444	13.0	-2.53	60.0
C11435	4-(Cytidine_5'-diphospho)-2-C-methyl-D-erythritol	-1.222	-1.0	0.857	4.333	-1.893	50.0
C18096	D-Allulose_6-phosphate	-6.807	-4.644	0.223	136.975	-4.935	90.0
C09332	Tetrahydrofolyl-[Glu](2)	-1.0	-2.807	0.286	8.998	-1.363	50.0
C02354	2',3'-Cyclic_CMP	6.229	2.807	0.451	82.008	5.208	90.0
C00269	CDP-diacylglycerol	-3.892	2.293	0.33	19.747	-2.705	60.0
C05898	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	-1.585	-1.585	1.0	6.0	-2.585	60.0
C00441	L-Aspartate_4-semialdehyde	1.959	-3.55	0.332	15.601	-2.373	50.0
C05893	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine	-2.807	-1.585	0.429	9.998	-2.1	50.0
C00262	Hypoxanthine	-3.196	-1.766	0.371	12.565	-2.221	50.0
C01172	beta-D-Glucose_6-phosphate	-4.928	2.663	0.208	36.776	-2.936	60.0
C00267	alpha-D-Glucose	-7.723	-4.406	0.1	232.478	-4.544	90.0
C03294	N-Formylmethionyl-tRNA	-1.585	-2.0	0.75	7.0	-2.392	50.0
C00235	Dimethylallyl_diphosphate	2.202	2.585	0.852	10.601	3.175	70.0
C04432	tRNA_containing_6-isopentenyladenosine	-3.459	-3.459	1.0	21.993	-4.459	90.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	-3.322	-3.807	0.714	23.997	-4.1	80.0
C00993	D-Alanyl-D-alanine	-2.807	-1.0	0.286	8.998	-1.363	50.0
C02702	L-Prolyl-tRNA(Pro)	-4.0	-3.17	0.563	25.0	-3.814	80.0
C01151	D-Ribose_1,5-bisphosphate	-5.755	-1.585	0.056	57.004	-1.663	50.0
C00129	Isopentenyl_diphosphate	3.322	-2.585	0.6	16.001	-3.263	70.0
C00460	dUTP	-3.7	3.585	0.923	24.996	-4.529	90.0
C03794	N6-(1,2-Dicarboxyethyl)-AMP	-1.415	1.222	0.875	4.999	-2.129	50.0
C00181	D-Xylose	5.672	4.087	0.721	67.98	5.614	90.0
C00159	D-Mannose	-1.585	-3.585	0.25	15.0	-1.907	50.0
C00122	Fumarate	-5.509	-3.459	0.241	56.535	-3.771	80.0
C00286	dGTP	1.923	-5.227	0.101	41.245	-2.062	50.0
C00124	D-Galactose	-7.973	-3.585	0.048	263.254	-3.652	80.0
C00620	alpha-D-Ribose_1-phosphate	6.57	3.858	0.587	109.51	6.007	90.0
C00283	Hydrogen_sulfide	3.807	1.585	0.416	16.997	2.823	70.0
C00011	CO2	6.457	6.409	0.993	172.829	7.422	90.0
C04352	(R)-4'-Phosphopantothenoyl-L-cysteine	0.263	-2.585	0.2	7.2	-0.526	60.0
C05897	Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	-2.322	1.0	0.4	7.0	-1.485	50.0
C00294	Inosine	3.0	4.807	0.624	35.993	4.489	80.0
C02412	Glycyl-tRNA(Gly)	-8.895	-3.585	0.025	488.06	-3.621	70.0
C00680	meso-2,6-Diaminoheptanedioate	-0.237	-1.051	0.569	3.251	-0.887	60.0
C02553	L-Seryl-tRNA(Ser)	-4.585	-3.907	0.625	39.002	-4.607	90.0
C00842	dTDP-glucose	-2.0	3.0	0.5	12.0	-2.585	60.0
C05378	beta-D-Fructose_1,6-bisphosphate	5.304	-4.807	0.709	67.499	-5.58	90.0
C00448	trans,trans-Farnesyl_diphosphate	-3.406	2.585	0.566	16.6	-3.232	70.0
C04691	2-Dehydro-3-deoxy-D-arabino-heptonate_7-phosphate	3.7	-2.322	0.385	17.996	-2.792	60.0
C04051	5-Amino-4-imidazolecarboxyamide	-1.0	-3.807	0.143	15.997	-1.193	60.0
C00459	dTTP	-3.051	3.392	0.789	18.786	-3.891	80.0
C04053	5-Dehydro-4-deoxy-D-glucuronate	6.768	5.285	0.781	147.975	6.852	90.0
C00514	D-Mannonate	2.322	1.585	0.683	8.0	2.449	70.0
C00152	L-Asparagine	3.218	-0.415	0.143	10.638	-0.608	60.0
C00921	Dihydropteroate	-3.0	2.807	0.875	14.998	-3.714	80.0
C03150	Nicotinamide-beta-riboside	3.087	4.807	0.642	36.49	4.551	90.0
C00526	Deoxyuridine	-2.678	1.926	0.594	10.2	-2.598	60.0
C00458	dCTP	3.35	-4.728	0.385	36.698	-3.82	80.0
C04895	7,8-Dihydroneopterin_3'-triphosphate	2.663	-1.585	0.474	9.334	-2.144	50.0
C01367	3'-AMP	-6.229	-2.807	0.093	82.008	-2.936	60.0
C03539	S-Ribosyl-L-homocysteine	-2.0	-2.0	1.0	8.0	-3.0	60.0
C00199	D-Ribulose_5-phosphate	-4.783	-3.83	0.517	41.753	-4.431	90.0
C00019	S-Adenosyl-L-methionine	5.5	-0.807	0.039	47.004	-0.862	60.0
C00217	D-Glutamate	-1.663	1.0	0.632	5.167	-1.706	50.0
C00214	Thymidine	-1.585	-3.273	0.31	12.667	-1.975	50.0
C20239	6-Carboxy-5,6,7,8-tetrahydropterin	-3.0	1.0	0.25	10.0	-1.322	50.0
C00212	Adenosine	3.087	4.807	0.642	36.49	4.551	90.0
C01368	3'-UMP	-6.229	-2.807	0.093	82.008	-2.936	60.0
C00208	Maltose	-4.755	-5.755	0.5	81.006	-5.34	90.0
C05840	Iminoaspartate	2.503	1.585	0.633	8.669	2.457	70.0
C00037	Glycine	4.735	3.129	0.661	35.379	4.547	90.0
C00035	GDP	3.162	4.919	0.643	39.204	4.655	90.0
C00033	Acetate	2.28	3.087	0.739	13.354	3.302	70.0
C00031	D-Glucose	5.44	3.644	0.67	55.913	5.227	90.0
C00137	myo-Inositol	-6.727	-3.585	0.113	117.933	-3.74	80.0
C00135	L-Histidine	-1.459	2.807	0.393	9.747	-1.937	50.0
C00134	Putrescine	3.585	-2.807	0.583	18.999	-3.47	70.0
C00133	D-Alanine	-3.807	1.585	0.214	16.997	-1.865	50.0
C00131	dATP	2.07	2.7	0.767	10.697	3.036	70.0
C00130	IMP	-2.724	4.087	0.389	23.602	-3.198	70.0
C01097	D-Tagatose_6-phosphate	4.807	4.807	1.0	55.986	5.807	90.0
C00299	Uridine	-1.158	0.241	0.53	3.413	-0.854	60.0
C01269	5-O-(1-Carboxyvinyl)-3-phosphoshikimate	2.322	-1.0	0.4	7.0	-1.485	50.0
C04574	di-trans,poly-cis-Undecaprenyl_diphosphate	-2.663	2.322	0.789	11.334	-3.162	70.0
C01762	Xanthosine	2.954	4.807	0.615	35.742	4.457	80.0
C02528	Chenodeoxycholate	-1.0	-1.0	1.0	4.0	-2.0	50.0
C00721	Dextrin	-6.845	-3.0	0.07	122.961	-3.097	70.0
C00073	L-Methionine	3.079	-0.322	0.148	9.7	-0.521	60.0
C11453	2-C-Methyl-D-erythritol_2,4-cyclodiphosphate	3.426	-1.7	0.302	13.997	-2.081	50.0
C02554	L-Valyl-tRNA(Val)	-4.17	-2.807	0.389	24.999	-3.281	70.0
C00831	Pantetheine	3.0	2.585	0.862	14.0	3.593	80.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	3.954	-0.415	0.086	16.831	-0.534	60.0
C04882	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine	2.807	-1.0	0.286	8.998	-1.363	50.0
C00041	L-Alanine	3.773	-2.807	0.512	20.669	-3.403	70.0
C00040	Acyl-CoA	2.0	3.503	0.571	15.337	3.13	70.0
C00047	L-Lysine	4.044	2.807	0.694	23.494	4.027	80.0
C00046	RNA	-7.208	-2.7	0.044	154.349	-2.762	60.0
C00044	GTP	-6.398	-3.826	0.168	98.514	-4.05	80.0
C00204	2-Dehydro-3-deoxy-D-gluconate	4.248	5.304	0.801	58.507	5.55	90.0
C00049	L-Aspartate	1.818	2.907	0.625	11.026	2.786	70.0
C00206	dADP	2.874	2.503	0.871	13.0	3.501	80.0
C00008	ADP	-2.624	3.97	0.393	21.835	-3.103	70.0
