compound_code	compound_name	butyrivibrio_mock_score	clostridium_mock_score	ratio	magnitude	interaction_score	percentile
C06509	Adenosyl_cobinamide_phosphate	-4.459	2.939	0.349	29.662	-3.371	90.0
C00117	D-Ribose_5-phosphate	-10.034	-2.051	0.004	1052.563	-2.057	70.0
C00116	Glycerol	7.061	1.7	0.241	136.777	5.041	80.0
C00111	Glycerone_phosphate	-6.386	2.357	0.061	88.756	-2.443	80.0
C04349	(4S)-4,6-Dihydroxy-2,5-dioxohexanoate	-8.642	-1.0	0.005	401.486	-1.007	50.0
C05697	Selenate	5.17	2.585	0.5	42.002	4.392	80.0
C00112	CDP	-7.547	-2.322	0.027	192.014	-2.36	70.0
C05787	Bilirubin_beta-diglucuronide	4.392	1.0	0.228	22.995	2.388	60.0
C00354	D-Fructose_1,6-bisphosphate	-8.26	0.181	0.004	307.688	-0.186	60.0
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	-7.049	-1.237	0.018	134.779	-1.262	60.0
C00118	D-Glyceraldehyde_3-phosphate	5.968	6.589	0.906	158.865	7.169	90.0
C00299	Uridine	-2.709	-0.628	0.236	8.084	-0.934	50.0
C00691	2,4,6/3,5-Pentahydroxycyclohexanone	-2.322	-0.363	0.257	6.286	-0.693	50.0
C00231	D-Xylulose_5-phosphate	-9.179	0.3	0.002	580.866	-0.303	60.0
C00857	Deamino-NAD+	-6.56	3.17	0.095	103.354	-3.301	90.0
C12632	Luteolin_7-O-[beta-D-glucuronosyl-(1->2)-beta-D-glucuronide]	-4.392	-1.0	0.095	22.995	-1.131	50.0
C04419	Carboxybiotin-carboxyl-carrier_protein	7.96	0.585	0.073	250.5	4.202	70.0
C00269	CDP-diacylglycerol	4.902	0.485	0.099	31.298	1.631	60.0
C00501	CDP-glucose	-5.524	-1.0	0.043	48.014	-1.061	50.0
C16219	3-Oxostearoyl-[acp]	-2.322	1.0	0.4	7.0	-1.485	60.0
C00507	L-Rhamnose	7.87	1.585	0.201	236.941	5.577	80.0
C05756	3-Oxododecanoyl-[acp]	-2.322	1.0	0.4	7.0	-1.485	60.0
C05757	(R)-3-Hydroxydodecanoyl-[acp]	-6.977	-1.0	0.016	127.976	-1.023	50.0
C00262	Hypoxanthine	-1.954	0.174	0.291	5.003	-0.543	50.0
C16217	3-Hydroxyoctadecanoyl-CoA	-8.679	-1.0	0.005	411.864	-1.007	50.0
C16216	3-Oxostearoyl-CoA	8.679	1.0	0.115	411.864	5.568	80.0
C00169	Carbamoyl_phosphate	-6.626	-1.354	0.026	101.326	-1.391	60.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	-7.6	-1.322	0.013	196.512	-1.34	60.0
C00206	dADP	8.904	0.848	0.095	480.839	5.517	80.0
C00460	dUTP	7.555	4.358	0.577	208.56	6.911	90.0
C00159	D-Mannose	-7.766	-0.585	0.007	219.17	-0.595	50.0
C00286	dGTP	-8.041	-3.115	0.033	272.043	-3.162	80.0
C00124	D-Galactose	7.776	3.195	0.411	228.342	6.552	90.0
C00011	CO2	5.206	6.808	0.765	148.962	6.832	90.0
C00129	Isopentenyl_diphosphate	-8.665	-3.524	0.028	417.409	-3.564	90.0
C00327	L-Citrulline	8.238	4.392	0.533	322.911	7.428	90.0
C03892	Phosphatidylglycerophosphate	-7.637	-1.0	0.01	201.052	-1.014	50.0
C00681	1-Acyl-sn-glycerol_3-phosphate	4.459	-0.515	0.065	23.422	-0.606	50.0
C00680	meso-2,6-Diaminoheptanedioate	-1.312	0.568	0.597	3.965	-1.243	60.0
C12215	Iminoerythrose_4-phosphate	-11.438	-1.0	0.001	2776.477	-1.001	50.0
C02553	L-Seryl-tRNA(Ser)	-8.426	-3.7	0.038	356.933	-3.754	90.0
C05378	beta-D-Fructose_1,6-bisphosphate	-9.348	-2.515	0.009	657.387	-2.528	80.0
C05759	3-Oxotetradecanoyl-[acp]	-2.322	1.0	0.4	7.0	-1.485	60.0
C01563	Carbamate	-7.6	-1.585	0.015	197.012	-1.607	70.0
C04053	5-Dehydro-4-deoxy-D-glucuronate	9.267	1.585	0.171	619.091	6.726	90.0
C03785	D-Tagatose_1,6-bisphosphate	-11.489	-3.0	0.003	2882.31	-3.004	80.0
C00514	D-Mannonate	4.858	4.524	0.931	52.007	5.598	80.0
C16220	3-Hydroxyoctadecanoyl-[acp]	-6.977	-1.0	0.016	127.976	-1.023	50.0
C05746	3-Oxohexanoyl-[acp]	-2.322	1.0	0.4	7.0	-1.485	60.0
C05744	Acetoacetyl-[acp]	2.459	0.678	0.276	7.098	0.969	60.0
C03150	Nicotinamide-beta-riboside	7.676	0.585	0.076	206.006	3.973	70.0
C00458	dCTP	-8.959	-3.97	0.031	513.325	-4.015	90.0
C00459	dTTP	7.798	1.322	0.17	225.052	5.254	80.0
C06055	O-Phospho-4-hydroxy-L-threonine	-1.663	-0.737	0.526	4.833	-1.347	60.0
C00199	D-Ribulose_5-phosphate	-6.01	0.617	0.024	65.979	-0.651	50.0
C00052	UDP-alpha-D-galactose	5.591	-2.322	0.104	53.202	-2.464	80.0
C00217	D-Glutamate	5.615	1.0	0.178	51.01	3.183	70.0
C00197	3-Phospho-D-glycerate	6.624	4.491	0.678	121.12	6.36	80.0
C00212	Adenosine	6.819	0.322	0.047	114.158	2.43	60.0
C00036	Oxaloacetate	10.089	3.341	0.331	1099.293	8.508	90.0
C05841	Nicotinate_D-ribonucleoside	7.676	0.585	0.076	206.006	3.973	70.0
C00035	GDP	1.7	-2.415	0.609	8.582	-2.386	80.0
C00033	Acetate	8.404	1.441	0.171	341.447	5.872	80.0
C00031	D-Glucose	7.856	-0.222	0.005	232.848	-0.229	60.0
C00137	myo-Inositol	-7.335	-0.585	0.009	162.956	-0.598	50.0
C00136	Butanoyl-CoA	9.309	-4.807	0.044	662.284	-4.869	90.0
C00135	L-Histidine	-6.2	1.0	0.027	75.517	-1.039	50.0
C00131	dATP	-6.479	-1.926	0.043	93.002	-1.986	70.0
C00130	IMP	-2.346	1.437	0.533	7.792	-2.053	70.0
C01097	D-Tagatose_6-phosphate	11.526	3.0	0.26	2956.979	9.588	90.0
C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier_protein]	-6.977	-1.0	0.016	127.976	-1.023	50.0
C01050	UDP-N-acetylmuramate	-4.994	0.893	0.058	33.724	-0.975	50.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	4.0	-1.0	0.125	18.0	-1.17	60.0
C04574	di-trans,poly-cis-Undecaprenyl_diphosphate	6.0	-1.0	0.031	66.0	-1.044	50.0
C01172	beta-D-Glucose_6-phosphate	9.166	-2.612	0.011	580.549	-2.627	80.0
C00446	alpha-D-Galactose_1-phosphate	2.888	-2.322	0.675	12.403	-3.067	80.0
C01762	Xanthosine	7.676	0.585	0.076	206.006	3.973	70.0
C00631	2-Phospho-D-glycerate	2.926	0.202	0.069	8.75	-0.727	50.0
C00441	L-Aspartate_4-semialdehyde	6.524	3.222	0.494	101.359	5.646	80.0
C19878	D-glycero-alpha-D-manno-Heptose_7-phosphate	-5.129	1.585	0.086	37.993	-1.704	70.0
C00526	Deoxyuridine	-5.958	0.415	0.021	63.497	-0.446	50.0
C00527	Glutaryl-CoA	-4.7	-0.737	0.064	27.659	-0.827	50.0
C00448	trans,trans-Farnesyl_diphosphate	-2.7	0.415	0.205	7.831	-0.684	50.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	-4.585	-1.0	0.083	26.001	-1.115	50.0
C05747	(R)-3-Hydroxyhexanoyl-[acp]	-6.977	-1.0	0.016	127.976	-1.023	50.0
C00041	L-Alanine	6.79	1.907	0.281	114.411	5.006	80.0
C00040	Acyl-CoA	7.654	0.363	0.047	202.697	3.265	70.0
C00047	L-Lysine	-5.951	1.807	0.057	65.362	-1.886	70.0
C00046	RNA	-7.76	-4.104	0.079	233.963	-4.214	90.0
C00044	GTP	-8.947	-4.131	0.036	511.053	-4.181	90.0
C05335	L-Selenomethionine	6.409	2.322	0.362	89.977	5.027	80.0
C00204	2-Dehydro-3-deoxy-D-gluconate	8.024	-4.059	0.064	276.962	-4.149	90.0
C00049	L-Aspartate	5.666	1.871	0.33	54.431	4.168	70.0
C00048	Glyoxylate	6.975	1.773	0.254	129.219	5.038	80.0
