compound_code	compound_name	butyrivibrio_mock_score	lachnospiraceae_mock_score	ratio	magnitude	interaction_score	percentile
C05747	(R)-3-Hydroxyhexanoyl-[acp]	-6.977	-1.585	0.0	0.0	0.0	50.0
C03688	Apo-[acyl-carrier-protein]	8.155	1.0	0.123	287.036	5.137	80.0
C18796	(2R)-2-Hydroxy-2-methylbutanenitrile	-9.95	-3.322	0.0	0.0	0.0	50.0
C00234	10-Formyltetrahydrofolate	6.413	0.598	0.093	86.727	3.016	70.0
C06007	(R)-2,3-Dihydroxy-3-methylpentanoate	-9.471	2.0	0.006	713.668	-2.008	90.0
C01931	L-Lysyl-tRNA	-7.697	-1.0	0.0	0.0	0.0	50.0
C15812	[Enzyme]-S-sulfanylcysteine	-7.807	1.585	0.013	226.945	-1.604	80.0
C00011	CO2	5.206	4.966	0.954	68.166	6.023	80.0
C00014	Ammonia	-4.607	-0.459	0.0	0.0	0.0	50.0
C00015	UDP	-6.366	-3.087	0.0	0.0	0.0	50.0
C05751	trans-Oct-2-enoyl-[acp]	6.15	1.0	0.163	73.012	3.569	70.0
C00018	Pyridoxal_phosphate	-5.562	-1.0	0.0	0.0	0.0	50.0
C00065	L-Serine	-7.009	-0.355	0.0	0.0	0.0	50.0
C05796	Galactan	7.901	2.807	0.355	246.02	6.45	90.0
C00493	Shikimate	4.355	0.341	0.078	21.73	0.767	70.0
C00155	L-Homocysteine	-5.299	-2.222	0.0	0.0	0.0	50.0
C05791	D-Urobilinogen	-4.392	-2.0	0.0	0.0	0.0	50.0
C05746	3-Oxohexanoyl-[acp]	-2.322	2.0	0.8	9.0	-2.848	90.0
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	6.426	-1.0	0.023	87.984	-1.033	80.0
C02659	Acetone_cyanohydrin	-9.95	-3.322	0.0	0.0	0.0	50.0
C00506	L-Cysteate	7.693	1.0	0.13	208.93	4.763	80.0
C00185	Cellobiose	9.931	3.17	0.319	985.178	8.297	90.0
C01131	L-Rhamnulose_1-phosphate	6.524	-2.0	0.043	96.028	-2.061	90.0
C05345	beta-D-Fructose_6-phosphate	10.671	3.763	0.353	1643.965	9.179	90.0
C16633	5-Fluorouridine	7.577	1.585	0.209	193.943	5.342	80.0
C04900	Luteolin_7-O-[beta-D-glucuronosyl-(1->2)-beta-D-glucuronide]-4'-O-beta-D-glucuronide	4.392	2.0	0.455	24.995	3.509	70.0
C00221	beta-D-Glucose	-8.89	-1.064	0.0	0.0	0.0	50.0
C05223	Dodecanoyl-[acyl-carrier_protein]	5.907	-1.585	0.05	63.005	-1.655	80.0
C00229	Acyl-carrier_protein	6.781	-1.0	0.018	111.973	-1.026	80.0
C00882	Dephospho-CoA	-7.109	1.585	0.022	141.046	-1.616	80.0
C05758	trans-Dodec-2-enoyl-[acp]	6.15	1.0	0.163	73.012	3.569	70.0
C00655	Xanthosine_5'-phosphate	-7.212	0.369	0.009	149.553	-0.382	70.0
C00118	D-Glyceraldehyde_3-phosphate	5.968	6.136	0.973	132.923	7.014	90.0
C05759	3-Oxotetradecanoyl-[acp]	-2.322	2.0	0.8	9.0	-2.848	90.0
C03125	L-Cysteinyl-tRNA(Cys)	-8.114	-2.322	0.0	0.0	0.0	50.0
C01172	beta-D-Glucose_6-phosphate	9.166	-1.585	0.005	577.435	-1.593	80.0
C05839	cis-beta-D-Glucosyl-2-hydroxycinnamate	9.95	3.322	0.334	999.119	8.382	90.0
C05838	cis-2-Hydroxycinnamate	-9.95	-3.322	0.0	0.0	0.0	50.0
C20377	3-Hydroxypimeloyl-[acp]_methyl_ester	-6.977	-1.585	0.0	0.0	0.0	50.0
C20376	3-Ketopimeloyl-[acp]_methyl_ester	-2.322	2.0	0.8	9.0	-2.848	90.0
C00360	dAMP	-9.581	-1.585	0.0	0.0	0.0	50.0
C00008	ADP	7.258	-2.415	0.035	158.398	-2.464	90.0
C00006	NADP+	-6.672	1.0	0.02	103.97	-1.028	80.0
C00005	NADPH	-5.459	-1.0	0.0	0.0	0.0	50.0
C20378	Enoylpimeloyl-[acp]_methyl_ester	-8.155	-1.0	0.0	0.0	0.0	50.0
C05787	Bilirubin_beta-diglucuronide	4.392	2.0	0.455	24.995	3.509	70.0
C00002	ATP	8.749	2.524	0.288	435.992	6.975	90.0
C00369	Starch	4.763	0.893	0.187	29.009	2.443	70.0
C04088	Octadecanoyl-[acyl-carrier_protein]	-8.472	-1.585	0.0	0.0	0.0	50.0
C00760	Cellulose	9.347	2.663	0.285	657.553	7.55	90.0
C04620	(3R)-3-Hydroxyoctanoyl-[acyl-carrier_protein]	-6.566	-1.322	0.0	0.0	0.0	50.0
C16619	6-Thioguanosine_monophosphate	-8.028	-1.0	0.0	0.0	0.0	50.0
C16618	6-Thioxanthine_5'-monophosphate	-7.877	1.0	0.009	237.079	-1.012	70.0
C00250	Pyridoxal	6.17	1.0	0.162	74.004	3.584	70.0
C00251	Chorismate	-6.188	-0.297	0.0	0.0	0.0	50.0
C02612	(R)-2-Methylmalate	8.063	1.0	0.124	269.427	5.062	80.0
C00255	Riboflavin	6.248	2.322	0.372	81.004	4.912	80.0
C05336	Selenomethionyl-tRNA(Met)	-8.155	-1.0	0.0	0.0	0.0	50.0
C05143	Dhurrin	9.95	3.322	0.334	999.119	8.382	90.0
C00259	L-Arabinose	-8.098	-1.0	0.0	0.0	0.0	50.0
C16615	6-Methylthiopurine_5'-monophosphate_ribonucleotide	-7.864	-1.0	0.0	0.0	0.0	50.0
C16614	6-Methylmercaptopurine	7.864	1.0	0.127	234.97	4.901	80.0
C03742	(S)-4-Hydroxymandelonitrile	-9.95	-3.322	0.0	0.0	0.0	50.0
C00312	L-Xylulose	7.392	2.0	0.271	171.963	5.54	80.0
C01083	alpha,alpha-Trehalose	-8.873	-2.0	0.0	0.0	0.0	50.0
C00491	L-Cystine	7.459	3.0	0.402	183.947	6.209	90.0
C00314	Pyridoxine	6.17	1.0	0.162	74.004	3.584	70.0
C00886	L-Alanyl-tRNA	-8.551	-1.585	0.0	0.0	0.0	50.0
C00092	D-Glucose_6-phosphate	-9.622	-3.459	0.0	0.0	0.0	50.0
C00093	sn-Glycerol_3-phosphate	-7.965	-1.893	0.0	0.0	0.0	50.0
C00498	ADP-glucose	-11.558	-0.503	0.0	0.0	0.0	50.0
C00095	D-Fructose	7.353	-2.0	0.024	167.483	-2.035	90.0
C11173	SN-38	-4.392	-2.0	0.0	0.0	0.0	50.0
C00097	L-Cysteine	6.061	0.415	0.068	68.097	2.221	70.0
C01050	UDP-N-acetylmuramate	-4.994	0.893	0.058	33.724	-0.975	70.0
C00078	L-Tryptophan	5.624	0.585	0.104	50.817	2.402	70.0
C00079	L-Phenylalanine	3.469	-0.097	0.097	12.143	-0.23	70.0
C00188	L-Threonine	-3.577	-0.893	0.0	0.0	0.0	50.0
C01798	D-Glucoside	9.95	3.322	0.334	999.119	8.382	90.0
C00073	L-Methionine	8.214	3.585	0.436	308.935	7.075	90.0
C00121	D-Ribose	8.752	1.0	0.114	433.136	5.629	80.0
C02282	Glutaminyl-tRNA	-8.521	-0.737	0.0	0.0	0.0	50.0
C15667	5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole	7.994	2.0	0.25	258.938	6.018	80.0
C00077	L-Ornithine	7.366	-1.0	0.012	166.963	-1.017	80.0
C00979	O-Acetyl-L-serine	-6.877	-0.585	0.0	0.0	0.0	50.0
C04039	2,3-Dihydroxy-3-methylbutanoate	-10.148	2.0	0.004	1138.625	-2.005	90.0
C00154	Palmitoyl-CoA	-9.257	-1.0	0.0	0.0	0.0	50.0
C00074	Phosphoenolpyruvate	-10.818	-0.848	0.0	0.0	0.0	50.0
C00627	Pyridoxine_phosphate	-6.17	-1.0	0.0	0.0	0.0	50.0
C00337	(S)-Dihydroorotate	-5.209	2.322	0.135	41.989	-2.505	90.0
C00075	UTP	9.406	2.619	0.278	684.547	7.574	90.0
C00123	L-Leucine	-4.79	0.222	0.042	28.832	-0.282	70.0
C00279	D-Erythrose_4-phosphate	-9.739	-4.512	0.0	0.0	0.0	50.0
C00085	D-Fructose_6-phosphate	10.541	3.961	0.376	1505.473	9.144	90.0
C00242	Guanine	-2.624	1.0	0.324	8.165	-1.405	80.0
C00080	H+	-6.672	3.17	0.088	110.97	-3.292	90.0
C00249	Hexadecanoic_acid	9.257	1.0	0.108	613.835	6.051	80.0
C04640	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine	-4.585	-3.0	0.0	0.0	0.0	50.0
C00089	Sucrose	-7.443	2.0	0.023	178.007	-2.033	90.0
C04646	6-Thioinosine-5'-monophosphate	8.185	-1.0	0.007	293.025	-1.01	70.0
C06056	4-Hydroxy-L-threonine	-8.124	-1.0	0.0	0.0	0.0	50.0
C00671	(S)-3-Methyl-2-oxopentanoic_acid	7.446	-1.415	0.015	177.036	-1.437	80.0
C00166	Phenylpyruvate	-1.29	0.195	0.468	3.59	-0.749	70.0
C00673	2-Deoxy-D-ribose_5-phosphate	-3.807	-1.0	0.0	0.0	0.0	50.0
C00160	Glycolate	-7.955	-1.0	0.0	0.0	0.0	50.0
C01250	N-Acetyl-L-glutamate_5-semialdehyde	-3.7	0.678	0.123	14.596	-0.845	70.0
C00163	Propanoate	9.101	1.0	0.11	551.129	5.92	80.0
C02984	L-Aspartyl-tRNA(Asp)	-7.852	-2.0	0.0	0.0	0.0	50.0
C00561	Mandelonitrile	-9.95	-3.322	0.0	0.0	0.0	50.0
C02987	L-Glutamyl-tRNA(Glu)	-8.103	-2.0	0.0	0.0	0.0	50.0
C02739	1-(5-Phospho-D-ribosyl)-ATP	-6.19	-1.222	0.0	0.0	0.0	50.0
C02047	L-Leucyl-tRNA	-9.0	-1.0	0.0	0.0	0.0	50.0
C20373	3-Hydroxyglutaryl-[acp]_methyl_ester	-6.977	-1.585	0.0	0.0	0.0	50.0
C00342	Thioredoxin	9.0	1.0	0.111	514.0	5.836	80.0
C00105	UMP	-4.71	0.489	0.054	27.576	-0.564	70.0
C00103	D-Glucose_1-phosphate	5.816	2.807	0.483	63.335	4.934	80.0
C04377	5,10-Methylenetetrahydromethanopterin	-8.852	-1.585	0.0	0.0	0.0	50.0
C04376	5'-Phosphoribosyl-N-formylglycinamide	6.34	3.0	0.473	89.008	5.396	80.0
C00063	CTP	9.067	2.524	0.278	542.09	7.237	90.0
C00062	L-Arginine	-5.044	1.0	0.061	34.991	-1.085	80.0
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	-5.964	-1.28	0.0	0.0	0.0	50.0
C00064	L-Glutamine	-7.294	-1.078	0.0	0.0	0.0	50.0
C00109	2-Oxobutanoate	10.04	2.322	0.231	1057.789	7.935	90.0
C00861	L-Rhamnulose	-6.066	2.0	0.06	70.996	-2.084	90.0
C00860	L-Histidinol	6.17	1.0	0.162	74.004	3.584	70.0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	3.963	0.585	0.148	17.095	1.335	70.0
C02962	D-Allose_6-phosphate	8.331	1.585	0.19	325.019	5.95	80.0
C16634	5-Fluorouridine_monophosphate	-8.464	-1.585	0.0	0.0	0.0	50.0
C04272	(R)-2,3-Dihydroxy-3-methylbutanoate	-9.471	2.0	0.006	713.668	-2.008	90.0
C00577	D-Glyceraldehyde	-10.943	-1.0	0.0	0.0	0.0	50.0
C05764	Hexadecanoyl-[acp]	5.907	-1.585	0.05	63.005	-1.655	80.0
C04246	But-2-enoyl-[acyl-carrier_protein]	6.15	1.0	0.163	73.012	3.569	70.0
C05761	Tetradecanoyl-[acp]	5.907	-1.585	0.05	63.005	-1.655	80.0
C05760	trans-Tetradec-2-enoyl-[acp]	6.15	1.0	0.163	73.012	3.569	70.0
C05763	trans-Hexadec-2-enoyl-[acp]	6.15	1.0	0.163	73.012	3.569	70.0
C03175	Shikimate_3-phosphate	-4.492	-0.585	0.0	0.0	0.0	50.0
C01801	Deoxyribose	8.752	1.0	0.114	433.136	5.629	80.0
C20374	Enoylglutaryl-[acp]_methyl_ester	-8.155	-1.0	0.0	0.0	0.0	50.0
C02474	Arabinan	9.317	1.0	0.107	639.818	6.102	80.0
C00900	2-Acetolactate	9.809	-2.322	0.006	902.023	-2.33	90.0
C08325	Amygdalin	9.95	3.322	0.334	999.119	8.382	90.0
C00666	LL-2,6-Diaminoheptanedioate	7.073	-0.848	0.013	136.443	-0.867	70.0
C17962	Demethylphosphinothricin	5.392	1.0	0.185	43.991	3.028	70.0
C06188	Salicin_6-phosphate	3.459	3.459	1.0	21.993	4.459	70.0
C03406	N-(L-Arginino)succinate	-8.618	-1.585	0.0	0.0	0.0	50.0
C12214	Aminofructose_6-phosphate	11.438	4.7	0.411	2800.469	10.168	90.0
C00988	2-Phosphoglycolate	9.079	1.0	0.11	542.818	5.902	80.0
C00055	CMP	-5.764	-0.263	0.0	0.0	0.0	50.0
C00117	D-Ribose_5-phosphate	-10.034	-3.467	0.0	0.0	0.0	50.0
C00111	Glycerone_phosphate	-6.386	-0.466	0.0	0.0	0.0	50.0
C02380	6-Mercaptopurine	7.864	1.0	0.127	234.97	4.901	80.0
C00112	CDP	-7.547	-4.087	0.0	0.0	0.0	50.0
C07648	Thioguanine	7.864	1.0	0.127	234.97	4.901	80.0
C05698	Selenohomocysteine	4.7	-2.807	0.269	32.99	-3.151	90.0
C00354	D-Fructose_1,6-bisphosphate	-8.26	-0.222	0.0	0.0	0.0	50.0
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	-7.049	-1.811	0.0	0.0	0.0	50.0
C00243	Lactose	6.516	2.807	0.431	98.517	5.407	80.0
C01962	Thiocysteine	-7.459	-3.0	0.0	0.0	0.0	50.0
C00054	Adenosine_3',5'-bisphosphate	-8.155	-1.0	0.0	0.0	0.0	50.0
C04666	D-erythro-1-(Imidazol-4-yl)glycerol_3-phosphate	-7.486	-0.531	0.0	0.0	0.0	50.0
C00231	D-Xylulose_5-phosphate	-9.179	-3.346	0.0	0.0	0.0	50.0
C01079	Protoporphyrinogen_IX	-8.574	-1.0	0.0	0.0	0.0	50.0
C11435	4-(Cytidine_5'-diphospho)-2-C-methyl-D-erythritol	-2.585	-0.415	0.0	0.0	0.0	50.0
C11436	2-Phospho-4-(cytidine_5'-diphospho)-2-C-methyl-D-erythritol	-2.322	0.415	0.267	6.334	-0.756	70.0
C18096	D-Allulose_6-phosphate	-8.195	-1.585	0.0	0.0	0.0	50.0
C02291	L-Cystathionine	7.131	3.0	0.421	148.167	5.962	80.0
C17949	N-Acetyldemethylphosphinothricin	-5.392	-1.0	0.0	0.0	0.0	50.0
C12632	Luteolin_7-O-[beta-D-glucuronosyl-(1->2)-beta-D-glucuronide]	-4.392	-2.0	0.0	0.0	0.0	50.0
C06441	L-Xylulose_1-phosphate	6.524	-2.0	0.043	96.028	-2.061	90.0
C01179	3-(4-Hydroxyphenyl)pyruvate	1.508	-0.078	0.371	3.9	-0.533	70.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	4.0	-1.585	0.188	19.0	-1.833	80.0
C00475	Cytidine	5.0	0.263	0.053	33.2	0.804	70.0
C16219	3-Oxostearoyl-[acp]	-2.322	2.0	0.8	9.0	-2.848	90.0
C05755	Decanoyl-[acp]	5.907	-1.585	0.05	63.005	-1.655	80.0
C05756	3-Oxododecanoyl-[acp]	-2.322	2.0	0.8	9.0	-2.848	90.0
C05757	(R)-3-Hydroxydodecanoyl-[acp]	-6.977	-1.585	0.0	0.0	0.0	50.0
C00263	L-Homoserine	-3.033	0.228	0.143	9.356	-0.421	70.0
C00262	Hypoxanthine	-1.954	-1.0	0.0	0.0	0.0	50.0
C16217	3-Hydroxyoctadecanoyl-CoA	-8.679	-2.0	0.0	0.0	0.0	50.0
C16216	3-Oxostearoyl-CoA	8.679	2.0	0.23	413.864	6.575	90.0
C00267	alpha-D-Glucose	7.457	-1.718	0.019	178.993	-1.745	80.0
C03294	N-Formylmethionyl-tRNA	-8.098	-1.585	0.0	0.0	0.0	50.0
C02163	L-Arginyl-tRNA(Arg)	-7.435	-1.585	0.0	0.0	0.0	50.0
C00169	Carbamoyl_phosphate	-6.626	-2.0	0.0	0.0	0.0	50.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	-7.6	1.0	0.01	196.012	-1.015	80.0
C08334	Lotaustralin	9.95	3.322	0.334	999.119	8.382	90.0
C00993	D-Alanyl-D-alanine	-3.17	-1.585	0.0	0.0	0.0	50.0
C02702	L-Prolyl-tRNA(Pro)	-8.371	-1.0	0.0	0.0	0.0	50.0
C06006	(S)-2-Aceto-2-hydroxybutanoate	9.809	-2.322	0.006	902.023	-2.33	90.0
C00183	L-Valine	6.986	0.041	0.006	127.793	-0.415	70.0
C00343	Thioredoxin_disulfide	-9.0	-1.0	0.0	0.0	0.0	50.0
C00010	CoA	-8.521	-1.0	0.0	0.0	0.0	50.0
C00286	dGTP	-8.041	1.087	0.008	265.504	-1.099	80.0
C00124	D-Galactose	7.776	-2.807	0.032	226.182	-2.852	90.0
C00620	alpha-D-Ribose_1-phosphate	9.72	4.087	0.42	860.352	8.499	90.0
C00327	L-Citrulline	8.238	2.0	0.243	305.915	6.215	90.0
C11453	2-C-Methyl-D-erythritol_2,4-cyclodiphosphate	-6.331	-0.807	0.0	0.0	0.0	50.0
C02412	Glycyl-tRNA(Gly)	-8.804	-1.0	0.0	0.0	0.0	50.0
C12215	Iminoerythrose_4-phosphate	-11.438	-4.7	0.0	0.0	0.0	50.0
C02553	L-Seryl-tRNA(Ser)	-8.426	-2.0	0.0	0.0	0.0	50.0
C05378	beta-D-Fructose_1,6-bisphosphate	-9.348	-0.115	0.0	0.0	0.0	50.0
C02554	L-Valyl-tRNA(Val)	-8.443	-1.585	0.0	0.0	0.0	50.0
C02218	Dehydroalanine	-5.087	-1.585	0.0	0.0	0.0	50.0
C05749	Hexanoyl-[acp]	5.907	-1.585	0.05	63.005	-1.655	80.0
C05748	trans-Hex-2-enoyl-[acp]	6.15	1.0	0.163	73.012	3.569	70.0
C16220	3-Hydroxyoctadecanoyl-[acp]	-6.977	-1.585	0.0	0.0	0.0	50.0
C16221	(2E)-Octadecenoyl-[acp]	6.15	1.0	0.163	73.012	3.569	70.0
C05745	Butyryl-[acp]	5.907	-1.585	0.05	63.005	-1.655	80.0
C04618	(3R)-3-Hydroxybutanoyl-[acyl-carrier_protein]	-6.248	-1.138	0.0	0.0	0.0	50.0
C01674	Chitobiose	8.94	3.0	0.336	499.143	7.388	90.0
C00458	dCTP	-8.959	1.415	0.005	500.321	-1.423	80.0
C00459	dTTP	7.798	1.874	0.24	226.218	5.765	80.0
C04896	5-(5-Phospho-D-ribosylaminoformimino)-1-(5-phosphoribosyl)-imidazole-4-carboxamide	7.683	2.0	0.26	209.501	5.769	80.0
C06055	O-Phospho-4-hydroxy-L-threonine	-1.663	-1.322	0.0	0.0	0.0	50.0
C00199	D-Ribulose_5-phosphate	-6.01	-1.354	0.0	0.0	0.0	50.0
C00217	D-Glutamate	5.615	-1.0	0.041	51.01	-1.058	80.0
C00197	3-Phospho-D-glycerate	6.624	4.593	0.693	122.767	6.412	90.0
C00191	D-Glucuronate	9.187	-2.0	0.007	586.858	-2.01	90.0
C00036	Oxaloacetate	10.089	1.751	0.174	1092.526	7.567	90.0
C00037	Glycine	8.083	-0.17	0.004	272.285	-0.176	70.0
C00035	GDP	1.7	-4.087	0.191	20.244	-1.952	90.0
C00031	D-Glucose	7.856	2.459	0.313	237.18	6.214	90.0
C00330	Deoxyguanosine	5.923	-0.585	0.025	62.174	-0.62	70.0
C00135	L-Histidine	-6.2	-1.0	0.0	0.0	0.0	50.0
C00131	dATP	-6.479	0.737	0.019	90.868	-0.764	70.0
C00130	IMP	-2.346	-0.222	0.0	0.0	0.0	50.0
C01290	beta-D-Galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide	7.055	2.807	0.398	139.972	5.799	80.0
C05699	L-Selenocystathionine	7.451	3.0	0.403	182.974	6.203	90.0
C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier_protein]	-6.977	-1.585	0.0	0.0	0.0	50.0
C00299	Uridine	-2.709	0.263	0.184	7.739	-0.506	70.0
C01190	beta-D-Glucosyl-(1<->1)-ceramide	-6.476	-2.807	0.0	0.0	0.0	50.0
C00668	alpha-D-Glucose_6-phosphate	8.772	-3.14	0.02	445.97	-3.169	90.0
C01094	D-Fructose_1-phosphate	10.353	1.415	0.137	1310.533	7.485	90.0
C00254	Prephenate	-3.883	0.632	0.105	16.303	-0.776	70.0
C00440	5-Methyltetrahydrofolate	4.755	0.415	0.087	28.335	1.306	70.0
C01594	Linamarin	9.95	3.322	0.334	999.119	8.382	90.0
C04916	N-(5'-Phospho-D-1'-ribulosylformimino)-5-amino-1-(5''-phospho-D-ribosyl)-4-imidazolecarboxamide	6.384	-1.807	0.042	87.016	-1.866	90.0
C05752	Octanoyl-[acp]	5.907	-1.585	0.05	63.005	-1.655	80.0
C03263	Coproporphyrinogen_III	8.52	1.0	0.117	369.093	5.437	80.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	-4.585	0.415	0.056	25.334	-0.493	70.0
C00479	Propanal	-7.012	2.322	0.039	134.069	-2.377	90.0
C00041	L-Alanine	6.79	0.585	0.086	112.161	3.273	70.0
C00047	L-Lysine	-5.951	0.585	0.024	63.363	-0.62	70.0
C00046	RNA	-7.76	2.747	0.031	223.48	-2.791	90.0
C00044	GTP	-8.947	-2.051	0.0	0.0	0.0	50.0
C00049	L-Aspartate	5.666	0.057	0.01	51.814	-0.94	70.0
C01212	UDP-N-acetylmuramoyl-L-alanine	3.781	-1.322	0.182	16.247	-1.563	80.0
C01528	Hydrogen_selenide	-7.547	1.0	0.011	189.014	-1.015	80.0
