compound_code	compound_name	mollicute_mock_score	lactobacillus_mock_score	ratio	magnitude	interaction_score	percentile
C00882	Dephospho-CoA	-3.807	-5.044	0.424	46.988	-4.317	80.0
C05841	Nicotinate_D-ribonucleoside	4.807	5.585	0.861	75.994	6.031	90.0
C00655	Xanthosine_5'-phosphate	3.115	3.298	0.945	18.499	4.127	70.0
C00301	ADP-ribose	2.585	4.7	0.55	31.992	4.137	70.0
C00718	Amylose	-3.209	-4.248	0.487	28.248	-3.781	70.0
C03125	L-Cysteinyl-tRNA(Cys)	-4.087	-3.459	0.647	27.991	-4.179	80.0
C03127	L-Isoleucyl-tRNA(Ile)	-3.322	-4.087	0.588	26.995	-3.99	80.0
C03692	1,2-Diacyl-3-beta-D-galactosyl-sn-glycerol	-3.585	-6.954	0.097	135.983	-3.718	70.0
C00152	L-Asparagine	-0.415	-1.188	0.585	3.612	-1.08	60.0
C00365	dUMP	0.807	-4.692	0.068	27.598	-0.901	60.0
C00362	dGMP	1.585	-3.459	0.273	13.997	-1.933	50.0
C00363	dTDP	-3.322	5.17	0.278	46.002	-3.676	70.0
C00009	Orthophosphate	-3.322	-2.807	0.7	16.999	-3.572	70.0
C00008	ADP	3.97	-6.646	0.156	115.819	-4.18	80.0
C00006	NADP+	-2.0	6.011	0.062	68.49	-2.087	50.0
C00058	Formate	-1.17	10.263	0.002	1231.021	-1.173	60.0
C00003	NAD+	0.737	-1.138	0.757	3.867	-1.55	50.0
C00002	ATP	-4.36	-6.267	0.267	97.546	-4.701	90.0
C00369	Starch	0.874	4.807	0.182	29.826	2.439	60.0
C05703	Methaneselenol	-3.585	-6.16	0.168	83.507	-3.809	70.0
C00035	GDP	4.919	-6.066	0.452	97.249	-5.457	90.0
C05401	3-beta-D-Galactosyl-sn-glycerol	3.585	6.954	0.516	135.983	6.131	90.0
C00361	dGDP	4.891	7.793	0.628	251.454	7.302	90.0
C00253	Nicotinate	-4.807	-4.931	0.918	58.499	-5.746	90.0
C00250	Pyridoxal	3.807	8.055	0.473	279.944	7.048	90.0
C00255	Riboflavin	3.0	2.322	0.774	13.0	3.331	70.0
C05336	Selenomethionyl-tRNA(Met)	-3.585	-3.459	0.916	22.997	-4.397	80.0
C00415	Dihydrofolate	1.152	-1.078	0.95	4.333	-2.041	50.0
C00416	Phosphatidate	0.807	-4.163	0.098	19.663	-0.941	60.0
C05335	L-Selenomethionine	3.585	3.459	0.965	22.997	4.472	80.0
C00330	Deoxyguanosine	4.807	5.585	0.861	75.994	6.031	90.0
C01083	alpha,alpha-Trehalose	-3.0	6.508	0.088	99.013	-3.122	60.0
C01931	L-Lysyl-tRNA	-3.907	-4.322	0.75	35.002	-4.714	90.0
C00492	Raffinose	4.087	-5.7	0.327	68.979	-4.495	80.0
C00314	Pyridoxine	3.807	8.055	0.473	279.944	7.048	90.0
C00469	Ethanol	5.17	7.639	0.677	235.33	7.315	90.0
C00092	D-Glucose_6-phosphate	-3.655	-6.582	0.131	108.4	-3.833	70.0
C00093	sn-Glycerol_3-phosphate	3.256	-1.463	0.289	12.31	-1.829	50.0
C00095	D-Fructose	-1.0	4.824	0.071	30.325	-1.098	60.0
C00097	L-Cysteine	3.907	-5.926	0.247	75.801	-4.225	80.0
C14099	2-Naphthaldehyde	-5.17	-7.639	0.181	235.33	-5.41	90.0
C05892	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine	1.585	3.585	0.442	15.0	2.729	60.0
C00078	L-Tryptophan	2.585	3.459	0.747	16.997	3.667	70.0
C00079	L-Phenylalanine	2.807	2.883	0.974	14.375	3.807	70.0
C00993	D-Alanyl-D-alanine	-1.0	-8.214	0.007	298.934	-1.01	60.0
C14090	1-Naphthaldehyde	-5.17	-7.639	0.181	235.33	-5.41	90.0
C00071	Aldehyde	-5.17	-6.907	0.3	156.011	-5.549	90.0
C00074	Phosphoenolpyruvate	-3.874	-8.696	0.035	429.384	-3.924	70.0
C00075	UTP	4.061	3.126	0.77	25.421	4.29	70.0
C06196	2'-Deoxyinosine_5'-phosphate	-3.459	-6.209	0.149	84.973	-3.659	70.0
C00979	O-Acetyl-L-serine	-3.15	6.78	0.081	118.773	-3.262	60.0
C00123	L-Leucine	3.585	-1.222	0.194	14.333	-1.478	50.0
C03512	L-Tryptophanyl-tRNA(Trp)	-2.585	-3.459	0.546	16.997	-3.213	60.0
C04242	5-Fluorodeoxyuridine_monophosphate	-2.0	-3.17	0.444	13.0	-2.53	50.0
C00085	D-Fructose_6-phosphate	3.773	-3.471	0.811	24.759	-4.328	80.0
C00242	Guanine	-2.322	-4.353	0.245	25.436	-2.638	50.0
C00245	Taurine	-1.0	-6.907	0.017	122.009	-1.024	60.0
C00082	L-Tyrosine	3.585	1.766	0.493	15.401	2.924	60.0
C00081	ITP	3.459	5.0	0.692	42.997	4.895	80.0
C03785	D-Tagatose_1,6-bisphosphate	-4.807	-7.706	0.134	236.796	-4.989	90.0
C04432	tRNA_containing_6-isopentenyladenosine	-3.459	-2.585	0.546	16.997	-3.213	60.0
C00089	Sucrose	5.044	-6.683	0.321	135.741	-5.446	90.0
C00183	L-Valine	2.807	-1.585	0.429	9.998	-2.1	50.0
C02218	Dehydroalanine	-3.0	-3.907	0.533	23.001	-3.617	70.0
C00672	2-Deoxy-D-ribose_1-phosphate	-2.0	-4.17	0.222	22.001	-2.289	50.0
C00673	2-Deoxy-D-ribose_5-phosphate	4.248	4.426	0.96	40.497	5.281	80.0
C00160	Glycolate	-2.0	-4.74	0.15	30.723	-2.201	50.0
C00163	Propanoate	3.7	6.615	0.559	111.016	5.956	90.0
C02984	L-Aspartyl-tRNA(Asp)	-3.807	-4.459	0.636	35.99	-4.518	80.0
C00124	D-Galactose	-3.585	-6.262	0.156	88.745	-3.795	70.0
C02987	L-Glutamyl-tRNA(Glu)	-3.322	-4.322	0.5	30.001	-3.907	70.0
C02047	L-Leucyl-tRNA	-3.585	-4.755	0.444	39.002	-4.115	80.0
C00106	Uracil	0.363	-4.878	0.044	30.691	-0.425	60.0
C00342	Thioredoxin	4.585	-5.532	0.519	70.27	-5.188	90.0
C00105	UMP	2.405	0.593	0.247	6.805	0.747	60.0
C03082	4-Phospho-L-aspartate	2.536	5.44	0.466	49.211	4.52	80.0
C00103	D-Glucose_1-phosphate	-3.636	6.54	0.134	105.486	-3.817	70.0
C04377	5,10-Methylenetetrahydromethanopterin	-3.807	-5.087	0.412	47.986	-4.305	80.0
C00101	Tetrahydrofolate	-1.215	1.485	0.829	5.121	-2.086	50.0
C05688	L-Selenocysteine	3.459	4.17	0.829	28.998	4.588	80.0
C05689	Se-Methyl-L-selenocysteine	3.459	4.17	0.829	28.998	4.588	80.0
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	4.342	3.147	0.725	29.138	4.4	80.0
C00064	L-Glutamine	-1.939	-2.58	0.641	9.814	-2.654	50.0
C00109	2-Oxobutanoate	1.585	8.294	0.191	316.865	5.92	80.0
C16633	5-Fluorouridine	5.248	2.585	0.493	44.002	4.438	80.0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	2.0	3.781	0.529	17.747	3.231	70.0
C00864	Pantothenate	2.585	4.087	0.632	22.995	3.862	70.0
C16634	5-Fluorouridine_monophosphate	-5.248	-2.585	0.158	44.002	-2.796	50.0
C05466	Glycochenodeoxycholate	1.0	6.907	0.145	122.009	4.143	70.0
C04079	N-((R)-Pantothenoyl)-L-cysteine	2.585	4.087	0.632	22.995	3.862	70.0
C03028	Thiamin_triphosphate	-3.17	-5.129	0.257	43.994	-3.5	60.0
C00700	XTP	3.459	6.209	0.557	84.973	5.565	80.0
C05684	Selenite	3.7	6.966	0.531	138.015	6.196	90.0
C00279	D-Erythrose_4-phosphate	-3.907	11.531	0.005	2974.219	-3.914	70.0
C01412	Butanal	5.17	6.216	0.832	110.338	6.52	90.0
C05465	Taurochenodeoxycholate	1.0	6.907	0.145	122.009	4.143	70.0
C02686	Galactosylceramide	-3.585	-6.066	0.179	78.996	-3.823	70.0
C00159	D-Mannose	-3.585	9.289	0.019	637.558	-3.612	70.0
C00668	alpha-D-Glucose_6-phosphate	3.491	-6.343	0.139	92.42	-3.678	70.0
C03402	L-Asparaginyl-tRNA(Asn)	-2.322	-4.222	0.268	23.662	-2.664	50.0
C02992	L-Threonyl-tRNA(Thr)	-2.585	-3.907	0.4	21.001	-3.07	60.0
C00234	10-Formyltetrahydrofolate	-0.757	-1.565	0.571	4.649	-1.409	50.0
C00117	D-Ribose_5-phosphate	-0.158	5.661	0.022	51.713	-0.189	60.0
C00116	Glycerol	-2.459	-3.719	0.418	18.667	-2.962	50.0
C00111	Glycerone_phosphate	-2.784	7.797	0.031	229.286	-2.828	50.0
C00112	CDP	-4.755	-1.503	0.105	29.836	-1.647	50.0
C14089	1-Hydroxymethylnaphthalene	5.17	7.639	0.677	235.33	7.315	90.0
C00118	D-Glyceraldehyde_3-phosphate	2.4	-9.982	0.005	1016.581	-2.408	50.0
C02909	(2-Naphthyl)methanol	5.17	7.639	0.677	235.33	7.315	90.0
C00692	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	1.0	4.322	0.231	22.001	2.348	60.0
C03492	D-4'-Phosphopantothenate	-2.585	-2.0	0.667	10.0	-2.737	50.0
C00695	Cholic_acid	-1.0	-6.907	0.017	122.009	-1.024	60.0
C11435	4-(Cytidine_5'-diphospho)-2-C-methyl-D-erythritol	-1.0	2.0	0.5	6.0	-1.585	50.0
C00235	Dimethylallyl_diphosphate	2.585	-1.571	0.495	8.971	-2.151	50.0
C09332	Tetrahydrofolyl-[Glu](2)	-2.807	-3.17	0.778	15.999	-3.637	70.0
C00269	CDP-diacylglycerol	2.293	-2.459	0.891	10.399	-3.212	60.0
C05898	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	-1.585	-3.807	0.214	16.997	-1.865	50.0
C00441	L-Aspartate_4-semialdehyde	-3.55	3.611	0.959	23.931	-4.52	90.0
C11736	5-Fluorodeoxyuridine	2.0	3.17	0.631	13.0	3.036	70.0
C05893	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine	-1.585	-3.807	0.214	16.997	-1.865	50.0
C00262	Hypoxanthine	-1.766	-4.239	0.18	22.284	-2.005	50.0
C01172	beta-D-Glucose_6-phosphate	2.663	-4.737	0.238	33.001	-2.97	60.0
C00267	alpha-D-Glucose	-4.406	4.556	0.901	44.723	-5.333	90.0
C03294	N-Formylmethionyl-tRNA	-2.0	-4.459	0.182	25.993	-2.241	50.0
C00526	Deoxyuridine	1.926	5.91	0.326	63.929	4.381	70.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	-3.807	4.0	0.875	29.997	-4.714	90.0
C00188	L-Threonine	2.585	-3.361	0.584	16.275	-3.249	60.0
C02702	L-Prolyl-tRNA(Pro)	-3.17	-5.0	0.281	41.0	-3.528	60.0
C00129	Isopentenyl_diphosphate	-2.585	-1.72	0.549	9.295	-2.351	50.0
C00460	dUTP	3.585	5.113	0.701	46.608	5.03	80.0
C03794	N6-(1,2-Dicarboxyethyl)-AMP	1.222	-1.0	0.857	4.333	-1.893	50.0
C00010	CoA	2.0	4.841	0.413	32.661	3.754	70.0
C00122	Fumarate	-3.459	-2.852	0.657	18.217	-3.58	70.0
C00286	dGTP	-5.227	-7.812	0.167	262.175	-5.449	90.0
C04216	all-trans-Heptaprenyl_diphosphate	-2.585	-5.087	0.177	39.989	-2.82	50.0
C00283	Hydrogen_sulfide	1.585	7.14	0.222	144.044	4.999	80.0
C02839	L-Tyrosyl-tRNA(Tyr)	-3.585	-5.209	0.324	48.989	-3.99	80.0
C04352	(R)-4'-Phosphopantothenoyl-L-cysteine	-2.585	-1.0	0.333	8.0	-1.415	50.0
C05897	Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	1.0	1.585	0.631	5.0	1.657	60.0
C17556	di-trans,poly-cis-Undecaprenyl_phosphate	-3.17	2.585	0.667	15.001	-3.322	60.0
C00294	Inosine	4.807	5.146	0.934	63.401	5.888	80.0
C03892	Phosphatidylglycerophosphate	-4.392	-3.585	0.572	32.996	-4.237	80.0
C02412	Glycyl-tRNA(Gly)	-3.585	-3.17	0.75	21.001	-3.977	80.0
C00680	meso-2,6-Diaminoheptanedioate	-1.051	1.485	0.74	4.871	-1.85	50.0
C02553	L-Seryl-tRNA(Ser)	-3.907	-6.615	0.153	113.021	-4.112	80.0
C00842	dTDP-glucose	3.0	-1.585	0.375	11.0	-2.044	50.0
C05378	beta-D-Fructose_1,6-bisphosphate	-4.807	10.843	0.015	1864.82	-4.829	90.0
C00831	Pantetheine	2.585	4.087	0.632	22.995	3.862	70.0
C02554	L-Valyl-tRNA(Val)	-2.807	-4.524	0.304	30.005	-3.19	60.0
C04051	5-Amino-4-imidazolecarboxyamide	-3.807	-5.7	0.269	65.981	-4.151	80.0
C00407	L-Isoleucine	3.322	-2.202	0.46	14.602	-2.748	50.0
C00921	Dihydropteroate	2.807	3.17	0.885	15.999	3.824	70.0
C03150	Nicotinamide-beta-riboside	4.807	5.073	0.948	61.654	5.868	80.0
C01921	Glycocholate	1.0	6.907	0.145	122.009	4.143	70.0
C00458	dCTP	-4.728	-6.758	0.245	134.735	-5.044	90.0
C04895	7,8-Dihydroneopterin_3'-triphosphate	-1.585	1.874	0.818	6.666	-2.448	50.0
C03539	S-Ribosyl-L-homocysteine	-2.0	5.585	0.083	52.001	-2.115	50.0
C00199	D-Ribulose_5-phosphate	-3.83	-5.339	0.351	54.698	-4.264	80.0
C00019	S-Adenosyl-L-methionine	-0.807	-1.0	0.875	3.75	-1.714	50.0
C00217	D-Glutamate	1.0	-0.737	0.833	3.667	-1.611	50.0
C00214	Thymidine	-3.273	-6.267	0.126	86.678	-3.444	60.0
C00212	Adenosine	4.807	4.728	0.984	54.495	5.744	80.0
C00153	Nicotinamide	-4.807	-5.073	0.832	61.654	-5.68	90.0
C00208	Maltose	-5.755	6.022	0.831	118.988	-6.628	90.0
C00037	Glycine	3.129	-2.095	0.488	13.021	-2.669	50.0
C11907	4,6-Dideoxy-4-oxo-dTDP-D-glucose	-3.0	-1.0	0.25	10.0	-1.322	50.0
C00033	Acetate	3.087	7.121	0.434	147.696	6.001	90.0
C00031	D-Glucose	3.644	4.102	0.888	29.673	4.72	80.0
C00137	myo-Inositol	-3.585	-4.788	0.434	39.627	-4.105	80.0
C00136	Butanoyl-CoA	-5.17	-7.5	0.199	217.021	-5.432	90.0
C00135	L-Histidine	2.807	2.17	0.773	11.499	3.152	70.0
C00134	Putrescine	-2.807	-3.17	0.778	15.999	-3.637	70.0
C00133	D-Alanine	1.585	7.647	0.207	203.436	5.398	80.0
C00131	dATP	2.7	6.046	0.447	72.572	5.018	80.0
C00130	IMP	4.087	-4.15	0.957	34.748	-5.056	90.0
C01097	D-Tagatose_6-phosphate	4.807	8.275	0.581	337.752	7.616	90.0
C04851	MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho-undecaprenol	1.0	1.585	0.631	5.0	1.657	60.0
C00299	Uridine	0.241	4.315	0.056	21.086	0.236	60.0
C04574	di-trans,poly-cis-Undecaprenyl_diphosphate	2.322	0.585	0.252	6.5	0.712	60.0
C01762	Xanthosine	4.807	5.387	0.892	69.839	5.962	90.0
C02528	Chenodeoxycholate	-1.0	-6.907	0.017	122.009	-1.024	60.0
C00073	L-Methionine	-0.322	-2.087	0.294	5.499	-0.694	60.0
C00448	trans,trans-Farnesyl_diphosphate	2.585	2.807	0.921	12.998	3.581	70.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	-0.415	1.087	0.628	3.458	-1.118	60.0
C00041	L-Alanine	-2.807	4.17	0.389	24.999	-3.281	60.0
C00040	Acyl-CoA	3.503	3.478	0.993	22.48	4.48	80.0
C00047	L-Lysine	2.807	-3.392	0.667	17.496	-3.544	60.0
C00046	RNA	-2.7	-4.694	0.251	32.382	-3.023	60.0
C00044	GTP	-3.826	-5.31	0.357	53.853	-4.267	80.0
C00049	L-Aspartate	2.907	1.69	0.581	10.727	2.641	60.0
C00206	dADP	2.503	-6.353	0.069	87.41	-2.6	50.0
