compound_code	compound_name	lactobacillus_mock_score	lachnospiraceae_mock_score	ratio	magnitude	interaction_score	percentile
C01228	Guanosine_3',5'-bis(diphosphate)	-4.755	-1.0	0.074	29.002	-1.103	50.0
C00725	Lipoate	7.977	1.0	0.125	253.951	4.993	90.0
C03688	Apo-[acyl-carrier-protein]	5.322	1.0	0.188	42.002	2.98	80.0
C00231	D-Xylulose_5-phosphate	2.907	-3.346	0.738	17.669	-3.704	90.0
C00234	10-Formyltetrahydrofolate	-1.565	0.598	0.512	4.472	-1.194	50.0
C06006	(S)-2-Aceto-2-hydroxybutanoate	-3.459	-2.322	0.455	15.997	-2.863	90.0
C15812	[Enzyme]-S-sulfanylcysteine	-5.0	1.585	0.094	35.0	-1.714	60.0
C01931	L-Lysyl-tRNA	-4.322	-1.0	0.1	22.001	-1.137	50.0
C00014	Ammonia	-2.52	-0.459	0.24	7.11	-0.769	60.0
C00015	UDP	-0.585	-3.087	0.177	9.997	-0.82	60.0
C00018	Pyridoxal_phosphate	-8.055	-1.0	0.008	267.948	-1.011	60.0
C00065	L-Serine	-2.677	-0.355	0.2	7.674	-0.618	60.0
C05796	Galactan	8.449	2.807	0.332	356.462	6.888	90.0
C00314	Pyridoxine	8.055	1.0	0.124	267.948	5.056	90.0
C00155	L-Homocysteine	-3.532	-2.222	0.403	16.233	-2.711	90.0
C05752	Octanoyl-[acp]	-2.322	-1.585	0.6	8.0	-2.263	80.0
C05746	3-Oxohexanoyl-[acp]	4.585	2.0	0.436	28.001	3.61	80.0
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	-2.0	-1.0	0.5	6.0	-1.585	60.0
C00091	Succinyl-CoA	-7.6	-1.585	0.015	197.012	-1.607	60.0
C05754	trans-Dec-2-enoyl-[acp]	-3.459	1.0	0.182	12.997	-1.241	50.0
C05345	beta-D-Fructose_6-phosphate	6.908	3.763	0.545	133.668	6.186	90.0
C02051	Lipoylprotein	-7.6	-1.585	0.015	197.012	-1.607	60.0
C00221	beta-D-Glucose	-7.943	-1.064	0.008	248.174	-1.076	50.0
C05223	Dodecanoyl-[acyl-carrier_protein]	-2.322	-1.585	0.6	8.0	-2.263	80.0
C00229	Acyl-carrier_protein	-4.392	-1.0	0.095	22.995	-1.131	50.0
C00882	Dephospho-CoA	-5.044	1.585	0.091	35.991	-1.711	60.0
C05758	trans-Dodec-2-enoyl-[acp]	-3.459	1.0	0.182	12.997	-1.241	50.0
C00655	Xanthosine_5'-phosphate	3.298	0.369	0.112	11.127	0.316	70.0
C00118	D-Glyceraldehyde_3-phosphate	-9.982	6.136	0.07	1081.63	-6.233	90.0
C05759	3-Oxotetradecanoyl-[acp]	4.585	2.0	0.436	28.001	3.61	80.0
C03125	L-Cysteinyl-tRNA(Cys)	-3.459	-2.322	0.455	15.997	-2.863	90.0
C01172	beta-D-Glucose_6-phosphate	-4.737	-1.585	0.113	29.667	-1.739	70.0
C20373	3-Hydroxyglutaryl-[acp]_methyl_ester	-3.322	-1.585	0.3	13.001	-1.964	70.0
C01801	Deoxyribose	6.285	1.0	0.159	79.978	3.67	80.0
C20377	3-Hydroxypimeloyl-[acp]_methyl_ester	-3.322	-1.585	0.3	13.001	-1.964	70.0
C20376	3-Ketopimeloyl-[acp]_methyl_ester	4.585	2.0	0.436	28.001	3.61	80.0
C00008	ADP	-6.646	-2.415	0.053	105.482	-2.49	80.0
C00006	NADP+	6.011	1.0	0.166	66.49	3.467	80.0
C00005	NADPH	-6.16	-1.0	0.028	73.506	-1.04	50.0
C20378	Enoylpimeloyl-[acp]_methyl_ester	-3.459	-1.0	0.182	12.997	-1.241	50.0
C00002	ATP	-6.267	2.524	0.075	82.763	-2.628	90.0
C00369	Starch	4.807	0.893	0.186	29.85	2.471	80.0
C15972	Enzyme_N6-(lipoyl)lysine	-5.066	-1.585	0.09	36.498	-1.709	60.0
C04620	(3R)-3-Hydroxyoctanoyl-[acyl-carrier_protein]	-2.954	-1.322	0.323	10.249	-1.725	60.0
C16619	6-Thioguanosine_monophosphate	-4.524	-1.0	0.087	25.007	-1.12	50.0
C16618	6-Thioxanthine_5'-monophosphate	4.585	1.0	0.218	26.001	2.504	80.0
C00250	Pyridoxal	8.055	1.0	0.124	267.948	5.056	90.0
C02612	(R)-2-Methylmalate	0.585	1.0	0.585	3.5	1.034	70.0
C00255	Riboflavin	2.322	2.322	1.0	10.0	3.322	80.0
C05336	Selenomethionyl-tRNA(Met)	-3.459	-1.0	0.182	12.997	-1.241	50.0
C00259	L-Arabinose	4.392	-1.0	0.095	22.995	-1.131	50.0
C16615	6-Methylthiopurine_5'-monophosphate_ribonucleotide	-3.17	-1.0	0.222	11.0	-1.289	50.0
C16614	6-Methylmercaptopurine	3.17	1.0	0.315	11.0	1.795	70.0
C01083	alpha,alpha-Trehalose	6.508	-2.0	0.044	95.013	-2.062	70.0
C00491	L-Cystine	3.755	3.0	0.799	21.501	4.102	90.0
C01528	Hydrogen_selenide	-5.746	1.0	0.037	55.668	-1.053	50.0
C00886	L-Alanyl-tRNA	-3.907	-1.585	0.2	18.001	-1.848	70.0
C00092	D-Glucose_6-phosphate	-6.582	-3.459	0.115	106.8	-3.616	90.0
C00093	sn-Glycerol_3-phosphate	-1.463	-1.893	0.742	6.471	-2.264	80.0
C00498	ADP-glucose	-5.219	-0.503	0.038	38.663	-0.557	60.0
C00095	D-Fructose	4.824	-2.0	0.141	32.325	-2.191	80.0
C00097	L-Cysteine	-5.926	0.415	0.022	62.133	-0.446	70.0
C01050	UDP-N-acetylmuramate	-4.692	0.893	0.072	27.705	-0.993	60.0
C00078	L-Tryptophan	3.459	0.585	0.169	12.497	1.08	70.0
C00079	L-Phenylalanine	2.883	-0.097	0.145	8.446	-0.292	70.0
C00993	D-Alanyl-D-alanine	-8.214	-1.585	0.01	299.934	-1.6	60.0
C00073	L-Methionine	-2.087	3.585	0.354	16.249	-2.524	80.0
C00121	D-Ribose	6.285	1.0	0.159	79.978	3.67	80.0
C00077	L-Ornithine	1.0	-1.0	1.0	4.0	-2.0	70.0
C15667	5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole	-5.524	2.0	0.087	50.014	-2.12	80.0
C02282	Glutaminyl-tRNA	4.03	-0.737	0.102	18.003	-0.877	60.0
C00979	O-Acetyl-L-serine	6.78	-0.585	0.014	111.396	-0.605	60.0
C00620	alpha-D-Ribose_1-phosphate	7.788	4.087	0.525	238.009	6.965	90.0
C00074	Phosphoenolpyruvate	-8.696	-0.848	0.004	416.522	-0.854	60.0
C00337	(S)-Dihydroorotate	-1.874	2.322	0.733	8.666	-2.667	90.0
C00075	UTP	3.126	2.619	0.838	14.873	3.639	80.0
C00123	L-Leucine	-1.222	0.222	0.5	3.499	-0.807	60.0
C00279	D-Erythrose_4-phosphate	11.531	-4.512	0.008	2982.034	-4.523	90.0
C00085	D-Fructose_6-phosphate	-3.471	3.961	0.712	26.662	-4.247	90.0
C00242	Guanine	-4.353	1.0	0.098	22.435	-1.135	50.0
C04640	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine	-2.322	-3.0	0.625	13.0	-3.022	90.0
C00089	Sucrose	-6.683	2.0	0.039	106.75	-2.055	70.0
C04646	6-Thioinosine-5'-monophosphate	2.585	-1.0	0.333	8.0	-1.415	50.0
C02218	Dehydroalanine	-3.907	-1.585	0.2	18.001	-1.848	70.0
C00671	(S)-3-Methyl-2-oxopentanoic_acid	4.314	-1.415	0.134	22.557	-1.597	60.0
C00673	2-Deoxy-D-ribose_5-phosphate	4.426	-1.0	0.093	23.496	-1.128	50.0
C00160	Glycolate	-4.74	-1.0	0.075	28.723	-1.104	50.0
C00163	Propanoate	6.615	1.0	0.151	100.02	3.918	90.0
C02984	L-Aspartyl-tRNA(Asp)	-4.459	-2.0	0.182	25.993	-2.241	80.0
C02987	L-Glutamyl-tRNA(Glu)	-4.322	-2.0	0.2	24.001	-2.263	80.0
C00169	Carbamoyl_phosphate	-3.49	-2.0	0.356	15.236	-2.439	80.0
C02047	L-Leucyl-tRNA	-4.755	-1.0	0.074	29.002	-1.103	50.0
C00342	Thioredoxin	-5.532	1.0	0.043	48.27	-1.061	50.0
C00105	UMP	0.593	0.489	0.825	2.912	1.264	70.0
C00103	D-Glucose_1-phosphate	6.54	2.807	0.429	100.053	5.424	90.0
C04377	5,10-Methylenetetrahydromethanopterin	-5.087	-1.585	0.088	36.989	-1.707	60.0
C04376	5'-Phosphoribosyl-N-formylglycinamide	2.0	3.0	0.667	12.0	3.0	80.0
C00063	CTP	5.654	2.524	0.446	56.105	4.646	90.0
C00062	L-Arginine	-3.386	1.0	0.191	12.454	-1.253	50.0
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	3.147	-1.28	0.274	11.287	-1.63	60.0
C00064	L-Glutamine	-2.58	-1.078	0.353	8.091	-1.514	60.0
C00109	2-Oxobutanoate	8.294	2.322	0.28	318.865	6.48	90.0
C16633	5-Fluorouridine	2.585	1.585	0.613	9.0	2.464	80.0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	3.781	0.585	0.155	15.247	1.238	70.0
C16634	5-Fluorouridine_monophosphate	-2.585	-1.585	0.5	9.0	-2.17	80.0
C00577	D-Glyceraldehyde	-11.618	-1.0	0.001	3145.16	-1.001	60.0
C05764	Hexadecanoyl-[acp]	-2.322	-1.585	0.6	8.0	-2.263	80.0
C04246	But-2-enoyl-[acyl-carrier_protein]	-3.459	1.0	0.182	12.997	-1.241	50.0
C05761	Tetradecanoyl-[acp]	-2.322	-1.585	0.6	8.0	-2.263	80.0
C05760	trans-Tetradec-2-enoyl-[acp]	-3.459	1.0	0.182	12.997	-1.241	50.0
C05763	trans-Hexadec-2-enoyl-[acp]	-3.459	1.0	0.182	12.997	-1.241	50.0
C20374	Enoylglutaryl-[acp]_methyl_ester	-3.459	-1.0	0.182	12.997	-1.241	50.0
C00900	2-Acetolactate	3.585	-2.322	0.417	17.001	-2.825	90.0
C00668	alpha-D-Glucose_6-phosphate	-6.343	-3.14	0.109	89.992	-3.289	90.0
C00666	LL-2,6-Diaminoheptanedioate	-3.928	-0.848	0.118	17.021	-1.009	60.0
C17962	Demethylphosphinothricin	3.17	1.0	0.315	11.0	1.795	70.0
C06188	Salicin_6-phosphate	8.103	3.459	0.427	285.942	6.931	90.0
C03406	N-(L-Arginino)succinate	2.585	-1.585	0.5	9.0	-2.17	80.0
C02163	L-Arginyl-tRNA(Arg)	-2.585	-1.585	0.5	9.0	-2.17	80.0
C00117	D-Ribose_5-phosphate	5.661	-3.467	0.219	61.656	-3.752	90.0
C00111	Glycerone_phosphate	7.797	-0.466	0.006	223.779	-0.475	70.0
C02380	6-Mercaptopurine	3.17	1.0	0.315	11.0	1.795	70.0
C00112	CDP	-1.503	-4.087	0.167	19.829	-1.726	60.0
C07648	Thioguanine	3.17	1.0	0.315	11.0	1.795	70.0
C05698	Selenohomocysteine	-3.755	-2.807	0.518	20.499	-3.41	90.0
C00354	D-Fructose_1,6-bisphosphate	-9.036	-0.222	0.002	526.103	-0.225	70.0
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	-6.983	-1.811	0.028	130.009	-1.85	70.0
C00243	Lactose	5.799	2.807	0.484	62.675	4.923	90.0
C00327	L-Citrulline	2.722	2.0	0.735	10.598	2.961	80.0
C00054	Adenosine_3',5'-bisphosphate	-5.322	-1.0	0.05	42.002	-1.07	50.0
C02972	Dihydrolipoylprotein	7.6	1.585	0.209	197.012	5.361	90.0
C01962	Thiocysteine	-3.755	-3.0	0.593	21.501	-3.671	90.0
C11435	4-(Cytidine_5'-diphospho)-2-C-methyl-D-erythritol	2.0	-0.415	0.333	5.333	-0.83	60.0
C11436	2-Phospho-4-(cytidine_5'-diphospho)-2-C-methyl-D-erythritol	-2.0	0.415	0.333	5.333	-0.83	60.0
C17949	N-Acetyldemethylphosphinothricin	-3.17	-1.0	0.222	11.0	-1.289	50.0
C05751	trans-Oct-2-enoyl-[acp]	-3.459	1.0	0.182	12.997	-1.241	50.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	3.17	-1.585	0.333	12.001	-2.0	70.0
C16219	3-Oxostearoyl-[acp]	4.585	2.0	0.436	28.001	3.61	80.0
C05755	Decanoyl-[acp]	-2.322	-1.585	0.6	8.0	-2.263	80.0
C05756	3-Oxododecanoyl-[acp]	4.585	2.0	0.436	28.001	3.61	80.0
C05757	(R)-3-Hydroxydodecanoyl-[acp]	-3.322	-1.585	0.3	13.001	-1.964	70.0
C00263	L-Homoserine	-2.738	0.228	0.176	7.843	-0.461	70.0
C00262	Hypoxanthine	-4.239	-1.0	0.106	20.883	-1.145	50.0
C16217	3-Hydroxyoctadecanoyl-CoA	-5.0	-2.0	0.125	36.0	-2.17	80.0
C16216	3-Oxostearoyl-CoA	5.0	2.0	0.4	36.0	3.848	90.0
C00267	alpha-D-Glucose	4.556	-1.718	0.14	26.813	-1.907	70.0
C03294	N-Formylmethionyl-tRNA	-4.459	-1.585	0.136	24.993	-1.769	70.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	4.0	1.0	0.25	18.0	2.17	80.0
C00188	L-Threonine	-3.361	-0.893	0.181	12.132	-1.133	50.0
C00402	D-Aspartate	-4.459	-1.0	0.091	23.993	-1.126	50.0
C02702	L-Prolyl-tRNA(Pro)	-5.0	-1.0	0.063	34.0	-1.087	50.0
C00183	L-Valine	-1.585	0.041	0.343	4.029	-0.466	70.0
C00010	CoA	4.841	-1.0	0.07	30.661	-1.097	50.0
C00286	dGTP	-7.812	1.087	0.009	226.847	-1.101	50.0
C00124	D-Galactose	-6.262	-2.807	0.091	83.743	-2.933	90.0
C00011	CO2	3.392	4.966	0.683	41.752	4.834	90.0
C00288	HCO3-	4.196	1.0	0.238	20.328	2.276	80.0
C02412	Glycyl-tRNA(Gly)	-3.17	-1.0	0.222	11.0	-1.289	50.0
C02553	L-Seryl-tRNA(Ser)	-6.615	-2.0	0.041	102.02	-2.058	70.0
C05378	beta-D-Fructose_1,6-bisphosphate	10.843	-0.115	0.001	1837.91	-0.116	70.0
C02554	L-Valyl-tRNA(Val)	-4.524	-1.585	0.13	26.007	-1.762	70.0
C06056	4-Hydroxy-L-threonine	-4.087	-1.0	0.118	18.995	-1.161	50.0
C05749	Hexanoyl-[acp]	-2.322	-1.585	0.6	8.0	-2.263	80.0
C05748	trans-Hex-2-enoyl-[acp]	-3.459	1.0	0.182	12.997	-1.241	50.0
C16220	3-Hydroxyoctadecanoyl-[acp]	-3.322	-1.585	0.3	13.001	-1.964	70.0
C16221	(2E)-Octadecenoyl-[acp]	-3.459	1.0	0.182	12.997	-1.241	50.0
C05745	Butyryl-[acp]	-2.322	-1.585	0.6	8.0	-2.263	80.0
C04618	(3R)-3-Hydroxybutanoyl-[acyl-carrier_protein]	-2.678	-1.138	0.344	8.6	-1.564	60.0
C04619	(3R)-3-Hydroxydecanoyl-[acyl-carrier_protein]	-2.954	-1.322	0.323	10.249	-1.725	60.0
C00458	dCTP	-6.758	1.415	0.025	110.9	-1.45	60.0
C00459	dTTP	-4.392	1.874	0.175	24.661	-2.106	70.0
C06055	O-Phospho-4-hydroxy-L-threonine	2.17	-1.322	0.556	7.0	-1.959	70.0
C00199	D-Ribulose_5-phosphate	-5.339	-1.354	0.063	43.032	-1.442	50.0
C00217	D-Glutamate	-0.737	-1.0	0.833	3.667	-1.611	60.0
C00197	3-Phospho-D-glycerate	-7.88	4.593	0.102	259.702	-4.734	90.0
C00036	Oxaloacetate	3.326	1.751	0.526	13.394	2.818	80.0
C00037	Glycine	-2.095	-0.17	0.263	5.397	-0.507	70.0
C15973	Enzyme_N6-(dihydrolipoyl)lysine	7.577	1.585	0.209	193.943	5.342	90.0
C00035	GDP	-6.066	-4.087	0.254	83.99	-4.413	90.0
C00031	D-Glucose	4.102	2.459	0.599	22.671	3.764	90.0
C00330	Deoxyguanosine	5.585	-0.585	0.031	49.501	-0.629	60.0
C00135	L-Histidine	2.17	-1.0	0.444	6.5	-1.53	60.0
C00131	dATP	6.046	0.737	0.122	67.74	3.046	80.0
C00130	IMP	-4.15	-0.222	0.066	18.919	-0.314	70.0
C16237	Protein_N6-(lipoyl)lysine	-7.977	-1.0	0.008	253.951	-1.011	60.0
C01290	beta-D-Galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide	7.055	2.807	0.398	139.972	5.799	90.0
C05699	L-Selenocystathionine	3.755	3.0	0.799	21.501	4.102	90.0
C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier_protein]	-3.322	-1.585	0.3	13.001	-1.964	70.0
C04088	Octadecanoyl-[acyl-carrier_protein]	-3.7	-1.585	0.231	15.996	-1.885	70.0
C00299	Uridine	4.315	0.263	0.061	21.104	0.363	70.0
C01190	beta-D-Glucosyl-(1<->1)-ceramide	-7.055	-2.807	0.053	139.972	-2.881	90.0
C01094	D-Fructose_1-phosphate	11.034	1.415	0.128	2099.505	8.073	90.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	1.087	0.415	0.382	3.458	0.401	70.0
C05747	(R)-3-Hydroxyhexanoyl-[acp]	-3.322	-1.585	0.3	13.001	-1.964	70.0
C00041	L-Alanine	4.17	0.585	0.14	19.501	1.452	70.0
C00047	L-Lysine	-3.392	0.585	0.143	11.998	-0.778	60.0
C00046	RNA	-4.694	2.747	0.259	32.597	-3.08	90.0
C00044	GTP	-5.31	-2.051	0.104	43.815	-2.194	80.0
C00049	L-Aspartate	1.69	0.057	0.034	4.267	-2.797	90.0
C01212	UDP-N-acetylmuramoyl-L-alanine	3.524	-1.322	0.217	14.004	-1.606	60.0
C02291	L-Cystathionine	3.755	3.0	0.799	21.501	4.102	90.0
