compound_code	compound_name	eubacterium_mock_score	mollicute_mock_score	ratio	magnitude	interaction_score	percentile
C00881	Deoxycytidine	4.322	4.0	0.925	36.001	5.058	80.0
C00097	L-Cysteine	4.279	3.907	0.913	34.415	4.974	80.0
C14099	2-Naphthaldehyde	-6.687	-5.17	0.0	0.0	0.0	50.0
C05892	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine	3.907	1.585	0.406	18.001	2.868	60.0
C00078	L-Tryptophan	4.437	2.585	0.583	27.661	4.01	70.0
C00079	L-Phenylalanine	3.017	2.807	0.93	15.093	3.812	70.0
C00188	L-Threonine	-3.7	2.585	0.462	18.996	-3.133	90.0
C14090	1-Naphthaldehyde	-6.687	-5.17	0.0	0.0	0.0	50.0
C00071	Aldehyde	-6.687	-5.17	0.0	0.0	0.0	50.0
C00074	Phosphoenolpyruvate	-6.981	-3.874	0.0	0.0	0.0	50.0
C00075	UTP	6.969	4.061	0.583	141.97	6.37	90.0
C00333	D-Galacturonate	6.17	5.044	0.818	104.995	6.423	90.0
C06196	2'-Deoxyinosine_5'-phosphate	-4.17	-3.459	0.0	0.0	0.0	50.0
C00979	O-Acetyl-L-serine	-2.078	-3.15	0.0	0.0	0.0	50.0
C00620	alpha-D-Ribose_1-phosphate	6.492	3.858	0.594	104.509	5.957	90.0
C00123	L-Leucine	-0.737	3.585	0.139	13.667	-0.925	70.0
C03512	L-Tryptophanyl-tRNA(Trp)	-5.7	-2.585	0.0	0.0	0.0	50.0
C00085	D-Fructose_6-phosphate	7.107	3.773	0.531	151.525	6.33	90.0
C02352	1,4-beta-D-Xylan	1.585	2.0	0.792	7.0	2.472	60.0
C00245	Taurine	-3.17	-1.0	0.0	0.0	0.0	50.0
C00082	L-Tyrosine	-0.553	3.585	0.122	13.467	-0.719	70.0
C00081	ITP	4.17	3.459	0.829	28.998	4.588	80.0
C03785	D-Tagatose_1,6-bisphosphate	-6.943	-4.807	0.0	0.0	0.0	50.0
C04432	tRNA_containing_6-isopentenyladenosine	-3.807	-3.459	0.0	0.0	0.0	50.0
C00089	Sucrose	-5.931	5.044	0.541	94.002	-5.668	90.0
C00183	L-Valine	-0.737	2.807	0.238	8.665	-1.045	80.0
C02218	Dehydroalanine	-1.585	-3.0	0.0	0.0	0.0	50.0
C00672	2-Deoxy-D-ribose_1-phosphate	-3.585	-2.0	0.0	0.0	0.0	50.0
C00673	2-Deoxy-D-ribose_5-phosphate	-1.585	4.248	0.158	22.001	-1.796	80.0
C02988	L-Histidyl-tRNA(His)	-6.285	-3.322	0.0	0.0	0.0	50.0
C00163	Propanoate	6.476	3.7	0.571	102.012	5.865	90.0
C02984	L-Aspartyl-tRNA(Asp)	-5.672	-3.807	0.0	0.0	0.0	50.0
C00124	D-Galactose	-4.363	-3.585	0.0	0.0	0.0	50.0
C02987	L-Glutamyl-tRNA(Glu)	-5.044	-3.322	0.0	0.0	0.0	50.0
C03263	Coproporphyrinogen_III	4.644	3.17	0.683	34.003	4.537	70.0
C02047	L-Leucyl-tRNA	-5.524	-3.585	0.0	0.0	0.0	50.0
C00106	Uracil	2.888	0.363	0.126	8.689	0.127	60.0
C00342	Thioredoxin	3.807	4.585	0.83	37.997	4.98	80.0
C00105	UMP	-0.065	2.405	0.198	6.342	-0.325	70.0
C00344	Phosphatidylglycerol	3.807	3.585	0.942	25.997	4.614	80.0
C00103	D-Glucose_1-phosphate	2.481	-3.636	0.449	18.015	-3.016	90.0
C04377	5,10-Methylenetetrahydromethanopterin	-5.615	-3.807	0.0	0.0	0.0	50.0
C00101	Tetrahydrofolate	-2.655	-1.215	0.0	0.0	0.0	50.0
C00063	CTP	7.129	4.935	0.692	170.563	6.884	90.0
C05689	Se-Methyl-L-selenocysteine	2.0	3.459	0.578	14.997	3.116	60.0
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	-4.619	4.342	0.825	44.853	-5.21	90.0
C00064	L-Glutamine	-3.033	-1.939	0.0	0.0	0.0	50.0
C00109	2-Oxobutanoate	3.158	1.585	0.502	11.926	2.582	60.0
C16633	5-Fluorouridine	5.044	5.248	0.961	70.993	6.092	90.0
C00860	L-Histidinol	4.17	-2.0	0.222	22.001	-2.289	80.0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	-1.263	2.0	0.6	6.4	-1.941	80.0
C02962	D-Allose_6-phosphate	5.285	4.644	0.879	63.992	5.813	90.0
C00864	Pantothenate	3.459	2.585	0.747	16.997	3.667	70.0
C16635	5'-Deoxy-5-fluorocytidine	4.644	4.0	0.861	41.002	5.142	80.0
C16634	5-Fluorouridine_monophosphate	-5.044	-5.248	0.0	0.0	0.0	50.0
C05466	Glycochenodeoxycholate	3.17	1.0	0.315	11.0	1.795	60.0
C04079	N-((R)-Pantothenoyl)-L-cysteine	3.907	2.585	0.662	21.001	3.797	70.0
C04702	UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)	2.0	-1.0	0.5	6.0	-1.585	80.0
C00700	XTP	4.17	3.459	0.829	28.998	4.588	80.0
C05684	Selenite	5.524	3.7	0.67	59.01	5.305	80.0
C00279	D-Erythrose_4-phosphate	-6.779	-3.907	0.0	0.0	0.0	50.0
C03175	Shikimate_3-phosphate	-2.7	-1.0	0.0	0.0	0.0	50.0
C01412	Butanal	6.687	5.17	0.773	139.038	6.748	90.0
C05465	Taurochenodeoxycholate	3.17	1.0	0.315	11.0	1.795	60.0
C02686	Galactosylceramide	-6.022	-3.585	0.0	0.0	0.0	50.0
C18902	Methylselenic_acid	5.524	3.7	0.67	59.01	5.305	80.0
C00159	D-Mannose	-5.874	-3.585	0.0	0.0	0.0	50.0
C00668	alpha-D-Glucose_6-phosphate	5.783	3.491	0.604	66.306	5.323	90.0
C03402	L-Asparaginyl-tRNA(Asn)	-3.939	-2.322	0.0	0.0	0.0	50.0
C02992	L-Threonyl-tRNA(Thr)	-6.209	-2.585	0.0	0.0	0.0	50.0
C00179	Agmatine	2.322	2.807	0.827	11.999	3.311	70.0
C00475	Cytidine	1.189	-2.11	0.528	6.597	-1.801	80.0
C12215	Iminoerythrose_4-phosphate	-7.852	-4.585	0.0	0.0	0.0	50.0
C12214	Aminofructose_6-phosphate	7.852	4.585	0.584	255.041	7.218	90.0
C00234	10-Formyltetrahydrofolate	-1.338	-0.757	0.0	0.0	0.0	50.0
C00117	D-Ribose_5-phosphate	-6.497	-0.158	0.0	0.0	0.0	50.0
C00116	Glycerol	-6.022	-2.459	0.0	0.0	0.0	50.0
C00111	Glycerone_phosphate	-4.496	-2.784	0.0	0.0	0.0	50.0
C04349	(4S)-4,6-Dihydroxy-2,5-dioxohexanoate	-2.7	-5.285	0.0	0.0	0.0	50.0
C00112	CDP	-5.57	-4.755	0.0	0.0	0.0	50.0
C14089	1-Hydroxymethylnaphthalene	6.687	5.17	0.773	139.038	6.748	90.0
C00118	D-Glyceraldehyde_3-phosphate	7.282	2.4	0.33	160.911	5.729	90.0
C02909	(2-Naphthyl)methanol	6.687	5.17	0.773	139.038	6.748	90.0
C00692	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	1.585	1.0	0.631	5.0	1.657	60.0
C00242	Guanine	-2.907	-2.322	0.0	0.0	0.0	50.0
C05688	L-Selenocysteine	2.0	3.459	0.578	14.997	3.116	60.0
C00695	Cholic_acid	-3.17	-1.0	0.0	0.0	0.0	50.0
C01079	Protoporphyrinogen_IX	-4.644	-3.17	0.0	0.0	0.0	50.0
C11435	4-(Cytidine_5'-diphospho)-2-C-methyl-D-erythritol	0.678	-1.0	0.8	3.6	-1.526	80.0
C18096	D-Allulose_6-phosphate	-5.285	-4.644	0.0	0.0	0.0	50.0
C00235	Dimethylallyl_diphosphate	-6.423	2.585	0.07	91.806	-2.683	90.0
C09332	Tetrahydrofolyl-[Glu](2)	-3.17	-2.807	0.0	0.0	0.0	50.0
C00681	1-Acyl-sn-glycerol_3-phosphate	2.28	-0.515	0.294	6.286	-0.887	70.0
C00269	CDP-diacylglycerol	-5.7	2.293	0.094	56.885	-2.423	80.0
C05898	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	-4.907	-1.585	0.0	0.0	0.0	50.0
C00441	L-Aspartate_4-semialdehyde	3.852	-3.55	0.811	26.153	-4.407	90.0
C05893	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine	-5.044	-1.585	0.0	0.0	0.0	50.0
C00262	Hypoxanthine	2.852	-1.766	0.471	10.621	-2.323	80.0
C01172	beta-D-Glucose_6-phosphate	4.644	2.663	0.573	31.336	4.167	70.0
C00267	alpha-D-Glucose	4.765	-4.406	0.78	48.39	-5.238	90.0
C03294	N-Formylmethionyl-tRNA	-5.044	-2.0	0.0	0.0	0.0	50.0
C00526	Deoxyuridine	-2.874	1.926	0.518	11.131	-2.529	90.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	-5.426	-3.807	0.0	0.0	0.0	50.0
C01613	Stachyose	5.492	4.807	0.875	72.998	5.998	90.0
C00993	D-Alanyl-D-alanine	-4.087	-1.0	0.0	0.0	0.0	50.0
C02702	L-Prolyl-tRNA(Pro)	-5.358	-3.17	0.0	0.0	0.0	50.0
C00129	Isopentenyl_diphosphate	-6.331	-2.585	0.0	0.0	0.0	50.0
C00460	dUTP	4.209	3.585	0.852	30.494	4.699	80.0
C03794	N6-(1,2-Dicarboxyethyl)-AMP	-2.0	1.222	0.583	6.333	-1.885	80.0
C00181	D-Xylose	5.858	4.087	0.698	74.995	5.709	90.0
C00010	CoA	-4.087	2.0	0.235	20.995	-2.305	80.0
C00122	Fumarate	1.469	-3.459	0.252	13.765	-1.793	80.0
C00286	dGTP	-4.951	-5.227	0.0	0.0	0.0	50.0
C04216	all-trans-Heptaprenyl_diphosphate	-4.248	-2.585	0.0	0.0	0.0	50.0
C00283	Hydrogen_sulfide	3.585	1.585	0.442	15.0	2.729	60.0
C00011	CO2	7.565	6.409	0.847	274.339	7.861	90.0
C04352	(R)-4'-Phosphopantothenoyl-L-cysteine	-0.848	-2.585	0.0	0.0	0.0	50.0
C17556	di-trans,poly-cis-Undecaprenyl_phosphate	2.0	-3.17	0.444	13.0	-2.53	90.0
C00294	Inosine	4.087	4.807	0.85	44.988	5.257	80.0
C03892	Phosphatidylglycerophosphate	-4.17	-4.392	0.0	0.0	0.0	50.0
C02412	Glycyl-tRNA(Gly)	-6.392	-3.585	0.0	0.0	0.0	50.0
C00680	meso-2,6-Diaminoheptanedioate	4.918	-1.051	0.069	32.304	-1.147	80.0
C02553	L-Seryl-tRNA(Ser)	-5.807	-3.907	0.0	0.0	0.0	50.0
C00842	dTDP-glucose	2.585	3.0	0.862	14.0	3.593	70.0
C05378	beta-D-Fructose_1,6-bisphosphate	3.672	-4.807	0.455	40.739	-4.213	90.0
C00448	trans,trans-Farnesyl_diphosphate	3.644	2.585	0.709	18.501	3.714	70.0
C04691	2-Dehydro-3-deoxy-D-arabino-heptonate_7-phosphate	-3.907	-2.322	0.0	0.0	0.0	50.0
C03028	Thiamin_triphosphate	-3.585	-3.17	0.0	0.0	0.0	50.0
C04053	5-Dehydro-4-deoxy-D-glucuronate	2.807	5.285	0.531	45.987	4.61	80.0
C00407	L-Isoleucine	2.379	3.322	0.716	15.202	3.445	70.0
C00152	L-Asparagine	1.737	-0.415	0.4	4.667	-0.9	70.0
C00921	Dihydropteroate	3.17	2.807	0.885	15.999	3.824	70.0
C03150	Nicotinamide-beta-riboside	4.087	4.807	0.85	44.988	5.257	80.0
C01921	Glycocholate	3.17	1.0	0.315	11.0	1.795	60.0
C00458	dCTP	-5.327	-4.728	0.0	0.0	0.0	50.0
C00459	dTTP	4.312	3.392	0.787	30.361	4.578	80.0
C03539	S-Ribosyl-L-homocysteine	1.585	-2.0	0.75	7.0	-2.392	80.0
C00199	D-Ribulose_5-phosphate	-4.049	-3.83	0.0	0.0	0.0	50.0
C00019	S-Adenosyl-L-methionine	-4.982	-0.807	0.0	0.0	0.0	50.0
C00217	D-Glutamate	4.392	1.0	0.228	22.995	2.388	60.0
C00214	Thymidine	2.0	-3.273	0.414	13.667	-2.5	90.0
C02554	L-Valyl-tRNA(Val)	-5.524	-2.807	0.0	0.0	0.0	50.0
C00212	Adenosine	4.087	4.807	0.85	44.988	5.257	80.0
C00153	Nicotinamide	-4.459	-4.807	0.0	0.0	0.0	50.0
C00208	Maltose	-3.0	-5.755	0.0	0.0	0.0	50.0
C05840	Iminoaspartate	3.907	1.585	0.406	18.001	2.868	60.0
C00037	Glycine	4.775	3.129	0.655	36.127	4.565	70.0
C11907	4,6-Dideoxy-4-oxo-dTDP-D-glucose	4.807	-3.0	0.286	35.993	-3.363	90.0
C00033	Acetate	4.598	3.087	0.671	32.715	4.457	70.0
C00031	D-Glucose	-3.672	3.644	0.981	25.247	-4.63	90.0
C00137	myo-Inositol	-3.644	-3.585	0.0	0.0	0.0	50.0
C00136	Butanoyl-CoA	-3.807	-5.17	0.0	0.0	0.0	50.0
C00135	L-Histidine	1.222	2.807	0.435	9.331	2.022	60.0
C00134	Putrescine	1.585	-2.807	0.429	9.998	-2.1	80.0
C00133	D-Alanine	4.524	1.585	0.35	26.007	3.188	70.0
C00131	dATP	-2.322	2.7	0.77	11.498	-3.145	90.0
C00130	IMP	1.951	4.087	0.477	20.861	3.316	70.0
C01097	D-Tagatose_6-phosphate	6.943	4.807	0.692	151.035	6.708	90.0
C04851	MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho-undecaprenol	4.0	1.0	0.25	18.0	2.17	60.0
C00299	Uridine	-0.304	0.241	0.957	2.416	-1.21	80.0
C01269	5-O-(1-Carboxyvinyl)-3-phosphoshikimate	-2.7	-1.0	0.0	0.0	0.0	50.0
C04574	di-trans,poly-cis-Undecaprenyl_diphosphate	-4.585	2.322	0.208	29.001	-2.595	90.0
C01762	Xanthosine	4.087	4.807	0.85	44.988	5.257	80.0
C02528	Chenodeoxycholate	-3.17	-1.0	0.0	0.0	0.0	50.0
C00073	L-Methionine	3.661	-0.322	0.099	13.899	-0.458	70.0
C11453	2-C-Methyl-D-erythritol_2,4-cyclodiphosphate	2.982	-1.7	0.411	11.15	-2.197	80.0
C00721	Dextrin	-4.322	-3.0	0.0	0.0	0.0	50.0
C00831	Pantetheine	3.907	2.585	0.662	21.001	3.797	70.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	-1.524	-0.415	0.0	0.0	0.0	50.0
C04882	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine	2.0	-1.0	0.5	6.0	-1.585	80.0
C00041	L-Alanine	4.392	-2.807	0.333	27.994	-3.222	90.0
C00040	Acyl-CoA	4.907	3.503	0.714	41.34	4.883	80.0
C00047	L-Lysine	3.807	2.807	0.737	20.995	3.952	70.0
C00046	RNA	-5.087	-2.7	0.0	0.0	0.0	50.0
C00044	GTP	-5.884	-3.826	0.0	0.0	0.0	50.0
C00204	2-Dehydro-3-deoxy-D-gluconate	4.322	5.304	0.815	59.507	5.6	90.0
C00049	L-Aspartate	3.232	2.907	0.899	16.896	3.926	70.0
C00206	dADP	7.077	2.503	0.354	140.686	5.637	90.0
C01127	4-Hydroxy-2-oxoglutarate	5.0	5.209	0.96	68.988	6.049	90.0
C01528	Hydrogen_selenide	-4.17	-3.544	0.0	0.0	0.0	50.0
