compound_code	compound_name	mollicute_mock_score	lachnospiraceae_mock_score	ratio	magnitude	interaction_score	percentile
C02355	2',3'-Cyclic_UMP	2.807	1.0	0.356	8.998	1.681	80.0
C02354	2',3'-Cyclic_CMP	2.807	1.0	0.356	8.998	1.681	80.0
C00089	Sucrose	5.044	2.0	0.397	36.991	3.875	90.0
C02218	Dehydroalanine	-3.0	-1.585	0.375	11.0	-2.044	70.0
C00673	2-Deoxy-D-ribose_5-phosphate	4.248	-1.0	0.105	21.001	-1.144	50.0
C00160	Glycolate	-2.0	-1.0	0.5	6.0	-1.585	60.0
C00163	Propanoate	3.7	1.0	0.27	14.996	2.019	80.0
C02984	L-Aspartyl-tRNA(Asp)	-3.807	-2.0	0.286	17.997	-2.363	80.0
C02987	L-Glutamyl-tRNA(Glu)	-3.322	-2.0	0.4	14.0	-2.485	80.0
C03263	Coproporphyrinogen_III	3.17	1.0	0.315	11.0	1.795	80.0
C02047	L-Leucyl-tRNA	-3.585	-1.0	0.167	14.0	-1.222	50.0
C00342	Thioredoxin	4.585	1.0	0.218	26.001	2.504	80.0
C00105	UMP	2.405	0.489	0.203	6.7	0.446	70.0
C00103	D-Glucose_1-phosphate	-3.636	2.807	0.563	19.43	-3.451	90.0
C04377	5,10-Methylenetetrahydromethanopterin	-3.807	-1.585	0.214	16.997	-1.865	70.0
C00101	Tetrahydrofolate	-1.215	-1.0	0.862	4.321	-1.897	70.0
C00063	CTP	4.935	2.524	0.511	36.342	4.216	90.0
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	4.342	-1.28	0.12	22.709	-1.443	60.0
C00064	L-Glutamine	-1.939	-1.078	0.551	5.946	-1.711	70.0
C00109	2-Oxobutanoate	1.585	2.322	0.683	8.0	2.449	80.0
C16633	5-Fluorouridine	5.248	1.585	0.302	41.002	3.63	90.0
C00860	L-Histidinol	-2.0	1.0	0.5	6.0	-1.585	60.0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	2.0	0.585	0.292	5.5	0.686	70.0
C02962	D-Allose_6-phosphate	4.644	1.585	0.341	28.003	3.257	90.0
C16634	5-Fluorouridine_monophosphate	-5.248	-1.585	0.079	41.002	-1.695	70.0
C00279	D-Erythrose_4-phosphate	-3.907	-4.512	0.657	37.818	-4.636	90.0
C03175	Shikimate_3-phosphate	-1.0	-0.585	0.75	3.5	-1.392	50.0
C00668	alpha-D-Glucose_6-phosphate	3.491	-3.14	0.784	20.059	-3.975	90.0
C01269	5-O-(1-Carboxyvinyl)-3-phosphoshikimate	-1.0	0.585	0.75	3.5	-1.392	50.0
C00475	Cytidine	-2.11	0.263	0.278	5.517	-0.617	60.0
C12215	Iminoerythrose_4-phosphate	-4.585	-4.7	0.923	49.993	-5.529	90.0
C12214	Aminofructose_6-phosphate	4.585	4.7	0.976	49.993	5.608	90.0
C00988	2-Phosphoglycolate	2.0	1.0	0.5	6.0	1.585	70.0
C00117	D-Ribose_5-phosphate	-0.158	-3.467	0.101	12.174	-0.297	70.0
C00111	Glycerone_phosphate	-2.784	-0.466	0.201	8.269	-0.73	60.0
C00112	CDP	-4.755	-4.087	0.629	43.997	-4.791	90.0
C02353	2',3'-Cyclic_AMP	2.807	1.0	0.356	8.998	1.681	80.0
C00299	Uridine	0.241	0.263	0.916	2.382	1.126	70.0
C01079	Protoporphyrinogen_IX	-3.17	-1.0	0.222	11.0	-1.289	50.0
C11435	4-(Cytidine_5'-diphospho)-2-C-methyl-D-erythritol	-1.0	-0.415	0.667	3.333	-1.152	50.0
C18096	D-Allulose_6-phosphate	-4.644	-1.585	0.12	28.003	-1.748	70.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	3.459	-1.585	0.273	13.997	-1.933	70.0
C00262	Hypoxanthine	-1.766	-1.0	0.588	5.401	-1.667	70.0
C01172	beta-D-Glucose_6-phosphate	2.663	-1.585	0.474	9.334	-2.144	80.0
C00267	alpha-D-Glucose	-4.406	-1.718	0.155	24.49	-1.926	70.0
C03294	N-Formylmethionyl-tRNA	-2.0	-1.585	0.75	7.0	-2.392	80.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	-3.807	1.0	0.143	15.997	-1.193	50.0
C00188	L-Threonine	2.585	-0.893	0.309	7.857	-1.282	50.0
C02702	L-Prolyl-tRNA(Pro)	-3.17	-1.0	0.222	11.0	-1.289	50.0
C00183	L-Valine	2.807	0.041	0.015	8.027	-3.092	90.0
C00010	CoA	2.0	-1.0	0.5	6.0	-1.585	60.0
C00286	dGTP	-5.227	1.087	0.057	39.577	-1.167	50.0
C00124	D-Galactose	-3.585	-2.807	0.583	18.999	-3.47	90.0
C02412	Glycyl-tRNA(Gly)	-3.585	-1.0	0.167	14.0	-1.222	50.0
C02553	L-Seryl-tRNA(Ser)	-3.907	-2.0	0.267	19.001	-2.341	80.0
C05378	beta-D-Fructose_1,6-bisphosphate	-4.807	-0.115	0.039	29.076	-0.17	70.0
C02554	L-Valyl-tRNA(Val)	-2.807	-1.585	0.429	9.998	-2.1	80.0
C00018	Pyridoxal_phosphate	-3.807	-1.0	0.143	15.997	-1.193	50.0
C00458	dCTP	-4.728	1.415	0.101	29.168	-1.553	60.0
C00459	dTTP	3.392	1.874	0.552	14.163	2.968	90.0
C01367	3'-AMP	-2.807	-1.0	0.286	8.998	-1.363	50.0
C00199	D-Ribulose_5-phosphate	-3.83	-1.354	0.18	16.778	-1.592	60.0
C00217	D-Glutamate	1.0	-1.0	1.0	4.0	-2.0	70.0
C01368	3'-UMP	-2.807	-1.0	0.286	8.998	-1.363	50.0
C00037	Glycine	3.129	-0.17	0.129	9.873	-0.345	60.0
C00035	GDP	4.919	-4.087	0.562	47.247	-4.73	90.0
C00031	D-Glucose	3.644	2.459	0.675	18.0	3.602	90.0
C00330	Deoxyguanosine	4.807	-0.585	0.054	29.493	-0.66	60.0
C00135	L-Histidine	2.807	-1.0	0.286	8.998	-1.363	50.0
C00131	dATP	2.7	0.737	0.273	8.165	1.156	70.0
C00130	IMP	4.087	-0.222	0.069	18.161	-0.318	60.0
C11453	2-C-Methyl-D-erythritol_2,4-cyclodiphosphate	-1.7	-0.807	0.538	4.999	-1.429	60.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	-0.415	0.415	1.0	2.667	-1.415	60.0
C00041	L-Alanine	-2.807	0.585	0.214	8.498	-0.865	60.0
C00047	L-Lysine	2.807	0.585	0.208	8.498	0.825	70.0
C00046	RNA	-2.7	2.747	0.968	13.211	-3.677	90.0
C00044	GTP	-3.826	-2.051	0.292	18.326	-2.421	80.0
C00049	L-Aspartate	2.907	0.057	0.02	8.541	-2.578	80.0
C01528	Hydrogen_selenide	-3.544	1.0	0.171	13.664	-1.228	50.0
