compound_code	compound_name	eubacterium_mock_score	clostridium_mock_score	ratio	magnitude	interaction_score	percentile
C14090	1-Naphthaldehyde	-6.687	-2.954	0.0	0.0	0.0	50.0
C00071	Aldehyde	-6.687	-2.459	0.0	0.0	0.0	50.0
C02282	Glutaminyl-tRNA	-3.636	-2.632	0.0	0.0	0.0	50.0
C00074	Phosphoenolpyruvate	-6.981	-4.699	0.0	0.0	0.0	50.0
C00075	UTP	6.969	5.006	0.718	157.412	6.821	90.0
C00333	D-Galacturonate	6.17	7.524	0.82	256.06	7.714	90.0
C00620	alpha-D-Ribose_1-phosphate	6.492	3.954	0.609	105.507	6.006	90.0
C00718	Amylose	-4.285	-2.585	0.0	0.0	0.0	50.0
C00123	L-Leucine	-0.737	1.222	0.714	3.999	-1.515	80.0
C02686	Galactosylceramide	-6.022	-0.585	0.0	0.0	0.0	50.0
C01019	6-Deoxy-L-galactose	4.7	2.322	0.494	30.992	3.937	80.0
C00085	D-Fructose_6-phosphate	7.107	-0.363	0.009	139.14	-0.376	80.0
C00084	Acetaldehyde	3.663	3.229	0.882	22.043	4.28	80.0
C00083	Malonyl-CoA	-3.491	-0.562	0.0	0.0	0.0	50.0
C03373	Aminoimidazole_ribotide	-4.954	-2.807	0.0	0.0	0.0	50.0
C04640	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine	-6.129	2.0	0.057	73.986	-2.08	90.0
C00407	L-Isoleucine	2.379	1.485	0.624	8.001	2.32	70.0
C00089	Sucrose	-5.931	-0.459	0.0	0.0	0.0	50.0
C04646	6-Thioinosine-5'-monophosphate	5.426	2.585	0.476	48.992	4.545	90.0
C00671	(S)-3-Methyl-2-oxopentanoic_acid	2.29	-2.83	0.688	12.001	-3.045	90.0
C00672	2-Deoxy-D-ribose_1-phosphate	-3.585	2.0	0.333	16.0	-2.415	90.0
C00673	2-Deoxy-D-ribose_5-phosphate	-1.585	-1.322	0.0	0.0	0.0	50.0
C02988	L-Histidyl-tRNA(His)	-6.285	-2.807	0.0	0.0	0.0	50.0
C00163	Propanoate	6.476	1.0	0.154	91.016	3.813	80.0
C02984	L-Aspartyl-tRNA(Asp)	-5.672	-1.585	0.0	0.0	0.0	50.0
C02987	L-Glutamyl-tRNA(Glu)	-5.044	-2.0	0.0	0.0	0.0	50.0
C01721	L-Fuculose	-3.0	-2.322	0.0	0.0	0.0	50.0
C00169	Carbamoyl_phosphate	-4.678	-1.354	0.0	0.0	0.0	50.0
C02047	L-Leucyl-tRNA	-5.524	-3.17	0.0	0.0	0.0	50.0
C00106	Uracil	2.888	-0.29	0.165	8.625	-0.511	80.0
C00068	Thiamin_diphosphate	0.479	-0.222	0.837	2.56	-1.099	80.0
C00342	Thioredoxin	3.807	3.406	0.895	24.597	4.46	80.0
C00343	Thioredoxin_disulfide	-3.807	-3.17	0.0	0.0	0.0	50.0
C00103	D-Glucose_1-phosphate	2.481	3.36	0.738	15.85	3.549	80.0
C04377	5,10-Methylenetetrahydromethanopterin	-5.615	-2.0	0.0	0.0	0.0	50.0
C04376	5'-Phosphoribosyl-N-formylglycinamide	6.304	2.0	0.317	83.012	4.719	90.0
C00063	CTP	7.129	4.847	0.68	168.753	6.842	90.0
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	-4.619	-2.585	0.0	0.0	0.0	50.0
C00064	L-Glutamine	-3.033	-0.17	0.0	0.0	0.0	50.0
C00109	2-Oxobutanoate	3.158	0.963	0.305	10.875	1.73	60.0
C16633	5-Fluorouridine	5.044	2.0	0.397	36.991	3.875	80.0
C00860	L-Histidinol	4.17	1.0	0.24	20.001	2.262	70.0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	-1.263	1.322	0.96	4.9	-2.234	90.0
C16634	5-Fluorouridine_monophosphate	-5.044	-2.0	0.0	0.0	0.0	50.0
C03972	2,3,4,5-Tetrahydrodipicolinate	1.105	-0.628	0.718	3.696	-1.409	80.0
C01050	UDP-N-acetylmuramate	-3.793	0.893	0.134	15.718	-1.074	80.0
C00279	D-Erythrose_4-phosphate	-6.779	-0.637	0.0	0.0	0.0	50.0
C01412	Butanal	6.687	4.807	0.719	131.029	6.558	90.0
C00361	dGDP	3.17	1.585	0.5	12.001	2.585	70.0
C00270	N-Acetylneuraminate	1.585	1.0	0.631	5.0	1.657	60.0
C00900	2-Acetolactate	4.129	3.459	0.838	28.493	4.577	90.0
C00668	alpha-D-Glucose_6-phosphate	5.783	4.02	0.695	71.286	5.631	90.0
C03402	L-Asparaginyl-tRNA(Asn)	-3.939	-2.17	0.0	0.0	0.0	50.0
C05399	Melibiitol	6.022	0.585	0.097	66.483	2.691	70.0
C00475	Cytidine	1.189	-0.536	0.636	3.73	-1.246	80.0
C03406	N-(L-Arginino)succinate	-5.322	-4.392	0.0	0.0	0.0	50.0
C12214	Aminofructose_6-phosphate	7.852	1.0	0.127	233.04	4.891	90.0
C00234	10-Formyltetrahydrofolate	-1.338	-4.492	0.0	0.0	0.0	50.0
C00117	D-Ribose_5-phosphate	-6.497	-2.051	0.0	0.0	0.0	50.0
C00116	Glycerol	-6.022	1.7	0.05	68.232	-1.77	90.0
C00111	Glycerone_phosphate	-4.496	2.357	0.227	27.688	-2.652	90.0
C04349	(4S)-4,6-Dihydroxy-2,5-dioxohexanoate	-2.7	-1.0	0.0	0.0	0.0	50.0
C00112	CDP	-5.57	-2.322	0.0	0.0	0.0	50.0
C00354	D-Fructose_1,6-bisphosphate	-4.605	0.181	0.047	25.469	-0.247	70.0
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	-3.234	-1.237	0.0	0.0	0.0	50.0
C00118	D-Glyceraldehyde_3-phosphate	7.282	6.589	0.905	251.902	7.832	90.0
C00327	L-Citrulline	5.248	4.392	0.837	58.997	5.626	90.0
C00242	Guanine	-2.907	-0.485	0.0	0.0	0.0	50.0
C00231	D-Xylulose_5-phosphate	-5.718	0.3	0.023	53.868	-0.333	80.0
C00857	Deamino-NAD+	2.807	3.17	0.885	15.999	3.824	80.0
C04419	Carboxybiotin-carboxyl-carrier_protein	2.459	0.585	0.238	6.998	0.735	60.0
C00269	CDP-diacylglycerol	-5.7	0.485	0.027	53.384	-0.523	80.0
C16219	3-Oxostearoyl-[acp]	4.322	1.0	0.231	22.001	2.348	70.0
C05756	3-Oxododecanoyl-[acp]	4.322	1.0	0.231	22.001	2.348	70.0
C05757	(R)-3-Hydroxydodecanoyl-[acp]	-4.524	-1.0	0.0	0.0	0.0	50.0
C00262	Hypoxanthine	2.852	0.174	0.061	8.348	-0.973	80.0
C16217	3-Hydroxyoctadecanoyl-CoA	-5.585	-1.0	0.0	0.0	0.0	50.0
C16216	3-Oxostearoyl-CoA	5.585	1.0	0.179	50.001	3.162	80.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	-5.426	-1.322	0.0	0.0	0.0	50.0
C01613	Stachyose	5.492	0.415	0.076	46.338	1.808	60.0
C00206	dADP	7.077	0.848	0.12	136.817	4.035	80.0
C06006	(S)-2-Aceto-2-hydroxybutanoate	4.129	3.459	0.838	28.493	4.577	90.0
C00460	dUTP	4.209	4.358	0.966	39.001	5.235	90.0
C02909	(2-Naphthyl)methanol	6.687	2.954	0.442	110.785	5.613	90.0
C00159	D-Mannose	-5.874	-0.585	0.0	0.0	0.0	50.0
C00286	dGTP	-4.951	-3.115	0.0	0.0	0.0	50.0
C00124	D-Galactose	-4.363	3.195	0.445	29.735	-3.726	90.0
C00011	CO2	7.565	6.808	0.9	301.412	8.083	90.0
C00129	Isopentenyl_diphosphate	-6.331	-3.524	0.0	0.0	0.0	50.0
C00288	HCO3-	-5.443	0.585	0.034	45.002	-0.634	80.0
C03892	Phosphatidylglycerophosphate	-4.17	-1.0	0.0	0.0	0.0	50.0
C00681	1-Acyl-sn-glycerol_3-phosphate	2.28	-0.515	0.294	6.286	-0.887	80.0
C00680	meso-2,6-Diaminoheptanedioate	4.918	0.568	0.115	31.714	1.873	70.0
C12215	Iminoerythrose_4-phosphate	-7.852	-1.0	0.0	0.0	0.0	50.0
C02553	L-Seryl-tRNA(Ser)	-5.807	-3.7	0.0	0.0	0.0	50.0
C05378	beta-D-Fructose_1,6-bisphosphate	3.672	-2.515	0.448	18.462	-3.05	90.0
C05759	3-Oxotetradecanoyl-[acp]	4.322	1.0	0.231	22.001	2.348	70.0
C01563	Carbamate	-3.322	-1.585	0.0	0.0	0.0	50.0
C04053	5-Dehydro-4-deoxy-D-glucuronate	2.807	1.585	0.565	9.998	2.497	70.0
C03785	D-Tagatose_1,6-bisphosphate	-6.943	-3.0	0.0	0.0	0.0	50.0
C16220	3-Hydroxyoctadecanoyl-[acp]	-4.524	-1.0	0.0	0.0	0.0	50.0
C05746	3-Oxohexanoyl-[acp]	4.322	1.0	0.231	22.001	2.348	70.0
C05744	Acetoacetyl-[acp]	3.966	0.678	0.171	17.227	1.558	60.0
C03150	Nicotinamide-beta-riboside	4.087	0.585	0.143	18.495	1.404	60.0
C00458	dCTP	-5.327	-3.97	0.0	0.0	0.0	50.0
C00459	dTTP	4.312	1.322	0.307	22.363	2.777	80.0
C06055	O-Phospho-4-hydroxy-L-threonine	-5.943	-0.737	0.0	0.0	0.0	50.0
C00199	D-Ribulose_5-phosphate	-4.049	0.617	0.093	18.086	-0.745	80.0
C00052	UDP-alpha-D-galactose	2.147	-2.322	0.886	9.429	-3.062	90.0
C00217	D-Glutamate	4.392	1.0	0.228	22.995	2.388	70.0
C00197	3-Phospho-D-glycerate	6.311	4.491	0.712	101.883	6.18	90.0
C00212	Adenosine	4.087	0.322	0.079	18.245	0.523	60.0
C00036	Oxaloacetate	6.503	3.341	0.514	100.831	5.695	90.0
C00037	Glycine	4.775	0.817	0.171	29.141	2.318	70.0
C00035	GDP	-4.358	-2.415	0.0	0.0	0.0	50.0
C00033	Acetate	4.598	1.441	0.313	26.933	3.077	80.0
C16618	6-Thioxanthine_5'-monophosphate	-5.322	-2.585	0.0	0.0	0.0	50.0
C00137	myo-Inositol	-3.644	-0.585	0.0	0.0	0.0	50.0
C00136	Butanoyl-CoA	-3.807	-4.807	0.0	0.0	0.0	50.0
C00135	L-Histidine	1.222	1.0	0.818	4.333	1.826	60.0
C00131	dATP	-2.322	-1.926	0.0	0.0	0.0	50.0
C00130	IMP	1.951	1.437	0.737	6.574	2.276	70.0
C01097	D-Tagatose_6-phosphate	6.943	3.0	0.432	131.041	5.823	90.0
C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier_protein]	-4.524	-1.0	0.0	0.0	0.0	50.0
C00299	Uridine	-0.304	-0.628	0.0	0.0	0.0	50.0
C06010	(S)-2-Acetolactate	3.209	2.585	0.806	15.247	3.619	80.0
C04574	di-trans,poly-cis-Undecaprenyl_diphosphate	-4.585	-1.0	0.0	0.0	0.0	50.0
C00446	alpha-D-Galactose_1-phosphate	-3.036	-2.322	0.0	0.0	0.0	50.0
C01762	Xanthosine	4.087	0.585	0.143	18.495	1.404	60.0
C00631	2-Phospho-D-glycerate	0.249	0.202	0.811	2.339	0.924	60.0
C00441	L-Aspartate_4-semialdehyde	3.852	3.222	0.836	23.771	4.313	80.0
C06113	L-Aspartyl-tRNA(Asn)	-4.768	-1.0	0.0	0.0	0.0	50.0
C00526	Deoxyuridine	-2.874	0.415	0.182	8.664	-0.656	80.0
C00448	trans,trans-Farnesyl_diphosphate	3.644	0.415	0.114	13.835	0.656	60.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	-1.524	-1.0	0.0	0.0	0.0	50.0
C05747	(R)-3-Hydroxyhexanoyl-[acp]	-4.524	-1.0	0.0	0.0	0.0	50.0
C00041	L-Alanine	4.392	1.907	0.434	24.746	3.426	80.0
C00040	Acyl-CoA	4.907	0.363	0.074	31.288	1.211	60.0
C00047	L-Lysine	3.807	1.807	0.475	17.496	3.054	80.0
C00046	RNA	-5.087	-4.104	0.0	0.0	0.0	50.0
C00044	GTP	-5.884	-4.131	0.0	0.0	0.0	50.0
C05335	L-Selenomethionine	3.0	2.322	0.774	13.0	3.331	80.0
C00204	2-Dehydro-3-deoxy-D-gluconate	4.322	-4.059	0.833	36.669	-4.933	90.0
C00049	L-Aspartate	3.232	1.871	0.579	13.054	2.918	80.0
C00048	Glyoxylate	3.954	1.773	0.448	18.916	3.084	80.0
