compound_code	compound_name	lactobacillus_mock_score	mollicute_mock_score	ratio	magnitude	interaction_score	percentile
C05892	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine	3.585	1.585	0.442	15.0	2.729	60.0
C00078	L-Tryptophan	3.459	2.585	0.747	16.997	3.667	70.0
C00079	L-Phenylalanine	2.883	2.807	0.974	14.375	3.807	70.0
C00993	D-Alanyl-D-alanine	-8.214	-1.0	0.0	0.0	0.0	50.0
C14090	1-Naphthaldehyde	-7.639	-5.17	0.0	0.0	0.0	50.0
C00071	Aldehyde	-6.907	-5.17	0.0	0.0	0.0	50.0
C00074	Phosphoenolpyruvate	-8.696	-3.874	0.0	0.0	0.0	50.0
C00075	UTP	3.126	4.061	0.77	25.421	4.29	70.0
C06196	2'-Deoxyinosine_5'-phosphate	-6.209	-3.459	0.0	0.0	0.0	50.0
C00979	O-Acetyl-L-serine	6.78	-3.15	0.081	118.773	-3.262	80.0
C00123	L-Leucine	-1.222	3.585	0.194	14.333	-1.478	70.0
C03512	L-Tryptophanyl-tRNA(Trp)	-3.459	-2.585	0.0	0.0	0.0	50.0
C04242	5-Fluorodeoxyuridine_monophosphate	-3.17	-2.0	0.0	0.0	0.0	50.0
C00085	D-Fructose_6-phosphate	-3.471	3.773	0.811	24.759	-4.328	90.0
C00242	Guanine	-4.353	-2.322	0.0	0.0	0.0	50.0
C00245	Taurine	-6.907	-1.0	0.0	0.0	0.0	50.0
C00082	L-Tyrosine	1.766	3.585	0.493	15.401	2.924	60.0
C00081	ITP	5.0	3.459	0.692	42.997	4.895	80.0
C03785	D-Tagatose_1,6-bisphosphate	-7.706	-4.807	0.0	0.0	0.0	50.0
C00407	L-Isoleucine	-2.202	3.322	0.46	14.602	-2.748	80.0
C00089	Sucrose	-6.683	5.044	0.321	135.741	-5.446	90.0
C00183	L-Valine	-1.585	2.807	0.429	9.998	-2.1	70.0
C02218	Dehydroalanine	-3.907	-3.0	0.0	0.0	0.0	50.0
C01921	Glycocholate	6.907	1.0	0.145	122.009	4.143	70.0
C00673	2-Deoxy-D-ribose_5-phosphate	4.426	4.248	0.96	40.497	5.281	80.0
C00160	Glycolate	-4.74	-2.0	0.0	0.0	0.0	50.0
C00163	Propanoate	6.615	3.7	0.559	111.016	5.956	90.0
C02984	L-Aspartyl-tRNA(Asp)	-4.459	-3.807	0.0	0.0	0.0	50.0
C00124	D-Galactose	-6.262	-3.585	0.0	0.0	0.0	50.0
C02987	L-Glutamyl-tRNA(Glu)	-4.322	-3.322	0.0	0.0	0.0	50.0
C02047	L-Leucyl-tRNA	-4.755	-3.585	0.0	0.0	0.0	50.0
C00106	Uracil	-4.878	0.363	0.044	30.691	-0.425	70.0
C00342	Thioredoxin	-5.532	4.585	0.519	70.27	-5.188	90.0
C00105	UMP	0.593	2.405	0.247	6.805	0.747	60.0
C03082	4-Phospho-L-aspartate	5.44	2.536	0.466	49.211	4.52	80.0
C00103	D-Glucose_1-phosphate	6.54	-3.636	0.134	105.486	-3.817	90.0
C04377	5,10-Methylenetetrahydromethanopterin	-5.087	-3.807	0.0	0.0	0.0	50.0
C00101	Tetrahydrofolate	1.485	-1.215	0.829	5.121	-2.086	70.0
C00063	CTP	5.654	4.935	0.873	80.943	6.143	90.0
C05689	Se-Methyl-L-selenocysteine	4.17	3.459	0.829	28.998	4.588	80.0
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	3.147	4.342	0.725	29.138	4.4	80.0
C00064	L-Glutamine	-2.58	-1.939	0.0	0.0	0.0	50.0
C00109	2-Oxobutanoate	8.294	1.585	0.191	316.865	5.92	80.0
C16633	5-Fluorouridine	2.585	5.248	0.493	44.002	4.438	80.0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	3.781	2.0	0.529	17.747	3.231	70.0
C00864	Pantothenate	4.087	2.585	0.632	22.995	3.862	70.0
C16634	5-Fluorouridine_monophosphate	-2.585	-5.248	0.0	0.0	0.0	50.0
C05466	Glycochenodeoxycholate	6.907	1.0	0.145	122.009	4.143	70.0
C04079	N-((R)-Pantothenoyl)-L-cysteine	4.087	2.585	0.632	22.995	3.862	70.0
C03028	Thiamin_triphosphate	-5.129	-3.17	0.0	0.0	0.0	50.0
C00700	XTP	6.209	3.459	0.557	84.973	5.565	80.0
C05684	Selenite	6.966	3.7	0.531	138.015	6.196	90.0
C00279	D-Erythrose_4-phosphate	11.531	-3.907	0.005	2974.219	-3.914	90.0
C01412	Butanal	6.216	5.17	0.832	110.338	6.52	90.0
C00361	dGDP	7.793	4.891	0.628	251.454	7.302	90.0
C02686	Galactosylceramide	-6.066	-3.585	0.0	0.0	0.0	50.0
C00159	D-Mannose	9.289	-3.585	0.019	637.558	-3.612	80.0
C00668	alpha-D-Glucose_6-phosphate	-6.343	3.491	0.139	92.42	-3.678	90.0
C03402	L-Asparaginyl-tRNA(Asn)	-4.222	-2.322	0.0	0.0	0.0	50.0
C02992	L-Threonyl-tRNA(Thr)	-3.907	-2.585	0.0	0.0	0.0	50.0
C00234	10-Formyltetrahydrofolate	-1.565	-0.757	0.0	0.0	0.0	50.0
C00117	D-Ribose_5-phosphate	5.661	-0.158	0.022	51.713	-0.189	70.0
C00116	Glycerol	-3.719	-2.459	0.0	0.0	0.0	50.0
C00111	Glycerone_phosphate	7.797	-2.784	0.031	229.286	-2.828	80.0
C00112	CDP	-1.503	-4.755	0.0	0.0	0.0	50.0
C14089	1-Hydroxymethylnaphthalene	7.639	5.17	0.677	235.33	7.315	90.0
C00118	D-Glyceraldehyde_3-phosphate	-9.982	2.4	0.005	1016.581	-2.408	80.0
C02909	(2-Naphthyl)methanol	7.639	5.17	0.677	235.33	7.315	90.0
C00692	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	4.322	1.0	0.231	22.001	2.348	60.0
C03492	D-4'-Phosphopantothenate	-2.0	-2.585	0.0	0.0	0.0	50.0
C00695	Cholic_acid	-6.907	-1.0	0.0	0.0	0.0	50.0
C11435	4-(Cytidine_5'-diphospho)-2-C-methyl-D-erythritol	2.0	-1.0	0.5	6.0	-1.585	70.0
C00235	Dimethylallyl_diphosphate	-1.571	2.585	0.495	8.971	-2.151	80.0
C09332	Tetrahydrofolyl-[Glu](2)	-3.17	-2.807	0.0	0.0	0.0	50.0
C00269	CDP-diacylglycerol	-2.459	2.293	0.891	10.399	-3.212	80.0
C05898	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	-3.807	-1.585	0.0	0.0	0.0	50.0
C00441	L-Aspartate_4-semialdehyde	3.611	-3.55	0.959	23.931	-4.52	90.0
C05893	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine	-3.807	-1.585	0.0	0.0	0.0	50.0
C00262	Hypoxanthine	-4.239	-1.766	0.0	0.0	0.0	50.0
C01172	beta-D-Glucose_6-phosphate	-4.737	2.663	0.238	33.001	-2.97	80.0
C00267	alpha-D-Glucose	4.556	-4.406	0.901	44.723	-5.333	90.0
C03294	N-Formylmethionyl-tRNA	-4.459	-2.0	0.0	0.0	0.0	50.0
C00526	Deoxyuridine	5.91	1.926	0.326	63.929	4.381	70.0
C04432	tRNA_containing_6-isopentenyladenosine	-2.585	-3.459	0.0	0.0	0.0	50.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	4.0	-3.807	0.875	29.997	-4.714	90.0
C01613	Stachyose	6.19	4.807	0.777	101.002	6.293	90.0
C00188	L-Threonine	-3.361	2.585	0.584	16.275	-3.249	80.0
C02702	L-Prolyl-tRNA(Pro)	-5.0	-3.17	0.0	0.0	0.0	50.0
C00129	Isopentenyl_diphosphate	-1.72	-2.585	0.0	0.0	0.0	50.0
C00460	dUTP	5.113	3.585	0.701	46.608	5.03	80.0
C03794	N6-(1,2-Dicarboxyethyl)-AMP	-1.0	1.222	0.857	4.333	-1.893	70.0
C00010	CoA	4.841	2.0	0.413	32.661	3.754	70.0
C00122	Fumarate	-2.852	-3.459	0.0	0.0	0.0	50.0
C00286	dGTP	-7.812	-5.227	0.0	0.0	0.0	50.0
C04216	all-trans-Heptaprenyl_diphosphate	-5.087	-2.585	0.0	0.0	0.0	50.0
C00283	Hydrogen_sulfide	7.14	1.585	0.222	144.044	4.999	80.0
C00011	CO2	3.392	6.409	0.529	95.475	5.659	80.0
C04352	(R)-4'-Phosphopantothenoyl-L-cysteine	-1.0	-2.585	0.0	0.0	0.0	50.0
C05897	Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	1.585	1.0	0.631	5.0	1.657	60.0
C17556	di-trans,poly-cis-Undecaprenyl_phosphate	2.585	-3.17	0.667	15.001	-3.322	80.0
C00294	Inosine	5.146	4.807	0.934	63.401	5.888	80.0
C03892	Phosphatidylglycerophosphate	-3.585	-4.392	0.0	0.0	0.0	50.0
C02412	Glycyl-tRNA(Gly)	-3.17	-3.585	0.0	0.0	0.0	50.0
C00680	meso-2,6-Diaminoheptanedioate	1.485	-1.051	0.74	4.871	-1.85	70.0
C02553	L-Seryl-tRNA(Ser)	-6.615	-3.907	0.0	0.0	0.0	50.0
C00842	dTDP-glucose	-1.585	3.0	0.375	11.0	-2.044	70.0
C05378	beta-D-Fructose_1,6-bisphosphate	10.843	-4.807	0.015	1864.82	-4.829	90.0
C00448	trans,trans-Farnesyl_diphosphate	2.807	2.585	0.921	12.998	3.581	70.0
C02554	L-Valyl-tRNA(Val)	-4.524	-2.807	0.0	0.0	0.0	50.0
C04051	5-Amino-4-imidazolecarboxyamide	-5.7	-3.807	0.0	0.0	0.0	50.0
C00921	Dihydropteroate	3.17	2.807	0.885	15.999	3.824	70.0
C05465	Taurochenodeoxycholate	6.907	1.0	0.145	122.009	4.143	70.0
C00672	2-Deoxy-D-ribose_1-phosphate	-4.17	-2.0	0.0	0.0	0.0	50.0
C00458	dCTP	-6.758	-4.728	0.0	0.0	0.0	50.0
C04895	7,8-Dihydroneopterin_3'-triphosphate	1.874	-1.585	0.818	6.666	-2.448	80.0
C03539	S-Ribosyl-L-homocysteine	5.585	-2.0	0.083	52.001	-2.115	80.0
C00199	D-Ribulose_5-phosphate	-5.339	-3.83	0.0	0.0	0.0	50.0
C00019	S-Adenosyl-L-methionine	-1.0	-0.807	0.0	0.0	0.0	50.0
C00217	D-Glutamate	-0.737	1.0	0.833	3.667	-1.611	70.0
C00214	Thymidine	-6.267	-3.273	0.0	0.0	0.0	50.0
C00212	Adenosine	4.728	4.807	0.984	54.495	5.744	80.0
C00153	Nicotinamide	-5.073	-4.807	0.0	0.0	0.0	50.0
C00208	Maltose	6.022	-5.755	0.831	118.988	-6.628	90.0
C05841	Nicotinate_D-ribonucleoside	5.585	4.807	0.861	75.994	6.031	90.0
C00035	GDP	-6.066	4.919	0.452	97.249	-5.457	90.0
C00033	Acetate	7.121	3.087	0.434	147.696	6.001	90.0
C00031	D-Glucose	4.102	3.644	0.888	29.673	4.72	80.0
C00137	myo-Inositol	-4.788	-3.585	0.0	0.0	0.0	50.0
C00136	Butanoyl-CoA	-7.5	-5.17	0.0	0.0	0.0	50.0
C00135	L-Histidine	2.17	2.807	0.773	11.499	3.152	70.0
C00134	Putrescine	-3.17	-2.807	0.0	0.0	0.0	50.0
C00133	D-Alanine	7.647	1.585	0.207	203.436	5.398	80.0
C00131	dATP	6.046	2.7	0.447	72.572	5.018	80.0
C00130	IMP	-4.15	4.087	0.957	34.748	-5.056	90.0
C01097	D-Tagatose_6-phosphate	8.275	4.807	0.581	337.752	7.616	90.0
C04851	MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho-undecaprenol	1.585	1.0	0.631	5.0	1.657	60.0
C00299	Uridine	4.315	0.241	0.056	21.086	0.236	60.0
C04574	di-trans,poly-cis-Undecaprenyl_diphosphate	0.585	2.322	0.252	6.5	0.712	60.0
C01762	Xanthosine	5.387	4.807	0.892	69.839	5.962	90.0
C02528	Chenodeoxycholate	-6.907	-1.0	0.0	0.0	0.0	50.0
C00073	L-Methionine	-2.087	-0.322	0.0	0.0	0.0	50.0
C03150	Nicotinamide-beta-riboside	5.073	4.807	0.948	61.654	5.868	80.0
C00831	Pantetheine	4.087	2.585	0.632	22.995	3.862	70.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	1.087	-0.415	0.628	3.458	-1.118	70.0
C00041	L-Alanine	4.17	-2.807	0.389	24.999	-3.281	80.0
C00040	Acyl-CoA	3.478	3.503	0.993	22.48	4.48	80.0
C00047	L-Lysine	-3.392	2.807	0.667	17.496	-3.544	80.0
C00046	RNA	-4.694	-2.7	0.0	0.0	0.0	50.0
C00044	GTP	-5.31	-3.826	0.0	0.0	0.0	50.0
C00049	L-Aspartate	1.69	2.907	0.581	10.727	2.641	60.0
C00206	dADP	-6.353	2.503	0.069	87.41	-2.6	80.0
