compound_code	compound_name	clostridium_mock_score	butyrivibrio_mock_score	ratio	magnitude	interaction_score	percentile
C03539	S-Ribosyl-L-homocysteine	1.0	5.524	0.181	48.014	3.12	70.0
C00655	Xanthosine_5'-phosphate	-1.524	-7.212	0.0	0.0	0.0	50.0
C16396	2,4-Diamino-6-nitrotoluene	4.644	7.366	0.63	189.966	6.904	90.0
C05759	3-Oxotetradecanoyl-[acp]	1.0	-2.322	0.4	7.0	-1.485	80.0
C16399	2,4-Diamino-6-hydroxylaminotoluene	-4.644	-7.366	0.0	0.0	0.0	50.0
C03127	L-Isoleucyl-tRNA(Ile)	-3.322	-8.17	0.0	0.0	0.0	50.0
C16217	3-Hydroxyoctadecanoyl-CoA	-1.0	-8.679	0.0	0.0	0.0	50.0
C20373	3-Hydroxyglutaryl-[acp]_methyl_ester	-1.0	-6.977	0.0	0.0	0.0	50.0
C20372	3-Ketoglutaryl-[acp]_methyl_ester	1.0	-2.322	0.4	7.0	-1.485	80.0
C00364	dTMP	-2.874	-4.787	0.0	0.0	0.0	50.0
C00365	dUMP	-3.567	-6.949	0.0	0.0	0.0	50.0
C20377	3-Hydroxypimeloyl-[acp]_methyl_ester	-1.0	-6.977	0.0	0.0	0.0	50.0
C20376	3-Ketopimeloyl-[acp]_methyl_ester	1.0	-2.322	0.4	7.0	-1.485	80.0
C00008	ADP	-1.415	7.258	0.017	155.732	-1.44	80.0
C00058	Formate	2.624	9.999	0.262	1029.455	8.078	90.0
C00003	NAD+	-2.663	-6.163	0.0	0.0	0.0	50.0
C00002	ATP	4.465	8.749	0.51	452.326	7.851	90.0
C00369	Starch	2.402	4.763	0.504	32.438	4.032	70.0
C05401	3-beta-D-Galactosyl-sn-glycerol	0.585	8.028	0.073	262.517	4.258	70.0
C01127	4-Hydroxy-2-oxoglutarate	3.907	9.937	0.393	995.247	8.612	90.0
C16618	6-Thioxanthine_5'-monophosphate	-2.585	-7.877	0.0	0.0	0.0	50.0
C05336	Selenomethionyl-tRNA(Met)	-2.322	-8.155	0.0	0.0	0.0	50.0
C05404	D-Gal_alpha_1->6D-Gal_alpha_1->6D-Glucose	0.585	6.459	0.091	89.474	3.019	70.0
C00259	L-Arabinose	3.17	-8.098	0.033	282.994	-3.217	90.0
C11376	SN38_glucuronide	1.0	4.392	0.228	22.995	2.388	60.0
C00645	N-Acetyl-D-mannosamine	-1.0	-5.895	0.0	0.0	0.0	50.0
C00037	Glycine	0.817	8.083	0.101	272.922	4.786	80.0
C01083	alpha,alpha-Trehalose	-1.585	-8.873	0.0	0.0	0.0	50.0
C00559	Deoxyadenosine	-0.322	4.723	0.047	27.66	-0.389	70.0
C00558	D-Tagaturonate	-7.524	-8.061	0.0	0.0	0.0	50.0
C00492	Raffinose	-0.222	-4.907	0.0	0.0	0.0	50.0
C00330	Deoxyguanosine	0.585	5.923	0.099	62.174	2.618	60.0
C00886	L-Alanyl-tRNA	-3.585	-8.551	0.0	0.0	0.0	50.0
C00092	D-Glucose_6-phosphate	-3.075	-9.622	0.0	0.0	0.0	50.0
C00093	sn-Glycerol_3-phosphate	-1.525	-7.965	0.0	0.0	0.0	50.0
C00498	ADP-glucose	-3.157	-11.558	0.0	0.0	0.0	50.0
C00095	D-Fructose	-0.193	7.353	0.007	164.626	-0.203	70.0
C11173	SN-38	-1.0	-4.392	0.0	0.0	0.0	50.0
C00097	L-Cysteine	1.474	6.061	0.243	69.542	4.08	70.0
C00078	L-Tryptophan	1.0	5.624	0.178	51.317	3.19	70.0
C00079	L-Phenylalanine	0.348	3.469	0.1	12.346	0.309	60.0
C00073	L-Methionine	2.322	8.214	0.283	301.935	6.415	90.0
C00718	Amylose	-2.585	-8.51	0.0	0.0	0.0	50.0
C02282	Glutaminyl-tRNA	-2.632	-8.521	0.0	0.0	0.0	50.0
C00074	Phosphoenolpyruvate	-4.699	-10.818	0.0	0.0	0.0	50.0
C00075	UTP	5.006	9.406	0.532	710.537	8.563	90.0
C00333	D-Galacturonate	7.524	9.638	0.781	980.815	9.581	90.0
C00620	alpha-D-Ribose_1-phosphate	3.954	9.72	0.407	858.855	8.449	90.0
C03114	Dimethylbenzimidazole	5.728	4.392	0.767	73.998	5.826	80.0
C00123	L-Leucine	1.222	-4.79	0.084	29.998	-1.339	80.0
C03512	L-Tryptophanyl-tRNA(Trp)	-1.0	-8.2	0.0	0.0	0.0	50.0
C01019	6-Deoxy-L-galactose	2.322	5.544	0.419	51.657	4.435	80.0
C00085	D-Fructose_6-phosphate	-0.363	10.541	0.001	1491.186	-0.364	70.0
C00242	Guanine	-0.485	-2.624	0.0	0.0	0.0	50.0
C00083	Malonyl-CoA	-0.562	5.723	0.028	54.296	-0.602	80.0
C00231	D-Xylulose_5-phosphate	0.3	-9.179	0.002	580.866	-0.303	70.0
C03373	Aminoimidazole_ribotide	-2.807	-8.308	0.0	0.0	0.0	50.0
C04640	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine	2.0	-4.585	0.167	28.001	-2.222	90.0
C04778	N1-(5-Phospho-alpha-D-ribosyl)-5,6-dimethylbenzimidazole	-5.157	-4.392	0.0	0.0	0.0	50.0
C00407	L-Isoleucine	1.485	-6.282	0.036	80.615	-1.536	90.0
C00089	Sucrose	-0.459	-7.443	0.0	0.0	0.0	50.0
C04646	6-Thioinosine-5'-monophosphate	2.585	8.185	0.316	297.025	6.552	90.0
C00671	(S)-3-Methyl-2-oxopentanoic_acid	-2.83	7.446	0.041	181.48	-2.888	90.0
C00672	2-Deoxy-D-ribose_1-phosphate	2.0	8.195	0.244	297.049	6.18	80.0
C00673	2-Deoxy-D-ribose_5-phosphate	-1.322	-3.807	0.0	0.0	0.0	50.0
C02988	L-Histidyl-tRNA(His)	-2.807	-7.615	0.0	0.0	0.0	50.0
C00163	Propanoate	1.0	9.101	0.11	551.129	5.92	80.0
C02984	L-Aspartyl-tRNA(Asp)	-1.585	-7.852	0.0	0.0	0.0	50.0
C02987	L-Glutamyl-tRNA(Glu)	-2.0	-8.103	0.0	0.0	0.0	50.0
C06508	Adenosyl_cobinamide	4.392	-6.95	0.17	144.635	-4.618	90.0
C06112	L-Glutamyl-tRNA(Gln)	-1.322	-7.136	0.0	0.0	0.0	50.0
C02047	L-Leucyl-tRNA	-3.17	-9.0	0.0	0.0	0.0	50.0
C00106	Uracil	-0.29	6.373	0.015	84.105	-0.311	70.0
C00068	Thiamin_diphosphate	-0.222	4.777	0.043	28.583	-0.282	70.0
C00342	Thioredoxin	3.406	9.0	0.378	522.6	7.628	90.0
C00343	Thioredoxin_disulfide	-3.17	-9.0	0.0	0.0	0.0	50.0
C03082	4-Phospho-L-aspartate	2.07	6.8	0.304	115.629	5.137	80.0
C20251	1-Keto-D-chiro-inositol	1.0	-3.7	0.154	14.996	-1.207	80.0
C04377	5,10-Methylenetetrahydromethanopterin	-2.0	-8.852	0.0	0.0	0.0	50.0
C04376	5'-Phosphoribosyl-N-formylglycinamide	2.0	6.34	0.315	85.008	4.745	80.0
C00063	CTP	4.847	9.067	0.535	565.119	8.239	90.0
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	-2.585	-5.964	0.0	0.0	0.0	50.0
C00064	L-Glutamine	-0.17	-7.294	0.0	0.0	0.0	50.0
C00108	Anthranilate	2.07	4.746	0.436	31.033	3.759	70.0
C00109	2-Oxobutanoate	0.963	10.04	0.096	1054.738	6.661	90.0
C00861	L-Rhamnulose	-1.585	-6.066	0.0	0.0	0.0	50.0
C00860	L-Histidinol	1.0	6.17	0.162	74.004	3.584	70.0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	1.322	3.963	0.334	18.095	2.594	60.0
C16634	5-Fluorouridine_monophosphate	-2.0	-8.464	0.0	0.0	0.0	50.0
C03972	2,3,4,5-Tetrahydrodipicolinate	-0.628	-2.972	0.0	0.0	0.0	50.0
C01050	UDP-N-acetylmuramate	0.893	-4.994	0.058	33.724	-0.975	80.0
C00279	D-Erythrose_4-phosphate	-0.637	-9.739	0.0	0.0	0.0	50.0
C01412	Butanal	4.807	4.858	0.99	56.993	5.817	80.0
C00361	dGDP	1.585	6.786	0.234	113.354	4.727	80.0
C00270	N-Acetylneuraminate	1.0	7.786	0.128	222.709	4.838	80.0
C00900	2-Acetolactate	3.459	9.809	0.353	908.019	8.323	90.0
C02686	Galactosylceramide	-0.585	-7.468	0.0	0.0	0.0	50.0
C00668	alpha-D-Glucose_6-phosphate	4.02	8.772	0.458	453.378	7.699	90.0
C03402	L-Asparaginyl-tRNA(Asn)	-2.17	-8.084	0.0	0.0	0.0	50.0
C00253	Nicotinate	-1.17	-7.583	0.0	0.0	0.0	50.0
C00475	Cytidine	-0.536	5.0	0.045	33.45	-0.6	80.0
C03406	N-(L-Arginino)succinate	-4.392	-8.618	0.0	0.0	0.0	50.0
C12214	Aminofructose_6-phosphate	1.0	11.438	0.087	2776.477	7.923	90.0
C00234	10-Formyltetrahydrofolate	-4.492	6.413	0.264	107.715	-4.83	90.0
C05512	Deoxyinosine	0.322	6.798	0.047	112.526	2.414	60.0
C06509	Adenosyl_cobinamide_phosphate	2.939	-4.459	0.349	29.662	-3.371	90.0
C00117	D-Ribose_5-phosphate	-2.051	-10.034	0.0	0.0	0.0	50.0
C00116	Glycerol	1.7	7.061	0.241	136.777	5.041	80.0
C00111	Glycerone_phosphate	2.357	-6.386	0.061	88.756	-2.443	90.0
C04349	(4S)-4,6-Dihydroxy-2,5-dioxohexanoate	-1.0	-8.642	0.0	0.0	0.0	50.0
C05697	Selenate	2.585	5.17	0.5	42.002	4.392	80.0
C00112	CDP	-2.322	-7.547	0.0	0.0	0.0	50.0
C05787	Bilirubin_beta-diglucuronide	1.0	4.392	0.228	22.995	2.388	60.0
C00354	D-Fructose_1,6-bisphosphate	0.181	-8.26	0.004	307.688	-0.186	70.0
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	-1.237	-7.049	0.0	0.0	0.0	50.0
C00118	D-Glyceraldehyde_3-phosphate	6.589	5.968	0.906	158.865	7.169	90.0
C00288	HCO3-	0.585	7.371	0.079	167.036	3.729	70.0
C00691	2,4,6/3,5-Pentahydroxycyclohexanone	-0.363	-2.322	0.0	0.0	0.0	50.0
C05399	Melibiitol	0.585	8.028	0.073	262.517	4.258	70.0
C00857	Deamino-NAD+	3.17	-6.56	0.095	103.354	-3.301	90.0
C12632	Luteolin_7-O-[beta-D-glucuronosyl-(1->2)-beta-D-glucuronide]	-1.0	-4.392	0.0	0.0	0.0	50.0
C04419	Carboxybiotin-carboxyl-carrier_protein	0.585	7.96	0.073	250.5	4.202	70.0
C00269	CDP-diacylglycerol	0.485	4.902	0.099	31.298	1.631	60.0
C00501	CDP-glucose	-1.0	-5.524	0.0	0.0	0.0	50.0
C16219	3-Oxostearoyl-[acp]	1.0	-2.322	0.4	7.0	-1.485	80.0
C00507	L-Rhamnose	1.585	7.87	0.201	236.941	5.577	80.0
C05756	3-Oxododecanoyl-[acp]	1.0	-2.322	0.4	7.0	-1.485	80.0
C05757	(R)-3-Hydroxydodecanoyl-[acp]	-1.0	-6.977	0.0	0.0	0.0	50.0
C00262	Hypoxanthine	0.174	-1.954	0.291	5.003	-0.543	80.0
C00508	L-Ribulose	-2.663	-8.512	0.0	0.0	0.0	50.0
C16216	3-Oxostearoyl-CoA	1.0	8.679	0.115	411.864	5.568	80.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	-1.322	-7.6	0.0	0.0	0.0	50.0
C06006	(S)-2-Aceto-2-hydroxybutanoate	3.459	9.809	0.353	908.019	8.323	90.0
C00460	dUTP	4.358	7.555	0.577	208.56	6.911	90.0
C00159	D-Mannose	-0.585	-7.766	0.0	0.0	0.0	50.0
C00286	dGTP	-3.115	-8.041	0.0	0.0	0.0	50.0
C00124	D-Galactose	3.195	7.776	0.411	228.342	6.552	90.0
C06113	L-Aspartyl-tRNA(Asn)	-1.0	-6.725	0.0	0.0	0.0	50.0
C00158	Citrate	0.895	-6.124	0.027	71.604	-0.933	80.0
C00129	Isopentenyl_diphosphate	-3.524	-8.665	0.0	0.0	0.0	50.0
C00327	L-Citrulline	4.392	8.238	0.533	322.911	7.428	90.0
C03892	Phosphatidylglycerophosphate	-1.0	-7.637	0.0	0.0	0.0	50.0
C00681	1-Acyl-sn-glycerol_3-phosphate	-0.515	4.459	0.065	23.422	-0.606	80.0
C00680	meso-2,6-Diaminoheptanedioate	0.568	-1.312	0.597	3.965	-1.243	80.0
C12215	Iminoerythrose_4-phosphate	-1.0	-11.438	0.0	0.0	0.0	50.0
C02553	L-Seryl-tRNA(Ser)	-3.7	-8.426	0.0	0.0	0.0	50.0
C05378	beta-D-Fructose_1,6-bisphosphate	-2.515	-9.348	0.0	0.0	0.0	50.0
C00448	trans,trans-Farnesyl_diphosphate	0.415	-2.7	0.205	7.831	-0.684	80.0
C01563	Carbamate	-1.585	-7.6	0.0	0.0	0.0	50.0
C04053	5-Dehydro-4-deoxy-D-glucuronate	1.585	9.267	0.171	619.091	6.726	90.0
C03785	D-Tagatose_1,6-bisphosphate	-3.0	-11.489	0.0	0.0	0.0	50.0
C00514	D-Mannonate	4.524	4.858	0.931	52.007	5.598	80.0
C16220	3-Hydroxyoctadecanoyl-[acp]	-1.0	-6.977	0.0	0.0	0.0	50.0
C05746	3-Oxohexanoyl-[acp]	1.0	-2.322	0.4	7.0	-1.485	80.0
C05744	Acetoacetyl-[acp]	0.678	2.459	0.276	7.098	0.969	60.0
C03150	Nicotinamide-beta-riboside	0.585	7.676	0.076	206.006	3.973	70.0
C00458	dCTP	-3.97	-8.959	0.0	0.0	0.0	50.0
C00459	dTTP	1.322	7.798	0.17	225.052	5.254	80.0
C06055	O-Phospho-4-hydroxy-L-threonine	-0.737	-1.663	0.0	0.0	0.0	50.0
C00199	D-Ribulose_5-phosphate	0.617	-6.01	0.024	65.979	-0.651	80.0
C00052	UDP-alpha-D-galactose	-2.322	5.591	0.104	53.202	-2.464	90.0
C00217	D-Glutamate	1.0	5.615	0.178	51.01	3.183	70.0
C02876	Propanoyl_phosphate	-1.0	-2.115	0.0	0.0	0.0	50.0
C00212	Adenosine	0.322	6.819	0.047	114.158	2.43	60.0
C00036	Oxaloacetate	3.341	10.089	0.331	1099.293	8.508	90.0
C05841	Nicotinate_D-ribonucleoside	0.585	7.676	0.076	206.006	3.973	70.0
C00035	GDP	-2.415	1.7	0.609	8.582	-2.386	90.0
C00033	Acetate	1.441	8.404	0.171	341.447	5.872	80.0
C00031	D-Glucose	-0.222	7.856	0.005	232.848	-0.229	70.0
C00137	myo-Inositol	-0.585	-7.335	0.0	0.0	0.0	50.0
C00136	Butanoyl-CoA	-4.807	9.309	0.044	662.284	-4.869	90.0
C00135	L-Histidine	1.0	-6.2	0.027	75.517	-1.039	80.0
C00131	dATP	-1.926	-6.479	0.0	0.0	0.0	50.0
C00130	IMP	1.437	-2.346	0.533	7.792	-2.053	90.0
C01097	D-Tagatose_6-phosphate	3.0	11.526	0.26	2956.979	9.588	90.0
C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier_protein]	-1.0	-6.977	0.0	0.0	0.0	50.0
C00299	Uridine	-0.628	-2.709	0.0	0.0	0.0	50.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	-1.0	4.0	0.125	18.0	-1.17	80.0
C04574	di-trans,poly-cis-Undecaprenyl_diphosphate	-1.0	6.0	0.031	66.0	-1.044	80.0
C01172	beta-D-Glucose_6-phosphate	-2.612	9.166	0.011	580.549	-2.627	90.0
C00446	alpha-D-Galactose_1-phosphate	-2.322	2.888	0.675	12.403	-3.067	90.0
C00206	dADP	0.848	8.904	0.095	480.839	5.517	80.0
C00631	2-Phospho-D-glycerate	0.202	2.926	0.069	8.75	-0.727	80.0
C00441	L-Aspartate_4-semialdehyde	3.222	6.524	0.494	101.359	5.646	80.0
C19878	D-glycero-alpha-D-manno-Heptose_7-phosphate	1.585	-5.129	0.086	37.993	-1.704	90.0
C00526	Deoxyuridine	0.415	-5.958	0.021	63.497	-0.446	70.0
C00527	Glutaryl-CoA	-0.737	-4.7	0.0	0.0	0.0	50.0
C00169	Carbamoyl_phosphate	-1.354	-6.626	0.0	0.0	0.0	50.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	-1.0	-4.585	0.0	0.0	0.0	50.0
C05747	(R)-3-Hydroxyhexanoyl-[acp]	-1.0	-6.977	0.0	0.0	0.0	50.0
C00041	L-Alanine	1.907	6.79	0.281	114.411	5.006	80.0
C00040	Acyl-CoA	0.363	7.654	0.047	202.697	3.265	70.0
C00047	L-Lysine	1.807	-5.951	0.057	65.362	-1.886	90.0
C00046	RNA	-4.104	-7.76	0.0	0.0	0.0	50.0
C00044	GTP	-4.131	-8.947	0.0	0.0	0.0	50.0
C05335	L-Selenomethionine	2.322	6.409	0.362	89.977	5.027	80.0
C00204	2-Dehydro-3-deoxy-D-gluconate	-4.059	8.024	0.064	276.962	-4.149	90.0
C00049	L-Aspartate	1.871	5.666	0.33	54.431	4.168	70.0
C00048	Glyoxylate	1.773	6.975	0.254	129.219	5.038	80.0
