compound_code	compound_name	mollicute_mock_score	parabacteroides_mock_score	ratio	magnitude	interaction_score	percentile
C01235	alpha-D-Galactosyl-(1->3)-1D-myo-inositol	3.585	9.18	0.391	592.037	7.853	80.0
C00221	beta-D-Glucose	3.459	7.62	0.454	207.717	6.559	80.0
C05382	Sedoheptulose_7-phosphate	1.078	8.826	0.122	455.939	5.799	70.0
C00385	Xanthine	2.459	-8.262	0.018	312.478	-2.485	80.0
C00387	Guanosine	4.807	9.618	0.5	813.783	8.668	90.0
C05659	5-Methoxytryptamine	-2.0	-6.845	0.0	0.0	0.0	50.0
C00229	Acyl-carrier_protein	-3.0	10.721	0.005	1695.884	-3.007	80.0
C00882	Dephospho-CoA	-3.807	1.585	0.214	16.997	-1.865	80.0
C05841	Nicotinate_D-ribonucleoside	4.807	9.618	0.5	813.783	8.668	90.0
C00655	Xanthosine_5'-phosphate	3.115	-7.622	0.044	205.657	-3.177	90.0
C00118	D-Glyceraldehyde_3-phosphate	2.4	8.074	0.297	274.752	6.352	80.0
C15996	7-Cyano-7-carbaguanine	-0.737	5.235	0.044	39.328	-0.799	70.0
C03125	L-Cysteinyl-tRNA(Cys)	-4.087	-9.814	0.0	0.0	0.0	50.0
C03127	L-Isoleucyl-tRNA(Ile)	-3.322	-9.426	0.0	0.0	0.0	50.0
C00714	Pectin	4.907	9.85	0.498	952.883	8.891	90.0
C03692	1,2-Diacyl-3-beta-D-galactosyl-sn-glycerol	-3.585	-9.18	0.0	0.0	0.0	50.0
C11811	1-Hydroxy-2-methyl-2-butenyl_4-diphosphate	1.585	-7.629	0.015	200.951	-1.607	70.0
C00364	dTMP	1.807	-7.202	0.024	150.737	-1.841	80.0
C00365	dUMP	0.807	-7.689	0.008	208.107	-0.819	70.0
C00362	dGMP	1.585	-6.541	0.032	96.119	-1.631	70.0
C00363	dTDP	-3.322	9.961	0.01	1006.69	-3.336	90.0
C00009	Orthophosphate	-3.322	-8.827	0.0	0.0	0.0	50.0
C00008	ADP	3.97	3.719	0.937	28.839	4.756	70.0
C05831	3-Methoxyanthranilate	-2.0	-6.845	0.0	0.0	0.0	50.0
C05830	8-Methoxykynurenate	-2.0	-6.845	0.0	0.0	0.0	50.0
C09332	Tetrahydrofolyl-[Glu](2)	-2.807	-7.901	0.0	0.0	0.0	50.0
C00003	NAD+	0.737	5.771	0.128	56.273	2.845	60.0
C00002	ATP	-4.36	9.324	0.032	661.455	-4.405	90.0
C00369	Starch	0.874	-3.935	0.12	17.128	-1.037	70.0
C05703	Methaneselenol	-3.585	-9.062	0.0	0.0	0.0	50.0
C11907	4,6-Dideoxy-4-oxo-dTDP-D-glucose	-3.0	-7.907	0.0	0.0	0.0	50.0
C00183	L-Valine	2.807	-5.915	0.116	67.336	-2.965	80.0
C04442	2-Dehydro-3-deoxy-6-phospho-D-gluconate	-4.492	-9.246	0.0	0.0	0.0	50.0
C00361	dGDP	4.891	6.185	0.791	102.428	6.34	80.0
C00253	Nicotinate	-4.807	-8.162	0.0	0.0	0.0	50.0
C00250	Pyridoxal	3.807	1.0	0.263	15.997	2.071	60.0
C00251	Chorismate	0.585	-7.372	0.009	167.151	-0.598	70.0
C05401	3-beta-D-Galactosyl-sn-glycerol	3.585	9.18	0.391	592.037	7.853	80.0
C18260	1,6-Dimethoxypyrene	-2.0	-6.845	0.0	0.0	0.0	50.0
C00255	Riboflavin	3.0	-7.57	0.042	198.019	-3.059	90.0
C05336	Selenomethionyl-tRNA(Met)	-3.585	-9.109	0.0	0.0	0.0	50.0
C00415	Dihydrofolate	1.152	-4.605	0.091	26.558	-1.278	70.0
C00416	Phosphatidate	0.807	8.021	0.101	261.503	4.718	70.0
C05335	L-Selenomethionine	3.585	8.358	0.429	340.102	7.189	80.0
C00310	D-Xylulose	-3.0	-10.703	0.0	0.0	0.0	50.0
C01931	L-Lysyl-tRNA	-3.907	-9.62	0.0	0.0	0.0	50.0
C00314	Pyridoxine	3.807	1.0	0.263	15.997	2.071	60.0
C00886	L-Alanyl-tRNA	-3.459	-10.025	0.0	0.0	0.0	50.0
C00092	D-Glucose_6-phosphate	-3.655	9.952	0.013	1003.088	-3.673	90.0
C00093	sn-Glycerol_3-phosphate	3.256	5.152	0.632	45.109	4.833	70.0
C00095	D-Fructose	-1.0	-9.204	0.0	0.0	0.0	50.0
C00881	Deoxycytidine	4.0	7.524	0.532	200.056	6.733	80.0
C00097	L-Cysteine	3.907	8.036	0.486	277.47	7.076	80.0
C05892	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine	1.585	8.119	0.195	281.011	5.778	70.0
C00078	L-Tryptophan	2.585	7.31	0.354	164.683	5.864	70.0
C00079	L-Phenylalanine	2.807	6.981	0.402	133.324	5.744	70.0
C00993	D-Alanyl-D-alanine	-1.0	-8.508	0.0	0.0	0.0	50.0
C00831	Pantetheine	2.585	8.725	0.296	429.143	6.99	80.0
C00073	L-Methionine	-0.322	7.384	0.007	168.284	-0.333	70.0
C00058	Formate	-1.17	-6.827	0.0	0.0	0.0	50.0
C00718	Amylose	-3.209	-6.384	0.0	0.0	0.0	50.0
C00074	Phosphoenolpyruvate	-3.874	-10.671	0.0	0.0	0.0	50.0
C00075	UTP	4.061	9.82	0.414	920.579	8.573	90.0
C00333	D-Galacturonate	5.044	9.931	0.508	1009.169	9.002	90.0
C06196	2'-Deoxyinosine_5'-phosphate	-3.459	-9.543	0.0	0.0	0.0	50.0
C00979	O-Acetyl-L-serine	-3.15	-8.468	0.0	0.0	0.0	50.0
C06194	2',3'-Cyclic_GMP	2.807	7.19	0.39	153.016	5.901	70.0
C06193	Guanosine_3'-phosphate	-2.807	-7.19	0.0	0.0	0.0	50.0
C00279	D-Erythrose_4-phosphate	-3.907	-9.449	0.0	0.0	0.0	50.0
C00627	Pyridoxine_phosphate	-3.807	-7.864	0.0	0.0	0.0	50.0
C00441	L-Aspartate_4-semialdehyde	-3.55	7.639	0.059	211.041	-3.632	90.0
C00123	L-Leucine	3.585	6.632	0.541	111.182	5.909	70.0
C03512	L-Tryptophanyl-tRNA(Trp)	-2.585	-8.945	0.0	0.0	0.0	50.0
C06199	Hordenine	-2.0	-6.845	0.0	0.0	0.0	50.0
C04242	5-Fluorodeoxyuridine_monophosphate	-2.0	-8.271	0.0	0.0	0.0	50.0
C02353	2',3'-Cyclic_AMP	2.807	7.19	0.39	153.016	5.901	70.0
C00242	Guanine	-2.322	-8.595	0.0	0.0	0.0	50.0
C02355	2',3'-Cyclic_UMP	2.807	7.19	0.39	153.016	5.901	70.0
C02354	2',3'-Cyclic_CMP	2.807	7.19	0.39	153.016	5.901	70.0
C00081	ITP	3.459	-7.977	0.044	262.948	-3.521	90.0
C03785	D-Tagatose_1,6-bisphosphate	-4.807	-9.329	0.0	0.0	0.0	50.0
C04432	tRNA_containing_6-isopentenyladenosine	-3.459	-8.98	0.0	0.0	0.0	50.0
C00089	Sucrose	5.044	-7.562	0.175	221.959	-5.276	90.0
C02442	N-Methyltyramine	2.0	6.845	0.292	118.961	5.119	70.0
C02218	Dehydroalanine	-3.0	-8.718	0.0	0.0	0.0	50.0
C01921	Glycocholate	1.0	7.762	0.129	219.068	4.819	70.0
C00673	2-Deoxy-D-ribose_5-phosphate	4.248	10.115	0.42	1127.967	8.888	90.0
C00160	Glycolate	-2.0	7.315	0.025	163.233	-2.036	80.0
C00163	Propanoate	3.7	10.501	0.352	1462.155	9.009	90.0
C02984	L-Aspartyl-tRNA(Asp)	-3.807	-9.85	0.0	0.0	0.0	50.0
C02987	L-Glutamyl-tRNA(Glu)	-3.322	-9.581	0.0	0.0	0.0	50.0
C19878	D-glycero-alpha-D-manno-Heptose_7-phosphate	-2.585	-1.0	0.0	0.0	0.0	50.0
C19879	D-glycero-alpha-D-manno-Heptose_1,7-bisphosphate	-3.907	1.0	0.133	17.001	-1.181	70.0
C02047	L-Leucyl-tRNA	-3.585	-10.661	0.0	0.0	0.0	50.0
C00106	Uracil	0.363	-7.541	0.007	187.524	-0.373	70.0
C00342	Thioredoxin	4.585	-7.406	0.142	193.602	-4.776	90.0
C00105	UMP	2.405	-6.14	0.075	75.818	-2.509	80.0
C03082	4-Phospho-L-aspartate	2.536	-7.397	0.034	174.346	-2.585	80.0
C00103	D-Glucose_1-phosphate	-3.636	9.864	0.013	944.312	-3.655	90.0
C04377	5,10-Methylenetetrahydromethanopterin	-3.807	-10.448	0.0	0.0	0.0	50.0
C00101	Tetrahydrofolate	-1.215	2.23	0.495	7.013	-1.795	80.0
C00407	L-Isoleucine	3.322	-6.117	0.144	79.407	-3.516	90.0
C05688	L-Selenocysteine	3.459	8.547	0.405	385.024	7.284	80.0
C05689	Se-Methyl-L-selenocysteine	3.459	8.547	0.405	385.024	7.284	80.0
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	4.342	-8.358	0.062	348.382	-4.429	90.0
C00064	L-Glutamine	-1.939	-8.294	0.0	0.0	0.0	50.0
C00109	2-Oxobutanoate	1.585	-6.205	0.041	76.772	-1.643	70.0
C16633	5-Fluorouridine	5.248	8.725	0.601	461.144	8.116	90.0
C00860	L-Histidinol	-2.0	5.129	0.114	38.993	-2.156	80.0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	2.0	8.518	0.235	370.584	6.443	80.0
C02962	D-Allose_6-phosphate	4.644	8.945	0.519	517.851	8.071	90.0
C00864	Pantothenate	2.585	4.248	0.609	25.001	3.927	60.0
C16635	5'-Deoxy-5-fluorocytidine	4.0	8.516	0.47	382.076	7.488	80.0
C16634	5-Fluorouridine_monophosphate	-5.248	-9.773	0.0	0.0	0.0	50.0
C05466	Glycochenodeoxycholate	1.0	7.762	0.129	219.068	4.819	70.0
C04079	N-((R)-Pantothenoyl)-L-cysteine	2.585	8.725	0.296	429.143	6.99	80.0
C04702	UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)	-1.0	7.531	0.011	186.951	-1.016	70.0
C00700	XTP	3.459	9.543	0.362	756.98	8.1	90.0
C05684	Selenite	3.7	9.441	0.392	708.059	8.116	90.0
C00245	Taurine	-1.0	-6.486	0.0	0.0	0.0	50.0
C03175	Shikimate_3-phosphate	-1.0	5.0	0.063	34.0	-1.087	70.0
C02470	Xanthurenic_acid	2.0	6.845	0.292	118.961	5.119	70.0
C01412	Butanal	5.17	8.651	0.598	437.987	8.032	90.0
C05465	Taurochenodeoxycholate	1.0	7.762	0.129	219.068	4.819	70.0
C14519	1-Hydroxypyrene	2.0	6.845	0.292	118.961	5.119	70.0
C02686	Galactosylceramide	-3.585	-8.333	0.0	0.0	0.0	50.0
C18902	Methylselenic_acid	3.7	9.441	0.392	708.059	8.116	90.0
C00159	D-Mannose	-3.585	-9.025	0.0	0.0	0.0	50.0
C00006	NADP+	-2.0	-8.297	0.0	0.0	0.0	50.0
C03402	L-Asparaginyl-tRNA(Asn)	-2.322	-9.781	0.0	0.0	0.0	50.0
C02992	L-Threonyl-tRNA(Thr)	-2.585	-9.617	0.0	0.0	0.0	50.0
C00179	Agmatine	2.807	-9.512	0.01	737.123	-2.821	80.0
C00475	Cytidine	-2.11	6.348	0.053	85.776	-2.184	80.0
C12215	Iminoerythrose_4-phosphate	-4.585	-10.672	0.0	0.0	0.0	50.0
C12214	Aminofructose_6-phosphate	4.585	10.672	0.43	1655.52	9.474	90.0
C00988	2-Phosphoglycolate	2.0	6.358	0.315	86.025	4.758	70.0
C00234	10-Formyltetrahydrofolate	-0.757	6.811	0.015	113.973	-0.779	70.0
C00117	D-Ribose_5-phosphate	-0.158	-9.819	0.0	0.0	0.0	50.0
C00116	Glycerol	-2.459	-8.132	0.0	0.0	0.0	50.0
C00111	Glycerone_phosphate	-2.784	-9.192	0.0	0.0	0.0	50.0
C04349	(4S)-4,6-Dihydroxy-2,5-dioxohexanoate	-5.285	-10.043	0.0	0.0	0.0	50.0
C00112	CDP	-4.755	-8.65	0.0	0.0	0.0	50.0
C20248	7-Carboxy-7-carbaguanine	1.0	8.524	0.117	370.112	5.44	70.0
C00085	D-Fructose_6-phosphate	3.773	9.791	0.385	899.571	8.437	90.0
C00299	Uridine	0.241	7.183	0.034	146.493	2.297	60.0
C00692	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	1.0	7.044	0.142	133.964	4.249	60.0
C03492	D-4'-Phosphopantothenate	-2.585	5.781	0.109	60.986	-2.734	80.0
C00695	Cholic_acid	-1.0	-7.762	0.0	0.0	0.0	50.0
C01079	Protoporphyrinogen_IX	-3.17	-7.82	0.0	0.0	0.0	50.0
C11435	4-(Cytidine_5'-diphospho)-2-C-methyl-D-erythritol	-1.0	3.485	0.179	13.197	-1.237	70.0
C18096	D-Allulose_6-phosphate	-4.644	-8.945	0.0	0.0	0.0	50.0
C11432	1-Phenanthrol	2.0	6.845	0.292	118.961	5.119	70.0
C00082	L-Tyrosine	3.585	-5.466	0.271	56.201	-3.932	90.0
C02412	Glycyl-tRNA(Gly)	-3.585	-8.743	0.0	0.0	0.0	50.0
C00269	CDP-diacylglycerol	2.293	-7.116	0.035	143.618	-2.343	80.0
C05898	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	-1.585	5.524	0.065	49.014	-1.676	80.0
C00632	3-Hydroxyanthranilate	2.0	6.418	0.312	89.509	4.802	70.0
C18259	1-Methoxypyrene	-2.0	-6.845	0.0	0.0	0.0	50.0
C11736	5-Fluorodeoxyuridine	2.0	8.271	0.242	312.901	6.241	80.0
C05893	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine	-1.585	-8.585	0.0	0.0	0.0	50.0
C00262	Hypoxanthine	-1.766	7.192	0.023	149.621	-1.799	80.0
C01172	beta-D-Glucose_6-phosphate	2.663	-4.585	0.264	30.334	-3.001	80.0
C00267	alpha-D-Glucose	-4.406	8.316	0.067	339.888	-4.499	90.0
C03294	N-Formylmethionyl-tRNA	-2.0	-8.15	0.0	0.0	0.0	50.0
C00235	Dimethylallyl_diphosphate	2.585	7.152	0.361	148.222	5.743	70.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	-3.807	-10.328	0.0	0.0	0.0	50.0
C00470	Pectate	-4.907	-9.85	0.0	0.0	0.0	50.0
C00188	L-Threonine	2.585	5.923	0.436	66.674	4.863	70.0
C02702	L-Prolyl-tRNA(Pro)	-3.17	-9.34	0.0	0.0	0.0	50.0
C01151	D-Ribose_1,5-bisphosphate	-1.585	-6.508	0.0	0.0	0.0	50.0
C00129	Isopentenyl_diphosphate	-2.585	5.913	0.1	66.255	-2.722	80.0
C00460	dUTP	3.585	-8.414	0.035	353.088	-3.635	90.0
C03794	N6-(1,2-Dicarboxyethyl)-AMP	1.222	-6.369	0.028	84.986	-1.262	70.0
C00181	D-Xylose	4.087	11.506	0.355	2925.374	10.021	90.0
C00010	CoA	2.0	-8.285	0.013	315.913	-2.018	80.0
C00122	Fumarate	-3.459	-9.624	0.0	0.0	0.0	50.0
C00286	dGTP	-5.227	-6.216	0.0	0.0	0.0	50.0
C00124	D-Galactose	-3.585	9.79	0.014	897.286	-3.604	90.0
C00620	alpha-D-Ribose_1-phosphate	3.858	11.736	0.329	3425.55	10.137	90.0
C00283	Hydrogen_sulfide	1.585	6.781	0.234	112.973	4.723	70.0
C02839	L-Tyrosyl-tRNA(Tyr)	-3.585	-9.579	0.0	0.0	0.0	50.0
C01152	N(pi)-Methyl-L-histidine	-2.0	-6.845	0.0	0.0	0.0	50.0
C05897	Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	1.0	-6.304	0.025	81.012	-1.036	70.0
C17556	di-trans,poly-cis-Undecaprenyl_phosphate	-3.17	3.17	1.0	18.001	-4.17	90.0
C00294	Inosine	4.807	9.618	0.5	813.783	8.668	90.0
C03892	Phosphatidylglycerophosphate	-4.392	-4.459	0.0	0.0	0.0	50.0
C00681	1-Acyl-sn-glycerol_3-phosphate	-0.515	8.273	0.005	310.758	-0.522	70.0
C00680	meso-2,6-Diaminoheptanedioate	-1.051	4.545	0.089	25.416	-1.174	70.0
C02553	L-Seryl-tRNA(Ser)	-3.907	-9.989	0.0	0.0	0.0	50.0
C00842	dTDP-glucose	3.0	-5.322	0.2	48.002	-3.263	90.0
C05378	beta-D-Fructose_1,6-bisphosphate	-4.807	10.035	0.027	1077.139	-4.845	90.0
C00448	trans,trans-Farnesyl_diphosphate	2.585	-6.129	0.086	75.986	-2.704	80.0
C04691	2-Dehydro-3-deoxy-D-arabino-heptonate_7-phosphate	-2.322	8.175	0.017	294.015	-2.347	80.0
C04051	5-Amino-4-imidazolecarboxyamide	-3.807	-9.246	0.0	0.0	0.0	50.0
C04053	5-Dehydro-4-deoxy-D-glucuronate	5.285	10.043	0.526	1093.969	9.169	90.0
C00514	D-Mannonate	1.585	9.953	0.159	994.178	7.307	80.0
C00152	L-Asparagine	-0.415	-6.251	0.0	0.0	0.0	50.0
C00921	Dihydropteroate	2.807	-5.931	0.115	68.009	-2.964	80.0
C00018	Pyridoxal_phosphate	-3.807	-1.0	0.0	0.0	0.0	50.0
C03150	Nicotinamide-beta-riboside	4.807	9.618	0.5	813.783	8.668	90.0
C00458	dCTP	-4.728	-6.427	0.0	0.0	0.0	50.0
C04895	7,8-Dihydroneopterin_3'-triphosphate	-1.585	-5.157	0.0	0.0	0.0	50.0
C01367	3'-AMP	-2.807	-7.19	0.0	0.0	0.0	50.0
C03539	S-Ribosyl-L-homocysteine	-2.0	-5.931	0.0	0.0	0.0	50.0
C00199	D-Ribulose_5-phosphate	-3.83	-7.103	0.0	0.0	0.0	50.0
C00019	S-Adenosyl-L-methionine	-0.807	-1.047	0.0	0.0	0.0	50.0
C00217	D-Glutamate	1.0	7.198	0.139	148.83	4.37	60.0
C00214	Thymidine	-3.273	6.989	0.076	136.694	-3.379	90.0
C20239	6-Carboxy-5,6,7,8-tetrahydropterin	1.0	-8.401	0.006	340.028	-1.009	70.0
C00212	Adenosine	4.807	9.618	0.5	813.783	8.668	90.0
C01368	3'-UMP	-2.807	-7.19	0.0	0.0	0.0	50.0
C00208	Maltose	-5.755	-9.655	0.0	0.0	0.0	50.0
C05840	Iminoaspartate	1.585	4.459	0.355	24.993	3.151	60.0
C00037	Glycine	3.129	8.499	0.368	370.536	7.092	80.0
C00035	GDP	4.919	-6.889	0.255	148.774	-5.247	90.0
C00033	Acetate	3.087	8.614	0.358	400.304	7.164	80.0
C00031	D-Glucose	3.644	9.843	0.37	930.915	8.429	90.0
C00137	myo-Inositol	-3.585	-7.745	0.0	0.0	0.0	50.0
C00330	Deoxyguanosine	4.807	8.17	0.588	316.008	7.539	80.0
C00135	L-Histidine	2.807	7.324	0.383	167.228	6.002	80.0
C00134	Putrescine	-2.807	-7.562	0.0	0.0	0.0	50.0
C00133	D-Alanine	1.585	8.322	0.19	323.016	5.943	80.0
C00131	dATP	2.7	-4.807	0.232	34.491	-3.001	80.0
C00130	IMP	4.087	-8.226	0.057	316.409	-4.167	90.0
C01097	D-Tagatose_6-phosphate	4.807	9.329	0.515	671.138	8.434	90.0
C00063	CTP	4.935	9.99	0.494	1047.517	9.015	90.0
C01269	5-O-(1-Carboxyvinyl)-3-phosphoshikimate	-1.0	-5.392	0.0	0.0	0.0	50.0
C04352	(R)-4'-Phosphopantothenoyl-L-cysteine	-2.585	3.561	0.508	17.802	-3.178	90.0
C04574	di-trans,poly-cis-Undecaprenyl_diphosphate	2.322	-1.415	0.533	7.667	-2.032	80.0
C00668	alpha-D-Glucose_6-phosphate	3.491	-9.765	0.013	881.321	-3.51	90.0
C01762	Xanthosine	4.807	9.618	0.5	813.783	8.668	90.0
C00254	Prephenate	0.19	-6.372	0.014	83.966	-0.21	70.0
C02528	Chenodeoxycholate	-1.0	-7.762	0.0	0.0	0.0	50.0
C00721	Dextrin	-3.0	-9.726	0.0	0.0	0.0	50.0
C00526	Deoxyuridine	1.926	8.582	0.224	387.012	6.441	80.0
C18261	1-Hydroxy-6-methoxypyrene	2.0	6.845	0.292	118.961	5.119	70.0
C11453	2-C-Methyl-D-erythritol_2,4-cyclodiphosphate	-1.7	7.698	0.016	210.898	-1.722	80.0
C02554	L-Valyl-tRNA(Val)	-2.807	-9.397	0.0	0.0	0.0	50.0
C03263	Coproporphyrinogen_III	3.17	5.17	0.613	45.002	4.786	70.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	-0.415	8.821	0.003	453.591	-0.419	70.0
C04882	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine	-1.0	7.531	0.011	186.951	-1.016	70.0
C00041	L-Alanine	-2.807	7.966	0.028	257.036	-2.847	80.0
C00040	Acyl-CoA	3.503	7.375	0.475	177.333	6.396	80.0
C00047	L-Lysine	2.807	7.111	0.395	145.235	5.841	70.0
C00046	RNA	-2.7	-8.982	0.0	0.0	0.0	50.0
C00044	GTP	-3.826	-9.432	0.0	0.0	0.0	50.0
C00204	2-Dehydro-3-deoxy-D-gluconate	5.304	9.289	0.571	665.064	8.569	90.0
C00049	L-Aspartate	2.907	5.764	0.504	61.843	4.963	70.0
C00206	dADP	2.503	7.905	0.317	245.354	6.28	80.0
C01127	4-Hydroxy-2-oxoglutarate	5.209	10.006	0.521	1065.256	9.115	90.0
C01528	Hydrogen_selenide	-3.544	-8.907	0.0	0.0	0.0	50.0
