compound_code	compound_name	alistipes_mock_score	lactobacillus_mock_score	ratio	magnitude	interaction_score	percentile
C05980	Cardiolipin	-6.426	-2.807	0.081	92.982	-2.92	50.0
C00065	L-Serine	5.185	-2.677	0.176	42.773	-2.911	50.0
C05796	Galactan	6.248	8.449	0.739	425.468	8.298	90.0
C00152	L-Asparagine	6.7	-1.188	0.022	106.247	-1.219	60.0
C00155	L-Homocysteine	-1.379	-3.532	0.225	14.168	-1.672	60.0
C02992	L-Threonyl-tRNA(Thr)	-7.721	-3.907	0.071	225.987	-4.006	70.0
C00015	UDP	-3.907	-0.585	0.1	16.501	-0.722	60.0
C19846	Pimelyl-[acyl-carrier_protein]_methyl_ester	-6.629	-3.7	0.131	111.972	-3.878	70.0
C05746	3-Oxohexanoyl-[acp]	6.34	4.585	0.723	105.009	6.247	80.0
C05898	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	6.19	-3.807	0.192	87.005	-4.06	70.0
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	4.907	-2.0	0.133	34.002	-2.181	50.0
C00886	L-Alanyl-tRNA	-6.7	-3.907	0.144	118.969	-4.101	70.0
C01134	Pantetheine_4'-phosphate	5.415	5.15	0.951	78.172	6.216	80.0
C05754	trans-Dec-2-enoyl-[acp]	-5.7	-3.459	0.212	62.981	-3.736	60.0
C00197	3-Phospho-D-glycerate	6.427	-7.88	0.365	321.612	-6.876	90.0
C05345	beta-D-Fructose_6-phosphate	5.811	6.908	0.841	176.234	7.212	90.0
C03511	L-Phenylalanyl-tRNA(Phe)	-6.615	-4.728	0.27	124.521	-5.073	80.0
C04146	all-trans-Octaprenyl_diphosphate	3.907	4.392	0.89	35.997	5.001	70.0
C02051	Lipoylprotein	-4.585	-7.6	0.124	218.012	-4.753	80.0
C00424	(S)-Lactaldehyde	-7.728	-1.0	0.009	214.012	-1.014	60.0
C00221	beta-D-Glucose	3.215	-7.943	0.038	255.368	-3.268	50.0
C00385	Xanthine	-4.19	-4.313	0.918	38.129	-5.13	80.0
C00387	Guanosine	7.304	5.3	0.726	197.421	7.162	90.0
C00229	Acyl-carrier_protein	7.257	-4.392	0.137	173.954	-4.578	70.0
C00882	Dephospho-CoA	-2.807	-5.044	0.212	39.989	-3.085	50.0
C05893	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine	-6.426	-3.807	0.163	99.981	-4.025	70.0
C05841	Nicotinate_D-ribonucleoside	7.304	5.585	0.765	206.025	7.3	90.0
C00655	Xanthosine_5'-phosphate	-2.773	3.298	0.695	16.671	-3.534	60.0
C00118	D-Glyceraldehyde_3-phosphate	4.754	-9.982	0.027	1038.287	-4.792	80.0
C05759	3-Oxotetradecanoyl-[acp]	6.34	4.585	0.723	105.009	6.247	80.0
C03125	L-Cysteinyl-tRNA(Cys)	-6.845	-3.459	0.096	125.958	-3.591	60.0
C03127	L-Isoleucyl-tRNA(Ile)	-6.57	-4.087	0.179	112.004	-4.324	70.0
C00508	L-Ribulose	-7.112	-4.392	0.152	159.328	-4.596	70.0
C20373	3-Hydroxyglutaryl-[acp]_methyl_ester	-8.358	-3.322	0.03	338.102	-3.365	50.0
C20372	3-Ketoglutaryl-[acp]_methyl_ester	6.34	4.585	0.723	105.009	6.247	80.0
C00120	Biotin	6.267	3.17	0.506	86.012	5.443	70.0
C00365	dUMP	-5.221	-4.692	0.693	63.146	-5.452	80.0
C00362	dGMP	-5.755	-3.459	0.204	65.001	-3.726	60.0
C00363	dTDP	-6.672	5.17	0.353	137.972	-5.606	80.0
C00009	Orthophosphate	-6.229	-2.807	0.093	82.008	-2.936	50.0
C00008	ADP	-2.336	-6.646	0.05	105.198	-2.407	50.0
C00006	NADP+	-6.322	6.011	0.806	144.494	-6.864	90.0
C20378	Enoylpimeloyl-[acp]_methyl_ester	6.629	-3.459	0.111	109.972	-3.611	60.0
C00003	NAD+	-7.5	-1.138	0.012	183.22	-1.155	60.0
C00002	ATP	6.959	-6.267	0.619	201.425	-6.962	90.0
C00369	Starch	2.644	4.807	0.55	34.244	4.235	70.0
C05703	Methaneselenol	-6.845	-6.16	0.622	186.467	-6.858	90.0
C00035	GDP	3.624	-6.066	0.184	79.325	-3.868	60.0
C00183	L-Valine	-3.437	-1.585	0.277	13.83	-1.938	50.0
C04620	(3R)-3-Hydroxyoctanoyl-[acyl-carrier_protein]	-7.071	-2.954	0.058	142.206	-3.035	50.0
C00361	dGDP	-4.481	7.793	0.101	244.114	-4.619	70.0
C16619	6-Thioguanosine_monophosphate	-7.129	-4.524	0.164	162.98	-4.744	70.0
C16618	6-Thioxanthine_5'-monophosphate	-2.0	4.585	0.167	28.001	-2.222	50.0
C00256	(R)-Lactate	5.858	4.426	0.756	79.497	5.908	80.0
C01346	dUDP	-3.459	3.087	0.773	19.494	-3.913	70.0
C00255	Riboflavin	-4.807	2.322	0.179	32.993	-2.559	50.0
C05336	Selenomethionyl-tRNA(Met)	-6.741	-3.459	0.103	117.962	-3.6	60.0
C00415	Dihydrofolate	-0.637	-1.078	0.737	3.666	-1.433	60.0
C00416	Phosphatidate	4.19	-4.163	0.981	36.166	-5.15	80.0
C05335	L-Selenomethionine	5.322	3.459	0.65	50.999	5.051	70.0
C16615	6-Methylthiopurine_5'-monophosphate_ribonucleotide	-7.077	-3.17	0.067	144.018	-3.263	50.0
C16614	6-Methylmercaptopurine	7.077	3.17	0.448	144.018	6.011	80.0
C00099	beta-Alanine	5.615	2.459	0.438	54.508	4.577	70.0
C01931	L-Lysyl-tRNA	-6.931	-4.322	0.164	142.023	-4.541	70.0
C01528	Hydrogen_selenide	-6.812	-5.746	0.478	166.03	-6.309	90.0
C00091	Succinyl-CoA	-6.522	-7.6	0.474	285.912	-7.081	90.0
C00092	D-Glucose_6-phosphate	-7.589	-6.582	0.498	288.341	-7.165	90.0
C00093	sn-Glycerol_3-phosphate	7.347	-1.463	0.017	165.562	-1.487	60.0
C00095	D-Fructose	-7.827	4.824	0.125	255.396	-4.994	80.0
C00097	L-Cysteine	-7.224	-5.926	0.407	210.3	-6.418	90.0
C01190	beta-D-Glucosyl-(1<->1)-ceramide	-6.248	-7.055	0.572	208.978	-6.9	90.0
C00078	L-Tryptophan	6.409	3.459	0.54	95.974	5.695	80.0
C00079	L-Phenylalanine	-1.138	2.883	0.298	9.578	-1.515	60.0
C00993	D-Alanyl-D-alanine	-3.0	-8.214	0.027	304.934	-3.038	50.0
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	-3.382	-5.141	0.295	45.711	-3.755	60.0
C00073	L-Methionine	5.298	-2.087	0.108	43.591	-2.235	50.0
C00231	D-Xylulose_5-phosphate	-5.576	2.907	0.157	55.203	-3.118	50.0
C15667	5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole	5.883	-5.524	0.78	105.029	-6.356	90.0
C00075	UTP	5.652	3.126	0.553	59.013	5.029	70.0
C06196	2'-Deoxyinosine_5'-phosphate	-7.484	-6.209	0.413	253.0	-6.708	90.0
C04633	(3R)-3-Hydroxypalmitoyl-[acyl-carrier_protein]	-7.071	-2.954	0.058	142.206	-3.035	50.0
C00074	Phosphoenolpyruvate	-6.979	-8.696	0.304	540.872	-7.362	90.0
C00718	Amylose	-2.55	-4.248	0.308	24.857	-2.938	50.0
C00441	L-Aspartate_4-semialdehyde	-4.815	3.611	0.434	40.367	-4.131	70.0
C00123	L-Leucine	-3.322	-1.222	0.233	12.333	-1.524	60.0
C03512	L-Tryptophanyl-tRNA(Trp)	-6.409	-3.459	0.129	95.974	-3.635	60.0
C04242	5-Fluorodeoxyuridine_monophosphate	-6.615	-3.17	0.092	107.02	-3.297	50.0
C00086	Urea	7.102	4.79	0.674	165.043	6.798	90.0
C00085	D-Fructose_6-phosphate	4.926	-3.471	0.365	41.489	-3.92	70.0
C00242	Guanine	-4.585	-4.353	0.851	44.436	-5.242	80.0
C00245	Taurine	-6.17	-6.907	0.6	192.013	-6.848	90.0
C00082	L-Tyrosine	1.248	1.766	0.707	5.776	2.029	60.0
C00081	ITP	7.484	5.0	0.668	211.023	7.139	90.0
C01290	beta-D-Galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide	6.248	7.055	0.886	208.978	7.532	90.0
C00160	Glycolate	-6.229	-4.74	0.356	101.732	-5.18	80.0
C04640	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine	4.585	-2.322	0.208	29.001	-2.595	50.0
C00294	Inosine	7.304	5.146	0.705	193.432	7.09	90.0
C04432	tRNA_containing_6-isopentenyladenosine	-6.19	-2.585	0.082	79.009	-2.699	50.0
C04646	6-Thioinosine-5'-monophosphate	3.807	2.585	0.679	19.997	3.763	70.0
C02218	Dehydroalanine	-7.562	-3.907	0.079	203.969	-4.017	70.0
C00337	(S)-Dihydroorotate	-6.57	-1.874	0.039	98.675	-1.929	50.0
C01921	Glycocholate	6.17	6.907	0.893	192.013	7.422	90.0
C00673	2-Deoxy-D-ribose_5-phosphate	6.858	4.426	0.645	137.498	6.471	80.0
C02988	L-Histidyl-tRNA(His)	-6.508	-3.0	0.088	99.013	-3.122	50.0
C03479	Folinic_acid	-6.57	5.0	0.337	127.01	-5.419	80.0
C00163	Propanoate	7.238	6.615	0.914	248.977	7.83	90.0
C02984	L-Aspartyl-tRNA(Asp)	-6.285	-4.459	0.282	99.972	-4.817	80.0
C02987	L-Glutamyl-tRNA(Glu)	-6.426	-4.322	0.233	105.985	-4.624	70.0
C00169	Carbamoyl_phosphate	4.147	-3.49	0.634	28.952	-4.199	70.0
C02047	L-Leucyl-tRNA	-6.524	-4.755	0.293	119.03	-5.126	80.0
C00106	Uracil	-2.202	-4.878	0.156	34.006	-2.412	50.0
C00068	Thiamin_diphosphate	-7.349	-5.203	0.226	199.866	-5.497	80.0
C00342	Thioredoxin	-4.916	-5.532	0.652	76.46	-5.641	80.0
C00105	UMP	5.356	0.593	0.111	42.464	2.233	60.0
C03082	4-Phospho-L-aspartate	1.379	5.44	0.253	46.012	3.544	70.0
C00103	D-Glucose_1-phosphate	5.218	6.54	0.798	130.274	6.7	80.0
C04377	5,10-Methylenetetrahydromethanopterin	-7.15	-5.087	0.239	176.014	-5.397	80.0
C04376	5'-Phosphoribosyl-N-formylglycinamide	-3.459	2.0	0.364	14.997	-2.448	50.0
C00583	Propane-1,2-diol	7.728	1.0	0.129	214.012	4.791	70.0
C00063	CTP	6.823	5.654	0.829	163.574	7.083	90.0
C05689	Se-Methyl-L-selenocysteine	6.741	4.17	0.619	124.966	6.272	80.0
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	4.441	3.147	0.709	30.579	4.438	70.0
C00064	L-Glutamine	-5.595	-2.58	0.124	54.315	-2.748	50.0
C00066	tRNA	6.19	2.585	0.418	79.009	5.044	70.0
C16633	5-Fluorouridine	7.748	2.585	0.334	220.971	6.204	80.0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	3.7	3.781	0.979	26.743	4.71	70.0
C00864	Pantothenate	-6.524	4.087	0.185	109.022	-4.331	70.0
C16634	5-Fluorouridine_monophosphate	-8.362	-2.585	0.018	335.013	-2.611	50.0
C03972	2,3,4,5-Tetrahydrodipicolinate	-1.976	-3.27	0.408	13.58	-2.469	50.0
C05466	Glycochenodeoxycholate	6.17	6.907	0.893	192.013	7.422	90.0
C01380	Ethylene_glycol	7.728	1.0	0.129	214.012	4.791	70.0
C19673	Malonyl-[acp]_methyl_ester	7.954	3.17	0.399	256.967	6.678	80.0
C20376	3-Ketopimeloyl-[acp]_methyl_ester	6.34	4.585	0.723	105.009	6.247	80.0
C00577	D-Glyceraldehyde	-7.366	-11.618	0.052	3308.123	-7.44	90.0
C05764	Hexadecanoyl-[acp]	7.229	-2.322	0.033	155.019	-2.369	50.0
C01419	Cys-Gly	8.618	2.322	0.269	397.895	6.744	90.0
C04246	But-2-enoyl-[acyl-carrier_protein]	-5.7	-3.459	0.212	62.981	-3.736	60.0
C05761	Tetradecanoyl-[acp]	7.229	-2.322	0.033	155.019	-2.369	50.0
C05760	trans-Tetradec-2-enoyl-[acp]	-5.7	-3.459	0.212	62.981	-3.736	60.0
C05763	trans-Hexadec-2-enoyl-[acp]	-5.7	-3.459	0.212	62.981	-3.736	60.0
C05762	3-Oxohexadecanoyl-[acp]	5.931	4.19	0.706	79.263	5.807	80.0
C00275	D-Mannose_6-phosphate	6.714	-9.446	0.151	802.458	-6.916	90.0
C05465	Taurochenodeoxycholate	6.17	6.907	0.893	192.013	7.422	90.0
C04079	N-((R)-Pantothenoyl)-L-cysteine	5.615	4.087	0.728	66.004	5.586	70.0
C18902	Methylselenic_acid	6.943	6.966	0.997	248.06	7.95	90.0
C00668	alpha-D-Glucose_6-phosphate	-3.912	-6.343	0.185	96.23	-4.157	70.0
C03402	L-Asparaginyl-tRNA(Asn)	-7.0	-4.222	0.146	146.662	-4.418	70.0
C00253	Nicotinate	-7.304	-4.931	0.193	188.53	-5.186	80.0
C03294	N-Formylmethionyl-tRNA	-6.229	-4.459	0.293	97.003	-4.83	80.0
C00663	beta-D-Glucose_1-phosphate	-6.109	-3.7	0.188	82.019	-3.949	70.0
C02163	L-Arginyl-tRNA(Arg)	-6.109	-2.585	0.087	75.023	-2.705	50.0
C00234	10-Formyltetrahydrofolate	-3.229	-1.565	0.316	12.335	-1.961	50.0
C00117	D-Ribose_5-phosphate	-6.12	5.661	0.727	120.149	-6.45	90.0
C00111	Glycerone_phosphate	-3.388	7.797	0.047	232.867	-3.454	60.0
C03090	5-Phosphoribosylamine	5.385	2.678	0.497	48.187	4.583	70.0
C02380	6-Mercaptopurine	7.077	3.17	0.448	144.018	6.011	80.0
C00112	CDP	-4.346	-1.503	0.139	23.171	-1.691	60.0
C07648	Thioguanine	7.077	3.17	0.448	144.018	6.011	80.0
C05698	Selenohomocysteine	-1.585	-3.755	0.222	16.501	-1.874	60.0
C00354	D-Fructose_1,6-bisphosphate	-2.459	-9.036	0.01	530.435	-2.474	50.0
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	2.531	-6.983	0.046	132.28	-2.595	50.0
C00243	Lactose	6.248	5.799	0.928	131.68	6.933	90.0
C00149	(S)-Malate	-5.856	2.322	0.086	62.921	-2.441	50.0
C00299	Uridine	-1.399	4.315	0.132	22.541	-1.579	60.0
C00692	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	-4.392	4.322	0.953	40.996	-5.287	80.0
C03492	D-4'-Phosphopantothenate	5.17	-2.0	0.111	40.002	-2.152	50.0
C00695	Cholic_acid	-6.17	-6.907	0.6	192.013	-6.848	90.0
C11435	4-(Cytidine_5'-diphospho)-2-C-methyl-D-erythritol	-3.585	2.0	0.333	16.0	-2.415	50.0
C11436	2-Phospho-4-(cytidine_5'-diphospho)-2-C-methyl-D-erythritol	3.459	-2.0	0.364	14.997	-2.448	50.0
C00857	Deamino-NAD+	8.022	-1.0	0.008	261.934	-1.011	60.0
C01345	dITP	7.484	5.0	0.668	211.023	7.139	90.0
C05750	3-Oxooctanoyl-[acp]	5.931	4.19	0.706	79.263	5.807	80.0
C05751	trans-Oct-2-enoyl-[acp]	-5.7	-3.459	0.212	62.981	-3.736	60.0
C00269	CDP-diacylglycerol	-1.773	-2.459	0.622	8.916	-2.47	50.0
C05753	3-Oxodecanoyl-[acp]	5.931	4.19	0.706	79.263	5.807	80.0
C16219	3-Oxostearoyl-[acp]	6.34	4.585	0.723	105.009	6.247	80.0
C05755	Decanoyl-[acp]	7.229	-2.322	0.033	155.019	-2.369	50.0
C05756	3-Oxododecanoyl-[acp]	6.34	4.585	0.723	105.009	6.247	80.0
C05757	(R)-3-Hydroxydodecanoyl-[acp]	-7.484	-3.322	0.056	189.023	-3.4	60.0
C05758	trans-Dodec-2-enoyl-[acp]	-5.7	-3.459	0.212	62.981	-3.736	60.0
C00262	Hypoxanthine	3.35	-4.239	0.54	29.079	-3.973	70.0
C16217	3-Hydroxyoctadecanoyl-CoA	-8.358	-5.0	0.098	360.102	-5.134	80.0
C16216	3-Oxostearoyl-CoA	8.358	5.0	0.598	360.102	7.751	90.0
C00267	alpha-D-Glucose	6.297	4.556	0.724	102.153	6.208	80.0
C00266	Glycolaldehyde	-7.478	-1.0	0.011	180.28	-1.016	60.0
C00235	Dimethylallyl_diphosphate	-3.138	-1.571	0.338	11.774	-1.991	50.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	-7.267	4.0	0.104	170.023	-4.143	70.0
C00188	L-Threonine	7.721	-3.361	0.049	221.26	-3.43	60.0
C02702	L-Prolyl-tRNA(Pro)	-7.18	-5.0	0.221	177.009	-5.288	80.0
C05818	2-Demethylmenaquinone	-6.209	-4.392	0.284	94.972	-4.752	80.0
C00460	dUTP	7.484	5.113	0.683	213.63	7.189	90.0
C03794	N6-(1,2-Dicarboxyethyl)-AMP	-2.115	-1.0	0.462	6.332	-1.548	60.0
C00343	Thioredoxin_disulfide	4.672	5.946	0.786	87.141	6.097	80.0
C00122	Fumarate	4.809	-2.852	0.258	35.252	-3.183	50.0
C00286	dGTP	5.554	-7.812	0.209	271.703	-5.828	90.0
C00124	D-Galactose	6.098	-6.262	0.893	145.243	-7.018	90.0
C00620	alpha-D-Ribose_1-phosphate	7.492	7.788	0.962	401.033	8.592	90.0
C16221	(2E)-Octadecenoyl-[acp]	6.629	-3.459	0.111	109.972	-3.611	60.0
C02839	L-Tyrosyl-tRNA(Tyr)	-6.807	-5.209	0.33	148.961	-5.621	80.0
C04352	(R)-4'-Phosphopantothenoyl-L-cysteine	3.0	-1.0	0.25	10.0	-1.322	60.0
C05897	Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	-4.954	1.585	0.097	33.996	-1.718	60.0
C17556	di-trans,poly-cis-Undecaprenyl_phosphate	5.392	2.585	0.479	47.991	4.524	70.0
C01962	Thiocysteine	-6.129	-3.755	0.193	83.487	-4.009	70.0
C00279	D-Erythrose_4-phosphate	-3.68	11.531	0.004	2972.035	-3.686	60.0
C01762	Xanthosine	7.304	5.387	0.738	199.869	7.204	90.0
C02412	Glycyl-tRNA(Gly)	-6.714	-3.17	0.086	113.983	-3.289	50.0
C00680	meso-2,6-Diaminoheptanedioate	-3.322	1.485	0.28	12.8	-1.841	60.0
C00206	dADP	4.018	-6.353	0.198	97.943	-4.279	70.0
C00842	dTDP-glucose	-5.087	-1.585	0.088	36.989	-1.707	60.0
C02553	L-Seryl-tRNA(Ser)	-6.768	-6.615	0.899	207.006	-7.541	90.0
C05427	Phytyl_diphosphate	7.044	4.392	0.624	152.959	6.575	80.0
C05378	beta-D-Fructose_1,6-bisphosphate	-6.164	10.843	0.039	1908.532	-6.219	90.0
C00831	Pantetheine	5.615	4.087	0.728	66.004	5.586	70.0
C02554	L-Valyl-tRNA(Val)	-6.443	-4.524	0.264	110.01	-4.862	80.0
C20377	3-Hydroxypimeloyl-[acp]_methyl_ester	-8.358	-3.322	0.03	338.102	-3.365	50.0
C03785	D-Tagatose_1,6-bisphosphate	-8.022	-7.706	0.803	468.737	-8.557	90.0
C00407	L-Isoleucine	-3.485	-2.202	0.411	15.798	-2.699	50.0
C05749	Hexanoyl-[acp]	7.229	-2.322	0.033	155.019	-2.369	50.0
C05748	trans-Hex-2-enoyl-[acp]	-5.7	-3.459	0.212	62.981	-3.736	60.0
C16220	3-Hydroxyoctadecanoyl-[acp]	-8.358	-3.322	0.03	338.102	-3.365	50.0
C00921	Dihydropteroate	2.322	3.17	0.732	14.001	3.358	70.0
C05745	Butyryl-[acp]	7.229	-2.322	0.033	155.019	-2.369	50.0
C05744	Acetoacetyl-[acp]	6.074	3.82	0.629	81.492	5.68	80.0
C03150	Nicotinamide-beta-riboside	7.304	5.073	0.695	191.685	7.057	90.0
C04618	(3R)-3-Hydroxybutanoyl-[acyl-carrier_protein]	-6.752	-2.678	0.059	114.184	-2.761	50.0
C04619	(3R)-3-Hydroxydecanoyl-[acyl-carrier_protein]	-7.071	-2.954	0.058	142.206	-3.035	50.0
C00458	dCTP	5.668	-6.758	0.47	159.077	-6.224	90.0
C00459	dTTP	6.964	-4.392	0.168	145.841	-4.616	70.0
C01209	Malonyl-[acyl-carrier_protein]	6.902	2.392	0.347	124.843	5.435	70.0
C00199	D-Ribulose_5-phosphate	-4.418	-5.339	0.528	61.853	-5.03	80.0
C00019	S-Adenosyl-L-methionine	-4.022	-1.0	0.123	18.246	-1.167	60.0
C00062	L-Arginine	5.883	-3.386	0.177	69.469	-3.621	60.0
C00217	D-Glutamate	3.907	-0.737	0.111	16.668	-0.889	60.0
C00214	Thymidine	6.615	-6.267	0.786	175.031	-7.103	90.0
C00212	Adenosine	7.304	4.728	0.647	184.525	6.9	90.0
C00153	Nicotinamide	-7.304	-5.073	0.213	191.685	-5.352	80.0
C15972	Enzyme_N6-(lipoyl)lysine	-6.907	-5.066	0.279	153.507	-5.421	80.0
C00208	Maltose	6.109	6.022	0.986	134.006	7.045	90.0
C00036	Oxaloacetate	-4.434	3.326	0.464	31.644	-3.876	60.0
C00037	Glycine	-6.054	-2.095	0.064	70.713	-2.185	50.0
C15973	Enzyme_N6-(dihydrolipoyl)lysine	6.907	7.577	0.912	310.952	8.147	90.0
C11907	4,6-Dideoxy-4-oxo-dTDP-D-glucose	-6.807	-1.0	0.018	113.972	-1.026	60.0
C03373	Aminoimidazole_ribotide	-5.7	5.459	0.846	95.971	-6.344	90.0
C00031	D-Glucose	7.055	4.102	0.581	150.146	6.448	80.0
C00330	Deoxyguanosine	7.304	5.585	0.765	206.025	7.3	90.0
C00135	L-Histidine	6.508	2.17	0.333	95.513	4.993	70.0
C00134	Putrescine	-3.459	-3.17	0.818	19.997	-4.033	70.0
C00133	D-Alanine	3.322	7.647	0.434	210.437	6.514	80.0
C00131	dATP	2.115	6.046	0.35	70.405	4.622	70.0
C00130	IMP	-0.059	-4.15	0.059	18.795	-0.141	60.0
C16237	Protein_N6-(lipoyl)lysine	6.022	-7.977	0.258	316.935	-6.353	90.0
C01097	D-Tagatose_6-phosphate	8.022	8.275	0.969	569.692	9.109	90.0
C05699	L-Selenocystathionine	6.129	3.755	0.613	83.487	5.677	70.0
C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier_protein]	-7.484	-3.322	0.056	189.023	-3.4	60.0
C04088	Octadecanoyl-[acyl-carrier_protein]	-6.629	-3.7	0.131	111.972	-3.878	70.0
C04851	MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho-undecaprenol	-4.954	1.585	0.097	33.996	-1.718	60.0
C01050	UDP-N-acetylmuramate	5.64	-4.692	0.518	75.715	-5.295	80.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	-6.15	3.17	0.127	80.013	-3.342	50.0
C20375	Glutaryl-[acp]_methyl_ester	7.229	-2.322	0.033	155.019	-2.369	50.0
C04574	di-trans,poly-cis-Undecaprenyl_diphosphate	-6.0	0.585	0.023	65.5	-0.618	60.0
C01172	beta-D-Glucose_6-phosphate	-3.322	-4.737	0.375	36.668	-3.781	60.0
C05892	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine	6.022	3.585	0.595	76.984	5.518	70.0
C00445	5,10-Methenyltetrahydrofolate	3.781	-2.644	0.455	19.997	-3.185	50.0
C01094	D-Fructose_1-phosphate	7.366	11.034	0.668	2261.802	10.56	90.0
C00631	2-Phospho-D-glycerate	-2.621	-5.885	0.104	65.248	-2.764	50.0
C02528	Chenodeoxycholate	-6.17	-6.907	0.6	192.013	-6.848	90.0
