compound_code	compound_name	alistipes_mock_score	lachnospiraceae_mock_score	ratio	magnitude	interaction_score	percentile
C00079	L-Phenylalanine	-1.138	-0.097	0.486	3.27	-0.668	60.0
C00993	D-Alanyl-D-alanine	-3.0	-1.585	0.375	11.0	-2.044	80.0
C01798	D-Glucoside	7.435	3.322	0.447	183.045	6.354	90.0
C00073	L-Methionine	5.298	3.585	0.677	51.342	5.119	80.0
C00074	Phosphoenolpyruvate	-6.979	-0.848	0.014	127.95	-0.868	60.0
C00075	UTP	5.652	2.619	0.463	56.426	4.709	80.0
C00620	alpha-D-Ribose_1-phosphate	7.492	4.087	0.546	197.013	6.748	90.0
C15667	5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole	5.883	2.0	0.34	63.015	4.421	80.0
C04246	But-2-enoyl-[acyl-carrier_protein]	-5.7	1.0	0.038	53.984	-1.054	50.0
C00123	L-Leucine	-3.322	0.222	0.117	11.167	-0.381	60.0
C00279	D-Erythrose_4-phosphate	-3.68	-4.512	0.562	35.634	-4.323	90.0
C00085	D-Fructose_6-phosphate	4.926	3.961	0.804	45.973	5.208	80.0
C00242	Guanine	-4.585	1.0	0.083	26.001	-1.115	50.0
C00231	D-Xylulose_5-phosphate	-5.576	-3.346	0.213	57.871	-3.625	90.0
C00249	Hexadecanoic_acid	8.651	1.0	0.116	403.986	5.545	90.0
C04640	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine	4.585	-3.0	0.333	32.001	-3.415	90.0
C04646	6-Thioinosine-5'-monophosphate	3.807	-1.0	0.143	15.997	-1.193	60.0
C02218	Dehydroalanine	-7.562	-1.585	0.016	191.968	-1.608	60.0
C00337	(S)-Dihydroorotate	-6.57	2.322	0.053	100.01	-2.396	80.0
C00673	2-Deoxy-D-ribose_5-phosphate	6.858	-1.0	0.017	118.002	-1.025	50.0
C00160	Glycolate	-6.229	-1.0	0.027	77.009	-1.038	50.0
C00163	Propanoate	7.238	1.0	0.138	152.958	4.401	80.0
C02984	L-Aspartyl-tRNA(Asp)	-6.285	-2.0	0.051	81.978	-2.072	80.0
C00561	Mandelonitrile	-7.435	-3.322	0.058	183.045	-3.403	90.0
C02987	L-Glutamyl-tRNA(Glu)	-6.426	-2.0	0.047	89.984	-2.066	80.0
C03263	Coproporphyrinogen_III	6.109	1.0	0.164	71.023	3.539	70.0
C02047	L-Leucyl-tRNA	-6.524	-1.0	0.022	94.028	-1.031	50.0
C20373	3-Hydroxyglutaryl-[acp]_methyl_ester	-8.358	-1.585	0.009	331.102	-1.598	60.0
C00342	Thioredoxin	-4.916	1.0	0.066	32.19	-1.093	50.0
C00105	UMP	5.356	0.489	0.091	42.359	1.951	70.0
C00103	D-Glucose_1-phosphate	5.218	2.807	0.538	44.218	4.572	80.0
C04377	5,10-Methylenetetrahydromethanopterin	-7.15	-1.585	0.021	145.025	-1.615	70.0
C04376	5'-Phosphoribosyl-N-formylglycinamide	-3.459	3.0	0.727	18.997	-3.789	90.0
C00063	CTP	6.823	2.524	0.37	118.973	5.46	90.0
C00062	L-Arginine	5.883	1.0	0.17	61.015	3.375	70.0
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	4.441	-1.28	0.112	24.149	-1.433	60.0
C00064	L-Glutamine	-5.595	-1.078	0.044	50.446	-1.14	60.0
C00861	L-Rhamnulose	-6.883	2.0	0.034	122.029	-2.048	80.0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	3.7	0.585	0.158	14.496	1.197	70.0
C02962	D-Allose_6-phosphate	6.508	1.585	0.244	94.013	4.517	80.0
C16634	5-Fluorouridine_monophosphate	-8.362	-1.585	0.009	332.013	-1.598	60.0
C00577	D-Glyceraldehyde	-7.366	-1.0	0.012	166.963	-1.017	50.0
C05764	Hexadecanoyl-[acp]	7.229	-1.585	0.02	153.019	-1.614	70.0
C05761	Tetradecanoyl-[acp]	7.229	-1.585	0.02	153.019	-1.614	70.0
C05760	trans-Tetradec-2-enoyl-[acp]	-5.7	1.0	0.038	53.984	-1.054	50.0
C05763	trans-Hexadec-2-enoyl-[acp]	-5.7	1.0	0.038	53.984	-1.054	50.0
C03175	Shikimate_3-phosphate	-2.7	-0.585	0.231	7.998	-0.885	60.0
C20374	Enoylglutaryl-[acp]_methyl_ester	6.629	-1.0	0.02	100.976	-1.029	50.0
C08325	Amygdalin	7.435	3.322	0.447	183.045	6.354	90.0
C01269	5-O-(1-Carboxyvinyl)-3-phosphoshikimate	-2.322	0.585	0.3	6.5	-0.964	50.0
C00475	Cytidine	-5.258	0.263	0.031	39.466	-0.308	60.0
C12215	Iminoerythrose_4-phosphate	-7.476	-4.7	0.146	204.025	-4.897	90.0
C02163	L-Arginyl-tRNA(Arg)	-6.109	-1.585	0.043	72.023	-1.646	70.0
C00988	2-Phosphoglycolate	6.229	1.0	0.161	77.009	3.628	70.0
C00117	D-Ribose_5-phosphate	-6.12	-3.467	0.159	80.609	-3.68	90.0
C00111	Glycerone_phosphate	-3.388	-0.466	0.132	11.85	-0.645	60.0
C02380	6-Mercaptopurine	7.077	1.0	0.141	137.017	4.275	70.0
C00112	CDP	-4.346	-4.087	0.836	37.331	-4.963	90.0
C07648	Thioguanine	7.077	1.0	0.141	137.017	4.275	70.0
C05698	Selenohomocysteine	-1.585	-2.807	0.429	9.998	-2.1	80.0
C00668	alpha-D-Glucose_6-phosphate	-3.912	-3.14	0.586	23.868	-3.805	90.0
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	2.531	-1.811	0.607	9.289	-2.495	80.0
C00243	Lactose	6.248	2.807	0.449	83.002	5.221	80.0
C00299	Uridine	-1.399	0.263	0.455	3.837	-0.804	60.0
C02972	Dihydrolipoylprotein	-6.15	1.585	0.042	74.013	-1.645	70.0
C01079	Protoporphyrinogen_IX	-6.109	-1.0	0.029	71.023	-1.041	50.0
C11435	4-(Cytidine_5'-diphospho)-2-C-methyl-D-erythritol	-3.585	-0.415	0.111	13.334	-0.567	60.0
C11436	2-Phospho-4-(cytidine_5'-diphospho)-2-C-methyl-D-erythritol	3.459	0.415	0.12	12.33	0.565	70.0
C18096	D-Allulose_6-phosphate	-6.508	-1.585	0.033	94.013	-1.632	70.0
C06441	L-Xylulose_1-phosphate	5.833	-2.0	0.07	61.004	-2.098	80.0
C05751	trans-Oct-2-enoyl-[acp]	-5.7	1.0	0.038	53.984	-1.054	50.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	-6.15	-1.585	0.042	74.013	-1.645	70.0
C16219	3-Oxostearoyl-[acp]	6.34	2.0	0.315	85.008	4.745	80.0
C05755	Decanoyl-[acp]	7.229	-1.585	0.02	153.019	-1.614	70.0
C05756	3-Oxododecanoyl-[acp]	6.34	2.0	0.315	85.008	4.745	80.0
C05757	(R)-3-Hydroxydodecanoyl-[acp]	-7.484	-1.585	0.017	182.023	-1.609	60.0
C05758	trans-Dodec-2-enoyl-[acp]	-5.7	1.0	0.038	53.984	-1.054	50.0
C00262	Hypoxanthine	3.35	-1.0	0.196	12.196	-1.258	60.0
C16217	3-Hydroxyoctadecanoyl-CoA	-8.358	-2.0	0.012	332.102	-2.017	80.0
C16216	3-Oxostearoyl-CoA	8.358	2.0	0.239	332.102	6.312	90.0
C00267	alpha-D-Glucose	6.297	-1.718	0.042	81.919	-1.777	70.0
C03294	N-Formylmethionyl-tRNA	-6.229	-1.585	0.04	78.01	-1.642	70.0
C12214	Aminofructose_6-phosphate	7.476	4.7	0.629	204.025	7.003	90.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	-7.267	1.0	0.013	156.023	-1.019	50.0
C08334	Lotaustralin	7.435	3.322	0.447	183.045	6.354	90.0
C00188	L-Threonine	7.721	-0.893	0.009	212.843	-0.906	60.0
C02702	L-Prolyl-tRNA(Pro)	-7.18	-1.0	0.014	147.009	-1.02	50.0
C00185	Cellobiose	7.435	3.17	0.426	182.045	6.278	90.0
C00183	L-Valine	-3.437	0.041	0.095	11.859	-0.172	70.0
C00343	Thioredoxin_disulfide	4.672	-1.0	0.078	27.492	-1.109	50.0
C00286	dGTP	5.554	1.087	0.196	49.105	3.265	70.0
C00124	D-Galactose	6.098	-2.807	0.102	75.497	-2.947	90.0
C01962	Thiocysteine	-6.129	-3.0	0.114	77.986	-3.156	90.0
C02412	Glycyl-tRNA(Gly)	-6.714	-1.0	0.019	106.982	-1.027	50.0
C02553	L-Seryl-tRNA(Ser)	-6.768	-2.0	0.037	112.986	-2.052	80.0
C05378	beta-D-Fructose_1,6-bisphosphate	-6.164	-0.115	0.015	72.788	-0.137	70.0
C02554	L-Valyl-tRNA(Val)	-6.443	-1.585	0.034	90.003	-1.634	70.0
C05749	Hexanoyl-[acp]	7.229	-1.585	0.02	153.019	-1.614	70.0
C05748	trans-Hex-2-enoyl-[acp]	-5.7	1.0	0.038	53.984	-1.054	50.0
C16220	3-Hydroxyoctadecanoyl-[acp]	-8.358	-1.585	0.009	331.102	-1.598	60.0
C16221	(2E)-Octadecenoyl-[acp]	6.629	1.0	0.151	100.976	3.929	70.0
C05745	Butyryl-[acp]	7.229	-1.585	0.02	153.019	-1.614	70.0
C04618	(3R)-3-Hydroxybutanoyl-[acyl-carrier_protein]	-6.752	-1.138	0.02	109.985	-1.167	60.0
C04619	(3R)-3-Hydroxydecanoyl-[acyl-carrier_protein]	-7.071	-1.322	0.019	136.957	-1.349	60.0
C00458	dCTP	5.668	1.415	0.25	53.51	3.74	70.0
C00459	dTTP	6.964	1.874	0.269	128.511	5.112	80.0
C00199	D-Ribulose_5-phosphate	-4.418	-1.354	0.12	23.933	-1.517	60.0
C00217	D-Glutamate	3.907	-1.0	0.133	17.001	-1.181	60.0
C00197	3-Phospho-D-glycerate	6.427	4.593	0.715	110.178	6.299	90.0
C00036	Oxaloacetate	-4.434	1.751	0.156	24.982	-1.96	80.0
C00037	Glycine	-6.054	-0.17	0.017	67.566	-0.194	60.0
C15973	Enzyme_N6-(dihydrolipoyl)lysine	6.907	1.585	0.229	123.009	4.819	80.0
C00035	GDP	3.624	-4.087	0.725	29.324	-4.411	90.0
C00031	D-Glucose	7.055	2.459	0.349	138.472	5.593	90.0
C00330	Deoxyguanosine	7.304	-0.585	0.009	159.524	-0.599	60.0
C00135	L-Histidine	6.508	-1.0	0.022	93.013	-1.031	50.0
C00131	dATP	2.115	0.737	0.348	5.999	1.064	70.0
C00130	IMP	-0.059	-0.222	0.893	2.208	-0.98	50.0
C16237	Protein_N6-(lipoyl)lysine	6.022	-1.0	0.031	66.983	-1.044	50.0
C01290	beta-D-Galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide	6.248	2.807	0.449	83.002	5.221	80.0
C05699	L-Selenocystathionine	6.129	3.0	0.489	77.986	5.254	80.0
C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier_protein]	-7.484	-1.585	0.017	182.023	-1.609	60.0
C04088	Octadecanoyl-[acyl-carrier_protein]	-6.629	-1.585	0.03	101.976	-1.628	70.0
C00354	D-Fructose_1,6-bisphosphate	-2.459	-0.222	0.212	6.665	-0.5	60.0
C01050	UDP-N-acetylmuramate	5.64	0.893	0.158	51.724	3.034	70.0
C01190	beta-D-Glucosyl-(1<->1)-ceramide	-6.248	-2.807	0.092	83.002	-2.934	90.0
C01094	D-Fructose_1-phosphate	7.366	1.415	0.192	167.63	5.009	80.0
C00440	5-Methyltetrahydrofolate	-2.939	0.415	0.174	9.002	-0.646	60.0
C01594	Linamarin	7.435	3.322	0.447	183.045	6.354	90.0
C11453	2-C-Methyl-D-erythritol_2,4-cyclodiphosphate	-3.7	-0.807	0.135	14.746	-0.989	50.0
C00169	Carbamoyl_phosphate	4.147	-2.0	0.226	21.716	-2.294	80.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	3.536	0.415	0.117	12.933	0.602	70.0
C02659	Acetone_cyanohydrin	-7.435	-3.322	0.058	183.045	-3.403	90.0
C00041	L-Alanine	-4.97	0.585	0.048	32.841	-0.652	60.0
C00047	L-Lysine	6.931	0.585	0.084	123.522	3.382	70.0
C00046	RNA	-6.306	2.747	0.085	85.835	-2.864	90.0
C00044	GTP	-6.623	-2.051	0.042	102.709	-2.11	80.0
C00049	L-Aspartate	-3.779	0.057	0.076	14.768	-0.162	70.0
C01212	UDP-N-acetylmuramoyl-L-alanine	-5.119	-1.322	0.072	37.252	-1.422	60.0
C02291	L-Cystathionine	6.129	3.0	0.489	77.986	5.254	80.0
