compound_code	compound_name	bacteroides_mock_score	turicibacter_mock_score	ratio	magnitude	interaction_score	percentile
C04272	(R)-2,3-Dihydroxy-3-methylbutanoate	-4.833	-2.248	0.0	0.0	0.0	50.0
C01419	Cys-Gly	5.931	3.807	0.642	75.008	5.589	90.0
C08325	Amygdalin	7.14	4.672	0.654	166.536	6.768	90.0
C03402	L-Asparaginyl-tRNA(Asn)	-6.845	-1.585	0.0	0.0	0.0	50.0
C00692	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	-3.0	4.954	0.258	38.996	-3.331	80.0
C00695	Cholic_acid	-1.0	-1.0	0.0	0.0	0.0	50.0
C00269	CDP-diacylglycerol	-3.892	1.0	0.135	16.846	-1.182	70.0
C16219	3-Oxostearoyl-[acp]	-4.585	-3.459	0.0	0.0	0.0	50.0
C00263	L-Homoserine	0.222	1.291	0.172	3.613	-0.687	60.0
C16217	3-Hydroxyoctadecanoyl-CoA	-5.781	-3.0	0.0	0.0	0.0	50.0
C16216	3-Oxostearoyl-CoA	5.781	3.0	0.519	62.986	5.031	80.0
C00267	alpha-D-Glucose	-7.723	-3.798	0.0	0.0	0.0	50.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	-3.322	-2.322	0.0	0.0	0.0	50.0
C00286	dGTP	1.923	3.047	0.631	12.057	2.928	70.0
C00283	Hydrogen_sulfide	3.807	3.17	0.833	22.997	4.259	80.0
C00288	HCO3-	-3.248	4.087	0.559	26.495	-3.889	90.0
C04691	2-Dehydro-3-deoxy-D-arabino-heptonate_7-phosphate	3.7	-2.322	0.385	17.996	-2.792	80.0
C04053	5-Dehydro-4-deoxy-D-glucuronate	6.768	4.524	0.668	131.993	6.463	90.0
C01209	Malonyl-[acyl-carrier_protein]	6.312	4.17	0.661	97.452	6.009	90.0
C00217	D-Glutamate	-1.663	-3.585	0.0	0.0	0.0	50.0
C00212	Adenosine	3.087	1.0	0.324	10.497	1.766	70.0
C00036	Oxaloacetate	5.9	3.289	0.557	69.488	5.276	90.0
C05841	Nicotinate_D-ribonucleoside	2.807	1.0	0.356	8.998	1.681	70.0
C11907	4,6-Dideoxy-4-oxo-dTDP-D-glucose	-2.322	-3.807	0.0	0.0	0.0	50.0
C00033	Acetate	2.28	-2.263	0.988	9.657	-3.255	80.0
C00031	D-Glucose	5.44	-2.858	0.167	50.661	-3.081	80.0
C00137	myo-Inositol	-6.727	-3.7	0.0	0.0	0.0	50.0
C00134	Putrescine	3.585	1.585	0.442	15.0	2.729	70.0
C00133	D-Alanine	-3.807	3.907	0.933	28.998	-4.758	90.0
C00131	dATP	2.07	-0.531	0.344	5.644	-0.958	60.0
C00130	IMP	-2.724	0.716	0.249	8.25	-1.036	60.0
C00668	alpha-D-Glucose_6-phosphate	-5.066	-2.705	0.0	0.0	0.0	50.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	3.954	3.022	0.764	23.621	4.174	80.0
C00041	L-Alanine	3.773	3.907	0.966	28.672	4.791	80.0
C00040	Acyl-CoA	2.0	2.7	0.741	10.498	2.959	70.0
C00046	RNA	-7.208	4.077	0.114	164.728	-4.233	90.0
C00044	GTP	-6.398	-2.605	0.0	0.0	0.0	50.0
C00049	L-Aspartate	1.818	2.714	0.67	10.087	2.756	70.0
C00048	Glyoxylate	2.115	3.322	0.637	14.332	3.19	70.0
C06481	L-Seryl-tRNA(Sec)	-4.585	-3.907	0.0	0.0	0.0	50.0
C04236	(2S)-2-Isopropyl-3-oxosuccinate	-4.392	-1.0	0.0	0.0	0.0	50.0
C01100	L-Histidinol_phosphate	-4.935	3.17	0.294	39.591	-3.542	90.0
C01103	Orotidine_5'-phosphate	-3.7	3.17	0.693	21.997	-3.929	90.0
C05122	Taurocholate	1.0	1.0	1.0	4.0	2.0	70.0
C06007	(R)-2,3-Dihydroxy-3-methylpentanoate	-4.833	-2.248	0.0	0.0	0.0	50.0
C06006	(S)-2-Aceto-2-hydroxybutanoate	5.687	-2.585	0.116	57.518	-2.744	80.0
C05345	beta-D-Fructose_6-phosphate	5.433	4.279	0.788	62.615	5.624	90.0
C00221	beta-D-Glucose	-5.574	-3.563	0.0	0.0	0.0	50.0
C00387	Guanosine	3.0	1.0	0.333	10.0	1.737	70.0
C05466	Glycochenodeoxycholate	1.0	1.0	1.0	4.0	2.0	70.0
C05465	Taurochenodeoxycholate	1.0	1.0	1.0	4.0	2.0	70.0
C00035	GDP	3.162	-3.626	0.725	21.297	-3.949	90.0
C00253	Nicotinate	-2.0	-0.415	0.0	0.0	0.0	50.0
C00254	Prephenate	1.406	0.783	0.557	4.371	1.283	70.0
C05336	Selenomethionyl-tRNA(Met)	-5.322	-1.0	0.0	0.0	0.0	50.0
C00259	L-Arabinose	3.585	-6.248	0.158	88.004	-3.796	90.0
C01081	Thiamin_monophosphate	2.807	-3.585	0.583	18.999	-3.47	90.0
C00492	Raffinose	-1.585	3.0	0.375	11.0	-2.044	70.0
C00886	L-Alanyl-tRNA	-5.358	-3.907	0.0	0.0	0.0	50.0
C00498	ADP-glucose	-2.858	-7.096	0.0	0.0	0.0	50.0
C00078	L-Tryptophan	-3.298	1.0	0.203	11.836	-1.267	70.0
C00079	L-Phenylalanine	-1.068	1.99	0.528	6.069	-1.679	70.0
C00073	L-Methionine	3.079	2.668	0.867	14.806	3.681	80.0
C00077	L-Ornithine	-1.918	-1.585	0.0	0.0	0.0	50.0
C00074	Phosphoenolpyruvate	-6.07	-6.807	0.0	0.0	0.0	50.0
C00075	UTP	7.252	3.194	0.44	161.581	6.153	90.0
C06032	D-erythro-3-Methylmalate	2.115	-2.517	0.757	10.056	-2.928	80.0
C00085	D-Fructose_6-phosphate	3.228	-3.322	0.937	19.37	-4.182	90.0
C00083	Malonyl-CoA	3.574	-4.087	0.701	28.904	-4.34	90.0
C00082	L-Tyrosine	-2.248	0.022	0.214	5.766	-0.301	60.0
C04640	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine	-4.858	-1.0	0.0	0.0	0.0	50.0
C00089	Sucrose	-2.322	2.663	0.789	11.334	-3.162	80.0
C00671	(S)-3-Methyl-2-oxopentanoic_acid	-2.965	-0.637	0.0	0.0	0.0	50.0
C01921	Glycocholate	1.0	1.0	1.0	4.0	2.0	70.0
C00673	2-Deoxy-D-ribose_5-phosphate	3.807	-0.585	0.107	15.497	-0.732	60.0
C01250	N-Acetyl-L-glutamate_5-semialdehyde	-2.202	-1.138	0.0	0.0	0.0	50.0
C00106	Uracil	2.379	4.524	0.526	28.209	3.891	80.0
C00105	UMP	-1.787	1.322	0.724	5.951	-2.108	80.0
C00103	D-Glucose_1-phosphate	3.935	-1.536	0.19	18.195	-1.786	70.0
C00100	Propanoyl-CoA	-3.585	-0.415	0.0	0.0	0.0	50.0
C00101	Tetrahydrofolate	-1.026	0.515	0.702	3.465	-1.282	70.0
C00109	2-Oxobutanoate	-0.663	3.395	0.151	12.103	-0.865	60.0
C04702	UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)	2.807	1.0	0.356	8.998	1.681	70.0
C05764	Hexadecanoyl-[acp]	5.768	4.17	0.723	72.494	5.712	90.0
C05761	Tetradecanoyl-[acp]	5.768	4.17	0.723	72.494	5.712	90.0
C05760	trans-Tetradec-2-enoyl-[acp]	-3.0	-4.087	0.0	0.0	0.0	50.0
C05763	trans-Hexadec-2-enoyl-[acp]	-3.0	-4.087	0.0	0.0	0.0	50.0
C05762	3-Oxohexadecanoyl-[acp]	-4.373	-3.087	0.0	0.0	0.0	50.0
C00008	ADP	-2.624	-3.298	0.0	0.0	0.0	50.0
C02992	L-Threonyl-tRNA(Thr)	-6.066	-5.585	0.0	0.0	0.0	50.0
C00179	Agmatine	-4.322	3.0	0.4	28.001	-3.485	90.0
C03090	5-Phosphoribosylamine	1.138	4.868	0.234	31.403	2.876	70.0
C01077	O-Acetyl-L-homoserine	3.807	4.0	0.952	29.997	4.835	80.0
C11435	4-(Cytidine_5'-diphospho)-2-C-methyl-D-erythritol	-1.222	1.585	0.778	5.333	-2.052	80.0
C11436	2-Phospho-4-(cytidine_5'-diphospho)-2-C-methyl-D-erythritol	0.415	-1.585	0.444	4.333	-0.945	60.0
C00857	Deamino-NAD+	3.544	-3.459	0.943	22.661	-4.417	90.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	1.0	1.0	1.0	4.0	2.0	70.0
C04411	(2R,3S)-3-Isopropylmalate	2.202	-2.609	0.754	10.702	-3.013	80.0
C01172	beta-D-Glucose_6-phosphate	-4.928	-1.71	0.0	0.0	0.0	50.0
C18796	(2R)-2-Hydroxy-2-methylbutanenitrile	-7.14	-4.672	0.0	0.0	0.0	50.0
C08334	Lotaustralin	7.14	4.672	0.654	166.536	6.768	90.0
C02412	Glycyl-tRNA(Gly)	-8.895	-4.807	0.0	0.0	0.0	50.0
C00680	meso-2,6-Diaminoheptanedioate	-0.237	2.342	0.232	6.249	-0.539	60.0
C02553	L-Seryl-tRNA(Ser)	-4.585	-3.907	0.0	0.0	0.0	50.0
C00688	dTDP-4-dehydro-6-deoxy-beta-L-mannose	-2.503	3.17	0.63	14.669	-3.208	80.0
C05378	beta-D-Fructose_1,6-bisphosphate	5.304	-4.832	0.721	67.988	-5.615	90.0
C04349	(4S)-4,6-Dihydroxy-2,5-dioxohexanoate	-6.768	-3.644	0.0	0.0	0.0	50.0
C16220	3-Hydroxyoctadecanoyl-[acp]	-5.781	3.322	0.182	64.987	-3.563	90.0
C16221	(2E)-Octadecenoyl-[acp]	4.615	-4.087	0.694	41.499	-4.847	90.0
C00458	dCTP	3.35	3.0	0.896	18.196	4.026	80.0
C00459	dTTP	-3.051	3.585	0.691	20.288	-3.809	90.0
C04896	5-(5-Phospho-D-ribosylaminoformimino)-1-(5-phosphoribosyl)-imidazole-4-carboxamide	-2.322	2.585	0.833	11.0	-3.196	80.0
C00455	Nicotinamide_D-ribonucleotide	-2.322	3.585	0.417	17.001	-2.825	80.0
C00332	Acetoacetyl-CoA	0.485	-0.363	0.919	2.686	-1.303	70.0
C00337	(S)-Dihydroorotate	-3.907	-2.503	0.0	0.0	0.0	50.0
C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier_protein]	-4.615	3.322	0.408	34.505	-3.816	90.0
C01269	5-O-(1-Carboxyvinyl)-3-phosphoshikimate	2.322	-2.585	0.833	11.0	-3.196	80.0
C00631	2-Phospho-D-glycerate	0.128	-0.594	0.724	2.602	-0.914	60.0
C02528	Chenodeoxycholate	-1.0	-1.0	0.0	0.0	0.0	50.0
C01594	Linamarin	7.14	4.672	0.654	166.536	6.768	90.0
C00208	Maltose	-4.755	-1.585	0.0	0.0	0.0	50.0
C00204	2-Dehydro-3-deoxy-D-gluconate	4.248	0.322	0.076	20.251	0.618	60.0
C00206	dADP	2.874	2.237	0.778	12.045	3.229	70.0
C00025	L-Glutamate	-2.32	-1.263	0.0	0.0	0.0	50.0
C00024	Acetyl-CoA	2.917	2.299	0.788	12.474	3.297	80.0
C00148	L-Proline	1.152	2.07	0.557	6.421	1.837	70.0
C00026	2-Oxoglutarate	3.322	-2.585	0.6	16.001	-3.263	80.0
C00021	S-Adenosyl-L-homocysteine	-5.959	2.954	0.125	69.956	-3.123	80.0
C00020	AMP	-3.459	0.678	0.145	12.597	-0.874	60.0
C00022	Pyruvate	-3.676	5.066	0.382	46.28	-4.142	90.0
C00143	5,10-Methylenetetrahydrofolate	-1.008	0.425	0.668	3.354	-1.163	70.0
C00140	N-Acetyl-D-glucosamine	4.248	-3.737	0.702	32.335	-4.504	90.0
C00141	3-Methyl-2-oxobutanoic_acid	-3.491	-0.854	0.0	0.0	0.0	50.0
C00029	UDP-glucose	-5.351	-2.962	0.0	0.0	0.0	50.0
C00147	Adenine	1.644	-0.322	0.4	4.375	-0.807	60.0
C00144	GMP	-4.087	-0.788	0.0	0.0	0.0	50.0
C05729	R-S-Cysteinylglycine	5.931	3.807	0.642	75.008	5.589	90.0
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	-3.259	-4.181	0.0	0.0	0.0	50.0
C03232	3-Phosphonooxypyruvate	4.293	1.766	0.411	23.004	3.242	70.0
C02739	1-(5-Phospho-D-ribosyl)-ATP	2.115	2.222	0.952	8.997	3.098	70.0
C05726	S-Substituted_L-cysteine	-5.931	-3.807	0.0	0.0	0.0	50.0
C06250	Holo-[carboxylase]	7.004	-1.585	0.023	131.355	-1.618	70.0
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	3.0	1.585	0.528	11.0	2.539	70.0
C00092	D-Glucose_6-phosphate	-6.047	-2.678	0.0	0.0	0.0	50.0
C06037	Digalactosyl-diacylglycerol	2.322	3.7	0.628	17.996	3.497	80.0
C03511	L-Phenylalanyl-tRNA(Phe)	-4.755	-4.585	0.0	0.0	0.0	50.0
C03512	L-Tryptophanyl-tRNA(Trp)	-3.322	-1.0	0.0	0.0	0.0	50.0
C03287	L-Glutamyl_5-phosphate	-1.7	-2.248	0.0	0.0	0.0	50.0
C03125	L-Cysteinyl-tRNA(Cys)	-3.585	-3.0	0.0	0.0	0.0	50.0
C03127	L-Isoleucyl-tRNA(Ile)	-5.492	-1.0	0.0	0.0	0.0	50.0
C03692	1,2-Diacyl-3-beta-D-galactosyl-sn-glycerol	-2.322	-3.7	0.0	0.0	0.0	50.0
C20373	3-Hydroxyglutaryl-[acp]_methyl_ester	-5.781	3.322	0.182	64.987	-3.563	90.0
C20372	3-Ketoglutaryl-[acp]_methyl_ester	-4.585	-3.459	0.0	0.0	0.0	50.0
C20377	3-Hydroxypimeloyl-[acp]_methyl_ester	-5.781	3.322	0.182	64.987	-3.563	90.0
C20376	3-Ketopimeloyl-[acp]_methyl_ester	-4.585	-3.459	0.0	0.0	0.0	50.0
C20375	Glutaryl-[acp]_methyl_ester	5.17	4.17	0.807	54.003	5.445	90.0
C20374	Enoylglutaryl-[acp]_methyl_ester	5.426	-4.087	0.395	59.987	-4.568	90.0
C20378	Enoylpimeloyl-[acp]_methyl_ester	5.426	-4.087	0.395	59.987	-4.568	90.0
C04916	N-(5'-Phospho-D-1'-ribulosylformimino)-5-amino-1-(5''-phospho-D-ribosyl)-4-imidazolecarboxamide	0.585	-3.459	0.136	12.497	-0.769	60.0
C00416	Phosphatidate	3.858	2.939	0.762	22.169	4.078	80.0
C00037	Glycine	4.735	-0.089	0.04	27.694	-0.146	60.0
C04851	MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho-undecaprenol	-2.322	3.907	0.333	20.001	-2.737	80.0
C00993	D-Alanyl-D-alanine	-2.807	-3.907	0.0	0.0	0.0	50.0
C01798	D-Glucoside	7.14	4.672	0.654	166.536	6.768	90.0
C00620	alpha-D-Ribose_1-phosphate	6.57	1.807	0.275	98.509	4.76	80.0
C02686	Galactosylceramide	-1.415	-3.7	0.0	0.0	0.0	50.0
C00243	Lactose	10.522	2.115	0.201	1474.739	8.212	90.0
C00242	Guanine	2.243	-1.0	0.422	6.734	-1.508	70.0
C00245	Taurine	1.585	-1.0	0.667	5.0	-1.737	70.0
C01097	D-Tagatose_6-phosphate	4.807	5.555	0.865	75.007	6.02	90.0
C00561	Mandelonitrile	-7.14	-4.672	0.0	0.0	0.0	50.0
C01094	D-Fructose_1-phosphate	6.672	3.322	0.498	111.97	5.801	90.0
C00068	Thiamin_diphosphate	2.528	0.838	0.331	7.555	1.325	70.0
C00342	Thioredoxin	2.138	-3.496	0.39	15.684	-2.613	80.0
C00343	Thioredoxin_disulfide	-2.907	3.544	0.643	19.165	-3.623	90.0
C05684	Selenite	3.7	3.7	1.0	25.992	4.7	80.0
C00063	CTP	7.542	3.632	0.482	198.764	6.581	90.0
C00062	L-Arginine	-3.879	-1.0	0.0	0.0	0.0	50.0
C00065	L-Serine	-2.452	0.981	0.361	7.446	-1.425	70.0
C00064	L-Glutamine	2.563	-3.478	0.53	17.052	-3.177	80.0
C11811	1-Hydroxy-2-methyl-2-butenyl_4-diphosphate	-2.807	-3.585	0.0	0.0	0.0	50.0
C16633	5-Fluorouridine	3.907	3.907	1.0	30.002	4.907	80.0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	2.338	-1.293	0.485	7.506	-1.863	70.0
C16634	5-Fluorouridine_monophosphate	-4.248	-3.907	0.0	0.0	0.0	50.0
C19673	Malonyl-[acp]_methyl_ester	6.19	4.17	0.674	91.01	5.938	90.0
C01267	3-(Imidazol-4-yl)-2-oxopropyl_phosphate	3.369	-0.341	0.123	11.598	-0.508	60.0
C05399	Melibiitol	2.322	3.7	0.628	17.996	3.497	80.0
C00117	D-Ribose_5-phosphate	-4.759	3.568	0.438	38.937	-4.092	90.0
C00116	Glycerol	-2.322	-1.0	0.0	0.0	0.0	50.0
C00111	Glycerone_phosphate	-3.899	0.93	0.128	16.823	-1.103	70.0
C00112	CDP	-2.824	-5.524	0.0	0.0	0.0	50.0
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	-2.678	-3.487	0.0	0.0	0.0	50.0
C00118	D-Glyceraldehyde_3-phosphate	5.338	4.617	0.865	64.987	5.813	90.0
C05750	3-Oxooctanoyl-[acp]	-4.373	-3.087	0.0	0.0	0.0	50.0
C05751	trans-Oct-2-enoyl-[acp]	-3.0	-4.087	0.0	0.0	0.0	50.0
C05752	Octanoyl-[acp]	5.362	4.17	0.778	59.128	5.523	90.0
C05753	3-Oxodecanoyl-[acp]	-4.373	-3.087	0.0	0.0	0.0	50.0
C05754	trans-Dec-2-enoyl-[acp]	-3.0	-4.087	0.0	0.0	0.0	50.0
C05755	Decanoyl-[acp]	5.768	4.17	0.723	72.494	5.712	90.0
C05756	3-Oxododecanoyl-[acp]	-4.585	-3.459	0.0	0.0	0.0	50.0
C05757	(R)-3-Hydroxydodecanoyl-[acp]	-4.615	3.322	0.408	34.505	-3.816	90.0
C05758	trans-Dodec-2-enoyl-[acp]	-3.0	-4.087	0.0	0.0	0.0	50.0
C05759	3-Oxotetradecanoyl-[acp]	-4.585	-3.459	0.0	0.0	0.0	50.0
C00188	L-Threonine	3.437	2.546	0.741	16.67	3.626	80.0
C02702	L-Prolyl-tRNA(Pro)	-4.0	-4.087	0.0	0.0	0.0	50.0
C00185	Cellobiose	7.14	2.907	0.407	148.544	5.918	90.0
C00181	D-Xylose	5.672	-3.322	0.196	60.985	-3.58	90.0
C00159	D-Mannose	-1.585	2.97	0.383	10.835	-2.053	80.0
C02839	L-Tyrosyl-tRNA(Tyr)	-3.585	-2.807	0.0	0.0	0.0	50.0
C00842	dTDP-glucose	-2.0	-2.585	0.0	0.0	0.0	50.0
C02554	L-Valyl-tRNA(Val)	-4.17	-1.0	0.0	0.0	0.0	50.0
C01290	beta-D-Galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide	10.522	3.322	0.316	1480.408	8.868	90.0
C00445	5,10-Methenyltetrahydrofolate	2.165	0.059	0.027	5.526	-2.731	80.0
C01762	Xanthosine	2.954	1.0	0.339	9.749	1.723	70.0
C00441	L-Aspartate_4-semialdehyde	1.959	2.585	0.758	9.888	2.906	70.0
C00440	5-Methyltetrahydrofolate	2.291	2.807	0.816	11.892	3.279	80.0
C00526	Deoxyuridine	-2.678	1.0	0.313	8.4	-1.392	70.0
C11453	2-C-Methyl-D-erythritol_2,4-cyclodiphosphate	3.426	3.209	0.937	19.995	4.227	80.0
C00448	trans,trans-Farnesyl_diphosphate	-3.406	1.0	0.189	12.6	-1.249	70.0
C04882	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine	2.807	1.0	0.356	8.998	1.681	70.0
C01190	beta-D-Glucosyl-(1<->1)-ceramide	-9.937	-3.322	0.0	0.0	0.0	50.0
C04133	N-Acetyl-L-glutamate_5-phosphate	-0.874	1.415	0.687	4.499	-1.629	70.0
C03838	5'-Phosphoribosylglycinamide	-1.322	-5.644	0.0	0.0	0.0	50.0
C05400	Epimelibiose	2.322	3.7	0.628	17.996	3.497	80.0
C05401	3-beta-D-Galactosyl-sn-glycerol	2.322	3.7	0.628	17.996	3.497	80.0
C05402	Melibiose	1.585	-3.0	0.375	11.0	-2.044	70.0
C05404	D-Gal_alpha_1->6D-Gal_alpha_1->6D-Glucose	2.322	-3.907	0.333	20.001	-2.737	80.0
C03939	Acetyl-[acyl-carrier_protein]	-7.528	4.17	0.098	202.568	-4.304	90.0
C04039	2,3-Dihydroxy-3-methylbutanoate	-5.492	-2.807	0.0	0.0	0.0	50.0
C05335	L-Selenomethionine	4.459	-2.585	0.273	27.994	-2.933	80.0
C01222	GDP-4-dehydro-6-deoxy-D-mannose	-3.322	-2.585	0.0	0.0	0.0	50.0
C00624	N-Acetyl-L-glutamate	3.0	-1.585	0.375	11.0	-2.044	70.0
C00231	D-Xylulose_5-phosphate	-5.032	1.802	0.107	36.205	-1.948	70.0
C00234	10-Formyltetrahydrofolate	-0.339	-1.04	0.0	0.0	0.0	50.0
C01613	Stachyose	1.585	4.322	0.367	23.001	3.076	70.0
C00010	CoA	-1.0	-3.0	0.0	0.0	0.0	50.0
C00158	Citrate	0.026	-1.83	0.286	4.574	-0.389	60.0
C00014	Ammonia	-4.471	3.191	0.412	31.31	-3.689	90.0
C00015	UDP	-3.0	-4.575	0.0	0.0	0.0	50.0
C00019	S-Adenosyl-L-methionine	5.5	-1.585	0.066	48.255	-1.678	70.0
C00153	Nicotinamide	-3.524	-1.0	0.0	0.0	0.0	50.0
C00152	L-Asparagine	3.218	-3.434	0.861	20.113	-4.114	90.0
C00155	L-Homocysteine	2.592	-0.402	0.219	7.351	-0.688	60.0
C02336	beta-D-Fructose	2.17	-4.17	0.25	22.501	-2.492	80.0
C03785	D-Tagatose_1,6-bisphosphate	-4.807	-5.555	0.0	0.0	0.0	50.0
C04620	(3R)-3-Hydroxyoctanoyl-[acyl-carrier_protein]	-4.402	2.954	0.367	28.89	-3.405	80.0
C00655	Xanthosine_5'-phosphate	-3.575	0.663	0.133	13.501	-0.843	60.0
C00718	Amylose	-3.524	-4.0	0.0	0.0	0.0	50.0
C17556	di-trans,poly-cis-Undecaprenyl_phosphate	3.459	1.0	0.289	12.997	1.91	70.0
C04442	2-Dehydro-3-deoxy-6-phospho-D-gluconate	-1.322	2.585	0.417	8.5	-1.825	70.0
C01127	4-Hydroxy-2-oxoglutarate	5.248	3.459	0.659	48.999	5.013	80.0
C05143	Dhurrin	7.14	4.672	0.654	166.536	6.768	90.0
C18902	Methylselenic_acid	3.7	3.7	1.0	25.992	4.7	80.0
C00979	O-Acetyl-L-serine	1.474	1.415	0.96	5.445	2.386	70.0
C04246	But-2-enoyl-[acyl-carrier_protein]	-3.0	-4.087	0.0	0.0	0.0	50.0
C03373	Aminoimidazole_ribotide	-4.982	3.907	0.475	46.604	-4.467	90.0
C06055	O-Phospho-4-hydroxy-L-threonine	-3.985	-2.17	0.0	0.0	0.0	50.0
C03972	2,3,4,5-Tetrahydrodipicolinate	-0.737	-0.415	0.0	0.0	0.0	50.0
C00577	D-Glyceraldehyde	-6.672	-1.0	0.0	0.0	0.0	50.0
C00279	D-Erythrose_4-phosphate	5.33	-0.628	0.038	41.77	-0.682	60.0
C00275	D-Mannose_6-phosphate	4.682	-4.115	0.675	42.997	-4.859	90.0
C02474	Arabinan	4.755	6.629	0.717	125.978	6.498	90.0
C00900	2-Acetolactate	5.687	-2.585	0.116	57.518	-2.744	80.0
