compound_code	compound_name	clostridium_mock_score	mollicute_mock_score	ratio	magnitude	interaction_score	percentile
C19878	D-glycero-alpha-D-manno-Heptose_7-phosphate	1.585	-2.585	0.5	9.0	-2.17	70.0
C19879	D-glycero-alpha-D-manno-Heptose_1,7-bisphosphate	-1.585	-3.907	0.2	18.001	-1.848	60.0
C02047	L-Leucyl-tRNA	-3.17	-3.585	0.75	21.001	-3.977	90.0
C00106	Uracil	-0.29	0.363	0.951	2.509	-1.254	50.0
C00342	Thioredoxin	3.406	4.585	0.743	34.601	4.684	90.0
C00343	Thioredoxin_disulfide	-3.17	-4.585	0.375	33.001	-3.629	90.0
C03082	4-Phospho-L-aspartate	2.07	2.536	0.816	9.999	3.029	80.0
C00103	D-Glucose_1-phosphate	3.36	-3.636	0.826	22.7	-4.229	90.0
C04377	5,10-Methylenetetrahydromethanopterin	-2.0	-3.807	0.286	17.997	-2.363	70.0
C00101	Tetrahydrofolate	3.933	-1.215	0.152	17.595	-1.419	60.0
C00063	CTP	4.847	4.935	0.982	59.37	5.866	90.0
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	-2.585	4.342	0.296	26.28	-2.959	80.0
C00064	L-Glutamine	-0.17	-1.939	0.293	4.959	-0.541	50.0
C00109	2-Oxobutanoate	0.963	1.585	0.608	4.949	1.588	70.0
C16633	5-Fluorouridine	2.0	5.248	0.381	42.002	4.001	90.0
C00860	L-Histidinol	1.0	-2.0	0.5	6.0	-1.585	60.0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	1.322	2.0	0.661	6.5	2.103	80.0
C16634	5-Fluorouridine_monophosphate	-2.0	-5.248	0.105	42.002	-2.144	70.0
C00279	D-Erythrose_4-phosphate	-0.637	-3.907	0.104	16.556	-0.779	50.0
C01412	Butanal	4.807	5.17	0.93	63.995	5.895	90.0
C00361	dGDP	1.585	4.891	0.324	32.671	3.404	80.0
C02686	Galactosylceramide	-0.585	-3.585	0.125	13.5	-0.755	50.0
C00668	alpha-D-Glucose_6-phosphate	4.02	3.491	0.868	27.467	4.576	90.0
C03402	L-Asparaginyl-tRNA(Asn)	-2.17	-2.322	0.9	9.5	-3.096	80.0
C05399	Melibiitol	0.585	3.585	0.163	13.5	1.139	60.0
C00475	Cytidine	-0.536	-2.11	0.336	5.767	-0.954	50.0
C12215	Iminoerythrose_4-phosphate	-1.0	-4.585	0.083	26.001	-1.115	50.0
C12214	Aminofructose_6-phosphate	1.0	4.585	0.218	26.001	2.504	80.0
C00234	10-Formyltetrahydrofolate	-4.492	-0.757	0.075	24.192	-0.861	50.0
C00117	D-Ribose_5-phosphate	-2.051	-0.158	0.269	5.26	-0.502	50.0
C00116	Glycerol	1.7	-2.459	0.591	8.747	-2.37	70.0
C00111	Glycerone_phosphate	2.357	-2.784	0.744	12.011	-3.159	80.0
C04349	(4S)-4,6-Dihydroxy-2,5-dioxohexanoate	-1.0	-5.285	0.051	40.989	-1.072	50.0
C00112	CDP	-2.322	-4.755	0.185	32.002	-2.567	70.0
C20248	7-Carboxy-7-carbaguanine	4.17	1.0	0.24	20.001	2.262	80.0
C00118	D-Glyceraldehyde_3-phosphate	6.589	2.4	0.364	101.547	5.209	90.0
C02909	(2-Naphthyl)methanol	2.954	5.17	0.571	43.751	4.644	90.0
C00269	CDP-diacylglycerol	0.485	2.293	0.212	6.3	0.414	60.0
C00262	Hypoxanthine	0.174	-1.766	0.332	4.529	-0.587	50.0
C01172	beta-D-Glucose_6-phosphate	-2.612	2.663	0.965	12.447	-3.587	80.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	-1.322	-3.807	0.179	16.497	-1.559	60.0
C00460	dUTP	4.358	3.585	0.823	32.507	4.741	90.0
C00159	D-Mannose	-0.585	-3.585	0.125	13.5	-0.755	50.0
C00286	dGTP	-3.115	-5.227	0.231	46.117	-3.415	80.0
C00124	D-Galactose	3.195	-3.585	0.763	21.158	-4.013	90.0
C00129	Isopentenyl_diphosphate	-3.524	-2.585	0.522	17.504	-3.191	80.0
C00294	Inosine	0.485	4.807	0.101	29.393	1.568	70.0
C03892	Phosphatidylglycerophosphate	-1.0	-4.392	0.095	22.995	-1.131	50.0
C00681	1-Acyl-sn-glycerol_3-phosphate	-0.515	-0.515	1.0	2.858	-1.515	60.0
C00680	meso-2,6-Diaminoheptanedioate	0.568	-1.051	0.715	3.554	-1.347	60.0
C02553	L-Seryl-tRNA(Ser)	-3.7	-3.907	0.866	27.997	-4.6	90.0
C05378	beta-D-Fructose_1,6-bisphosphate	-2.515	-4.807	0.204	33.709	-2.783	70.0
C04053	5-Dehydro-4-deoxy-D-glucuronate	1.585	5.285	0.3	41.989	3.655	90.0
C00514	D-Mannonate	4.524	1.585	0.35	26.007	3.188	80.0
C03150	Nicotinamide-beta-riboside	0.585	4.807	0.122	29.493	1.844	70.0
C00458	dCTP	-3.97	-4.728	0.591	42.172	-4.64	90.0
C00459	dTTP	1.322	3.392	0.39	12.998	2.341	80.0
C03539	S-Ribosyl-L-homocysteine	1.0	-2.0	0.5	6.0	-1.585	60.0
C00199	D-Ribulose_5-phosphate	0.617	-3.83	0.108	15.755	-0.765	50.0
C00217	D-Glutamate	1.0	1.0	1.0	4.0	2.0	70.0
C00469	Ethanol	2.954	5.17	0.571	43.751	4.644	90.0
C00212	Adenosine	0.322	4.807	0.067	29.243	0.97	60.0
C00037	Glycine	0.817	3.129	0.261	10.51	1.456	70.0
C00035	GDP	-2.415	4.919	0.176	35.586	-2.649	70.0
C00033	Acetate	1.441	3.087	0.467	11.212	2.388	80.0
C00031	D-Glucose	-0.222	3.644	0.093	13.668	-0.351	60.0
C00137	myo-Inositol	-0.585	-3.585	0.125	13.5	-0.755	50.0
C00136	Butanoyl-CoA	-4.807	-5.17	0.778	63.995	-5.637	90.0
C00135	L-Histidine	1.0	2.807	0.356	8.998	1.681	70.0
C00131	dATP	-1.926	2.7	0.585	10.298	-2.59	70.0
C00130	IMP	1.437	4.087	0.352	19.702	2.792	80.0
C01097	D-Tagatose_6-phosphate	3.0	4.807	0.624	35.993	4.489	90.0
C00299	Uridine	-0.628	0.241	0.765	2.727	-1.06	50.0
C04574	di-trans,poly-cis-Undecaprenyl_diphosphate	-1.0	2.322	0.4	7.0	-1.485	60.0
C01762	Xanthosine	0.585	4.807	0.122	29.493	1.844	70.0
C00441	L-Aspartate_4-semialdehyde	3.222	-3.55	0.797	21.043	-4.067	90.0
C00526	Deoxyuridine	0.415	1.926	0.215	5.133	0.145	60.0
C00448	trans,trans-Farnesyl_diphosphate	0.415	2.585	0.161	7.333	0.236	60.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	-1.0	-0.415	0.667	3.333	-1.152	50.0
C00041	L-Alanine	1.907	-2.807	0.536	10.749	-2.526	70.0
C00040	Acyl-CoA	0.363	3.503	0.104	12.623	0.387	60.0
C00047	L-Lysine	1.807	2.807	0.644	10.497	2.757	80.0
C00046	RNA	-4.104	-2.7	0.378	23.694	-3.162	80.0
C00044	GTP	-4.131	-3.826	0.809	31.703	-4.682	90.0
C00204	2-Dehydro-3-deoxy-D-gluconate	-4.059	5.304	0.422	56.174	-4.567	90.0
C00049	L-Aspartate	1.871	2.907	0.644	11.158	2.844	80.0
C00206	dADP	0.848	2.503	0.339	7.469	1.339	70.0
