compound_code	compound_name	bacteroides_mock_score	eubacterium_mock_score	ratio	magnitude	interaction_score	percentile
C00695	Cholic_acid	-1.0	-3.17	0.222	11.0	-1.289	50.0
C18096	D-Allulose_6-phosphate	-6.807	-5.285	0.348	150.962	-5.716	90.0
C00269	CDP-diacylglycerol	-3.892	-5.7	0.286	66.83	-4.254	70.0
C00506	L-Cysteate	3.907	3.0	0.768	23.001	4.143	70.0
C00263	L-Homoserine	0.222	1.503	0.148	4.001	-0.759	60.0
C00262	Hypoxanthine	-3.196	2.852	0.788	16.384	-3.69	70.0
C16217	3-Hydroxyoctadecanoyl-CoA	-5.781	-5.585	0.873	102.988	-6.49	90.0
C16216	3-Oxostearoyl-CoA	5.781	5.585	0.966	102.988	6.637	90.0
C00267	alpha-D-Glucose	-7.723	4.765	0.129	238.468	-4.94	80.0
C00266	Glycolaldehyde	-5.066	-6.443	0.385	120.501	-5.536	90.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	-3.322	-5.426	0.233	52.993	-3.624	70.0
C00460	dUTP	-3.7	4.209	0.703	31.49	-4.468	80.0
C00286	dGTP	1.923	-4.951	0.123	34.724	-2.09	50.0
C00283	Hydrogen_sulfide	3.807	3.585	0.942	25.997	4.614	80.0
C04432	tRNA_containing_6-isopentenyladenosine	-3.459	-3.807	0.786	24.993	-4.295	70.0
C00288	HCO3-	-3.248	-5.443	0.218	53.002	-3.533	70.0
C05688	L-Selenocysteine	2.585	2.0	0.774	10.0	2.952	70.0
C04691	2-Dehydro-3-deoxy-D-arabino-heptonate_7-phosphate	3.7	-3.907	0.866	27.997	-4.6	80.0
C04053	5-Dehydro-4-deoxy-D-glucuronate	6.768	2.807	0.415	115.984	5.588	80.0
C01209	Malonyl-[acyl-carrier_protein]	6.312	3.931	0.623	94.704	5.882	90.0
C00217	D-Glutamate	-1.663	4.392	0.151	24.162	-1.866	50.0
C00214	Thymidine	-1.585	2.0	0.75	7.0	-2.392	50.0
C00212	Adenosine	3.087	4.087	0.755	25.492	4.267	80.0
C00036	Oxaloacetate	5.9	6.503	0.907	150.412	7.092	90.0
C00037	Glycine	4.735	4.775	0.992	54.009	5.743	90.0
C11907	4,6-Dideoxy-4-oxo-dTDP-D-glucose	-2.322	4.807	0.179	32.993	-2.559	50.0
C00033	Acetate	2.28	4.598	0.496	29.075	3.85	70.0
C00031	D-Glucose	5.44	-3.672	0.294	56.158	-4.043	70.0
C00137	myo-Inositol	-6.727	-3.644	0.118	118.434	-3.805	70.0
C00135	L-Histidine	-1.459	1.222	0.849	5.082	-2.108	50.0
C00134	Putrescine	3.585	1.585	0.442	15.0	2.729	60.0
C00133	D-Alanine	-3.807	4.524	0.608	37.004	-4.493	80.0
C00131	dATP	2.07	-2.322	0.84	9.199	-2.949	60.0
C00130	IMP	-2.724	1.951	0.585	10.473	-2.616	50.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	3.954	-1.524	0.186	18.374	-1.77	50.0
C00042	Succinate	5.865	4.17	0.711	76.284	5.761	90.0
C00041	L-Alanine	3.773	4.392	0.859	34.666	4.896	80.0
C00040	Acyl-CoA	2.0	4.907	0.408	34.002	3.793	70.0
C00047	L-Lysine	4.044	3.807	0.941	30.492	4.843	80.0
C00046	RNA	-7.208	-5.087	0.23	181.84	-5.386	90.0
C00044	GTP	-6.398	-5.884	0.7	143.387	-6.65	90.0
C00049	L-Aspartate	1.818	3.232	0.563	12.922	2.862	60.0
C00048	Glyoxylate	2.115	3.954	0.535	19.83	3.407	70.0
C06481	L-Seryl-tRNA(Sec)	-4.585	-5.807	0.429	79.987	-5.1	80.0
C04236	(2S)-2-Isopropyl-3-oxosuccinate	-4.392	-5.129	0.6	55.989	-5.07	80.0
C01101	L-Ribulose_5-phosphate	6.807	4.0	0.588	127.972	6.233	90.0
C01100	L-Histidinol_phosphate	-4.935	-3.459	0.359	41.587	-3.902	70.0
C01103	Orotidine_5'-phosphate	-3.7	-6.052	0.196	79.345	-3.958	70.0
C05122	Taurocholate	1.0	3.17	0.315	11.0	1.795	60.0
C06007	(R)-2,3-Dihydroxy-3-methylpentanoate	-4.833	2.585	0.211	34.502	-2.861	60.0
C06006	(S)-2-Aceto-2-hydroxybutanoate	5.687	4.129	0.726	69.014	5.647	80.0
C04302	N-(5-Phospho-D-ribosyl)anthranilate	0.737	1.0	0.737	3.667	1.434	60.0
C05345	beta-D-Fructose_6-phosphate	5.433	6.025	0.902	108.32	6.61	90.0
C00221	beta-D-Glucose	-5.574	3.916	0.317	62.732	-4.313	80.0
C00817	D-Altronate	-4.03	2.115	0.265	20.668	-2.454	50.0
C05840	Iminoaspartate	2.503	3.907	0.641	20.67	3.727	70.0
C00387	Guanosine	3.0	4.087	0.734	24.995	4.197	80.0
C05466	Glycochenodeoxycholate	1.0	3.17	0.315	11.0	1.795	60.0
C05465	Taurochenodeoxycholate	1.0	3.17	0.315	11.0	1.795	60.0
C00035	GDP	3.162	-4.358	0.436	29.457	-3.685	70.0
C00253	Nicotinate	-2.0	-4.459	0.182	25.993	-2.241	50.0
C00250	Pyridoxal	0.585	4.17	0.14	19.501	1.452	60.0
C00251	Chorismate	-3.635	3.087	0.684	20.921	-3.839	70.0
C00254	Prephenate	1.406	-1.678	0.828	5.85	-2.276	50.0
C00255	Riboflavin	-3.322	5.392	0.238	51.991	-3.63	70.0
C05336	Selenomethionyl-tRNA(Met)	-5.322	-5.7	0.77	91.986	-6.145	90.0
C00259	L-Arabinose	3.585	-5.781	0.218	66.987	-3.87	70.0
C01081	Thiamin_monophosphate	2.807	-2.585	0.857	12.998	-3.478	60.0
C00559	Deoxyadenosine	2.536	3.17	0.8	14.8	3.566	70.0
C00491	L-Cystine	3.585	7.807	0.459	235.945	6.76	90.0
C00492	Raffinose	-1.585	-4.392	0.143	23.995	-1.778	50.0
C00886	L-Alanyl-tRNA	-5.358	-5.755	0.759	95.017	-6.173	90.0
C00498	ADP-glucose	-2.858	-7.105	0.053	144.913	-2.932	60.0
C00882	Dephospho-CoA	-2.322	-4.524	0.217	28.007	-2.606	50.0
C00881	Deoxycytidine	2.807	4.322	0.649	26.999	4.132	70.0
C00078	L-Tryptophan	-3.298	4.437	0.454	31.496	-3.838	70.0
C00079	L-Phenylalanine	-1.068	3.017	0.259	10.191	-1.4	50.0
C00073	L-Methionine	3.079	3.661	0.841	21.1	4.149	80.0
C00071	Aldehyde	-0.585	-6.687	0.015	104.536	-0.606	60.0
C00077	L-Ornithine	-1.918	-1.585	0.794	6.779	-2.428	50.0
C00074	Phosphoenolpyruvate	-6.07	-6.981	0.532	193.507	-6.685	90.0
C00075	UTP	7.252	6.969	0.961	277.709	8.06	90.0
C00085	D-Fructose_6-phosphate	3.228	7.107	0.454	147.224	6.063	90.0
C00084	Acetaldehyde	-0.485	3.663	0.11	14.067	-0.636	60.0
C00083	Malonyl-CoA	3.574	-3.491	0.944	23.153	-4.45	80.0
C00082	L-Tyrosine	-2.248	-0.553	0.309	6.217	-0.941	60.0
C00081	ITP	-3.322	4.17	0.556	28.001	-3.959	70.0
C04640	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine	-4.858	-6.129	0.414	98.987	-5.358	90.0
C05762	3-Oxohexadecanoyl-[acp]	-4.373	3.931	0.736	35.973	-4.727	80.0
C00089	Sucrose	-2.322	-5.931	0.082	66.011	-2.436	50.0
C02218	Dehydroalanine	-2.807	-1.585	0.429	9.998	-2.1	50.0
C00671	(S)-3-Methyl-2-oxopentanoic_acid	-2.965	2.29	0.626	12.699	-2.992	60.0
C01921	Glycocholate	1.0	3.17	0.315	11.0	1.795	60.0
C00673	2-Deoxy-D-ribose_5-phosphate	3.807	-1.585	0.214	16.997	-1.865	50.0
C01250	N-Acetyl-L-glutamate_5-semialdehyde	-2.202	2.678	0.719	11.001	-2.984	60.0
C00106	Uracil	2.379	2.888	0.824	12.604	3.376	70.0
C00105	UMP	-1.787	-0.065	0.303	4.497	-0.447	60.0
C00103	D-Glucose_1-phosphate	3.935	2.481	0.63	20.878	3.718	70.0
C00100	Propanoyl-CoA	-3.585	-3.565	0.986	23.835	-4.555	80.0
C00101	Tetrahydrofolate	-1.026	-2.655	0.323	8.335	-1.43	50.0
C00109	2-Oxobutanoate	-0.663	3.158	0.177	10.509	-0.899	60.0
C04702	UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)	2.807	2.0	0.713	10.998	2.97	70.0
C05764	Hexadecanoyl-[acp]	5.768	1.0	0.173	56.493	3.292	70.0
C05761	Tetradecanoyl-[acp]	5.768	1.0	0.173	56.493	3.292	70.0
C05760	trans-Tetradec-2-enoyl-[acp]	-3.0	1.585	0.375	11.0	-2.044	50.0
C05763	trans-Hexadec-2-enoyl-[acp]	-3.0	1.585	0.375	11.0	-2.044	50.0
C03175	Shikimate_3-phosphate	2.0	-2.7	0.616	10.498	-2.692	50.0
C00008	ADP	-2.624	4.47	0.278	28.326	-2.978	60.0
C02992	L-Threonyl-tRNA(Thr)	-6.066	-6.209	0.906	140.973	-6.996	90.0
C00179	Agmatine	-4.322	2.322	0.25	25.001	-2.644	50.0
C03090	5-Phosphoribosylamine	1.138	-2.678	0.344	8.6	-1.564	50.0
C07086	Phenylacetic_acid	4.392	5.524	0.795	67.009	5.735	80.0
C01077	O-Acetyl-L-homoserine	3.807	4.954	0.768	44.992	5.112	80.0
C01079	Protoporphyrinogen_IX	-2.0	-4.644	0.16	29.002	-2.214	50.0
C11435	4-(Cytidine_5'-diphospho)-2-C-methyl-D-erythritol	-1.222	0.678	0.686	3.933	-1.431	50.0
C11436	2-Phospho-4-(cytidine_5'-diphospho)-2-C-methyl-D-erythritol	0.415	-2.053	0.321	5.483	-0.817	60.0
C00857	Deamino-NAD+	3.544	2.807	0.792	18.662	3.886	70.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	1.0	1.0	1.0	4.0	2.0	60.0
C04411	(2R,3S)-3-Isopropylmalate	2.202	2.678	0.822	11.001	3.177	70.0
C01172	beta-D-Glucose_6-phosphate	-4.928	4.644	0.821	55.445	-5.509	90.0
C01177	Inositol_1-phosphate	6.858	1.0	0.146	118.002	4.105	70.0
C18796	(2R)-2-Hydroxy-2-methylbutanenitrile	-7.14	-5.524	0.326	187.058	-5.931	90.0
C08334	Lotaustralin	7.14	5.524	0.774	187.058	7.177	90.0
C02412	Glycyl-tRNA(Gly)	-8.895	-6.392	0.176	560.042	-6.626	90.0
C00680	meso-2,6-Diaminoheptanedioate	-0.237	4.918	0.039	31.41	-0.292	60.0
C02553	L-Seryl-tRNA(Ser)	-4.585	-5.807	0.429	79.987	-5.1	80.0
C00688	dTDP-4-dehydro-6-deoxy-beta-L-mannose	-2.503	-4.524	0.246	28.676	-2.821	60.0
C05378	beta-D-Fructose_1,6-bisphosphate	5.304	3.672	0.692	52.252	5.177	80.0
C00831	Pantetheine	3.0	3.907	0.768	23.001	4.143	70.0
C04349	(4S)-4,6-Dihydroxy-2,5-dioxohexanoate	-6.768	-2.7	0.06	115.484	-2.784	60.0
C16220	3-Hydroxyoctadecanoyl-[acp]	-5.781	-4.524	0.418	77.993	-5.028	80.0
C00921	Dihydropteroate	-3.0	3.17	0.889	17.0	-3.918	70.0
C00458	dCTP	3.35	-5.327	0.254	50.337	-3.677	70.0
C00459	dTTP	-3.051	4.312	0.417	28.151	-3.554	70.0
C04896	5-(5-Phospho-D-ribosylaminoformimino)-1-(5-phosphoribosyl)-imidazole-4-carboxamide	-2.322	2.322	1.0	10.0	-3.322	60.0
C00448	trans,trans-Farnesyl_diphosphate	-3.406	3.644	0.848	23.101	-4.292	70.0
C00455	Nicotinamide_D-ribonucleotide	-2.322	3.755	0.37	18.501	-2.777	60.0
C00354	D-Fructose_1,6-bisphosphate	-2.939	-4.605	0.315	32.004	-3.334	60.0
C00333	D-Galacturonate	5.0	6.17	0.81	104.004	6.397	90.0
C00337	(S)-Dihydroorotate	-3.907	1.874	0.244	18.667	-2.189	50.0
C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier_protein]	-4.615	-4.524	0.939	47.512	-5.479	90.0
C01269	5-O-(1-Carboxyvinyl)-3-phosphoshikimate	2.322	-2.7	0.77	11.498	-3.145	60.0
C00636	D-Mannose_1-phosphate	-4.358	3.095	0.417	29.051	-3.598	70.0
C00631	2-Phospho-D-glycerate	0.128	0.249	0.514	2.281	0.23	60.0
C02528	Chenodeoxycholate	-1.0	-3.17	0.222	11.0	-1.289	50.0
C01594	Linamarin	7.14	5.524	0.774	187.058	7.177	90.0
C16221	(2E)-Octadecenoyl-[acp]	4.615	1.585	0.343	27.505	3.24	70.0
C00208	Maltose	-4.755	-3.0	0.296	35.002	-3.374	60.0
C00204	2-Dehydro-3-deoxy-D-gluconate	4.248	4.322	0.983	39.002	5.261	80.0
C00206	dADP	2.874	7.077	0.406	142.348	5.853	90.0
C00025	L-Glutamate	-2.32	-4.875	0.17	34.337	-2.547	50.0
C00024	Acetyl-CoA	2.917	-4.381	0.362	28.389	-3.363	60.0
C00148	L-Proline	1.152	3.379	0.341	12.626	2.106	60.0
C00026	2-Oxoglutarate	3.322	-4.807	0.357	37.994	-3.763	70.0
C00021	S-Adenosyl-L-homocysteine	-5.959	-4.555	0.378	85.713	-5.017	80.0
C00020	AMP	-3.459	-3.565	0.929	22.832	-4.407	80.0
C00022	Pyruvate	-3.676	3.299	0.77	22.624	-4.123	70.0
C00143	5,10-Methylenetetrahydrofolate	-1.008	-1.312	0.81	4.494	-1.864	50.0
C00140	N-Acetyl-D-glucosamine	4.248	-1.585	0.158	22.001	-1.796	50.0
C00141	3-Methyl-2-oxobutanoic_acid	-3.491	-3.904	0.751	26.213	-4.299	70.0
C00029	UDP-glucose	-5.351	-1.131	0.054	43.004	-1.206	50.0
C00147	Adenine	1.644	2.644	0.622	9.376	2.543	60.0
C00144	GMP	-4.087	-2.725	0.389	23.606	-3.199	60.0
C05729	R-S-Cysteinylglycine	5.931	3.907	0.659	76.012	5.646	80.0
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	-3.259	-4.038	0.583	26.0	-3.921	70.0
C03232	3-Phosphonooxypyruvate	4.293	4.711	0.911	45.794	5.383	80.0
C02739	1-(5-Phospho-D-ribosyl)-ATP	2.115	-3.624	0.351	16.661	-2.549	50.0
C05726	S-Substituted_L-cysteine	-5.931	-3.907	0.246	76.012	-4.224	70.0
C00700	XTP	4.248	4.17	0.982	37.002	5.183	80.0
C06250	Holo-[carboxylase]	7.004	1.415	0.202	131.022	4.726	80.0
C02637	3-Dehydroshikimate	-3.059	-1.585	0.36	11.334	-2.029	50.0
C00314	Pyridoxine	0.737	4.17	0.177	19.668	1.797	60.0
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	3.0	4.17	0.719	26.001	4.225	80.0
C01134	Pantetheine_4'-phosphate	-1.874	4.79	0.132	31.331	-2.054	50.0
C00092	D-Glucose_6-phosphate	-6.047	-6.194	0.903	139.331	-6.975	90.0
C06037	Digalactosyl-diacylglycerol	2.322	6.022	0.386	69.984	4.754	80.0
C03511	L-Phenylalanyl-tRNA(Phe)	-4.755	-5.6	0.557	75.505	-5.394	90.0
C06032	D-erythro-3-Methylmalate	2.115	2.585	0.818	10.332	3.08	70.0
C03287	L-Glutamyl_5-phosphate	-1.7	-3.781	0.236	16.996	-2.006	50.0
C03125	L-Cysteinyl-tRNA(Cys)	-3.585	-3.807	0.857	25.997	-4.478	80.0
C03127	L-Isoleucyl-tRNA(Ile)	-5.492	-6.15	0.634	116.017	-6.2	90.0
C03692	1,2-Diacyl-3-beta-D-galactosyl-sn-glycerol	-2.322	-6.022	0.077	69.984	-2.429	50.0
C20373	3-Hydroxyglutaryl-[acp]_methyl_ester	-5.781	-4.524	0.418	77.993	-5.028	80.0
C20372	3-Ketoglutaryl-[acp]_methyl_ester	-4.585	4.322	0.833	44.002	-5.196	80.0
C20377	3-Hydroxypimeloyl-[acp]_methyl_ester	-5.781	-4.524	0.418	77.993	-5.028	80.0
C20376	3-Ketopimeloyl-[acp]_methyl_ester	-4.585	4.322	0.833	44.002	-5.196	80.0
C20375	Glutaryl-[acp]_methyl_ester	5.17	4.858	0.94	65.002	5.933	90.0
C20374	Enoylglutaryl-[acp]_methyl_ester	5.426	-4.7	0.605	68.984	-5.382	90.0
C20378	Enoylpimeloyl-[acp]_methyl_ester	5.426	-4.7	0.605	68.984	-5.382	90.0
C05401	3-beta-D-Galactosyl-sn-glycerol	2.322	6.022	0.386	69.984	4.754	80.0
C04916	N-(5'-Phospho-D-1'-ribulosylformimino)-5-amino-1-(5''-phospho-D-ribosyl)-4-imidazolecarboxamide	0.585	4.833	0.121	30.002	1.861	60.0
C00415	Dihydrofolate	0.737	-3.17	0.185	10.667	-0.982	60.0
C00416	Phosphatidate	3.858	5.363	0.719	55.655	5.323	80.0
C04851	MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho-undecaprenol	-2.322	4.0	0.313	21.0	-2.714	50.0
C01279	4-Amino-5-hydroxymethyl-2-methylpyrimidine	-1.0	1.585	0.667	5.0	-1.737	50.0
C01798	D-Glucoside	7.14	5.524	0.774	187.058	7.177	90.0
C00620	alpha-D-Ribose_1-phosphate	6.57	6.492	0.988	185.019	7.514	90.0
C04006	1D-myo-Inositol_3-phosphate	6.82	1.0	0.147	114.986	4.076	70.0
C02686	Galactosylceramide	-1.415	-6.022	0.041	67.65	-1.473	50.0
C00243	Lactose	10.522	5.129	0.487	1505.4	9.519	90.0
C00242	Guanine	2.243	-2.907	0.631	12.234	-2.949	60.0
C00245	Taurine	1.585	-3.17	0.333	12.001	-2.0	50.0
C00249	Hexadecanoic_acid	5.129	3.7	0.721	47.989	5.113	80.0
C01097	D-Tagatose_6-phosphate	4.807	6.943	0.692	151.035	6.708	90.0
C00561	Mandelonitrile	-7.14	-5.524	0.326	187.058	-5.931	90.0
C01094	D-Fructose_1-phosphate	6.672	6.629	0.994	200.945	7.641	90.0
C01721	L-Fuculose	-2.322	-3.0	0.625	13.0	-3.022	60.0
C00068	Thiamin_diphosphate	2.528	0.479	0.189	7.161	0.44	60.0
C00342	Thioredoxin	2.138	3.807	0.562	18.398	3.369	70.0
C00343	Thioredoxin_disulfide	-2.907	-3.807	0.536	21.497	-3.526	60.0
C00344	Phosphatidylglycerol	2.585	3.807	0.679	19.997	3.763	70.0
C05684	Selenite	3.7	5.524	0.67	59.01	5.305	80.0
C00063	CTP	7.542	7.129	0.945	326.339	8.269	90.0
C00062	L-Arginine	-3.879	-1.585	0.204	17.713	-1.853	50.0
C00065	L-Serine	-2.452	-3.92	0.361	20.609	-2.897	60.0
C00064	L-Glutamine	2.563	-3.033	0.722	14.094	-3.347	60.0
C11811	1-Hydroxy-2-methyl-2-butenyl_4-diphosphate	-2.807	6.658	0.069	107.983	-2.904	60.0
C16633	5-Fluorouridine	3.907	5.044	0.775	47.992	5.216	80.0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	2.338	-1.263	0.475	7.456	-1.823	50.0
C16635	5'-Deoxy-5-fluorocytidine	3.322	4.644	0.715	35.003	4.646	80.0
C16634	5-Fluorouridine_monophosphate	-4.248	-5.044	0.576	51.992	-4.904	80.0
C19673	Malonyl-[acp]_methyl_ester	6.19	4.858	0.785	102.009	6.323	90.0
C04079	N-((R)-Pantothenoyl)-L-cysteine	3.0	3.907	0.768	23.001	4.143	70.0
C01267	3-(Imidazol-4-yl)-2-oxopropyl_phosphate	3.369	-0.617	0.148	11.865	-0.817	60.0
C00666	LL-2,6-Diaminoheptanedioate	1.817	-1.716	0.932	6.809	-2.666	50.0
C02163	L-Arginyl-tRNA(Arg)	-2.807	-4.248	0.368	25.999	-3.259	60.0
C00117	D-Ribose_5-phosphate	-4.759	-6.497	0.3	117.399	-5.137	80.0
C00116	Glycerol	-2.322	-6.022	0.077	69.984	-2.429	50.0
C00111	Glycerone_phosphate	-3.899	-4.496	0.661	37.483	-4.631	80.0
C02380	6-Mercaptopurine	5.044	4.858	0.963	61.991	5.9	90.0
C00112	CDP	-2.824	-5.57	0.149	54.586	-3.024	60.0
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	-2.678	-3.234	0.68	15.808	-3.427	60.0
C00118	D-Glyceraldehyde_3-phosphate	5.338	7.282	0.733	196.081	7.167	90.0
C03492	D-4'-Phosphopantothenate	1.0	-2.322	0.4	7.0	-1.485	50.0
C05750	3-Oxooctanoyl-[acp]	-4.373	3.931	0.736	35.973	-4.727	80.0
