compound_code	compound_name	lactobacillus_mock_score	butyrivibrio_mock_score	ratio	magnitude	interaction_score	percentile
C00134	Putrescine	-3.17	6.009	0.14	73.401	-3.359	50.0
C00133	D-Alanine	7.647	5.833	0.763	257.441	7.617	90.0
C00131	dATP	6.046	-6.479	0.741	155.275	-6.846	90.0
C00130	IMP	-4.15	-2.346	0.286	22.837	-2.709	50.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	1.087	-4.585	0.089	26.125	-1.209	60.0
C00042	Succinate	2.322	4.7	0.494	30.992	3.937	60.0
C00041	L-Alanine	4.17	6.79	0.614	128.662	6.304	70.0
C00040	Acyl-CoA	3.478	7.654	0.454	212.554	6.594	80.0
C00047	L-Lysine	-3.392	-5.951	0.17	72.36	-3.618	60.0
C00046	RNA	-4.694	-7.76	0.119	242.651	-4.857	70.0
C00044	GTP	-5.31	-8.947	0.08	533.203	-5.422	80.0
C00049	L-Aspartate	1.69	5.666	0.298	54.0	4.01	60.0
C06481	L-Seryl-tRNA(Sec)	-6.615	-8.426	0.285	441.957	-6.977	90.0
C01101	L-Ribulose_5-phosphate	2.865	9.382	0.305	674.497	7.686	90.0
C01103	Orotidine_5'-phosphate	1.222	-6.59	0.024	98.668	-1.257	60.0
C01102	O-Phospho-L-homoserine	-1.322	-5.17	0.069	38.502	-1.419	60.0
C02888	Sorbose_1-phosphate	-4.392	-4.858	0.724	49.996	-5.178	80.0
C05122	Taurocholate	6.907	7.418	0.931	291.027	8.082	90.0
C03688	Apo-[acyl-carrier-protein]	5.322	8.155	0.653	325.038	7.729	90.0
C06006	(S)-2-Aceto-2-hydroxybutanoate	-3.459	9.809	0.012	908.019	-3.477	60.0
C01233	sn-Glycero-3-phosphoethanolamine	4.0	8.281	0.483	327.049	7.304	80.0
C00957	Mercaptopyruvate	8.765	3.907	0.446	450.04	7.648	90.0
C04302	N-(5-Phospho-D-ribosyl)anthranilate	3.17	-4.087	0.53	25.995	-3.783	60.0
C05345	beta-D-Fructose_6-phosphate	6.908	10.671	0.647	1750.481	10.146	90.0
C00424	(S)-Lactaldehyde	-1.0	-8.195	0.007	295.049	-1.01	60.0
C05223	Dodecanoyl-[acyl-carrier_protein]	-2.322	5.907	0.083	65.005	-2.437	50.0
C05466	Glycochenodeoxycholate	6.907	7.418	0.931	291.027	8.082	90.0
C00037	Glycine	-2.095	8.083	0.016	275.432	-2.118	50.0
C11907	4,6-Dideoxy-4-oxo-dTDP-D-glucose	-1.0	-8.214	0.007	298.934	-1.01	60.0
C00253	Nicotinate	-4.931	-7.583	0.159	222.245	-5.144	80.0
C00250	Pyridoxal	8.055	6.17	0.766	337.952	8.016	90.0
C00256	(R)-Lactate	4.426	7.392	0.599	189.459	6.826	80.0
C05338	4-Hydroxyphenylacetyl-CoA	2.585	4.7	0.55	31.992	4.137	60.0
C00255	Riboflavin	2.322	6.248	0.372	81.004	4.912	70.0
C05336	Selenomethionyl-tRNA(Met)	-3.459	-8.155	0.039	296.033	-3.514	60.0
C00258	D-Glycerate	2.17	4.256	0.51	23.607	3.589	60.0
C05335	L-Selenomethionine	3.459	6.409	0.54	95.974	5.695	70.0
C01083	alpha,alpha-Trehalose	6.508	-8.873	0.194	559.869	-6.764	90.0
C00559	Deoxyadenosine	-4.492	4.723	0.852	48.912	-5.381	80.0
C00491	L-Cystine	3.755	7.459	0.503	189.448	6.575	80.0
C00492	Raffinose	-5.7	-4.907	0.577	81.986	-5.564	80.0
C00886	L-Alanyl-tRNA	-3.907	-8.551	0.04	390.067	-3.964	60.0
C00498	ADP-glucose	-5.219	-11.558	0.012	3052.366	-5.237	80.0
C00882	Dephospho-CoA	-5.044	-7.109	0.239	171.036	-5.353	80.0
C00078	L-Tryptophan	3.459	5.624	0.615	60.313	5.213	70.0
C00079	L-Phenylalanine	2.883	3.469	0.831	18.45	3.939	60.0
C00072	Ascorbate	5.0	4.524	0.905	55.007	5.637	70.0
C00073	L-Methionine	-2.087	8.214	0.014	301.183	-2.107	50.0
C00077	L-Ornithine	1.0	7.366	0.136	166.963	4.503	70.0
C00074	Phosphoenolpyruvate	-8.696	-10.818	0.23	2219.993	-8.994	90.0
C00075	UTP	3.126	9.406	0.332	687.134	7.835	90.0
C16186	L-Ascorbate_6-phosphate	3.17	-4.524	0.391	32.007	-3.646	60.0
C00085	D-Fructose_6-phosphate	-3.471	10.541	0.007	1500.989	-3.482	60.0
C00083	Malonyl-CoA	-3.693	5.723	0.245	65.753	-4.009	60.0
C00082	L-Tyrosine	1.766	-2.919	0.45	10.964	-2.302	50.0
C00081	ITP	5.0	6.022	0.83	96.983	6.331	70.0
C04640	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine	-2.322	-4.585	0.208	29.001	-2.595	50.0
C00089	Sucrose	-6.683	-7.443	0.59	276.757	-7.352	90.0
C04646	6-Thioinosine-5'-monophosphate	2.585	8.185	0.316	297.025	6.552	80.0
C00670	sn-Glycero-3-phosphocholine	4.0	8.281	0.483	327.049	7.304	80.0
C00671	(S)-3-Methyl-2-oxopentanoic_acid	4.314	7.446	0.579	194.259	6.814	80.0
C01921	Glycocholate	6.907	7.418	0.931	291.027	8.082	90.0
C00673	2-Deoxy-D-ribose_5-phosphate	4.426	-3.807	0.651	35.493	-4.53	70.0
C00106	Uracil	-4.878	6.373	0.355	112.288	-5.316	80.0
C00105	UMP	0.593	-4.71	0.058	27.681	-0.674	60.0
C00103	D-Glucose_1-phosphate	6.54	5.816	0.889	149.391	7.054	80.0
C00100	Propanoyl-CoA	-10.569	-11.255	0.622	3963.05	-11.266	90.0
C00101	Tetrahydrofolate	1.485	-5.719	0.053	55.472	-1.56	60.0
C13638	1-(4'-Hydroxyphenyl)ethanol	4.392	4.858	0.904	49.996	5.498	70.0
C00109	2-Oxobutanoate	8.294	10.04	0.826	1366.653	10.141	90.0
C05764	Hexadecanoyl-[acp]	-2.322	5.907	0.083	65.005	-2.437	50.0
C05761	Tetradecanoyl-[acp]	-2.322	5.907	0.083	65.005	-2.437	50.0
C05760	trans-Tetradec-2-enoyl-[acp]	-3.459	6.15	0.155	82.009	-3.667	60.0
C05763	trans-Hexadec-2-enoyl-[acp]	-3.459	6.15	0.155	82.009	-3.667	60.0
C05762	3-Oxohexadecanoyl-[acp]	4.19	-2.0	0.219	22.252	-2.286	50.0
C00361	dGDP	7.793	6.786	0.871	332.137	8.176	90.0
C02992	L-Threonyl-tRNA(Thr)	-3.907	-8.714	0.036	434.93	-3.958	60.0
C03090	5-Phosphoribosylamine	2.678	-7.997	0.025	261.868	-2.714	50.0
C07086	Phenylacetic_acid	-4.807	9.246	0.046	635.181	-4.872	70.0
C11435	4-(Cytidine_5'-diphospho)-2-C-methyl-D-erythritol	2.0	-2.585	0.667	10.0	-2.737	50.0
C11436	2-Phospho-4-(cytidine_5'-diphospho)-2-C-methyl-D-erythritol	-2.0	-2.322	0.8	9.0	-2.848	50.0
C00857	Deamino-NAD+	-1.0	-6.56	0.021	96.353	-1.03	60.0
C04419	Carboxybiotin-carboxyl-carrier_protein	4.196	7.96	0.527	267.328	7.139	80.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	3.17	4.0	0.792	25.0	4.308	70.0
C01172	beta-D-Glucose_6-phosphate	-4.737	9.166	0.046	601.102	-4.802	70.0
C01177	Inositol_1-phosphate	4.17	7.285	0.572	173.957	6.638	80.0
C03892	Phosphatidylglycerophosphate	-3.585	-7.637	0.06	211.052	-3.669	60.0
C02412	Glycyl-tRNA(Gly)	-3.17	-8.804	0.02	455.96	-3.199	50.0
C00680	meso-2,6-Diaminoheptanedioate	1.485	-1.312	0.887	5.282	-2.228	50.0
C02553	L-Seryl-tRNA(Ser)	-6.615	-8.426	0.285	441.957	-6.977	90.0
C00688	dTDP-4-dehydro-6-deoxy-beta-L-mannose	-1.222	6.903	0.019	122.01	-1.25	60.0
C05378	beta-D-Fructose_1,6-bisphosphate	10.843	-9.348	0.355	2488.498	-9.786	90.0
C00448	trans,trans-Farnesyl_diphosphate	2.807	-2.7	0.929	13.496	-3.647	60.0
C02554	L-Valyl-tRNA(Val)	-4.524	-8.443	0.066	371.021	-4.616	70.0
C00512	S-Benzoate_coenzyme_A	-2.585	-4.7	0.231	31.992	-2.885	50.0
C16220	3-Hydroxyoctadecanoyl-[acp]	-3.322	-6.977	0.079	135.976	-3.432	50.0
C00921	Dihydropteroate	3.17	7.109	0.446	147.046	6.035	70.0
C00458	dCTP	-6.758	-8.959	0.217	605.888	-7.042	90.0
C04895	7,8-Dihydroneopterin_3'-triphosphate	1.874	-4.954	0.118	34.661	-2.035	50.0
C00455	Nicotinamide_D-ribonucleotide	3.322	-4.719	0.38	36.337	-3.786	60.0
C00330	Deoxyguanosine	5.585	5.923	0.943	108.675	6.679	80.0
C00332	Acetoacetyl-CoA	1.417	-4.469	0.121	24.817	-1.581	60.0
C00337	(S)-Dihydroorotate	-1.874	-5.209	0.099	40.654	-2.01	50.0
C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier_protein]	-3.322	-6.977	0.079	135.976	-3.432	50.0
C00631	2-Phospho-D-glycerate	-5.885	2.926	0.129	66.696	-3.101	50.0
C02528	Chenodeoxycholate	-6.907	-7.418	0.702	291.027	-7.674	90.0
C04046	3-D-Glucosyl-1,2-diacylglycerol	4.196	1.0	0.238	20.328	2.276	60.0
C00208	Maltose	6.022	-8.472	0.183	420.063	-6.264	80.0
C01212	UDP-N-acetylmuramoyl-L-alanine	3.524	3.781	0.932	25.25	4.557	70.0
C00025	L-Glutamate	3.851	5.922	0.65	75.062	5.609	70.0
C00024	Acetyl-CoA	-8.24	-8.417	0.885	644.132	-9.154	90.0
C00148	L-Proline	2.536	-4.322	0.29	25.801	-2.903	50.0
C00026	2-Oxoglutarate	3.981	-4.412	0.742	37.079	-4.782	70.0
C00021	S-Adenosyl-L-homocysteine	4.19	5.597	0.749	66.654	5.641	70.0
C00020	AMP	3.771	-6.484	0.153	103.163	-3.976	60.0
C00022	Pyruvate	-5.362	8.769	0.094	477.373	-5.492	80.0
C00143	5,10-Methylenetetrahydrofolate	-1.356	-7.131	0.018	142.726	-1.382	60.0
C00141	3-Methyl-2-oxobutanoic_acid	2.3	-7.449	0.028	179.657	-2.34	50.0
C00029	UDP-glucose	-6.268	-7.345	0.474	239.644	-6.828	90.0
C00147	Adenine	2.121	4.295	0.494	23.98	3.566	60.0
C00144	GMP	3.241	-7.547	0.051	196.468	-3.312	50.0
C05729	R-S-Cysteinylglycine	2.322	6.384	0.364	88.517	5.009	70.0
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	-5.141	-8.282	0.113	346.551	-5.296	80.0
C04633	(3R)-3-Hydroxypalmitoyl-[acyl-carrier_protein]	-2.954	-6.566	0.082	102.495	-3.067	50.0
C05726	S-Substituted_L-cysteine	-2.322	-6.384	0.06	88.517	-2.406	50.0
C00700	XTP	6.209	6.022	0.97	138.96	7.074	80.0
C06250	Holo-[carboxylase]	-3.868	-7.998	0.057	270.246	-3.948	60.0
C01528	Hydrogen_selenide	-5.746	-7.547	0.287	240.682	-6.11	80.0
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	-2.0	6.426	0.047	89.984	-2.066	50.0
C01134	Pantetheine_4'-phosphate	5.15	7.767	0.663	253.327	7.392	80.0
C06037	Digalactosyl-diacylglycerol	6.954	8.028	0.866	385.0	8.382	90.0
C03511	L-Phenylalanyl-tRNA(Phe)	-4.728	-7.873	0.113	260.929	-4.883	70.0
C03512	L-Tryptophanyl-tRNA(Trp)	-3.459	-8.2	0.037	305.063	-3.512	60.0
C03287	L-Glutamyl_5-phosphate	2.644	6.892	0.384	125.018	5.584	70.0
C03125	L-Cysteinyl-tRNA(Cys)	-3.459	-8.114	0.04	288.046	-3.515	60.0
C03127	L-Isoleucyl-tRNA(Ile)	-4.087	-8.17	0.059	305.01	-4.17	70.0
C03692	1,2-Diacyl-3-beta-D-galactosyl-sn-glycerol	-6.954	-8.028	0.475	385.0	-7.515	90.0
C20373	3-Hydroxyglutaryl-[acp]_methyl_ester	-3.322	-6.977	0.079	135.976	-3.432	50.0
C20372	3-Ketoglutaryl-[acp]_methyl_ester	4.585	-2.322	0.208	29.001	-2.595	50.0
C20377	3-Hydroxypimeloyl-[acp]_methyl_ester	-3.322	-6.977	0.079	135.976	-3.432	50.0
C20376	3-Ketopimeloyl-[acp]_methyl_ester	4.585	-2.322	0.208	29.001	-2.595	50.0
C20375	Glutaryl-[acp]_methyl_ester	-2.322	8.693	0.012	418.861	-2.339	50.0
C20374	Enoylglutaryl-[acp]_methyl_ester	-3.459	-8.155	0.039	296.033	-3.514	60.0
C05897	Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	1.585	7.735	0.205	216.043	5.468	70.0
C20378	Enoylpimeloyl-[acp]_methyl_ester	-3.459	-8.155	0.039	296.033	-3.514	60.0
C05980	Cardiolipin	-2.807	-7.87	0.03	240.939	-2.85	50.0
C04257	N-Acetyl-D-mannosamine_6-phosphate	6.304	7.861	0.802	311.498	7.965	90.0
C00415	Dihydrofolate	-1.078	6.33	0.026	82.56	-1.115	60.0
C00416	Phosphatidate	-4.163	-5.426	0.417	60.906	-4.666	70.0
C17949	N-Acetyldemethylphosphinothricin	-3.17	-5.392	0.214	50.991	-3.45	60.0
C04851	MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho-undecaprenol	1.585	7.735	0.205	216.043	5.468	70.0
C10700	4'-Hydroxyacetophenone	-4.392	-4.858	0.724	49.996	-5.178	80.0
C04006	1D-myo-Inositol_3-phosphate	4.17	7.285	0.572	173.957	6.638	80.0
C02686	Galactosylceramide	-6.066	-7.468	0.378	244.044	-6.529	90.0
C00243	Lactose	5.799	6.516	0.89	147.196	7.033	80.0
C00242	Guanine	-4.353	-2.624	0.302	26.6	-3.004	50.0
C00245	Taurine	-6.907	-7.418	0.702	291.027	-7.674	90.0
C01097	D-Tagatose_6-phosphate	8.275	11.526	0.718	3258.738	11.192	90.0
C01096	Sorbitol_6-phosphate	-6.358	4.858	0.354	111.026	-5.295	80.0
C01094	D-Fructose_1-phosphate	11.034	10.353	0.938	3404.705	11.641	90.0
C00068	Thiamin_diphosphate	-5.203	4.777	0.744	64.252	-5.58	80.0
C00342	Thioredoxin	-5.532	9.0	0.09	558.27	-5.657	80.0
C00343	Thioredoxin_disulfide	5.946	-9.0	0.12	573.649	-6.11	80.0
C00345	6-Phospho-D-gluconate	-6.17	-8.145	0.254	355.071	-6.497	80.0
C05684	Selenite	6.966	7.547	0.923	312.032	8.17	90.0
C05688	L-Selenocysteine	4.17	1.0	0.24	20.001	2.262	60.0
C00062	L-Arginine	-3.386	-5.044	0.317	43.445	-3.783	60.0
C00065	L-Serine	-2.677	-7.009	0.05	135.196	-2.747	50.0
C00064	L-Glutamine	-2.58	-7.294	0.038	162.912	-2.634	50.0
C00066	tRNA	2.585	6.943	0.372	129.042	5.586	70.0
C16633	5-Fluorouridine	2.585	7.577	0.341	196.943	6.07	70.0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	3.781	3.963	0.954	29.341	4.807	70.0
C16634	5-Fluorouridine_monophosphate	-2.585	-8.464	0.017	359.117	-2.609	50.0
C19673	Malonyl-[acp]_methyl_ester	3.17	8.693	0.365	422.861	7.269	80.0
C04079	N-((R)-Pantothenoyl)-L-cysteine	4.087	6.925	0.59	138.51	6.353	70.0
C00668	alpha-D-Glucose_6-phosphate	-6.343	8.772	0.186	518.332	-6.589	90.0
C05399	Melibiitol	6.954	8.028	0.866	385.0	8.382	90.0
C00663	beta-D-Glucose_1-phosphate	-3.7	4.322	0.65	32.997	-4.422	70.0
C02163	L-Arginyl-tRNA(Arg)	-2.585	-7.435	0.035	179.045	-2.634	50.0
C00114	Choline	-4.0	-8.281	0.051	327.049	-4.072	60.0
C00117	D-Ribose_5-phosphate	5.661	-10.034	0.048	1099.017	-5.729	80.0
C00116	Glycerol	-3.719	7.061	0.099	146.696	-3.855	60.0
C00111	Glycerone_phosphate	7.797	-6.386	0.376	306.031	-6.847	90.0
C02380	6-Mercaptopurine	3.17	7.864	0.403	241.97	6.608	80.0
C00112	CDP	-1.503	-7.547	0.015	189.848	-1.525	60.0
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	-6.983	-7.049	0.955	258.923	-7.95	90.0
C00118	D-Glyceraldehyde_3-phosphate	-9.982	5.968	0.062	1073.899	-6.055	80.0
C03492	D-4'-Phosphopantothenate	-2.0	-6.721	0.038	109.493	-2.054	50.0
C05750	3-Oxooctanoyl-[acp]	4.19	-2.0	0.219	22.252	-2.286	50.0
C05751	trans-Oct-2-enoyl-[acp]	-3.459	6.15	0.155	82.009	-3.667	60.0
C05752	Octanoyl-[acp]	-2.322	5.907	0.083	65.005	-2.437	50.0
C05753	3-Oxodecanoyl-[acp]	4.19	-2.0	0.219	22.252	-2.286	50.0
C05754	trans-Dec-2-enoyl-[acp]	-3.459	6.15	0.155	82.009	-3.667	60.0
C05755	Decanoyl-[acp]	-2.322	5.907	0.083	65.005	-2.437	50.0
C05756	3-Oxododecanoyl-[acp]	4.585	-2.322	0.208	29.001	-2.595	50.0
C05757	(R)-3-Hydroxydodecanoyl-[acp]	-3.322	-6.977	0.079	135.976	-3.432	50.0
C05758	trans-Dodec-2-enoyl-[acp]	-3.459	6.15	0.155	82.009	-3.667	60.0
C05759	3-Oxotetradecanoyl-[acp]	4.585	-2.322	0.208	29.001	-2.595	50.0
C00235	Dimethylallyl_diphosphate	-1.571	-8.912	0.006	484.674	-1.58	60.0
C01613	Stachyose	6.19	7.858	0.788	305.012	7.908	90.0
C00188	L-Threonine	-3.361	-3.577	0.861	22.208	-4.257	70.0
C00189	Ethanolamine	-4.0	-8.281	0.051	327.049	-4.072	60.0
C02702	L-Prolyl-tRNA(Pro)	-5.0	-8.371	0.097	363.072	-5.133	80.0
