compound_code	compound_name	lachnospiraceae_mock_score	lactobacillus_mock_score	ratio	magnitude	interaction_score	percentile
C00015	UDP	-3.087	-0.585	0.177	9.997	-0.82	60.0
C00018	Pyridoxal_phosphate	-1.0	-8.055	0.008	267.948	-1.011	60.0
C00065	L-Serine	-0.355	-2.677	0.2	7.674	-0.618	60.0
C05796	Galactan	2.807	8.449	0.332	356.462	6.888	90.0
C01528	Hydrogen_selenide	1.0	-5.746	0.037	55.668	-1.053	50.0
C00155	L-Homocysteine	-2.222	-3.532	0.403	16.233	-2.711	90.0
C05752	Octanoyl-[acp]	-1.585	-2.322	0.6	8.0	-2.263	80.0
C05746	3-Oxohexanoyl-[acp]	2.0	4.585	0.436	28.001	3.61	80.0
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	-1.0	-2.0	0.5	6.0	-1.585	60.0
C00091	Succinyl-CoA	-1.585	-7.6	0.015	197.012	-1.607	60.0
C16219	3-Oxostearoyl-[acp]	2.0	4.585	0.436	28.001	3.61	80.0
C05345	beta-D-Fructose_6-phosphate	3.763	6.908	0.545	133.668	6.186	90.0
C00077	L-Ornithine	-1.0	1.0	1.0	4.0	-2.0	70.0
C02051	Lipoylprotein	-1.585	-7.6	0.015	197.012	-1.607	60.0
C00221	beta-D-Glucose	-1.064	-7.943	0.008	248.174	-1.076	50.0
C05223	Dodecanoyl-[acyl-carrier_protein]	-1.585	-2.322	0.6	8.0	-2.263	80.0
C00229	Acyl-carrier_protein	-1.0	-4.392	0.095	22.995	-1.131	50.0
C00882	Dephospho-CoA	1.585	-5.044	0.091	35.991	-1.711	60.0
C05758	trans-Dodec-2-enoyl-[acp]	1.0	-3.459	0.182	12.997	-1.241	50.0
C00655	Xanthosine_5'-phosphate	0.369	3.298	0.112	11.127	0.316	70.0
C00118	D-Glyceraldehyde_3-phosphate	6.136	-9.982	0.07	1081.63	-6.233	90.0
C05759	3-Oxotetradecanoyl-[acp]	2.0	4.585	0.436	28.001	3.61	80.0
C03125	L-Cysteinyl-tRNA(Cys)	-2.322	-3.459	0.455	15.997	-2.863	90.0
C01172	beta-D-Glucose_6-phosphate	-1.585	-4.737	0.113	29.667	-1.739	70.0
C20373	3-Hydroxyglutaryl-[acp]_methyl_ester	-1.585	-3.322	0.3	13.001	-1.964	70.0
C20372	3-Ketoglutaryl-[acp]_methyl_ester	2.0	4.585	0.436	28.001	3.61	80.0
C20377	3-Hydroxypimeloyl-[acp]_methyl_ester	-1.585	-3.322	0.3	13.001	-1.964	70.0
C20376	3-Ketopimeloyl-[acp]_methyl_ester	2.0	4.585	0.436	28.001	3.61	80.0
C00008	ADP	-2.415	-6.646	0.053	105.482	-2.49	80.0
C00006	NADP+	1.0	6.011	0.166	66.49	3.467	80.0
C00005	NADPH	-1.0	-6.16	0.028	73.506	-1.04	50.0
C20378	Enoylpimeloyl-[acp]_methyl_ester	-1.0	-3.459	0.182	12.997	-1.241	50.0
C00002	ATP	2.524	-6.267	0.075	82.763	-2.628	90.0
C00369	Starch	0.893	4.807	0.186	29.85	2.471	80.0
C15972	Enzyme_N6-(lipoyl)lysine	-1.585	-5.066	0.09	36.498	-1.709	60.0
C04620	(3R)-3-Hydroxyoctanoyl-[acyl-carrier_protein]	-1.322	-2.954	0.323	10.249	-1.725	60.0
C16619	6-Thioguanosine_monophosphate	-1.0	-4.524	0.087	25.007	-1.12	50.0
C16618	6-Thioxanthine_5'-monophosphate	1.0	4.585	0.218	26.001	2.504	80.0
C00250	Pyridoxal	1.0	8.055	0.124	267.948	5.056	90.0
C02612	(R)-2-Methylmalate	1.0	0.585	0.585	3.5	1.034	70.0
C00255	Riboflavin	2.322	2.322	1.0	10.0	3.322	80.0
C05336	Selenomethionyl-tRNA(Met)	-1.0	-3.459	0.182	12.997	-1.241	50.0
C00259	L-Arabinose	-1.0	4.392	0.095	22.995	-1.131	50.0
C16615	6-Methylthiopurine_5'-monophosphate_ribonucleotide	-1.0	-3.17	0.222	11.0	-1.289	50.0
C16614	6-Methylmercaptopurine	1.0	3.17	0.315	11.0	1.795	70.0
C00327	L-Citrulline	2.0	2.722	0.735	10.598	2.961	80.0
C01083	alpha,alpha-Trehalose	-2.0	6.508	0.044	95.013	-2.062	70.0
C00491	L-Cystine	3.0	3.755	0.799	21.501	4.102	90.0
C00314	Pyridoxine	1.0	8.055	0.124	267.948	5.056	90.0
C00886	L-Alanyl-tRNA	-1.585	-3.907	0.2	18.001	-1.848	70.0
C00092	D-Glucose_6-phosphate	-3.459	-6.582	0.115	106.8	-3.616	90.0
C00093	sn-Glycerol_3-phosphate	-1.893	-1.463	0.742	6.471	-2.264	80.0
C00498	ADP-glucose	-0.503	-5.219	0.038	38.663	-0.557	60.0
C00095	D-Fructose	-2.0	4.824	0.141	32.325	-2.191	80.0
C00097	L-Cysteine	0.415	-5.926	0.022	62.133	-0.446	70.0
C01050	UDP-N-acetylmuramate	0.893	-4.692	0.072	27.705	-0.993	60.0
C00078	L-Tryptophan	0.585	3.459	0.169	12.497	1.08	70.0
C00079	L-Phenylalanine	-0.097	2.883	0.145	8.446	-0.292	70.0
C00993	D-Alanyl-D-alanine	-1.585	-8.214	0.01	299.934	-1.6	60.0
C00073	L-Methionine	3.585	-2.087	0.354	16.249	-2.524	80.0
C00121	D-Ribose	1.0	6.285	0.159	79.978	3.67	80.0
C02282	Glutaminyl-tRNA	-0.737	4.03	0.102	18.003	-0.877	60.0
C00074	Phosphoenolpyruvate	-0.848	-8.696	0.004	416.522	-0.854	60.0
C00075	UTP	2.619	3.126	0.838	14.873	3.639	80.0
C00979	O-Acetyl-L-serine	-0.585	6.78	0.014	111.396	-0.605	60.0
C00620	alpha-D-Ribose_1-phosphate	4.087	7.788	0.525	238.009	6.965	90.0
C15667	5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole	2.0	-5.524	0.087	50.014	-2.12	80.0
C00337	(S)-Dihydroorotate	2.322	-1.874	0.733	8.666	-2.667	90.0
C04246	But-2-enoyl-[acyl-carrier_protein]	1.0	-3.459	0.182	12.997	-1.241	50.0
C00123	L-Leucine	0.222	-1.222	0.5	3.499	-0.807	60.0
C00279	D-Erythrose_4-phosphate	-4.512	11.531	0.008	2982.034	-4.523	90.0
C00085	D-Fructose_6-phosphate	3.961	-3.471	0.712	26.662	-4.247	90.0
C00242	Guanine	1.0	-4.353	0.098	22.435	-1.135	50.0
C04640	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine	-3.0	-2.322	0.625	13.0	-3.022	90.0
C00089	Sucrose	2.0	-6.683	0.039	106.75	-2.055	70.0
C04646	6-Thioinosine-5'-monophosphate	-1.0	2.585	0.333	8.0	-1.415	50.0
C02218	Dehydroalanine	-1.585	-3.907	0.2	18.001	-1.848	70.0
C00671	(S)-3-Methyl-2-oxopentanoic_acid	-1.415	4.314	0.134	22.557	-1.597	60.0
C00673	2-Deoxy-D-ribose_5-phosphate	-1.0	4.426	0.093	23.496	-1.128	50.0
C00160	Glycolate	-1.0	-4.74	0.075	28.723	-1.104	50.0
C00163	Propanoate	1.0	6.615	0.151	100.02	3.918	90.0
C02984	L-Aspartyl-tRNA(Asp)	-2.0	-4.459	0.182	25.993	-2.241	80.0
C02987	L-Glutamyl-tRNA(Glu)	-2.0	-4.322	0.2	24.001	-2.263	80.0
C00169	Carbamoyl_phosphate	-2.0	-3.49	0.356	15.236	-2.439	80.0
C02047	L-Leucyl-tRNA	-1.0	-4.755	0.074	29.002	-1.103	50.0
C00342	Thioredoxin	1.0	-5.532	0.043	48.27	-1.061	50.0
C00105	UMP	0.489	0.593	0.825	2.912	1.264	70.0
C00103	D-Glucose_1-phosphate	2.807	6.54	0.429	100.053	5.424	90.0
C04377	5,10-Methylenetetrahydromethanopterin	-1.585	-5.087	0.088	36.989	-1.707	60.0
C04376	5'-Phosphoribosyl-N-formylglycinamide	3.0	2.0	0.667	12.0	3.0	80.0
C00063	CTP	2.524	5.654	0.446	56.105	4.646	90.0
C00062	L-Arginine	1.0	-3.386	0.191	12.454	-1.253	50.0
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	-1.28	3.147	0.274	11.287	-1.63	60.0
C00064	L-Glutamine	-1.078	-2.58	0.353	8.091	-1.514	60.0
C00109	2-Oxobutanoate	2.322	8.294	0.28	318.865	6.48	90.0
C16633	5-Fluorouridine	1.585	2.585	0.613	9.0	2.464	80.0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	0.585	3.781	0.155	15.247	1.238	70.0
C16634	5-Fluorouridine_monophosphate	-1.585	-2.585	0.5	9.0	-2.17	80.0
C00577	D-Glyceraldehyde	-1.0	-11.618	0.001	3145.16	-1.001	60.0
C05764	Hexadecanoyl-[acp]	-1.585	-2.322	0.6	8.0	-2.263	80.0
C00054	Adenosine_3',5'-bisphosphate	-1.0	-5.322	0.05	42.002	-1.07	50.0
C05761	Tetradecanoyl-[acp]	-1.585	-2.322	0.6	8.0	-2.263	80.0
C05760	trans-Tetradec-2-enoyl-[acp]	1.0	-3.459	0.182	12.997	-1.241	50.0
C05763	trans-Hexadec-2-enoyl-[acp]	1.0	-3.459	0.182	12.997	-1.241	50.0
C01801	Deoxyribose	1.0	6.285	0.159	79.978	3.67	80.0
C20374	Enoylglutaryl-[acp]_methyl_ester	-1.0	-3.459	0.182	12.997	-1.241	50.0
C00900	2-Acetolactate	-2.322	3.585	0.417	17.001	-2.825	90.0
C00668	alpha-D-Glucose_6-phosphate	-3.14	-6.343	0.109	89.992	-3.289	90.0
C00666	LL-2,6-Diaminoheptanedioate	-0.848	-3.928	0.118	17.021	-1.009	60.0
C17962	Demethylphosphinothricin	1.0	3.17	0.315	11.0	1.795	70.0
C06188	Salicin_6-phosphate	3.459	8.103	0.427	285.942	6.931	90.0
C03406	N-(L-Arginino)succinate	-1.585	2.585	0.5	9.0	-2.17	80.0
C02163	L-Arginyl-tRNA(Arg)	-1.585	-2.585	0.5	9.0	-2.17	80.0
C00117	D-Ribose_5-phosphate	-3.467	5.661	0.219	61.656	-3.752	90.0
C00111	Glycerone_phosphate	-0.466	7.797	0.006	223.779	-0.475	70.0
C02380	6-Mercaptopurine	1.0	3.17	0.315	11.0	1.795	70.0
C00112	CDP	-4.087	-1.503	0.167	19.829	-1.726	60.0
C07648	Thioguanine	1.0	3.17	0.315	11.0	1.795	70.0
C05698	Selenohomocysteine	-2.807	-3.755	0.518	20.499	-3.41	90.0
C00354	D-Fructose_1,6-bisphosphate	-0.222	-9.036	0.002	526.103	-0.225	70.0
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	-1.811	-6.983	0.028	130.009	-1.85	70.0
C00243	Lactose	2.807	5.799	0.484	62.675	4.923	90.0
C01962	Thiocysteine	-3.0	-3.755	0.593	21.501	-3.671	90.0
C02972	Dihydrolipoylprotein	1.585	7.6	0.209	197.012	5.361	90.0
C11435	4-(Cytidine_5'-diphospho)-2-C-methyl-D-erythritol	-0.415	2.0	0.333	5.333	-0.83	60.0
C11436	2-Phospho-4-(cytidine_5'-diphospho)-2-C-methyl-D-erythritol	0.415	-2.0	0.333	5.333	-0.83	60.0
C17949	N-Acetyldemethylphosphinothricin	-1.0	-3.17	0.222	11.0	-1.289	50.0
C05751	trans-Oct-2-enoyl-[acp]	1.0	-3.459	0.182	12.997	-1.241	50.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	-1.585	3.17	0.333	12.001	-2.0	70.0
C05754	trans-Dec-2-enoyl-[acp]	1.0	-3.459	0.182	12.997	-1.241	50.0
C05755	Decanoyl-[acp]	-1.585	-2.322	0.6	8.0	-2.263	80.0
C05756	3-Oxododecanoyl-[acp]	2.0	4.585	0.436	28.001	3.61	80.0
C05757	(R)-3-Hydroxydodecanoyl-[acp]	-1.585	-3.322	0.3	13.001	-1.964	70.0
C00263	L-Homoserine	0.228	-2.738	0.176	7.843	-0.461	70.0
C00262	Hypoxanthine	-1.0	-4.239	0.106	20.883	-1.145	50.0
C16217	3-Hydroxyoctadecanoyl-CoA	-2.0	-5.0	0.125	36.0	-2.17	80.0
C16216	3-Oxostearoyl-CoA	2.0	5.0	0.4	36.0	3.848	90.0
C00267	alpha-D-Glucose	-1.718	4.556	0.14	26.813	-1.907	70.0
C03294	N-Formylmethionyl-tRNA	-1.585	-4.459	0.136	24.993	-1.769	70.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	1.0	4.0	0.25	18.0	2.17	80.0
C00188	L-Threonine	-0.893	-3.361	0.181	12.132	-1.133	50.0
C00402	D-Aspartate	-1.0	-4.459	0.091	23.993	-1.126	50.0
C02702	L-Prolyl-tRNA(Pro)	-1.0	-5.0	0.063	34.0	-1.087	50.0
C00183	L-Valine	0.041	-1.585	0.343	4.029	-0.466	70.0
C00010	CoA	-1.0	4.841	0.07	30.661	-1.097	50.0
C00286	dGTP	1.087	-7.812	0.009	226.847	-1.101	50.0
C00124	D-Galactose	-2.807	-6.262	0.091	83.743	-2.933	90.0
C00011	CO2	4.966	3.392	0.683	41.752	4.834	90.0
C00288	HCO3-	1.0	4.196	0.238	20.328	2.276	80.0
C02412	Glycyl-tRNA(Gly)	-1.0	-3.17	0.222	11.0	-1.289	50.0
C02553	L-Seryl-tRNA(Ser)	-2.0	-6.615	0.041	102.02	-2.058	70.0
C05378	beta-D-Fructose_1,6-bisphosphate	-0.115	10.843	0.001	1837.91	-0.116	70.0
C02554	L-Valyl-tRNA(Val)	-1.585	-4.524	0.13	26.007	-1.762	70.0
C06056	4-Hydroxy-L-threonine	-1.0	-4.087	0.118	18.995	-1.161	50.0
C05749	Hexanoyl-[acp]	-1.585	-2.322	0.6	8.0	-2.263	80.0
C05748	trans-Hex-2-enoyl-[acp]	1.0	-3.459	0.182	12.997	-1.241	50.0
C16220	3-Hydroxyoctadecanoyl-[acp]	-1.585	-3.322	0.3	13.001	-1.964	70.0
C16221	(2E)-Octadecenoyl-[acp]	1.0	-3.459	0.182	12.997	-1.241	50.0
C05745	Butyryl-[acp]	-1.585	-2.322	0.6	8.0	-2.263	80.0
C04618	(3R)-3-Hydroxybutanoyl-[acyl-carrier_protein]	-1.138	-2.678	0.344	8.6	-1.564	60.0
C04619	(3R)-3-Hydroxydecanoyl-[acyl-carrier_protein]	-1.322	-2.954	0.323	10.249	-1.725	60.0
C00458	dCTP	1.415	-6.758	0.025	110.9	-1.45	60.0
C00459	dTTP	1.874	-4.392	0.175	24.661	-2.106	70.0
C06055	O-Phospho-4-hydroxy-L-threonine	-1.322	2.17	0.556	7.0	-1.959	70.0
C00199	D-Ribulose_5-phosphate	-1.354	-5.339	0.063	43.032	-1.442	50.0
C00217	D-Glutamate	-1.0	-0.737	0.833	3.667	-1.611	60.0
C00197	3-Phospho-D-glycerate	4.593	-7.88	0.102	259.702	-4.734	90.0
C00036	Oxaloacetate	1.751	3.326	0.526	13.394	2.818	80.0
C00037	Glycine	-0.17	-2.095	0.263	5.397	-0.507	70.0
C15973	Enzyme_N6-(dihydrolipoyl)lysine	1.585	7.577	0.209	193.943	5.342	90.0
C00035	GDP	-4.087	-6.066	0.254	83.99	-4.413	90.0
C00031	D-Glucose	2.459	4.102	0.599	22.671	3.764	90.0
C00330	Deoxyguanosine	-0.585	5.585	0.031	49.501	-0.629	60.0
C00135	L-Histidine	-1.0	2.17	0.444	6.5	-1.53	60.0
C00131	dATP	0.737	6.046	0.122	67.74	3.046	80.0
C00130	IMP	-0.222	-4.15	0.066	18.919	-0.314	70.0
C16237	Protein_N6-(lipoyl)lysine	-1.0	-7.977	0.008	253.951	-1.011	60.0
C01290	beta-D-Galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide	2.807	7.055	0.398	139.972	5.799	90.0
C05699	L-Selenocystathionine	3.0	3.755	0.799	21.501	4.102	90.0
C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier_protein]	-1.585	-3.322	0.3	13.001	-1.964	70.0
C04088	Octadecanoyl-[acyl-carrier_protein]	-1.585	-3.7	0.231	15.996	-1.885	70.0
C00299	Uridine	0.263	4.315	0.061	21.104	0.363	70.0
C01190	beta-D-Glucosyl-(1<->1)-ceramide	-2.807	-7.055	0.053	139.972	-2.881	90.0
C01094	D-Fructose_1-phosphate	1.415	11.034	0.128	2099.505	8.073	90.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	0.415	1.087	0.382	3.458	0.401	70.0
C05747	(R)-3-Hydroxyhexanoyl-[acp]	-1.585	-3.322	0.3	13.001	-1.964	70.0
C00041	L-Alanine	0.585	4.17	0.14	19.501	1.452	70.0
C00047	L-Lysine	0.585	-3.392	0.143	11.998	-0.778	60.0
C00046	RNA	2.747	-4.694	0.259	32.597	-3.08	90.0
C00044	GTP	-2.051	-5.31	0.104	43.815	-2.194	80.0
C00049	L-Aspartate	0.057	1.69	0.034	4.267	-2.797	90.0
C01212	UDP-N-acetylmuramoyl-L-alanine	-1.322	3.524	0.217	14.004	-1.606	60.0
C02291	L-Cystathionine	3.0	3.755	0.799	21.501	4.102	90.0
