compound_code	compound_name	lachnospiraceae_mock_score	parabacteroides_mock_score	ratio	magnitude	interaction_score	percentile
C18796	(2R)-2-Hydroxy-2-methylbutanenitrile	-3.322	-10.551	0.0	0.0	0.0	50.0
C00234	10-Formyltetrahydrofolate	0.598	6.811	0.088	113.797	3.321	70.0
C06007	(R)-2,3-Dihydroxy-3-methylpentanoate	2.0	-8.552	0.011	379.326	-2.015	90.0
C06006	(S)-2-Aceto-2-hydroxybutanoate	-2.322	9.054	0.009	536.528	-2.336	90.0
C15812	[Enzyme]-S-sulfanylcysteine	1.585	-2.322	0.6	8.0	-2.263	90.0
C06441	L-Xylulose_1-phosphate	-2.0	10.16	0.003	1148.102	-2.005	90.0
C00014	Ammonia	-0.459	-7.126	0.0	0.0	0.0	50.0
C00015	UDP	-3.087	-8.186	0.0	0.0	0.0	50.0
C05751	trans-Oct-2-enoyl-[acp]	1.0	7.317	0.137	161.454	4.464	70.0
C00018	Pyridoxal_phosphate	-1.0	-1.0	0.0	0.0	0.0	50.0
C00065	L-Serine	-0.355	-7.847	0.0	0.0	0.0	50.0
C05796	Galactan	2.807	10.544	0.266	1500.0	8.641	90.0
C00493	Shikimate	0.341	3.544	0.096	12.931	0.315	60.0
C00155	L-Homocysteine	-2.222	-8.531	0.0	0.0	0.0	50.0
C05791	D-Urobilinogen	-2.0	-3.7	0.0	0.0	0.0	50.0
C00243	Lactose	2.807	11.461	0.245	2826.061	9.435	90.0
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	-1.0	8.604	0.005	391.101	-1.007	80.0
C00886	L-Alanyl-tRNA	-1.585	-10.025	0.0	0.0	0.0	50.0
C16219	3-Oxostearoyl-[acp]	2.0	9.263	0.216	618.385	7.061	80.0
C01131	L-Rhamnulose_1-phosphate	-2.0	10.16	0.003	1148.102	-2.005	90.0
C05345	beta-D-Fructose_6-phosphate	3.763	6.678	0.563	115.971	6.03	80.0
C16633	5-Fluorouridine	1.585	8.725	0.182	426.143	6.275	80.0
C04900	Luteolin_7-O-[beta-D-glucuronosyl-(1->2)-beta-D-glucuronide]-4'-O-beta-D-glucuronide	2.0	3.7	0.541	16.996	3.2	70.0
C02051	Lipoylprotein	-1.585	9.4	0.004	678.588	-1.591	80.0
C01269	5-O-(1-Carboxyvinyl)-3-phosphoshikimate	0.585	-5.392	0.036	43.491	-0.636	70.0
C00221	beta-D-Glucose	-1.064	7.62	0.011	198.811	-1.079	80.0
C05822	3'-CMP	-1.0	-7.19	0.0	0.0	0.0	50.0
C05223	Dodecanoyl-[acyl-carrier_protein]	-1.585	8.264	0.01	310.406	-1.599	90.0
C00229	Acyl-carrier_protein	-1.0	10.721	0.001	1689.884	-1.002	70.0
C00882	Dephospho-CoA	1.585	1.585	1.0	6.0	2.585	70.0
C05758	trans-Dodec-2-enoyl-[acp]	1.0	7.317	0.137	161.454	4.464	70.0
C00655	Xanthosine_5'-phosphate	0.369	-7.622	0.007	198.284	-0.378	70.0
C00118	D-Glyceraldehyde_3-phosphate	6.136	8.074	0.76	339.8	8.013	90.0
C05759	3-Oxotetradecanoyl-[acp]	2.0	9.263	0.216	618.385	7.061	80.0
C03125	L-Cysteinyl-tRNA(Cys)	-2.322	-9.814	0.0	0.0	0.0	50.0
C01172	beta-D-Glucose_6-phosphate	-1.585	-4.585	0.0	0.0	0.0	50.0
C05839	cis-beta-D-Glucosyl-2-hydroxycinnamate	3.322	10.551	0.315	1510.264	8.893	90.0
C05838	cis-2-Hydroxycinnamate	-3.322	-10.551	0.0	0.0	0.0	50.0
C20377	3-Hydroxypimeloyl-[acp]_methyl_ester	-1.585	-10.617	0.0	0.0	0.0	50.0
C20376	3-Ketopimeloyl-[acp]_methyl_ester	2.0	9.263	0.216	618.385	7.061	80.0
C00360	dAMP	-1.585	-8.667	0.0	0.0	0.0	50.0
C00008	ADP	-2.415	3.719	0.405	18.502	-2.906	90.0
C00006	NADP+	1.0	-8.297	0.006	316.518	-1.009	80.0
C00005	NADPH	-1.0	-1.0	0.0	0.0	0.0	50.0
C20378	Enoylpimeloyl-[acp]_methyl_ester	-1.0	9.106	0.004	553.035	-1.005	80.0
C05787	Bilirubin_beta-diglucuronide	2.0	3.7	0.541	16.996	3.2	70.0
C00002	ATP	2.524	9.324	0.271	646.672	7.452	90.0
C00369	Starch	0.893	-3.935	0.121	17.152	-1.058	80.0
C00491	L-Cystine	3.0	9.486	0.316	725.085	7.841	90.0
C15972	Enzyme_N6-(lipoyl)lysine	-1.585	-10.05	0.0	0.0	0.0	50.0
C00760	Cellulose	2.663	9.299	0.286	636.243	7.509	90.0
C04620	(3R)-3-Hydroxyoctanoyl-[acyl-carrier_protein]	-1.322	-9.981	0.0	0.0	0.0	50.0
C16619	6-Thioguanosine_monophosphate	-1.0	-9.606	0.0	0.0	0.0	50.0
C16618	6-Thioxanthine_5'-monophosphate	1.0	6.34	0.158	83.008	3.711	70.0
C00250	Pyridoxal	1.0	1.0	1.0	4.0	2.0	70.0
C00251	Chorismate	-0.297	-7.372	0.0	0.0	0.0	50.0
C02612	(R)-2-Methylmalate	1.0	7.629	0.131	199.951	4.712	80.0
C00255	Riboflavin	2.322	-7.57	0.026	195.019	-2.359	90.0
C05336	Selenomethionyl-tRNA(Met)	-1.0	-9.109	0.0	0.0	0.0	50.0
C05143	Dhurrin	3.322	10.551	0.315	1510.264	8.893	90.0
C00259	L-Arabinose	-1.0	-7.741	0.0	0.0	0.0	50.0
C16615	6-Methylthiopurine_5'-monophosphate_ribonucleotide	-1.0	-9.241	0.0	0.0	0.0	50.0
C16614	6-Methylmercaptopurine	1.0	9.241	0.108	607.088	6.038	80.0
C00327	L-Citrulline	2.0	9.312	0.215	639.611	7.102	80.0
C03742	(S)-4-Hydroxymandelonitrile	-3.322	-10.551	0.0	0.0	0.0	50.0
C00312	L-Xylulose	2.0	7.852	0.255	235.04	5.904	80.0
C01083	alpha,alpha-Trehalose	-2.0	-1.0	0.0	0.0	0.0	50.0
C01931	L-Lysyl-tRNA	-1.0	-9.62	0.0	0.0	0.0	50.0
C00314	Pyridoxine	1.0	1.0	1.0	4.0	2.0	70.0
C00091	Succinyl-CoA	-1.585	-11.246	0.0	0.0	0.0	50.0
C00092	D-Glucose_6-phosphate	-3.459	9.952	0.011	1001.488	-3.475	90.0
C00093	sn-Glycerol_3-phosphate	-1.893	5.152	0.104	39.27	-2.036	90.0
C00498	ADP-glucose	-0.503	8.323	0.004	321.655	-0.509	70.0
C00095	D-Fructose	-2.0	-9.204	0.0	0.0	0.0	50.0
C11173	SN-38	-2.0	-3.7	0.0	0.0	0.0	50.0
C00097	L-Cysteine	0.415	8.036	0.052	263.802	3.768	70.0
C01050	UDP-N-acetylmuramate	0.893	-5.664	0.037	52.56	-0.945	70.0
C00078	L-Tryptophan	0.585	7.31	0.08	160.183	3.68	70.0
C00079	L-Phenylalanine	-0.097	6.981	0.008	127.395	-0.109	70.0
C00993	D-Alanyl-D-alanine	-1.585	-8.508	0.0	0.0	0.0	50.0
C01798	D-Glucoside	3.322	10.551	0.315	1510.264	8.893	90.0
C00073	L-Methionine	3.585	7.384	0.486	179.035	6.442	80.0
C00231	D-Xylulose_5-phosphate	-3.346	-8.858	0.0	0.0	0.0	50.0
C00121	D-Ribose	1.0	1.585	0.631	5.0	1.657	60.0
C00077	L-Ornithine	-1.0	-6.61	0.0	0.0	0.0	50.0
C15667	5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole	2.0	8.873	0.225	472.856	6.736	80.0
C00075	UTP	2.619	9.82	0.267	910.031	7.923	90.0
C00979	O-Acetyl-L-serine	-0.585	-8.468	0.0	0.0	0.0	50.0
C06194	2',3'-Cyclic_GMP	1.0	7.19	0.139	148.018	4.364	70.0
C06193	Guanosine_3'-phosphate	-1.0	-7.19	0.0	0.0	0.0	50.0
C00074	Phosphoenolpyruvate	-0.848	-10.671	0.0	0.0	0.0	50.0
C00627	Pyridoxine_phosphate	-1.0	-7.864	0.0	0.0	0.0	50.0
C00337	(S)-Dihydroorotate	2.322	3.7	0.628	17.996	3.497	70.0
C04246	But-2-enoyl-[acyl-carrier_protein]	1.0	7.317	0.137	161.454	4.464	70.0
C00123	L-Leucine	0.222	6.632	0.033	100.348	1.748	60.0
C00279	D-Erythrose_4-phosphate	-4.512	-9.449	0.0	0.0	0.0	50.0
C02659	Acetone_cyanohydrin	-3.322	-10.551	0.0	0.0	0.0	50.0
C00085	D-Fructose_6-phosphate	3.961	9.791	0.405	901.473	8.511	90.0
C00242	Guanine	1.0	-8.595	0.005	388.681	-1.007	80.0
C02355	2',3'-Cyclic_UMP	1.0	7.19	0.139	148.018	4.364	70.0
C02354	2',3'-Cyclic_CMP	1.0	7.19	0.139	148.018	4.364	70.0
C01290	beta-D-Galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide	2.807	11.461	0.245	2826.061	9.435	90.0
C00249	Hexadecanoic_acid	1.0	10.087	0.099	1089.651	6.755	80.0
C04640	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine	-3.0	-6.833	0.0	0.0	0.0	50.0
C00089	Sucrose	2.0	-7.562	0.021	192.968	-2.03	90.0
C04646	6-Thioinosine-5'-monophosphate	-1.0	8.077	0.007	272.035	-1.011	80.0
C02218	Dehydroalanine	-1.585	-8.718	0.0	0.0	0.0	50.0
C00671	(S)-3-Methyl-2-oxopentanoic_acid	-1.415	8.111	0.01	279.141	-1.429	80.0
C00166	Phenylpyruvate	0.195	7.979	0.024	253.445	2.631	70.0
C00673	2-Deoxy-D-ribose_5-phosphate	-1.0	10.115	0.002	1110.966	-1.003	80.0
C00160	Glycolate	-1.0	7.315	0.013	161.233	-1.018	80.0
C01250	N-Acetyl-L-glutamate_5-semialdehyde	0.678	-8.193	0.005	294.243	-0.686	70.0
C00163	Propanoate	1.0	10.501	0.095	1451.159	7.111	90.0
C02984	L-Aspartyl-tRNA(Asp)	-2.0	-9.85	0.0	0.0	0.0	50.0
C00561	Mandelonitrile	-3.322	-10.551	0.0	0.0	0.0	50.0
C02987	L-Glutamyl-tRNA(Glu)	-2.0	-9.581	0.0	0.0	0.0	50.0
C03263	Coproporphyrinogen_III	1.0	5.17	0.193	38.002	2.878	70.0
C02047	L-Leucyl-tRNA	-1.0	-10.661	0.0	0.0	0.0	50.0
C20373	3-Hydroxyglutaryl-[acp]_methyl_ester	-1.585	-10.617	0.0	0.0	0.0	50.0
C00342	Thioredoxin	1.0	-7.406	0.012	171.601	-1.017	80.0
C00105	UMP	0.489	-6.14	0.02	71.925	-0.517	70.0
C00103	D-Glucose_1-phosphate	2.807	9.864	0.285	938.878	8.062	90.0
C04377	5,10-Methylenetetrahydromethanopterin	-1.585	-10.448	0.0	0.0	0.0	50.0
C04376	5'-Phosphoribosyl-N-formylglycinamide	3.0	8.649	0.347	409.429	7.15	90.0
C00063	CTP	2.524	9.99	0.253	1022.678	8.013	90.0
C00062	L-Arginine	1.0	-5.081	0.059	35.848	-1.083	80.0
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	-1.28	-8.358	0.0	0.0	0.0	50.0
C00064	L-Glutamine	-1.078	-8.294	0.0	0.0	0.0	50.0
C00109	2-Oxobutanoate	2.322	-6.205	0.068	78.772	-2.417	90.0
C00861	L-Rhamnulose	2.0	-10.92	0.002	1941.526	-2.003	90.0
C00860	L-Histidinol	1.0	5.129	0.195	36.993	2.851	70.0
C00026	2-Oxoglutarate	-0.652	5.085	0.046	35.513	-0.717	70.0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	0.585	8.518	0.069	368.084	4.66	80.0
C02962	D-Allose_6-phosphate	1.585	8.945	0.177	495.848	6.457	80.0
C00022	Pyruvate	-2.435	-7.12	0.0	0.0	0.0	50.0
C04272	(R)-2,3-Dihydroxy-3-methylbutanoate	2.0	-8.552	0.011	379.326	-2.015	90.0
C00577	D-Glyceraldehyde	-1.0	-11.182	0.0	0.0	0.0	50.0
C05764	Hexadecanoyl-[acp]	-1.585	8.667	0.007	409.469	-1.596	80.0
C00054	Adenosine_3',5'-bisphosphate	-1.0	-2.585	0.0	0.0	0.0	50.0
C05761	Tetradecanoyl-[acp]	-1.585	8.667	0.007	409.469	-1.596	80.0
C05760	trans-Tetradec-2-enoyl-[acp]	1.0	7.317	0.137	161.454	4.464	70.0
C05763	trans-Hexadec-2-enoyl-[acp]	1.0	7.317	0.137	161.454	4.464	70.0
C03175	Shikimate_3-phosphate	-0.585	5.0	0.047	33.5	-0.651	70.0
C01801	Deoxyribose	1.0	1.585	0.631	5.0	1.657	60.0
C20374	Enoylglutaryl-[acp]_methyl_ester	-1.0	9.106	0.004	553.035	-1.005	80.0
C02474	Arabinan	1.0	10.471	0.096	1421.336	7.085	80.0
C00900	2-Acetolactate	-2.322	9.054	0.009	536.528	-2.336	90.0
C08325	Amygdalin	3.322	10.551	0.315	1510.264	8.893	90.0
C00666	LL-2,6-Diaminoheptanedioate	-0.848	7.857	0.008	233.642	-0.859	70.0
C17962	Demethylphosphinothricin	1.0	3.7	0.27	14.996	2.019	70.0
C00475	Cytidine	0.263	6.348	0.041	82.659	1.776	60.0
C03406	N-(L-Arginino)succinate	-1.585	-8.455	0.0	0.0	0.0	50.0
C02163	L-Arginyl-tRNA(Arg)	-1.585	-9.36	0.0	0.0	0.0	50.0
C00988	2-Phosphoglycolate	1.0	6.358	0.157	84.025	3.724	70.0
C00055	CMP	-0.263	-7.212	0.0	0.0	0.0	50.0
C00117	D-Ribose_5-phosphate	-3.467	-9.819	0.0	0.0	0.0	50.0
C00111	Glycerone_phosphate	-0.466	-9.192	0.0	0.0	0.0	50.0
C02380	6-Mercaptopurine	1.0	9.241	0.108	607.088	6.038	80.0
C00112	CDP	-4.087	-8.65	0.0	0.0	0.0	50.0
C07648	Thioguanine	1.0	9.241	0.108	607.088	6.038	80.0
C05698	Selenohomocysteine	-2.807	-8.945	0.0	0.0	0.0	50.0
C00668	alpha-D-Glucose_6-phosphate	-3.14	-9.765	0.0	0.0	0.0	50.0
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	-1.811	-6.682	0.0	0.0	0.0	50.0
C02353	2',3'-Cyclic_AMP	1.0	7.19	0.139	148.018	4.364	70.0
C01962	Thiocysteine	-3.0	-9.486	0.0	0.0	0.0	50.0
C04666	D-erythro-1-(Imidazol-4-yl)glycerol_3-phosphate	-0.531	-5.695	0.0	0.0	0.0	50.0
C02972	Dihydrolipoylprotein	1.585	-7.539	0.016	188.98	-1.608	90.0
C01079	Protoporphyrinogen_IX	-1.0	-7.82	0.0	0.0	0.0	50.0
C11435	4-(Cytidine_5'-diphospho)-2-C-methyl-D-erythritol	-0.415	3.485	0.119	12.53	-0.577	70.0
C11436	2-Phospho-4-(cytidine_5'-diphospho)-2-C-methyl-D-erythritol	0.415	-4.752	0.049	28.279	-0.485	70.0
C18096	D-Allulose_6-phosphate	-1.585	-8.945	0.0	0.0	0.0	50.0
C02291	L-Cystathionine	3.0	9.486	0.316	725.085	7.841	90.0
C17949	N-Acetyldemethylphosphinothricin	-1.0	-3.7	0.0	0.0	0.0	50.0
C12632	Luteolin_7-O-[beta-D-glucuronosyl-(1->2)-beta-D-glucuronide]	-2.0	-3.7	0.0	0.0	0.0	50.0
C16634	5-Fluorouridine_monophosphate	-1.585	-9.773	0.0	0.0	0.0	50.0
C01179	3-(4-Hydroxyphenyl)pyruvate	-0.078	4.254	0.055	20.136	-0.156	70.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	-1.585	-7.781	0.0	0.0	0.0	50.0
C00506	L-Cysteate	1.0	9.29	0.108	627.992	6.079	80.0
C05755	Decanoyl-[acp]	-1.585	8.667	0.007	409.469	-1.596	80.0
C05756	3-Oxododecanoyl-[acp]	2.0	9.263	0.216	618.385	7.061	80.0
C05757	(R)-3-Hydroxydodecanoyl-[acp]	-1.585	-10.203	0.0	0.0	0.0	50.0
C00263	L-Homoserine	0.228	5.802	0.039	56.964	1.163	60.0
C00262	Hypoxanthine	-1.0	7.192	0.014	148.22	-1.02	80.0
C16217	3-Hydroxyoctadecanoyl-CoA	-2.0	-10.617	0.0	0.0	0.0	50.0
C16216	3-Oxostearoyl-CoA	2.0	10.617	0.188	1574.491	8.212	90.0
C00267	alpha-D-Glucose	-1.718	8.316	0.01	321.978	-1.733	90.0
C03294	N-Formylmethionyl-tRNA	-1.585	-8.15	0.0	0.0	0.0	50.0
C12214	Aminofructose_6-phosphate	4.7	10.672	0.44	1657.511	9.512	90.0
C04039	2,3-Dihydroxy-3-methylbutanoate	2.0	-9.229	0.007	604.075	-2.01	90.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	1.0	-10.328	0.002	1287.399	-1.002	70.0
C08334	Lotaustralin	3.322	10.551	0.315	1510.264	8.893	90.0
C00188	L-Threonine	-0.893	5.923	0.031	62.531	-0.936	70.0
C02702	L-Prolyl-tRNA(Pro)	-1.0	-9.34	0.0	0.0	0.0	50.0
C00185	Cellobiose	3.17	10.298	0.308	1267.946	8.608	90.0
C00183	L-Valine	0.041	-5.915	0.017	61.367	-0.065	70.0
C00463	Indole	-1.0	-2.018	0.0	0.0	0.0	50.0
C00343	Thioredoxin_disulfide	-1.0	7.322	0.012	162.008	-1.018	80.0
C00010	CoA	-1.0	-8.285	0.0	0.0	0.0	50.0
C00286	dGTP	1.087	-6.216	0.029	76.461	-1.128	80.0
C00124	D-Galactose	-2.807	9.79	0.008	892.284	-2.818	90.0
C00011	CO2	4.966	10.508	0.473	1487.462	9.457	90.0
C00288	HCO3-	1.0	-8.19	0.007	294.036	-1.01	80.0
C11453	2-C-Methyl-D-erythritol_2,4-cyclodiphosphate	-0.807	7.698	0.008	209.398	-0.819	70.0
C02412	Glycyl-tRNA(Gly)	-1.0	-8.743	0.0	0.0	0.0	50.0
C12215	Iminoerythrose_4-phosphate	-4.7	-10.672	0.0	0.0	0.0	50.0
C02553	L-Seryl-tRNA(Ser)	-2.0	-9.989	0.0	0.0	0.0	50.0
C05378	beta-D-Fructose_1,6-bisphosphate	-0.115	10.035	0.001	1050.229	-0.116	70.0
C02554	L-Valyl-tRNA(Val)	-1.585	-9.397	0.0	0.0	0.0	50.0
C06056	4-Hydroxy-L-threonine	-1.0	-9.253	0.0	0.0	0.0	50.0
C05749	Hexanoyl-[acp]	-1.585	8.667	0.007	409.469	-1.596	80.0
C05748	trans-Hex-2-enoyl-[acp]	1.0	7.317	0.137	161.454	4.464	70.0
C16220	3-Hydroxyoctadecanoyl-[acp]	-1.585	-10.617	0.0	0.0	0.0	50.0
C16221	(2E)-Octadecenoyl-[acp]	1.0	9.106	0.11	553.035	5.924	80.0
C05745	Butyryl-[acp]	-1.585	8.667	0.007	409.469	-1.596	80.0
C04618	(3R)-3-Hydroxybutanoyl-[acyl-carrier_protein]	-1.138	-9.788	0.0	0.0	0.0	50.0
C04619	(3R)-3-Hydroxydecanoyl-[acyl-carrier_protein]	-1.322	-9.981	0.0	0.0	0.0	50.0
C00458	dCTP	1.415	-6.427	0.031	88.71	-1.459	80.0
C00459	dTTP	1.874	-8.832	0.008	459.384	-1.886	90.0
C01367	3'-AMP	-1.0	-7.19	0.0	0.0	0.0	50.0
C06055	O-Phospho-4-hydroxy-L-threonine	-1.322	-7.815	0.0	0.0	0.0	50.0
C00199	D-Ribulose_5-phosphate	-1.354	-7.103	0.0	0.0	0.0	50.0
C00154	Palmitoyl-CoA	-1.0	-10.087	0.0	0.0	0.0	50.0
C00217	D-Glutamate	-1.0	7.198	0.014	148.83	-1.02	80.0
C00197	3-Phospho-D-glycerate	4.593	9.963	0.461	1022.206	8.88	90.0
C00191	D-Glucuronate	-2.0	9.498	0.006	727.074	-2.008	90.0
C01368	3'-UMP	-1.0	-7.19	0.0	0.0	0.0	50.0
C00036	Oxaloacetate	1.751	5.972	0.293	66.136	4.277	70.0
C00037	Glycine	-0.17	8.499	0.003	362.913	-0.174	70.0
C15973	Enzyme_N6-(dihydrolipoyl)lysine	1.585	10.05	0.158	1063.111	7.389	90.0
C00035	GDP	-4.087	-6.889	0.0	0.0	0.0	50.0
C00031	D-Glucose	2.459	9.843	0.25	923.912	7.851	90.0
C00330	Deoxyguanosine	-0.585	8.17	0.005	289.515	-0.592	70.0
C00135	L-Histidine	-1.0	7.324	0.012	162.23	-1.018	80.0
C00131	dATP	0.737	-4.807	0.06	29.66	-0.82	70.0
C00130	IMP	-0.222	-8.226	0.0	0.0	0.0	50.0
C16237	Protein_N6-(lipoyl)lysine	-1.0	2.888	0.27	9.402	-1.345	80.0
C00620	alpha-D-Ribose_1-phosphate	4.087	11.736	0.348	3428.044	10.221	90.0
C05699	L-Selenocystathionine	3.0	9.486	0.316	725.085	7.841	90.0
C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier_protein]	-1.585	-10.203	0.0	0.0	0.0	50.0
C04088	Octadecanoyl-[acyl-carrier_protein]	-1.585	-9.109	0.0	0.0	0.0	50.0
C00354	D-Fructose_1,6-bisphosphate	-0.222	-8.416	0.0	0.0	0.0	50.0
C00299	Uridine	0.263	7.183	0.037	146.511	2.423	70.0
C01190	beta-D-Glucosyl-(1<->1)-ceramide	-2.807	-10.822	0.0	0.0	0.0	50.0
C01094	D-Fructose_1-phosphate	1.415	10.599	0.134	1553.685	7.696	90.0
C00254	Prephenate	0.632	-6.372	0.019	84.375	-0.659	70.0
C00440	5-Methyltetrahydrofolate	0.415	6.644	0.062	101.343	2.662	70.0
C01594	Linamarin	3.322	10.551	0.315	1510.264	8.893	90.0
C04916	N-(5'-Phospho-D-1'-ribulosylformimino)-5-amino-1-(5''-phospho-D-ribosyl)-4-imidazolecarboxamide	-1.807	-6.011	0.0	0.0	0.0	50.0
C05752	Octanoyl-[acp]	-1.585	8.592	0.008	388.878	-1.596	90.0
C00169	Carbamoyl_phosphate	-2.0	-8.773	0.0	0.0	0.0	50.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	0.415	8.821	0.047	453.591	4.415	70.0
C05747	(R)-3-Hydroxyhexanoyl-[acp]	-1.585	-10.203	0.0	0.0	0.0	50.0
C00041	L-Alanine	0.585	7.966	0.073	251.537	4.207	70.0
C00047	L-Lysine	0.585	7.111	0.082	139.737	3.523	70.0
C00046	RNA	2.747	-8.982	0.013	512.365	-2.766	90.0
C00044	GTP	-2.051	-9.432	0.0	0.0	0.0	50.0
C00049	L-Aspartate	0.057	5.764	0.01	55.382	-0.869	70.0
C01212	UDP-N-acetylmuramoyl-L-alanine	-1.322	7.726	0.012	214.218	-1.339	80.0
C01528	Hydrogen_selenide	1.0	-8.907	0.004	482.036	-1.006	80.0
C02739	1-(5-Phospho-D-ribosyl)-ATP	-1.222	-4.943	0.0	0.0	0.0	50.0
