compound_code	compound_name	lachnospiraceae_mock_score	eubacterium_mock_score	ratio	magnitude	interaction_score	percentile
C04088	Octadecanoyl-[acyl-carrier_protein]	-1.585	-4.807	0.107	30.993	-1.732	70.0
C04620	(3R)-3-Hydroxyoctanoyl-[acyl-carrier_protein]	-1.322	-4.129	0.143	19.997	-1.515	60.0
C16619	6-Thioguanosine_monophosphate	-1.0	-4.931	0.066	32.506	-1.092	50.0
C16618	6-Thioxanthine_5'-monophosphate	1.0	-5.322	0.05	42.002	-1.07	50.0
C00250	Pyridoxal	1.0	4.17	0.24	20.001	2.262	70.0
C00251	Chorismate	-0.297	3.087	0.145	9.726	-0.492	60.0
C02612	(R)-2-Methylmalate	1.0	4.7	0.213	27.992	2.574	70.0
C00255	Riboflavin	2.322	5.392	0.431	46.991	4.339	80.0
C05336	Selenomethionyl-tRNA(Met)	-1.0	-5.7	0.038	53.984	-1.054	50.0
C05143	Dhurrin	3.322	5.524	0.601	56.014	5.074	90.0
C00259	L-Arabinose	-1.0	-5.781	0.036	56.986	-1.052	50.0
C16615	6-Methylthiopurine_5'-monophosphate_ribonucleotide	-1.0	-4.858	0.069	31.0	-1.096	50.0
C16614	6-Methylmercaptopurine	1.0	4.858	0.206	31.0	2.674	80.0
C03742	(S)-4-Hydroxymandelonitrile	-3.322	-5.524	0.217	56.014	-3.606	90.0
C00327	L-Citrulline	2.0	5.248	0.381	42.002	4.001	80.0
C01083	alpha,alpha-Trehalose	-2.0	-3.202	0.435	13.202	-2.521	80.0
C00491	L-Cystine	3.0	7.807	0.384	231.945	6.478	90.0
C00314	Pyridoxine	1.0	4.17	0.24	20.001	2.262	70.0
C00886	L-Alanyl-tRNA	-1.585	-5.755	0.056	57.004	-1.663	60.0
C00092	D-Glucose_6-phosphate	-3.459	-6.194	0.15	84.208	-3.661	90.0
C00093	sn-Glycerol_3-phosphate	-1.893	5.061	0.111	37.096	-2.045	80.0
C00498	ADP-glucose	-0.503	-7.105	0.01	139.08	-0.518	60.0
C00095	D-Fructose	-2.0	-5.755	0.074	58.004	-2.103	80.0
C00154	Palmitoyl-CoA	-1.0	-3.7	0.154	14.996	-1.207	50.0
C00097	L-Cysteine	0.415	4.279	0.097	20.747	1.009	70.0
C01050	UDP-N-acetylmuramate	0.893	-3.793	0.134	15.718	-1.074	50.0
C00078	L-Tryptophan	0.585	4.437	0.132	23.161	1.611	70.0
C00079	L-Phenylalanine	-0.097	3.017	0.132	9.164	-0.276	60.0
C00993	D-Alanyl-D-alanine	-1.585	-4.087	0.177	19.995	-1.82	70.0
C01798	D-Glucoside	3.322	5.524	0.601	56.014	5.074	90.0
C00073	L-Methionine	3.585	3.661	0.979	24.65	4.593	90.0
C00121	D-Ribose	1.0	1.585	0.631	5.0	1.657	70.0
C02282	Glutaminyl-tRNA	-0.737	-3.636	0.134	14.099	-0.919	50.0
C15667	5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole	2.0	4.907	0.408	34.002	3.793	80.0
C00077	L-Ornithine	-1.0	-1.585	0.667	5.0	-1.737	70.0
C00979	O-Acetyl-L-serine	-0.585	-2.078	0.355	5.722	-1.024	50.0
C02739	1-(5-Phospho-D-ribosyl)-ATP	-1.222	-3.624	0.189	14.662	-1.472	60.0
C00074	Phosphoenolpyruvate	-0.848	-6.981	0.014	128.125	-0.868	60.0
C00337	(S)-Dihydroorotate	2.322	1.874	0.807	8.666	2.806	80.0
C00075	UTP	2.619	6.969	0.376	131.422	5.626	90.0
C00123	L-Leucine	0.222	-0.737	0.7	2.833	-0.987	50.0
C00279	D-Erythrose_4-phosphate	-4.512	-6.779	0.208	132.637	-4.784	90.0
C00085	D-Fructose_6-phosphate	3.961	7.107	0.557	153.428	6.418	90.0
C00242	Guanine	1.0	-2.907	0.267	9.501	-1.341	60.0
C00080	H+	3.17	3.544	0.894	20.665	4.208	80.0
C00249	Hexadecanoic_acid	1.0	3.7	0.27	14.996	2.019	70.0
C04640	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine	-3.0	-6.129	0.114	77.986	-3.156	90.0
C00089	Sucrose	2.0	-5.931	0.066	65.011	-2.092	80.0
C04646	6-Thioinosine-5'-monophosphate	-1.0	5.426	0.047	44.992	-1.066	50.0
C02218	Dehydroalanine	-1.585	-1.585	1.0	6.0	-2.585	80.0
C00671	(S)-3-Methyl-2-oxopentanoic_acid	-1.415	2.29	0.545	7.557	-2.043	80.0
C00166	Phenylpyruvate	0.195	-1.596	0.379	4.168	-0.658	60.0
C00673	2-Deoxy-D-ribose_5-phosphate	-1.0	-1.585	0.667	5.0	-1.737	70.0
C01250	N-Acetyl-L-glutamate_5-semialdehyde	0.678	2.678	0.253	8.0	1.018	70.0
C00163	Propanoate	1.0	6.476	0.154	91.016	3.813	80.0
C02984	L-Aspartyl-tRNA(Asp)	-2.0	-5.672	0.078	54.985	-2.109	80.0
C00561	Mandelonitrile	-3.322	-5.524	0.217	56.014	-3.606	90.0
C02987	L-Glutamyl-tRNA(Glu)	-2.0	-5.044	0.121	36.991	-2.165	80.0
C03263	Coproporphyrinogen_III	1.0	4.644	0.215	27.002	2.54	70.0
C02047	L-Leucyl-tRNA	-1.0	-5.524	0.043	48.014	-1.061	50.0
C20373	3-Hydroxyglutaryl-[acp]_methyl_ester	-1.585	-4.524	0.13	26.007	-1.762	70.0
C00342	Thioredoxin	1.0	3.807	0.263	15.997	2.071	70.0
C00105	UMP	0.489	-0.065	0.745	2.45	-0.869	60.0
C00103	D-Glucose_1-phosphate	2.807	2.481	0.884	12.581	3.475	80.0
C04377	5,10-Methylenetetrahydromethanopterin	-1.585	-5.615	0.061	52.01	-1.671	60.0
C04376	5'-Phosphoribosyl-N-formylglycinamide	3.0	6.304	0.476	87.012	5.372	90.0
C00063	CTP	2.524	7.129	0.354	145.724	5.689	90.0
C00062	L-Arginine	1.0	-1.585	0.667	5.0	-1.737	70.0
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	-1.28	-4.619	0.099	27.001	-1.416	60.0
C00064	L-Glutamine	-1.078	-3.033	0.258	10.296	-1.409	60.0
C00109	2-Oxobutanoate	2.322	3.158	0.735	13.926	3.356	80.0
C16633	5-Fluorouridine	1.585	5.044	0.314	35.991	3.499	80.0
C00860	L-Histidinol	1.0	4.17	0.24	20.001	2.262	70.0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	0.585	-1.263	0.625	3.9	-1.285	50.0
C02962	D-Allose_6-phosphate	1.585	5.285	0.3	41.989	3.655	80.0
C16634	5-Fluorouridine_monophosphate	-1.585	-5.044	0.091	35.991	-1.711	60.0
C04272	(R)-2,3-Dihydroxy-3-methylbutanoate	2.0	2.585	0.774	10.0	2.952	80.0
C00577	D-Glyceraldehyde	-1.0	-7.15	0.014	144.025	-1.02	50.0
C05764	Hexadecanoyl-[acp]	-1.585	1.0	0.667	5.0	-1.737	70.0
C04246	But-2-enoyl-[acyl-carrier_protein]	1.0	1.585	0.631	5.0	1.657	70.0
C05761	Tetradecanoyl-[acp]	-1.585	1.0	0.667	5.0	-1.737	70.0
C05760	trans-Tetradec-2-enoyl-[acp]	1.0	1.585	0.631	5.0	1.657	70.0
C05763	trans-Hexadec-2-enoyl-[acp]	1.0	1.585	0.631	5.0	1.657	70.0
C03175	Shikimate_3-phosphate	-0.585	-2.7	0.231	7.998	-0.885	50.0
C01801	Deoxyribose	1.0	1.585	0.631	5.0	1.657	70.0
C20374	Enoylglutaryl-[acp]_methyl_ester	-1.0	-4.7	0.077	27.992	-1.107	50.0
C02474	Arabinan	1.0	5.781	0.173	56.986	3.301	80.0
C00900	2-Acetolactate	-2.322	4.129	0.286	22.497	-2.685	80.0
C08325	Amygdalin	3.322	5.524	0.601	56.014	5.074	90.0
C00666	LL-2,6-Diaminoheptanedioate	-0.848	-1.716	0.548	5.085	-1.478	60.0
C17962	Demethylphosphinothricin	1.0	3.907	0.256	17.001	2.121	70.0
C00475	Cytidine	0.263	1.189	0.221	3.48	-0.378	60.0
C03406	N-(L-Arginino)succinate	-1.585	-5.322	0.075	43.002	-1.689	60.0
C02163	L-Arginyl-tRNA(Arg)	-1.585	-4.248	0.158	22.001	-1.796	70.0
C00055	CMP	-0.263	-1.852	0.332	4.81	-0.677	60.0
C00117	D-Ribose_5-phosphate	-3.467	-6.497	0.122	101.38	-3.634	90.0
C00111	Glycerone_phosphate	-0.466	-4.496	0.061	23.946	-0.552	60.0
C02380	6-Mercaptopurine	1.0	4.858	0.206	31.0	2.674	80.0
C00112	CDP	-4.087	-5.57	0.358	64.499	-4.528	90.0
C07648	Thioguanine	1.0	4.858	0.206	31.0	2.674	80.0
C05698	Selenohomocysteine	-2.807	-7.492	0.039	187.017	-2.862	80.0
C00668	alpha-D-Glucose_6-phosphate	-3.14	5.783	0.16	63.878	-3.354	90.0
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	-1.811	-3.234	0.373	12.918	-2.268	80.0
C00243	Lactose	2.807	5.129	0.547	41.991	4.522	90.0
C01962	Thiocysteine	-3.0	-7.807	0.036	231.945	-3.051	90.0
C04666	D-erythro-1-(Imidazol-4-yl)glycerol_3-phosphate	-0.531	-4.125	0.083	18.893	-0.646	60.0
C01269	5-O-(1-Carboxyvinyl)-3-phosphoshikimate	0.585	-2.7	0.231	7.998	-0.885	50.0
C01079	Protoporphyrinogen_IX	-1.0	-4.644	0.08	27.002	-1.111	50.0
C11435	4-(Cytidine_5'-diphospho)-2-C-methyl-D-erythritol	-0.415	0.678	0.833	2.933	-1.289	60.0
C11436	2-Phospho-4-(cytidine_5'-diphospho)-2-C-methyl-D-erythritol	0.415	-2.053	0.321	5.483	-0.817	60.0
C18096	D-Allulose_6-phosphate	-1.585	-5.285	0.077	41.989	-1.692	60.0
C17949	N-Acetyldemethylphosphinothricin	-1.0	-3.907	0.133	17.001	-1.181	50.0
C01179	3-(4-Hydroxyphenyl)pyruvate	-0.078	0.063	0.99	2.1	-1.056	50.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	-1.585	1.0	0.667	5.0	-1.737	70.0
C00506	L-Cysteate	1.0	3.0	0.333	10.0	1.737	70.0
C05755	Decanoyl-[acp]	-1.585	1.0	0.667	5.0	-1.737	70.0
C05756	3-Oxododecanoyl-[acp]	2.0	4.322	0.463	24.001	3.473	80.0
C05757	(R)-3-Hydroxydodecanoyl-[acp]	-1.585	-4.524	0.13	26.007	-1.762	70.0
C00263	L-Homoserine	0.228	1.503	0.152	4.006	-0.719	60.0
C00262	Hypoxanthine	-1.0	2.852	0.277	9.22	-1.353	60.0
C16217	3-Hydroxyoctadecanoyl-CoA	-2.0	-5.585	0.083	52.001	-2.115	80.0
C16216	3-Oxostearoyl-CoA	2.0	5.585	0.358	52.001	4.219	80.0
C00267	alpha-D-Glucose	-1.718	4.765	0.121	30.48	-1.883	70.0
C03294	N-Formylmethionyl-tRNA	-1.585	-5.044	0.091	35.991	-1.711	60.0
C12214	Aminofructose_6-phosphate	4.7	7.852	0.599	257.032	7.265	90.0
C18796	(2R)-2-Hydroxy-2-methylbutanenitrile	-3.322	-5.524	0.217	56.014	-3.606	90.0
C08334	Lotaustralin	3.322	5.524	0.601	56.014	5.074	90.0
C00188	L-Threonine	-0.893	-3.7	0.143	14.853	-1.086	50.0
C02702	L-Prolyl-tRNA(Pro)	-1.0	-5.358	0.049	43.013	-1.069	50.0
C00185	Cellobiose	3.17	-6.768	0.083	117.987	-3.284	90.0
C00183	L-Valine	0.041	-0.737	0.617	2.696	-0.735	60.0
C00343	Thioredoxin_disulfide	-1.0	-3.807	0.143	15.997	-1.193	50.0
C00010	CoA	-1.0	-4.087	0.118	18.995	-1.161	50.0
C00286	dGTP	1.087	-4.951	0.069	33.056	-1.183	50.0
C00124	D-Galactose	-2.807	-4.363	0.34	27.576	-3.229	90.0
C00282	Hydrogen	-3.17	-3.544	0.772	20.665	-3.995	90.0
C00288	HCO3-	1.0	-5.443	0.046	45.502	-1.065	50.0
C02412	Glycyl-tRNA(Gly)	-1.0	-6.392	0.024	85.982	-1.034	50.0
C12215	Iminoerythrose_4-phosphate	-4.7	-7.852	0.113	257.032	-4.854	90.0
C02553	L-Seryl-tRNA(Ser)	-2.0	-5.807	0.071	59.986	-2.1	80.0
C05378	beta-D-Fructose_1,6-bisphosphate	-0.115	3.672	0.085	13.829	-0.233	60.0
C02554	L-Valyl-tRNA(Val)	-1.585	-5.524	0.065	49.014	-1.676	60.0
C06056	4-Hydroxy-L-threonine	-1.0	-4.954	0.065	32.996	-1.09	50.0
C05749	Hexanoyl-[acp]	-1.585	1.0	0.667	5.0	-1.737	70.0
C05748	trans-Hex-2-enoyl-[acp]	1.0	1.585	0.631	5.0	1.657	70.0
C16220	3-Hydroxyoctadecanoyl-[acp]	-1.585	-4.524	0.13	26.007	-1.762	70.0
C16221	(2E)-Octadecenoyl-[acp]	1.0	1.585	0.631	5.0	1.657	70.0
C05745	Butyryl-[acp]	-1.585	1.0	0.667	5.0	-1.737	70.0
C04618	(3R)-3-Hydroxybutanoyl-[acyl-carrier_protein]	-1.138	-3.828	0.155	16.403	-1.346	60.0
C01674	Chitobiose	3.0	1.585	0.528	11.0	2.539	70.0
C00458	dCTP	1.415	-5.327	0.066	42.807	-1.508	60.0
C00459	dTTP	1.874	4.312	0.435	23.528	3.354	80.0
C04896	5-(5-Phospho-D-ribosylaminoformimino)-1-(5-phosphoribosyl)-imidazole-4-carboxamide	2.0	2.322	0.861	9.0	2.955	80.0
C06055	O-Phospho-4-hydroxy-L-threonine	-1.322	-5.943	0.041	64.021	-1.379	60.0
C00199	D-Ribulose_5-phosphate	-1.354	-4.049	0.154	19.109	-1.561	60.0
C00217	D-Glutamate	-1.0	4.392	0.095	22.995	-1.131	50.0
C00197	3-Phospho-D-glycerate	4.593	6.311	0.728	103.53	6.235	90.0
C00036	Oxaloacetate	1.751	6.503	0.269	94.064	4.663	90.0
C00037	Glycine	-0.17	4.775	0.041	28.504	-0.228	60.0
C00035	GDP	-4.087	-4.358	0.829	37.501	-4.958	90.0
C00031	D-Glucose	2.459	-3.672	0.431	18.245	-2.976	90.0
C00330	Deoxyguanosine	-0.585	2.104	0.349	5.799	-1.017	50.0
C00135	L-Histidine	-1.0	1.222	0.857	4.333	-1.893	70.0
C00131	dATP	0.737	-2.322	0.333	6.667	-1.152	50.0
C00130	IMP	-0.222	1.951	0.302	5.033	-0.602	60.0
C00620	alpha-D-Ribose_1-phosphate	4.087	6.492	0.63	107.004	6.074	90.0
C05699	L-Selenocystathionine	3.0	7.807	0.384	231.945	6.478	90.0
C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier_protein]	-1.585	-4.524	0.13	26.007	-1.762	70.0
C00011	CO2	4.966	7.565	0.656	220.616	7.178	90.0
C00354	D-Fructose_1,6-bisphosphate	-0.222	-4.605	0.048	25.502	-0.29	60.0
C00299	Uridine	0.263	-0.304	0.972	2.435	-1.243	50.0
C01190	beta-D-Glucosyl-(1<->1)-ceramide	-2.807	-5.129	0.2	41.991	-3.07	90.0
C01094	D-Fructose_1-phosphate	1.415	6.629	0.213	101.642	4.439	90.0
C00254	Prephenate	0.632	-1.678	0.484	4.75	-1.202	50.0
C00440	5-Methyltetrahydrofolate	0.415	3.624	0.115	13.662	0.646	60.0
C01594	Linamarin	3.322	5.524	0.601	56.014	5.074	90.0
C04916	N-(5'-Phospho-D-1'-ribulosylformimino)-5-amino-1-(5''-phospho-D-ribosyl)-4-imidazolecarboxamide	-1.807	4.833	0.123	32.001	-1.974	80.0
C11453	2-C-Methyl-D-erythritol_2,4-cyclodiphosphate	-0.807	2.982	0.221	9.65	-1.096	50.0
C00169	Carbamoyl_phosphate	-2.0	-4.678	0.156	29.599	-2.209	80.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	0.415	-1.524	0.464	4.209	-0.965	50.0
C00479	Propanal	2.322	-3.059	0.6	13.334	-3.0	90.0
C00041	L-Alanine	0.585	4.392	0.133	22.495	1.583	70.0
C00047	L-Lysine	0.585	3.807	0.154	15.497	1.252	70.0
C00046	RNA	2.747	-5.087	0.198	40.702	-3.007	90.0
C00044	GTP	-2.051	-5.884	0.07	63.199	-2.149	80.0
C00049	L-Aspartate	0.057	3.232	0.018	10.436	-2.442	80.0
C01212	UDP-N-acetylmuramoyl-L-alanine	-1.322	-2.0	0.625	6.5	-2.022	80.0
C01528	Hydrogen_selenide	1.0	-4.17	0.111	20.001	-1.152	50.0
