compound_code	compound_name	lachnospiraceae_mock_score	butyrivibrio_mock_score	ratio	magnitude	interaction_score	percentile
C00155	L-Homocysteine	-2.222	-5.299	0.0	0.0	0.0	50.0
C05791	D-Urobilinogen	-2.0	-4.392	0.0	0.0	0.0	50.0
C04039	2,3-Dihydroxy-3-methylbutanoate	2.0	-10.148	0.004	1138.625	-2.005	90.0
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	-1.0	6.426	0.023	87.984	-1.033	80.0
C02659	Acetone_cyanohydrin	-3.322	-9.95	0.0	0.0	0.0	50.0
C16219	3-Oxostearoyl-[acp]	2.0	-2.322	0.8	9.0	-2.848	90.0
C01131	L-Rhamnulose_1-phosphate	-2.0	6.524	0.043	96.028	-2.061	90.0
C05345	beta-D-Fructose_6-phosphate	3.763	10.671	0.353	1643.965	9.179	90.0
C16633	5-Fluorouridine	1.585	7.577	0.209	193.943	5.342	80.0
C04900	Luteolin_7-O-[beta-D-glucuronosyl-(1->2)-beta-D-glucuronide]-4'-O-beta-D-glucuronide	2.0	4.392	0.455	24.995	3.509	70.0
C00221	beta-D-Glucose	-1.064	-8.89	0.0	0.0	0.0	50.0
C05223	Dodecanoyl-[acyl-carrier_protein]	-1.585	5.907	0.05	63.005	-1.655	80.0
C00229	Acyl-carrier_protein	-1.0	6.781	0.018	111.973	-1.026	80.0
C00882	Dephospho-CoA	1.585	-7.109	0.022	141.046	-1.616	80.0
C05758	trans-Dodec-2-enoyl-[acp]	1.0	6.15	0.163	73.012	3.569	70.0
C01290	beta-D-Galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide	2.807	7.055	0.398	139.972	5.799	80.0
C00655	Xanthosine_5'-phosphate	0.369	-7.212	0.009	149.553	-0.382	70.0
C00118	D-Glyceraldehyde_3-phosphate	6.136	5.968	0.973	132.923	7.014	90.0
C05759	3-Oxotetradecanoyl-[acp]	2.0	-2.322	0.8	9.0	-2.848	90.0
C03125	L-Cysteinyl-tRNA(Cys)	-2.322	-8.114	0.0	0.0	0.0	50.0
C01172	beta-D-Glucose_6-phosphate	-1.585	9.166	0.005	577.435	-1.593	80.0
C05839	cis-beta-D-Glucosyl-2-hydroxycinnamate	3.322	9.95	0.334	999.119	8.382	90.0
C05838	cis-2-Hydroxycinnamate	-3.322	-9.95	0.0	0.0	0.0	50.0
C20377	3-Hydroxypimeloyl-[acp]_methyl_ester	-1.585	-6.977	0.0	0.0	0.0	50.0
C20376	3-Ketopimeloyl-[acp]_methyl_ester	2.0	-2.322	0.8	9.0	-2.848	90.0
C00360	dAMP	-1.585	-9.581	0.0	0.0	0.0	50.0
C00008	ADP	-2.415	7.258	0.035	158.398	-2.464	90.0
C00006	NADP+	1.0	-6.672	0.02	103.97	-1.028	80.0
C00005	NADPH	-1.0	-5.459	0.0	0.0	0.0	50.0
C20378	Enoylpimeloyl-[acp]_methyl_ester	-1.0	-8.155	0.0	0.0	0.0	50.0
C05787	Bilirubin_beta-diglucuronide	2.0	4.392	0.455	24.995	3.509	70.0
C00002	ATP	2.524	8.749	0.288	435.992	6.975	90.0
C00369	Starch	0.893	4.763	0.187	29.009	2.443	70.0
C00491	L-Cystine	3.0	7.459	0.402	183.947	6.209	90.0
C04088	Octadecanoyl-[acyl-carrier_protein]	-1.585	-8.472	0.0	0.0	0.0	50.0
C00760	Cellulose	2.663	9.347	0.285	657.553	7.55	90.0
C04620	(3R)-3-Hydroxyoctanoyl-[acyl-carrier_protein]	-1.322	-6.566	0.0	0.0	0.0	50.0
C16619	6-Thioguanosine_monophosphate	-1.0	-8.028	0.0	0.0	0.0	50.0
C16618	6-Thioxanthine_5'-monophosphate	1.0	-7.877	0.009	237.079	-1.012	70.0
C00250	Pyridoxal	1.0	6.17	0.162	74.004	3.584	70.0
C00251	Chorismate	-0.297	-6.188	0.0	0.0	0.0	50.0
C02612	(R)-2-Methylmalate	1.0	8.063	0.124	269.427	5.062	80.0
C00255	Riboflavin	2.322	6.248	0.372	81.004	4.912	80.0
C05336	Selenomethionyl-tRNA(Met)	-1.0	-8.155	0.0	0.0	0.0	50.0
C05143	Dhurrin	3.322	9.95	0.334	999.119	8.382	90.0
C00259	L-Arabinose	-1.0	-8.098	0.0	0.0	0.0	50.0
C16615	6-Methylthiopurine_5'-monophosphate_ribonucleotide	-1.0	-7.864	0.0	0.0	0.0	50.0
C16614	6-Methylmercaptopurine	1.0	7.864	0.127	234.97	4.901	80.0
C00327	L-Citrulline	2.0	8.238	0.243	305.915	6.215	90.0
C03742	(S)-4-Hydroxymandelonitrile	-3.322	-9.95	0.0	0.0	0.0	50.0
C00312	L-Xylulose	2.0	7.392	0.271	171.963	5.54	80.0
C01083	alpha,alpha-Trehalose	-2.0	-8.873	0.0	0.0	0.0	50.0
C01931	L-Lysyl-tRNA	-1.0	-7.697	0.0	0.0	0.0	50.0
C00314	Pyridoxine	1.0	6.17	0.162	74.004	3.584	70.0
C00886	L-Alanyl-tRNA	-1.585	-8.551	0.0	0.0	0.0	50.0
C00092	D-Glucose_6-phosphate	-3.459	-9.622	0.0	0.0	0.0	50.0
C00093	sn-Glycerol_3-phosphate	-1.893	-7.965	0.0	0.0	0.0	50.0
C00498	ADP-glucose	-0.503	-11.558	0.0	0.0	0.0	50.0
C00095	D-Fructose	-2.0	7.353	0.024	167.483	-2.035	90.0
C11173	SN-38	-2.0	-4.392	0.0	0.0	0.0	50.0
C00097	L-Cysteine	0.415	6.061	0.068	68.097	2.221	70.0
C01050	UDP-N-acetylmuramate	0.893	-4.994	0.058	33.724	-0.975	70.0
C00078	L-Tryptophan	0.585	5.624	0.104	50.817	2.402	70.0
C00079	L-Phenylalanine	-0.097	3.469	0.097	12.143	-0.23	70.0
C00993	D-Alanyl-D-alanine	-1.585	-3.17	0.0	0.0	0.0	50.0
C01798	D-Glucoside	3.322	9.95	0.334	999.119	8.382	90.0
C00073	L-Methionine	3.585	8.214	0.436	308.935	7.075	90.0
C00121	D-Ribose	1.0	8.752	0.114	433.136	5.629	80.0
C02282	Glutaminyl-tRNA	-0.737	-8.521	0.0	0.0	0.0	50.0
C15667	5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole	2.0	7.994	0.25	258.938	6.018	80.0
C00077	L-Ornithine	-1.0	7.366	0.012	166.963	-1.017	80.0
C00979	O-Acetyl-L-serine	-0.585	-6.877	0.0	0.0	0.0	50.0
C02739	1-(5-Phospho-D-ribosyl)-ATP	-1.222	-6.19	0.0	0.0	0.0	50.0
C00154	Palmitoyl-CoA	-1.0	-9.257	0.0	0.0	0.0	50.0
C00074	Phosphoenolpyruvate	-0.848	-10.818	0.0	0.0	0.0	50.0
C00627	Pyridoxine_phosphate	-1.0	-6.17	0.0	0.0	0.0	50.0
C00337	(S)-Dihydroorotate	2.322	-5.209	0.135	41.989	-2.505	90.0
C00075	UTP	2.619	9.406	0.278	684.547	7.574	90.0
C00123	L-Leucine	0.222	-4.79	0.042	28.832	-0.282	70.0
C00279	D-Erythrose_4-phosphate	-4.512	-9.739	0.0	0.0	0.0	50.0
C00085	D-Fructose_6-phosphate	3.961	10.541	0.376	1505.473	9.144	90.0
C00242	Guanine	1.0	-2.624	0.324	8.165	-1.405	80.0
C00080	H+	3.17	-6.672	0.088	110.97	-3.292	90.0
C00249	Hexadecanoic_acid	1.0	9.257	0.108	613.835	6.051	80.0
C04640	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine	-3.0	-4.585	0.0	0.0	0.0	50.0
C00089	Sucrose	2.0	-7.443	0.023	178.007	-2.033	90.0
C04646	6-Thioinosine-5'-monophosphate	-1.0	8.185	0.007	293.025	-1.01	70.0
C02218	Dehydroalanine	-1.585	-5.087	0.0	0.0	0.0	50.0
C00671	(S)-3-Methyl-2-oxopentanoic_acid	-1.415	7.446	0.015	177.036	-1.437	80.0
C00166	Phenylpyruvate	0.195	-1.29	0.468	3.59	-0.749	70.0
C00673	2-Deoxy-D-ribose_5-phosphate	-1.0	-3.807	0.0	0.0	0.0	50.0
C00160	Glycolate	-1.0	-7.955	0.0	0.0	0.0	50.0
C01250	N-Acetyl-L-glutamate_5-semialdehyde	0.678	-3.7	0.123	14.596	-0.845	70.0
C00163	Propanoate	1.0	9.101	0.11	551.129	5.92	80.0
C02984	L-Aspartyl-tRNA(Asp)	-2.0	-7.852	0.0	0.0	0.0	50.0
C00561	Mandelonitrile	-3.322	-9.95	0.0	0.0	0.0	50.0
C02987	L-Glutamyl-tRNA(Glu)	-2.0	-8.103	0.0	0.0	0.0	50.0
C03263	Coproporphyrinogen_III	1.0	8.52	0.117	369.093	5.437	80.0
C02047	L-Leucyl-tRNA	-1.0	-9.0	0.0	0.0	0.0	50.0
C20373	3-Hydroxyglutaryl-[acp]_methyl_ester	-1.585	-6.977	0.0	0.0	0.0	50.0
C00342	Thioredoxin	1.0	9.0	0.111	514.0	5.836	80.0
C00105	UMP	0.489	-4.71	0.054	27.576	-0.564	70.0
C00103	D-Glucose_1-phosphate	2.807	5.816	0.483	63.335	4.934	80.0
C04377	5,10-Methylenetetrahydromethanopterin	-1.585	-8.852	0.0	0.0	0.0	50.0
C04376	5'-Phosphoribosyl-N-formylglycinamide	3.0	6.34	0.473	89.008	5.396	80.0
C00063	CTP	2.524	9.067	0.278	542.09	7.237	90.0
C00062	L-Arginine	1.0	-5.044	0.061	34.991	-1.085	80.0
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	-1.28	-5.964	0.0	0.0	0.0	50.0
C00064	L-Glutamine	-1.078	-7.294	0.0	0.0	0.0	50.0
C00109	2-Oxobutanoate	2.322	10.04	0.231	1057.789	7.935	90.0
C00861	L-Rhamnulose	2.0	-6.066	0.06	70.996	-2.084	90.0
C00860	L-Histidinol	1.0	6.17	0.162	74.004	3.584	70.0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	0.585	3.963	0.148	17.095	1.335	70.0
C02962	D-Allose_6-phosphate	1.585	8.331	0.19	325.019	5.95	80.0
C16634	5-Fluorouridine_monophosphate	-1.585	-8.464	0.0	0.0	0.0	50.0
C04272	(R)-2,3-Dihydroxy-3-methylbutanoate	2.0	-9.471	0.006	713.668	-2.008	90.0
C00577	D-Glyceraldehyde	-1.0	-10.943	0.0	0.0	0.0	50.0
C05764	Hexadecanoyl-[acp]	-1.585	5.907	0.05	63.005	-1.655	80.0
C04246	But-2-enoyl-[acyl-carrier_protein]	1.0	6.15	0.163	73.012	3.569	70.0
C05761	Tetradecanoyl-[acp]	-1.585	5.907	0.05	63.005	-1.655	80.0
C05760	trans-Tetradec-2-enoyl-[acp]	1.0	6.15	0.163	73.012	3.569	70.0
C05763	trans-Hexadec-2-enoyl-[acp]	1.0	6.15	0.163	73.012	3.569	70.0
C03175	Shikimate_3-phosphate	-0.585	-4.492	0.0	0.0	0.0	50.0
C01801	Deoxyribose	1.0	8.752	0.114	433.136	5.629	80.0
C20374	Enoylglutaryl-[acp]_methyl_ester	-1.0	-8.155	0.0	0.0	0.0	50.0
C02474	Arabinan	1.0	9.317	0.107	639.818	6.102	80.0
C00900	2-Acetolactate	-2.322	9.809	0.006	902.023	-2.33	90.0
C08325	Amygdalin	3.322	9.95	0.334	999.119	8.382	90.0
C00666	LL-2,6-Diaminoheptanedioate	-0.848	7.073	0.013	136.443	-0.867	70.0
C17962	Demethylphosphinothricin	1.0	5.392	0.185	43.991	3.028	70.0
C06188	Salicin_6-phosphate	3.459	3.459	1.0	21.993	4.459	70.0
C03406	N-(L-Arginino)succinate	-1.585	-8.618	0.0	0.0	0.0	50.0
C02163	L-Arginyl-tRNA(Arg)	-1.585	-7.435	0.0	0.0	0.0	50.0
C00988	2-Phosphoglycolate	1.0	9.079	0.11	542.818	5.902	80.0
C00055	CMP	-0.263	-5.764	0.0	0.0	0.0	50.0
C00117	D-Ribose_5-phosphate	-3.467	-10.034	0.0	0.0	0.0	50.0
C00111	Glycerone_phosphate	-0.466	-6.386	0.0	0.0	0.0	50.0
C02380	6-Mercaptopurine	1.0	7.864	0.127	234.97	4.901	80.0
C00112	CDP	-4.087	-7.547	0.0	0.0	0.0	50.0
C07648	Thioguanine	1.0	7.864	0.127	234.97	4.901	80.0
C05698	Selenohomocysteine	-2.807	4.7	0.269	32.99	-3.151	90.0
C00668	alpha-D-Glucose_6-phosphate	-3.14	8.772	0.02	445.97	-3.169	90.0
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	-1.811	-7.049	0.0	0.0	0.0	50.0
C00243	Lactose	2.807	6.516	0.431	98.517	5.407	80.0
C01962	Thiocysteine	-3.0	-7.459	0.0	0.0	0.0	50.0
C00054	Adenosine_3',5'-bisphosphate	-1.0	-8.155	0.0	0.0	0.0	50.0
C04666	D-erythro-1-(Imidazol-4-yl)glycerol_3-phosphate	-0.531	-7.486	0.0	0.0	0.0	50.0
C00231	D-Xylulose_5-phosphate	-3.346	-9.179	0.0	0.0	0.0	50.0
C01079	Protoporphyrinogen_IX	-1.0	-8.574	0.0	0.0	0.0	50.0
C11435	4-(Cytidine_5'-diphospho)-2-C-methyl-D-erythritol	-0.415	-2.585	0.0	0.0	0.0	50.0
C11436	2-Phospho-4-(cytidine_5'-diphospho)-2-C-methyl-D-erythritol	0.415	-2.322	0.267	6.334	-0.756	70.0
C18096	D-Allulose_6-phosphate	-1.585	-8.195	0.0	0.0	0.0	50.0
C02291	L-Cystathionine	3.0	7.131	0.421	148.167	5.962	80.0
C17949	N-Acetyldemethylphosphinothricin	-1.0	-5.392	0.0	0.0	0.0	50.0
C12632	Luteolin_7-O-[beta-D-glucuronosyl-(1->2)-beta-D-glucuronide]	-2.0	-4.392	0.0	0.0	0.0	50.0
C06441	L-Xylulose_1-phosphate	-2.0	6.524	0.043	96.028	-2.061	90.0
C01179	3-(4-Hydroxyphenyl)pyruvate	-0.078	1.508	0.371	3.9	-0.533	70.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	-1.585	4.0	0.188	19.0	-1.833	80.0
C00475	Cytidine	0.263	5.0	0.053	33.2	0.804	70.0
C00506	L-Cysteate	1.0	7.693	0.13	208.93	4.763	80.0
C05755	Decanoyl-[acp]	-1.585	5.907	0.05	63.005	-1.655	80.0
C05756	3-Oxododecanoyl-[acp]	2.0	-2.322	0.8	9.0	-2.848	90.0
C05757	(R)-3-Hydroxydodecanoyl-[acp]	-1.585	-6.977	0.0	0.0	0.0	50.0
C00263	L-Homoserine	0.228	-3.033	0.143	9.356	-0.421	70.0
C00262	Hypoxanthine	-1.0	-1.954	0.0	0.0	0.0	50.0
C16217	3-Hydroxyoctadecanoyl-CoA	-2.0	-8.679	0.0	0.0	0.0	50.0
C16216	3-Oxostearoyl-CoA	2.0	8.679	0.23	413.864	6.575	90.0
C00267	alpha-D-Glucose	-1.718	7.457	0.019	178.993	-1.745	80.0
C03294	N-Formylmethionyl-tRNA	-1.585	-8.098	0.0	0.0	0.0	50.0
C12214	Aminofructose_6-phosphate	4.7	11.438	0.411	2800.469	10.168	90.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	1.0	-7.6	0.01	196.012	-1.015	80.0
C08334	Lotaustralin	3.322	9.95	0.334	999.119	8.382	90.0
C00188	L-Threonine	-0.893	-3.577	0.0	0.0	0.0	50.0
C02702	L-Prolyl-tRNA(Pro)	-1.0	-8.371	0.0	0.0	0.0	50.0
C00185	Cellobiose	3.17	9.931	0.319	985.178	8.297	90.0
C00183	L-Valine	0.041	6.986	0.006	127.793	-0.415	70.0
C00343	Thioredoxin_disulfide	-1.0	-9.0	0.0	0.0	0.0	50.0
C00010	CoA	-1.0	-8.521	0.0	0.0	0.0	50.0
C00286	dGTP	1.087	-8.041	0.008	265.504	-1.099	80.0
C00124	D-Galactose	-2.807	7.776	0.032	226.182	-2.852	90.0
C00288	HCO3-	1.0	7.371	0.136	167.536	4.506	80.0
C11453	2-C-Methyl-D-erythritol_2,4-cyclodiphosphate	-0.807	-6.331	0.0	0.0	0.0	50.0
C02412	Glycyl-tRNA(Gly)	-1.0	-8.804	0.0	0.0	0.0	50.0
C12215	Iminoerythrose_4-phosphate	-4.7	-11.438	0.0	0.0	0.0	50.0
C02553	L-Seryl-tRNA(Ser)	-2.0	-8.426	0.0	0.0	0.0	50.0
C05378	beta-D-Fructose_1,6-bisphosphate	-0.115	-9.348	0.0	0.0	0.0	50.0
C02554	L-Valyl-tRNA(Val)	-1.585	-8.443	0.0	0.0	0.0	50.0
C06056	4-Hydroxy-L-threonine	-1.0	-8.124	0.0	0.0	0.0	50.0
C05749	Hexanoyl-[acp]	-1.585	5.907	0.05	63.005	-1.655	80.0
C05748	trans-Hex-2-enoyl-[acp]	1.0	6.15	0.163	73.012	3.569	70.0
C16220	3-Hydroxyoctadecanoyl-[acp]	-1.585	-6.977	0.0	0.0	0.0	50.0
C16221	(2E)-Octadecenoyl-[acp]	1.0	6.15	0.163	73.012	3.569	70.0
C05745	Butyryl-[acp]	-1.585	5.907	0.05	63.005	-1.655	80.0
C04618	(3R)-3-Hydroxybutanoyl-[acyl-carrier_protein]	-1.138	-6.248	0.0	0.0	0.0	50.0
C01674	Chitobiose	3.0	8.94	0.336	499.143	7.388	90.0
C00458	dCTP	1.415	-8.959	0.005	500.321	-1.423	80.0
C00459	dTTP	1.874	7.798	0.24	226.218	5.765	80.0
C04896	5-(5-Phospho-D-ribosylaminoformimino)-1-(5-phosphoribosyl)-imidazole-4-carboxamide	2.0	7.683	0.26	209.501	5.769	80.0
C06055	O-Phospho-4-hydroxy-L-threonine	-1.322	-1.663	0.0	0.0	0.0	50.0
C00199	D-Ribulose_5-phosphate	-1.354	-6.01	0.0	0.0	0.0	50.0
C00217	D-Glutamate	-1.0	5.615	0.041	51.01	-1.058	80.0
C00197	3-Phospho-D-glycerate	4.593	6.624	0.693	122.767	6.412	90.0
C00191	D-Glucuronate	-2.0	9.187	0.007	586.858	-2.01	90.0
C00036	Oxaloacetate	1.751	10.089	0.174	1092.526	7.567	90.0
C00037	Glycine	-0.17	8.083	0.004	272.285	-0.176	70.0
C00035	GDP	-4.087	1.7	0.191	20.244	-1.952	90.0
C00031	D-Glucose	2.459	7.856	0.313	237.18	6.214	90.0
C00330	Deoxyguanosine	-0.585	5.923	0.025	62.174	-0.62	70.0
C00135	L-Histidine	-1.0	-6.2	0.0	0.0	0.0	50.0
C00131	dATP	0.737	-6.479	0.019	90.868	-0.764	70.0
C00130	IMP	-0.222	-2.346	0.0	0.0	0.0	50.0
C00620	alpha-D-Ribose_1-phosphate	4.087	9.72	0.42	860.352	8.499	90.0
C05699	L-Selenocystathionine	3.0	7.451	0.403	182.974	6.203	90.0
C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier_protein]	-1.585	-6.977	0.0	0.0	0.0	50.0
C00354	D-Fructose_1,6-bisphosphate	-0.222	-8.26	0.0	0.0	0.0	50.0
C00299	Uridine	0.263	-2.709	0.184	7.739	-0.506	70.0
C01190	beta-D-Glucosyl-(1<->1)-ceramide	-2.807	-6.476	0.0	0.0	0.0	50.0
C01094	D-Fructose_1-phosphate	1.415	10.353	0.137	1310.533	7.485	90.0
C00254	Prephenate	0.632	-3.883	0.105	16.303	-0.776	70.0
C00440	5-Methyltetrahydrofolate	0.415	4.755	0.087	28.335	1.306	70.0
C01594	Linamarin	3.322	9.95	0.334	999.119	8.382	90.0
C04916	N-(5'-Phospho-D-1'-ribulosylformimino)-5-amino-1-(5''-phospho-D-ribosyl)-4-imidazolecarboxamide	-1.807	6.384	0.042	87.016	-1.866	90.0
C05752	Octanoyl-[acp]	-1.585	5.907	0.05	63.005	-1.655	80.0
C00169	Carbamoyl_phosphate	-2.0	-6.626	0.0	0.0	0.0	50.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	0.415	-4.585	0.056	25.334	-0.493	70.0
C00479	Propanal	2.322	-7.012	0.039	134.069	-2.377	90.0
C00041	L-Alanine	0.585	6.79	0.086	112.161	3.273	70.0
C00047	L-Lysine	0.585	-5.951	0.024	63.363	-0.62	70.0
C00046	RNA	2.747	-7.76	0.031	223.48	-2.791	90.0
C00044	GTP	-2.051	-8.947	0.0	0.0	0.0	50.0
C00049	L-Aspartate	0.057	5.666	0.01	51.814	-0.94	70.0
C01212	UDP-N-acetylmuramoyl-L-alanine	-1.322	3.781	0.182	16.247	-1.563	80.0
C01528	Hydrogen_selenide	1.0	-7.547	0.011	189.014	-1.015	80.0
