compound_code	compound_name	clostridium_mock_score	bacteroides_mock_score	ratio	magnitude	interaction_score	percentile
C00011	CO2	6.808	6.457	0.948	199.902	7.567	90.0
C00014	Ammonia	1.053	-4.471	0.094	24.252	-1.182	50.0
C00015	UDP	-1.874	-3.0	0.458	11.665	-2.418	80.0
C00191	D-Glucuronate	7.103	4.6	0.648	161.724	6.711	90.0
C00065	L-Serine	-0.787	-2.452	0.315	7.197	-1.182	50.0
C00153	Nicotinamide	-0.585	-3.524	0.13	13.004	-0.762	50.0
C00152	L-Asparagine	0.778	3.218	0.242	11.02	1.414	70.0
C00155	L-Homocysteine	-0.322	2.592	0.207	7.279	-0.594	60.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	-1.0	1.0	1.0	4.0	-2.0	70.0
C00794	D-Sorbitol	-0.585	-2.322	0.3	6.5	-0.964	50.0
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	1.0	3.0	0.333	10.0	1.737	70.0
C00886	L-Alanyl-tRNA	-3.585	-5.358	0.293	53.013	-3.955	90.0
C00294	Inosine	0.485	3.0	0.162	9.4	0.604	70.0
C04302	N-(5-Phospho-D-ribosyl)anthranilate	-1.874	0.737	0.455	5.332	-1.278	60.0
C11811	1-Hydroxy-2-methyl-2-butenyl_4-diphosphate	3.907	-2.807	0.467	21.999	-3.359	80.0
C00197	3-Phospho-D-glycerate	4.491	5.64	0.796	72.353	5.848	90.0
C05345	beta-D-Fructose_6-phosphate	-2.4	5.433	0.122	48.479	-2.566	80.0
C00227	Acetyl_phosphate	0.107	-0.547	0.737	2.538	-0.904	50.0
C00226	Primary_alcohol	2.954	0.585	0.198	9.249	0.873	70.0
C06037	Digalactosyl-diacylglycerol	0.585	2.322	0.252	6.5	0.712	70.0
C03511	L-Phenylalanyl-tRNA(Phe)	-1.322	-4.755	0.093	29.502	-1.45	60.0
C01235	alpha-D-Galactosyl-(1->3)-1D-myo-inositol	0.585	2.322	0.252	6.5	0.712	70.0
C05382	Sedoheptulose_7-phosphate	-0.547	-2.012	0.362	5.494	-0.993	50.0
C00385	Xanthine	-0.153	2.907	0.148	8.612	-0.352	60.0
C00387	Guanosine	0.485	3.0	0.162	9.4	0.604	70.0
C00817	D-Altronate	1.807	-4.03	0.214	19.835	-2.087	70.0
C03539	S-Ribosyl-L-homocysteine	1.0	-2.0	0.5	6.0	-1.585	60.0
C05841	Nicotinate_D-ribonucleoside	0.585	2.807	0.208	8.498	0.825	70.0
C00655	Xanthosine_5'-phosphate	-1.524	-3.575	0.241	14.793	-1.836	70.0
C05759	3-Oxotetradecanoyl-[acp]	1.0	-4.585	0.083	26.001	-1.115	50.0
C03127	L-Isoleucyl-tRNA(Ile)	-3.322	-5.492	0.222	55.005	-3.611	90.0
C16217	3-Hydroxyoctadecanoyl-CoA	-1.0	-5.781	0.036	56.986	-1.052	50.0
C15996	7-Cyano-7-carbaguanine	3.907	-1.585	0.2	18.001	-1.848	70.0
C20373	3-Hydroxyglutaryl-[acp]_methyl_ester	-1.0	-5.781	0.036	56.986	-1.052	50.0
C20372	3-Ketoglutaryl-[acp]_methyl_ester	1.0	-4.585	0.083	26.001	-1.115	50.0
C00364	dTMP	-2.874	-1.0	0.273	9.331	-1.348	60.0
C00365	dUMP	-3.567	-1.737	0.281	15.185	-2.095	70.0
C20377	3-Hydroxypimeloyl-[acp]_methyl_ester	-1.0	-5.781	0.036	56.986	-1.052	50.0
C20376	3-Ketopimeloyl-[acp]_methyl_ester	1.0	-4.585	0.083	26.001	-1.115	50.0
C00008	ADP	-1.415	-2.624	0.433	8.831	-1.934	70.0
C00058	Formate	2.624	2.392	0.912	11.413	3.379	80.0
C00003	NAD+	-2.663	-0.737	0.263	8.0	-1.074	50.0
C00002	ATP	4.465	7.296	0.612	179.235	6.777	90.0
C16633	5-Fluorouridine	2.0	3.907	0.512	19.001	3.282	80.0
C00369	Starch	2.402	5.989	0.401	68.799	4.786	90.0
C15972	Enzyme_N6-(lipoyl)lysine	1.585	-7.484	0.017	182.023	-1.609	60.0
C05401	3-beta-D-Galactosyl-sn-glycerol	0.585	2.322	0.252	6.5	0.712	70.0
C01127	4-Hydroxy-2-oxoglutarate	3.907	5.248	0.744	53.003	5.302	90.0
C06010	(S)-2-Acetolactate	2.585	4.714	0.548	32.246	4.144	90.0
C00253	Nicotinate	-1.17	-2.0	0.563	6.25	-1.814	70.0
C05336	Selenomethionyl-tRNA(Met)	-2.322	-5.322	0.125	45.002	-2.492	80.0
C05404	D-Gal_alpha_1->6D-Gal_alpha_1->6D-Glucose	0.585	2.322	0.252	6.5	0.712	70.0
C00259	L-Arabinose	3.17	3.585	0.884	21.001	4.215	90.0
C00645	N-Acetyl-D-mannosamine	-1.0	-2.202	0.435	6.601	-1.521	60.0
C01242	S-Aminomethyldihydrolipoylprotein	-0.322	2.503	0.221	6.919	-0.609	60.0
C01931	L-Lysyl-tRNA	-2.807	-5.129	0.2	41.991	-3.07	80.0
C00492	Raffinose	-0.222	-1.585	0.389	4.166	-0.696	50.0
C00073	L-Methionine	2.322	3.079	0.754	13.451	3.342	80.0
C00091	Succinyl-CoA	5.94	-1.83	0.058	64.948	-1.911	70.0
C00092	D-Glucose_6-phosphate	-3.075	-6.047	0.127	74.546	-3.248	80.0
C00093	sn-Glycerol_3-phosphate	-1.525	3.0	0.36	10.878	-1.968	70.0
C00498	ADP-glucose	-3.157	-2.858	0.813	16.17	-3.716	90.0
C00095	D-Fructose	-0.193	-4.492	0.051	23.645	-0.264	60.0
C00097	L-Cysteine	1.474	-3.534	0.24	14.361	-1.784	60.0
C14099	2-Naphthaldehyde	-2.954	-0.585	0.194	9.249	-0.84	50.0
C00078	L-Tryptophan	1.0	-3.298	0.203	11.836	-1.267	50.0
C00079	L-Phenylalanine	0.348	-1.068	0.607	3.369	-1.032	50.0
C14090	1-Naphthaldehyde	-2.954	-0.585	0.194	9.249	-0.84	50.0
C00071	Aldehyde	-2.459	-0.585	0.273	6.998	-0.933	50.0
C00074	Phosphoenolpyruvate	-4.699	-6.07	0.387	93.156	-5.171	90.0
C00075	UTP	5.006	7.252	0.69	184.563	6.993	90.0
C00333	D-Galacturonate	7.524	5.0	0.665	216.056	7.166	90.0
C00620	alpha-D-Ribose_1-phosphate	3.954	6.57	0.602	110.507	6.055	90.0
C00718	Amylose	-2.585	-3.524	0.522	17.504	-3.191	80.0
C00123	L-Leucine	1.222	1.939	0.63	6.167	1.959	80.0
C03512	L-Tryptophanyl-tRNA(Trp)	-1.0	-3.322	0.2	12.0	-1.263	50.0
C01019	6-Deoxy-L-galactose	2.322	2.322	1.0	10.0	3.322	80.0
C00085	D-Fructose_6-phosphate	-0.363	3.228	0.137	10.656	-0.549	60.0
C00084	Acetaldehyde	3.229	-0.485	0.149	10.776	-0.686	50.0
C00083	Malonyl-CoA	-0.562	3.574	0.124	13.385	-0.731	50.0
C02051	Lipoylprotein	0.585	-7.435	0.009	174.545	-0.597	60.0
C03373	Aminoimidazole_ribotide	-2.807	-4.982	0.221	38.602	-3.096	80.0
C04640	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine	2.0	-4.858	0.138	33.0	-2.186	70.0
C00407	L-Isoleucine	1.485	2.263	0.656	7.599	2.318	80.0
C00089	Sucrose	-0.459	-2.322	0.275	6.375	-0.809	50.0
C03692	1,2-Diacyl-3-beta-D-galactosyl-sn-glycerol	-0.585	-2.322	0.3	6.5	-0.964	50.0
C00671	(S)-3-Methyl-2-oxopentanoic_acid	-2.83	-2.965	0.911	14.919	-3.764	90.0
C00673	2-Deoxy-D-ribose_5-phosphate	-1.322	3.807	0.179	16.497	-1.559	60.0
C02988	L-Histidyl-tRNA(His)	-2.807	-2.585	0.857	12.998	-3.478	90.0
C00559	Deoxyadenosine	-0.322	2.536	0.216	7.05	-0.604	60.0
C00163	Propanoate	1.0	4.087	0.245	18.995	2.216	80.0
C02984	L-Aspartyl-tRNA(Asp)	-1.585	-5.492	0.067	48.005	-1.678	60.0
C02987	L-Glutamyl-tRNA(Glu)	-2.0	-3.644	0.32	16.501	-2.401	80.0
C01721	L-Fuculose	-2.322	-2.322	1.0	10.0	-3.322	80.0
C00169	Carbamoyl_phosphate	-1.354	-1.841	0.714	6.139	-2.131	70.0
C02047	L-Leucyl-tRNA	-3.17	-5.426	0.209	51.993	-3.444	90.0
C00106	Uracil	-0.29	2.379	0.235	6.424	-0.595	60.0
C00068	Thiamin_diphosphate	-0.222	2.528	0.202	6.934	-0.488	60.0
C00342	Thioredoxin	3.406	2.138	0.628	15.002	3.235	80.0
C00343	Thioredoxin_disulfide	-3.17	-2.907	0.833	16.501	-3.781	90.0
C03082	4-Phospho-L-aspartate	2.07	0.531	0.257	5.644	0.534	70.0
C00103	D-Glucose_1-phosphate	3.36	3.935	0.854	25.563	4.448	90.0
C04377	5,10-Methylenetetrahydromethanopterin	-2.0	-5.248	0.105	42.002	-2.144	70.0
C04376	5'-Phosphoribosyl-N-formylglycinamide	2.0	5.508	0.363	49.506	4.168	90.0
C00063	CTP	4.847	7.542	0.643	215.147	7.111	90.0
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	-2.585	1.28	0.405	8.429	-1.77	60.0
C00064	L-Glutamine	-0.17	2.563	0.19	7.034	-0.421	60.0
C00108	Anthranilate	2.07	-0.848	0.429	5.999	-1.363	60.0
C00109	2-Oxobutanoate	0.963	-0.663	0.812	3.533	-1.521	60.0
C00861	L-Rhamnulose	-1.585	6.248	0.039	79.004	-1.641	60.0
C00860	L-Histidinol	1.0	1.0	1.0	4.0	2.0	80.0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	1.322	2.338	0.565	7.556	2.095	80.0
C16634	5-Fluorouridine_monophosphate	-2.0	-4.248	0.211	23.001	-2.276	70.0
C03972	2,3,4,5-Tetrahydrodipicolinate	-0.628	-0.737	0.927	3.212	-1.575	60.0
C01050	UDP-N-acetylmuramate	0.893	3.123	0.286	10.569	1.596	70.0
C00279	D-Erythrose_4-phosphate	-0.637	5.33	0.039	41.78	-0.692	50.0
C00469	Ethanol	2.954	0.585	0.198	9.249	0.873	70.0
C00361	dGDP	1.585	-2.397	0.57	8.267	-2.235	70.0
C00900	2-Acetolactate	3.459	5.687	0.608	62.515	5.249	90.0
C02686	Galactosylceramide	-0.585	-1.415	0.563	4.167	-1.229	50.0
C00668	alpha-D-Glucose_6-phosphate	4.02	-5.066	0.484	49.721	-4.59	90.0
C03402	L-Asparaginyl-tRNA(Asn)	-2.17	-6.845	0.039	119.461	-2.225	70.0
C05399	Melibiitol	0.585	2.322	0.252	6.5	0.712	70.0
C00475	Cytidine	-0.536	1.0	0.725	3.45	-1.323	60.0
C03406	N-(L-Arginino)succinate	-4.392	3.585	0.572	32.996	-4.237	90.0
C12214	Aminofructose_6-phosphate	1.0	6.524	0.153	94.028	3.849	90.0
C00234	10-Formyltetrahydrofolate	-4.492	-0.339	0.056	23.767	-0.418	60.0
C00117	D-Ribose_5-phosphate	-2.051	-4.759	0.153	31.221	-2.256	70.0
C00116	Glycerol	1.7	-2.322	0.65	8.249	-2.422	80.0
C00111	Glycerone_phosphate	2.357	-3.899	0.343	20.041	-2.783	80.0
C04349	(4S)-4,6-Dihydroxy-2,5-dioxohexanoate	-1.0	-6.768	0.018	110.986	-1.026	50.0
C05697	Selenate	2.585	3.585	0.721	18.0	3.698	80.0
C00112	CDP	-2.322	-2.824	0.706	12.081	-3.093	80.0
C20248	7-Carboxy-7-carbaguanine	4.17	2.322	0.557	23.001	3.679	80.0
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	-1.237	-2.678	0.368	8.757	-1.689	60.0
C00118	D-Glyceraldehyde_3-phosphate	6.589	5.338	0.81	136.717	6.791	90.0
C00288	HCO3-	0.585	-3.248	0.158	11.001	-0.796	50.0
C00242	Guanine	-0.485	2.243	0.296	6.133	-0.859	50.0
C00231	D-Xylulose_5-phosphate	0.3	-5.032	0.038	33.949	-0.353	60.0
C00857	Deamino-NAD+	3.17	3.544	0.894	20.665	4.208	90.0
C00269	CDP-diacylglycerol	0.485	-3.892	0.094	16.246	-0.615	50.0
C16219	3-Oxostearoyl-[acp]	1.0	-4.585	0.083	26.001	-1.115	50.0
C00507	L-Rhamnose	1.585	4.954	0.32	33.996	3.443	80.0
C00031	D-Glucose	-0.222	5.44	0.027	44.578	-0.26	60.0
C05757	(R)-3-Hydroxydodecanoyl-[acp]	-1.0	-4.615	0.082	26.505	-1.113	50.0
C00262	Hypoxanthine	0.174	-3.196	0.123	10.292	-0.341	60.0
C00508	L-Ribulose	-2.663	-5.248	0.167	44.335	-2.885	80.0
C16216	3-Oxostearoyl-CoA	1.0	5.781	0.173	56.986	3.301	80.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	-1.322	-3.322	0.25	12.501	-1.644	60.0
C00460	dUTP	4.358	-3.7	0.634	33.502	-4.408	90.0
C02909	(2-Naphthyl)methanol	2.954	0.585	0.198	9.249	0.873	70.0
C00286	dGTP	-3.115	1.923	0.438	12.456	-2.447	80.0
C00124	D-Galactose	3.195	-7.973	0.036	260.411	-3.247	80.0
C00158	Citrate	0.895	0.026	0.029	2.878	-3.58	90.0
C00129	Isopentenyl_diphosphate	-3.524	3.322	0.869	21.504	-4.225	90.0
C00327	L-Citrulline	4.392	2.322	0.529	25.996	3.781	80.0
C01762	Xanthosine	0.585	2.954	0.198	9.249	0.873	70.0
C00680	meso-2,6-Diaminoheptanedioate	0.568	-0.237	0.795	2.661	-1.081	50.0
C12215	Iminoerythrose_4-phosphate	-1.0	-6.524	0.022	94.028	-1.031	50.0
C02553	L-Seryl-tRNA(Ser)	-3.7	-4.585	0.541	36.997	-4.324	90.0
C05378	beta-D-Fructose_1,6-bisphosphate	-2.515	5.304	0.145	45.222	-2.71	80.0
C04053	5-Dehydro-4-deoxy-D-glucuronate	1.585	6.768	0.234	111.986	4.713	90.0
C03785	D-Tagatose_1,6-bisphosphate	-3.0	-4.807	0.286	35.993	-3.363	90.0
C00514	D-Mannonate	4.524	2.322	0.513	28.007	3.845	90.0
C16220	3-Hydroxyoctadecanoyl-[acp]	-1.0	-5.781	0.036	56.986	-1.052	50.0
C05746	3-Oxohexanoyl-[acp]	1.0	-4.585	0.083	26.001	-1.115	50.0
C05744	Acetoacetyl-[acp]	0.678	-6.69	0.015	104.85	-0.7	50.0
C03150	Nicotinamide-beta-riboside	0.585	3.087	0.19	9.997	0.922	70.0
C00458	dCTP	-3.97	3.35	0.651	25.867	-4.073	90.0
C00459	dTTP	1.322	-3.051	0.302	10.788	-1.702	60.0
C06055	O-Phospho-4-hydroxy-L-threonine	-0.737	-3.985	0.105	17.501	-0.881	50.0
C00199	D-Ribulose_5-phosphate	0.617	-4.783	0.056	29.065	-0.695	50.0
C00217	D-Glutamate	1.0	-1.663	0.632	5.167	-1.706	60.0
C02876	Propanoyl_phosphate	-1.0	2.807	0.286	8.998	-1.363	60.0
C00212	Adenosine	0.322	3.087	0.104	9.747	0.024	60.0
C00036	Oxaloacetate	3.341	5.9	0.566	69.847	5.306	90.0
C00037	Glycine	0.817	4.735	0.173	28.392	2.292	80.0
C00035	GDP	-2.415	3.162	0.596	14.284	-3.089	80.0
C00033	Acetate	1.441	2.28	0.632	7.572	2.259	80.0
C16618	6-Thioxanthine_5'-monophosphate	-2.585	-3.0	0.75	14.0	-3.392	90.0
C00137	myo-Inositol	-0.585	-6.727	0.014	107.432	-0.605	60.0
C00135	L-Histidine	1.0	-1.459	0.727	4.749	-1.789	70.0
C00131	dATP	-1.926	2.07	0.905	7.999	-2.856	80.0
C00130	IMP	1.437	-2.724	0.41	9.315	-1.932	70.0
C01097	D-Tagatose_6-phosphate	3.0	4.807	0.624	35.993	4.489	90.0
C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier_protein]	-1.0	-4.615	0.082	26.505	-1.113	50.0
C00354	D-Fructose_1,6-bisphosphate	0.181	-2.939	0.148	8.802	-0.38	60.0
C00299	Uridine	-0.628	-1.158	0.693	3.777	-1.387	60.0
C05756	3-Oxododecanoyl-[acp]	1.0	-4.585	0.083	26.001	-1.115	50.0
C04574	di-trans,poly-cis-Undecaprenyl_diphosphate	-1.0	-2.663	0.316	8.333	-1.396	60.0
C01172	beta-D-Glucose_6-phosphate	-2.612	-4.928	0.201	36.556	-2.876	80.0
C00206	dADP	0.848	2.874	0.295	9.131	1.43	70.0
C00631	2-Phospho-D-glycerate	0.202	0.128	0.634	2.243	0.507	70.0
C00441	L-Aspartate_4-semialdehyde	3.222	1.959	0.608	13.219	3.007	80.0
C00526	Deoxyuridine	0.415	-2.678	0.208	7.733	-0.688	50.0
C00448	trans,trans-Farnesyl_diphosphate	0.415	-3.406	0.126	11.933	-0.586	60.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	-1.0	3.954	0.129	17.498	-1.175	50.0
C05747	(R)-3-Hydroxyhexanoyl-[acp]	-1.0	-4.615	0.082	26.505	-1.113	50.0
C00041	L-Alanine	1.907	3.773	0.505	17.421	3.138	80.0
C00040	Acyl-CoA	0.363	2.0	0.181	5.286	-0.06	60.0
C00047	L-Lysine	1.807	4.044	0.447	19.995	3.159	80.0
C00046	RNA	-4.104	-7.208	0.116	165.047	-4.263	90.0
C00044	GTP	-4.131	-6.398	0.208	101.852	-4.403	90.0
C05335	L-Selenomethionine	2.322	4.459	0.521	26.994	3.813	90.0
C00204	2-Dehydro-3-deoxy-D-gluconate	-4.059	4.248	0.877	35.669	-4.968	90.0
C00049	L-Aspartate	1.871	1.818	0.972	7.184	2.803	80.0
C00048	Glyoxylate	1.773	2.115	0.838	7.75	2.7	80.0
