compound_code	compound_name	bacteroides_mock_score	lactobacillus_mock_score	ratio	magnitude	interaction_score	percentile
C20373	3-Hydroxyglutaryl-[acp]_methyl_ester	-5.781	-3.322	0.182	64.987	-3.563	70.0
C20372	3-Ketoglutaryl-[acp]_methyl_ester	-4.585	4.585	1.0	48.001	-5.585	90.0
C20377	3-Hydroxypimeloyl-[acp]_methyl_ester	-5.781	-3.322	0.182	64.987	-3.563	70.0
C20376	3-Ketopimeloyl-[acp]_methyl_ester	-4.585	4.585	1.0	48.001	-5.585	90.0
C20375	Glutaryl-[acp]_methyl_ester	5.17	-2.322	0.139	41.002	-2.51	50.0
C20374	Enoylglutaryl-[acp]_methyl_ester	5.426	-3.459	0.256	53.989	-3.788	70.0
C20378	Enoylpimeloyl-[acp]_methyl_ester	5.426	-3.459	0.256	53.989	-3.788	70.0
C00415	Dihydrofolate	0.737	-1.078	0.789	3.778	-1.577	50.0
C00416	Phosphatidate	3.858	-4.163	0.809	32.414	-4.714	80.0
C04851	MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho-undecaprenol	-2.322	1.585	0.6	8.0	-2.263	50.0
C04006	1D-myo-Inositol_3-phosphate	6.82	4.17	0.611	130.987	6.324	90.0
C02686	Galactosylceramide	-1.415	-6.066	0.04	69.662	-1.471	50.0
C00243	Lactose	10.522	5.799	0.551	1526.084	9.716	90.0
C00242	Guanine	2.243	-4.353	0.232	25.169	-2.544	50.0
C00245	Taurine	1.585	-6.907	0.025	123.009	-1.621	50.0
C16587	3-Carbamoyl-2-phenylpropionaldehyde	-0.585	-7.704	0.007	210.014	-0.595	60.0
C16586	2-Phenyl-1,3-propanediol_monocarbamate	0.585	7.704	0.076	210.014	3.995	70.0
C01097	D-Tagatose_6-phosphate	4.807	8.275	0.581	337.752	7.616	90.0
C01094	D-Fructose_1-phosphate	6.672	11.034	0.605	2198.808	10.377	90.0
C00068	Thiamin_diphosphate	2.528	-5.203	0.157	42.603	-2.738	50.0
C00342	Thioredoxin	2.138	-5.532	0.095	50.671	-2.269	50.0
C00343	Thioredoxin_disulfide	-2.907	5.946	0.122	69.149	-3.073	60.0
C05684	Selenite	3.7	6.966	0.531	138.015	6.196	90.0
C00063	CTP	7.542	5.654	0.75	236.719	7.471	90.0
C00062	L-Arginine	-3.879	-3.386	0.711	25.167	-4.16	80.0
C00065	L-Serine	-2.452	-2.677	0.856	11.867	-3.344	60.0
C00064	L-Glutamine	2.563	-2.58	0.988	11.889	-3.555	70.0
C00066	tRNA	3.459	2.585	0.747	16.997	3.667	70.0
C16633	5-Fluorouridine	3.907	2.585	0.662	21.001	3.797	70.0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	2.338	3.781	0.618	18.803	3.539	70.0
C16634	5-Fluorouridine_monophosphate	-4.248	-2.585	0.316	25.001	-2.981	60.0
C19673	Malonyl-[acp]_methyl_ester	6.19	3.17	0.512	82.009	5.392	90.0
C04079	N-((R)-Pantothenoyl)-L-cysteine	3.0	4.087	0.734	24.995	4.197	80.0
C00668	alpha-D-Glucose_6-phosphate	-5.066	-6.343	0.413	114.675	-5.564	90.0
C05399	Melibiitol	2.322	6.954	0.334	128.983	5.429	90.0
C02163	L-Arginyl-tRNA(Arg)	-2.807	-2.585	0.857	12.998	-3.478	60.0
C00114	Choline	-3.7	-4.0	0.812	28.996	-4.558	80.0
C00117	D-Ribose_5-phosphate	-4.759	5.661	0.535	77.675	-5.377	90.0
C00116	Glycerol	-2.322	-3.719	0.38	18.169	-2.786	50.0
C00111	Glycerone_phosphate	-3.899	7.797	0.067	237.316	-3.993	70.0
C02380	6-Mercaptopurine	5.044	3.17	0.628	41.991	4.722	80.0
C00112	CDP	-2.824	-1.503	0.4	9.916	-1.989	50.0
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	-2.678	-6.983	0.051	132.9	-2.749	50.0
C00118	D-Glyceraldehyde_3-phosphate	5.338	-9.982	0.04	1051.751	-5.395	90.0
C03492	D-4'-Phosphopantothenate	1.0	-2.0	0.5	6.0	-1.585	50.0
C01346	dUDP	-2.17	3.087	0.53	12.998	-2.783	50.0
C05750	3-Oxooctanoyl-[acp]	-4.373	4.19	0.881	38.973	-5.101	90.0
C03160	2-Succinylbenzoyl-CoA	1.585	-1.0	0.667	5.0	-1.737	50.0
C05752	Octanoyl-[acp]	5.362	-2.322	0.122	46.127	-2.488	50.0
C05753	3-Oxodecanoyl-[acp]	-4.373	4.19	0.881	38.973	-5.101	90.0
C05754	trans-Dec-2-enoyl-[acp]	-3.0	-3.459	0.727	18.997	-3.789	70.0
C05755	Decanoyl-[acp]	5.768	-2.322	0.092	59.493	-2.449	50.0
C05756	3-Oxododecanoyl-[acp]	-4.585	4.585	1.0	48.001	-5.585	90.0
C05757	(R)-3-Hydroxydodecanoyl-[acp]	-4.615	-3.322	0.408	34.505	-3.816	70.0
C05758	trans-Dodec-2-enoyl-[acp]	-3.0	-3.459	0.727	18.997	-3.789	70.0
C05759	3-Oxotetradecanoyl-[acp]	-4.585	4.585	1.0	48.001	-5.585	90.0
C00188	L-Threonine	3.437	-3.361	0.949	21.105	-4.324	80.0
C00189	Ethanolamine	-3.7	-4.0	0.812	28.996	-4.558	80.0
C02702	L-Prolyl-tRNA(Pro)	-4.0	-5.0	0.5	48.0	-4.585	80.0
C05818	2-Demethylmenaquinone	3.7	-4.392	0.619	33.991	-4.395	80.0
C00183	L-Valine	-1.222	-1.585	0.778	5.333	-2.052	50.0
C03794	N6-(1,2-Dicarboxyethyl)-AMP	-1.415	-1.0	0.75	4.667	-1.807	50.0
C00159	D-Mannose	-1.585	9.289	0.005	628.558	-1.592	50.0
C00011	CO2	6.457	3.392	0.525	98.349	5.691	90.0
C04352	(R)-4'-Phosphopantothenoyl-L-cysteine	0.263	-1.0	0.6	3.2	-0.941	60.0
C00842	dTDP-glucose	-2.0	-1.585	0.75	7.0	-2.392	50.0
C00015	UDP	-3.0	-0.585	0.188	9.5	-0.833	60.0
C03546	myo-Inositol_4-phosphate	6.858	4.17	0.608	134.002	6.348	90.0
C02554	L-Valyl-tRNA(Val)	-4.17	-4.524	0.782	41.008	-5.004	90.0
C16237	Protein_N6-(lipoyl)lysine	2.722	-7.977	0.026	258.549	-2.759	50.0
C01290	beta-D-Galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide	10.522	7.055	0.67	1603.381	10.07	90.0
C00445	5,10-Methenyltetrahydrofolate	2.165	-2.644	0.717	10.735	-2.945	60.0
C01762	Xanthosine	2.954	5.387	0.548	49.594	4.765	80.0
C00441	L-Aspartate_4-semialdehyde	1.959	3.611	0.543	16.106	3.127	70.0
C00526	Deoxyuridine	-2.678	5.91	0.106	66.529	-2.824	50.0
C00448	trans,trans-Farnesyl_diphosphate	-3.406	2.807	0.66	17.598	-3.538	70.0
C16221	(2E)-Octadecenoyl-[acp]	4.615	-3.459	0.449	35.502	-3.994	70.0
C01190	beta-D-Glucosyl-(1<->1)-ceramide	-9.937	-7.055	0.136	1113.22	-7.239	90.0
