compound_code	compound_name	alistipes_mock_score	clostridium_mock_score	ratio	magnitude	interaction_score	percentile
C00065	L-Serine	5.185	-0.787	0.047	38.104	-0.854	50.0
C00153	Nicotinamide	-7.304	-0.585	0.009	159.524	-0.599	50.0
C00152	L-Asparagine	6.7	0.778	0.116	105.683	3.617	70.0
C00155	L-Homocysteine	-1.379	-0.322	0.481	3.851	-0.888	50.0
C00269	CDP-diacylglycerol	-1.773	0.485	0.41	4.817	-0.98	50.0
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	4.907	1.0	0.204	32.002	2.705	70.0
C00091	Succinyl-CoA	-6.522	5.94	0.668	153.293	-6.678	90.0
C02876	Propanoyl_phosphate	-7.238	-1.0	0.013	152.958	-1.019	50.0
C05345	beta-D-Fructose_6-phosphate	5.811	-2.4	0.094	61.42	-2.53	70.0
C16633	5-Fluorouridine	7.748	2.0	0.258	218.971	5.821	90.0
C02051	Lipoylprotein	-4.585	0.585	0.063	25.501	-0.672	50.0
C03511	L-Phenylalanyl-tRNA(Phe)	-6.615	-1.322	0.026	100.52	-1.358	50.0
C03512	L-Tryptophanyl-tRNA(Trp)	-6.409	-1.0	0.024	86.977	-1.034	50.0
C00385	Xanthine	-4.19	-0.153	0.061	19.364	-0.238	60.0
C00387	Guanosine	7.304	0.485	0.066	159.424	3.404	70.0
C00817	D-Altronate	-6.705	1.807	0.034	107.828	-1.855	60.0
C05841	Nicotinate_D-ribonucleoside	7.304	0.585	0.08	159.524	3.675	70.0
C00655	Xanthosine_5'-phosphate	-2.773	-1.524	0.421	9.711	-2.031	60.0
C05759	3-Oxotetradecanoyl-[acp]	6.34	1.0	0.158	83.008	3.711	80.0
C03127	L-Isoleucyl-tRNA(Ile)	-6.57	-3.322	0.105	105.01	-3.466	80.0
C16217	3-Hydroxyoctadecanoyl-CoA	-8.358	-1.0	0.006	330.102	-1.009	50.0
C20373	3-Hydroxyglutaryl-[acp]_methyl_ester	-8.358	-1.0	0.006	330.102	-1.009	50.0
C20372	3-Ketoglutaryl-[acp]_methyl_ester	6.34	1.0	0.158	83.008	3.711	80.0
C00364	dTMP	3.087	-2.874	0.863	15.828	-3.771	90.0
C00365	dUMP	-5.221	-3.567	0.318	49.149	-3.965	90.0
C20377	3-Hydroxypimeloyl-[acp]_methyl_ester	-8.358	-1.0	0.006	330.102	-1.009	50.0
C20376	3-Ketopimeloyl-[acp]_methyl_ester	6.34	1.0	0.158	83.008	3.711	80.0
C00008	ADP	-2.336	-1.415	0.528	7.716	-2.027	60.0
C00003	NAD+	-7.5	-2.663	0.035	187.353	-2.713	70.0
C00002	ATP	6.959	4.465	0.642	146.499	6.555	90.0
C00369	Starch	2.644	2.402	0.908	11.536	3.39	70.0
C15972	Enzyme_N6-(lipoyl)lysine	-6.907	1.585	0.025	123.009	-1.621	60.0
C01127	4-Hydroxy-2-oxoglutarate	7.827	3.907	0.499	242.072	6.917	90.0
C00253	Nicotinate	-7.304	-1.17	0.014	160.274	-1.19	50.0
C05336	Selenomethionyl-tRNA(Met)	-6.741	-2.322	0.047	111.966	-2.388	70.0
C05335	L-Selenomethionine	5.322	2.322	0.436	45.002	4.295	80.0
C01242	S-Aminomethyldihydrolipoylprotein	5.977	-0.322	0.02	64.238	-0.35	60.0
C00558	D-Tagaturonate	6.19	-7.524	0.397	257.065	-6.672	90.0
C00886	L-Alanyl-tRNA	-6.7	-3.585	0.115	115.969	-3.743	80.0
C00092	D-Glucose_6-phosphate	-7.589	-3.075	0.044	200.965	-3.137	80.0
C00093	sn-Glycerol_3-phosphate	7.347	-1.525	0.018	165.683	-1.55	60.0
C03114	Dimethylbenzimidazole	6.375	5.728	0.899	136.001	6.933	90.0
C00095	D-Fructose	-7.827	-0.193	0.005	228.214	-0.2	60.0
C00097	L-Cysteine	-7.224	1.474	0.019	152.278	-1.501	60.0
C00078	L-Tryptophan	6.409	1.0	0.156	86.977	3.762	80.0
C00079	L-Phenylalanine	-1.138	0.348	0.578	3.474	-1.006	50.0
C00073	L-Methionine	5.298	2.322	0.438	44.342	4.281	80.0
C00718	Amylose	-2.55	-2.585	0.976	11.856	-3.533	80.0
C00074	Phosphoenolpyruvate	-6.979	-4.699	0.206	152.124	-4.969	90.0
C00075	UTP	5.652	5.006	0.886	82.416	6.19	90.0
C00333	D-Galacturonate	7.687	7.524	0.979	390.127	8.577	90.0
C00620	alpha-D-Ribose_1-phosphate	7.492	3.954	0.528	195.516	6.689	90.0
C00123	L-Leucine	-3.322	1.222	0.233	12.333	-1.524	60.0
C00085	D-Fructose_6-phosphate	4.926	-0.363	0.042	31.686	-0.423	60.0
C00242	Guanine	-4.585	-0.485	0.058	25.4	-0.567	50.0
C03373	Aminoimidazole_ribotide	-5.7	-2.807	0.135	58.982	-2.989	80.0
C04640	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine	4.585	2.0	0.436	28.001	3.61	70.0
C00407	L-Isoleucine	-3.485	1.485	0.25	13.996	-1.807	60.0
C04646	6-Thioinosine-5'-monophosphate	3.807	2.585	0.679	19.997	3.763	80.0
C00673	2-Deoxy-D-ribose_5-phosphate	6.858	-1.322	0.022	118.502	-1.353	50.0
C02988	L-Histidyl-tRNA(His)	-6.508	-2.807	0.077	98.011	-2.914	80.0
C00163	Propanoate	7.238	1.0	0.138	152.958	4.401	80.0
C02984	L-Aspartyl-tRNA(Asp)	-6.285	-1.585	0.038	80.978	-1.639	60.0
C02987	L-Glutamyl-tRNA(Glu)	-6.426	-2.0	0.047	89.984	-2.066	60.0
C06508	Adenosyl_cobinamide	-3.907	4.392	0.714	35.997	-4.685	90.0
C00169	Carbamoyl_phosphate	4.147	-1.354	0.144	20.272	-1.548	60.0
C02047	L-Leucyl-tRNA	-6.524	-3.17	0.098	101.028	-3.305	80.0
C00106	Uracil	-2.202	-0.29	0.266	5.824	-0.63	50.0
C00068	Thiamin_diphosphate	-7.349	-0.222	0.007	164.197	-0.232	60.0
C00342	Thioredoxin	-4.916	3.406	0.351	40.79	-3.84	90.0
C00343	Thioredoxin_disulfide	4.672	-3.17	0.353	34.493	-3.606	80.0
C03082	4-Phospho-L-aspartate	1.379	2.07	0.666	6.8	2.179	70.0
C00103	D-Glucose_1-phosphate	5.218	3.36	0.644	47.487	4.934	80.0
C04377	5,10-Methylenetetrahydromethanopterin	-7.15	-2.0	0.028	146.025	-2.04	60.0
C04376	5'-Phosphoribosyl-N-formylglycinamide	-3.459	2.0	0.364	14.997	-2.448	70.0
C00063	CTP	6.823	4.847	0.71	142.001	6.656	90.0
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	4.441	-2.585	0.276	27.721	-2.937	80.0
C00064	L-Glutamine	-5.595	-0.17	0.023	49.46	-0.203	60.0
C11811	1-Hydroxy-2-methyl-2-butenyl_4-diphosphate	-6.17	3.907	0.208	87.005	-4.18	90.0
C00861	L-Rhamnulose	-6.883	-1.585	0.025	121.029	-1.621	60.0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	3.7	1.322	0.357	15.496	2.469	70.0
C16634	5-Fluorouridine_monophosphate	-8.362	-2.0	0.012	333.013	-2.017	60.0
C03972	2,3,4,5-Tetrahydrodipicolinate	-1.976	-0.628	0.393	5.479	-1.106	50.0
C00279	D-Erythrose_4-phosphate	-3.68	-0.637	0.121	14.372	-0.802	50.0
C00361	dGDP	-4.481	1.585	0.134	25.331	-1.767	60.0
C06510	Adenosine-GDP-cobinamide	5.129	-4.392	0.6	55.989	-5.07	90.0
C00668	alpha-D-Glucose_6-phosphate	-3.912	4.02	0.928	31.277	-4.859	90.0
C03402	L-Asparaginyl-tRNA(Asn)	-7.0	-2.17	0.035	132.5	-2.22	70.0
C00475	Cytidine	-5.258	-0.536	0.038	39.716	-0.59	50.0
C12215	Iminoerythrose_4-phosphate	-7.476	-1.0	0.011	180.033	-1.016	50.0
C12214	Aminofructose_6-phosphate	7.476	1.0	0.134	180.033	4.59	80.0
C00234	10-Formyltetrahydrofolate	-3.229	-4.492	0.417	31.878	-3.732	80.0
C00117	D-Ribose_5-phosphate	-6.12	-2.051	0.06	73.695	-2.134	70.0
C00111	Glycerone_phosphate	-3.388	2.357	0.489	15.592	-2.932	80.0
C00112	CDP	-4.346	-2.322	0.246	25.337	-2.639	70.0
C00354	D-Fructose_1,6-bisphosphate	-2.459	0.181	0.206	6.632	-0.451	60.0
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	2.531	-1.237	0.408	8.137	-1.73	60.0
C00118	D-Glyceraldehyde_3-phosphate	4.754	6.589	0.722	123.252	6.475	90.0
C00299	Uridine	-1.399	-0.628	0.586	4.183	-1.293	50.0
C00231	D-Xylulose_5-phosphate	-5.576	0.3	0.026	48.934	-0.337	60.0
C00857	Deamino-NAD+	8.022	3.17	0.395	268.934	6.732	90.0
C04778	N1-(5-Phospho-alpha-D-ribosyl)-5,6-dimethylbenzimidazole	3.369	-5.157	0.29	46.011	-3.736	80.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	-6.15	-1.0	0.028	73.012	-1.04	50.0
C16219	3-Oxostearoyl-[acp]	6.34	1.0	0.158	83.008	3.711	80.0
C00507	L-Rhamnose	7.966	1.585	0.199	253.037	5.654	90.0
C00031	D-Glucose	7.055	-0.222	0.009	134.14	-0.235	60.0
C05757	(R)-3-Hydroxydodecanoyl-[acp]	-7.484	-1.0	0.011	181.023	-1.016	50.0
C00262	Hypoxanthine	3.35	0.174	0.052	11.325	-0.766	50.0
C01172	beta-D-Glucose_6-phosphate	-3.322	-2.612	0.611	16.114	-3.3	80.0
C16216	3-Oxostearoyl-CoA	8.358	1.0	0.12	330.102	5.304	90.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	-7.267	-1.322	0.016	156.523	-1.345	50.0
C00460	dUTP	7.484	4.358	0.582	199.529	6.86	90.0
C00286	dGTP	5.554	-3.115	0.184	55.645	-3.359	80.0
C00124	D-Galactose	6.098	3.195	0.524	77.656	5.347	90.0
C00294	Inosine	7.304	0.485	0.066	159.424	3.404	70.0
C00206	dADP	4.018	0.848	0.211	18.001	1.926	70.0
C00681	1-Acyl-sn-glycerol_3-phosphate	-6.561	-0.515	0.015	95.848	-0.537	60.0
C00680	meso-2,6-Diaminoheptanedioate	-3.322	0.568	0.148	11.483	-0.767	50.0
C02553	L-Seryl-tRNA(Ser)	-6.768	-3.7	0.119	121.982	-3.863	90.0
C05378	beta-D-Fructose_1,6-bisphosphate	-6.164	-2.515	0.08	77.421	-2.626	70.0
C03785	D-Tagatose_1,6-bisphosphate	-8.022	-3.0	0.031	267.934	-3.044	80.0
C00514	D-Mannonate	7.401	4.524	0.611	192.021	6.875	90.0
C16220	3-Hydroxyoctadecanoyl-[acp]	-8.358	-1.0	0.006	330.102	-1.009	50.0
C05746	3-Oxohexanoyl-[acp]	6.34	1.0	0.158	83.008	3.711	80.0
C05744	Acetoacetyl-[acp]	6.074	0.678	0.112	68.968	2.945	70.0
C03150	Nicotinamide-beta-riboside	7.304	0.585	0.08	159.524	3.675	70.0
C00458	dCTP	5.668	-3.97	0.308	66.515	-4.358	90.0
C00459	dTTP	6.964	1.322	0.19	127.346	4.595	80.0
C00199	D-Ribulose_5-phosphate	-4.418	0.617	0.072	22.911	-0.717	50.0
C00217	D-Glutamate	3.907	1.0	0.256	17.001	2.121	70.0
C00197	3-Phospho-D-glycerate	6.427	4.491	0.699	108.531	6.245	90.0
C00212	Adenosine	7.304	0.322	0.044	159.274	2.812	70.0
C00036	Oxaloacetate	-4.434	3.341	0.469	31.749	-3.896	90.0
C00037	Glycine	-6.054	0.817	0.027	68.203	-0.855	50.0
C00035	GDP	3.624	-2.415	0.433	17.662	-2.934	80.0
C16618	6-Thioxanthine_5'-monophosphate	-2.0	-2.585	0.667	10.0	-2.737	70.0
C00330	Deoxyguanosine	7.304	0.585	0.08	159.524	3.675	70.0
C00135	L-Histidine	6.508	1.0	0.154	93.013	3.837	80.0
C00131	dATP	2.115	-1.926	0.877	8.132	-2.835	70.0
C00130	IMP	-0.059	1.437	0.385	3.749	-0.529	60.0
C01097	D-Tagatose_6-phosphate	8.022	3.0	0.374	267.934	6.647	90.0
C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier_protein]	-7.484	-1.0	0.011	181.023	-1.016	50.0
C01050	UDP-N-acetylmuramate	5.64	0.893	0.158	51.724	3.034	70.0
C05756	3-Oxododecanoyl-[acp]	6.34	1.0	0.158	83.008	3.711	80.0
C04574	di-trans,poly-cis-Undecaprenyl_diphosphate	-6.0	-1.0	0.031	66.0	-1.044	50.0
C06509	Adenosyl_cobinamide_phosphate	-2.503	2.939	0.739	13.337	-3.301	80.0
C01762	Xanthosine	7.304	0.585	0.08	159.524	3.675	70.0
C00631	2-Phospho-D-glycerate	-2.621	0.202	0.187	7.302	-0.449	60.0
C00441	L-Aspartate_4-semialdehyde	-4.815	3.222	0.331	37.48	-3.635	80.0
C00526	Deoxyuridine	3.907	0.415	0.106	16.334	0.795	60.0
C00259	L-Arabinose	8.262	3.17	0.384	315.98	6.922	90.0
C00448	trans,trans-Farnesyl_diphosphate	4.285	0.415	0.097	20.828	1.012	60.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	3.536	-1.0	0.172	13.6	-1.229	50.0
C05747	(R)-3-Hydroxyhexanoyl-[acp]	-7.484	-1.0	0.011	181.023	-1.016	50.0
C00041	L-Alanine	-4.97	1.907	0.12	35.092	-2.07	60.0
C00040	Acyl-CoA	7.136	0.363	0.051	141.939	2.852	70.0
C00047	L-Lysine	6.931	1.807	0.261	125.521	5.032	80.0
C00046	RNA	-6.306	-4.104	0.217	96.318	-4.388	90.0
C00044	GTP	-6.623	-4.131	0.178	116.086	-4.367	90.0
C00204	2-Dehydro-3-deoxy-D-gluconate	5.919	-4.059	0.275	77.174	-4.41	90.0
C00049	L-Aspartate	-3.779	1.871	0.266	17.385	-2.212	70.0
C00048	Glyoxylate	-1.322	1.773	0.732	5.918	-2.114	70.0
