compound_code	compound_name	lachnospiraceae_mock_score	mollicute_mock_score	ratio	magnitude	interaction_score	percentile
C00988	2-Phosphoglycolate	1.0	2.0	0.5	6.0	1.585	70.0
C00117	D-Ribose_5-phosphate	-3.467	-0.158	0.0	0.0	0.0	50.0
C00111	Glycerone_phosphate	-0.466	-2.784	0.0	0.0	0.0	50.0
C00112	CDP	-4.087	-4.755	0.0	0.0	0.0	50.0
C00085	D-Fructose_6-phosphate	3.961	3.773	0.953	29.244	4.8	90.0
C00299	Uridine	0.263	0.241	0.916	2.382	1.126	70.0
C01079	Protoporphyrinogen_IX	-1.0	-3.17	0.0	0.0	0.0	50.0
C11435	4-(Cytidine_5'-diphospho)-2-C-methyl-D-erythritol	-0.415	-1.0	0.0	0.0	0.0	50.0
C18096	D-Allulose_6-phosphate	-1.585	-4.644	0.0	0.0	0.0	50.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	-1.585	3.459	0.273	13.997	-1.933	90.0
C00262	Hypoxanthine	-1.0	-1.766	0.0	0.0	0.0	50.0
C01172	beta-D-Glucose_6-phosphate	-1.585	2.663	0.474	9.334	-2.144	90.0
C00267	alpha-D-Glucose	-1.718	-4.406	0.0	0.0	0.0	50.0
C03294	N-Formylmethionyl-tRNA	-1.585	-2.0	0.0	0.0	0.0	50.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	1.0	-3.807	0.143	15.997	-1.193	70.0
C00188	L-Threonine	-0.893	2.585	0.309	7.857	-1.282	70.0
C02702	L-Prolyl-tRNA(Pro)	-1.0	-3.17	0.0	0.0	0.0	50.0
C00183	L-Valine	0.041	2.807	0.015	8.027	-3.092	90.0
C00010	CoA	-1.0	2.0	0.5	6.0	-1.585	80.0
C00286	dGTP	1.087	-5.227	0.057	39.577	-1.167	70.0
C00124	D-Galactose	-2.807	-3.585	0.0	0.0	0.0	50.0
C02412	Glycyl-tRNA(Gly)	-1.0	-3.585	0.0	0.0	0.0	50.0
C02553	L-Seryl-tRNA(Ser)	-2.0	-3.907	0.0	0.0	0.0	50.0
C05378	beta-D-Fructose_1,6-bisphosphate	-0.115	-4.807	0.0	0.0	0.0	50.0
C02554	L-Valyl-tRNA(Val)	-1.585	-2.807	0.0	0.0	0.0	50.0
C00458	dCTP	1.415	-4.728	0.101	29.168	-1.553	80.0
C00459	dTTP	1.874	3.392	0.552	14.163	2.968	90.0
C01367	3'-AMP	-1.0	-2.807	0.0	0.0	0.0	50.0
C00199	D-Ribulose_5-phosphate	-1.354	-3.83	0.0	0.0	0.0	50.0
C00217	D-Glutamate	-1.0	1.0	1.0	4.0	-2.0	90.0
C01368	3'-UMP	-1.0	-2.807	0.0	0.0	0.0	50.0
C00037	Glycine	-0.17	3.129	0.129	9.873	-0.345	70.0
C00035	GDP	-4.087	4.919	0.562	47.247	-4.73	90.0
C00031	D-Glucose	2.459	3.644	0.675	18.0	3.602	90.0
C00330	Deoxyguanosine	-0.585	4.807	0.054	29.493	-0.66	70.0
C00135	L-Histidine	-1.0	2.807	0.286	8.998	-1.363	80.0
C00131	dATP	0.737	2.7	0.273	8.165	1.156	70.0
C00130	IMP	-0.222	4.087	0.069	18.161	-0.318	60.0
C11453	2-C-Methyl-D-erythritol_2,4-cyclodiphosphate	-0.807	-1.7	0.0	0.0	0.0	50.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	0.415	-0.415	1.0	2.667	-1.415	80.0
C00041	L-Alanine	0.585	-2.807	0.214	8.498	-0.865	70.0
C00047	L-Lysine	0.585	2.807	0.208	8.498	0.825	70.0
C00046	RNA	2.747	-2.7	0.968	13.211	-3.677	90.0
C00044	GTP	-2.051	-3.826	0.0	0.0	0.0	50.0
C00049	L-Aspartate	0.057	2.907	0.02	8.541	-2.578	90.0
C01528	Hydrogen_selenide	1.0	-3.544	0.171	13.664	-1.228	70.0
