compound_code	compound_name	parabacteroides_mock_score	turicibacter_mock_score	ratio	magnitude	interaction_score	percentile
C00692	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	7.044	4.954	0.703	162.96	6.841	80.0
C00695	Cholic_acid	-7.762	-1.0	0.009	219.068	-1.013	50.0
C00269	CDP-diacylglycerol	-7.116	1.0	0.014	140.717	-1.021	50.0
C16219	3-Oxostearoyl-[acp]	9.263	-3.459	0.018	625.382	-3.485	70.0
C00263	L-Homoserine	5.802	1.291	0.223	58.24	3.696	70.0
C16217	3-Hydroxyoctadecanoyl-CoA	-10.617	-3.0	0.005	1578.491	-3.007	60.0
C16216	3-Oxostearoyl-CoA	10.617	3.0	0.283	1578.491	8.801	90.0
C00267	alpha-D-Glucose	8.316	-3.798	0.044	332.597	-3.86	80.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	-10.328	-2.322	0.004	1290.399	-2.328	50.0
C00286	dGTP	-6.216	3.047	0.111	82.601	-3.199	60.0
C00283	Hydrogen_sulfide	6.781	3.17	0.467	118.973	5.797	70.0
C00288	HCO3-	-8.19	4.087	0.058	309.03	-4.169	80.0
C04691	2-Dehydro-3-deoxy-D-arabino-heptonate_7-phosphate	8.175	-2.322	0.017	294.015	-2.347	50.0
C04053	5-Dehydro-4-deoxy-D-glucuronate	10.043	4.524	0.45	1077.987	8.924	90.0
C01209	Malonyl-[acyl-carrier_protein]	8.467	4.17	0.493	371.852	7.517	80.0
C02492	1,4-beta-D-Mannan	8.791	3.322	0.378	452.95	7.419	80.0
C00217	D-Glutamate	7.198	-3.585	0.082	158.83	-3.698	70.0
C00212	Adenosine	9.618	1.0	0.104	787.79	6.356	80.0
C00036	Oxaloacetate	5.972	3.289	0.551	72.544	5.32	70.0
C00037	Glycine	8.499	-0.089	0.003	362.851	-0.093	60.0
C00035	GDP	-6.889	-3.626	0.104	130.867	-3.769	80.0
C00033	Acetate	8.614	-2.263	0.012	396.607	-2.281	50.0
C00031	D-Glucose	9.843	-2.858	0.008	925.664	-2.869	60.0
C00137	myo-Inositol	-7.745	-3.7	0.061	227.521	-3.785	80.0
C00134	Putrescine	-7.562	1.585	0.016	191.968	-1.608	50.0
C00133	D-Alanine	8.322	3.907	0.469	335.017	7.297	80.0
C00131	dATP	-4.807	-0.531	0.052	29.438	-0.604	60.0
C00130	IMP	-8.226	0.716	0.005	301.057	-0.724	60.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	8.821	3.022	0.343	460.38	7.301	80.0
C00041	L-Alanine	7.966	3.907	0.49	265.039	7.022	80.0
C00040	Acyl-CoA	7.375	2.7	0.366	172.493	5.981	70.0
C00046	RNA	-8.982	4.077	0.033	522.529	-4.124	80.0
C00044	GTP	-9.432	-2.605	0.009	696.824	-2.618	50.0
C00049	L-Aspartate	5.764	2.714	0.471	60.904	4.842	70.0
C00048	Glyoxylate	-0.874	3.322	0.183	11.833	-1.117	50.0
C06481	L-Seryl-tRNA(Sec)	-9.987	-3.907	0.015	1029.815	-3.928	80.0
C04236	(2S)-2-Isopropyl-3-oxosuccinate	-8.718	-1.0	0.005	423.094	-1.007	50.0
C01100	L-Histidinol_phosphate	-4.776	3.17	0.329	36.398	-3.58	70.0
C01103	Orotidine_5'-phosphate	5.866	3.17	0.54	67.324	5.185	70.0
C04462	N-Succinyl-2-L-amino-6-oxoheptanedioate	0.341	0.341	1.0	2.533	1.341	60.0
C00101	Tetrahydrofolate	2.23	0.515	0.231	6.12	0.499	60.0
C05122	Taurocholate	7.762	1.0	0.129	219.068	4.819	70.0
C06007	(R)-2,3-Dihydroxy-3-methylpentanoate	-8.552	-2.248	0.013	380.076	-2.266	50.0
C06006	(S)-2-Aceto-2-hydroxybutanoate	9.054	-2.585	0.011	537.527	-2.601	50.0
C05345	beta-D-Fructose_6-phosphate	6.678	4.279	0.641	121.809	6.286	80.0
C03512	L-Tryptophanyl-tRNA(Trp)	-8.945	-1.0	0.004	494.848	-1.006	50.0
C00387	Guanosine	9.618	1.0	0.104	787.79	6.356	80.0
C05466	Glycochenodeoxycholate	7.762	1.0	0.129	219.068	4.819	70.0
C05465	Taurochenodeoxycholate	7.762	1.0	0.129	219.068	4.819	70.0
C11907	4,6-Dideoxy-4-oxo-dTDP-D-glucose	-7.907	-3.807	0.058	254.015	-3.889	80.0
C00253	Nicotinate	-8.162	-0.415	0.005	287.756	-0.422	60.0
C00254	Prephenate	-6.372	0.783	0.021	84.546	-0.813	60.0
C05336	Selenomethionyl-tRNA(Met)	-9.109	-1.0	0.004	554.182	-1.005	50.0
C00392	Mannitol	4.17	1.0	0.24	20.001	2.262	60.0
C00259	L-Arabinose	-7.741	-6.248	0.355	289.935	-6.687	90.0
C01081	Thiamin_monophosphate	5.322	-3.585	0.3	52.002	-3.964	80.0
C00886	L-Alanyl-tRNA	-10.025	-3.907	0.014	1056.9	-3.928	80.0
C00498	ADP-glucose	8.323	-7.096	0.427	457.045	-7.609	90.0
C00078	L-Tryptophan	7.31	1.0	0.137	160.683	4.458	70.0
C00079	L-Phenylalanine	6.981	1.99	0.285	130.298	5.215	70.0
C00073	L-Methionine	7.384	2.668	0.361	173.39	5.969	70.0
C00077	L-Ornithine	-6.61	-1.585	0.031	100.681	-1.629	50.0
C00074	Phosphoenolpyruvate	-10.671	-6.807	0.069	1742.361	-6.903	90.0
C00075	UTP	9.82	3.194	0.325	913.039	8.214	90.0
C00085	D-Fructose_6-phosphate	9.791	-3.322	0.011	895.9	-3.338	70.0
C00082	L-Tyrosine	-5.466	0.022	0.023	45.216	-0.055	60.0
C04640	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine	-6.833	-1.0	0.018	116.009	-1.025	50.0
C00089	Sucrose	-7.562	2.663	0.034	195.302	-2.711	60.0
C04646	6-Thioinosine-5'-monophosphate	8.077	1.585	0.196	273.035	5.744	70.0
C00671	(S)-3-Methyl-2-oxopentanoic_acid	8.111	-0.637	0.006	278.029	-0.645	60.0
C01921	Glycocholate	7.762	1.0	0.129	219.068	4.819	70.0
C00673	2-Deoxy-D-ribose_5-phosphate	10.115	-0.585	0.001	1110.466	-0.587	60.0
C01250	N-Acetyl-L-glutamate_5-semialdehyde	-8.193	-1.138	0.008	294.844	-1.149	50.0
C00106	Uracil	-7.541	4.524	0.124	209.245	-4.692	90.0
C00105	UMP	-6.14	1.322	0.035	73.022	-1.372	50.0
C00103	D-Glucose_1-phosphate	9.864	-1.536	0.003	934.78	-1.54	50.0
C00100	Propanoyl-CoA	-9.295	-0.415	0.002	629.498	-0.418	60.0
C05838	cis-2-Hydroxycinnamate	-10.551	-4.672	0.017	1525.756	-4.696	90.0
C02474	Arabinan	10.471	6.629	0.633	1518.311	9.909	90.0
C00109	2-Oxobutanoate	-6.205	3.395	0.143	84.291	-3.587	70.0
C04702	UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)	7.531	1.0	0.133	186.951	4.634	70.0
C05764	Hexadecanoyl-[acp]	8.667	4.17	0.481	424.47	7.674	80.0
C05761	Tetradecanoyl-[acp]	8.667	4.17	0.481	424.47	7.674	80.0
C05760	trans-Tetradec-2-enoyl-[acp]	7.317	-4.087	0.107	176.449	-4.233	80.0
C05763	trans-Hexadec-2-enoyl-[acp]	7.317	-4.087	0.107	176.449	-4.233	80.0
C05762	3-Oxohexadecanoyl-[acp]	9.041	-3.087	0.016	535.257	-3.11	60.0
C00361	dGDP	6.185	1.222	0.198	75.089	3.891	70.0
C02992	L-Threonyl-tRNA(Thr)	-9.617	-5.585	0.061	833.247	-5.671	90.0
C00179	Agmatine	-9.512	3.0	0.011	738.125	-3.016	60.0
C03090	5-Phosphoribosylamine	-6.926	4.868	0.24	150.802	-5.179	90.0
C01077	O-Acetyl-L-homoserine	8.553	4.0	0.468	391.586	7.517	80.0
C11435	4-(Cytidine_5'-diphospho)-2-C-methyl-D-erythritol	3.485	1.585	0.455	14.197	2.691	70.0
C11436	2-Phospho-4-(cytidine_5'-diphospho)-2-C-methyl-D-erythritol	-4.752	-1.585	0.111	29.946	-1.737	50.0
C00857	Deamino-NAD+	4.773	-3.459	0.402	38.338	-3.947	80.0
C02412	Glycyl-tRNA(Gly)	-8.743	-4.807	0.065	456.448	-4.898	90.0
C01179	3-(4-Hydroxyphenyl)pyruvate	4.254	-0.08	0.055	20.137	-0.158	60.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	-7.781	1.0	0.009	221.945	-1.013	50.0
C04411	(2R,3S)-3-Isopropylmalate	-5.186	-2.609	0.168	42.504	-2.833	60.0
C01172	beta-D-Glucose_6-phosphate	-4.585	-1.71	0.136	27.272	-1.894	50.0
C18796	(2R)-2-Hydroxy-2-methylbutanenitrile	-10.551	-4.672	0.017	1525.756	-4.696	90.0
C08334	Lotaustralin	10.551	4.672	0.443	1525.756	9.4	90.0
C03892	Phosphatidylglycerophosphate	-4.459	-1.585	0.136	24.993	-1.769	50.0
C00681	1-Acyl-sn-glycerol_3-phosphate	8.273	2.954	0.357	317.078	6.823	80.0
C00680	meso-2,6-Diaminoheptanedioate	4.545	2.342	0.515	28.414	3.872	70.0
C02553	L-Seryl-tRNA(Ser)	-9.989	-3.907	0.015	1031.223	-3.928	80.0
C00688	dTDP-4-dehydro-6-deoxy-beta-L-mannose	4.565	3.17	0.694	32.671	4.504	70.0
C05378	beta-D-Fructose_1,6-bisphosphate	10.035	-4.832	0.027	1077.629	-4.871	90.0
C00448	trans,trans-Farnesyl_diphosphate	-6.129	1.0	0.029	71.986	-1.041	50.0
C04349	(4S)-4,6-Dihydroxy-2,5-dioxohexanoate	-10.043	-3.644	0.012	1067.481	-3.661	70.0
C16220	3-Hydroxyoctadecanoyl-[acp]	-10.617	3.322	0.006	1580.492	-3.331	70.0
C16221	(2E)-Octadecenoyl-[acp]	9.106	-4.087	0.031	568.029	-4.131	80.0
C04294	5-(2-Hydroxyethyl)-4-methylthiazole	-5.833	3.585	0.211	69.005	-3.861	80.0
C00458	dCTP	-6.427	3.0	0.093	94.044	-3.128	60.0
C00459	dTTP	-8.832	3.585	0.026	467.719	-3.622	70.0
C04896	5-(5-Phospho-D-ribosylaminoformimino)-1-(5-phosphoribosyl)-imidazole-4-carboxamide	6.229	2.585	0.415	81.01	5.071	70.0
C00455	Nicotinamide_D-ribonucleotide	5.728	3.585	0.626	65.003	5.346	70.0
C00354	D-Fructose_1,6-bisphosphate	-8.416	2.273	0.014	346.394	-2.293	50.0
C00330	Deoxyguanosine	8.17	1.0	0.122	290.015	5.15	70.0
C00337	(S)-Dihydroorotate	3.7	-2.503	0.436	18.665	-3.025	60.0
C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier_protein]	-10.203	3.322	0.008	1188.716	-3.334	70.0
C01269	5-O-(1-Carboxyvinyl)-3-phosphoshikimate	-5.392	-2.585	0.143	47.991	-2.778	60.0
C00631	2-Phospho-D-glycerate	-6.391	-0.594	0.018	85.433	-0.62	60.0
C02528	Chenodeoxycholate	-7.762	-1.0	0.009	219.068	-1.013	50.0
C01594	Linamarin	10.551	4.672	0.443	1525.756	9.4	90.0
C00208	Maltose	-9.655	-1.585	0.004	809.203	-1.59	50.0
C00204	2-Dehydro-3-deoxy-D-gluconate	9.289	0.322	0.035	626.808	4.441	70.0
C01212	UDP-N-acetylmuramoyl-L-alanine	7.726	-3.322	0.047	221.718	-3.389	70.0
C00025	L-Glutamate	3.367	-1.263	0.233	12.717	-1.565	50.0
C00024	Acetyl-CoA	10.672	2.299	0.215	1636.44	8.462	90.0
C00148	L-Proline	7.538	2.07	0.275	190.05	5.706	70.0
C00026	2-Oxoglutarate	5.085	-2.585	0.177	39.942	-2.82	60.0
C00021	S-Adenosyl-L-homocysteine	-5.828	2.954	0.136	64.556	-3.138	60.0
C00020	AMP	-7.908	0.678	0.007	241.785	-0.688	60.0
C00022	Pyruvate	-7.12	5.066	0.241	172.6	-5.377	90.0
C00143	5,10-Methylenetetrahydrofolate	-8.635	0.425	0.003	398.895	-0.43	60.0
C00140	N-Acetyl-D-glucosamine	6.82	-3.737	0.118	126.32	-3.898	80.0
C00141	3-Methyl-2-oxobutanoic_acid	-6.226	-0.854	0.024	76.661	-0.888	60.0
C00029	UDP-glucose	8.82	-2.962	0.017	459.736	-2.987	60.0
C00147	Adenine	-6.608	-0.322	0.013	98.795	-0.34	60.0
C00144	GMP	-8.565	-0.788	0.005	380.45	-0.795	60.0
C05729	R-S-Cysteinylglycine	10.589	3.807	0.36	1554.301	9.126	90.0
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	-5.931	-4.181	0.297	79.15	-4.557	90.0
C04633	(3R)-3-Hydroxypalmitoyl-[acyl-carrier_protein]	-9.981	2.954	0.008	1018.351	-2.965	60.0
C02739	1-(5-Phospho-D-ribosyl)-ATP	-4.943	2.222	0.152	35.426	-2.426	50.0
C05726	S-Substituted_L-cysteine	-10.589	-3.807	0.009	1554.301	-3.82	80.0
C06250	Holo-[carboxylase]	-8.214	-1.585	0.01	299.934	-1.6	50.0
C04752	2-Methyl-4-amino-5-hydroxymethylpyrimidine_diphosphate	8.165	-4.0	0.056	303.019	-4.078	80.0
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	8.604	1.585	0.184	392.101	6.175	80.0
C00092	D-Glucose_6-phosphate	9.952	-2.678	0.006	996.891	-2.687	60.0
C06037	Digalactosyl-diacylglycerol	9.18	3.7	0.403	593.033	7.901	80.0
C03511	L-Phenylalanyl-tRNA(Phe)	-9.641	-4.585	0.03	822.418	-4.628	90.0
C06032	D-erythro-3-Methylmalate	-5.078	-2.517	0.169	39.502	-2.743	60.0
C03287	L-Glutamyl_5-phosphate	-3.931	-2.248	0.311	20.003	-2.639	50.0
C03125	L-Cysteinyl-tRNA(Cys)	-9.814	-3.0	0.009	908.137	-3.013	60.0
C03127	L-Isoleucyl-tRNA(Ile)	-9.426	-1.0	0.003	689.874	-1.004	50.0
C03692	1,2-Diacyl-3-beta-D-galactosyl-sn-glycerol	-9.18	-3.7	0.022	593.033	-3.732	70.0
C20373	3-Hydroxyglutaryl-[acp]_methyl_ester	-10.617	3.322	0.006	1580.492	-3.331	70.0
C20372	3-Ketoglutaryl-[acp]_methyl_ester	9.263	-3.459	0.018	625.382	-3.485	70.0
C20377	3-Hydroxypimeloyl-[acp]_methyl_ester	-10.617	3.322	0.006	1580.492	-3.331	70.0
C20376	3-Ketopimeloyl-[acp]_methyl_ester	9.263	-3.459	0.018	625.382	-3.485	70.0
C20375	Glutaryl-[acp]_methyl_ester	8.667	4.17	0.481	424.47	7.674	80.0
C20374	Enoylglutaryl-[acp]_methyl_ester	9.106	-4.087	0.031	568.029	-4.131	80.0
C20378	Enoylpimeloyl-[acp]_methyl_ester	9.106	-4.087	0.031	568.029	-4.131	80.0
C04916	N-(5'-Phospho-D-1'-ribulosylformimino)-5-amino-1-(5''-phospho-D-ribosyl)-4-imidazolecarboxamide	-6.011	-3.459	0.171	75.487	-3.686	70.0
C00416	Phosphatidate	8.021	2.939	0.366	267.422	6.615	80.0
C04851	MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho-undecaprenol	-6.304	3.907	0.19	94.013	-4.158	80.0
C00993	D-Alanyl-D-alanine	-8.508	-3.907	0.041	379.053	-3.965	80.0
C01798	D-Glucoside	10.551	4.672	0.443	1525.756	9.4	90.0
C00620	alpha-D-Ribose_1-phosphate	11.736	1.807	0.154	3414.549	9.038	90.0
C02686	Galactosylceramide	-8.333	-3.7	0.04	335.461	-3.757	80.0
C00243	Lactose	11.461	2.115	0.185	2823.395	9.025	90.0
C00242	Guanine	-8.595	-1.0	0.005	388.681	-1.007	50.0
C00245	Taurine	-6.486	-1.0	0.022	91.636	-1.032	50.0
C01097	D-Tagatose_6-phosphate	9.329	5.555	0.595	690.158	8.683	90.0
C00561	Mandelonitrile	-10.551	-4.672	0.017	1525.756	-4.696	90.0
C01094	D-Fructose_1-phosphate	10.599	3.322	0.313	1561.019	8.934	90.0
C00068	Thiamin_diphosphate	4.229	0.838	0.198	20.54	2.025	60.0
C00342	Thioredoxin	-7.406	-3.496	0.067	180.883	-3.589	70.0
C00343	Thioredoxin_disulfide	7.322	3.544	0.484	171.672	6.377	80.0
C05684	Selenite	9.441	3.7	0.392	708.059	8.116	90.0
C00063	CTP	9.99	3.632	0.364	1029.324	8.548	90.0
C00062	L-Arginine	-5.081	-1.0	0.059	35.848	-1.083	50.0
C00065	L-Serine	-7.847	0.981	0.009	232.215	-0.993	50.0
C00064	L-Glutamine	-8.294	-3.478	0.036	325.007	-3.528	70.0
C11811	1-Hydroxy-2-methyl-2-butenyl_4-diphosphate	-7.629	-3.585	0.061	209.951	-3.67	70.0
C16633	5-Fluorouridine	8.725	3.907	0.448	438.144	7.616	80.0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	8.518	-1.293	0.007	369.034	-1.303	50.0
C16634	5-Fluorouridine_monophosphate	-9.773	-3.907	0.017	889.917	-3.932	80.0
C19673	Malonyl-[acp]_methyl_ester	9.691	4.17	0.43	844.575	8.505	90.0
C00668	alpha-D-Glucose_6-phosphate	-9.765	-2.705	0.007	876.598	-2.716	60.0
C00666	LL-2,6-Diaminoheptanedioate	7.857	-0.737	0.007	233.509	-0.747	60.0
C00988	2-Phosphoglycolate	6.358	4.248	0.668	101.026	6.077	70.0
C00117	D-Ribose_5-phosphate	-9.819	3.568	0.013	915.121	-3.587	70.0
C00116	Glycerol	-8.132	-1.0	0.007	282.528	-1.01	50.0
C00111	Glycerone_phosphate	-9.192	0.93	0.003	586.787	-0.935	60.0
C00112	CDP	-8.65	-5.524	0.115	447.721	-5.68	90.0
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	-6.682	-3.487	0.109	113.891	-3.637	70.0
C00118	D-Glyceraldehyde_3-phosphate	8.074	4.617	0.572	294.012	7.393	80.0
C05750	3-Oxooctanoyl-[acp]	9.041	-3.087	0.016	535.257	-3.11	60.0
C05751	trans-Oct-2-enoyl-[acp]	7.317	-4.087	0.107	176.449	-4.233	80.0
C05752	Octanoyl-[acp]	8.592	4.17	0.485	403.879	7.615	80.0
C05753	3-Oxodecanoyl-[acp]	9.041	-3.087	0.016	535.257	-3.11	60.0
C05754	trans-Dec-2-enoyl-[acp]	7.317	-4.087	0.107	176.449	-4.233	80.0
C05755	Decanoyl-[acp]	8.667	4.17	0.481	424.47	7.674	80.0
C05756	3-Oxododecanoyl-[acp]	9.263	-3.459	0.018	625.382	-3.485	70.0
C05757	(R)-3-Hydroxydodecanoyl-[acp]	-10.203	3.322	0.008	1188.716	-3.334	70.0
C05758	trans-Dodec-2-enoyl-[acp]	7.317	-4.087	0.107	176.449	-4.233	80.0
C05759	3-Oxotetradecanoyl-[acp]	9.263	-3.459	0.018	625.382	-3.485	70.0
C00188	L-Threonine	5.923	2.546	0.43	66.514	4.837	70.0
C02702	L-Prolyl-tRNA(Pro)	-9.34	-4.087	0.026	665.062	-4.124	80.0
C00185	Cellobiose	10.298	2.907	0.282	1266.446	8.482	90.0
C01235	alpha-D-Galactosyl-(1->3)-1D-myo-inositol	9.18	3.7	0.403	593.033	7.901	80.0
C00181	D-Xylose	11.506	-3.322	0.003	2918.38	-3.327	70.0
C00159	D-Mannose	-9.025	2.97	0.015	528.785	-2.992	60.0
C02839	L-Tyrosyl-tRNA(Tyr)	-9.579	-2.807	0.009	771.831	-2.82	60.0
C00842	dTDP-glucose	-5.322	-2.585	0.15	46.002	-2.787	60.0
C02554	L-Valyl-tRNA(Val)	-9.397	-1.0	0.003	676.185	-1.004	50.0
C01290	beta-D-Galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide	11.461	3.322	0.29	2829.063	9.679	90.0
C00445	5,10-Methenyltetrahydrofolate	7.106	0.059	0.008	138.8	0.205	60.0
C01762	Xanthosine	9.618	1.0	0.104	787.79	6.356	80.0
C00441	L-Aspartate_4-semialdehyde	7.639	2.585	0.338	205.328	6.119	80.0
C00440	5-Methyltetrahydrofolate	6.644	2.807	0.422	107.008	5.499	70.0
C00526	Deoxyuridine	8.582	1.0	0.117	385.212	5.488	70.0
C11453	2-C-Methyl-D-erythritol_2,4-cyclodiphosphate	7.698	3.209	0.417	216.896	6.498	80.0
C00169	Carbamoyl_phosphate	-8.773	-3.563	0.027	449.276	-3.601	70.0
C04882	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine	7.531	1.0	0.133	186.951	4.634	70.0
C01190	beta-D-Glucosyl-(1<->1)-ceramide	-10.822	-3.322	0.006	1820.284	-3.33	70.0
C04133	N-Acetyl-L-glutamate_5-phosphate	6.627	1.415	0.214	101.505	4.438	70.0
C03838	5'-Phosphoribosylglycinamide	-6.366	-5.644	0.606	132.487	-6.328	90.0
C05400	Epimelibiose	9.18	3.7	0.403	593.033	7.901	80.0
C05401	3-beta-D-Galactosyl-sn-glycerol	9.18	3.7	0.403	593.033	7.901	80.0
C05404	D-Gal_alpha_1->6D-Gal_alpha_1->6D-Glucose	9.18	-3.907	0.026	595.038	-3.944	80.0
C03939	Acetyl-[acyl-carrier_protein]	-8.948	4.17	0.036	511.875	-4.222	80.0
C00623	sn-Glycerol_1-phosphate	-2.585	-3.322	0.6	16.001	-3.263	60.0
C04039	2,3-Dihydroxy-3-methylbutanoate	-9.229	-2.807	0.012	607.074	-2.824	60.0
C05335	L-Selenomethionine	8.358	-2.585	0.018	334.102	-2.611	50.0
C01222	GDP-4-dehydro-6-deoxy-D-mannose	-2.954	-2.585	0.774	13.749	-3.412	70.0
C00624	N-Acetyl-L-glutamate	8.539	-1.585	0.008	374.959	-1.597	50.0
C00231	D-Xylulose_5-phosphate	-8.858	1.802	0.008	467.493	-1.813	50.0
C00234	10-Formyltetrahydrofolate	6.811	-1.04	0.018	114.34	-1.066	50.0
C01613	Stachyose	9.18	4.322	0.471	600.038	8.142	90.0
C00010	CoA	-8.285	-3.0	0.026	319.913	-3.037	60.0
C00011	CO2	10.508	2.322	0.221	1461.208	8.335	90.0
C00014	Ammonia	-7.126	3.191	0.065	148.814	-3.282	70.0
C00015	UDP	-8.186	-4.575	0.082	315.062	-4.688	90.0
C00019	S-Adenosyl-L-methionine	-1.047	-1.585	0.689	5.066	-1.803	50.0
C00153	Nicotinamide	-8.913	-1.0	0.004	484.037	-1.006	50.0
C00152	L-Asparagine	-6.251	-3.434	0.142	86.97	-3.625	70.0
C00155	L-Homocysteine	-8.531	-0.402	0.004	371.224	-0.407	60.0
C02336	beta-D-Fructose	8.055	-4.17	0.068	283.949	-4.264	90.0
C00058	Formate	-6.827	-0.807	0.015	115.285	-0.829	60.0
