compound_code	compound_name	eubacterium_mock_score	butyrivibrio_mock_score	ratio	magnitude	interaction_score	percentile
C04053	5-Dehydro-4-deoxy-D-glucuronate	2.807	9.267	0.303	623.089	7.56	80.0
C00672	2-Deoxy-D-ribose_1-phosphate	-3.585	8.195	0.041	305.05	-3.643	60.0
C01209	Malonyl-[acyl-carrier_protein]	3.931	6.672	0.589	117.223	6.11	70.0
C02492	1,4-beta-D-Mannan	5.524	7.022	0.787	175.981	7.113	80.0
C00217	D-Glutamate	4.392	5.615	0.782	70.005	5.775	70.0
C00214	Thymidine	2.0	5.102	0.392	38.344	3.91	60.0
C00212	Adenosine	4.087	6.819	0.599	129.902	6.283	70.0
C16688	Sucrose_6-phosphate	2.322	7.322	0.317	165.008	5.71	70.0
C00036	Oxaloacetate	6.503	10.089	0.645	1179.858	9.571	90.0
C00037	Glycine	4.775	8.083	0.591	298.539	7.462	80.0
C00035	GDP	-4.358	1.7	0.158	23.755	-1.912	50.0
C00033	Acetate	4.598	8.404	0.547	362.95	7.634	80.0
C00031	D-Glucose	-3.672	7.856	0.055	244.428	-3.749	60.0
C00137	myo-Inositol	-3.644	-7.335	0.077	173.958	-3.752	60.0
C00136	Butanoyl-CoA	-3.807	9.309	0.022	648.287	-3.838	60.0
C00135	L-Histidine	1.222	-6.2	0.032	75.849	-1.267	50.0
C00134	Putrescine	1.585	6.009	0.264	67.401	4.152	60.0
C00133	D-Alanine	4.524	5.833	0.776	80.011	5.955	70.0
C00131	dATP	-2.322	-6.479	0.056	94.202	-2.401	50.0
C00130	IMP	1.951	-2.346	0.76	8.951	-2.767	50.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	-1.524	-4.585	0.12	26.876	-1.687	50.0
C00042	Succinate	4.17	4.7	0.887	43.993	5.287	60.0
C00041	L-Alanine	4.392	6.79	0.647	131.656	6.412	70.0
C00040	Acyl-CoA	4.907	7.654	0.641	231.413	7.213	80.0
C00047	L-Lysine	3.807	-5.951	0.226	75.859	-4.101	70.0
C00046	RNA	-5.087	-7.76	0.157	250.756	-5.297	80.0
C00044	GTP	-5.884	-8.947	0.12	552.588	-6.047	90.0
C00049	L-Aspartate	3.232	5.666	0.57	60.169	5.101	60.0
C00048	Glyoxylate	3.954	6.975	0.567	141.299	6.324	70.0
C06481	L-Seryl-tRNA(Sec)	-5.807	-8.426	0.163	399.923	-6.025	90.0
C04236	(2S)-2-Isopropyl-3-oxosuccinate	-5.129	-8.098	0.128	308.987	-5.302	80.0
C01101	L-Ribulose_5-phosphate	4.0	9.382	0.426	683.211	8.186	90.0
C01100	L-Histidinol_phosphate	-3.459	-4.524	0.478	34.004	-4.023	70.0
C01103	Orotidine_5'-phosphate	-6.052	-6.59	0.689	162.685	-6.808	90.0
C05122	Taurocholate	3.17	7.418	0.427	180.018	6.265	70.0
C06007	(R)-2,3-Dihydroxy-3-methylpentanoate	2.585	-9.471	0.008	715.668	-2.597	50.0
C06006	(S)-2-Aceto-2-hydroxybutanoate	4.129	9.809	0.421	914.519	8.589	90.0
C16565	Aminopropylcadaverine	-4.087	-6.304	0.215	96.007	-4.368	70.0
C00957	Mercaptopyruvate	2.0	3.907	0.512	19.001	3.282	60.0
C04302	N-(5-Phospho-D-ribosyl)anthranilate	1.0	-4.087	0.118	18.995	-1.161	50.0
C05345	beta-D-Fructose_6-phosphate	6.025	10.671	0.565	1695.507	9.903	90.0
C00424	(S)-Lactaldehyde	-5.845	-8.195	0.196	350.53	-6.103	90.0
C00817	D-Altronate	2.115	-5.85	0.075	62.012	-2.219	50.0
C05840	Iminoaspartate	3.907	3.459	0.885	25.998	4.525	60.0
C05223	Dodecanoyl-[acyl-carrier_protein]	1.0	5.907	0.169	62.005	3.392	60.0
C05466	Glycochenodeoxycholate	3.17	7.418	0.427	180.018	6.265	70.0
C05465	Taurochenodeoxycholate	3.17	7.418	0.427	180.018	6.265	70.0
C11907	4,6-Dideoxy-4-oxo-dTDP-D-glucose	4.807	-8.214	0.094	324.927	-4.937	80.0
C00253	Nicotinate	-4.459	-7.583	0.115	213.732	-4.616	70.0
C00250	Pyridoxal	4.17	6.17	0.676	90.005	5.927	70.0
C00251	Chorismate	3.087	-6.188	0.117	81.405	-3.246	60.0
C00254	Prephenate	-1.678	-3.883	0.217	17.953	-1.961	50.0
C00255	Riboflavin	5.392	6.248	0.863	117.995	6.67	80.0
C05336	Selenomethionyl-tRNA(Met)	-5.7	-8.155	0.182	337.02	-5.942	90.0
C00259	L-Arabinose	-5.781	-8.098	0.201	328.98	-6.045	90.0
C01081	Thiamin_monophosphate	-2.585	-5.585	0.125	54.001	-2.755	50.0
C01083	alpha,alpha-Trehalose	-3.202	-8.873	0.02	478.058	-3.23	60.0
C00559	Deoxyadenosine	3.17	4.723	0.671	35.41	4.571	60.0
C00491	L-Cystine	7.807	7.459	0.955	399.892	8.578	90.0
C00492	Raffinose	-4.392	-4.907	0.7	50.998	-5.157	80.0
C00493	Shikimate	2.243	4.355	0.515	25.198	3.698	60.0
C00886	L-Alanyl-tRNA	-5.755	-8.551	0.144	429.07	-5.949	90.0
C00498	ADP-glucose	-7.105	-11.558	0.046	3152.784	-7.169	90.0
C00882	Dephospho-CoA	-4.524	-7.109	0.167	161.052	-4.746	70.0
C00881	Deoxycytidine	4.322	7.547	0.573	207.015	6.889	80.0
C00078	L-Tryptophan	4.437	5.624	0.789	70.977	5.807	70.0
C00079	L-Phenylalanine	3.017	3.469	0.87	19.168	4.059	60.0
C00073	L-Methionine	3.661	8.214	0.446	309.584	7.108	80.0
C00077	L-Ornithine	-1.585	7.366	0.018	167.963	-1.611	50.0
C00074	Phosphoenolpyruvate	-6.981	-10.818	0.07	1931.597	-7.079	90.0
C00075	UTP	6.969	9.406	0.741	803.683	9.218	90.0
C06032	D-erythro-3-Methylmalate	2.585	2.205	0.853	10.611	3.178	60.0
C00085	D-Fructose_6-phosphate	7.107	10.541	0.674	1627.754	10.1	90.0
C02352	1,4-beta-D-Xylan	1.585	6.883	0.23	121.029	4.801	60.0
C00083	Malonyl-CoA	-3.491	5.723	0.213	64.063	-3.769	60.0
C00082	L-Tyrosine	-0.553	-2.919	0.194	9.03	-0.809	50.0
C00081	ITP	4.17	6.022	0.692	82.984	5.845	70.0
C00080	H+	3.544	-6.672	0.114	113.634	-3.7	60.0
C04640	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine	-6.129	-4.585	0.343	93.987	-5.01	80.0
C03175	Shikimate_3-phosphate	-2.7	-4.492	0.289	29.0	-3.066	60.0
C00089	Sucrose	-5.931	-7.443	0.351	235.018	-6.365	90.0
C04646	6-Thioinosine-5'-monophosphate	5.426	8.185	0.663	334.017	7.791	90.0
C02218	Dehydroalanine	-1.585	-5.087	0.088	36.989	-1.707	50.0
C00671	(S)-3-Methyl-2-oxopentanoic_acid	2.29	7.446	0.308	179.26	5.785	70.0
C01921	Glycocholate	3.17	7.418	0.427	180.018	6.265	70.0
C00673	2-Deoxy-D-ribose_5-phosphate	-1.585	-3.807	0.214	16.997	-1.865	50.0
C01250	N-Acetyl-L-glutamate_5-semialdehyde	2.678	-3.7	0.492	19.396	-3.256	60.0
C00106	Uracil	2.888	6.373	0.453	90.285	5.355	60.0
C00105	UMP	-0.065	-4.71	0.04	27.219	-0.122	50.0
C00103	D-Glucose_1-phosphate	2.481	5.816	0.427	61.919	4.723	60.0
C00100	Propanoyl-CoA	-3.565	-11.255	0.005	2455.787	-3.572	60.0
C00101	Tetrahydrofolate	-2.655	-5.719	0.12	58.972	-2.818	50.0
C00270	N-Acetylneuraminate	1.585	7.786	0.204	223.709	5.509	70.0
C00109	2-Oxobutanoate	3.158	10.04	0.315	1061.714	8.384	90.0
C04702	UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)	2.0	-4.322	0.2	24.001	-2.263	50.0
C05764	Hexadecanoyl-[acp]	1.0	5.907	0.169	62.005	3.392	60.0
C05761	Tetradecanoyl-[acp]	1.0	5.907	0.169	62.005	3.392	60.0
C05760	trans-Tetradec-2-enoyl-[acp]	1.585	6.15	0.258	74.013	4.254	60.0
C05763	trans-Hexadec-2-enoyl-[acp]	1.585	6.15	0.258	74.013	4.254	60.0
C05762	3-Oxohexadecanoyl-[acp]	3.931	-2.0	0.262	19.253	-2.336	50.0
C00361	dGDP	3.17	6.786	0.467	119.355	5.801	70.0
C00170	5'-Methylthioadenosine	-1.0	4.285	0.103	21.495	-1.141	50.0
C02992	L-Threonyl-tRNA(Thr)	-6.209	-8.714	0.176	493.905	-6.443	90.0
C00179	Agmatine	2.322	5.19	0.447	41.505	4.215	60.0
C03090	5-Phosphoribosylamine	-2.678	-7.997	0.025	261.868	-2.714	50.0
C07086	Phenylacetic_acid	5.524	9.246	0.597	653.202	8.608	90.0
C01077	O-Acetyl-L-homoserine	4.954	7.243	0.684	182.478	6.964	80.0
C01079	Protoporphyrinogen_IX	-4.644	-8.574	0.066	406.096	-4.736	70.0
C11435	4-(Cytidine_5'-diphospho)-2-C-methyl-D-erythritol	0.678	-2.585	0.267	7.6	-1.019	50.0
C11436	2-Phospho-4-(cytidine_5'-diphospho)-2-C-methyl-D-erythritol	-2.053	-2.322	0.83	9.15	-2.925	50.0
C00857	Deamino-NAD+	2.807	-6.56	0.074	101.352	-2.91	50.0
C04419	Carboxybiotin-carboxyl-carrier_protein	2.459	7.96	0.309	254.498	6.297	70.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	1.0	4.0	0.25	18.0	2.17	50.0
C04411	(2R,3S)-3-Isopropylmalate	2.678	2.293	0.856	11.3	3.274	60.0
C01172	beta-D-Glucose_6-phosphate	4.644	9.166	0.507	599.438	8.247	90.0
C01177	Inositol_1-phosphate	1.0	7.285	0.137	157.957	4.438	60.0
C00169	Carbamoyl_phosphate	-4.678	-6.626	0.259	124.369	-5.01	80.0
C18796	(2R)-2-Hydroxy-2-methylbutanenitrile	-5.524	-9.95	0.047	1035.133	-5.59	80.0
C08334	Lotaustralin	5.524	9.95	0.555	1035.133	9.167	90.0
C03557	2-Aminoethylphosphonate	1.0	7.435	0.134	175.045	4.557	60.0
C03410	N-Glycoloyl-neuraminate	1.585	7.814	0.203	228.034	5.532	70.0
C03892	Phosphatidylglycerophosphate	-4.17	-7.637	0.09	217.053	-4.295	70.0
C02412	Glycyl-tRNA(Gly)	-6.392	-8.804	0.188	530.941	-6.64	90.0
C00680	meso-2,6-Diaminoheptanedioate	4.918	-1.312	0.082	32.715	-1.426	50.0
C02553	L-Seryl-tRNA(Ser)	-5.807	-8.426	0.163	399.923	-6.025	90.0
C00688	dTDP-4-dehydro-6-deoxy-beta-L-mannose	-4.524	6.903	0.192	142.684	-4.778	80.0
C05378	beta-D-Fructose_1,6-bisphosphate	3.672	-9.348	0.02	664.417	-3.7	60.0
C00831	Pantetheine	3.907	6.925	0.564	136.517	6.267	70.0
C04349	(4S)-4,6-Dihydroxy-2,5-dioxohexanoate	-2.7	-8.642	0.016	405.984	-2.723	50.0
C16220	3-Hydroxyoctadecanoyl-[acp]	-4.524	-6.977	0.183	148.983	-4.766	70.0
C00921	Dihydropteroate	3.17	7.109	0.446	147.046	6.035	70.0
C01674	Chitobiose	1.585	8.94	0.177	494.143	6.453	70.0
C00458	dCTP	-5.327	-8.959	0.081	537.795	-5.439	80.0
C00459	dTTP	4.312	7.798	0.553	242.415	7.067	80.0
C04896	5-(5-Phospho-D-ribosylaminoformimino)-1-(5-phosphoribosyl)-imidazole-4-carboxamide	2.322	7.683	0.302	210.501	5.991	70.0
C00455	Nicotinamide_D-ribonucleotide	3.755	-4.719	0.513	39.838	-4.352	70.0
C00354	D-Fructose_1,6-bisphosphate	-4.605	-8.26	0.079	330.89	-4.715	70.0
C00330	Deoxyguanosine	2.104	5.923	0.355	64.973	4.529	60.0
C00333	D-Galacturonate	6.17	9.638	0.64	868.763	9.119	90.0
C00337	(S)-Dihydroorotate	1.874	-5.209	0.099	40.654	-2.01	50.0
C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier_protein]	-4.524	-6.977	0.183	148.983	-4.766	70.0
C00630	2-Methylpropanoyl-CoA	6.0	4.524	0.754	87.007	6.036	70.0
C00631	2-Phospho-D-glycerate	0.249	2.926	0.085	8.788	-0.419	50.0
C02528	Chenodeoxycholate	-3.17	-7.418	0.053	180.018	-3.244	60.0
C01594	Linamarin	5.524	9.95	0.555	1035.133	9.167	90.0
C16221	(2E)-Octadecenoyl-[acp]	1.585	6.15	0.258	74.013	4.254	60.0
C00208	Maltose	-3.0	-8.472	0.023	363.08	-3.032	50.0
C00204	2-Dehydro-3-deoxy-D-gluconate	4.322	8.024	0.539	280.295	7.238	80.0
C01212	UDP-N-acetylmuramoyl-L-alanine	-2.0	3.781	0.291	17.747	-2.368	50.0
C00025	L-Glutamate	-4.875	5.922	0.484	89.976	-5.444	80.0
C00024	Acetyl-CoA	-4.381	-8.417	0.061	362.634	-4.466	70.0
C00148	L-Proline	3.379	-4.322	0.52	30.405	-3.983	60.0
C00026	2-Oxoglutarate	-4.807	-4.412	0.76	49.282	-5.228	80.0
C00021	S-Adenosyl-L-homocysteine	-4.555	5.597	0.486	71.909	-5.126	80.0
C00020	AMP	-3.565	-6.484	0.132	101.347	-3.744	60.0
C00022	Pyruvate	3.299	8.769	0.376	446.089	7.391	80.0
C00143	5,10-Methylenetetrahydrofolate	-1.312	-7.131	0.018	142.65	-1.337	50.0
C00140	N-Acetyl-D-glucosamine	-1.585	-6.87	0.026	119.971	-1.622	50.0
C00141	3-Methyl-2-oxobutanoic_acid	-3.904	-7.449	0.086	189.702	-4.023	70.0
C00029	UDP-glucose	-1.131	-7.345	0.013	164.769	-1.15	50.0
C00147	Adenine	2.644	4.295	0.616	25.881	3.994	60.0
C00144	GMP	-2.725	-7.547	0.035	193.625	-2.775	50.0
C05729	R-S-Cysteinylglycine	3.907	6.384	0.612	98.518	5.914	70.0
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	-4.038	-8.282	0.053	327.692	-4.112	70.0
C03232	3-Phosphonooxypyruvate	4.711	-0.678	0.061	27.791	-0.764	50.0
C02739	1-(5-Phospho-D-ribosyl)-ATP	-3.624	-6.19	0.169	85.338	-3.849	60.0
C05726	S-Substituted_L-cysteine	-3.907	-6.384	0.18	98.518	-4.145	70.0
C00700	XTP	4.17	6.022	0.692	82.984	5.845	70.0
C06250	Holo-[carboxylase]	1.415	-7.998	0.01	258.312	-1.43	50.0
C02637	3-Dehydroshikimate	-1.585	2.722	0.455	9.598	-2.126	50.0
C01179	3-(4-Hydroxyphenyl)pyruvate	0.063	1.508	0.042	3.889	-2.622	50.0
C01528	Hydrogen_selenide	-4.17	-7.547	0.096	205.015	-4.303	70.0
C04752	2-Methyl-4-amino-5-hydroxymethylpyrimidine_diphosphate	2.0	4.0	0.5	20.0	3.322	60.0
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	4.17	6.426	0.649	103.985	6.076	70.0
C01134	Pantetheine_4'-phosphate	4.79	7.767	0.617	245.486	7.242	80.0
C01137	S-Adenosylmethioninamine	2.248	3.931	0.572	20.003	3.516	60.0
C00092	D-Glucose_6-phosphate	-6.194	-9.622	0.093	861.183	-6.322	90.0
C06037	Digalactosyl-diacylglycerol	6.022	8.028	0.75	326.0	7.934	90.0
C03511	L-Phenylalanyl-tRNA(Phe)	-5.6	-7.873	0.207	282.931	-5.871	90.0
C03512	L-Tryptophanyl-tRNA(Trp)	-5.7	-8.2	0.177	346.051	-5.935	90.0
C03287	L-Glutamyl_5-phosphate	-3.781	6.892	0.116	132.514	-3.939	60.0
C02741	Phosphoribosyl-AMP	0.585	3.858	0.152	16.0	1.279	50.0
C03125	L-Cysteinyl-tRNA(Cys)	-3.807	-8.114	0.051	291.046	-3.878	60.0
C03127	L-Isoleucyl-tRNA(Ile)	-6.15	-8.17	0.247	359.027	-6.468	90.0
C03692	1,2-Diacyl-3-beta-D-galactosyl-sn-glycerol	-6.022	-8.028	0.249	326.0	-6.343	90.0
C03691	CMP-N-glycoloylneuraminate	-1.585	-7.814	0.013	228.034	-1.604	50.0
C20373	3-Hydroxyglutaryl-[acp]_methyl_ester	-4.524	-6.977	0.183	148.983	-4.766	70.0
C20372	3-Ketoglutaryl-[acp]_methyl_ester	4.322	-2.322	0.25	25.001	-2.644	50.0
C20377	3-Hydroxypimeloyl-[acp]_methyl_ester	-4.524	-6.977	0.183	148.983	-4.766	70.0
C20376	3-Ketopimeloyl-[acp]_methyl_ester	4.322	-2.322	0.25	25.001	-2.644	50.0
C20375	Glutaryl-[acp]_methyl_ester	4.858	8.693	0.559	442.861	7.951	90.0
C20374	Enoylglutaryl-[acp]_methyl_ester	-4.7	-8.155	0.091	311.028	-4.826	80.0
C20378	Enoylpimeloyl-[acp]_methyl_ester	-4.7	-8.155	0.091	311.028	-4.826	80.0
C05401	3-beta-D-Galactosyl-sn-glycerol	6.022	8.028	0.75	326.0	7.934	90.0
C04916	N-(5'-Phospho-D-1'-ribulosylformimino)-5-amino-1-(5''-phospho-D-ribosyl)-4-imidazolecarboxamide	4.833	6.384	0.757	112.019	6.406	70.0
C00415	Dihydrofolate	-3.17	6.33	0.112	89.449	-3.323	60.0
C00416	Phosphatidate	5.363	-5.426	0.957	84.147	-6.332	90.0
C03460	2-Methylprop-2-enoyl-CoA	-6.0	-4.524	0.359	87.007	-4.967	80.0
C17949	N-Acetyldemethylphosphinothricin	-3.907	-5.392	0.357	56.992	-4.348	70.0
C04851	MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho-undecaprenol	4.0	7.735	0.517	229.043	6.888	80.0
C01279	4-Amino-5-hydroxymethyl-2-methylpyrimidine	1.585	3.17	0.5	12.001	2.585	50.0
C01798	D-Glucoside	5.524	9.95	0.555	1035.133	9.167	90.0
C00620	alpha-D-Ribose_1-phosphate	6.492	9.72	0.668	933.366	9.284	90.0
