compound_code	compound_name	lachnospiraceae_mock_score	alistipes_mock_score	ratio	magnitude	interaction_score	percentile
C18096	D-Allulose_6-phosphate	-1.585	-6.508	0.033	94.013	-1.632	70.0
C06441	L-Xylulose_1-phosphate	-2.0	5.833	0.07	61.004	-2.098	80.0
C05751	trans-Oct-2-enoyl-[acp]	1.0	-5.7	0.038	53.984	-1.054	50.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	-1.585	-6.15	0.042	74.013	-1.645	70.0
C00506	L-Cysteate	1.0	6.658	0.15	102.985	3.951	70.0
C05755	Decanoyl-[acp]	-1.585	7.229	0.02	153.019	-1.614	70.0
C05756	3-Oxododecanoyl-[acp]	2.0	6.34	0.315	85.008	4.745	80.0
C05757	(R)-3-Hydroxydodecanoyl-[acp]	-1.585	-7.484	0.017	182.023	-1.609	60.0
C05758	trans-Dodec-2-enoyl-[acp]	1.0	-5.7	0.038	53.984	-1.054	50.0
C00262	Hypoxanthine	-1.0	3.35	0.196	12.196	-1.258	60.0
C16217	3-Hydroxyoctadecanoyl-CoA	-2.0	-8.358	0.012	332.102	-2.017	80.0
C16216	3-Oxostearoyl-CoA	2.0	8.358	0.239	332.102	6.312	90.0
C00267	alpha-D-Glucose	-1.718	6.297	0.042	81.919	-1.777	70.0
C03294	N-Formylmethionyl-tRNA	-1.585	-6.229	0.04	78.01	-1.642	70.0
C12214	Aminofructose_6-phosphate	4.7	7.476	0.629	204.025	7.003	90.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	1.0	-7.267	0.013	156.023	-1.019	50.0
C08334	Lotaustralin	3.322	7.435	0.447	183.045	6.354	90.0
C00188	L-Threonine	-0.893	7.721	0.009	212.843	-0.906	60.0
C02702	L-Prolyl-tRNA(Pro)	-1.0	-7.18	0.014	147.009	-1.02	50.0
C00185	Cellobiose	3.17	7.435	0.426	182.045	6.278	90.0
C00183	L-Valine	0.041	-3.437	0.095	11.859	-0.172	70.0
C00343	Thioredoxin_disulfide	-1.0	4.672	0.078	27.492	-1.109	50.0
C00286	dGTP	1.087	5.554	0.196	49.105	3.265	70.0
C00124	D-Galactose	-2.807	6.098	0.102	75.497	-2.947	90.0
C01962	Thiocysteine	-3.0	-6.129	0.114	77.986	-3.156	90.0
C02412	Glycyl-tRNA(Gly)	-1.0	-6.714	0.019	106.982	-1.027	50.0
C02553	L-Seryl-tRNA(Ser)	-2.0	-6.768	0.037	112.986	-2.052	80.0
C05378	beta-D-Fructose_1,6-bisphosphate	-0.115	-6.164	0.015	72.788	-0.137	70.0
C02554	L-Valyl-tRNA(Val)	-1.585	-6.443	0.034	90.003	-1.634	70.0
C05749	Hexanoyl-[acp]	-1.585	7.229	0.02	153.019	-1.614	70.0
C05748	trans-Hex-2-enoyl-[acp]	1.0	-5.7	0.038	53.984	-1.054	50.0
C16220	3-Hydroxyoctadecanoyl-[acp]	-1.585	-8.358	0.009	331.102	-1.598	60.0
C16221	(2E)-Octadecenoyl-[acp]	1.0	6.629	0.151	100.976	3.929	70.0
C05745	Butyryl-[acp]	-1.585	7.229	0.02	153.019	-1.614	70.0
C04618	(3R)-3-Hydroxybutanoyl-[acyl-carrier_protein]	-1.138	-6.752	0.02	109.985	-1.167	60.0
C04619	(3R)-3-Hydroxydecanoyl-[acyl-carrier_protein]	-1.322	-7.071	0.019	136.957	-1.349	60.0
C00458	dCTP	1.415	5.668	0.25	53.51	3.74	70.0
C00459	dTTP	1.874	6.964	0.269	128.511	5.112	80.0
C00199	D-Ribulose_5-phosphate	-1.354	-4.418	0.12	23.933	-1.517	60.0
C00217	D-Glutamate	-1.0	3.907	0.133	17.001	-1.181	60.0
C00197	3-Phospho-D-glycerate	4.593	6.427	0.715	110.178	6.299	90.0
C00036	Oxaloacetate	1.751	-4.434	0.156	24.982	-1.96	80.0
C00037	Glycine	-0.17	-6.054	0.017	67.566	-0.194	60.0
C15973	Enzyme_N6-(dihydrolipoyl)lysine	1.585	6.907	0.229	123.009	4.819	80.0
C00035	GDP	-4.087	3.624	0.725	29.324	-4.411	90.0
C00031	D-Glucose	2.459	7.055	0.349	138.472	5.593	90.0
C00330	Deoxyguanosine	-0.585	7.304	0.009	159.524	-0.599	60.0
C00135	L-Histidine	-1.0	6.508	0.022	93.013	-1.031	50.0
C00131	dATP	0.737	2.115	0.348	5.999	1.064	70.0
C00130	IMP	-0.222	-0.059	0.893	2.208	-0.98	50.0
C16237	Protein_N6-(lipoyl)lysine	-1.0	6.022	0.031	66.983	-1.044	50.0
C01290	beta-D-Galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide	2.807	6.248	0.449	83.002	5.221	80.0
C05699	L-Selenocystathionine	3.0	6.129	0.489	77.986	5.254	80.0
C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier_protein]	-1.585	-7.484	0.017	182.023	-1.609	60.0
C04088	Octadecanoyl-[acyl-carrier_protein]	-1.585	-6.629	0.03	101.976	-1.628	70.0
C00354	D-Fructose_1,6-bisphosphate	-0.222	-2.459	0.212	6.665	-0.5	60.0
C01050	UDP-N-acetylmuramate	0.893	5.64	0.158	51.724	3.034	70.0
C01190	beta-D-Glucosyl-(1<->1)-ceramide	-2.807	-6.248	0.092	83.002	-2.934	90.0
C01094	D-Fructose_1-phosphate	1.415	7.366	0.192	167.63	5.009	80.0
C00440	5-Methyltetrahydrofolate	0.415	-2.939	0.174	9.002	-0.646	60.0
C01594	Linamarin	3.322	7.435	0.447	183.045	6.354	90.0
C11453	2-C-Methyl-D-erythritol_2,4-cyclodiphosphate	-0.807	-3.7	0.135	14.746	-0.989	50.0
C00169	Carbamoyl_phosphate	-2.0	4.147	0.226	21.716	-2.294	80.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	0.415	3.536	0.117	12.933	0.602	70.0
C05747	(R)-3-Hydroxyhexanoyl-[acp]	-1.585	-7.484	0.017	182.023	-1.609	60.0
C00041	L-Alanine	0.585	-4.97	0.048	32.841	-0.652	60.0
C00047	L-Lysine	0.585	6.931	0.084	123.522	3.382	70.0
C00046	RNA	2.747	-6.306	0.085	85.835	-2.864	90.0
C00044	GTP	-2.051	-6.623	0.042	102.709	-2.11	80.0
C00049	L-Aspartate	0.057	-3.779	0.076	14.768	-0.162	70.0
C01212	UDP-N-acetylmuramoyl-L-alanine	-1.322	-5.119	0.072	37.252	-1.422	60.0
C02291	L-Cystathionine	3.0	6.129	0.489	77.986	5.254	80.0
