compound_code	compound_name	bacteroides_mock_score	clostridium_mock_score	ratio	magnitude	interaction_score	percentile
C00342	Thioredoxin	2.138	3.406	0.628	15.002	3.235	80.0
C00343	Thioredoxin_disulfide	-2.907	-3.17	0.0	0.0	0.0	50.0
C03082	4-Phospho-L-aspartate	0.531	2.07	0.257	5.644	0.534	70.0
C00103	D-Glucose_1-phosphate	3.935	3.36	0.854	25.563	4.448	90.0
C04377	5,10-Methylenetetrahydromethanopterin	-5.248	-2.0	0.0	0.0	0.0	50.0
C04376	5'-Phosphoribosyl-N-formylglycinamide	5.508	2.0	0.363	49.506	4.168	90.0
C00063	CTP	7.542	4.847	0.643	215.147	7.111	90.0
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	1.28	-2.585	0.405	8.429	-1.77	80.0
C00064	L-Glutamine	2.563	-0.17	0.19	7.034	-0.421	60.0
C00108	Anthranilate	-0.848	2.07	0.429	5.999	-1.363	80.0
C00109	2-Oxobutanoate	-0.663	0.963	0.812	3.533	-1.521	80.0
C00861	L-Rhamnulose	6.248	-1.585	0.039	79.004	-1.641	80.0
C00860	L-Histidinol	1.0	1.0	1.0	4.0	2.0	80.0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	2.338	1.322	0.565	7.556	2.095	80.0
C16634	5-Fluorouridine_monophosphate	-4.248	-2.0	0.0	0.0	0.0	50.0
C03972	2,3,4,5-Tetrahydrodipicolinate	-0.737	-0.628	0.0	0.0	0.0	50.0
C01050	UDP-N-acetylmuramate	3.123	0.893	0.286	10.569	1.596	70.0
C00279	D-Erythrose_4-phosphate	5.33	-0.637	0.039	41.78	-0.692	70.0
C00469	Ethanol	0.585	2.954	0.198	9.249	0.873	70.0
C00008	ADP	-2.624	-1.415	0.0	0.0	0.0	50.0
C00900	2-Acetolactate	5.687	3.459	0.608	62.515	5.249	90.0
C00668	alpha-D-Glucose_6-phosphate	-5.066	4.02	0.484	49.721	-4.59	90.0
C03402	L-Asparaginyl-tRNA(Asn)	-6.845	-2.17	0.0	0.0	0.0	50.0
C00253	Nicotinate	-2.0	-1.17	0.0	0.0	0.0	50.0
C00475	Cytidine	1.0	-0.536	0.725	3.45	-1.323	80.0
C03406	N-(L-Arginino)succinate	3.585	-4.392	0.572	32.996	-4.237	90.0
C12214	Aminofructose_6-phosphate	6.524	1.0	0.153	94.028	3.849	90.0
C00234	10-Formyltetrahydrofolate	-0.339	-4.492	0.0	0.0	0.0	50.0
C00117	D-Ribose_5-phosphate	-4.759	-2.051	0.0	0.0	0.0	50.0
C00116	Glycerol	-2.322	1.7	0.65	8.249	-2.422	90.0
C00111	Glycerone_phosphate	-3.899	2.357	0.343	20.041	-2.783	90.0
C04349	(4S)-4,6-Dihydroxy-2,5-dioxohexanoate	-6.768	-1.0	0.0	0.0	0.0	50.0
C05697	Selenate	3.585	2.585	0.721	18.0	3.698	80.0
C00112	CDP	-2.824	-2.322	0.0	0.0	0.0	50.0
C20248	7-Carboxy-7-carbaguanine	2.322	4.17	0.557	23.001	3.679	80.0
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	-2.678	-1.237	0.0	0.0	0.0	50.0
C00118	D-Glyceraldehyde_3-phosphate	5.338	6.589	0.81	136.717	6.791	90.0
C00327	L-Citrulline	2.322	4.392	0.529	25.996	3.781	80.0
C00242	Guanine	2.243	-0.485	0.296	6.133	-0.859	70.0
C05399	Melibiitol	2.322	0.585	0.252	6.5	0.712	70.0
C00857	Deamino-NAD+	3.544	3.17	0.894	20.665	4.208	90.0
C00269	CDP-diacylglycerol	-3.892	0.485	0.094	16.246	-0.615	70.0
C16219	3-Oxostearoyl-[acp]	-4.585	1.0	0.083	26.001	-1.115	70.0
C00507	L-Rhamnose	4.954	1.585	0.32	33.996	3.443	80.0
C05756	3-Oxododecanoyl-[acp]	-4.585	1.0	0.083	26.001	-1.115	70.0
C05757	(R)-3-Hydroxydodecanoyl-[acp]	-4.615	-1.0	0.0	0.0	0.0	50.0
C00262	Hypoxanthine	-3.196	0.174	0.123	10.292	-0.341	60.0
C00508	L-Ribulose	-5.248	-2.663	0.0	0.0	0.0	50.0
C16216	3-Oxostearoyl-CoA	5.781	1.0	0.173	56.986	3.301	80.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	-3.322	-1.322	0.0	0.0	0.0	50.0
C06006	(S)-2-Aceto-2-hydroxybutanoate	5.687	3.459	0.608	62.515	5.249	90.0
C00460	dUTP	-3.7	4.358	0.634	33.502	-4.408	90.0
C02909	(2-Naphthyl)methanol	0.585	2.954	0.198	9.249	0.873	70.0
C00286	dGTP	1.923	-3.115	0.438	12.456	-2.447	90.0
C00124	D-Galactose	-7.973	3.195	0.036	260.411	-3.247	90.0
C00011	CO2	6.457	6.808	0.948	199.902	7.567	90.0
C00129	Isopentenyl_diphosphate	3.322	-3.524	0.869	21.504	-4.225	90.0
C00288	HCO3-	-3.248	0.585	0.158	11.001	-0.796	70.0
C01762	Xanthosine	2.954	0.585	0.198	9.249	0.873	70.0
C00680	meso-2,6-Diaminoheptanedioate	-0.237	0.568	0.795	2.661	-1.081	70.0
C12215	Iminoerythrose_4-phosphate	-6.524	-1.0	0.0	0.0	0.0	50.0
C02553	L-Seryl-tRNA(Ser)	-4.585	-3.7	0.0	0.0	0.0	50.0
C05378	beta-D-Fructose_1,6-bisphosphate	5.304	-2.515	0.145	45.222	-2.71	90.0
C04053	5-Dehydro-4-deoxy-D-glucuronate	6.768	1.585	0.234	111.986	4.713	90.0
C03785	D-Tagatose_1,6-bisphosphate	-4.807	-3.0	0.0	0.0	0.0	50.0
C00514	D-Mannonate	2.322	4.524	0.513	28.007	3.845	90.0
C16220	3-Hydroxyoctadecanoyl-[acp]	-5.781	-1.0	0.0	0.0	0.0	50.0
C05746	3-Oxohexanoyl-[acp]	-4.585	1.0	0.083	26.001	-1.115	70.0
C05744	Acetoacetyl-[acp]	-6.69	0.678	0.015	104.85	-0.7	70.0
C03150	Nicotinamide-beta-riboside	3.087	0.585	0.19	9.997	0.922	70.0
C00458	dCTP	3.35	-3.97	0.651	25.867	-4.073	90.0
C00459	dTTP	-3.051	1.322	0.302	10.788	-1.702	80.0
C06055	O-Phospho-4-hydroxy-L-threonine	-3.985	-0.737	0.0	0.0	0.0	50.0
C00199	D-Ribulose_5-phosphate	-4.783	0.617	0.056	29.065	-0.695	70.0
C00217	D-Glutamate	-1.663	1.0	0.632	5.167	-1.706	80.0
C00197	3-Phospho-D-glycerate	5.64	4.491	0.796	72.353	5.848	90.0
C00058	Formate	2.392	2.624	0.912	11.413	3.379	80.0
C00036	Oxaloacetate	5.9	3.341	0.566	69.847	5.306	90.0
C00037	Glycine	4.735	0.817	0.173	28.392	2.292	80.0
C00035	GDP	3.162	-2.415	0.596	14.284	-3.089	90.0
C00033	Acetate	2.28	1.441	0.632	7.572	2.259	80.0
C00031	D-Glucose	5.44	-0.222	0.027	44.578	-0.26	60.0
C00137	myo-Inositol	-6.727	-0.585	0.0	0.0	0.0	50.0
C00135	L-Histidine	-1.459	1.0	0.727	4.749	-1.789	80.0
C00131	dATP	2.07	-1.926	0.905	7.999	-2.856	90.0
C00130	IMP	-2.724	1.437	0.41	9.315	-1.932	80.0
C01097	D-Tagatose_6-phosphate	4.807	3.0	0.624	35.993	4.489	90.0
C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier_protein]	-4.615	-1.0	0.0	0.0	0.0	50.0
C00354	D-Fructose_1,6-bisphosphate	-2.939	0.181	0.148	8.802	-0.38	60.0
C00299	Uridine	-1.158	-0.628	0.0	0.0	0.0	50.0
C06010	(S)-2-Acetolactate	4.714	2.585	0.548	32.246	4.144	90.0
C04574	di-trans,poly-cis-Undecaprenyl_diphosphate	-2.663	-1.0	0.0	0.0	0.0	50.0
C01172	beta-D-Glucose_6-phosphate	-4.928	-2.612	0.0	0.0	0.0	50.0
C00206	dADP	2.874	0.848	0.295	9.131	1.43	70.0
C00631	2-Phospho-D-glycerate	0.128	0.202	0.634	2.243	0.507	70.0
C00441	L-Aspartate_4-semialdehyde	1.959	3.222	0.608	13.219	3.007	80.0
C00526	Deoxyuridine	-2.678	0.415	0.208	7.733	-0.688	70.0
C00448	trans,trans-Farnesyl_diphosphate	-3.406	0.415	0.126	11.933	-0.586	60.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	3.954	-1.0	0.129	17.498	-1.175	70.0
C05747	(R)-3-Hydroxyhexanoyl-[acp]	-4.615	-1.0	0.0	0.0	0.0	50.0
C00041	L-Alanine	3.773	1.907	0.505	17.421	3.138	80.0
C00040	Acyl-CoA	2.0	0.363	0.181	5.286	-0.06	60.0
C00047	L-Lysine	4.044	1.807	0.447	19.995	3.159	80.0
C00046	RNA	-7.208	-4.104	0.0	0.0	0.0	50.0
C00044	GTP	-6.398	-4.131	0.0	0.0	0.0	50.0
C05335	L-Selenomethionine	4.459	2.322	0.521	26.994	3.813	90.0
C00204	2-Dehydro-3-deoxy-D-gluconate	4.248	-4.059	0.877	35.669	-4.968	90.0
C00049	L-Aspartate	1.818	1.871	0.972	7.184	2.803	80.0
C00048	Glyoxylate	2.115	1.773	0.838	7.75	2.7	80.0
