compound_code	compound_name	alistipes_mock_score	turicibacter_mock_score	ratio	magnitude	interaction_score	percentile
C11811	1-Hydroxy-2-methyl-2-butenyl_4-diphosphate	-6.17	-3.585	0.167	84.004	-3.807	70.0
C16633	5-Fluorouridine	7.748	3.907	0.504	229.972	6.858	90.0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	3.7	-1.293	0.189	15.446	-1.542	50.0
C16634	5-Fluorouridine_monophosphate	-8.362	-3.907	0.046	344.014	-3.971	80.0
C03972	2,3,4,5-Tetrahydrodipicolinate	-1.976	-0.415	0.339	5.267	-0.836	60.0
C20377	3-Hydroxypimeloyl-[acp]_methyl_ester	-8.358	3.322	0.03	338.102	-3.365	60.0
C19673	Malonyl-[acp]_methyl_ester	7.954	4.17	0.524	265.967	7.123	90.0
C04702	UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)	5.7	1.0	0.175	53.984	3.244	70.0
C00577	D-Glyceraldehyde	-7.366	-1.0	0.012	166.963	-1.017	60.0
C05764	Hexadecanoyl-[acp]	7.229	4.17	0.577	168.02	6.599	90.0
C01419	Cys-Gly	8.618	3.807	0.442	406.892	7.49	90.0
C05761	Tetradecanoyl-[acp]	7.229	4.17	0.577	168.02	6.599	90.0
C05760	trans-Tetradec-2-enoyl-[acp]	-5.7	-4.087	0.327	68.979	-4.495	80.0
C05763	trans-Hexadec-2-enoyl-[acp]	-5.7	-4.087	0.327	68.979	-4.495	80.0
C05762	3-Oxohexadecanoyl-[acp]	5.931	-3.087	0.139	69.508	-3.275	60.0
C00275	D-Mannose_6-phosphate	6.714	-4.115	0.165	122.31	-4.335	80.0
C05465	Taurochenodeoxycholate	6.17	1.0	0.162	74.004	3.584	70.0
C08325	Amygdalin	7.435	4.672	0.628	198.537	6.963	90.0
C03402	L-Asparaginyl-tRNA(Asn)	-7.0	-1.585	0.023	131.0	-1.618	50.0
C02992	L-Threonyl-tRNA(Thr)	-7.721	-5.585	0.228	258.987	-5.881	90.0
C00179	Agmatine	5.781	3.0	0.519	62.986	5.031	80.0
C00475	Cytidine	-5.258	-1.826	0.093	41.812	-1.954	50.0
C12215	Iminoerythrose_4-phosphate	-7.476	-2.322	0.028	183.033	-2.362	50.0
C12214	Aminofructose_6-phosphate	7.476	2.322	0.311	183.033	5.829	80.0
C00988	2-Phosphoglycolate	6.229	4.248	0.682	94.01	6.003	80.0
C00234	10-Formyltetrahydrofolate	-3.229	-1.04	0.219	11.432	-1.326	50.0
C00117	D-Ribose_5-phosphate	-6.12	3.568	0.171	81.411	-3.795	70.0
C00111	Glycerone_phosphate	-3.388	0.93	0.182	12.374	-1.171	50.0
C03090	5-Phosphoribosylamine	5.385	4.868	0.904	70.99	6.004	80.0
C00112	CDP	-4.346	-5.524	0.442	66.35	-4.874	90.0
C20372	3-Ketoglutaryl-[acp]_methyl_ester	6.34	-3.459	0.136	92.005	-3.643	70.0
C05698	Selenohomocysteine	-1.585	2.807	0.429	9.998	-2.1	50.0
C00668	alpha-D-Glucose_6-phosphate	-3.912	-2.705	0.433	21.574	-3.224	60.0
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	2.531	-3.487	0.515	16.992	-3.131	60.0
C00243	Lactose	6.248	2.115	0.339	80.336	4.765	80.0
C00149	(S)-Malate	-5.856	1.0	0.035	59.92	-1.049	50.0
C00068	Thiamin_diphosphate	-7.349	0.838	0.011	164.818	-0.854	60.0
C00692	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	-4.392	4.954	0.677	51.991	-5.138	90.0
C01762	Xanthosine	7.304	1.0	0.137	160.024	4.453	70.0
C00695	Cholic_acid	-6.17	-1.0	0.028	74.004	-1.04	50.0
C11435	4-(Cytidine_5'-diphospho)-2-C-methyl-D-erythritol	-3.585	1.585	0.25	15.0	-1.907	50.0
C11436	2-Phospho-4-(cytidine_5'-diphospho)-2-C-methyl-D-erythritol	3.459	-1.585	0.273	13.997	-1.933	50.0
C00857	Deamino-NAD+	8.022	-3.459	0.042	270.93	-3.519	70.0
C05750	3-Oxooctanoyl-[acp]	5.931	-3.087	0.139	69.508	-3.275	60.0
C05751	trans-Oct-2-enoyl-[acp]	-5.7	-4.087	0.327	68.979	-4.495	80.0
C00269	CDP-diacylglycerol	-1.773	1.0	0.585	5.418	-1.665	50.0
C05753	3-Oxodecanoyl-[acp]	5.931	-3.087	0.139	69.508	-3.275	60.0
C16219	3-Oxostearoyl-[acp]	6.34	-3.459	0.136	92.005	-3.643	70.0
C05755	Decanoyl-[acp]	7.229	4.17	0.577	168.02	6.599	90.0
C05756	3-Oxododecanoyl-[acp]	6.34	-3.459	0.136	92.005	-3.643	70.0
C05757	(R)-3-Hydroxydodecanoyl-[acp]	-7.484	3.322	0.056	189.023	-3.4	70.0
C05758	trans-Dodec-2-enoyl-[acp]	-5.7	-4.087	0.327	68.979	-4.495	80.0
C05759	3-Oxotetradecanoyl-[acp]	6.34	-3.459	0.136	92.005	-3.643	70.0
C16217	3-Hydroxyoctadecanoyl-CoA	-8.358	-3.0	0.024	336.102	-3.035	60.0
C16216	3-Oxostearoyl-CoA	8.358	3.0	0.359	336.102	6.915	90.0
C00267	alpha-D-Glucose	6.297	-3.798	0.177	92.539	-4.033	80.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	-7.267	-2.322	0.032	159.023	-2.368	50.0
C08334	Lotaustralin	7.435	4.672	0.628	198.537	6.963	90.0
C00188	L-Threonine	7.721	2.546	0.33	216.826	6.16	80.0
C02702	L-Prolyl-tRNA(Pro)	-7.18	-4.087	0.117	162.004	-4.247	80.0
C00185	Cellobiose	7.435	2.907	0.391	180.545	6.141	80.0
C00526	Deoxyuridine	3.907	1.0	0.256	17.001	2.121	60.0
C00181	D-Xylose	7.827	-3.322	0.044	237.072	-3.384	70.0
C00343	Thioredoxin_disulfide	4.672	3.544	0.759	37.157	4.817	80.0
C00122	Fumarate	4.809	-0.766	0.061	29.732	-0.851	60.0
C00286	dGTP	5.554	3.047	0.549	55.246	4.922	80.0
C00124	D-Galactose	6.098	2.907	0.477	75.999	5.179	80.0
C00620	alpha-D-Ribose_1-phosphate	7.492	1.807	0.241	183.517	5.468	80.0
C02839	L-Tyrosyl-tRNA(Tyr)	-6.807	-2.807	0.062	118.971	-2.894	60.0
C00294	Inosine	7.304	1.0	0.137	160.024	4.453	70.0
C11453	2-C-Methyl-D-erythritol_2,4-cyclodiphosphate	-3.7	3.209	0.712	22.243	-3.984	80.0
C02412	Glycyl-tRNA(Gly)	-6.714	-4.807	0.267	132.975	-5.148	90.0
C00680	meso-2,6-Diaminoheptanedioate	-3.322	2.342	0.507	15.071	-2.934	60.0
C00206	dADP	4.018	2.237	0.557	20.915	3.542	70.0
C02553	L-Seryl-tRNA(Ser)	-6.768	-3.907	0.138	123.987	-4.093	80.0
C00842	dTDP-glucose	-5.087	-2.585	0.177	39.989	-2.82	50.0
C05378	beta-D-Fructose_1,6-bisphosphate	-6.164	-4.832	0.397	100.187	-5.315	90.0
C20374	Enoylglutaryl-[acp]_methyl_ester	6.629	-4.087	0.172	115.97	-4.316	80.0
C04691	2-Dehydro-3-deoxy-D-arabino-heptonate_7-phosphate	5.807	-2.322	0.089	60.986	-2.445	50.0
C03785	D-Tagatose_1,6-bisphosphate	-8.022	-5.555	0.181	306.947	-5.795	90.0
C05749	Hexanoyl-[acp]	7.229	4.17	0.577	168.02	6.599	90.0
C05748	trans-Hex-2-enoyl-[acp]	-5.7	-4.087	0.327	68.979	-4.495	80.0
C16220	3-Hydroxyoctadecanoyl-[acp]	-8.358	3.322	0.03	338.102	-3.365	60.0
C16221	(2E)-Octadecenoyl-[acp]	6.629	-4.087	0.172	115.97	-4.316	80.0
C05745	Butyryl-[acp]	7.229	4.17	0.577	168.02	6.599	90.0
C05744	Acetoacetyl-[acp]	6.074	-2.807	0.104	74.367	-2.95	60.0
C03150	Nicotinamide-beta-riboside	7.304	1.0	0.137	160.024	4.453	70.0
C04618	(3R)-3-Hydroxybutanoyl-[acyl-carrier_protein]	-6.752	2.678	0.059	114.184	-2.761	50.0
C04619	(3R)-3-Hydroxydecanoyl-[acyl-carrier_protein]	-7.071	2.954	0.058	142.206	-3.035	60.0
C00458	dCTP	5.668	3.0	0.529	58.844	4.961	80.0
C00459	dTTP	6.964	3.585	0.515	136.846	6.138	80.0
C01209	Malonyl-[acyl-carrier_protein]	6.902	4.17	0.604	137.595	6.377	90.0
C00199	D-Ribulose_5-phosphate	-4.418	1.659	0.148	24.535	-1.858	50.0
C00019	S-Adenosyl-L-methionine	-4.022	-1.585	0.185	19.246	-1.829	50.0
C00217	D-Glutamate	3.907	-3.585	0.8	27.001	-4.433	80.0
C00197	3-Phospho-D-glycerate	6.427	5.743	0.894	139.601	6.963	90.0
C02554	L-Valyl-tRNA(Val)	-6.443	-1.0	0.023	89.003	-1.033	50.0
C00212	Adenosine	7.304	1.0	0.137	160.024	4.453	70.0
C00153	Nicotinamide	-7.304	-1.0	0.013	160.024	-1.018	60.0
C00208	Maltose	6.109	-1.585	0.043	72.023	-1.646	50.0
C00036	Oxaloacetate	-4.434	3.289	0.452	31.39	-3.827	70.0
C00037	Glycine	-6.054	-0.089	0.016	67.505	-0.112	60.0
C11907	4,6-Dideoxy-4-oxo-dTDP-D-glucose	-6.807	-3.807	0.125	125.969	-3.977	80.0
C03373	Aminoimidazole_ribotide	-5.7	3.907	0.289	66.985	-4.273	80.0
C00031	D-Glucose	7.055	-2.858	0.055	140.224	-2.935	60.0
C00330	Deoxyguanosine	7.304	1.0	0.137	160.024	4.453	70.0
C00354	D-Fructose_1,6-bisphosphate	-2.459	2.273	0.879	10.332	-3.183	60.0
C00134	Putrescine	-3.459	1.585	0.273	13.997	-1.933	50.0
C00133	D-Alanine	3.322	3.907	0.85	25.002	4.41	70.0
C00131	dATP	2.115	-0.531	0.334	5.777	-0.946	60.0
C00130	IMP	-0.059	0.716	0.634	2.684	-0.768	60.0
C01097	D-Tagatose_6-phosphate	8.022	5.555	0.692	306.947	7.732	90.0
C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier_protein]	-7.484	3.322	0.056	189.023	-3.4	70.0
C01050	UDP-N-acetylmuramate	5.64	3.496	0.62	61.149	5.244	80.0
C01269	5-O-(1-Carboxyvinyl)-3-phosphoshikimate	-2.322	-2.585	0.833	11.0	-3.196	60.0
C04574	di-trans,poly-cis-Undecaprenyl_diphosphate	-6.0	-1.0	0.031	66.0	-1.044	50.0
C01172	beta-D-Glucose_6-phosphate	-3.322	-1.71	0.327	13.272	-2.118	50.0
C18796	(2R)-2-Hydroxy-2-methylbutanenitrile	-7.435	-4.672	0.147	198.537	-4.87	90.0
C01212	UDP-N-acetylmuramoyl-L-alanine	-5.119	-3.322	0.288	44.752	-3.687	70.0
C00631	2-Phospho-D-glycerate	-2.621	-0.594	0.245	7.661	-0.911	60.0
C02528	Chenodeoxycholate	-6.17	-1.0	0.028	74.004	-1.04	50.0
C00440	5-Methyltetrahydrofolate	-2.939	2.807	0.913	14.667	-3.743	70.0
C01594	Linamarin	7.435	4.672	0.628	198.537	6.963	90.0
C00259	L-Arabinose	8.262	-6.248	0.248	382.984	-6.567	90.0
C05752	Octanoyl-[acp]	6.498	4.17	0.642	108.385	6.12	80.0
C00448	trans,trans-Farnesyl_diphosphate	4.285	1.0	0.233	21.495	2.327	60.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	3.536	3.022	0.855	19.723	4.075	70.0
C04882	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine	5.7	1.0	0.175	53.984	3.244	70.0
C00041	L-Alanine	-4.97	3.907	0.479	46.343	-4.471	80.0
C00040	Acyl-CoA	7.136	2.7	0.378	147.151	5.799	80.0
C00046	RNA	-6.306	4.077	0.213	95.999	-4.356	80.0
C00044	GTP	-6.623	-2.605	0.062	104.649	-2.691	50.0
C00204	2-Dehydro-3-deoxy-D-gluconate	5.919	0.322	0.054	61.756	1.748	60.0
C00049	L-Aspartate	-3.779	2.714	0.478	20.289	-3.278	60.0
C00048	Glyoxylate	-1.322	3.322	0.25	12.501	-1.644	50.0
C05223	Dodecanoyl-[acyl-carrier_protein]	6.752	4.17	0.618	125.785	6.28	90.0
C05143	Dhurrin	7.435	4.672	0.628	198.537	6.963	90.0
