compound_code	compound_name	butyrivibrio_mock_score	mollicute_mock_score	ratio	magnitude	interaction_score	percentile
C05830	8-Methoxykynurenate	-6.476	-2.0	0.0	0.0	0.0	50.0
C00058	Formate	9.999	-1.17	0.002	1025.541	-1.173	80.0
C00003	NAD+	-6.163	0.737	0.023	73.322	-0.77	70.0
C00002	ATP	8.749	-4.36	0.048	450.775	-4.427	90.0
C05980	Cardiolipin	-7.87	-3.585	0.0	0.0	0.0	50.0
C00369	Starch	4.763	0.874	0.183	28.985	2.411	60.0
C05703	Methaneselenol	-7.547	-3.585	0.0	0.0	0.0	50.0
C11907	4,6-Dideoxy-4-oxo-dTDP-D-glucose	-8.214	-3.0	0.0	0.0	0.0	50.0
C00183	L-Valine	6.986	2.807	0.402	133.762	5.748	80.0
C04442	2-Dehydro-3-deoxy-6-phospho-D-gluconate	-6.96	-4.492	0.0	0.0	0.0	50.0
C00361	dGDP	6.786	4.891	0.721	140.026	6.657	80.0
C00253	Nicotinate	-7.583	-4.807	0.0	0.0	0.0	50.0
C00250	Pyridoxal	6.17	3.807	0.617	86.0	5.73	70.0
C00251	Chorismate	-6.188	0.585	0.021	74.408	-0.614	70.0
C05401	3-beta-D-Galactosyl-sn-glycerol	8.028	3.585	0.447	273.017	6.93	80.0
C00254	Prephenate	-3.883	0.19	0.077	15.894	-0.297	70.0
C00255	Riboflavin	6.248	3.0	0.48	84.004	5.334	70.0
C05336	Selenomethionyl-tRNA(Met)	-8.155	-3.585	0.0	0.0	0.0	50.0
C00415	Dihydrofolate	6.33	1.152	0.182	82.671	3.911	60.0
C00416	Phosphatidate	-5.426	0.807	0.041	44.742	-0.865	70.0
C05897	Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	7.735	1.0	0.129	215.043	4.797	70.0
C09332	Tetrahydrofolyl-[Glu](2)	-7.401	-2.807	0.0	0.0	0.0	50.0
C00330	Deoxyguanosine	5.923	4.807	0.812	88.667	6.169	80.0
C00310	D-Xylulose	9.028	-3.0	0.015	530.034	-3.022	90.0
C01931	L-Lysyl-tRNA	-7.697	-3.907	0.0	0.0	0.0	50.0
C00492	Raffinose	-4.907	4.087	0.566	46.997	-4.734	90.0
C00314	Pyridoxine	6.17	3.807	0.617	86.0	5.73	70.0
C00886	L-Alanyl-tRNA	-8.551	-3.459	0.0	0.0	0.0	50.0
C00092	D-Glucose_6-phosphate	-9.622	-3.655	0.0	0.0	0.0	50.0
C00093	sn-Glycerol_3-phosphate	-7.965	3.256	0.038	259.417	-3.31	90.0
C00095	D-Fructose	7.353	-1.0	0.012	165.483	-1.018	70.0
C00881	Deoxycytidine	7.547	4.0	0.53	203.014	6.75	80.0
C00097	L-Cysteine	6.061	3.907	0.645	81.765	5.72	70.0
C05892	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine	7.6	1.585	0.209	197.012	5.361	70.0
C00078	L-Tryptophan	5.624	2.585	0.46	55.317	4.668	70.0
C00079	L-Phenylalanine	3.469	2.807	0.809	18.071	3.87	60.0
C00188	L-Threonine	-3.577	2.585	0.503	17.934	-3.173	90.0
C00073	L-Methionine	8.214	-0.322	0.004	298.184	-0.328	70.0
C00074	Phosphoenolpyruvate	-10.818	-3.874	0.0	0.0	0.0	50.0
C00075	UTP	9.406	4.061	0.432	695.095	8.229	90.0
C00333	D-Galacturonate	9.638	5.044	0.523	829.75	8.762	90.0
C06196	2'-Deoxyinosine_5'-phosphate	-6.022	-3.459	0.0	0.0	0.0	50.0
C00979	O-Acetyl-L-serine	-6.877	-3.15	0.0	0.0	0.0	50.0
C00620	alpha-D-Ribose_1-phosphate	9.72	3.858	0.397	857.857	8.411	90.0
C00627	Pyridoxine_phosphate	-6.17	-3.807	0.0	0.0	0.0	50.0
C00441	L-Aspartate_4-semialdehyde	6.524	-3.55	0.127	103.741	-3.723	90.0
C00123	L-Leucine	-4.79	3.585	0.434	39.666	-4.105	90.0
C02686	Galactosylceramide	-7.468	-3.585	0.0	0.0	0.0	50.0
C06199	Hordenine	-6.476	-2.0	0.0	0.0	0.0	50.0
C04242	5-Fluorodeoxyuridine_monophosphate	-6.087	-2.0	0.0	0.0	0.0	50.0
C00085	D-Fructose_6-phosphate	10.541	3.773	0.358	1503.571	9.072	90.0
C02352	1,4-beta-D-Xylan	6.883	2.0	0.291	122.029	5.148	70.0
C00245	Taurine	-7.418	-1.0	0.0	0.0	0.0	50.0
C00082	L-Tyrosine	-2.919	3.585	0.63	19.564	-3.624	90.0
C00081	ITP	6.022	3.459	0.574	75.98	5.448	70.0
C03785	D-Tagatose_1,6-bisphosphate	-11.489	-4.807	0.0	0.0	0.0	50.0
C04432	tRNA_containing_6-isopentenyladenosine	-6.943	-3.459	0.0	0.0	0.0	50.0
C00089	Sucrose	-7.443	5.044	0.19	206.998	-5.294	90.0
C02442	N-Methyltyramine	6.476	2.0	0.309	93.016	4.844	70.0
C02218	Dehydroalanine	-5.087	-3.0	0.0	0.0	0.0	50.0
C00672	2-Deoxy-D-ribose_1-phosphate	8.195	-2.0	0.014	297.049	-2.02	80.0
C00673	2-Deoxy-D-ribose_5-phosphate	-3.807	4.248	0.737	32.998	-4.603	90.0
C00160	Glycolate	-7.955	-2.0	0.0	0.0	0.0	50.0
C00163	Propanoate	9.101	3.7	0.407	562.125	7.836	90.0
C02984	L-Aspartyl-tRNA(Asp)	-7.852	-3.807	0.0	0.0	0.0	50.0
C00124	D-Galactose	7.776	-3.585	0.055	231.185	-3.662	90.0
C02987	L-Glutamyl-tRNA(Glu)	-8.103	-3.322	0.0	0.0	0.0	50.0
C19878	D-glycero-alpha-D-manno-Heptose_7-phosphate	-5.129	-2.585	0.0	0.0	0.0	50.0
C03263	Coproporphyrinogen_III	8.52	3.17	0.372	376.093	7.129	90.0
C02047	L-Leucyl-tRNA	-9.0	-3.585	0.0	0.0	0.0	50.0
C00106	Uracil	6.373	0.363	0.057	84.169	2.261	60.0
C00342	Thioredoxin	9.0	4.585	0.509	536.001	8.093	90.0
C00105	UMP	-4.71	2.405	0.202	31.469	-2.671	80.0
C03082	4-Phospho-L-aspartate	6.8	2.536	0.373	117.23	5.45	70.0
C00103	D-Glucose_1-phosphate	5.816	-3.636	0.221	68.769	-3.924	90.0
C04377	5,10-Methylenetetrahydromethanopterin	-8.852	-3.807	0.0	0.0	0.0	50.0
C00101	Tetrahydrofolate	-5.719	-1.215	0.0	0.0	0.0	50.0
C00407	L-Isoleucine	-6.282	3.322	0.129	87.817	-3.496	90.0
C00063	CTP	9.067	4.935	0.544	566.929	8.269	90.0
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	-5.964	4.342	0.325	82.703	-4.748	90.0
C00064	L-Glutamine	-7.294	-1.939	0.0	0.0	0.0	50.0
C00109	2-Oxobutanoate	10.04	1.585	0.158	1055.789	7.381	90.0
C16633	5-Fluorouridine	7.577	5.248	0.693	228.945	7.309	90.0
C00860	L-Histidinol	6.17	-2.0	0.056	76.004	-2.078	80.0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	3.963	2.0	0.505	19.595	3.306	60.0
C02962	D-Allose_6-phosphate	8.331	4.644	0.557	347.021	7.596	90.0
C00864	Pantothenate	6.852	2.585	0.377	121.52	5.519	70.0
C16635	5'-Deoxy-5-fluorocytidine	7.672	4.0	0.521	219.94	6.841	80.0
C16634	5-Fluorouridine_monophosphate	-8.464	-5.248	0.0	0.0	0.0	50.0
C05466	Glycochenodeoxycholate	7.418	1.0	0.135	173.017	4.544	60.0
C04702	UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)	-4.322	-1.0	0.0	0.0	0.0	50.0
C03028	Thiamin_triphosphate	-7.34	-3.17	0.0	0.0	0.0	50.0
C00700	XTP	6.022	3.459	0.574	75.98	5.448	70.0
C05684	Selenite	7.547	3.7	0.49	200.01	6.616	80.0
C00279	D-Erythrose_4-phosphate	-9.739	-3.907	0.0	0.0	0.0	50.0
C03175	Shikimate_3-phosphate	-4.492	-1.0	0.0	0.0	0.0	50.0
C02470	Xanthurenic_acid	6.476	2.0	0.309	93.016	4.844	70.0
C01412	Butanal	4.858	5.17	0.94	65.002	5.933	80.0
C05465	Taurochenodeoxycholate	7.418	1.0	0.135	173.017	4.544	60.0
C14519	1-Hydroxypyrene	6.476	2.0	0.309	93.016	4.844	70.0
C04079	N-((R)-Pantothenoyl)-L-cysteine	6.925	2.585	0.373	127.516	5.573	70.0
C18902	Methylselenic_acid	7.547	3.7	0.49	200.01	6.616	80.0
C00159	D-Mannose	-7.766	-3.585	0.0	0.0	0.0	50.0
C00006	NADP+	-6.672	-2.0	0.0	0.0	0.0	50.0
C03402	L-Asparaginyl-tRNA(Asn)	-8.084	-2.322	0.0	0.0	0.0	50.0
C02992	L-Threonyl-tRNA(Thr)	-8.714	-2.585	0.0	0.0	0.0	50.0
C00179	Agmatine	5.19	2.807	0.541	43.503	4.556	70.0
C00475	Cytidine	5.0	-2.11	0.135	36.317	-2.293	80.0
C12215	Iminoerythrose_4-phosphate	-11.438	-4.585	0.0	0.0	0.0	50.0
C12214	Aminofructose_6-phosphate	11.438	4.585	0.401	2798.477	10.132	90.0
C00988	2-Phosphoglycolate	9.079	2.0	0.22	544.818	6.907	80.0
C00234	10-Formyltetrahydrofolate	6.413	-0.757	0.02	86.903	-0.785	70.0
C00117	D-Ribose_5-phosphate	-10.034	-0.158	0.0	0.0	0.0	50.0
C00116	Glycerol	7.061	-2.459	0.041	139.026	-2.517	80.0
C00111	Glycerone_phosphate	-6.386	-2.784	0.0	0.0	0.0	50.0
C04349	(4S)-4,6-Dihydroxy-2,5-dioxohexanoate	-8.642	-5.285	0.0	0.0	0.0	50.0
C00112	CDP	-7.547	-4.755	0.0	0.0	0.0	50.0
C00668	alpha-D-Glucose_6-phosphate	8.772	3.491	0.398	448.398	7.479	90.0
C00118	D-Glyceraldehyde_3-phosphate	5.968	2.4	0.402	67.874	4.771	70.0
C00299	Uridine	-2.709	0.241	0.181	7.72	-0.481	70.0
C00692	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	-6.022	1.0	0.031	66.983	-1.044	70.0
C00242	Guanine	-2.624	-2.322	0.0	0.0	0.0	50.0
C05688	L-Selenocysteine	1.0	3.459	0.289	12.997	1.91	60.0
C00695	Cholic_acid	-7.418	-1.0	0.0	0.0	0.0	50.0
C01079	Protoporphyrinogen_IX	-8.574	-3.17	0.0	0.0	0.0	50.0
C11435	4-(Cytidine_5'-diphospho)-2-C-methyl-D-erythritol	-2.585	-1.0	0.0	0.0	0.0	50.0
C18096	D-Allulose_6-phosphate	-8.195	-4.644	0.0	0.0	0.0	50.0
C11432	1-Phenanthrol	6.476	2.0	0.309	93.016	4.844	70.0
C11433	1-Methoxyphenanthrene	-6.476	-2.0	0.0	0.0	0.0	50.0
C02412	Glycyl-tRNA(Gly)	-8.804	-3.585	0.0	0.0	0.0	50.0
C00269	CDP-diacylglycerol	4.902	2.293	0.468	34.799	4.025	60.0
C05898	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	-8.281	-1.585	0.0	0.0	0.0	50.0
C11736	5-Fluorodeoxyuridine	6.087	2.0	0.329	71.978	4.564	70.0
C18259	1-Methoxypyrene	-6.476	-2.0	0.0	0.0	0.0	50.0
C05893	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine	-8.596	-1.585	0.0	0.0	0.0	50.0
C00262	Hypoxanthine	-1.954	-1.766	0.0	0.0	0.0	50.0
C01172	beta-D-Glucose_6-phosphate	9.166	2.663	0.291	580.769	7.399	90.0
C00267	alpha-D-Glucose	7.457	-4.406	0.121	196.904	-4.57	90.0
C03294	N-Formylmethionyl-tRNA	-8.098	-2.0	0.0	0.0	0.0	50.0
C00235	Dimethylallyl_diphosphate	-8.912	2.585	0.012	487.703	-2.603	80.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	-7.6	-3.807	0.0	0.0	0.0	50.0
C00470	Pectate	-7.451	-4.907	0.0	0.0	0.0	50.0
C00993	D-Alanyl-D-alanine	-3.17	-1.0	0.0	0.0	0.0	50.0
C02702	L-Prolyl-tRNA(Pro)	-8.371	-3.17	0.0	0.0	0.0	50.0
C01151	D-Ribose_1,5-bisphosphate	-4.248	-1.585	0.0	0.0	0.0	50.0
C00129	Isopentenyl_diphosphate	-8.665	-2.585	0.0	0.0	0.0	50.0
C00460	dUTP	7.555	3.585	0.475	200.054	6.569	80.0
C03794	N6-(1,2-Dicarboxyethyl)-AMP	-3.322	1.222	0.233	12.333	-1.524	80.0
C00181	D-Xylose	-6.883	4.087	0.144	135.024	-4.281	90.0
C00010	CoA	-8.521	2.0	0.011	371.347	-2.016	80.0
C00122	Fumarate	3.879	-3.459	0.747	25.71	-4.264	90.0
C00286	dGTP	-8.041	-5.227	0.0	0.0	0.0	50.0
C04216	all-trans-Heptaprenyl_diphosphate	-7.366	-2.585	0.0	0.0	0.0	50.0
C00283	Hydrogen_sulfide	6.807	1.585	0.233	114.973	4.743	70.0
C00011	CO2	5.206	6.409	0.812	121.889	6.629	80.0
C01152	N(pi)-Methyl-L-histidine	-6.476	-2.0	0.0	0.0	0.0	50.0
C17556	di-trans,poly-cis-Undecaprenyl_phosphate	-5.954	-3.17	0.0	0.0	0.0	50.0
C00294	Inosine	7.715	4.807	0.623	238.103	7.213	90.0
C03892	Phosphatidylglycerophosphate	-7.637	-4.392	0.0	0.0	0.0	50.0
C00681	1-Acyl-sn-glycerol_3-phosphate	4.459	-0.515	0.065	23.422	-0.606	70.0
C00680	meso-2,6-Diaminoheptanedioate	-1.312	-1.051	0.0	0.0	0.0	50.0
C02553	L-Seryl-tRNA(Ser)	-8.426	-3.907	0.0	0.0	0.0	50.0
C00842	dTDP-glucose	7.577	3.0	0.396	198.943	6.3	80.0
C05378	beta-D-Fructose_1,6-bisphosphate	-9.348	-4.807	0.0	0.0	0.0	50.0
C00448	trans,trans-Farnesyl_diphosphate	-2.7	2.585	0.923	12.498	-3.529	90.0
C04691	2-Dehydro-3-deoxy-D-arabino-heptonate_7-phosphate	6.15	-2.322	0.07	76.013	-2.42	80.0
C04051	5-Amino-4-imidazolecarboxyamide	-8.488	-3.807	0.0	0.0	0.0	50.0
C04053	5-Dehydro-4-deoxy-D-glucuronate	9.267	5.285	0.57	655.08	8.545	90.0
C00514	D-Mannonate	4.858	1.585	0.326	32.0	3.384	60.0
C00152	L-Asparagine	-7.197	-0.415	0.0	0.0	0.0	50.0
C00921	Dihydropteroate	7.109	2.807	0.395	145.044	5.84	80.0
C03150	Nicotinamide-beta-riboside	7.676	4.807	0.626	232.499	7.186	90.0
C01921	Glycocholate	7.418	1.0	0.135	173.017	4.544	60.0
C00458	dCTP	-8.959	-4.728	0.0	0.0	0.0	50.0
C04895	7,8-Dihydroneopterin_3'-triphosphate	-4.954	-1.585	0.0	0.0	0.0	50.0
C03539	S-Ribosyl-L-homocysteine	5.524	-2.0	0.087	50.014	-2.12	80.0
C00199	D-Ribulose_5-phosphate	-6.01	-3.83	0.0	0.0	0.0	50.0
C00019	S-Adenosyl-L-methionine	-8.062	-0.807	0.0	0.0	0.0	50.0
C00217	D-Glutamate	5.615	1.0	0.178	51.01	3.183	60.0
C00214	Thymidine	5.102	-3.273	0.281	44.011	-3.631	90.0
C20239	6-Carboxy-5,6,7,8-tetrahydropterin	-3.0	1.0	0.25	10.0	-1.322	80.0
C00212	Adenosine	6.819	4.807	0.705	140.901	6.634	80.0
C00153	Nicotinamide	-7.791	-4.807	0.0	0.0	0.0	50.0
C00208	Maltose	-8.472	-5.755	0.0	0.0	0.0	50.0
C05840	Iminoaspartate	3.459	1.585	0.458	13.997	2.681	60.0
C05841	Nicotinate_D-ribonucleoside	7.676	4.807	0.626	232.499	7.186	90.0
C00035	GDP	1.7	4.919	0.346	33.502	3.533	60.0
C00033	Acetate	8.404	3.087	0.367	347.229	6.995	90.0
C00031	D-Glucose	7.856	3.644	0.464	244.183	6.824	80.0
C00137	myo-Inositol	-7.335	-3.585	0.0	0.0	0.0	50.0
C00136	Butanoyl-CoA	9.309	-5.17	0.057	670.292	-5.25	90.0
C00135	L-Histidine	-6.2	2.807	0.095	80.515	-2.938	80.0
C00134	Putrescine	6.009	-2.807	0.109	71.399	-2.956	80.0
C00133	D-Alanine	5.833	1.585	0.272	60.004	4.027	60.0
C00131	dATP	-6.479	2.7	0.073	95.7	-2.801	80.0
C00130	IMP	-2.346	4.087	0.299	22.079	-2.724	80.0
C01097	D-Tagatose_6-phosphate	11.526	4.807	0.417	2976.972	10.278	90.0
C00632	3-Hydroxyanthranilate	6.476	2.0	0.309	93.016	4.844	70.0
C04352	(R)-4'-Phosphopantothenoyl-L-cysteine	-5.163	-2.585	0.0	0.0	0.0	50.0
C04574	di-trans,poly-cis-Undecaprenyl_diphosphate	6.0	2.322	0.387	69.0	4.739	70.0
C01762	Xanthosine	7.676	4.807	0.626	232.499	7.186	90.0
C18260	1,6-Dimethoxypyrene	-6.476	-2.0	0.0	0.0	0.0	50.0
C02528	Chenodeoxycholate	-7.418	-1.0	0.0	0.0	0.0	50.0
C00526	Deoxyuridine	-5.958	1.926	0.061	65.964	-2.012	80.0
C18261	1-Hydroxy-6-methoxypyrene	6.476	2.0	0.309	93.016	4.844	70.0
C11453	2-C-Methyl-D-erythritol_2,4-cyclodiphosphate	-6.331	-1.7	0.0	0.0	0.0	50.0
C02554	L-Valyl-tRNA(Val)	-8.443	-2.807	0.0	0.0	0.0	50.0
C00831	Pantetheine	6.925	2.585	0.373	127.516	5.573	70.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	-4.585	-0.415	0.0	0.0	0.0	50.0
C04882	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine	-4.322	-1.0	0.0	0.0	0.0	50.0
C00041	L-Alanine	6.79	-2.807	0.063	117.659	-2.895	80.0
C00040	Acyl-CoA	7.654	3.503	0.458	212.748	6.605	80.0
C00047	L-Lysine	-5.951	2.807	0.113	68.861	-2.962	90.0
C00046	RNA	-7.76	-2.7	0.0	0.0	0.0	50.0
C00044	GTP	-8.947	-3.826	0.0	0.0	0.0	50.0
C05335	L-Selenomethionine	6.409	3.585	0.559	96.977	5.761	80.0
C00204	2-Dehydro-3-deoxy-D-gluconate	8.024	5.304	0.661	299.8	7.631	90.0
C00049	L-Aspartate	5.666	2.907	0.513	58.274	4.902	70.0
C00206	dADP	8.904	2.503	0.281	484.708	7.09	90.0
C01127	4-Hydroxy-2-oxoglutarate	9.937	5.209	0.524	1017.234	9.059	90.0
C01528	Hydrogen_selenide	-7.547	-3.544	0.0	0.0	0.0	50.0
