compound_code	compound_name	parabacteroides_mock_score	butyrivibrio_mock_score	ratio	magnitude	interaction_score	percentile
C04691	2-Dehydro-3-deoxy-D-arabino-heptonate_7-phosphate	8.175	6.15	0.752	360.027	8.081	70.0
C04051	5-Amino-4-imidazolecarboxyamide	-9.246	-8.488	0.0	0.0	0.0	50.0
C04053	5-Dehydro-4-deoxy-D-glucuronate	10.043	9.267	0.923	1671.071	10.591	90.0
C18026	(2S)-Ethylmalonyl-CoA	10.397	9.494	0.913	2069.442	10.884	90.0
C00270	N-Acetylneuraminate	8.326	7.786	0.935	541.613	8.984	80.0
C01209	Malonyl-[acyl-carrier_protein]	8.467	6.672	0.788	455.821	8.489	80.0
C02492	1,4-beta-D-Mannan	8.791	7.022	0.799	572.917	8.838	80.0
C00217	D-Glutamate	7.198	5.615	0.78	195.84	7.255	70.0
C00214	Thymidine	6.989	5.102	0.73	161.372	6.88	70.0
C00212	Adenosine	9.618	6.819	0.709	898.698	9.316	80.0
C00036	Oxaloacetate	5.972	10.089	0.592	1151.93	9.413	80.0
C00037	Glycine	8.499	8.083	0.951	632.948	9.234	80.0
C00035	GDP	-6.889	1.7	0.027	121.77	-1.739	70.0
C00033	Acetate	8.614	8.404	0.976	730.539	9.477	80.0
C00031	D-Glucose	9.843	7.856	0.798	1150.095	9.842	90.0
C00137	myo-Inositol	-7.745	-7.335	0.0	0.0	0.0	50.0
C00135	L-Histidine	7.324	-6.2	0.459	233.747	-6.745	90.0
C00134	Putrescine	-7.562	6.009	0.341	253.369	-6.432	90.0
C00133	D-Alanine	8.322	5.833	0.701	377.02	8.046	70.0
C00131	dATP	-4.807	-6.479	0.0	0.0	0.0	50.0
C00130	IMP	-8.226	-2.346	0.0	0.0	0.0	50.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	8.821	-4.585	0.053	476.258	-4.66	80.0
C00042	Succinate	10.491	4.7	0.448	1465.141	9.358	80.0
C00041	L-Alanine	7.966	6.79	0.852	360.698	8.264	70.0
C00040	Acyl-CoA	7.375	7.654	0.964	367.407	8.468	80.0
C00047	L-Lysine	7.111	-5.951	0.448	200.1	-6.485	90.0
C00046	RNA	-8.982	-7.76	0.0	0.0	0.0	50.0
C00044	GTP	-9.432	-8.947	0.0	0.0	0.0	50.0
C00049	L-Aspartate	5.764	5.666	0.983	105.116	6.691	60.0
C00048	Glyoxylate	-0.874	6.975	0.015	127.634	-0.895	70.0
C06481	L-Seryl-tRNA(Sec)	-9.987	-8.426	0.0	0.0	0.0	50.0
C20440	alpha-D-Ribose_1,2-cyclic_phosphate_5-phosphate	6.508	4.248	0.653	110.014	6.166	60.0
C04236	(2S)-2-Isopropyl-3-oxosuccinate	-8.718	-8.098	0.0	0.0	0.0	50.0
C01101	L-Ribulose_5-phosphate	9.168	9.382	0.977	1242.443	10.246	90.0
C01100	L-Histidinol_phosphate	-4.776	-4.524	0.0	0.0	0.0	50.0
C01103	Orotidine_5'-phosphate	5.866	-6.59	0.605	154.659	-6.549	90.0
C01102	O-Phospho-L-homoserine	8.253	-5.17	0.118	341.073	-5.331	80.0
C02888	Sorbose_1-phosphate	-8.651	-4.858	0.0	0.0	0.0	50.0
C03033	beta-D-Glucuronoside	3.7	4.392	0.842	33.991	4.84	60.0
C05122	Taurocholate	7.762	7.418	0.956	388.085	8.535	80.0
C03684	6-Pyruvoyltetrahydropterin	-8.401	-3.0	0.0	0.0	0.0	50.0
C03688	Apo-[acyl-carrier-protein]	2.585	8.155	0.317	291.036	6.528	60.0
C06007	(R)-2,3-Dihydroxy-3-methylpentanoate	-8.552	-9.471	0.0	0.0	0.0	50.0
C06006	(S)-2-Aceto-2-hydroxybutanoate	9.054	9.809	0.923	1428.55	10.365	90.0
C00227	Acetyl_phosphate	3.081	-6.781	0.077	118.435	-3.188	80.0
C04302	N-(5-Phospho-D-ribosyl)anthranilate	-4.03	-4.087	0.0	0.0	0.0	50.0
C00058	Formate	-6.827	9.999	0.111	1136.826	-6.979	90.0
C05345	beta-D-Fructose_6-phosphate	6.678	10.671	0.626	1732.783	10.083	90.0
C04900	Luteolin_7-O-[beta-D-glucuronosyl-(1->2)-beta-D-glucuronide]-4'-O-beta-D-glucuronide	3.7	4.392	0.842	33.991	4.84	60.0
C03512	L-Tryptophanyl-tRNA(Trp)	-8.945	-8.2	0.0	0.0	0.0	50.0
C01037	7,8-Diaminononanoate	-7.897	-2.115	0.0	0.0	0.0	50.0
C00817	D-Altronate	-7.612	-5.85	0.0	0.0	0.0	50.0
C03451	(R)-S-Lactoylglutathione	6.508	6.392	0.982	174.994	7.425	70.0
C05840	Iminoaspartate	4.459	3.459	0.776	32.99	4.678	60.0
C00387	Guanosine	9.618	7.676	0.798	990.296	9.626	90.0
C05466	Glycochenodeoxycholate	7.762	7.418	0.956	388.085	8.535	80.0
C05841	Nicotinate_D-ribonucleoside	9.618	7.676	0.798	990.296	9.626	90.0
C15809	Iminoglycine	7.788	4.459	0.573	243.008	7.12	70.0
C05787	Bilirubin_beta-diglucuronide	3.7	4.392	0.842	33.991	4.84	60.0
C11907	4,6-Dideoxy-4-oxo-dTDP-D-glucose	-7.907	-8.214	0.0	0.0	0.0	50.0
C00092	D-Glucose_6-phosphate	9.952	-9.622	0.796	1778.463	-10.466	90.0
C00253	Nicotinate	-8.162	-7.583	0.0	0.0	0.0	50.0
C00250	Pyridoxal	1.0	6.17	0.162	74.004	3.584	60.0
C00251	Chorismate	-7.372	-6.188	0.0	0.0	0.0	50.0
C00254	Prephenate	-6.372	-3.883	0.0	0.0	0.0	50.0
C00255	Riboflavin	-7.57	6.248	0.4	266.023	-6.733	90.0
C05336	Selenomethionyl-tRNA(Met)	-9.109	-8.155	0.0	0.0	0.0	50.0
C00258	D-Glycerate	-5.409	4.256	0.45	61.595	-4.792	80.0
C00259	L-Arabinose	-7.741	-8.098	0.0	0.0	0.0	50.0
C11376	SN38_glucuronide	3.7	4.392	0.842	33.991	4.84	60.0
C01081	Thiamin_monophosphate	5.322	-5.585	0.833	88.003	-6.196	90.0
C01083	alpha,alpha-Trehalose	-1.0	-8.873	0.0	0.0	0.0	50.0
C00559	Deoxyadenosine	9.396	4.723	0.503	700.127	8.459	80.0
C00491	L-Cystine	9.486	7.459	0.786	893.032	9.456	80.0
C00493	Shikimate	3.544	4.355	0.814	32.128	4.708	60.0
C00886	L-Alanyl-tRNA	-10.025	-8.551	0.0	0.0	0.0	50.0
C00498	ADP-glucose	8.323	-11.558	0.106	3335.358	-8.469	90.0
C00882	Dephospho-CoA	1.585	-7.109	0.022	141.046	-1.616	70.0
C00881	Deoxycytidine	7.524	7.547	0.997	371.07	8.531	80.0
C00078	L-Tryptophan	7.31	5.624	0.769	207.999	7.322	70.0
C00079	L-Phenylalanine	6.981	3.469	0.497	137.399	6.093	60.0
C00073	L-Methionine	7.384	8.214	0.899	463.969	8.704	80.0
C00378	Thiamine	5.833	-6.313	0.717	136.511	-6.613	90.0
C00074	Phosphoenolpyruvate	-10.671	-10.818	0.0	0.0	0.0	50.0
C00075	UTP	9.82	9.406	0.958	1582.291	10.566	90.0
C00085	D-Fructose_6-phosphate	9.791	10.541	0.929	2375.8	11.108	90.0
C00082	L-Tyrosine	-5.466	-2.919	0.0	0.0	0.0	50.0
C00081	ITP	-7.977	6.022	0.258	316.935	-6.353	90.0
C04640	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine	-6.833	-4.585	0.0	0.0	0.0	50.0
C03175	Shikimate_3-phosphate	5.0	-4.492	0.703	54.502	-5.26	80.0
C00089	Sucrose	-7.562	-7.443	0.0	0.0	0.0	50.0
C04646	6-Thioinosine-5'-monophosphate	8.077	8.185	0.987	561.06	9.113	80.0
C00670	sn-Glycero-3-phosphocholine	7.0	8.281	0.845	439.049	8.536	80.0
C00671	(S)-3-Methyl-2-oxopentanoic_acid	8.111	7.446	0.918	450.843	8.693	80.0
C01921	Glycocholate	7.762	7.418	0.956	388.085	8.535	80.0
C00673	2-Deoxy-D-ribose_5-phosphate	10.115	-3.807	0.013	1122.963	-3.825	80.0
C01250	N-Acetyl-L-glutamate_5-semialdehyde	-8.193	-3.7	0.0	0.0	0.0	50.0
C01885	1-Acylglycerol	-2.322	-3.322	0.0	0.0	0.0	50.0
C00106	Uracil	-7.541	6.373	0.445	269.12	-6.904	90.0
C00105	UMP	-6.14	-4.71	0.0	0.0	0.0	50.0
C00103	D-Glucose_1-phosphate	9.864	5.816	0.59	988.216	9.187	80.0
C00100	Propanoyl-CoA	-9.295	-11.255	0.0	0.0	0.0	50.0
C00101	Tetrahydrofolate	2.23	-5.719	0.089	57.365	-2.353	70.0
C15556	L-3,4-Dihydroxybutan-2-one_4-phosphate	-8.205	2.807	0.024	302.086	-2.841	80.0
C00108	Anthranilate	-4.767	4.746	0.986	54.062	-5.736	80.0
C00109	2-Oxobutanoate	-6.205	10.04	0.07	1126.56	-6.303	90.0
C04702	UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)	7.531	-4.322	0.108	204.952	-4.47	80.0
C05764	Hexadecanoyl-[acp]	8.667	5.907	0.682	466.473	8.313	70.0
C05766	Uroporphyrinogen_I	7.577	3.907	0.516	205.944	6.731	60.0
C05761	Tetradecanoyl-[acp]	8.667	5.907	0.682	466.473	8.313	70.0
C05760	trans-Tetradec-2-enoyl-[acp]	7.317	6.15	0.841	230.467	7.598	70.0
C05763	trans-Hexadec-2-enoyl-[acp]	7.317	6.15	0.841	230.467	7.598	70.0
C05762	3-Oxohexadecanoyl-[acp]	9.041	-2.0	0.008	530.759	-2.011	70.0
C00361	dGDP	6.185	6.786	0.911	183.111	7.383	70.0
C05768	Coproporphyrinogen_I	-7.577	-3.907	0.0	0.0	0.0	50.0
C05830	8-Methoxykynurenate	-6.845	-6.476	0.0	0.0	0.0	50.0
C02992	L-Threonyl-tRNA(Thr)	-9.617	-8.714	0.0	0.0	0.0	50.0
C00179	Agmatine	-9.512	5.19	0.05	766.63	-5.26	80.0
C03090	5-Phosphoribosylamine	-6.926	-7.997	0.0	0.0	0.0	50.0
C07086	Phenylacetic_acid	3.585	9.246	0.388	619.189	7.907	70.0
C01077	O-Acetyl-L-homoserine	8.553	7.243	0.847	527.068	8.802	80.0
C20082	Pseudaminic_acid	-1.585	-4.644	0.0	0.0	0.0	50.0
C01079	Protoporphyrinogen_IX	-7.82	-8.574	0.0	0.0	0.0	50.0
C11435	4-(Cytidine_5'-diphospho)-2-C-methyl-D-erythritol	3.485	-2.585	0.536	17.197	-3.204	80.0
C11436	2-Phospho-4-(cytidine_5'-diphospho)-2-C-methyl-D-erythritol	-4.752	-2.322	0.0	0.0	0.0	50.0
C11437	1-Deoxy-D-xylulose_5-phosphate	-5.946	-4.121	0.0	0.0	0.0	50.0
C11432	1-Phenanthrol	6.845	6.476	0.946	203.977	7.592	70.0
C11433	1-Methoxyphenanthrene	-6.845	-6.476	0.0	0.0	0.0	50.0
C01179	3-(4-Hydroxyphenyl)pyruvate	4.254	1.508	0.354	21.924	2.958	60.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	-7.781	4.0	0.073	235.945	-4.101	80.0
C04432	tRNA_containing_6-isopentenyladenosine	-8.98	-6.943	0.0	0.0	0.0	50.0
C04411	(2R,3S)-3-Isopropylmalate	-5.186	2.293	0.135	41.304	-2.475	80.0
C01172	beta-D-Glucose_6-phosphate	-4.585	9.166	0.042	598.436	-4.644	80.0
C01177	Inositol_1-phosphate	7.476	7.285	0.974	333.989	8.346	70.0
C00169	Carbamoyl_phosphate	-8.773	-6.626	0.0	0.0	0.0	50.0
C18796	(2R)-2-Hydroxy-2-methylbutanenitrile	-10.551	-9.95	0.0	0.0	0.0	50.0
C08334	Lotaustralin	10.551	9.95	0.943	2489.382	11.197	90.0
C03410	N-Glycoloyl-neuraminate	8.91	7.814	0.877	706.07	9.274	80.0
C03892	Phosphatidylglycerophosphate	-4.459	-7.637	0.0	0.0	0.0	50.0
C02412	Glycyl-tRNA(Gly)	-8.743	-8.804	0.0	0.0	0.0	50.0
C00680	meso-2,6-Diaminoheptanedioate	4.545	-1.312	0.106	25.827	-1.458	70.0
C02553	L-Seryl-tRNA(Ser)	-9.989	-8.426	0.0	0.0	0.0	50.0
C00688	dTDP-4-dehydro-6-deoxy-beta-L-mannose	4.565	6.903	0.661	143.347	6.567	60.0
C05378	beta-D-Fructose_1,6-bisphosphate	10.035	-9.348	0.621	1700.817	-10.045	90.0
C00831	Pantetheine	8.725	6.925	0.794	544.658	8.756	80.0
C20238	(2R)-Ethylmalonyl-CoA	-10.397	-9.494	0.0	0.0	0.0	50.0
C04349	(4S)-4,6-Dihydroxy-2,5-dioxohexanoate	-10.043	-8.642	0.0	0.0	0.0	50.0
C00512	S-Benzoate_coenzyme_A	-2.0	-4.7	0.0	0.0	0.0	50.0
C00514	D-Mannonate	9.953	4.858	0.488	1020.178	8.96	80.0
C16220	3-Hydroxyoctadecanoyl-[acp]	-10.617	-6.977	0.0	0.0	0.0	50.0
C00921	Dihydropteroate	-5.931	7.109	0.442	199.057	-6.459	90.0
C04294	5-(2-Hydroxyethyl)-4-methylthiazole	-5.833	4.585	0.421	81.005	-5.092	80.0
C00458	dCTP	-6.427	-8.959	0.0	0.0	0.0	50.0
C04895	7,8-Dihydroneopterin_3'-triphosphate	-5.157	-4.954	0.0	0.0	0.0	50.0
C04896	5-(5-Phospho-D-ribosylaminoformimino)-1-(5-phosphoribosyl)-imidazole-4-carboxamide	6.229	7.683	0.811	280.51	7.829	70.0
C00455	Nicotinamide_D-ribonucleotide	5.728	-4.719	0.497	79.34	-5.301	80.0
C00354	D-Fructose_1,6-bisphosphate	-8.416	-8.26	0.0	0.0	0.0	50.0
C19725	UDP-2,3-diacetamido-2,3-dideoxy-alpha-D-glucuronate	-2.585	3.459	0.546	16.997	-3.213	80.0
C00333	D-Galacturonate	9.931	9.638	0.97	1772.937	10.749	90.0
C00337	(S)-Dihydroorotate	3.7	-5.209	0.351	49.984	-4.134	80.0
C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier_protein]	-10.203	-6.977	0.0	0.0	0.0	50.0
C04122	D-1-Aminopropan-2-ol_O-phosphate	-4.7	4.459	0.846	47.985	-5.344	80.0
C00631	2-Phospho-D-glycerate	-6.391	2.926	0.091	91.523	-3.051	80.0
C00632	3-Hydroxyanthranilate	6.418	6.476	0.991	174.525	7.434	70.0
C04046	3-D-Glucosyl-1,2-diacylglycerol	4.322	1.0	0.231	22.001	2.348	60.0
C01594	Linamarin	10.551	9.95	0.943	2489.382	11.197	90.0
C16221	(2E)-Octadecenoyl-[acp]	9.106	6.15	0.675	622.047	8.715	80.0
C00208	Maltose	-9.655	-8.472	0.0	0.0	0.0	50.0
C00204	2-Dehydro-3-deoxy-D-gluconate	9.289	8.024	0.864	885.852	9.58	90.0
C01212	UDP-N-acetylmuramoyl-L-alanine	7.726	3.781	0.489	225.465	6.786	60.0
C00203	UDP-N-acetyl-D-galactosamine	6.476	3.858	0.596	103.517	5.946	60.0
C00025	L-Glutamate	3.367	5.922	0.569	70.949	5.334	60.0
C00024	Acetyl-CoA	10.672	-8.417	0.209	1973.317	-8.691	90.0
C00148	L-Proline	7.538	-4.322	0.108	205.852	-4.469	80.0
C00026	2-Oxoglutarate	5.085	-4.412	0.627	55.23	-5.114	80.0
C00021	S-Adenosyl-L-homocysteine	-5.828	5.597	0.852	105.209	-6.486	90.0
C00020	AMP	-7.908	-6.484	0.0	0.0	0.0	50.0
C00022	Pyruvate	-7.12	8.769	0.319	575.349	-7.519	90.0
C00143	5,10-Methylenetetrahydrofolate	-8.635	-7.131	0.0	0.0	0.0	50.0
C00140	N-Acetyl-D-glucosamine	6.82	-6.87	0.966	229.956	-7.795	90.0
C00141	3-Methyl-2-oxobutanoic_acid	-6.226	-7.449	0.0	0.0	0.0	50.0
C00029	UDP-glucose	8.82	-7.345	0.36	614.523	-7.788	90.0
C00147	Adenine	-6.608	4.295	0.201	117.175	-4.56	80.0
C00144	GMP	-8.565	-7.547	0.0	0.0	0.0	50.0
C05729	R-S-Cysteinylglycine	10.589	6.384	0.603	1623.822	9.935	90.0
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	-5.931	-8.282	0.0	0.0	0.0	50.0
