kegg_code	genome_code	organism_name
rcu	T01087	Ricinus_communis_(castor_bean)
pop	T01077	Populus_trichocarpa_(black_cottonwood)
vvi	T01084	Vitis_vinifera_(wine_grape)
sly	T02665	Solanum_lycopersicum_(tomato)
osa	T01015	Oryza_sativa_japonica_(Japanese_rice)_(RefSeq)
dosa	T02163	Oryza_sativa_japonica_(Japanese_rice)_(RAPDB)
bdi	T01717	Brachypodium_distachyon
sbi	T01086	Sorghum_bicolor_(sorghum)
zma	T01088	Zea_mays_(maize)
sita	T02818	Setaria_italica_(foxtail_millet)
smo	T01496	Selaginella_moellendorffii
ppp	T01041	Physcomitrella_patens_subsp._patens
cre	T01039	Chlamydomonas_reinhardtii
vcn	T01330	Volvox_carteri_f._nagariensis
olu	T01029	Ostreococcus_lucimarinus
ota	T01358	Ostreococcus_tauri
mis	T02695	Micromonas_sp._RCC299
mpp	T02696	Micromonas_pusilla
cme	T00175	Cyanidioschyzon_merolae
sce	T00005	Saccharomyces_cerevisiae_(budding_yeast)
ago	T00167	Ashbya_gossypii_(Eremothecium_gossypii)
erc	T02237	Eremothecium_cymbalariae
kla	T01025	Kluyveromyces_lactis
lth	T01117	Lachancea_thermotolerans
ppa	T01092	Pichia_pastoris
vpo	T01049	Vanderwaltozyma_polyspora
zro	T01118	Zygosaccharomyces_rouxii
cgr	T01024	Candida_glabrata
ncs	T02233	Naumovozyma_castellii
ndi	T02234	Naumovozyma_dairenensis
tpf	T02235	Tetrapisispora_phaffii
tbl	T02489	Tetrapisispora_blattae
tdl	T02236	Torulaspora_delbrueckii
kaf	T02487	Kazachstania_africana
dha	T01026	Debaryomyces_hansenii
pic	T01023	Scheffersomyces_stipitis
pgu	T01150	Meyerozyma_guilliermondii
lel	T01116	Lodderomyces_elongisporus
cal	T00189	Candida_albicans
ctp	T01115	Candida_tropicalis
cdu	T01140	Candida_dubliniensis
cot	T02488	Candida_orthopsilosis
yli	T01033	Yarrowia_lipolytica
clu	T01149	Clavispora_lusitaniae
ncr	T01034	Neurospora_crassa
smp	T01610	Sordaria_macrospora
pan	T01048	Podospora_anserina
ttt	T02228	Thielavia_terrestris
mtm	T02231	Myceliophthora_thermophila
mgr	T01027	Magnaporthe_oryzae
fgr	T01038	Fusarium_graminearum
nhe	T01612	Nectria_haematococca
val	T02227	Verticillium_albo-atrum
ssl	T01071	Sclerotinia_sclerotiorum
bfu	T01072	Botryotinia_fuckeliana
ani	T01016	Aspergillus_nidulans
nfi	T01070	Neosartorya_fischeri
afm	T01017	Aspergillus_fumigatus
aor	T01018	Aspergillus_oryzae
ang	T01030	Aspergillus_niger
afv	T01090	Aspergillus_flavus
act	T01148	Aspergillus_clavatus
pcs	T01091	Penicillium_chrysogenum
cim	T01114	Coccidioides_immitis
cpw	T01332	Coccidioides_posadasii
pbl	T02230	Paracoccidioides_brasiliensis
ure	T01132	Uncinocarpus_reesii
abe	T01611	Arthroderma_benhamiae
tve	T01615	Trichophyton_verrucosum
aje	T02229	Ajellomyces_capsulatus
pno	T01161	Phaeosphaeria_nodorum
pte	T01613	Pyrenophora_teres
ztr	T02285	Zymoseptoria_tritici
tml	T01282	Tuber_melanosporum
spo	T00076	Schizosaccharomyces_pombe_(fission_yeast)
cne	T00243	Cryptococcus_neoformans_JEC21
cnb	T01040	Cryptococcus_neoformans_B-3501A
cgi	T02232	Cryptococcus_gattii
ppl	T01162	Postia_placenta
lbc	T01044	Laccaria_bicolor
mpr	T01089	Moniliophthora_perniciosa
cci	T01275	Coprinopsis_cinerea
scm	T01331	Schizophyllum_commune
uma	T01021	Ustilago_maydis
mgl	T01043	Malassezia_globosa
pgr	T02226	Puccinia_graminis
ecu	T00105	Encephalitozoon_cuniculi
ein	T02238	Encephalitozoon_intestinalis
ehe	T02287	Encephalitozoon_hellem
nce	T01614	Nosema_ceranae
mbr	T01042	Monosiga_brevicollis
ngr	T01241	Naegleria_gruberi
ddi	T00245	Dictyostelium_discoideum_(cellular_slime_mold)
dpp	T02090	Dictyostelium_purpureum_(cellular_slime_mold)
dfa	T02668	Dictyostelium_fasciculatum_(cellular_slime_mold)
ehi	T00238	Entamoeba_histolytica
edi	T01083	Entamoeba_dispar
acan	T02667	Acanthamoeba_castellanii
pfa	T00095	Plasmodium_falciparum_3D7
pfd	T01051	Plasmodium_falciparum_Dd2
pfh	T01052	Plasmodium_falciparum_HB3
pyo	T01035	Plasmodium_yoelii
pcb	T01108	Plasmodium_chabaudi
pbe	T01111	Plasmodium_berghei
pkn	T01094	Plasmodium_knowlesi
pvx	T01073	Plasmodium_vivax
pcy	T02490	Plasmodium_cynomolgi
tan	T00253	Theileria_annulata
tpv	T00254	Theileria_parva
bbo	T01085	Babesia_bovis
beq	T02820	Babesia_equi
cpv	T00168	Cryptosporidium_parvum
cho	T00210	Cryptosporidium_hominis
tgo	T01093	Toxoplasma_gondii
tet	T01020	Tetrahymena_thermophila
ptm	T01055	Paramecium_tetraurelia
tbr	T01013	Trypanosoma_brucei
tcr	T01012	Trypanosoma_cruzi
lma	T01014	Leishmania_major
lif	T01112	Leishmania_infantum
ldo	T02289	Leishmania_donovani
lmi	T02288	Leishmania_mexicana
lbz	T01113	Leishmania_braziliensis
gla	T01047	Giardia_lamblia
tva	T01022	Trichomonas_vaginalis
pti	T01075	Phaeodactylum_tricornutum
tps	T01078	Thalassiosira_pseudonana
pif	T01333	Phytophthora_infestans
eco	T00007	Escherichia_coli_K-12_MG1655
ecj	T00068	Escherichia_coli_K-12_W3110
ecd	T00666	Escherichia_coli_K-12_DH10B
ebw	T00913	Escherichia_coli_K-12_MC4100(MuLac)_BW2952
ecok	T02541	Escherichia_coli_K-12_MDS42
ece	T00044	Escherichia_coli_O157:H7_EDL933_(EHEC)
ecs	T00048	Escherichia_coli_O157:H7_Sakai_(EHEC)
ecf	T00778	Escherichia_coli_O157:H7_EC4115_(EHEC)
etw	T00949	Escherichia_coli_O157:H7_TW14359_(EHEC)
elx	T02122	Escherichia_coli_O157:H7_Xuzhou21_(EHEC)
eoj	T01098	Escherichia_coli_O26:H11_11368_(EHEC)
eoi	T01097	Escherichia_coli_O111:H-_11128_(EHEC)
eoh	T01096	Escherichia_coli_O103:H2_12009_(EHEC)
ecg	T00796	Escherichia_coli_O127:H6_E2348/69_(EPEC)
eok	T01190	Escherichia_coli_O55:H7_CB9615_(EPEC)
elr	T02066	Escherichia_coli_O55:H7_RM12579_(EPEC)
ecc	T00106	Escherichia_coli_O6:K2:H1_CFT073_(UPEC)
ecp	T00373	Escherichia_coli_O6:K15:H31_536_(UPEC)
eci	T00338	Escherichia_coli_O18:K1:H7_UTI89_(UPEC)
ecv	T00425	Escherichia_coli_O1:K1:H7_(APEC)
ecx	T00591	Escherichia_coli_O9_HS_(commensal)
ecw	T00590	Escherichia_coli_O139:H28_E24377A_(ETEC)
ecm	T00672	Escherichia_coli_SMS-3-5_(environmental)
ecy	T00784	Escherichia_coli_O152:H28_SE11_(commensal)
ecr	T00828	Escherichia_coli_O8_IAI1_(commensal)
ecq	T00827	Escherichia_coli_O81_ED1a_(commensal)
eck	T00826	Escherichia_coli_55989_(EAEC)
ect	T00829	Escherichia_coli_O7:K1_IAI39_(ExPEC)
eoc	T01999	Escherichia_coli_O7:K1_CE10
eum	T00831	Escherichia_coli_O17:K52:H18_UMN026_(ExPEC)
ecz	T00830	Escherichia_coli_O45:K1:H7_S88_(ExPEC)
elo	T02067	Escherichia_coli_O44:H18_042
eln	T02068	Escherichia_coli_O83:H1_NRG_857C
elh	T02069	Escherichia_coli_O78:H11:K80_H10407_(ETEC)
ese	T02077	Escherichia_coli_O150:H5_SE15_(commensal)
eso	T02256	Escherichia_coli_O104:H4_2009EL-2071
esm	T02316	Escherichia_coli_O104:H4_2009EL-2050
esl	T02257	Escherichia_coli_O104:H4_2011C-3493
ecl	T00697	Escherichia_coli_C_ATCC_8739
ebr	T00944	Escherichia_coli_B_REL606
ebd	T00939	Escherichia_coli_BL21-Gold(DE3)pLysS_AG
eko	T01718	Escherichia_coli_KO11FL
ekf	T02104	Escherichia_coli_KO11FL
eab	T01995	Escherichia_coli_ABU_83972
edh	T01996	Escherichia_coli_DH1
edj	T02102	Escherichia_coli_DH1
eih	T01997	Escherichia_coli_IHE3034
ena	T01998	Escherichia_coli_NA114
elu	T02000	Escherichia_coli_UM146
eun	T02001	Escherichia_coli_UMNK88
elw	T02002	Escherichia_coli_W
ell	T02101	Escherichia_coli_W
elc	T02003	Escherichia_coli_clone_D_i14
eld	T02004	Escherichia_coli_clone_D_i2
elp	T02030	Escherichia_coli_P12b
ebl	T00931	Escherichia_coli_BL21(DE3)
ebe	T02096	Escherichia_coli_BL21(DE3)
elf	T00854	Escherichia_coli_LF82
ecoa	T02445	Escherichia_coli_APEC_O78
ecol	T02846	Escherichia_coli_LY180
ecoi	T02847	Escherichia_coli_PMV-1
ecoj	T02896	Escherichia_coli_JJ1886
efe	T00811	Escherichia_fergusonii
ebt	T02111	Escherichia_blattae_DSM_4481
sty	T00064	Salmonella_enterica_subsp._enterica_serovar_Typhi_CT18
stt	T00121	Salmonella_enterica_subsp._enterica_serovar_Typhi_Ty2
sex	T01741	Salmonella_enterica_subsp._enterica_serovar_Typhi_P-stx-12
sent	T02648	Salmonella_enterica_subsp._enterica_serovar_Typhi_Ty21a
stm	T00065	Salmonella_enterica_subsp._enterica_serovar_Typhimurium_LT2
seo	T01714	Salmonella_enterica_subsp._enterica_serovar_Typhimurium_14028S
sev	T01715	Salmonella_enterica_subsp._enterica_serovar_Typhimurium_D23580
sey	T01724	Salmonella_enterica_subsp._enterica_serovar_Typhimurium_SL1344
sem	T01742	Salmonella_enterica_subsp._enterica_serovar_Typhimurium_T000240
sej	T01743	Salmonella_enterica_subsp._enterica_serovar_Typhimurium_UK-1
seb	T01760	Salmonella_enterica_subsp._enterica_serovar_Typhimurium_ST4/74
sef	T01782	Salmonella_enterica_subsp._enterica_serovar_Typhimurium_798
setu	T02639	Salmonella_enterica_subsp._enterica_serovar_Typhimurium_U288
setc	T02737	Salmonella_enterica_subsp._enterica_serovar_Typhimurium_var._5-_CFSAN001921
seen	T02738	Salmonella_enterica_subsp._enterica_serovar_Typhimurium_08-1736
senr	T02869	Salmonella_enterica_subsp._enterica_serovar_Typhimurium_DT2
send	T02874	Salmonella_enterica_subsp._enterica_serovar_Typhimurium_DT104
spt	T00219	Salmonella_enterica_subsp._enterica_serovar_Paratyphi_A_ATCC9150
sek	T00756	Salmonella_enterica_subsp._enterica_serovar_Paratyphi_A_AKU12601
spq	T00628	Salmonella_enterica_subsp._enterica_serovar_Paratyphi_B
sei	T00862	Salmonella_enterica_subsp._enterica_serovar_Paratyphi_C
sec	T00240	Salmonella_enterica_subsp._enterica_serovar_Choleraesuis
seh	T00738	Salmonella_enterica_subsp._enterica_serovar_Heidelberg_SL476
shb	T02011	Salmonella_enterica_subsp._enterica_serovar_Heidelberg_B182
senh	T02735	Salmonella_enterica_subsp._enterica_Serovar_Heidelberg_CFSAN002069
seeh	T02736	Salmonella_enterica_subsp._enterica_serovar_Heidelberg_41578
see	T00739	Salmonella_enterica_subsp._enterica_serovar_Newport_SL254
senn	T02779	Salmonella_enterica_subsp._enterica_serovar_Newport_USMARC-S3124.1
sew	T00743	Salmonella_enterica_subsp._enterica_serovar_Schwarzengrund
sea	T00751	Salmonella_enterica_subsp._enterica_serovar_Agona
sed	T00757	Salmonella_enterica_subsp._enterica_serovar_Dublin
seg	T00770	Salmonella_enterica_subsp._enterica_serovar_Gallinarum_287/91
sel	T01740	Salmonella_enterica_subsp._enterica_serovar_Gallinarum/pullorum_RKS5078
sega	T02824	Salmonella_enterica_subsp._enterica_serovar_Gallinarum/pullorum_CDC1983-67
set	T00776	Salmonella_enterica_subsp._enterica_serovar_Enteritidis
senj	T02479	Salmonella_enterica_subsp._enterica_serovar_Javiana
seec	T02734	Salmonella_enterica_subsp._enterica_Serovar_Cubana
seeb	T02739	Salmonella_enterica_subsp._enterica_serovar_Bareilly
seep	T02790	Salmonella_enterica_subsp._enterica_serovar_Pullorum
senb	T02827	Salmonella_enterica_subsp._enterica_serovar_Bovismorbificans
sene	T02868	Salmonella_enterica_subsp._enterica_serovar_Thompson
ses	T00627	Salmonella_enterica_subsp._arizonae
sbg	T01579	Salmonella_bongori_NCTC_12419
sbz	T02733	Salmonella_bongori_N268-08
ype	T00063	Yersinia_pestis_CO92_(biovar_Orientalis)
ypk	T00092	Yersinia_pestis_KIM_10_(biovar_Mediaevalis)
ypa	T00369	Yersinia_pestis_Antiqua_(biovar_Antiqua)
ypn	T00370	Yersinia_pestis_Nepal516_(biovar_Antiqua)
ypm	T00165	Yersinia_pestis_91001_(biovar_Microtus)
ypp	T00505	Yersinia_pestis_Pestoides_F
ypg	T00635	Yersinia_pestis_Angola
ypz	T01210	Yersinia_pestis_Z176003
ypt	T01831	Yersinia_pestis_A1122
ypd	T01832	Yersinia_pestis_D106004
ypx	T01833	Yersinia_pestis_D182038
yph	T01874	Yersinia_pestis_biovar_Medievalis_Harbin_35
yps	T00195	Yersinia_pseudotuberculosis_IP32953_(serotype_I)
ypi	T00570	Yersinia_pseudotuberculosis_IP31758_(serotype_O:1b)
ypy	T00665	Yersinia_pseudotuberculosis_YPIII
ypb	T00744	Yersinia_pseudotuberculosis_PB1/+
yen	T00469	Yersinia_enterocolitica_subsp._enterocolitica_8081
yep	T01480	Yersinia_enterocolitica_subsp._palearctica_105.5R(r)
yey	T02010	Yersinia_enterocolitica_subsp._palearctica_Y11
sfl	T00097	Shigella_flexneri_301_(serotype_2a)
sfx	T00128	Shigella_flexneri_2457T_(serotype_2a)
sfv	T00377	Shigella_flexneri_8401_(serotype_5b)
sfe	T01883	Shigella_flexneri_2002017_(serotype_Fxv)
ssn	T00274	Shigella_sonnei_Ss046
ssj	T01769	Shigella_sonnei_53G
sbo	T00301	Shigella_boydii_Sb227
sbc	T00700	Shigella_boydii_CDC_3083-94
sdy	T00306	Shigella_dysenteriae
eca	T00186	Pectobacterium_atrosepticum
pct	T00934	Pectobacterium_carotovorum_subsp._carotovorum_PC1
pcc	T02320	Pectobacterium_carotovorum_subsp._carotovorum_PCC21
pwa	T01106	Pectobacterium_wasabiae
pec	T02514	Pectobacterium_sp._SCC3193
eta	T00711	Erwinia_tasmaniensis
epy	T01000	Erwinia_pyrifoliae_Ep1/96
epr	T02121	Erwinia_pyrifoliae_DSM_12163
eam	T01197	Erwinia_amylovora_CFBP1430
eay	T01199	Erwinia_amylovora_ATCC_49946
ebi	T01270	Erwinia_billingiae
erj	T01935	Erwinia_sp._Ejp617
plu	T00149	Photorhabdus_luminescens
pay	T00941	Photorhabdus_asymbiotica
buc	T00036	Buchnera_aphidicola_APS
bas	T00087	Buchnera_aphidicola_Sg
bab	T00111	Buchnera_aphidicola_Bp
bcc	T00423	Buchnera_aphidicola_Cc
bap	T00820	Buchnera_aphidicola_5A
bau	T00821	Buchnera_aphidicola_Tuc7
bak	T01825	Buchnera_aphidicola_Ak
baw	T01826	Buchnera_aphidicola_JF98
bajc	T02354	Buchnera_aphidicola_JF99
bua	T01828	Buchnera_aphidicola_LL01
bup	T01829	Buchnera_aphidicola_TLW03
buh	T01830	Buchnera_aphidicola_Ua
baj	T01528	Buchnera_aphidicola_(Cinara_tujafilina)
wbr	T00101	Wigglesworthia_glossinidia_brevipalpis
wgl	T01747	Wigglesworthia_glossinidia_morsitans
sgl	T00316	Sodalis_glossinidius
ent	T00507	Enterobacter_sp._638
enc	T01231	Enterobacter_cloacae_subsp._cloacae_ATCC_13047
eno	T02315	Enterobacter_cloacae_subsp._cloacae_ENHKU01
eclo	T02615	Enterobacter_cloacae_subsp._cloacae_NCTC_9394
esc	T01342	Enterobacter_cloacae_SCF1
eec	T01652	Enterobacter_cloacae_EcWSU1
enl	T02159	Enterobacter_cloacae_subsp._dissolvens_SDM
eas	T01604	Enterobacter_asburiae
eae	T01529	Enterobacter_aerogenes_KCTC_2190
ear	T02447	Enterobacter_aerogenes_EA1509E
enr	T02700	Enterobacter_sp._R4-368
esa	T00586	Cronobacter_sakazakii_ATCC_BAA-894
csk	T02119	Cronobacter_sakazakii_ES15
csz	T02461	Cronobacter_sakazakii_Sp291
ctu	T00999	Cronobacter_turicensis
kpn	T00566	Klebsiella_pneumoniae_subsp._pneumoniae_MGH_78578
kpu	T00910	Klebsiella_pneumoniae_NTUH-K2044
kpm	T01733	Klebsiella_pneumoniae_subsp._pneumoniae_HS11286
kpp	T02213	Klebsiella_pneumoniae_subsp._pneumoniae_1084
kpe	T00772	Klebsiella_pneumoniae_342
kpo	T01982	Klebsiella_pneumoniae_KCTC_2242
kpr	T02793	Klebsiella_pneumoniae_subsp._rhinoscleromatis_SB3432
kpj	T02799	Klebsiella_pneumoniae_JM45
kpi	T02866	Klebsiella_pneumoniae_CG43
kva	T01170	Klebsiella_variicola
kox	T01681	Klebsiella_oxytoca_KCTC_1686
koe	T02173	Klebsiella_oxytoca_E718
cko	T00592	Citrobacter_koseri_ATCC_BAA-895
cro	T01145	Citrobacter_rodentium
spe	T00595	Serratia_proteamaculans
srr	T01503	Serratia_plymuthica_AS9
srl	T02710	Serratia_plymuthica_4Rx13
sry	T02716	Serratia_plymuthica_S13
srs	T01502	Serratia_sp._AS12
sra	T02012	Serratia_sp._AS13
ssz	T01672	Serratia_symbiotica
smaf	T02433	Serratia_marcescens_FGI94
smw	T02448	Serratia_marcescens_WW4
slq	T02740	Serratia_liquefaciens
serr	T02836	Serratia_sp._ATCC_39006
pmr	T00753	Proteus_mirabilis_HI4320
pmib	T02789	Proteus_mirabilis_BB2000
eic	T00912	Edwardsiella_ictaluri
etr	T01121	Edwardsiella_tarda_EIB202
etd	T02091	Edwardsiella_tarda_FL6-60
etc	T02509	Edwardsiella_tarda_C07-087
bfl	T00138	Candidatus_Blochmannia_floridanus
bpn	T00272	Candidatus_Blochmannia_pennsylvanicus
bva	T01398	Candidatus_Blochmannia_vafer
bchr	T02430	Candidatus_Blochmannia_chromaiodes
hde	T00911	Candidatus_Hamiltonella_defensa
dda	T00927	Dickeya_dadantii_Ech703
ddc	T01138	Dickeya_dadantii_Ech586
ddd	T01305	Dickeya_dadantii_3937
dze	T00930	Dickeya_zeae
xbo	T01186	Xenorhabdus_bovienii
xne	T01274	Xenorhabdus_nematophila
pam	T01195	Pantoea_ananatis_LMG_20103
plf	T01728	Pantoea_ananatis_LMG_5342
paj	T01969	Pantoea_ananatis_AJ13355
paq	T01970	Pantoea_ananatis_PA13
pva	T01326	Pantoea_vagans
pao	T01386	Pantoea_sp._At-9b
rip	T01218	Candidatus_Riesia_pediculicola
rah	T01422	Rahnella_sp._Y9602
raq	T01770	Rahnella_aquatilis_CIP_78.65_=_ATCC_33071
raa	T01850	Rahnella_aquatilis_HX2
men	T01562	Candidatus_Moranella_endobia_PCIT
meo	T02613	Candidatus_Moranella_endobia_PCVAL
psi	T02042	Providencia_stuartii
mmk	T02496	Morganella_morganii
ror	T02625	Raoultella_ornithinolytica
sect	T02199	Secondary_endosymbiont_of_Ctenarytaina_eucalypti
sehc	T02336	Secondary_endosymbiont_of_Heteropsylla_cubana
ebf	T02431	Enterobacteriaceae_bacterium_FGI_57
hin	T00001	Haemophilus_influenzae_Rd_KW20_(serotype_d)
hit	T00248	Haemophilus_influenzae_86-028NP_(nontypeable)
hip	T00543	Haemophilus_influenzae_PittEE_(nontypeable)
hiq	T00544	Haemophilus_influenzae_PittGG_(nontypeable)
hif	T01395	Haemophilus_influenzae_F3031_(nontypeable)
hil	T01400	Haemophilus_influenzae_F3047_(nontypeable)
hiu	T01720	Haemophilus_influenzae_10810_(serotype_b)
hie	T01980	Haemophilus_influenzae_R2846_(nontypeable)
hiz	T01981	Haemophilus_influenzae_R2866_(nontypeable)
hik	T02839	Haemophilus_influenzae_KR494_(serotype_f)
hdu	T00135	Haemophilus_ducreyi
hap	T00825	Haemophilus_parasuis_SH0165
hpaz	T02697	Haemophilus_parasuis_ZJ0906
hpr	T01605	Haemophilus_parainfluenzae
hso	T00386	Haemophilus_somnus_129PT
hsm	T00673	Haemophilus_somnus_2336
pmu	T00046	Pasteurella_multocida_subsp._multocida_Pm70
pmv	T01776	Pasteurella_multocida_subsp._multocida_HN06
pul	T02057	Pasteurella_multocida_subsp._multocida_3480
pmp	T01729	Pasteurella_multocida_36950
msu	T00201	Mannheimia_succiniciproducens
mht	T02522	Mannheimia_haemolytica_USDA-ARS-SAM-185
mhq	T02523	Mannheimia_haemolytica_USDA-ARS-USMARC-183
mhx	T02635	Mannheimia_haemolytica_M42548
mhae	T02746	Mannheimia_haemolytica_D153
mham	T02747	Mannheimia_haemolytica_D171
mhao	T02748	Mannheimia_haemolytica_D174
mhal	T02758	Mannheimia_haemolytica_USMARC_2286
apl	T00476	Actinobacillus_pleuropneumoniae_L20_(serotype_5b)
apj	T00644	Actinobacillus_pleuropneumoniae_JL03_(serotype_3)
apa	T00717	Actinobacillus_pleuropneumoniae_AP76_(serotype_7)
asu	T00558	Actinobacillus_succinogenes
asi	T02262	Actinobacillus_suis
aap	T00929	Aggregatibacter_aphrophilus
aat	T00993	Aggregatibacter_actinomycetemcomitans_D11S-1
aao	T01651	Aggregatibacter_actinomycetemcomitans_ANH9381
aan	T02046	Aggregatibacter_actinomycetemcomitans_D7S-1
gan	T01482	Gallibacterium_anatis
bto	T02504	Bibersteinia_trehalosi
xfa	T00033	Xylella_fastidiosa_9a5c
xft	T00113	Xylella_fastidiosa_Temecula1
xfm	T00677	Xylella_fastidiosa_M12
xfn	T00692	Xylella_fastidiosa_M23
xff	T01979	Xylella_fastidiosa_subsp._fastidiosa_GB514
xcc	T00083	Xanthomonas_campestris_pv._campestris_ATCC_33913
xcb	T00247	Xanthomonas_campestris_pv._campestris_8004
xca	T00759	Xanthomonas_campestris_pv._campestris_B100
xcv	T00288	Xanthomonas_campestris_pv._vesicatoria
xcp	T01872	Xanthomonas_campestris_pv._raphani
xac	T00084	Xanthomonas_axonopodis_pv._citri_306
xax	T01616	Xanthomonas_axonopodis_pv._citrumelo_F1
xao	T02500	Xanthomonas_axonopodis_Xac29-1
xoo	T00235	Xanthomonas_oryzae_pv._oryzae_KACC_10331
xom	T00360	Xanthomonas_oryzae_pv._oryzae_MAFF311018
xop	T00763	Xanthomonas_oryzae_pv._oryzae_PXO99A
xor	T01873	Xanthomonas_oryzae_pv._oryzicola
xal	T01160	Xanthomonas_albilineans
xci	T02519	Xanthomonas_citri
sml	T00718	Stenotrophomonas_maltophilia_K279a
smt	T00733	Stenotrophomonas_maltophilia_R551-3
buj	T01596	Stenotrophomonas_maltophilia_JV3
smz	T02061	Stenotrophomonas_maltophilia_D457
psu	T01403	Pseudoxanthomonas_suwonensis
psd	T01643	Pseudoxanthomonas_spadix
fau	T01773	Frateuria_aurantia
rhd	T02495	Rhodanobacter_sp._2APBS1
vch	T00034	Vibrio_cholerae_O1_biovar_El_Tor_N16961
vce	T01650	Vibrio_cholerae_O1_2010EL-1786
vcj	T00903	Vibrio_cholerae_MJ-1236
vco	T00520	Vibrio_cholerae_O395
vcr	T02099	Vibrio_cholerae_O395
vcm	T00891	Vibrio_cholerae_M66-2
vci	T01766	Vibrio_cholerae_IEC224
vcl	T01871	Vibrio_cholerae_LMA3984-4
vvu	T00108	Vibrio_vulnificus_CMCP6
vvy	T00150	Vibrio_vulnificus_YJ016
vvm	T01415	Vibrio_vulnificus_MO6-24/O
vpa	T00120	Vibrio_parahaemolyticus_RIMD_2210633
vpb	T02409	Vibrio_parahaemolyticus_BB22OP
vpk	T02760	Vibrio_parahaemolyticus_O1:K33_CDC_K4557
vpf	T02761	Vibrio_parahaemolyticus_O1:Kuk_FDA_R31
vha	T00589	Vibrio_harveyi
vca	T02837	Vibrio_campbellii_ATCC_BAA-1116
vag	T02840	Vibrio_alginolyticus
vsp	T00812	Vibrio_splendidus
vex	T01107	Vibrio_sp._Ex25
vej	T01683	Vibrio_sp._EJY3
vfu	T01680	Vibrio_furnissii
