compound_code	compound_name	lactobacillus_mock_score	escherichia_mock_score	ratio	magnitude	interaction_score	percentile
C03406	N-(L-Arginino)succinate	-3.7	-7.209	0.088	160.95	-3.821	60.0
C05512	Deoxyinosine	6.451	-9.058	0.164	620.49	-6.67	50.0
C07645	Aldophosphamide	11.324	9.329	0.824	3206.824	11.367	90.0
C07648	Thioguanine	8.476	9.362	0.905	1014.091	9.843	80.0
C00288	HCO3-	8.362	-9.214	0.554	922.881	-8.998	80.0
C00692	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	7.735	-7.562	0.887	402.011	-8.478	80.0
C00269	CDP-diacylglycerol	-6.119	-8.317	0.218	388.412	-6.403	50.0
C16219	3-Oxostearoyl-[acp]	8.954	10.205	0.877	1676.283	10.522	90.0
C00262	Hypoxanthine	-7.582	8.5	0.529	553.645	-8.195	70.0
C16217	3-Hydroxyoctadecanoyl-CoA	-9.358	-11.326	0.256	3223.439	-9.686	90.0
C16216	3-Oxostearoyl-CoA	9.358	11.326	0.826	3223.439	11.379	90.0
C00267	alpha-D-Glucose	7.888	7.929	0.995	480.584	8.901	70.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	1.0	10.314	0.097	1274.985	6.95	60.0
C00286	dGTP	-11.078	-8.944	0.228	2654.281	-9.24	80.0
C00283	Hydrogen_sulfide	10.189	-0.637	0.001	1168.888	-0.639	60.0
C00327	L-Citrulline	7.106	7.14	0.995	278.803	8.116	70.0
C05427	Phytyl_diphosphate	8.165	8.69	0.94	700.019	9.361	70.0
C04051	5-Amino-4-imidazolecarboxyamide	-10.109	-9.304	0.572	1736.46	-9.957	90.0
C02191	Protoporphyrin	7.651	8.704	0.879	618.021	9.085	70.0
C01209	Malonyl-[acyl-carrier_protein]	5.257	10.44	0.504	1427.403	9.489	80.0
C00217	D-Glutamate	-4.381	5.624	0.422	70.152	-4.889	50.0
C00214	Thymidine	-8.691	-6.759	0.262	521.595	-7.095	60.0
C01168	Pseudouridine_5'-phosphate	-8.371	-7.704	0.63	539.586	-8.409	70.0
C00212	Adenosine	7.709	6.015	0.78	273.907	7.74	70.0
C00036	Oxaloacetate	-6.489	8.431	0.26	434.953	-6.823	50.0
C05841	Nicotinate_D-ribonucleoside	8.238	-8.874	0.643	771.096	-8.955	80.0
C00035	GDP	-9.206	-9.703	0.709	1424.062	-9.979	90.0
C00032	Heme	-7.651	5.0	0.159	232.993	-5.213	50.0
C00033	Acetate	9.537	8.885	0.932	1215.659	10.145	80.0
C00031	D-Glucose	-8.92	-9.336	0.749	1130.655	-9.727	90.0
C00137	myo-Inositol	-9.483	-9.547	0.957	1463.65	-10.451	90.0
C00136	Butanoyl-CoA	-11.739	-10.671	0.477	5048.538	-11.234	90.0
C00135	L-Histidine	6.358	9.426	0.675	769.899	9.02	70.0
C00134	Putrescine	-7.972	-5.812	0.224	307.26	-6.103	50.0
C00133	D-Alanine	10.68	10.181	0.953	2801.469	11.383	90.0
C00131	dATP	9.479	-8.036	0.368	976.082	-8.488	80.0
C00130	IMP	-7.909	-4.977	0.131	271.845	-5.155	50.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	-4.011	-8.597	0.042	403.34	-4.07	60.0
C00042	Succinate	6.693	11.202	0.597	2459.263	10.521	90.0
C00041	L-Alanine	4.459	-9.152	0.039	590.881	-4.514	60.0
C00040	Acyl-CoA	7.985	9.187	0.869	836.21	9.505	80.0
C00047	L-Lysine	6.762	9.502	0.712	833.616	9.212	70.0
C00046	RNA	-8.742	11.369	0.162	3073.063	-8.958	80.0
C00044	GTP	-9.238	8.803	0.74	1050.48	-9.602	90.0
C00049	L-Aspartate	4.635	-11.381	0.009	2691.843	-4.648	60.0
C06481	L-Seryl-tRNA(Sec)	-9.731	8.904	0.564	1328.851	-9.549	90.0
C14899	3-Dehydro-L-gulonate_6-phosphate	-4.0	-8.664	0.039	421.624	-4.056	60.0
C01101	L-Ribulose_5-phosphate	6.212	-9.079	0.137	614.949	-6.397	50.0
C01103	Orotidine_5'-phosphate	3.459	6.705	0.516	115.326	5.895	60.0
C06006	(S)-2-Aceto-2-hydroxybutanoate	-7.16	-10.151	0.126	1280.0	-7.331	60.0
C03546	myo-Inositol_4-phosphate	9.371	8.607	0.918	1052.054	9.916	80.0
C05345	beta-D-Fructose_6-phosphate	10.25	-6.665	0.083	1319.224	-6.78	50.0
C01235	alpha-D-Galactosyl-(1->3)-1D-myo-inositol	10.292	12.079	0.852	5580.266	12.215	90.0
C00387	Guanosine	8.036	-8.865	0.563	728.731	-8.68	80.0
C00037	Glycine	8.876	7.799	0.879	692.538	9.249	70.0
C00253	Nicotinate	-8.267	-6.328	0.261	388.383	-6.662	50.0
C00250	Pyridoxal	11.461	-5.919	0.021	2879.569	-5.95	50.0
C00256	(R)-Lactate	8.15	5.755	0.706	338.054	7.899	70.0
C00255	Riboflavin	6.728	9.197	0.732	692.918	8.986	70.0
C00392	Mannitol	7.257	8.788	0.826	594.989	8.941	70.0
C00258	D-Glycerate	6.476	-7.224	0.595	238.516	-7.15	60.0
C05335	L-Selenomethionine	8.195	-8.587	0.762	677.592	-9.012	80.0
C16596	5-Phenyl-1,3-oxazinane-2,4-dione	-11.324	-8.124	0.109	2842.656	-8.273	70.0
C16595	4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one	11.324	8.124	0.717	2842.656	10.994	90.0
C01083	alpha,alpha-Trehalose	9.845	7.901	0.803	1158.71	9.861	80.0
C00559	Deoxyadenosine	-6.451	6.015	0.739	152.156	-6.813	50.0
C00886	L-Alanyl-tRNA	-7.775	-9.925	0.225	1191.159	-8.068	70.0
C00498	ADP-glucose	-9.605	-5.484	0.057	823.497	-5.565	50.0
C00882	Dephospho-CoA	-8.033	8.379	0.787	594.836	-8.87	80.0
C00078	L-Tryptophan	7.418	9.276	0.8	790.964	9.305	70.0
C00376	Retinal	-11.324	-8.124	0.109	2842.656	-8.273	70.0
C00072	Ascorbate	7.457	9.665	0.772	987.515	9.573	80.0
C00073	L-Methionine	-4.607	-8.587	0.063	408.912	-4.696	60.0
C00071	Aldehyde	-10.739	-10.47	0.83	3127.427	-11.342	90.0
C00077	L-Ornithine	-6.6	-8.435	0.28	443.095	-6.956	50.0
C00074	Phosphoenolpyruvate	-10.298	-9.553	0.597	2010.118	-10.228	90.0
C00075	UTP	7.373	8.331	0.885	487.784	8.754	70.0
C16186	L-Ascorbate_6-phosphate	5.437	-8.454	0.124	393.998	-5.605	50.0
C00085	D-Fructose_6-phosphate	3.161	7.792	0.406	230.573	6.547	60.0
C00084	Acetaldehyde	-9.944	11.2	0.419	3337.548	-10.449	90.0
C00082	L-Tyrosine	4.544	5.946	0.764	84.977	6.021	60.0
C00081	ITP	8.267	6.755	0.817	416.054	8.409	70.0
C04640	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine	-7.229	-8.611	0.384	541.012	-7.698	60.0
C00089	Sucrose	-7.706	-11.951	0.053	4168.022	-7.78	70.0
C04646	6-Thioinosine-5'-monophosphate	-6.919	-9.362	0.184	779.037	-7.163	60.0
C02218	Dehydroalanine	-8.371	-8.238	0.912	632.987	-9.173	80.0
C00671	(S)-3-Methyl-2-oxopentanoic_acid	8.607	6.885	0.8	508.104	8.667	70.0
C00672	2-Deoxy-D-ribose_1-phosphate	-6.087	10.114	0.061	1176.176	-6.173	50.0
C00673	2-Deoxy-D-ribose_5-phosphate	-7.64	-9.768	0.229	1071.355	-7.937	70.0
C00106	Uracil	6.416	-9.827	0.094	993.674	-6.546	50.0
C00104	IDP	9.647	8.401	0.871	1139.773	9.955	80.0
C00105	UMP	2.38	-5.242	0.138	43.05	-2.566	60.0
C00103	D-Glucose_1-phosphate	5.377	-9.152	0.073	610.444	-5.479	50.0
C00100	Propanoyl-CoA	-13.276	-11.63	0.32	13088.558	-12.03	90.0
C00101	Tetrahydrofolate	4.513	-8.76	0.053	456.366	-4.587	60.0
C00109	2-Oxobutanoate	11.002	10.764	0.978	3789.79	11.856	90.0
C04702	UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)	-3.0	7.276	0.052	162.987	-3.073	60.0
C05764	Hexadecanoyl-[acp]	-6.209	10.44	0.053	1463.14	-6.284	50.0
C06899	Chloral_hydrate	11.324	8.124	0.717	2842.656	10.994	90.0
C05761	Tetradecanoyl-[acp]	-6.209	10.44	0.053	1463.14	-6.284	50.0
C05760	trans-Tetradec-2-enoyl-[acp]	-7.459	-9.872	0.188	1113.009	-7.707	60.0
C05763	trans-Hexadec-2-enoyl-[acp]	-7.459	-9.872	0.188	1113.009	-7.707	60.0
C05762	3-Oxohexadecanoyl-[acp]	8.54	9.79	0.872	1257.503	10.099	80.0
C00361	dGDP	11.137	-6.267	0.034	2329.025	-6.316	50.0
C05807	2-Polyprenylphenol	8.543	9.061	0.943	907.104	9.74	80.0
C02992	L-Threonyl-tRNA(Thr)	-7.983	-11.183	0.109	2577.977	-8.132	70.0
C00178	Thymine	8.079	-8.611	0.692	661.402	-8.837	80.0
C02995	Maltose_6'-phosphate	11.605	-6.907	0.039	3234.974	-6.962	50.0
C03090	5-Phosphoribosylamine	6.728	8.91	0.755	587.041	8.792	70.0
C07086	Phenylacetic_acid	-7.484	-6.497	0.505	269.345	-7.086	60.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	7.098	-9.384	0.205	805.134	-7.367	60.0
C01172	beta-D-Glucose_6-phosphate	-9.11	-6.285	0.141	630.543	-6.475	50.0
C01177	Inositol_1-phosphate	9.371	8.607	0.918	1052.054	9.916	80.0
C03892	Phosphatidylglycerophosphate	-7.331	-9.386	0.241	830.073	-7.642	60.0
C00681	1-Acyl-sn-glycerol_3-phosphate	-5.275	-8.584	0.101	422.464	-5.414	50.0
C00680	meso-2,6-Diaminoheptanedioate	6.773	-7.974	0.435	360.792	-7.294	60.0
C00689	alpha,alpha'-Trehalose_6-phosphate	9.724	7.728	0.795	1057.71	9.715	80.0
C05378	beta-D-Fructose_1,6-bisphosphate	12.91	7.671	0.594	7900.369	12.197	90.0
C00831	Pantetheine	7.422	8.811	0.842	620.626	9.03	70.0
C16551	Alcophosphamide	-11.324	-8.124	0.109	2842.656	-8.273	70.0
C16220	3-Hydroxyoctadecanoyl-[acp]	-7.954	-10.672	0.152	1879.485	-8.158	70.0
C16221	(2E)-Octadecenoyl-[acp]	-7.459	-9.872	0.188	1113.009	-7.707	60.0
C00458	dCTP	-9.803	-9.408	0.76	1572.644	-10.224	90.0
C00459	dTTP	-8.726	5.776	0.129	478.232	-5.952	50.0
C00455	Nicotinamide_D-ribonucleotide	8.098	8.874	0.913	743.175	9.406	80.0
C15973	Enzyme_N6-(dihydrolipoyl)lysine	9.836	9.508	0.967	1642.072	10.632	90.0
C00330	Deoxyguanosine	8.238	4.328	0.525	322.0	7.402	60.0
C00332	Acetoacetyl-CoA	5.655	-5.277	0.77	89.161	-6.1	50.0
C00334	4-Aminobutanoate	7.103	-6.392	0.611	221.454	-7.08	60.0
C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier_protein]	-7.954	-10.672	0.152	1879.485	-8.158	70.0
C00208	Maltose	10.832	-7.907	0.132	2062.893	-8.085	70.0
C01212	UDP-N-acetylmuramoyl-L-alanine	7.119	7.315	0.973	298.239	8.181	70.0
C07490	Trichloroethanol	-11.324	-8.124	0.109	2842.656	-8.273	70.0
C00025	L-Glutamate	7.512	-4.448	0.12	204.358	-4.611	60.0
C00024	Acetyl-CoA	-11.246	-9.357	0.27	3084.502	-9.702	90.0
C00148	L-Proline	6.615	-4.346	0.207	118.356	-4.618	60.0
C00026	2-Oxoglutarate	6.185	8.67	0.713	480.071	8.42	70.0
C00020	AMP	6.272	-5.281	0.503	116.16	-5.869	50.0
C00022	Pyruvate	-8.812	9.204	0.762	1039.211	-9.629	90.0
C00141	3-Methyl-2-oxobutanoic_acid	6.353	6.929	0.917	203.595	7.544	70.0
C00029	UDP-glucose	-10.194	-0.322	0.001	1172.635	-0.324	60.0
C00147	Adenine	7.401	-5.273	0.229	207.68	-5.57	50.0
C00144	GMP	6.484	-5.378	0.465	131.097	-5.928	50.0
C05729	R-S-Cysteinylglycine	6.672	9.439	0.707	796.07	9.136	70.0
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	-7.79	-6.066	0.303	288.317	-6.448	50.0
C04633	(3R)-3-Hydroxypalmitoyl-[acyl-carrier_protein]	-7.541	-10.258	0.152	1410.757	-7.745	60.0
C00099	beta-Alanine	6.524	-7.349	0.564	255.059	-7.17	60.0
C05726	S-Substituted_L-cysteine	-6.672	-9.439	0.147	796.07	-6.87	50.0
C00705	dCDP	6.946	-2.807	0.057	130.296	-2.887	60.0
C01528	Hydrogen_selenide	-9.685	9.18	0.705	1403.18	-9.949	90.0
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	-5.755	9.384	0.081	722.141	-5.867	50.0
C01134	Pantetheine_4'-phosphate	8.525	-8.811	0.82	817.5	-9.389	90.0
C06037	Digalactosyl-diacylglycerol	10.292	12.079	0.852	5580.266	12.215	90.0
C03512	L-Tryptophanyl-tRNA(Trp)	-7.418	-9.226	0.286	769.846	-7.78	70.0
C03125	L-Cysteinyl-tRNA(Cys)	-7.814	-8.185	0.773	516.059	-8.64	80.0
C03127	L-Isoleucyl-tRNA(Ile)	-8.281	-9.155	0.546	881.121	-8.909	80.0
C03692	1,2-Diacyl-3-beta-D-galactosyl-sn-glycerol	-10.292	-12.079	0.29	5580.266	-10.659	90.0
C20373	3-Hydroxyglutaryl-[acp]_methyl_ester	-7.954	-10.672	0.152	1879.485	-8.158	70.0
C20372	3-Ketoglutaryl-[acp]_methyl_ester	8.954	10.205	0.877	1676.283	10.522	90.0
C20377	3-Hydroxypimeloyl-[acp]_methyl_ester	-7.954	-10.672	0.152	1879.485	-8.158	70.0
C20376	3-Ketopimeloyl-[acp]_methyl_ester	8.954	10.205	0.877	1676.283	10.522	90.0
C20375	Glutaryl-[acp]_methyl_ester	-6.209	10.44	0.053	1463.14	-6.284	50.0
C20374	Enoylglutaryl-[acp]_methyl_ester	-7.459	-9.872	0.188	1113.009	-7.707	60.0
C20378	Enoylpimeloyl-[acp]_methyl_ester	-7.459	-9.872	0.188	1113.009	-7.707	60.0
C00415	Dihydrofolate	3.205	-8.262	0.03	316.201	-3.248	60.0
C00416	Phosphatidate	-7.955	7.905	0.966	487.824	-8.88	80.0
C04851	MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho-undecaprenol	5.555	-9.433	0.068	738.233	-5.65	50.0
C04006	1D-myo-Inositol_3-phosphate	9.371	8.607	0.918	1052.054	9.916	80.0
C02686	Galactosylceramide	-9.773	-12.079	0.202	5201.461	-10.039	90.0
C00243	Lactose	8.503	8.917	0.954	846.168	9.656	80.0
C00242	Guanine	7.788	-9.499	0.305	944.591	-8.173	70.0
C16587	3-Carbamoyl-2-phenylpropionaldehyde	-11.324	-8.124	0.109	2842.656	-8.273	70.0
C16586	2-Phenyl-1,3-propanediol_monocarbamate	11.324	8.124	0.717	2842.656	10.994	90.0
C01097	D-Tagatose_6-phosphate	11.703	-8.087	0.082	3605.824	-8.2	70.0
C01096	Sorbitol_6-phosphate	-9.155	6.322	0.14	650.076	-6.511	50.0
C01094	D-Fructose_1-phosphate	13.359	-8.982	0.048	11012.191	-9.05	80.0
C00342	Thioredoxin	-9.959	10.02	0.959	2033.603	-10.929	90.0
C00343	Thioredoxin_disulfide	10.115	-9.877	0.848	2049.281	-10.763	90.0
C00344	Phosphatidylglycerol	5.0	8.006	0.625	289.067	7.496	60.0
C00345	6-Phospho-D-gluconate	6.524	-5.615	0.533	141.038	-6.231	50.0
C00063	CTP	9.065	7.182	0.792	680.806	9.075	70.0
C00062	L-Arginine	4.408	7.84	0.562	250.356	7.137	60.0
C00065	L-Serine	-8.489	2.075	0.012	363.502	-2.092	60.0
C00064	L-Glutamine	2.762	-7.984	0.027	259.96	-2.8	60.0
C16633	5-Fluorouridine	7.229	-11.085	0.069	2322.307	-7.325	60.0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	8.036	8.592	0.935	648.346	9.244	70.0
C19673	Malonyl-[acp]_methyl_ester	7.331	10.44	0.702	1550.172	10.088	80.0
C04079	N-((R)-Pantothenoyl)-L-cysteine	7.422	8.811	0.842	620.626	9.03	70.0
C00669	gamma-L-Glutamyl-L-cysteine	-9.044	-9.461	0.749	1232.622	-9.851	90.0
C00668	alpha-D-Glucose_6-phosphate	-7.946	-9.577	0.323	1010.368	-8.35	70.0
C05399	Melibiitol	10.292	12.079	0.852	5580.266	12.215	90.0
C00663	beta-D-Glucose_1-phosphate	-7.555	7.7	0.904	395.99	-8.484	80.0
C02163	L-Arginyl-tRNA(Arg)	-7.219	-8.322	0.466	468.999	-7.77	70.0
C00117	D-Ribose_5-phosphate	9.442	-8.591	0.554	1081.155	-9.227	80.0
C00116	Glycerol	-7.902	-10.545	0.16	1733.225	-8.116	70.0
C00111	Glycerone_phosphate	10.592	7.55	0.713	1730.914	10.269	80.0
C02380	6-Mercaptopurine	8.476	9.362	0.905	1014.091	9.843	80.0
C00112	CDP	5.143	-9.511	0.048	764.954	-5.211	50.0
C00118	D-Glyceraldehyde_3-phosphate	-12.05	6.053	0.016	4306.84	-6.075	50.0
C03492	D-4'-Phosphopantothenate	6.516	-8.811	0.204	540.652	-6.784	50.0
C01346	dUDP	6.607	-5.858	0.595	155.478	-6.532	50.0
C00232	Succinate_semialdehyde	-4.97	4.341	0.647	51.608	-5.061	50.0
C05750	3-Oxooctanoyl-[acp]	8.54	9.79	0.872	1257.503	10.099	80.0
C05751	trans-Oct-2-enoyl-[acp]	-7.459	-9.872	0.188	1113.009	-7.707	60.0
C05752	Octanoyl-[acp]	-6.209	10.44	0.053	1463.14	-6.284	50.0
C05753	3-Oxodecanoyl-[acp]	8.54	9.79	0.872	1257.503	10.099	80.0
C05754	trans-Dec-2-enoyl-[acp]	-7.459	-9.872	0.188	1113.009	-7.707	60.0
C05755	Decanoyl-[acp]	-6.209	10.44	0.053	1463.14	-6.284	50.0
C05756	3-Oxododecanoyl-[acp]	8.954	10.205	0.877	1676.283	10.522	90.0
C05757	(R)-3-Hydroxydodecanoyl-[acp]	-7.954	-10.672	0.152	1879.485	-8.158	70.0
C05758	trans-Dodec-2-enoyl-[acp]	-7.459	-9.872	0.188	1113.009	-7.707	60.0
C05759	3-Oxotetradecanoyl-[acp]	8.954	10.205	0.877	1676.283	10.522	90.0
C05811	2-Octaprenyl-6-hydroxyphenol	-8.543	-9.061	0.698	907.104	-9.307	80.0
C05810	2-Octaprenylphenol	8.543	9.061	0.943	907.104	9.74	80.0
C00188	L-Threonine	-7.425	9.297	0.273	800.886	-7.773	70.0
C02702	L-Prolyl-tRNA(Pro)	-9.403	-8.972	0.742	1179.153	-9.773	90.0
C00184	Glycerone	9.045	8.662	0.958	933.284	9.804	80.0
C05818	2-Demethylmenaquinone	-8.165	-6.087	0.237	354.997	-6.394	50.0
C00183	L-Valine	-6.248	-7.687	0.369	282.075	-6.701	50.0
C00180	Benzoate	-6.492	-8.214	0.303	386.943	-6.874	50.0
C00010	CoA	7.213	-8.537	0.399	519.808	-7.698	60.0
C00011	CO2	-7.866	2.143	0.019	237.71	-2.17	60.0
C04352	(R)-4'-Phosphopantothenoyl-L-cysteine	4.962	-8.811	0.069	480.301	-5.059	50.0
C00842	dTDP-glucose	4.392	-8.889	0.044	495.08	-4.455	60.0
C05980	Cardiolipin	-7.577	-8.006	0.743	448.01	-8.378	70.0
C00160	Glycolate	-9.278	-5.741	0.086	674.289	-5.86	50.0
C02554	L-Valyl-tRNA(Val)	-7.972	-8.492	0.697	611.116	-8.735	80.0
C01290	beta-D-Galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide	8.96	9.371	0.956	1160.143	10.115	80.0
C00446	alpha-D-Galactose_1-phosphate	-7.64	-6.588	0.482	295.668	-7.156	60.0
C01762	Xanthosine	8.097	-8.874	0.584	742.985	-8.76	80.0
C00441	L-Aspartate_4-semialdehyde	-5.434	8.98	0.086	548.182	-5.553	50.0
C00526	Deoxyuridine	8.687	8.5	0.978	774.181	9.565	80.0
C00448	trans,trans-Farnesyl_diphosphate	6.0	7.939	0.756	309.401	7.869	70.0
C04882	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine	-3.0	7.276	0.052	162.987	-3.073	60.0
C00921	Dihydropteroate	7.267	-6.322	0.519	234.027	-6.926	50.0
C01190	beta-D-Glucosyl-(1<->1)-ceramide	-8.96	-9.371	0.752	1160.143	-9.769	90.0
C03838	5'-Phosphoribosylglycinamide	-7.229	-7.375	0.904	316.014	-8.158	70.0
C05400	Epimelibiose	10.292	12.079	0.852	5580.266	12.215	90.0
C05401	3-beta-D-Galactosyl-sn-glycerol	10.292	12.079	0.852	5580.266	12.215	90.0
C05404	D-Gal_alpha_1->6D-Gal_alpha_1->6D-Glucose	8.87	12.079	0.734	4794.428	11.782	90.0
C03939	Acetyl-[acyl-carrier_protein]	-6.312	10.44	0.057	1468.614	-6.392	50.0
C00620	alpha-D-Ribose_1-phosphate	10.647	9.921	0.932	2572.925	11.227	90.0
C00627	Pyridoxine_phosphate	-11.461	6.531	0.033	2911.539	-6.578	50.0
C04895	7,8-Dihydroneopterin_3'-triphosphate	6.672	-8.585	0.266	485.98	-7.012	60.0
C01228	Guanosine_3',5'-bis(diphosphate)	-8.16	-9.288	0.458	911.15	-8.704	80.0
C00231	D-Xylulose_5-phosphate	7.485	4.304	0.575	198.9	6.838	60.0
C01345	dITP	8.267	-8.401	0.911	646.074	-9.202	80.0
C01344	dIDP	9.647	8.401	0.871	1139.773	9.955	80.0
C00234	10-Formyltetrahydrofolate	-6.467	9.414	0.13	770.639	-6.643	50.0
C00235	Dimethylallyl_diphosphate	-1.246	6.966	0.019	127.391	-1.273	60.0
C01613	Stachyose	9.995	12.079	0.827	5347.003	12.111	90.0
