compound_code	compound_name	bacteroides_630_score	lactobacillus_630_score	ratio	magnitude	interaction_score	percentile
C05688	L-Selenocysteine	3.322	11.104	0.299	2211.087	9.37	90.0
C00670	sn-Glycero-3-phosphocholine	2.322	9.56	0.243	759.826	7.528	70.0
C01209	Malonyl-[acyl-carrier_protein]	6.182	-9.032	0.139	596.089	-6.369	90.0
C00217	D-Glutamate	-2.322	9.207	0.008	595.994	-2.334	50.0
C00214	Thymidine	-0.737	-10.702	0.001	1667.467	-0.738	60.0
C00212	Adenosine	1.585	9.666	0.164	815.374	7.063	70.0
C00036	Oxaloacetate	6.439	7.805	0.825	310.397	8.0	70.0
C05841	Nicotinate_D-ribonucleoside	2.585	10.458	0.247	1412.604	8.448	80.0
C00035	GDP	0.536	-11.007	0.001	2059.411	-0.537	60.0
C00033	Acetate	-1.363	11.597	0.001	3100.311	-1.364	50.0
C00031	D-Glucose	7.86	-10.854	0.126	2083.21	-8.031	90.0
C00137	myo-Inositol	-3.585	-11.178	0.005	2328.932	-3.592	70.0
C00134	Putrescine	3.322	-9.504	0.014	736.088	-3.342	60.0
C00133	D-Alanine	-1.0	12.645	0.0	6407.076	-1.0	60.0
C00131	dATP	2.0	11.019	0.182	2079.15	8.56	80.0
C00130	IMP	-2.013	-9.184	0.007	585.683	-2.023	50.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	3.823	-6.79	0.128	124.813	-3.997	70.0
C00042	Succinate	6.141	8.713	0.705	490.208	8.433	80.0
C00041	L-Alanine	3.273	-9.567	0.013	768.164	-3.291	60.0
C00040	Acyl-CoA	1.585	10.056	0.158	1067.529	7.395	70.0
C00047	L-Lysine	3.907	9.951	0.393	1004.806	8.624	80.0
C00046	RNA	-7.433	-10.917	0.089	2106.306	-7.556	90.0
C00044	GTP	-6.685	-11.195	0.044	2447.288	-6.747	90.0
C00049	L-Aspartate	-0.324	7.221	0.008	150.441	-0.336	60.0
C06481	L-Seryl-tRNA(Sec)	-4.0	-11.053	0.008	2140.636	-4.011	70.0
C01101	L-Ribulose_5-phosphate	5.322	8.406	0.633	379.204	7.907	70.0
C05122	Taurocholate	2.807	10.208	0.275	1189.806	8.354	80.0
C06006	(S)-2-Aceto-2-hydroxybutanoate	4.358	-9.895	0.022	972.627	-4.389	80.0
C01233	sn-Glycero-3-phosphoethanolamine	2.322	9.56	0.243	759.826	7.528	70.0
C05345	beta-D-Fructose_6-phosphate	4.314	11.247	0.384	2450.327	9.876	90.0
C00221	beta-D-Glucose	-6.63	-11.81	0.028	3689.621	-6.669	90.0
C00387	Guanosine	2.0	10.207	0.196	1185.988	7.86	70.0
C05466	Glycochenodeoxycholate	2.807	10.208	0.275	1189.806	8.354	80.0
C05465	Taurochenodeoxycholate	2.807	10.208	0.275	1189.806	8.354	80.0
C11907	4,6-Dideoxy-4-oxo-dTDP-D-glucose	3.0	-8.392	0.024	343.926	-3.034	60.0
C00253	Nicotinate	-2.115	-10.577	0.003	1531.878	-2.119	50.0
C00256	(R)-Lactate	1.0	9.865	0.101	934.526	6.566	70.0
C00255	Riboflavin	-2.585	8.317	0.019	324.909	-2.612	50.0
C05336	Selenomethionyl-tRNA(Met)	-4.585	-11.107	0.011	2229.669	-4.601	80.0
C00259	L-Arabinose	3.807	9.951	0.383	1003.801	8.585	80.0
C00559	Deoxyadenosine	2.322	-9.295	0.008	633.165	-2.333	50.0
C00491	L-Cystine	2.807	9.879	0.284	948.618	8.074	70.0
C00492	Raffinose	-0.585	-10.987	0.001	2031.129	-0.586	60.0
C00886	L-Alanyl-tRNA	-5.426	-10.154	0.038	1182.346	-5.479	90.0
C00498	ADP-glucose	4.109	-10.762	0.01	1753.796	-4.123	80.0
C00882	Dephospho-CoA	-2.0	-8.778	0.009	442.977	-2.013	50.0
C00078	L-Tryptophan	-2.115	9.728	0.005	852.379	-2.122	50.0
C00079	L-Phenylalanine	1.049	8.358	0.126	330.171	5.373	60.0
C00073	L-Methionine	-1.888	6.437	0.043	90.344	-1.948	50.0
C00077	L-Ornithine	-1.688	-6.331	0.04	83.727	-1.745	50.0
C00074	Phosphoenolpyruvate	-6.42	-9.999	0.084	1108.918	-6.536	90.0
C00075	UTP	7.54	11.025	0.684	2269.907	10.6	90.0
C00085	D-Fructose_6-phosphate	4.689	10.11	0.464	1130.924	9.035	80.0
C00083	Malonyl-CoA	3.871	9.585	0.404	782.651	8.304	80.0
C00082	L-Tyrosine	-2.229	6.503	0.052	95.386	-2.302	50.0
C00081	ITP	-3.907	-8.114	0.054	292.051	-3.983	70.0
C04640	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine	-5.524	-9.644	0.058	846.094	-5.605	90.0
C00089	Sucrose	-1.0	-11.578	0.001	3059.21	-1.001	60.0
C04646	6-Thioinosine-5'-monophosphate	-2.0	-9.541	0.005	748.95	-2.008	50.0
C02218	Dehydroalanine	-2.322	-10.51	0.003	1463.228	-2.327	50.0
C00671	(S)-3-Methyl-2-oxopentanoic_acid	-1.907	11.159	0.002	2290.369	-1.909	50.0
C01921	Glycocholate	2.807	10.208	0.275	1189.806	8.354	80.0
C00673	2-Deoxy-D-ribose_5-phosphate	2.807	-9.845	0.008	926.686	-2.818	60.0
C00106	Uracil	1.0	8.867	0.113	468.91	5.725	60.0
C00104	IDP	5.087	11.189	0.455	2368.654	10.073	90.0
C00105	UMP	-2.419	-5.608	0.11	54.121	-2.569	50.0
C00103	D-Glucose_1-phosphate	1.322	-10.525	0.002	1475.968	-1.324	50.0
C00100	Propanoyl-CoA	-4.281	-14.187	0.001	18670.888	-4.283	80.0
C00101	Tetrahydrofolate	-1.322	8.119	0.009	280.511	-1.335	50.0
C00109	2-Oxobutanoate	2.755	11.874	0.232	3760.196	9.769	90.0
C04702	UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)	3.0	8.644	0.347	408.04	7.146	70.0
C05764	Hexadecanoyl-[acp]	6.17	9.224	0.669	670.003	8.808	80.0
C05761	Tetradecanoyl-[acp]	6.17	9.224	0.669	670.003	8.808	80.0
C05760	trans-Tetradec-2-enoyl-[acp]	-3.087	-12.37	0.002	5301.974	-3.089	60.0
C05763	trans-Hexadec-2-enoyl-[acp]	-3.087	-12.37	0.002	5301.974	-3.089	60.0
C05762	3-Oxohexadecanoyl-[acp]	-5.537	10.995	0.023	2087.345	-5.569	90.0
C00361	dGDP	2.36	12.49	0.189	5757.74	10.087	90.0
C02992	L-Threonyl-tRNA(Thr)	-6.19	-10.84	0.04	1906.02	-6.246	90.0
C03090	5-Phosphoribosylamine	-2.0	9.483	0.006	719.595	-2.008	50.0
C07086	Phenylacetic_acid	3.907	-9.299	0.024	644.91	-3.941	70.0
C02972	Dihydrolipoylprotein	1.0	12.148	0.082	4540.5	8.546	80.0
C11435	4-(Cytidine_5'-diphospho)-2-C-methyl-D-erythritol	-1.415	7.542	0.014	189.033	-1.435	50.0
C11436	2-Phospho-4-(cytidine_5'-diphospho)-2-C-methyl-D-erythritol	0.415	-7.542	0.007	187.7	-0.425	60.0
C00857	Deamino-NAD+	3.059	-8.916	0.017	491.374	-3.084	60.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	3.0	9.842	0.305	925.777	8.141	80.0
C01172	beta-D-Glucose_6-phosphate	-3.836	-10.345	0.011	1314.915	-3.852	70.0
C01177	Inositol_1-phosphate	3.7	10.832	0.342	1835.871	9.293	90.0
C02412	Glycyl-tRNA(Gly)	-5.0	-10.618	0.02	1603.58	-5.029	80.0
C00680	meso-2,6-Diaminoheptanedioate	1.026	9.516	0.108	734.189	6.307	60.0
C02553	L-Seryl-tRNA(Ser)	-4.0	-11.053	0.008	2140.636	-4.011	70.0
C00688	dTDP-4-dehydro-6-deoxy-beta-L-mannose	-3.369	-8.548	0.028	384.618	-3.408	60.0
C05378	beta-D-Fructose_1,6-bisphosphate	5.825	14.319	0.407	20495.165	13.025	90.0
C00831	Pantetheine	3.322	9.405	0.353	687.934	7.925	70.0
C02554	L-Valyl-tRNA(Val)	-4.0	-11.077	0.007	2176.276	-4.011	70.0
C16220	3-Hydroxyoctadecanoyl-[acp]	-5.459	10.95	0.022	2022.224	-5.491	90.0
C00921	Dihydropteroate	-3.459	9.476	0.015	723.128	-3.481	70.0
C00458	dCTP	1.708	-10.432	0.002	1384.748	-1.711	50.0
C00459	dTTP	-3.974	-9.918	0.016	983.135	-3.997	70.0
C00455	Nicotinamide_D-ribonucleotide	-2.663	10.274	0.005	1244.509	-2.67	50.0
C15973	Enzyme_N6-(dihydrolipoyl)lysine	2.807	12.245	0.229	4861.138	10.122	90.0
C15972	Enzyme_N6-(lipoyl)lysine	-2.807	8.295	0.022	321.081	-2.839	60.0
C00330	Deoxyguanosine	0.874	10.458	0.084	1408.436	6.879	70.0
C00337	(S)-Dihydroorotate	-4.087	-8.894	0.036	492.725	-4.138	80.0
C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier_protein]	-3.524	10.95	0.006	1989.741	-3.532	70.0
C00631	2-Phospho-D-glycerate	-0.603	-8.606	0.004	391.159	-0.609	60.0
C02528	Chenodeoxycholate	-2.807	-10.208	0.006	1189.806	-2.816	60.0
C00208	Maltose	-3.7	12.938	0.002	7860.401	-3.702	70.0
C01212	UDP-N-acetylmuramoyl-L-alanine	1.7	10.465	0.162	1416.694	7.846	70.0
C00025	L-Glutamate	2.02	9.798	0.206	894.265	7.526	70.0
C00024	Acetyl-CoA	1.987	-12.271	0.001	4946.378	-1.988	50.0
C00148	L-Proline	1.0	8.679	0.115	411.864	5.568	60.0
C00026	2-Oxoglutarate	-2.228	8.372	0.014	335.986	-2.248	50.0
C00021	S-Adenosyl-L-homocysteine	-2.678	10.272	0.005	1242.86	-2.685	50.0
C00020	AMP	-3.585	9.576	0.016	775.244	-3.608	70.0
C00022	Pyruvate	-3.756	-9.913	0.014	977.584	-3.776	70.0
C00143	5,10-Methylenetetrahydrofolate	1.834	-7.314	0.022	162.688	-1.866	50.0
C00141	3-Methyl-2-oxobutanoic_acid	-2.006	8.894	0.008	479.747	-2.018	50.0
C00029	UDP-glucose	-5.152	-11.702	0.011	3367.157	-5.167	80.0
C00147	Adenine	2.746	9.025	0.304	527.658	7.327	70.0
C00144	GMP	-4.232	10.149	0.017	1154.203	-4.256	80.0
C05729	R-S-Cysteinylglycine	5.087	8.992	0.566	543.158	8.263	80.0
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	-2.619	-11.081	0.003	2172.417	-2.623	50.0
C03232	3-Phosphonooxypyruvate	3.138	7.725	0.406	220.374	6.484	70.0
C05726	S-Substituted_L-cysteine	-5.087	-8.992	0.067	543.158	-5.18	80.0
C00700	XTP	4.322	11.008	0.393	2079.389	9.673	90.0
C00705	dCDP	-2.7	8.15	0.023	290.548	-2.733	50.0
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	4.0	-6.392	0.191	99.982	-4.252	80.0
C01134	Pantetheine_4'-phosphate	-2.415	10.051	0.005	1066.18	-2.422	50.0
C06037	Digalactosyl-diacylglycerol	1.0	12.826	0.078	7263.239	9.145	80.0
C03511	L-Phenylalanyl-tRNA(Phe)	-4.781	-10.355	0.021	1337.174	-4.811	80.0
C03512	L-Tryptophanyl-tRNA(Trp)	-3.17	-9.728	0.011	857.047	-3.185	60.0
C03287	L-Glutamyl_5-phosphate	-1.7	8.416	0.01	344.81	-1.714	50.0
C03125	L-Cysteinyl-tRNA(Cys)	-3.17	-9.785	0.01	891.224	-3.185	60.0
C03127	L-Isoleucyl-tRNA(Ile)	-5.492	-11.286	0.018	2542.039	-5.518	90.0
C03692	1,2-Diacyl-3-beta-D-galactosyl-sn-glycerol	-1.0	-12.826	0.0	7263.239	-1.0	60.0
C20373	3-Hydroxyglutaryl-[acp]_methyl_ester	-5.459	10.95	0.022	2022.224	-5.491	90.0
C20372	3-Ketoglutaryl-[acp]_methyl_ester	-5.755	11.41	0.02	2775.153	-5.783	90.0
C20377	3-Hydroxypimeloyl-[acp]_methyl_ester	-5.459	10.95	0.022	2022.224	-5.491	90.0
C20376	3-Ketopimeloyl-[acp]_methyl_ester	-5.755	11.41	0.02	2775.153	-5.783	90.0
C20375	Glutaryl-[acp]_methyl_ester	5.728	9.224	0.621	651.002	8.659	80.0
C20374	Enoylglutaryl-[acp]_methyl_ester	5.492	-12.37	0.009	5338.482	-5.504	90.0
C20378	Enoylpimeloyl-[acp]_methyl_ester	5.492	-12.37	0.009	5338.482	-5.504	90.0
C00415	Dihydrofolate	-0.152	6.132	0.016	71.243	-0.175	60.0
C00416	Phosphatidate	4.768	-9.714	0.032	867.104	-4.814	80.0
C00037	Glycine	2.143	10.839	0.198	1836.158	8.504	80.0
C04851	MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho-undecaprenol	-2.322	9.192	0.009	589.882	-2.334	50.0
C04006	1D-myo-Inositol_3-phosphate	3.7	10.832	0.342	1835.871	9.293	90.0
C02686	Galactosylceramide	-0.415	-12.013	0.0	4134.409	-0.415	60.0
C00243	Lactose	2.807	10.552	0.266	1508.302	8.648	80.0
C00242	Guanine	3.442	8.751	0.393	441.705	7.441	70.0
C00245	Taurine	-2.322	-10.208	0.004	1187.808	-2.328	50.0
C01097	D-Tagatose_6-phosphate	4.524	13.263	0.341	9853.173	11.715	90.0
C01094	D-Fructose_1-phosphate	6.57	14.802	0.444	28660.784	13.635	90.0
C00068	Thiamin_diphosphate	1.487	-9.853	0.003	927.605	-1.491	50.0
C00342	Thioredoxin	1.848	-12.088	0.001	4357.221	-1.849	50.0
C00343	Thioredoxin_disulfide	-2.459	12.141	0.001	4522.031	-2.461	50.0
C00344	Phosphatidylglycerol	1.585	9.747	0.163	862.289	7.132	70.0
C00345	6-Phospho-D-gluconate	4.17	10.136	0.411	1143.228	8.878	80.0
C05684	Selenite	3.907	12.594	0.31	6197.61	10.909	90.0
C00063	CTP	7.875	10.483	0.751	1665.944	10.289	90.0
C05689	Se-Methyl-L-selenocysteine	3.322	11.104	0.299	2211.087	9.37	90.0
C00065	L-Serine	-2.862	-10.479	0.005	1434.498	-2.869	60.0
C00064	L-Glutamine	2.538	6.022	0.421	70.791	4.899	60.0
C00066	tRNA	3.459	9.111	0.38	563.945	7.742	70.0
C16633	5-Fluorouridine	2.322	10.24	0.227	1214.337	8.105	70.0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	-0.263	10.616	0.001	1570.603	-0.264	60.0
C16634	5-Fluorouridine_monophosphate	-3.0	-10.24	0.007	1217.336	-3.01	60.0
C19673	Malonyl-[acp]_methyl_ester	6.539	11.545	0.566	3081.063	10.769	90.0
C04079	N-((R)-Pantothenoyl)-L-cysteine	3.322	9.405	0.353	687.934	7.925	70.0
C00668	alpha-D-Glucose_6-phosphate	-6.268	10.918	0.04	2011.907	-6.324	90.0
C05399	Melibiitol	1.0	12.826	0.078	7263.239	9.145	80.0
C02163	L-Arginyl-tRNA(Arg)	-2.807	-9.771	0.008	880.702	-2.819	60.0
C00114	Choline	-2.322	-9.56	0.007	759.826	-2.332	50.0
C00117	D-Ribose_5-phosphate	-3.798	10.686	0.008	1661.338	-3.81	70.0
C00116	Glycerol	-1.0	-11.019	0.001	2077.15	-1.001	60.0
C00111	Glycerone_phosphate	-3.637	12.26	0.003	4917.314	-3.641	70.0
C02380	6-Mercaptopurine	5.129	10.655	0.481	1647.4	9.631	90.0
C00112	CDP	-4.334	7.801	0.09	243.184	-4.459	80.0
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	-1.828	-11.705	0.001	3342.087	-1.83	50.0
C00118	D-Glyceraldehyde_3-phosphate	4.742	-13.523	0.002	11798.174	-4.745	80.0
C03492	D-4'-Phosphopantothenate	-1.0	-7.295	0.013	159.041	-1.018	50.0
C01346	dUDP	1.807	6.943	0.26	126.541	5.041	60.0
C05750	3-Oxooctanoyl-[acp]	-5.537	10.995	0.023	2087.345	-5.569	90.0
C05751	trans-Oct-2-enoyl-[acp]	-3.087	-12.37	0.002	5301.974	-3.089	60.0
C05752	Octanoyl-[acp]	5.762	9.224	0.625	652.266	8.67	80.0
C05753	3-Oxodecanoyl-[acp]	-5.537	10.995	0.023	2087.345	-5.569	90.0
C05754	trans-Dec-2-enoyl-[acp]	-3.087	-12.37	0.002	5301.974	-3.089	60.0
C05755	Decanoyl-[acp]	6.17	9.224	0.669	670.003	8.808	80.0
C05756	3-Oxododecanoyl-[acp]	-5.755	11.41	0.02	2775.153	-5.783	90.0
C05757	(R)-3-Hydroxydodecanoyl-[acp]	-3.524	10.95	0.006	1989.741	-3.532	70.0
C05758	trans-Dodec-2-enoyl-[acp]	-3.087	-12.37	0.002	5301.974	-3.089	60.0
C05759	3-Oxotetradecanoyl-[acp]	-5.755	11.41	0.02	2775.153	-5.783	90.0
C00188	L-Threonine	3.565	-9.239	0.02	616.084	-3.593	70.0
C00189	Ethanolamine	-2.322	-9.56	0.007	759.826	-2.332	50.0
C02702	L-Prolyl-tRNA(Pro)	-3.585	-11.55	0.004	3010.448	-3.591	70.0
C05818	2-Demethylmenaquinone	3.7	-10.098	0.012	1108.972	-3.717	70.0
C00183	L-Valine	0.737	-8.352	0.005	328.407	-0.744	60.0
C03794	N6-(1,2-Dicarboxyethyl)-AMP	1.737	6.492	0.268	93.343	4.642	60.0
C00159	D-Mannose	-0.585	12.5	0.0	5794.119	-0.585	60.0
C00011	CO2	6.083	-7.892	0.285	305.326	-6.445	90.0
C04352	(R)-4'-Phosphopantothenoyl-L-cysteine	-0.263	-5.728	0.023	54.203	-0.295	60.0
C00842	dTDP-glucose	-2.322	8.873	0.011	473.856	-2.337	50.0
C00015	UDP	-4.066	7.134	0.119	157.207	-4.229	80.0
C02291	L-Cystathionine	2.807	9.879	0.284	948.618	8.074	70.0
C03546	myo-Inositol_4-phosphate	3.7	10.832	0.342	1835.871	9.293	90.0
C16237	Protein_N6-(lipoyl)lysine	2.632	-12.328	0.001	5147.793	-2.634	50.0
C01290	beta-D-Galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide	2.807	11.965	0.235	4004.824	9.876	90.0
C00445	5,10-Methenyltetrahydrofolate	1.265	7.853	0.161	233.604	5.234	60.0
C01762	Xanthosine	2.17	10.283	0.211	1250.424	8.044	70.0
C00441	L-Aspartate_4-semialdehyde	1.415	6.598	0.214	99.538	4.416	60.0
C00526	Deoxyuridine	-1.848	10.785	0.002	1768.047	-1.851	50.0
C00448	trans,trans-Farnesyl_diphosphate	-2.138	7.766	0.02	222.072	-2.167	50.0
C04882	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine	3.0	8.644	0.347	408.04	7.146	70.0
C16221	(2E)-Octadecenoyl-[acp]	4.7	-12.37	0.005	5319.469	-4.707	80.0
C01190	beta-D-Glucosyl-(1<->1)-ceramide	-2.322	-11.965	0.001	4002.826	-2.324	50.0
C03838	5'-Phosphoribosylglycinamide	-2.807	-9.292	0.011	633.859	-2.823	60.0
C05400	Epimelibiose	1.0	12.826	0.078	7263.239	9.145	80.0
C05401	3-beta-D-Galactosyl-sn-glycerol	1.0	12.826	0.078	7263.239	9.145	80.0
C05402	Melibiose	0.585	10.987	0.053	2031.129	6.757	70.0
C05404	D-Gal_alpha_1->6D-Gal_alpha_1->6D-Glucose	1.0	11.987	0.083	4061.257	8.404	80.0
C03939	Acetyl-[acyl-carrier_protein]	-1.766	-8.887	0.007	476.829	-1.776	50.0
C00620	alpha-D-Ribose_1-phosphate	5.755	12.094	0.476	4425.769	11.04	90.0
C00627	Pyridoxine_phosphate	-1.322	-13.09	0.0	8721.821	-1.322	50.0
C04895	7,8-Dihydroneopterin_3'-triphosphate	-2.737	7.219	0.045	155.649	-2.8	60.0
C00231	D-Xylulose_5-phosphate	-3.731	9.126	0.024	572.005	-3.765	70.0
C01345	dITP	-3.907	-8.114	0.054	292.051	-3.983	70.0
C01344	dIDP	5.087	11.189	0.455	2368.654	10.073	90.0
C00234	10-Formyltetrahydrofolate	-0.82	-8.674	0.004	410.211	-0.826	60.0
C00235	Dimethylallyl_diphosphate	2.322	4.379	0.53	25.807	3.774	60.0
C01613	Stachyose	0.585	12.354	0.047	5236.595	7.954	70.0
C00010	CoA	-1.0	8.728	0.005	426.023	-1.007	50.0
C02839	L-Tyrosyl-tRNA(Tyr)	-3.807	-10.394	0.01	1359.565	-3.822	70.0
C00062	L-Arginine	-4.147	-7.953	0.071	265.511	-4.247	80.0
C00014	Ammonia	-2.098	9.527	0.006	742.037	-2.106	50.0
